Column1,Time,WR/01102023/01102023/L_NR_2020_06,WR/01102023/01102023/L_NR_2022_09,GNARE/SR/2025/01/13/4532,WR/01102023/30052048/L_NR_2022_10,WR/01102023/16072048/L_NR_2022_08,L_NR_2019_19,GNARE/NR/2024/12/20/3668,WR/01102023/24112044/L_NR_2020_07,WR/01102023/31032046/L_NR_2020_05,NR/01102023/13082046/L_NR_2021_12,NR/01102023/08032047/L_NR_2021_14,NR/26072023/31072042/L_NR_2023_07,NR/26072023/25122043/L_NR_2023_10,NR/22102023/11042047/L_NR_2021_16,NR/01102023/25072045/L_NR_2021_15,NR/01102023/02122045/L_NR_2021_13,NR/22102023/11042047/L_NR_2021_17,WR/01102023/29112042/L_NR_2019_05,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/29112042/RUMS(L_NR_2019_07),GNA/NR/2025/08/01/6475,NR/01102023/30042040/GNA_LT_36,GNA/NR/2025/08/01/5126,GNA/NR/2025/08/01/1196,NR/01102023/31052040/LT-31,NR/01102023/30042040/GNA_LT_35,GNA/NR/2025/08/01/6187,GNA/NR/2025/08/01/6209,GNA/NR/2025/08/01/4125,GNA/NR/2025/06/07/5932,GNA/NR/2025/08/01/5784,GNA/NR/2025/08/01/3698,GNA/NR/2025/07/01/8128,NR/01102023/31102037/L_NR_2019_11,GNA/NR/2025/07/01/2952,NR/01102023/22052037/LT-59,NR/01102023/19072037/LT-05,GNA/NR/2025/08/01/2414,GNA/NR/2025/08/01/6452,GNA/NR/2025/08/01/4452,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2025/08/09/3786,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/06022042/L_NR_2012_07,NR/30092023/31122025/SH-07,NR/30092023/26122029/SH-06,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/05012040/L_NR_2020_02,NR/01102023/06022042/L_NR_2012_02,GNA/NR/2025/07/01/1044
6,01:15-01:30,14.83,40.33,10.6,40.34,14.33,0,0,14.83,44.51,0,0,0,0,0,0,0,0,0,0,0,20.71,0,24,19.2,0,0,16.59,47.99,14.54,-0,95.98,14.54,12.62,10.71,3.99,10.46,115.17,47.99,24,15.21,269.94,0,14.15,27.25,86.57,26.93,26.93,99.99,0,129.86,2.76

7,01:30-01:45,14.67,39.33,10.4,39.34,14.33,0,0,14.67,43.99,0,0,0,0,0,0,0,0,0,0,0,20.71,0,24,19.2,0,0,16.59,47.99,14.54,-0,95.98,14.54,12.62,10.71,3.99,10.46,64.03,47.99,24,15.21,269.94,0,14.15,27.25,86.57,26.93,26.93,99.99,0,129.86,2.76

8,01:45-02:00,14.5,38.33,10.2,38.34,14,0,0,14.5,43.5,0,0,0,0,0,0,0,0,0,0,0,20.71,0,24,19.2,0,0,16.59,47.99,14.54,-0,95.98,14.54,12.62,10.71,3.99,10.46,93.53,47.99,24,15.21,269.94,0,14.15,27.25,86.57,26.93,26.93,99.99,0,129.86,2.76

9,02:00-02:15,14.83,37.67,8.2,37.66,13.67,0,0,14.83,44.51,0,0,0,0,0,0,0,0,0,0,0,20.71,0,24,19.2,0,0,16.59,95.98,14.54,-0,95.98,14.54,12.62,10.71,3.99,10.46,105.06,47.99,24,15.21,269.94,0,14.15,27.25,86.57,26.93,26.93,99.99,0,129.86,3.23

10,02:15-02:30,14.5,37.33,8,37.34,13.67,0,0,14.5,43.5,0,0,0,0,0,0,0,0,0,0,0,20.71,0,24,19.2,0,0,16.59,95.98,14.54,-0,95.98,14.54,12.62,10.71,3.99,10.46,83.22,47.99,24,15.21,269.94,0,14.15,27.25,86.57,26.93,26.93,99.99,0,129.86,3.23

11,02:30-02:45,12.97,33.21,8,33.21,13.67,0,0,12.97,38.9,0,0,0,0,0,0,0,0,0,0,0,20.71,0,24,19.2,0,0,16.59,95.98,14.54,-0,95.98,14.54,12.62,10.71,3.99,10.46,74.75,47.99,24,15.21,269.94,0,14.15,27.25,86.57,26.93,26.93,99.99,0,129.86,3.22

12,02:45-03:00,12.62,32.69,8,32.68,13.67,0,0,12.62,37.86,0,0,0,0,0,0,0,0,0,0,0,20.71,0,24,19.2,0,0,16.59,95.98,14.54,-0,95.98,14.54,12.62,10.71,3.99,10.46,66.8,47.99,24,15.21,269.94,0,14.15,28.26,86.57,26.93,26.93,99.99,0,129.86,3.22

13,03:00-03:15,12.17,32.16,7.6,32.15,13.33,0,0,12.17,36.52,0,0,0,0,0,0,0,0,0,0,0,20.71,0,24,19.2,0,0,16.59,95.98,14.54,-0,95.98,14.54,12.62,10.71,3.99,10.46,64.03,47.99,24,15.21,269.94,0,14.15,27.25,79.12,26.93,26.93,99.99,0,129.86,3.12

14,03:15-03:30,11.68,31.5,7.2,31.5,13,0,0,11.68,35.04,0,0,0,0,0,0,0,0,0,0,0,20.71,0,24,19.2,0,0,16.59,95.98,14.54,-0,95.98,14.54,12.62,10.71,3.99,10.46,64.03,47.99,24,15.21,269.94,0,14.15,27.25,86.57,26.93,26.93,99.99,0,129.86,3.12

15,03:30-03:45,11.14,30.81,7.2,30.82,12.67,0,0,11.14,33.42,0,0,0,0,0,0,0,0,0,0,0,20.71,0,24,19.2,0,0,16.59,95.98,14.54,-0,95.98,14.54,12.62,10.71,3.99,10.46,70,47.99,24,15.21,269.94,0,14.15,27.76,66.73,26.93,26.93,99.99,0,102.18,3.22

16,03:45-04:00,10.52,30.29,7.2,30.29,12.33,0,0,10.52,31.55,0,0,0,0,0,0,0,0,0,0,0,20.71,0,24,19.2,0,0,16.59,95.98,14.54,-0,95.98,14.54,12.62,10.71,3.99,10.46,70,47.99,24,15.21,269.94,0,14.15,27.76,66.73,26.93,26.93,99.99,0,102.18,3.22

17,04:00-04:15,8.51,34.36,7.2,34.36,12.33,0,0,8.51,25.54,0,0,0,0,0,0,0,0,0,0,0,20.71,0,24,19.2,0,0,16.59,95.98,14.54,-0,95.98,14.54,12.62,10.71,3.99,10.46,70,47.99,24,15.21,269.94,0,17.64,27.76,66.73,26.93,26.93,99.99,0,102.18,3.22

18,04:15-04:30,7.89,33.09,7.2,33.1,12,0,0,7.89,23.67,0,0,0,0,0,0,0,0,0,0,0,20.71,0,24,19.2,0,0,16.59,95.98,14.54,-0,95.98,14.54,12.62,10.71,3.99,10.46,70,47.99,24,15.21,269.94,0,17.64,27.76,66.73,26.93,26.93,99.99,0,102.18,3.22

19,04:30-04:45,11.15,31.64,7.2,31.64,11.67,0,0,11.15,33.47,0,0,0,0,0,0,0,0,0,0,0,20.71,0,24,19.2,0,0,16.59,95.98,14.54,-0,95.98,14.54,12.62,10.71,3.99,10.46,70,47.99,24,15.21,269.94,0,17.64,27.76,66.73,26.93,26.93,99.99,0,102.18,3.22

20,04:45-05:00,10.91,30.17,7.2,30.17,11.33,0,0,10.91,32.73,0,0,0,0,0,0,0,0,0,0,0,20.71,0,24,19.2,0,0,16.59,95.98,14.54,-0,95.98,14.54,12.62,10.71,3.99,10.46,70,47.99,24,15.21,269.94,0,17.64,27.76,66.73,26.93,26.93,99.99,0,102.18,3.22

21,05:00-05:15,10.3,28.93,7.2,28.94,11,0,0,10.3,30.87,0,0,0,0,0,0,0,0,0,0,0,20.71,0,24,19.2,0,0,16.59,95.98,14.54,-0,95.98,14.54,12.62,10.71,3.99,10.46,64.03,47.99,24,15.21,269.94,0,17.64,27.76,66.73,26.93,26.93,99.99,0,129.86,3.22

22,05:15-05:30,9.65,27.8,7.2,27.8,10.67,0,0,9.65,28.93,0,0,0,0,0,0,0,0,0,0,0,20.71,0,24,19.2,0,0,16.59,95.98,14.54,-0,95.98,14.54,12.62,10.71,3.99,10.46,64.03,47.99,24,15.21,269.94,0,17.64,27.25,66.73,26.93,26.93,99.99,0,129.86,3.22

23,05:30-05:45,8.96,41.67,6.81,41.66,10.33,0,0,8.96,26.88,0,0,0,0,0,0,0,0,0,0,0,20.71,0,24,19.2,0,0,16.59,95.98,14.54,-0,95.98,14.54,12.62,10.71,3.99,10.46,64.03,47.99,24,15.21,269.94,0,17.64,27.25,86.57,26.93,26.93,99.99,0,129.86,3.22

24,05:45-06:00,8.21,40.33,6.81,40.34,10,0,0.15,8.21,24.65,0.3,0,0,0,0,0,0.06,0,0,0,0,20.71,0,24,19.2,0,0,16.59,95.98,14.54,-0,95.98,14.54,12.62,10.71,3.99,10.46,64.03,47.99,24,15.21,269.94,0,17.64,27.25,86.57,26.93,26.93,99.99,0,129.86,3.22

25,06:00-06:15,12.5,39,6.81,39,13.33,1.16,0.75,12.5,37.5,1.79,1,0,1,1,1,0.36,0,3.35,0,0,20.71,0,24,19.2,0,0,16.59,95.98,14.54,-0,95.98,14.54,12.62,10.71,3.99,10.46,115.17,47.99,24,15.21,269.94,0,17.45,27.25,86.57,25.68,25.68,99.99,0,129.86,3.22

26,06:15-06:30,12.5,37.67,6.81,37.66,13.33,3.9,1.78,12.5,37.5,4.64,2,0,2,2,2,0.93,1,6.14,0,0,20.71,0,24,19.2,0,0,16.59,95.98,14.54,-0,95.98,14.54,12.62,10.71,3.99,10.46,115.17,47.99,24,15.21,269.94,0,17.45,27.25,86.57,25.68,25.68,99.99,0,129.86,3.22

27,06:30-06:45,12.5,36.33,6.81,36.34,13.33,7.86,3.96,12.5,37.5,9.05,4,0,4,5,3,1.81,2,10.05,12.99,3,20.71,0.39,24,19.2,0.51,0.51,16.59,95.98,14.54,-0,95.98,14.54,12.62,10.71,3.99,10.46,115.17,47.99,24,15.21,269.94,0,17.45,27.25,86.57,26.5,26.93,99.99,0,129.86,3.22

28,06:45-07:00,12.5,35,6.81,35,13.33,12.97,6.59,12.5,37.5,14.78,7,0,7,7,4,2.96,4,15.63,20.52,5,20.71,0.87,24,19.2,1.13,1.13,16.59,95.98,14.54,-0,95.98,14.54,12.62,10.71,3.99,10.46,115.17,47.99,24,15.21,269.94,0,17.45,27.25,86.57,26.5,26.93,99.99,0,129.86,3.22

29,07:00-07:15,12.5,33.67,6.81,33.66,13.33,18.96,9.95,12.5,37.5,23.21,11,0,10,11,5,4.64,6,22.32,28.98,8,20.71,1.44,24,19.2,1.86,1.86,16.59,95.98,14.54,-0,95.98,14.54,10.58,10.71,2.02,10.46,106.7,47.99,24,15.21,262.3,0,17.45,26.74,48.86,26.93,26.93,99.99,0,72.31,3.1

30,07:15-07:30,12.5,32.33,6.81,32.34,13.33,25.37,14.08,12.5,37.5,32.72,13,0,15,16,7,6.55,8,30.71,33,13,20.71,2.14,24,19.2,2.77,2.77,16.59,95.98,14.54,-0,95.98,14.54,9.66,10.71,2.02,10.46,98.23,47.99,24,15.21,269.94,0,17.45,26.74,48.86,26.93,26.93,99.99,0,100,3.12

31,07:30-07:45,12.5,31.67,6.81,31.66,13.33,30.7,18.91,12.5,37.5,43.92,23,0,18,21,12,8.79,11,33,33,20,20.71,2.81,24,19.2,3.63,3.63,16.59,95.98,14.54,-0,95.98,14.54,9.66,10.71,4.67,10.46,89.76,47.99,24,15.21,269.94,0,17.45,26.74,67.83,26.93,26.93,99.99,5.12,100,3.17

32,07:45-08:00,12.5,32.98,6.81,32.99,14.67,37.11,24.5,12.5,37.5,56.66,29,0,24,28,16,11.33,14,33,33,26,20.71,3.64,24,19.2,4.71,4.71,16.59,95.98,14.54,-0,95.98,14.54,9.66,10.71,4.66,10.46,81.3,47.99,24,15.21,269.94,0,17.45,26.24,67.45,26.93,26.93,99.99,5.12,100,3.17

33,08:00-08:15,12.5,33.33,6.81,33.34,16,43.57,30.67,12.5,37.5,70.72,35,0,30,34,20,14.15,17,32.67,32.66,32.67,20.71,4.6,24,19.2,5.96,5.96,16.59,95.98,14.54,-0,95.98,14.54,9.66,10.71,4.39,10.46,72.83,47.99,24,15.21,231.55,0,17.45,26.24,48.86,26.93,26.93,99.99,6.05,72.31,3.19

34,08:15-08:30,12.5,33.33,6.81,33.34,17.33,50.07,37.25,12.5,37.5,79.73,40,0,36,41,23,15.95,20,33,33,33,20.71,5.54,24,19.2,7.18,7.18,16.59,95.98,14.54,-0,95.98,14.54,9.66,10.71,4.39,10.46,70,47.99,24,15.21,193.16,0,17.45,26.24,48.86,26.93,26.93,99.99,6.05,72.31,3.19

35,08:30-08:45,12.5,30,6.81,30,10,53.59,43.95,12.5,37.5,97.83,47,0,43,54,26,19.57,27,33,33,33,20.71,6.5,24,19.2,8.41,8.41,16.59,95.98,14.54,-0,95.98,14.54,9.66,10.71,4.39,10.46,70,47.99,24,15.21,154.77,0,17.45,24.23,37.93,26.93,26.93,68.15,6.05,54.06,3.19

36,08:45-09:00,12.5,30,6.81,30,10,57.1,50.57,12.5,37.5,116.12,53,0,49,60,29,23.23,30,33,33,33,20.71,7.44,24,19.2,9.63,9.63,16.59,95.98,14.54,-0,95.98,14.54,9.66,10.71,4.39,10.46,70,47.99,24,15.21,149.26,0,17.45,24.23,37.93,26.93,26.93,50.67,6.05,54.06,3.19

37,09:00-09:15,12.5,25.97,6.81,25.97,10,62.79,56.91,12.5,37.5,127.36,60,0,54,60,31,25.47,30,33,33,33,20.71,8.34,24,19.2,10.8,10.8,16.59,95.98,14.54,-0,95.98,14.54,9.66,10.71,4.14,10.46,70,47.99,24,15.21,149.26,0,17.64,24.72,37.93,26.94,26.94,50.67,6.52,54.06,3.19

38,09:15-09:30,12.5,26.94,6.81,26.95,10.33,67.43,62.94,12.5,37.5,135.57,67,0,58,65,34,27.11,33,33,33,33,20.71,9.2,24,19.2,11.91,11.91,16.59,95.98,14.54,-0,95.98,14.54,9.66,10.71,4.14,10.46,70,47.99,24,15.21,149.26,0,17.64,23.72,37.93,26.94,26.94,50.67,6.52,54.06,3.19

39,09:30-09:45,12.5,28.19,6.4,28.2,10.33,73.52,68.59,12.5,37.5,143.78,73,0,64,70,36,28.76,35,33,33,33,20.71,9.92,24,19.2,12.84,12.84,16.59,95.98,14.54,-108.33,95.98,14.54,9.66,10.71,3.99,10.46,70,47.99,24,15.21,149.26,0,17.64,23.72,37.93,26.94,26.94,50.67,6.52,54.06,3.19

40,09:45-10:00,12.5,29.69,6.4,29.68,10.33,77.2,73.87,12.5,37.5,151.99,77,0,67,75,38,30.4,37,33,33,33,20.71,10.63,24,19.2,13.77,13.77,16.59,95.98,14.54,-216.67,95.98,14.54,9.66,10.71,3.99,10.46,70,47.99,24,15.21,149.26,0,17.64,23.72,37.93,26.94,26.94,50.67,6.52,54.06,3.19

41,10:00-10:15,10,31.75,5.38,31.74,10.33,79.61,78.75,10,30,175,82,0,70,78,40,35,39,33,33,33,20.71,11.27,24,19.2,14.59,14.59,9.12,95.98,8,-216.67,95.98,8,9.66,10.71,4.15,10.46,70,47.99,24,15.21,149.26,0,17.82,23.72,37.93,26.94,26.94,50.67,6.52,54.06,3.19

42,10:15-10:30,10.83,34.33,5.36,34.32,10.93,83.64,81.75,10.83,32.51,187.5,87,0,73,81,41,37.5,41,33,33,33,20.71,11.82,24,19.2,15.29,15.29,9.12,95.98,8,-216.67,95.98,8,9.66,10.71,4.15,10.46,70,47.99,24,15.21,149.26,0,17.82,23.72,37.93,26.94,26.94,50.67,6.52,54.06,3.19

43,10:30-10:45,11.67,37.34,5.47,37.33,10.03,85.68,87.96,11.67,34.99,225,91,0,72,80,42,45,40,33,33,33,20.71,12.22,24,19.2,15.83,15.83,9.12,95.98,8,-216.67,95.98,8,9.66,10.71,4.15,10.46,70,47.99,24,15.21,149.26,0,17.82,23.22,37.93,26.94,26.94,50.67,6.52,54.06,3.19

44,10:45-11:00,13.33,40.22,5.47,40.21,10.72,87.26,92.03,13.33,40.01,237.5,93,0,75,83,43,47.5,42,33,33,33,20.71,12.81,24,19.2,16.57,16.57,9.12,95.98,8,-216.67,95.98,8,9.66,10.71,4.15,10.46,70,47.99,24,15.21,149.26,0,17.82,23.22,37.93,26.94,26.94,50.67,6.52,54.06,3.19

45,11:00-11:15,15,41.94,5.49,41.94,11.47,87.85,94.62,15,45,241.67,97,0,76,87,43,48.33,43,33,33,33,20.71,13.16,24,19.2,17.04,17.04,9.12,95.98,8,-216.67,95.98,8,9.66,10.71,4.14,10.84,70,47.99,24,15.21,149.26,0,18.01,23.22,37.93,26.94,26.94,50.67,6.14,54.06,3.19

46,11:15-11:30,15.83,43.08,5.84,43.08,12.34,116.93,96.78,15.83,47.51,245.83,98,0,78,88,43,49.17,44,33,33,33,20.71,13.48,24,19.2,17.44,17.44,9.12,95.98,8,-216.67,95.98,8,9.66,10.71,4.14,10.84,70,47.99,24,15.21,149.26,0,18.01,23.22,37.93,26.94,26.94,50.67,6.14,54.06,3.19

47,11:30-11:45,16.67,36.52,5.71,36.52,13.3,116.93,97.74,16.67,49.99,245.83,98,0,75,89,43,49.17,44,33,33,33,20.71,13.63,24,19.2,17.64,17.64,9.12,95.98,8,-108.33,95.98,8,9.66,10.71,4.14,10.84,70,47.99,24,15.21,149.26,0,18.01,23.22,37.93,26.94,26.94,50.67,6.14,54.06,3.19

48,11:45-12:00,17.66,39.98,5.79,39.99,14.42,116.93,98.88,17.66,53,245.83,98,0,75,89,43,49.17,44,33,33,33,20.71,13.68,24,19.2,17.7,17.7,9.12,95.98,8,-0,95.98,8,9.66,10.71,4.14,10.84,70,47.99,24,15.21,149.26,0,18.01,24.72,37.93,26.94,26.94,50.67,6.14,54.06,3.19

49,12:00-12:15,16.85,43.02,6.09,43.03,15.48,114,100,16.85,50.56,245.83,98,0,72,80,43,49.17,40,33,33,33,20.71,13.68,24,19.2,17.7,17.7,9.12,95.98,8,-0,95.98,8,9.66,10.71,4.63,10.46,70,47.99,24,15.21,149.26,0,18.01,24.72,37.93,26.95,26.95,50.67,6.52,54.06,3.19

50,12:15-12:30,18.1,45.98,6.7,45.98,16.64,112.06,100,18.1,54.31,245.83,98,0,72,80,43,49.17,40,33,33,33,20.71,13.68,24,19.2,17.7,17.7,9.12,95.98,8,-0,95.98,8,9.66,10.71,4.54,10.46,70,47.99,24,15.21,149.26,0,18.01,24.72,37.93,26.95,26.95,50.67,6.52,54.06,3.19

51,12:30-12:45,19.49,56.67,6.8,56.66,19.01,107.18,100,19.49,58.46,250,95,0,69,80,43,50,40,33,33,33,20.71,13.68,24,19.2,17.7,17.7,9.12,95.98,8,-0,95.98,8,9.66,10.71,4.46,10.46,70,47.99,24,15.21,149.26,0,18.01,24.72,37.93,26.95,26.95,50.67,6.52,54.06,3.19

52,12:45-13:00,20.99,56.67,6.8,56.66,19.75,105.24,100,20.99,62.99,250,95,0,69,80,43,50,40,33,33,33,20.71,13.68,24,19.2,17.7,17.7,9.12,95.98,8,-0,95.98,8,9.66,10.71,4.4,10.46,70,47.99,24,15.21,149.26,0,18.01,24.72,37.93,26.95,26.95,50.67,6.52,54.06,3.19

53,13:00-13:15,22.95,56.67,6.8,56.66,20.35,99.39,100,22.95,68.85,250,94,0,69,77,43,50,38,33,33,33,20.71,13.68,24,19.2,17.7,17.7,9.12,95.98,8,-0,95.98,8,6.7,10.71,4.4,10.46,70,47.99,24,15.21,149.26,0,18.47,24.72,37.93,26.95,26.95,50.67,6.52,54.06,3.19

54,13:15-13:30,25.12,60,6.8,60,20.91,68.98,100,25.12,75.35,250,94,0,69,77,43,50,38,33,33,33,20.71,13.68,24,19.2,17.7,17.7,9.12,95.98,8,-0,95.98,8,6.7,10.71,4.4,10.46,70,47.99,24,15.21,149.26,0,18.47,24.72,37.93,26.95,26.95,50.67,6.52,54.06,3.19

55,13:30-13:45,27.32,60,6.8,60,21.46,68.41,100,27.32,81.94,250,91,0,70,80,42,50,40,33,33,33,20.71,13.68,24,19.2,17.7,17.7,9.12,95.98,8,-0,95.98,8,6.7,10.71,4.4,10.46,70,47.99,24,15.21,149.26,0,18.47,24.72,37.93,26.95,26.95,50.67,6.52,54.06,3.19

56,13:45-14:00,27.7,61.67,6.8,61.66,22.02,68.97,100,27.7,83.09,250,91,0,70,79,42,50,39,33,33,33,20.71,13.64,24,19.2,17.66,17.66,9.12,95.98,8,-0,95.98,8,6.7,10.71,4.4,10.46,70,47.99,24,15.21,149.26,0,18.47,24.72,37.93,26.95,26.95,50.67,6.52,54.06,3.19

57,14:00-14:15,26.11,63.46,6.8,63.45,23.61,69.14,100,26.11,78.33,240,93,0,67,70,41,48,35,33,33,33,20.71,13.29,24,19.2,17.2,17.2,9.12,95.98,8,-0,95.98,8,6.51,10.71,2.02,10.46,70,47.99,24,15.21,149.26,0,18.47,24.72,37.93,26.95,26.95,50.67,6.75,54.06,3.19

58,14:15-14:30,26.24,63.91,6.8,63.9,24.09,68.93,96.67,26.24,78.71,234.42,90,0,67,67,41,46.89,33,33,33,33,20.71,13.1,24,19.2,16.96,16.96,9.12,95.98,8,-0,95.98,8,6.51,10.71,2.02,10.46,70,47.99,24,15.21,149.26,0,18.47,24.72,37.93,26.95,26.95,50.67,6.75,54.06,3.19

59,14:30-14:45,26.29,65,8.4,65,29.33,66.71,90.05,26.29,78.88,212.28,82,0,58,63,39,42.46,32,33,33,33,20.71,12.96,24,19.2,16.77,16.77,9.12,95.98,8,-0,95.98,8,6.51,10.71,2.02,10.46,70,47.99,24,15.21,149.26,0,18.47,24.72,37.93,26.95,26.95,50.67,6.75,54.06,3.19

60,14:45-15:00,26.23,65,11.53,65,29.15,64.14,86.93,26.23,78.68,207.37,78,0,58,61,38,41.48,31,33,33,33,20.71,12.55,24,19.2,16.25,16.25,9.12,95.98,8,-0,95.98,8,6.51,10.71,2.02,10.46,70,47.99,24,15.21,149.26,0,18.47,24.72,37.93,26.95,26.95,50.67,6.75,54.06,3.19

61,15:00-15:15,25.6,65,18.01,65,28.77,61.23,77.34,25.6,76.81,197.87,73,0,57,60,37,39.57,30,33,33,33,20.71,11.75,24,19.2,15.2,15.2,9.12,95.98,8,-0,95.98,8,6.51,10.71,2.02,10.46,70,47.99,24,15.21,149.26,0,18.47,25.23,37.93,26.95,26.95,50.67,7.07,54.06,3.19

62,15:15-15:30,24.88,65,17.21,65,28.41,58.05,72.1,24.88,74.64,187.55,67,0,54,60,36,37.51,30,33,33,33,20.71,11.27,24,19.2,14.59,14.59,9.12,95.98,8,-0,95.98,8,6.51,10.71,2.02,10.46,70,47.99,24,15.21,149.26,0,18.47,25.23,37.93,26.95,26.95,50.67,7.07,54.06,3.19

63,15:30-15:45,24.19,65,16.61,65,27.68,53.81,66.85,24.19,72.55,176.45,62,0,52,57,33,35.29,28,33,33,33,20.71,9.69,24,19.2,12.53,12.53,9.12,95.98,8,-0,95.98,8,6.51,10.71,2.02,10.46,70,47.99,24,15.21,149.26,0,18.47,25.23,37.93,26.95,26.95,50.67,7.07,54.06,3.19

64,15:45-16:00,23.57,65,16.19,65,27.31,49.44,61.6,23.57,70.68,164.91,58,0,49,53,32,32.98,27,33,33,33,20.71,8.88,24,19.2,11.5,11.5,9.12,95.98,8,-0,95.98,8,6.51,10.71,2.02,10.46,70,47.99,24,15.21,149.26,0,18.47,25.74,37.93,26.95,26.95,50.67,7.07,54.06,3.19

65,16:00-16:15,25.98,65,22.01,65,27.31,44.81,50.09,25.98,77.96,135.88,53,0,45,50,29,27.18,25,33,33,24,20.71,7.87,24,19.2,10.17,10.17,9.12,95.98,8,-0,95.98,8,6.68,10.71,4.4,10.84,70,47.99,24,15.21,149.26,0,18.47,25.74,37.93,26.95,26.95,50.67,7.45,54.06,3.19

66,16:15-16:30,25.8,63.33,21.61,63.34,27.31,39.99,44.74,25.8,77.41,122.92,49,0,40,45,25,24.58,23,33,33,16,20.71,7.53,24,19.2,9.74,9.74,9.12,95.98,8,-0,95.98,8,6.68,10.71,4.4,10.84,70,47.99,24,15.21,149.26,0,18.47,25.74,37.93,26.95,26.95,50.67,7.45,54.06,3.19

