Time,Block,NR/2023/13704/A,NR/2023/14114/F,NR/2023/14113/F,NR/2023/14316/C,NR/2023/13983/F,NR/2023/11205/A,NR/2023/14120/F,NR/2023/14294/D,NR/2023/11315/A,NR/2023/11954/A,NR/2023/14136/F,NR/2023/14301/C,NR/2023/13283/A,NR/2023/13859/A,NR/2023/13573/A,NR/2023/14116/F,NR/2023/11458/A,NR/2023/14119/F,NR/2023/11892/A,NR/2023/11697/A,NR/2023/14121/F,NR/2023/11739/A,NR/2023/13983/F/II,NR/2023/11469/A,NR/2023/13858/A,NR/2023/14118/F,NR/2023/11470/A,NR/2023/11203/A,NR/2023/14284/D,NR/2023/13573/A/II,NR/2023/14115/F,NR/2023/13284/A,NR/2023/14307/C,NR/2023/12646/A,NR/2023/14117/F,NR/2023/11328/A,NR/2023/11204/A,NR/2023/11325/A,NR/2023/14285/D,NR/2023/11264/A,NR/2023/13283/A/II,NR/2023/13704/A/II,NR/2023/14187/F,NR/2023/14295/C,NR/2023/11654/A,ER/2023/8735/C,NR/2023/14286/D,NR/2023/14288/D,NR/2023/14289/D,Total

3,00:30-00:45,6.510000,0.520000,0.380000,4.840000,0.000000,232.430000,0.610000,38.720000,22.260000,36.520000,0.000000,0.000000,23.250000,142.300000,1.130000,0.870000,98.740000,1.020000,66.700000,33.400000,0.610000,42.580000,0.870000,85.160000,77.440000,0.870000,21.300000,63.160000,45.500000,27.910000,0.950000,77.920000,18.710000,23.160000,0.930000,48.400000,83.250000,24.200000,147.860000,21.590000,0.950000,0.260000,9.680000,18.390000,258.460000,18.000000,0,0,0,1828.31

4,00:45-01:00,6.510000,0.520000,0.380000,4.840000,0.000000,232.430000,0.610000,38.720000,22.260000,36.520000,0.000000,0.000000,23.250000,142.300000,1.130000,0.870000,98.740000,1.020000,66.700000,33.400000,0.610000,42.580000,0.870000,85.160000,77.440000,0.870000,21.300000,63.160000,45.500000,27.910000,0.950000,77.920000,18.710000,23.160000,0.930000,48.400000,83.250000,24.200000,147.860000,21.590000,0.950000,0.260000,9.680000,18.390000,258.460000,18.000000,0,0,0,1828.31

5,01:00-01:15,6.510000,0.520000,0.380000,4.840000,0.000000,232.430000,0.610000,38.720000,22.260000,36.520000,0.000000,0.000000,23.250000,142.300000,1.130000,0.870000,98.740000,1.020000,66.700000,33.400000,0.610000,42.580000,0.680000,85.160000,77.440000,0.870000,21.300000,63.160000,45.500000,27.910000,0.950000,77.920000,18.710000,23.160000,0.930000,48.400000,83.250000,24.200000,147.860000,21.590000,0.950000,0.260000,9.680000,18.390000,258.460000,18.000000,0,0,0,1828.12

6,01:15-01:30,6.510000,0.520000,0.380000,4.840000,0.000000,232.430000,0.610000,38.720000,22.260000,36.520000,0.000000,0.000000,23.250000,142.300000,1.130000,0.870000,98.740000,1.020000,66.700000,33.400000,0.610000,42.580000,0.680000,85.160000,77.440000,0.870000,21.300000,63.160000,45.500000,27.910000,0.950000,77.920000,18.710000,23.160000,0.930000,48.400000,83.250000,24.200000,147.860000,21.590000,0.950000,0.260000,9.680000,18.390000,258.460000,18.000000,0,0,0,1828.12

7,01:30-01:45,6.510000,0.520000,0.380000,4.840000,0.000000,232.430000,0.610000,38.720000,22.260000,36.520000,0.000000,0.000000,23.250000,142.300000,1.130000,0.870000,98.740000,1.020000,66.700000,33.400000,0.610000,42.580000,0.680000,85.160000,77.440000,0.870000,21.300000,63.160000,45.500000,27.910000,0.950000,77.920000,18.710000,23.160000,0.930000,48.400000,83.250000,24.200000,147.860000,21.590000,0.950000,0.260000,9.680000,18.390000,258.460000,18.000000,0,0,0,1828.12

8,01:45-02:00,6.510000,0.520000,0.380000,4.840000,0.000000,232.430000,0.610000,38.720000,22.260000,36.520000,0.000000,0.000000,23.250000,142.300000,1.130000,0.870000,98.740000,1.020000,66.700000,33.400000,0.610000,42.580000,0.680000,85.160000,77.440000,0.870000,21.300000,63.160000,45.500000,27.910000,0.950000,77.920000,18.710000,23.160000,0.930000,48.400000,83.250000,24.200000,147.860000,21.590000,0.950000,0.260000,9.680000,18.390000,258.460000,18.000000,0,0,0,1828.12

9,02:00-02:15,6.510000,0.520000,0.380000,4.840000,0.000000,232.430000,0.610000,38.720000,22.260000,36.520000,0.000000,0.000000,23.250000,142.300000,1.130000,0.870000,98.740000,1.020000,66.700000,33.400000,0.610000,42.580000,0.580000,85.160000,77.440000,0.870000,21.300000,63.160000,45.500000,27.910000,0.950000,77.920000,18.620000,23.160000,0.930000,48.400000,83.250000,24.200000,147.860000,21.590000,0.950000,0.260000,9.680000,18.390000,258.460000,18.000000,0,0,0,1827.93

10,02:15-02:30,6.510000,0.520000,0.380000,4.840000,0.000000,232.430000,0.610000,38.720000,22.260000,36.520000,0.000000,0.000000,23.250000,142.300000,1.130000,0.870000,98.740000,1.020000,66.700000,33.400000,0.610000,42.580000,0.580000,85.160000,77.440000,0.870000,21.300000,63.160000,45.500000,27.910000,0.950000,77.920000,18.620000,23.160000,0.930000,48.400000,83.250000,24.200000,147.860000,21.590000,0.950000,0.260000,9.680000,18.390000,258.460000,18.000000,0,0,0,1827.93

11,02:30-02:45,6.510000,0.520000,0.380000,4.840000,0.000000,232.430000,0.610000,38.720000,22.260000,36.520000,0.000000,0.000000,23.250000,142.300000,1.130000,0.870000,98.740000,1.020000,66.700000,33.400000,0.610000,42.580000,0.580000,85.160000,77.440000,0.870000,21.300000,63.160000,45.500000,27.910000,0.950000,77.920000,18.620000,23.160000,0.930000,48.400000,83.250000,24.200000,147.860000,21.590000,0.950000,0.260000,9.680000,18.390000,258.460000,18.000000,0,0,0,1827.93

12,02:45-03:00,6.510000,0.520000,0.380000,4.840000,0.000000,232.430000,0.610000,38.720000,22.260000,36.520000,0.000000,0.000000,23.250000,142.300000,1.130000,0.870000,98.740000,1.020000,66.700000,33.400000,0.610000,42.580000,0.580000,85.160000,77.440000,0.870000,21.300000,63.160000,45.500000,27.910000,0.950000,77.920000,18.620000,23.160000,0.930000,48.400000,83.250000,24.200000,147.860000,21.590000,0.950000,0.260000,9.680000,18.390000,258.460000,18.000000,0,0,0,1827.93

13,03:00-03:15,6.780000,0.520000,0.380000,4.840000,0.360000,232.430000,0.610000,38.720000,22.260000,0.000000,0.000000,0.000000,24.200000,142.300000,0.000000,0.870000,98.740000,1.020000,0.000000,33.400000,0.610000,42.580000,0.170000,85.160000,77.440000,0.870000,21.300000,63.160000,45.500000,29.040000,0.950000,77.920000,18.440000,0.000000,0.930000,48.400000,48.400000,24.200000,147.860000,21.590000,0.000000,0.000000,9.680000,18.390000,258.460000,18.000000,0,0,0,1666.48

14,03:15-03:30,6.780000,0.520000,0.380000,4.840000,0.360000,232.430000,0.610000,38.720000,22.260000,0.000000,0.000000,0.000000,24.200000,142.300000,0.000000,0.870000,98.740000,1.020000,0.000000,33.400000,0.610000,42.580000,0.170000,85.160000,77.440000,0.870000,21.300000,63.160000,45.500000,29.040000,0.950000,77.920000,18.440000,0.000000,0.930000,48.400000,48.400000,24.200000,147.860000,21.590000,0.000000,0.000000,9.680000,18.390000,258.460000,18.000000,0,0,0,1666.48

15,03:30-03:45,6.780000,0.520000,0.380000,4.840000,0.360000,232.430000,0.610000,38.720000,22.260000,0.000000,0.000000,0.000000,24.200000,142.300000,0.000000,0.870000,98.740000,1.020000,0.000000,33.400000,0.610000,42.580000,0.170000,85.160000,77.440000,0.870000,21.300000,63.160000,45.500000,29.040000,0.950000,77.920000,18.440000,0.000000,0.930000,48.400000,48.400000,24.200000,147.860000,21.590000,0.000000,0.000000,9.680000,18.390000,258.460000,18.000000,0,0,0,1666.48

16,03:45-04:00,6.780000,0.520000,0.380000,4.840000,0.360000,232.430000,0.610000,38.720000,22.260000,0.000000,0.000000,0.000000,24.200000,142.300000,0.000000,0.870000,98.740000,1.020000,0.000000,33.400000,0.610000,42.580000,0.170000,85.160000,77.440000,0.870000,21.300000,63.160000,45.500000,29.040000,0.950000,77.920000,18.440000,0.000000,0.930000,48.400000,48.400000,24.200000,147.860000,21.590000,0.000000,0.000000,9.680000,18.390000,258.460000,18.000000,0,0,0,1666.48

17,04:00-04:15,6.780000,0.520000,0.380000,4.840000,0.530000,232.430000,0.610000,38.720000,22.260000,0.000000,0.000000,0.000000,24.200000,142.300000,0.000000,0.870000,98.740000,1.020000,0.000000,33.400000,0.610000,42.580000,0.000000,85.160000,77.440000,0.870000,21.300000,63.160000,45.500000,29.040000,0.950000,77.920000,18.340000,0.000000,0.930000,48.400000,48.400000,24.200000,147.860000,21.590000,0.000000,0.000000,9.680000,18.390000,258.460000,18.000000,0,0,0,1666.38

18,04:15-04:30,6.780000,0.520000,0.380000,4.840000,0.530000,232.430000,0.610000,38.720000,22.260000,0.000000,0.000000,0.000000,24.200000,142.300000,0.000000,0.870000,98.740000,1.020000,0.000000,33.400000,0.610000,42.580000,0.000000,85.160000,77.440000,0.870000,21.300000,63.160000,45.500000,29.040000,0.950000,77.920000,18.340000,0.000000,0.930000,48.400000,48.400000,24.200000,147.860000,21.590000,0.000000,0.000000,9.680000,18.390000,258.460000,18.000000,0,0,0,1666.38

19,04:30-04:45,6.780000,0.520000,0.380000,4.840000,0.530000,232.430000,0.610000,38.720000,22.260000,0.000000,0.000000,0.000000,24.200000,142.300000,0.000000,0.870000,98.740000,1.020000,0.000000,33.400000,0.610000,42.580000,0.000000,85.160000,77.440000,0.870000,21.300000,63.160000,45.500000,29.040000,0.950000,77.920000,18.340000,0.000000,0.930000,48.400000,48.400000,24.200000,147.860000,21.590000,0.000000,0.000000,9.680000,18.390000,258.460000,18.000000,0,0,0,1666.38

20,04:45-05:00,6.780000,0.520000,0.380000,4.840000,0.530000,232.430000,0.610000,38.720000,22.260000,0.000000,0.000000,0.000000,24.200000,142.300000,0.000000,0.870000,98.740000,1.020000,0.000000,33.400000,0.610000,42.580000,0.000000,85.160000,77.440000,0.870000,21.300000,63.160000,45.500000,29.040000,0.950000,77.920000,18.340000,0.000000,0.930000,48.400000,48.400000,24.200000,147.860000,21.590000,0.000000,0.000000,9.680000,18.390000,258.460000,18.000000,0,0,0,1666.38

21,05:00-05:15,6.780000,0.520000,0.380000,4.840000,0.530000,232.430000,0.610000,38.720000,22.260000,0.000000,0.000000,0.000000,24.200000,142.300000,0.000000,0.870000,0.000000,1.020000,0.000000,33.400000,0.610000,42.580000,0.000000,85.160000,77.440000,0.870000,21.300000,63.160000,45.500000,29.040000,0.950000,77.920000,18.160000,0.000000,0.930000,48.400000,48.400000,24.200000,147.860000,21.590000,0.000000,0.000000,9.680000,18.390000,258.460000,18.000000,0,0,0,1567.46

22,05:15-05:30,6.780000,0.520000,0.380000,4.840000,0.530000,232.430000,0.610000,38.720000,22.260000,0.000000,0.000000,0.000000,24.200000,142.300000,0.000000,0.870000,0.000000,1.020000,0.000000,33.400000,0.610000,42.580000,0.000000,85.160000,77.440000,0.870000,21.300000,63.160000,45.500000,29.040000,0.950000,77.920000,18.160000,0.000000,0.930000,48.400000,48.400000,24.200000,147.860000,21.590000,0.000000,0.000000,9.680000,18.390000,258.460000,18.000000,0,0,0,1567.46

23,05:30-05:45,6.780000,0.520000,0.380000,4.840000,0.530000,232.430000,0.610000,38.720000,22.260000,0.000000,0.000000,0.000000,24.200000,142.300000,0.000000,0.870000,0.000000,1.020000,0.000000,33.400000,0.610000,42.580000,0.000000,85.160000,77.440000,0.870000,21.300000,63.160000,45.500000,29.040000,0.950000,77.920000,18.160000,0.000000,0.930000,48.400000,48.400000,24.200000,147.860000,21.590000,0.000000,0.000000,9.680000,18.390000,258.460000,18.000000,0,0,0,1567.46

24,05:45-06:00,6.780000,0.520000,0.380000,4.840000,0.530000,232.430000,0.610000,38.720000,22.260000,0.000000,0.000000,0.000000,24.200000,142.300000,0.000000,0.870000,0.000000,1.020000,0.000000,33.400000,0.610000,42.580000,0.000000,85.160000,77.440000,0.870000,21.300000,63.160000,45.500000,29.040000,0.950000,77.920000,18.160000,0.000000,0.930000,48.400000,48.400000,24.200000,147.860000,21.590000,0.000000,0.000000,9.680000,18.390000,258.460000,18.000000,0,0,0,1567.46

25,06:00-06:15,6.780000,0.520000,0.380000,4.840000,0.680000,15.810000,0.610000,38.720000,22.260000,0.000000,0.000000,0.000000,24.200000,142.300000,0.000000,0.870000,0.000000,1.020000,0.000000,0.000000,0.610000,42.580000,0.000000,85.160000,77.440000,0.870000,21.300000,63.160000,45.500000,29.040000,0.950000,0.000000,17.980000,0.000000,0.930000,48.400000,7.740000,24.200000,147.860000,21.590000,0.000000,0.000000,9.680000,18.390000,258.460000,18.000000,0,0.6,1.4,1200.83

26,06:15-06:30,6.780000,0.520000,0.380000,4.840000,0.680000,15.810000,0.610000,38.720000,22.260000,0.000000,0.000000,0.000000,24.200000,142.300000,0.000000,0.870000,0.000000,1.020000,0.000000,0.000000,0.610000,42.580000,0.000000,85.160000,77.440000,0.870000,21.300000,63.160000,45.500000,29.040000,0.950000,0.000000,17.980000,0.000000,0.930000,48.400000,7.740000,24.200000,147.860000,21.590000,0.000000,0.000000,9.680000,18.390000,258.460000,18.000000,0.1,2.7,6.3,1207.93

27,06:30-06:45,6.780000,0.520000,0.380000,4.840000,0.680000,15.810000,0.610000,38.720000,22.260000,0.000000,0.000000,0.000000,24.200000,142.300000,0.000000,0.870000,0.000000,1.020000,0.000000,0.000000,0.610000,42.580000,0.000000,85.160000,77.440000,0.870000,21.300000,63.160000,45.500000,29.040000,0.950000,0.000000,17.980000,0.000000,0.930000,48.400000,7.740000,24.200000,147.860000,21.590000,0.000000,0.000000,9.680000,18.390000,258.460000,18.000000,0.51,4.5,10.5,1214.34

28,06:45-07:00,6.780000,0.520000,0.380000,4.840000,0.680000,15.810000,0.610000,38.720000,22.260000,0.000000,0.000000,0.000000,24.200000,142.300000,0.000000,0.870000,0.000000,1.020000,0.000000,0.000000,0.610000,42.580000,0.000000,85.160000,77.440000,0.870000,21.300000,63.160000,45.500000,29.040000,0.950000,0.000000,17.980000,0.000000,0.930000,48.400000,7.740000,24.200000,147.860000,21.590000,0.000000,0.000000,9.680000,18.390000,258.460000,18.000000,0.89,7.5,17.5,1224.72

29,07:00-07:15,6.780000,0.520000,0.380000,4.840000,0.680000,15.810000,0.610000,0.000000,22.260000,0.000000,0.000000,0.000000,24.200000,142.300000,0.000000,0.870000,0.000000,1.020000,0.000000,0.000000,0.610000,42.580000,0.000000,85.160000,77.440000,0.870000,21.300000,63.160000,45.500000,29.040000,0.950000,0.000000,17.880000,0.000000,0.930000,48.400000,7.740000,24.200000,147.860000,21.590000,0.000000,0.000000,9.680000,18.390000,258.460000,18.000000,1.32,10.5,24.5,1196.33

30,07:15-07:30,6.780000,0.520000,0.380000,4.840000,0.680000,15.810000,0.610000,0.000000,22.260000,0.000000,0.000000,0.000000,24.200000,142.300000,0.000000,0.870000,0.000000,1.020000,0.000000,0.000000,0.610000,42.580000,0.000000,85.160000,77.440000,0.870000,21.300000,63.160000,45.500000,29.040000,0.950000,0.000000,17.880000,0.000000,0.930000,48.400000,7.740000,24.200000,147.860000,21.590000,0.000000,0.000000,9.680000,18.390000,258.460000,18.000000,1.77,10.5,24.5,1196.78

31,07:30-07:45,6.780000,0.520000,0.380000,4.840000,0.680000,15.810000,0.610000,0.000000,22.260000,0.000000,0.000000,0.000000,24.200000,142.300000,0.000000,0.870000,0.000000,1.020000,0.000000,0.000000,0.610000,42.580000,0.000000,85.160000,77.440000,0.870000,21.300000,63.160000,45.500000,29.040000,0.950000,0.000000,17.880000,0.000000,0.930000,48.400000,7.740000,24.200000,147.860000,21.590000,0.000000,0.000000,9.680000,18.390000,258.460000,18.000000,2.32,15,35,1212.33

32,07:45:08:00,6.780000,0.520000,0.380000,4.840000,0.680000,15.810000,0.610000,0.000000,22.260000,0.000000,0.000000,0.000000,24.200000,142.300000,0.000000,0.870000,0.000000,1.020000,0.000000,0.000000,0.610000,42.580000,0.000000,85.160000,77.440000,0.870000,21.300000,63.160000,45.500000,29.040000,0.950000,0.000000,17.880000,0.000000,0.930000,48.400000,7.740000,24.200000,147.860000,21.590000,0.000000,0.000000,9.680000,18.390000,258.460000,18.000000,2.8,21.6,50.4,1234.81

33,08:00-08:15,6.780000,0.520000,0.380000,4.840000,0.970000,15.810000,0.610000,0.000000,22.260000,0.000000,0.000000,30.000000,24.200000,142.300000,0.000000,0.970000,0.000000,1.020000,0.000000,0.000000,0.610000,42.580000,0.000000,85.160000,77.440000,0.980000,21.300000,63.160000,45.500000,29.040000,0.950000,0.000000,17.790000,0.000000,0.980000,48.400000,7.740000,24.200000,147.860000,21.590000,0.000000,0.000000,9.680000,18.390000,258.460000,18.000000,2.34,27,63,1282.81

34,08:15-08:30,6.780000,0.520000,0.380000,4.840000,0.970000,15.810000,0.610000,0.000000,22.260000,0.000000,0.000000,30.000000,24.200000,142.300000,0.000000,0.970000,0.000000,1.020000,0.000000,0.000000,0.610000,42.580000,0.000000,85.160000,77.440000,0.980000,21.300000,63.160000,45.500000,29.040000,0.950000,0.000000,17.790000,0.000000,0.980000,48.400000,7.740000,24.200000,147.860000,21.590000,0.000000,0.000000,9.680000,18.390000,258.460000,18.000000,2.9,32.4,75.6,1301.37

35,08:30-08:45,6.780000,0.520000,0.380000,4.840000,0.970000,15.810000,0.610000,0.000000,22.260000,0.000000,0.000000,30.000000,24.200000,142.300000,0.000000,0.970000,0.000000,1.020000,0.000000,0.000000,0.610000,42.580000,0.000000,85.160000,77.440000,0.980000,21.300000,63.160000,45.500000,29.040000,0.950000,0.000000,17.790000,0.000000,0.980000,48.400000,7.740000,24.200000,147.860000,21.590000,0.000000,0.000000,9.680000,18.390000,258.460000,18.000000,3.8,39,91,1324.27

36,08:45:09:00,6.780000,0.520000,0.380000,4.840000,0.970000,15.810000,0.610000,0.000000,22.260000,0.000000,0.000000,30.000000,24.200000,142.300000,0.000000,0.970000,0.000000,1.020000,0.000000,0.000000,0.610000,42.580000,0.000000,85.160000,77.440000,0.980000,21.300000,63.160000,45.500000,29.040000,0.950000,0.000000,17.790000,0.000000,0.980000,48.400000,7.740000,24.200000,147.860000,21.590000,0.000000,0.000000,9.680000,18.390000,258.460000,18.000000,4.27,43.5,101.5,1339.74

37,09:00:09:15,6.780000,0.520000,0.380000,4.840000,0.970000,15.810000,0.610000,0.000000,22.260000,0.000000,24.200000,30.000000,24.200000,142.300000,0.000000,0.970000,0.000000,1.020000,0.000000,0.000000,0.610000,42.580000,0.000000,85.160000,77.440000,0.980000,21.300000,63.160000,45.500000,29.040000,0.950000,0.000000,13.630000,0.000000,0.980000,48.400000,7.740000,24.200000,147.860000,21.590000,0.000000,0.000000,9.680000,18.390000,258.460000,18.000000,4.5,48.9,114.1,1378.01

38,09:15-09:30,6.780000,0.520000,0.380000,4.840000,0.970000,15.810000,0.610000,0.000000,22.260000,0.000000,24.200000,30.000000,24.200000,142.300000,0.000000,0.970000,0.000000,1.020000,0.000000,0.000000,0.610000,42.580000,0.000000,85.160000,77.440000,0.980000,21.300000,63.160000,45.500000,29.040000,0.950000,0.000000,13.630000,0.000000,0.980000,48.400000,7.740000,24.200000,147.860000,21.590000,0.000000,0.000000,9.680000,18.390000,258.460000,18.000000,4.96,52.5,122.5,1390.47

39,09:30-09:45,6.780000,0.520000,0.380000,4.840000,0.970000,15.810000,0.610000,0.000000,22.260000,0.000000,24.200000,30.000000,24.200000,142.300000,0.000000,0.970000,0.000000,1.020000,0.000000,0.000000,0.610000,42.580000,0.000000,85.160000,77.440000,0.980000,21.300000,63.160000,45.500000,29.040000,0.950000,0.000000,13.630000,0.000000,0.980000,48.400000,7.740000,24.200000,147.860000,21.590000,0.000000,0.000000,9.680000,18.390000,258.460000,18.000000,5.93,58.5,136.5,1411.44

40,09:45-10:00,6.780000,0.520000,0.380000,4.840000,0.970000,15.810000,0.610000,0.000000,22.260000,0.000000,24.200000,30.000000,24.200000,142.300000,0.000000,0.970000,0.000000,1.020000,0.000000,0.000000,0.610000,42.580000,0.000000,85.160000,77.440000,0.980000,21.300000,63.160000,45.500000,29.040000,0.950000,0.000000,13.630000,0.000000,0.980000,48.400000,7.740000,24.200000,147.860000,21.590000,0.000000,0.000000,9.680000,18.390000,258.460000,18.000000,5.92,61.8,144.2,1422.43

41,10:00-10:15,6.780000,0.520000,0.380000,4.840000,0.970000,15.810000,0.610000,0.000000,22.260000,0.000000,24.200000,30.000000,24.200000,142.300000,0.000000,0.970000,90.990000,1.020000,0.000000,0.000000,0.610000,42.580000,0.000000,85.160000,77.440000,0.980000,21.300000,63.160000,45.500000,29.040000,0.950000,0.000000,13.630000,0.000000,0.980000,48.400000,7.740000,24.200000,147.860000,21.590000,0.000000,0.000000,9.680000,18.390000,258.460000,18.000000,6.4,66,154,1527.9

42,10:15-10:30,6.780000,0.520000,0.380000,4.840000,0.970000,15.810000,0.610000,0.000000,22.260000,0.000000,24.200000,30.000000,24.200000,142.300000,0.000000,0.970000,90.990000,1.020000,0.000000,0.000000,0.610000,42.580000,0.000000,85.160000,77.440000,0.980000,21.300000,63.160000,45.500000,29.040000,0.950000,0.000000,13.630000,0.000000,0.980000,48.400000,7.740000,24.200000,147.860000,21.590000,0.000000,0.000000,9.680000,18.390000,258.460000,18.000000,6.52,66,154,1528.02

43,10:30-10:45,6.780000,0.520000,0.380000,4.840000,0.970000,15.810000,0.610000,0.000000,22.260000,0.000000,24.200000,30.000000,24.200000,142.300000,0.000000,0.970000,90.990000,1.020000,0.000000,0.000000,0.610000,42.580000,0.000000,85.160000,77.440000,0.980000,21.300000,63.160000,45.500000,29.040000,0.950000,0.000000,13.630000,0.000000,0.980000,48.400000,7.740000,24.200000,147.860000,21.590000,0.000000,0.000000,9.680000,18.390000,258.460000,18.000000,5.61,66,154,1527.11

