Column1,Block,NR/2024/22898/A/36075,NR/2024/22899/A/36076,NR/2024/23021/C,GNA/NR/2024/09/01/6566,NR/30092023/26122029/SH-06,GNA/NR/2024/09/01/3451,GNA/NR/2024/09/01/7908,GNA/NR/2024/09/01/7196,GNA/NR/2024/09/01/4802,GNA/NR/2024/09/01/9821,NR/30092023/31122025/SH-07,NR/2024/22835/A/36309,NR/2024/23022/C,NR/2024/22860/A/36303,NR/2024/23020/C,NR/2024/22734/A/36271,NR/2024/22837/A/36291,NR/2024/22816/A/36014,NR/2024/22802/A/36299,NR/2024/22753/A/36292,NR/2024/23028/C,NR/2024/22754/A/36298,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/2024/22832/A/36296,NR/2024/22848/A/36308,NR/2024/22833/A/36294,NR/2024/22820/A/36047,GNA/NR/2024/09/01/6020,GNA/NR/2024/09/01/8090,NR/2024/22888/A/36290,NR/2024/22872/A/36072,NR/2024/21658/A/36033,NR/2024/22839/A/36289,NR/2024/22874/A/36301,GNA/NR/2024/09/01/2171,GNA/NR/2024/09/01/7119,Total
22,05:15-05:30,0,0,0,24.2,26.8708,48.4,21.78,48.4,96.79,0,26.87,90.98,164.78,0,241.98,0,26.39,0,0,181.48,28.07,60.49,14.32,26.39,84.38,26.39,4.84,96.79,0,25.17,8.71,0.58,8.8,48.4,0,17.5,1449.7508

23,05:30-05:45,0,0,0,24.2,26.8708,48.4,21.78,48.4,96.79,0,26.87,90.98,164.78,0,241.98,0,26.39,0,0,181.48,28.07,60.49,14.32,26.39,84.38,26.39,4.84,96.79,0,25.17,8.71,0.58,8.8,48.4,0,17.5,1449.7508

24,05:45-06:00,0,0,0,24.2,26.8708,48.4,21.78,48.4,96.79,0,26.87,90.98,164.78,0,241.98,0,26.39,0,0,181.48,28.07,60.49,14.32,26.39,84.38,26.39,4.84,96.79,0,25.17,7.74,0.58,8.8,48.4,0,17.5,1448.7808

25,06:00-06:15,0,0,0,24.2,26.8708,48.4,21.78,48.4,96.79,0,26.87,90.98,164.78,0,241.98,0,26.39,0,0,0,28.07,0,14.32,26.39,84.38,26.39,4.84,96.79,0,25.17,7.74,0.68,8.8,48.4,0,17.5,1206.9108000000003

26,06:15-06:30,0,0,0,24.2,26.8708,48.4,21.78,48.4,96.79,0,26.87,90.98,164.78,0,241.98,0,26.39,0,0,0,28.07,0,14.32,26.39,84.38,26.39,4.84,96.79,0,25.17,7.74,0.68,8.8,48.4,0,17.5,1206.9108000000003

27,06:30-06:45,0,0,0.07,24.2,26.8708,48.4,21.78,48.4,96.79,0,26.87,90.98,164.78,0,241.98,0,26.39,0,0,0,28.07,0,14.32,26.39,84.38,26.39,4.84,96.79,0,25.17,7.74,0.68,8.8,48.4,0,17.5,1206.9808000000003

28,06:45-07:00,0,0,0.3,24.2,26.8708,48.4,21.78,48.4,96.79,0,26.87,90.98,164.78,0,241.98,0,26.39,0,0,0,28.07,0,14.32,26.39,84.38,26.39,4.84,96.79,0,25.17,7.74,0.68,8.8,48.4,0,17.5,1207.2108000000003

29,07:00-07:15,0,0,0.77,24.2,26.8708,48.4,21.78,48.4,96.79,0,26.87,90.98,164.78,0,241.98,0,26.39,0,0,0,28.07,0,14.14,26.39,84.38,26.39,4.84,96.79,0,25.17,7.74,0.68,8.8,48.4,0,17.5,1207.5008000000003

30,07:15-07:30,0,0,1.05,24.2,26.8708,48.4,21.78,48.4,96.79,0,26.87,90.98,164.78,0,241.98,0,26.39,0,0,0,28.07,0,14.14,26.39,84.38,26.39,4.84,96.79,0,25.17,7.74,0.68,8.8,48.4,0,17.5,1207.7808000000002

31,07:30-07:45,0,0,1.47,24.2,26.8708,48.4,21.78,48.4,96.79,0,26.87,90.98,164.78,0,241.98,0,26.39,0,0,0,28.07,0,14.14,26.39,84.38,26.39,4.84,96.79,0,25.17,6.78,0.68,8.8,48.4,0,17.5,1207.2408000000003

32,07:45-08:00,0,0,1.47,24.2,26.8708,48.4,21.78,48.4,96.79,0,26.87,90.98,164.78,0,241.98,0,26.39,0,0,0,28.07,0,14.14,26.39,84.38,26.39,4.84,96.79,0,25.17,6.78,0.68,8.8,48.4,0,17.5,1207.2408000000003

33,08:00-08:15,0,0,1.48,24.2,26.8708,48.4,21.78,48.4,96.79,0,26.87,90.98,164.78,0,241.98,0,26.39,0,0,0,28.07,0,14.14,26.39,84.38,26.39,4.84,96.79,0,25.17,6.78,0.97,8.8,48.4,0,17.5,1207.5408000000002

34,08:15-08:30,0,0,1.77,24.2,26.8708,48.4,21.78,48.4,96.79,0,26.87,90.98,164.78,0,241.98,0,26.39,0,0,0,28.07,0,14.14,26.39,84.38,26.39,4.84,96.79,0,25.17,6.78,0.97,8.8,48.4,0,17.5,1207.8308000000002

35,08:30-08:45,0,0,2.51,24.2,26.8708,48.4,21.78,48.4,96.79,0,26.87,90.98,164.78,0,241.98,0,26.39,0,0,0,28.07,0,14.14,26.39,84.38,26.39,4.84,96.79,0,25.15,6.78,0.97,8.8,48.4,0,17.5,1208.5508000000002

36,08:45-09:00,0,0,4.01,24.2,26.8708,48.4,21.78,48.4,96.79,0,26.87,90.98,164.78,0,241.98,0,26.39,0,0,0,28.07,0,14.14,26.39,84.38,26.39,4.84,96.79,0,25.15,6.78,0.97,8.8,48.4,0,17.5,1210.0508000000002

37,09:00-09:15,0,0,4.65,24.2,26.8708,48.4,21.78,48.4,96.79,0,26.87,90.98,109.86,0,241.98,0,26.39,0,0,0,28.07,0,14.14,26.39,84.38,26.39,4.84,96.79,0,25.15,6.78,0.97,8.8,48.4,0,17.5,1155.7708000000002

38,09:15-09:30,0,0,6.59,24.2,26.8708,48.4,21.78,48.4,96.79,0,26.87,90.98,109.86,0,241.98,0,26.39,0,0,0,28.07,0,14.14,26.39,84.38,26.39,4.84,96.79,0,25.15,6.78,0.97,8.8,48.4,0,17.5,1157.7108000000003

39,09:30-09:45,0,0,7.06,24.2,26.8708,48.4,21.78,48.4,96.79,0,26.87,90.98,109.86,0,241.98,0,26.39,0,0,0,28.07,0,14.14,26.39,84.38,26.39,4.84,96.79,0,25.15,6.78,0.97,8.8,48.4,0,17.5,1158.1808000000003

40,09:45-10:00,0,0,6.63,24.2,26.8708,48.4,21.78,48.4,96.79,0,26.87,90.98,109.86,0,241.98,0,26.39,0,0,0,28.07,0,14.14,26.39,84.38,26.39,4.84,96.79,0,25.15,6.78,0.97,8.8,48.4,0,17.5,1157.7508000000003

41,10:00-10:15,0,0,5.28,24.2,26.8708,0,21.78,48.4,0,0,26.87,90.98,54.88,0,241.98,0,26.39,48.4,96.79,0,67.75,0,14.14,26.39,84.38,26.39,4.84,96.79,0,25.15,6.78,0.97,8.8,48.4,0,17.5,1141.1008000000002

42,10:15-10:30,0,0,6.13,24.2,26.8708,0,21.78,48.4,0,0,26.87,90.98,54.88,0,241.98,0,26.39,48.4,96.79,0,67.75,0,14.14,26.39,84.38,26.39,4.84,96.79,0,25.15,6.78,0.97,8.8,48.4,0,17.5,1141.9508

43,10:30-10:45,0,0,5.28,24.2,26.8708,0,21.78,48.4,0,0,26.87,90.98,54.88,0,241.98,0,26.39,48.4,96.79,0,67.75,0,14.14,26.39,84.38,26.39,4.84,96.79,0,25.15,6.78,0.97,8.8,48.4,0,17.5,1141.1008000000002

44,10:45-11:00,0,0,4.81,24.2,26.8708,0,21.78,48.4,0,0,26.87,90.98,54.88,0,241.98,0,26.39,48.4,96.79,0,67.75,0,14.14,26.39,84.38,26.39,4.84,96.79,0,25.15,6.78,0.97,8.8,48.4,0,17.5,1140.6308000000001

45,11:00-11:15,0,0,5.01,24.2,26.8708,0,21.78,48.4,0,0,26.87,90.98,54.88,0,241.98,0,26.39,48.4,96.79,0,67.75,0,14.14,26.39,84.38,26.39,4.84,96.79,0,25.15,6.78,0.97,8.8,48.4,0,17.5,1140.8308

46,11:15-11:30,0,0,7.5,24.2,26.8708,0,21.78,48.4,0,0,26.87,90.98,54.88,0,241.98,0,26.39,48.4,96.79,0,67.75,0,14.14,26.39,84.38,26.39,4.84,96.79,0,25.15,6.78,0.97,8.8,48.4,0,17.5,1143.3208

47,11:30-11:45,0,0,8.25,24.2,26.8708,0,21.78,48.4,0,0,26.87,90.98,54.88,0,241.98,0,26.39,48.4,96.79,0,67.75,0,14.14,26.39,84.38,26.39,4.84,96.79,0,25.15,6.78,0.97,8.8,48.4,0,17.5,1144.0708

48,11:45-12:00,0,0,4.03,24.2,26.8708,0,21.78,48.4,0,0,26.87,90.98,54.88,0,241.98,0,26.39,48.4,96.79,0,67.75,0,14.14,26.39,84.38,26.39,4.84,96.79,0,25.15,6.78,0.97,8.8,48.4,0,17.5,1139.8508000000002

49,12:00-12:15,0,0,9.05,24.2,26.8708,0,21.78,48.4,0,0,26.87,90.98,54.88,0,241.98,0,26.39,48.4,96.79,0,67.75,0,14.14,26.39,84.38,26.39,4.84,96.79,0,25.15,6.78,0.97,8.8,48.4,0,17.5,1144.8708000000001

50,12:15-12:30,0,0,9.68,24.2,26.8708,0,21.78,48.4,0,0,26.87,90.98,54.88,0,241.98,0,26.39,48.4,96.79,0,67.75,0,14.14,26.39,84.38,26.39,4.84,96.79,0,25.15,6.78,0.97,8.8,48.4,0,17.5,1145.5008

51,12:30-12:45,0,0,9.39,24.2,26.8708,0,21.78,48.4,0,0,26.87,90.98,54.88,0,241.98,0,26.39,48.4,96.79,0,67.75,0,14.14,26.39,84.38,26.39,4.84,96.79,0,25.15,6.78,0.97,8.8,48.4,0,17.5,1145.2108

52,12:45-13:00,0,0,6.39,24.2,26.8708,0,21.78,48.4,0,0,26.87,90.98,54.88,0,241.98,0,26.39,48.4,96.79,0,67.75,0,14.14,26.39,84.38,26.39,4.84,96.79,0,25.15,6.78,0.97,8.8,48.4,0,17.5,1142.2108

53,13:00-13:15,0,0,6.4,24.2,26.8708,0,21.78,48.4,0,0,26.87,90.98,109.86,0,241.98,0,26.39,48.4,96.79,0,28.07,0,14.14,26.39,84.38,26.39,4.84,96.79,0,25.15,6.78,0.97,8.8,48.4,0,17.5,1157.5208000000002

54,13:15-13:30,0,0,5.53,24.2,26.8708,0,21.78,48.4,0,0,26.87,90.98,109.86,0,241.98,0,26.39,48.4,96.79,0,28.07,0,14.14,26.39,84.38,26.39,4.84,96.79,0,25.15,6.78,0.97,8.8,48.4,0,17.5,1156.6508000000001

55,13:30-13:45,0,0,4.89,24.2,26.8708,0,21.78,48.4,0,0,26.87,90.98,109.86,0,241.98,0,26.39,48.4,96.79,0,28.07,0,14.14,26.39,84.38,26.39,4.84,96.79,0,25.15,6.78,0.97,8.8,48.4,0,17.5,1156.0108000000002

56,13:45-14:00,0,0,5.99,24.2,26.8708,0,21.78,48.4,0,0,26.87,90.98,109.86,0,241.98,0,26.39,48.4,96.79,0,28.07,0,14.14,26.39,84.38,26.39,4.84,96.79,0,25.15,6.78,0.97,8.8,48.4,0,17.5,1157.1108000000002

57,14:00-14:15,0,0,3.31,24.2,26.8708,0,21.78,48.4,0,0,26.87,90.98,109.86,13.55,241.98,0,26.39,48.4,96.79,0,28.07,0,14.41,26.39,84.38,26.39,4.84,96.79,0,25.15,6.78,0.97,8.8,48.4,0,17.5,1168.2508

58,14:15-14:30,0,0,4.8,24.2,26.8708,0,21.78,48.4,0,0,26.87,90.98,109.86,13.55,241.98,0,26.39,48.4,96.79,0,28.07,0,14.41,26.39,84.38,26.39,4.84,96.79,0,25.15,6.78,0.97,8.8,48.4,0,17.5,1169.7408

59,14:30-14:45,0,0,5.55,24.2,26.8708,0,21.78,48.4,0,0,26.87,90.98,109.86,13.55,241.98,0,26.39,48.4,96.79,0,28.07,0,14.41,26.39,84.38,26.39,4.84,96.79,0,25.15,6.78,0.97,8.8,48.4,0,17.5,1170.4908

60,14:45-15:00,0,0,6.01,24.2,26.8708,0,21.78,48.4,0,0,26.87,90.98,109.86,13.55,241.98,0,26.39,48.4,96.79,0,28.07,0,14.41,26.39,84.38,26.39,4.84,96.79,0,25.15,6.78,0.97,8.8,48.4,0,17.5,1170.9508

61,15:00-15:15,0,0,3.23,24.2,26.8708,0,21.78,48.4,0,0,26.87,90.98,109.86,13.55,241.98,0,26.39,48.4,96.79,0,28.07,0,14.41,26.39,84.38,26.39,4.84,96.79,0,25.15,6.78,0.97,8.8,48.4,0,17.5,1168.1708

62,15:15-15:30,0,0,2.36,24.2,26.8708,0,21.78,48.4,0,0,26.87,90.98,109.86,13.55,241.98,0,26.39,48.4,96.79,0,28.07,0,14.41,26.39,84.38,26.39,4.84,96.79,0,25.15,6.78,0.97,8.8,48.4,0,17.5,1167.3008000000002

63,15:30-15:45,0,0,5.19,24.2,26.8708,0,21.78,48.4,0,0,26.87,90.98,109.86,13.55,241.98,0,26.39,48.4,96.79,0,28.07,0,14.41,26.39,84.38,26.39,4.84,96.79,0,25.15,7.74,0.97,8.8,48.4,0,17.5,1171.0908000000002

64,15:45-16:00,0,0,5.6,24.2,26.8708,0,21.78,48.4,0,0,26.87,90.98,109.86,13.55,241.98,0,26.39,48.4,96.79,0,28.07,0,14.41,26.39,84.38,26.39,4.84,96.79,0,25.15,9.68,0.97,8.8,48.4,0,17.5,1173.4408000000003

65,16:00-16:15,0,0,5.04,24.2,26.8708,0,21.78,48.4,0,0,26.87,90.98,109.86,13.55,241.98,0,26.39,48.4,96.79,0,28.07,0,14.6,26.39,84.38,26.39,4.84,96.79,0,25.15,9.68,0.87,8.8,48.4,0,17.5,1172.9708

66,16:15-16:30,0,0,3.38,24.2,26.8708,0,21.78,48.4,0,0,26.87,90.98,109.86,13.55,241.98,0,26.39,48.4,96.79,0,28.07,0,14.6,26.39,84.38,26.39,4.84,96.79,0,25.15,9.68,0.87,8.8,48.4,0,17.5,1171.3108000000002

67,16:30-16:45,0,0,2.11,24.2,26.8708,0,21.78,48.4,0,0,26.87,90.98,109.86,13.55,241.98,0,26.39,48.4,96.79,0,28.07,0,14.6,26.39,84.38,26.39,4.84,96.79,0,25.15,9.68,0.87,8.8,48.4,0,17.5,1170.0408000000002

68,16:45-17:00,0,0,1.41,24.2,26.8708,0,21.78,48.4,0,0,26.87,90.98,109.86,13.55,241.98,0,26.39,48.4,96.79,0,28.07,0,14.6,26.39,84.38,26.39,4.84,96.79,0,25.15,9.68,0.87,8.8,48.4,0,17.5,1169.3408000000002

69,17:00-17:15,0,0,0.49,24.2,26.8708,48.4,21.78,48.4,96.79,0,26.87,90.98,109.86,13.55,241.98,0,26.39,0,0,0,28.07,0,14.6,26.39,84.38,26.39,4.84,96.79,0,25.15,9.68,0.82,8.8,48.4,0,17.5,1168.3708000000004

70,17:15-17:30,0,0,2.24,24.2,26.8708,48.4,21.78,48.4,96.79,0,26.87,90.98,109.86,13.55,241.98,0,26.39,0,0,0,28.07,0,14.6,26.39,84.38,26.39,4.84,96.79,0,25.15,9.68,0.82,8.8,48.4,0,17.5,1170.1208000000004

71,17:30-17:45,0,0,1.14,24.2,26.8708,48.4,21.78,48.4,96.79,0,26.87,90.98,109.86,13.55,241.98,0,26.39,0,0,0,28.07,0,14.6,26.39,84.38,26.39,4.84,96.79,0,25.15,9.68,0.82,8.8,48.4,0,17.5,1169.0208000000002

72,17:45-18:00,0,0,0.78,24.2,26.8708,48.4,21.78,48.4,96.79,0,26.87,90.98,109.86,13.55,241.98,0,26.39,0,0,0,28.07,0,14.6,26.39,84.38,26.39,4.84,96.79,0,25.15,9.68,0.82,8.8,48.4,0,17.5,1168.6608000000003

73,18:00-18:15,0,0,0.81,24.2,26.8708,48.4,21.78,48.4,96.79,0,26.87,90.98,109.86,13.55,241.98,0,26.39,0,0,0,28.07,0,14.6,26.39,84.38,26.39,4.84,96.79,0,25.15,10.65,0.82,8.8,48.4,0,17.5,1169.6608000000003

74,18:15-18:30,0,0,0.41,24.2,26.8708,48.4,21.78,48.4,96.79,0,26.87,90.98,109.86,13.55,241.98,0,26.39,0,0,0,28.07,0,14.6,26.39,84.38,26.39,4.84,96.79,0,25.15,10.65,0.82,8.8,48.4,0,17.5,1169.2608000000002

75,18:30-18:45,0,0,0.07,24.2,26.8708,48.4,21.78,48.4,96.79,0,26.87,90.98,109.86,13.55,241.98,0,26.39,0,0,0,28.07,0,14.6,26.39,84.38,26.39,4.84,96.79,0,43.56,10.65,0.82,8.8,48.4,0,17.5,1187.3308000000002

76,18:45-19:00,0,0,0,24.2,24.3748,48.4,21.78,48.4,96.79,0,24.37,90.98,109.86,13.55,241.98,0,26.39,0,0,0,28.07,0,14.6,26.39,84.38,26.39,4.84,96.79,0,43.56,10.65,0.82,8.8,48.4,0,17.5,1182.2648000000002

77,19:00-19:15,0,0,0,24.2,26.8708,48.4,21.78,48.4,96.79,0,26.8708,90.98,109.86,13.55,241.98,0,26.39,0,0,0,28.07,0,14.6,26.39,84.38,26.39,4.84,96.79,0,43.56,11.61,0.82,8.8,48.4,2.42,17.5,1190.6416

78,19:15-19:30,0,0,0,24.2,26.8708,48.4,21.78,48.4,96.79,0,26.8708,90.98,109.86,13.55,241.98,0,26.39,0,0,0,28.07,0,14.6,26.39,84.38,26.39,4.84,96.79,0,43.56,11.61,0.82,8.8,48.4,2.42,17.5,1190.6416

79,19:30-19:45,0,0,0,24.2,26.8708,48.4,21.78,48.4,96.79,0,26.8708,90.98,109.86,13.55,241.98,0,26.39,0,0,0,28.07,0,14.6,26.39,84.38,26.39,4.84,96.79,0,43.56,11.61,0.82,8.8,48.4,2.42,17.5,1190.6416

