Time,Block,NR/2023/13383/A,NR/2023/16291/F,NR/2023/16077/A,NR/2023/16437/F,NR/2023/13148/A,NR/2023/16871/C,NR/2023/13519/A,NR/2023/16869/C,NR/2023/16861/C,NR/2023/13254/A,NR/2023/16724/F,NR/2023/13165/A,NR/2023/13150/A,NR/2023/16520/F,ER/2023/10679/C,NR/2023/13908/A,NR/2023/13636/A,ER/2023/10677/C,NR/2023/16291/F/II,NR/2023/13385/A,NR/2023/16858/C,NR/2023/16866/C,NR/2023/16857/D,NR/2023/13253/A,NR/2023/13242/A,NR/2023/13376/A,NR/2023/16191/A,NR/2023/16856/D,NR/2023/16842/D,NR/2023/13387/A,NR/2023/16841/D,NR/2023/16185/A,NR/2023/15770/A,NR/2023/16864/C,NR/2023/16073/A,Total
17,04:00-04:15,46.110000,0.580000,107.590000,148.040000,0.000000,0.000000,0.000000,0,7.070000,19.610000,193.340000,22.230000,63.030000,0.000000,2.000000,175.050000,19.160000,36.000000,0.000000,30.610000,0.000000,9.600000,0.000000,48.340000,29.580000,20.300000,142.100000,0,67.670000,100.050000,4.830000,77.340000,53.170000,0.000000,24.170000,1447.57

18,04:15-04:30,46.110000,0.580000,107.590000,148.040000,0.000000,0.000000,0.000000,0,7.070000,19.610000,193.340000,22.230000,63.030000,0.000000,2.000000,175.050000,19.160000,36.000000,0.000000,30.610000,0.000000,9.600000,0.000000,48.340000,29.580000,20.300000,142.100000,0,67.670000,100.050000,4.830000,77.340000,53.170000,0.000000,24.170000,1447.57

19,04:30-04:45,46.110000,0.580000,107.590000,148.040000,0.000000,0.000000,0.000000,0,7.070000,19.610000,193.340000,22.230000,63.030000,0.000000,2.000000,175.050000,19.160000,36.000000,0.000000,30.610000,0.000000,9.600000,0.000000,48.340000,29.580000,20.300000,142.100000,0,67.670000,100.050000,4.830000,77.340000,53.170000,0.000000,24.170000,1447.57

20,04:45-05:00,46.110000,0.580000,107.590000,148.040000,0.000000,0.000000,0.000000,0,7.070000,19.610000,193.340000,22.230000,63.030000,0.000000,2.000000,175.050000,19.160000,36.000000,0.000000,30.610000,0.000000,9.600000,0.000000,48.340000,29.580000,20.300000,142.100000,0,67.670000,100.050000,4.830000,77.340000,53.170000,0.000000,24.170000,1447.57

21,05:00-05:15,46.110000,0.580000,107.590000,148.040000,0.000000,0.000000,0.000000,0,7.070000,19.610000,193.340000,22.230000,63.030000,0.000000,2.000000,175.050000,19.160000,36.000000,0.000000,30.610000,0.000000,9.500000,0.000000,48.340000,0.000000,20.300000,142.100000,0,67.670000,100.050000,4.830000,77.340000,53.170000,0.000000,24.170000,1417.89

22,05:15-05:30,46.110000,0.580000,107.590000,148.040000,0.000000,0.000000,0.000000,0,7.070000,19.610000,193.340000,22.230000,63.030000,0.000000,2.000000,175.050000,19.160000,36.000000,0.000000,30.610000,0.000000,9.500000,0.000000,48.340000,0.000000,20.300000,142.100000,0,67.670000,100.050000,4.830000,77.340000,53.170000,0.000000,24.170000,1417.89

23,05:30-05:45,46.110000,0.580000,107.590000,148.040000,0.000000,0.000000,0.000000,0,7.070000,19.610000,193.340000,22.230000,63.030000,0.000000,2.000000,175.050000,19.160000,36.000000,0.000000,30.610000,0.000000,9.500000,0.000000,48.340000,0.000000,20.300000,142.100000,0,67.670000,100.050000,4.830000,77.340000,53.170000,0.000000,24.170000,1417.89

24,05:45-06:00,46.110000,0.580000,107.590000,148.040000,0.000000,0.000000,0.000000,0,6.050000,19.610000,193.340000,22.230000,63.030000,0.000000,2.000000,175.050000,19.160000,36.000000,0.000000,30.610000,0.000000,9.500000,0.000000,48.340000,0.000000,20.300000,142.100000,0,67.670000,100.050000,4.830000,77.340000,53.170000,0.000000,24.170000,1416.87

25,06:00-06:15,0.000000,0.680000,0.000000,148.040000,0.000000,0.000000,0.000000,0,6.050000,19.610000,193.340000,22.230000,63.030000,0.000000,2.000000,175.050000,19.160000,36.000000,0.000000,30.610000,0.000000,9.420000,0.000000,48.340000,0.000000,20.300000,142.100000,0,67.670000,100.050000,4.830000,77.340000,53.170000,0.000000,24.170000,1263.19

26,06:15-06:30,0.000000,0.680000,0.000000,148.040000,0.000000,0.000000,0.000000,0,6.050000,19.610000,193.340000,22.230000,63.030000,0.000000,2.000000,175.050000,19.160000,36.000000,0.000000,30.610000,0.000000,9.420000,0.000000,48.340000,0.000000,20.300000,142.100000,0,67.670000,100.050000,4.830000,77.340000,53.170000,0.000000,24.170000,1263.19

27,06:30-06:45,0.000000,0.680000,0.000000,148.040000,0.000000,0.000000,0.000000,0,6.050000,19.610000,193.340000,22.230000,63.030000,0.000000,2.000000,175.050000,19.160000,36.000000,0.000000,30.610000,0.000000,9.420000,0.000000,48.340000,0.000000,20.300000,142.100000,0.2,67.670000,100.050000,4.830000,77.340000,53.170000,0.000000,24.170000,1263.39

28,06:45-07:00,0.000000,0.680000,0.000000,148.040000,0.000000,0.000000,0.000000,0,6.050000,19.610000,193.340000,22.230000,63.030000,0.000000,2.000000,175.050000,19.160000,36.000000,0.000000,30.610000,0.000000,9.420000,0.000000,48.340000,0.000000,20.300000,142.100000,0.48,67.670000,100.050000,4.830000,77.340000,53.170000,0.000000,24.170000,1263.67

29,07:00-07:15,0.000000,0.680000,0.000000,148.040000,0.000000,0.000000,0.000000,0,6.050000,19.610000,193.340000,22.230000,63.030000,0.000000,2.000000,175.050000,19.160000,0.000000,0.000000,30.610000,0.000000,9.320000,0.000000,48.340000,0.000000,20.300000,142.100000,0.69,67.670000,100.050000,4.830000,77.340000,53.170000,0.000000,24.170000,1227.78

30,07:15-07:30,0.000000,0.680000,0.000000,148.040000,0.000000,0.000000,0.000000,0,6.050000,19.610000,193.340000,22.230000,63.030000,0.000000,2.000000,175.050000,19.160000,0.000000,0.000000,30.610000,0.000000,9.320000,0.000000,48.340000,0.000000,20.300000,142.100000,0.78,67.670000,100.050000,4.830000,77.340000,53.170000,0.000000,24.170000,1227.87

31,07:30-07:45,0.000000,0.680000,0.000000,148.040000,0.000000,0.000000,0.000000,0,6.050000,19.610000,193.340000,22.230000,63.030000,0.000000,2.000000,175.050000,19.160000,0.000000,0.000000,30.610000,0.000000,9.320000,0.000000,48.340000,0.000000,20.300000,142.100000,1.04,67.670000,100.050000,4.830000,77.340000,53.170000,0.000000,24.170000,1228.13

32,07:45:08:00,0.000000,0.680000,0.000000,148.040000,0.000000,0.000000,0.000000,0,6.050000,19.610000,193.340000,22.230000,63.030000,0.000000,2.000000,175.050000,19.160000,0.000000,0.000000,30.610000,0.000000,9.320000,0.000000,48.340000,0.000000,20.300000,142.100000,1.34,67.670000,100.050000,4.830000,77.340000,53.170000,0.000000,24.170000,1228.43

33,08:00-08:15,0.000000,0.970000,0.000000,148.040000,0.000000,0.000000,0.000000,0,6.050000,19.610000,193.340000,22.230000,63.030000,0.000000,2.000000,175.050000,19.160000,0.000000,0.000000,30.610000,17.400000,9.320000,38.670000,48.340000,0.000000,20.300000,142.100000,1.67,67.670000,100.050000,4.830000,77.340000,53.170000,0.000000,24.170000,1285.12

34,08:15-08:30,0.000000,0.970000,0.000000,148.040000,0.000000,0.000000,0.000000,0,6.050000,19.610000,193.340000,22.230000,63.030000,0.000000,2.000000,175.050000,19.160000,0.000000,0.000000,30.610000,17.400000,9.320000,38.670000,48.340000,0.000000,20.300000,142.100000,2.1,67.670000,100.050000,4.830000,77.340000,53.170000,0.000000,24.170000,1285.55

35,08:30-08:45,0.000000,0.970000,0.000000,148.040000,0.000000,0.000000,0.000000,0,6.050000,19.610000,193.340000,22.230000,63.030000,0.000000,2.000000,175.050000,19.160000,0.000000,0.000000,30.610000,17.400000,9.320000,38.670000,48.340000,0.000000,20.300000,142.100000,2.47,67.670000,100.050000,4.830000,77.340000,53.170000,0.000000,24.170000,1285.92

36,08:45:09:00,0.000000,0.970000,0.000000,148.040000,0.000000,0.000000,0.000000,0,6.050000,19.610000,193.340000,22.230000,63.030000,0.000000,2.000000,175.050000,19.160000,0.000000,0.000000,30.610000,17.400000,9.320000,38.670000,48.340000,0.000000,20.300000,142.100000,2.67,67.670000,100.050000,4.830000,77.340000,53.170000,0.000000,24.170000,1286.12

37,09:00:09:15,0.000000,0.970000,0.000000,148.040000,0.000000,8.220000,0.000000,15.95,8.070000,19.610000,193.340000,22.230000,63.030000,0.000000,2.000000,175.050000,19.160000,0.000000,0.000000,30.610000,17.400000,9.320000,38.670000,48.340000,0.000000,20.300000,142.100000,2.79,67.670000,100.050000,4.830000,77.340000,53.170000,29.000000,24.170000,1341.43

38,09:15-09:30,0.000000,0.970000,0.000000,148.040000,0.000000,8.220000,0.000000,15.95,8.070000,19.610000,193.340000,22.230000,63.030000,0.000000,2.000000,175.050000,19.160000,0.000000,0.000000,30.610000,17.400000,9.320000,38.670000,48.340000,0.000000,20.300000,142.100000,3.32,67.670000,100.050000,4.830000,77.340000,53.170000,29.000000,24.170000,1341.96

39,09:30-09:45,0.000000,0.970000,0.000000,148.040000,0.000000,8.220000,0.000000,15.95,8.070000,19.610000,193.340000,22.230000,63.030000,0.000000,2.000000,175.050000,19.160000,0.000000,0.000000,30.610000,17.400000,9.320000,38.670000,48.340000,0.000000,20.300000,142.100000,4.36,67.670000,100.050000,4.830000,77.340000,53.170000,29.000000,24.170000,1343

40,09:45-10:00,0.000000,0.970000,0.000000,148.040000,0.000000,8.220000,0.000000,15.95,8.070000,19.610000,193.340000,22.230000,63.030000,0.000000,2.000000,175.050000,19.160000,0.000000,0.000000,30.610000,17.400000,9.320000,38.670000,48.340000,0.000000,20.300000,142.100000,5.22,67.670000,100.050000,4.830000,77.340000,53.170000,29.000000,24.170000,1343.86

41,10:00-10:15,0.000000,0.970000,0.000000,148.040000,0.000000,8.220000,0.000000,15.95,8.070000,19.610000,193.340000,22.230000,63.030000,0.000000,2.000000,175.050000,19.160000,0.000000,0.000000,30.610000,17.400000,9.320000,38.670000,48.340000,0.000000,20.300000,142.100000,6.04,67.670000,100.050000,4.830000,77.340000,53.170000,29.000000,24.170000,1344.68

42,10:15-10:30,0.000000,0.970000,0.000000,148.040000,0.000000,8.220000,0.000000,15.95,8.070000,19.610000,193.340000,22.230000,63.030000,0.000000,2.000000,175.050000,19.160000,0.000000,0.000000,30.610000,17.400000,9.320000,38.670000,48.340000,0.000000,20.300000,142.100000,7.13,67.670000,100.050000,4.830000,77.340000,53.170000,29.000000,24.170000,1345.77

43,10:30-10:45,0.000000,0.970000,0.000000,148.040000,0.000000,8.220000,0.000000,15.95,8.070000,19.610000,193.340000,22.230000,63.030000,0.000000,2.000000,175.050000,19.160000,0.000000,0.000000,30.610000,17.400000,9.320000,38.670000,48.340000,0.000000,20.300000,142.100000,8.37,67.670000,100.050000,4.830000,77.340000,53.170000,29.000000,24.170000,1347.01

44,10:45-11:00,0.000000,0.970000,0.000000,148.040000,0.000000,8.220000,0.000000,15.95,9.080000,19.610000,193.340000,22.230000,63.030000,0.000000,2.000000,175.050000,19.160000,0.000000,0.000000,30.610000,17.400000,9.320000,38.670000,48.340000,0.000000,20.300000,142.100000,7.73,67.670000,100.050000,4.830000,77.340000,53.170000,29.000000,24.170000,1347.38

45,11:00-11:15,0.000000,0.970000,0.000000,148.040000,0.000000,8.220000,0.000000,15.95,9.080000,19.610000,193.340000,22.230000,63.030000,0.000000,2.000000,175.050000,19.160000,0.000000,0.000000,30.610000,17.400000,9.230000,38.670000,48.340000,0.000000,20.300000,142.100000,7.01,67.670000,100.050000,4.830000,77.340000,53.170000,29.000000,24.170000,1346.57

46,11:15-11:30,0.000000,0.970000,0.000000,148.040000,0.000000,8.220000,0.000000,15.95,9.080000,19.610000,193.340000,22.230000,63.030000,0.000000,2.000000,175.050000,19.160000,0.000000,0.000000,30.610000,17.400000,9.230000,38.670000,48.340000,0.000000,20.300000,142.100000,7.25,67.670000,100.050000,4.830000,77.340000,53.170000,29.000000,24.170000,1346.81

47,11:30-11:45,0.000000,0.970000,0.000000,148.040000,0.000000,8.220000,0.000000,15.95,9.080000,19.610000,193.340000,22.230000,63.030000,0.000000,2.000000,175.050000,19.160000,0.000000,0.000000,30.610000,17.400000,9.230000,38.670000,48.340000,0.000000,20.300000,142.100000,7.01,67.670000,100.050000,4.830000,77.340000,53.170000,29.000000,24.170000,1346.57

48,11:45-12:00,0.000000,0.970000,0.000000,148.040000,0.000000,8.220000,0.000000,15.95,9.080000,19.610000,193.340000,22.230000,63.030000,0.000000,2.000000,175.050000,19.160000,0.000000,0.000000,30.610000,17.400000,9.230000,38.670000,48.340000,0.000000,20.300000,142.100000,6.04,67.670000,100.050000,4.830000,77.340000,53.170000,29.000000,24.170000,1345.6

49,12:00-12:15,0.000000,0.970000,0.000000,148.040000,0.000000,8.220000,0.000000,15.95,9.080000,19.610000,193.340000,22.230000,63.030000,0.000000,2.000000,175.050000,19.160000,0.000000,0.000000,30.610000,17.400000,9.230000,38.670000,48.340000,0.000000,20.300000,142.100000,5.32,67.670000,100.050000,4.830000,77.340000,53.170000,29.000000,24.170000,1344.88

50,12:15-12:30,0.000000,0.970000,0.000000,148.040000,0.000000,8.220000,0.000000,15.95,9.080000,19.610000,193.340000,22.230000,63.030000,0.000000,2.000000,175.050000,19.160000,0.000000,0.000000,30.610000,17.400000,9.230000,38.670000,48.340000,0.000000,20.300000,142.100000,4.35,67.670000,100.050000,4.830000,77.340000,53.170000,29.000000,24.170000,1343.91

51,12:30-12:45,0.000000,0.970000,0.000000,148.040000,0.000000,8.220000,0.000000,15.95,9.080000,19.610000,193.340000,22.230000,63.030000,0.000000,2.000000,175.050000,19.160000,0.000000,0.000000,30.610000,17.400000,9.230000,38.670000,48.340000,0.000000,20.300000,142.100000,4.91,67.670000,100.050000,4.830000,77.340000,53.170000,29.000000,24.170000,1344.47

52,12:45-13:00,0.000000,0.970000,0.000000,148.040000,0.000000,8.220000,0.000000,15.95,9.080000,19.610000,193.340000,22.230000,63.030000,0.000000,2.000000,175.050000,19.160000,0.000000,0.000000,30.610000,17.400000,9.230000,38.670000,48.340000,0.000000,20.300000,142.100000,4.19,67.670000,100.050000,4.830000,77.340000,53.170000,29.000000,24.170000,1343.75

53,13:00-13:15,0.000000,0.970000,0.000000,148.040000,0.000000,8.220000,0.000000,15.95,9.080000,19.610000,193.340000,22.230000,63.030000,0.000000,2.000000,175.050000,19.160000,0.000000,0.000000,30.610000,17.400000,9.140000,38.670000,48.340000,0.000000,20.300000,142.100000,5.49,67.670000,100.050000,4.830000,77.340000,53.170000,29.000000,24.170000,1344.96

54,13:15-13:30,0.000000,0.970000,0.000000,148.040000,0.000000,8.220000,0.000000,15.95,9.080000,19.610000,193.340000,22.230000,63.030000,0.000000,2.000000,175.050000,19.160000,0.000000,0.000000,30.610000,17.400000,9.140000,38.670000,48.340000,0.000000,20.300000,142.100000,6.04,67.670000,100.050000,4.830000,77.340000,53.170000,29.000000,24.170000,1345.51

55,13:30-13:45,0.000000,0.970000,0.000000,148.040000,0.000000,8.220000,0.000000,15.95,9.080000,19.610000,193.340000,22.230000,63.030000,0.000000,2.000000,175.050000,19.160000,0.000000,0.000000,30.610000,17.400000,9.140000,38.670000,48.340000,0.000000,20.300000,142.100000,5.8,67.670000,100.050000,4.830000,77.340000,53.170000,29.000000,24.170000,1345.27

56,13:45-14:00,0.000000,0.970000,0.000000,148.040000,0.000000,8.220000,0.000000,15.95,9.080000,19.610000,193.340000,22.230000,63.030000,0.000000,2.000000,175.050000,19.160000,0.000000,0.000000,30.610000,17.400000,9.140000,38.670000,48.340000,0.000000,20.300000,142.100000,5.96,67.670000,100.050000,4.830000,77.340000,53.170000,29.000000,24.170000,1345.43

57,14:00-14:15,0.000000,0.970000,0.000000,148.040000,0.000000,8.220000,58.430000,15.95,9.080000,19.610000,193.340000,22.230000,63.030000,0.000000,2.000000,175.050000,19.160000,0.000000,0.000000,30.610000,17.400000,9.140000,38.670000,48.340000,0.000000,20.300000,142.100000,6.25,67.670000,100.050000,4.830000,77.340000,53.170000,29.000000,24.170000,1404.15

58,14:15-14:30,0.000000,0.970000,0.000000,148.040000,0.000000,8.220000,58.430000,15.95,9.080000,19.610000,193.340000,22.230000,63.030000,0.000000,2.000000,175.050000,19.160000,0.000000,0.000000,30.610000,17.400000,9.140000,38.670000,48.340000,0.000000,20.300000,142.100000,6.04,67.670000,100.050000,4.830000,77.340000,53.170000,29.000000,24.170000,1403.94

59,14:30-14:45,0.000000,0.970000,0.000000,148.040000,0.000000,8.220000,58.430000,15.95,9.080000,19.610000,193.340000,22.230000,63.030000,0.000000,2.000000,175.050000,19.160000,0.000000,0.000000,30.610000,17.400000,9.140000,38.670000,48.340000,0.000000,20.300000,142.100000,5.95,67.670000,100.050000,4.830000,77.340000,53.170000,29.000000,24.170000,1403.85

60,14:45-15:00,0.000000,0.970000,0.000000,148.040000,0.000000,8.220000,58.430000,15.95,9.080000,19.610000,193.340000,22.230000,63.030000,0.000000,2.000000,175.050000,19.160000,0.000000,0.000000,30.610000,17.400000,9.140000,38.670000,48.340000,0.000000,20.300000,142.100000,6.27,67.670000,100.050000,4.830000,77.340000,53.170000,29.000000,24.170000,1404.17

61,15:00-15:15,0.000000,0.870000,0.000000,148.040000,0.000000,8.220000,58.430000,15.95,9.080000,19.610000,193.340000,22.230000,63.030000,0.000000,2.000000,175.050000,19.160000,0.000000,0.000000,30.610000,17.400000,9.230000,38.670000,48.340000,0.000000,20.300000,142.100000,4.28,67.670000,100.050000,4.830000,77.340000,53.170000,29.000000,24.170000,1402.17

62,15:15-15:30,0.000000,0.870000,0.000000,148.040000,0.000000,8.220000,58.430000,15.95,9.080000,19.610000,193.340000,22.230000,63.030000,0.000000,2.000000,175.050000,19.160000,0.000000,0.000000,30.610000,17.400000,9.230000,38.670000,48.340000,0.000000,20.300000,142.100000,5.79,67.670000,100.050000,4.830000,77.340000,53.170000,29.000000,24.170000,1403.68

63,15:30-15:45,0.000000,0.870000,0.000000,148.040000,0.000000,8.220000,58.430000,15.95,9.080000,19.610000,193.340000,22.230000,63.030000,0.000000,2.000000,175.050000,19.160000,0.000000,0.000000,30.610000,17.400000,9.230000,38.670000,48.340000,0.000000,20.300000,142.100000,4.4,67.670000,100.050000,4.830000,77.340000,53.170000,29.000000,24.170000,1402.29

