Column1,Block,NR/2024/23856/C,NR/2024/23857/C,GNA/NR/2024/11/01/4503,GNA/NR/2024/11/01/1868,NR/30092023/31122025/SH-07,NR/2024/23769/A/42372,NR/2024/23807/A/42371,NR/2024/23844/C,NR/30092023/26122029/SH-06,GNA/NR/2024/11/01/9061,WR/2024/24788/A/42527,NR/2024/23420/A/42369,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/11/01/5444,GNA/NR/2024/11/01/5428,GNA/NR/2024/11/01/9042,GNA/WR/2024/11/01/4200,GNA/WR/2024/10/15/7089,GNA/NR/2024/11/01/5474,GNA/NR/2024/11/01/3646,NR/2024/23851/C,Total
71,17:30-17:45,0,0,7.2,11.04,26.91,5.76,4.8,2.88,26.91,33.14,0,0.58,3.67,33.14,33.14,22.1,0,0,0,0,0.16,211.43

72,17:45-18:00,0,0,7.2,11.04,25.28,5.76,4.8,2.88,25.28,33.14,0,0.58,3.67,33.14,33.14,22.1,0,0,0,0,0,208.00999999999996

73,18:00-18:15,0,0,7.2,11.04,32,5.76,4.8,2.88,23.17,33.14,38.38,0.62,3.67,33.14,33.14,22.1,50,150,0,0,0,451.03999999999996

74,18:15-18:30,0,0,7.2,11.04,32,5.76,4.8,2.88,23.17,33.14,38.38,0.62,3.67,33.14,33.14,22.1,50,150,0,0,0,451.03999999999996

75,18:30-18:45,0,0,7.2,11.04,32,5.76,4.8,2.88,23.17,33.14,38.38,0.62,3.67,33.14,33.14,22.1,50,150,0,0,0,451.03999999999996

76,18:45-19:00,0,0,7.2,11.04,32,5.76,4.8,2.88,23.17,33.14,38.38,0.62,3.67,33.14,33.14,22.1,50,150,0,0,0,451.03999999999996

77,19:00-19:15,0,0,7.2,11.04,32,5.76,4.8,2.88,23.17,33.14,38.38,0.62,3.75,33.14,33.14,22.1,50,150,0,0,0,451.12

78,19:15-19:30,0,0,7.2,11.04,32,5.76,4.8,2.88,23.17,33.14,38.38,0.62,3.75,33.14,33.14,22.1,50,150,0,0,0,451.12

79,19:30-19:45,0,0,7.2,11.04,25.28,5.76,4.8,2.88,25.28,33.14,38.38,0.62,3.75,33.14,33.14,22.1,50,150,0,0,0,446.51

80,19:45-20:00,0,0,7.2,11.04,25.28,5.76,4.8,2.88,25.28,33.14,38.38,0.62,3.75,33.14,33.14,22.1,50,150,0,0,0,446.51

81,20:00-20:15,0,0,7.2,11.04,23.17,5.76,4.8,2.88,32,33.14,38.38,0.62,3.75,33.14,33.14,22.1,50,200,0,0,0,501.12

82,20:15-20:30,0,0,7.2,11.04,23.17,5.76,4.8,2.88,32,33.14,38.38,0.62,3.75,33.14,33.14,22.1,50,200,0,0,0,501.12

83,20:30-20:45,0,0,7.2,11.04,23.17,5.76,4.8,2.88,32,33.14,38.38,0.62,3.75,33.14,33.14,22.1,50,200,0,0,0,501.12

84,20:45-21:00,0,0,7.2,11.04,23.17,5.76,4.8,2.88,32,33.14,38.38,0.62,3.75,33.14,33.14,22.1,50,200,0,0,0,501.12

85,21:00-21:15,0,0,7.2,8.72,26.32,5.76,4.8,2.88,32,26.17,38.38,0.62,3.75,26.17,26.17,17.45,50,200,0,0,0,476.39000000000004

86,21:15-21:30,0,0,7.2,8.72,26.32,5.76,4.8,2.88,32,26.17,38.38,0.62,3.75,26.17,26.17,17.45,50,200,0,0,0,476.39000000000004

87,21:30-21:45,0,0,7.2,8.72,26.32,5.76,4.8,2.88,32,26.17,38.38,0.62,3.75,26.17,26.17,17.45,50,200,0,0,0,476.39000000000004

88,21:45-22:00,0,0,7.2,8.72,26.32,5.76,4.8,2.88,32,26.17,38.38,0.62,3.75,26.17,26.17,17.45,50,200,0,0,0,476.39000000000004

89,22:00-22:15,0,0,7.2,8.72,23.17,5.76,4.8,1.92,32,26.17,38.38,0.62,3.75,26.17,26.17,17.45,50,200,285.39,95.12,0,852.7900000000001

90,22:15-22:30,0,0,7.2,8.72,23.17,5.76,4.8,1.92,32,26.17,38.38,0.62,3.75,26.17,26.17,17.45,50,200,285.39,95.12,0,852.7900000000001

91,22:30-22:45,0,0,7.2,8.72,23.17,5.76,4.8,1.92,32,26.17,38.38,0.62,3.75,26.17,26.17,17.45,50,200,285.39,95.12,0,852.7900000000001

92,22:45-23:00,0,0,7.2,8.72,23.17,5.76,4.8,1.92,32,26.17,38.38,0.62,3.75,26.17,26.17,17.45,50,200,285.39,95.12,0,852.7900000000001

93,23:00-23:15,0,0,7.2,8.72,26.32,5.76,4.8,1.92,32,26.17,38.38,0.62,3.67,26.17,26.17,17.45,50,200,285.39,95.12,0,855.86

94,23:15-23:30,0,0,7.2,8.72,26.32,5.76,4.8,1.92,32,26.17,38.38,0.62,3.67,26.17,26.17,17.45,50,200,285.39,95.12,0,855.86

95,23:30-23:45,0,0,7.2,8.72,26.32,5.76,4.8,1.92,32,26.17,38.38,0.62,3.67,26.17,26.17,17.45,50,200,285.39,95.12,0,855.86

96,23:45-24:00,0,0,7.2,8.72,26.32,5.76,4.8,1.92,32,26.17,38.38,0.62,3.67,26.17,26.17,17.45,50,200,285.39,95.12,0,855.86

