Block,Time Block,NAPP,NLCIIST2,NLCEXP,MAPS,NJPC,NLCIIST1,RSTPSU7,KOTESHWR,KHSTPP-II,KKNP,KKNPPU2,KOLDAM,KISHANGANGA,KHSTPP-I,KUDGI,KGSU1AND2,KGSU3AND4,CHAMERA2,JHAJJAR,BRBCL,CHAMERA1,BSIUL,CHAMERA3,DHAULIGNGA,FSTPP I & II,DADRT2,DULHASTI,AURY_GF,AURY_CRF,ANTA_RF,AURY_RF,DADRI_LF,AURY_LF,DADRI_GF,DADRI_CRF,DADRI_RF,ANTA_CRF,ANTA_LF,ANTA_GF,RIHAND3,RSTPSU1TO6,NLCTS2EXP,RAMPUR,NTPL,RAPPC,RIHAND1,PARBATI3,RIHAND2,RAPPB,NNTPP,SEWA2,SINGRAULI,SASAN,SALAL,SIMHST1,SINGRAULI_HYDRO,SIMHST2,TALST2,TANAKPUR,URI2,UNCHAHAR3,TALA,TelanganaSTPP,UNCHAHAR2,TEHRI,URI,TANDA2,UNCHAHAR1,VALLURNTECL,UNCHAHAR4,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
48,11:45-12:00,39.7,0,0,0,0,0,0,8.56,106.36,0,0,0,0,31.8,0,0,0,2.32,237.94,19.31,0,0,0,0,15.1,181.38,15.91,0,0,0,0,0,0,0,0,0,0,0,0,120.03,0,0,0,0,50.11,76.05,0,87.05,0,0,0,86.51,336.94,12.34,0,0,0,0,5.56,4.41,0,0,0,30.68,0,37.84,0,14.97,0,0,0,0,0,0,0

49,12:00-12:15,39.7,0,0,0,0,0,0,8.56,106.36,0,0,0,0,31.8,0,0,0,2.32,237.94,19.31,0,0,0,0,15.1,181.38,15.91,0,0,0,0,0,0,0,0,0,0,0,0,107.82,0,0,0,0,50.11,76.05,0,87.05,0,0,0,86.51,336.94,12.34,0,0,0,0,5.56,18.18,0,0,0,30.68,0,2.13,0,14.97,0,0,0,0,0,0,0

50,12:15-12:30,39.7,0,0,0,0,0,0,8.56,106.36,0,0,0,0,31.8,0,0,0,2.32,237.94,19.31,0,0,0,0,15.1,181.38,15.91,0,0,0,0,0,0,0,0,0,0,0,0,107.82,0,0,0,0,50.11,76.05,0,87.05,0,0,0,86.51,336.94,12.34,0,0,0,0,5.56,18.18,0,0,0,30.68,0,2.13,0,14.97,0,0,0,0,0,0,0

51,12:30-12:45,39.7,0,0,0,0,0,0,8.56,106.36,0,0,0,0,31.8,0,0,0,2.32,237.94,19.31,0,0,0,0,15.1,181.38,15.91,0,0,0,0,0,0,0,0,0,0,0,0,107.82,0,0,0,0,50.11,76.05,0,87.05,0,0,0,86.51,336.94,12.34,0,0,0,0,5.56,18.18,0,0,0,30.68,0,2.13,0,14.97,0,0,0,0,0,0,0

52,12:45-13:00,39.7,0,0,0,0,0,0,8.56,106.36,0,0,0,0,31.8,0,0,0,2.32,237.94,19.31,0,0,0,0,15.1,181.38,15.91,0,0,0,0,0,0,0,0,0,0,0,0,100.09,0,0,0,0,50.11,76.05,0,87.05,0,0,0,86.51,336.94,12.34,0,0,0,0,5.56,18.18,0,0,0,30.68,0,2.13,0,14.97,0,0,0,0,0,0,0

53,13:00-13:15,39.7,0,0,0,0,0,0,8.56,106.36,0,0,0,0,31.8,0,0,0,2.32,237.94,19.31,0,0,0,0,15.1,181.38,15.91,0,0,0,0,0,0,0,0,0,0,0,0,98.16,0,0,0,0,50.11,76.05,0,87.05,0,0,0,86.51,336.94,12.34,0,0,0,0,11.5,18.18,0,0,0,30.68,0,2.13,0,14.97,0,0,0,0,0,0,0

54,13:15-13:30,39.7,0,0,0,22.58,0,0,8.56,106.36,0,0,0,0,31.8,0,0,0,2.32,237.94,19.31,0,0,0,0,15.1,181.38,15.91,0,0,0,0,0,0,0,0,0,0,0,0,98.16,0,0,0,0,50.11,76.05,0,87.05,0,0,0,86.51,336.94,12.34,0,0,0,0,11.5,18.18,0,0,0,30.68,0,2.13,0,14.97,0,0,0,0,0,0,0

55,13:30-13:45,39.7,0,0,0,22.58,0,0,8.56,106.36,0,0,0,0,31.8,0,0,0,2.32,237.94,19.31,0,0,0,0,15.1,181.38,15.91,0,0,0,0,0,0,0,0,0,0,0,0,97.2,0,0,0,0,50.11,76.05,0,86.08,0,0,0,86.51,318.89,12.34,0,0,0,0,6.18,4.41,0,0,0,30.68,0,2.13,0,14.97,0,0,0,0,0,0,0

56,13:45-14:00,39.7,0,0,0,22.58,0,0,8.56,106.36,0,0,0,0,31.8,0,0,0,2.32,237.94,19.31,0,0,0,0,15.1,181.38,15.91,0,0,0,0,0,0,0,0,0,0,0,0,97.2,0,0,0,0,50.11,76.05,0,86.08,0,0,0,86.51,314.07,12.34,0,0,0,0,6.18,4.41,0,0,0,30.68,0,2.13,0,14.97,0,0,0,0,0,0,0

57,14:00-14:15,39.7,0,0,0,22.58,0,0,8.56,106.36,0,0,0,0,31.8,0,0,0,2.32,236.97,19.31,0,0,0,0,15.1,182.07,15.91,0,0,0,0,0,0,0,0,0,0,0,0,100.09,0,0,0,0,50.11,76.05,0,86.08,0,0,0,86.51,323.22,12.34,0,0,0,0,6.18,4.41,0,0,0,30.48,0,2.13,0,14.87,0,0,0,0,0,0,0

58,14:15-14:30,39.7,0,0,0,22.58,0,0,8.56,106.36,0,0,0,0,31.8,0,0,0,2.32,236.97,19.31,0,0,0,0,15.1,182.07,15.91,0,0,0,0,0,0,0,0,0,0,0,0,100.09,0,0,0,0,50.11,76.05,0,86.08,0,0,0,86.51,336.94,12.34,0,0,0,0,6.18,4.41,0,0,0,30.48,0,2.13,0,14.87,0,0,0,0,0,0,0

59,14:30-14:45,39.7,0,0,0,22.58,0,0,8.56,106.36,0,0,0,0,31.8,0,0,0,2.32,236.97,19.31,0,0,0,0,15.1,182.07,15.91,0,0,0,0,0,0,0,0,0,0,0,0,120.03,0,0,0,0,50.11,76.05,0,97.58,0,0,0,86.51,336.94,12.34,0,0,0,0,6.18,4.41,0,0,0,30.48,0,2.13,0,14.87,0,0,0,0,0,0,0

60,14:45-15:00,39.7,0,0,0,22.58,0,0,8.56,106.36,0,0,0,0,31.8,0,0,0,2.32,236.97,19.31,0,0,0,0,15.1,182.07,15.91,0,0,0,0,0,0,0,0,0,0,0,0,120.03,0,0,0,0,50.11,76.05,0,99.76,0,0,0,96.16,336.94,12.34,0,0,0,0,6.18,4.41,0,0,0,30.48,0,2.13,0,14.87,0,0,0,0,0,0,0

61,15:00-15:15,39.7,0,0,0,25.42,0,0,8.56,106.36,0,0,0,0,31.8,0,0,0,2.32,236.97,19.31,0,0,0,0,15.1,182.07,31.82,0,0,0,0,0,0,0,0,0,0,0,0,120.03,0,0,0,0,50.11,76.05,0,99.76,0,0,0,117.63,336.94,20.19,0,0,0,0,11.5,4.41,0,0,0,30.48,0,2.13,0,14.87,0,0,0,0,0,0,0

