Column1,Time,GNA/NR/2025/08/01/3698,GNA/NR/2025/07/01/1044,GNA/NR/2025/08/01/6209,NR/01102023/05012040/L_NR_2020_02,GNA/NR/2025/08/01/5784,NR/01102023/06022042/L_NR_2012_02,GNA/NR/2025/07/01/2952,NR/30092023/26122029/SH-06,NR/30092023/31122025/SH-07,NR/01102023/19072037/LT-05,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2025/07/01/8128,GNA/NR/2025/08/01/2414,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/08/01/4125,GNA/NR/2025/08/01/6452,NR/26072023/31072042/L_NR_2023_07,L_NR_2019_19,NR/26072023/25122043/L_NR_2023_10,NR/22102023/11042047/L_NR_2021_16,WR/01102023/29112042/L_NR_2019_05,GNARE/NR/2024/12/20/3668,NR/01102023/25072045/L_NR_2021_15,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01102023/13082046/L_NR_2021_12,NR/22102023/11042047/L_NR_2021_17,NR/01102023/02122045/L_NR_2021_13,NR/01102023/08032047/L_NR_2021_14,WR/01102023/24112044/L_NR_2020_07,WR/01102023/30052048/L_NR_2022_10,WR/01102023/31032046/L_NR_2020_05,WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2020_06,WR/01102023/01102023/L_NR_2022_09,WR/01102023/29112042/RUMS(L_NR_2019_07),GNARE/SR/2025/01/13/4532,NR/01102023/30042040/GNA_LT_35,GNA/NR/2025/08/01/4452,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2025/08/01/6475,GNA/NR/2025/08/01/6187,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/31052040/LT-31,GNA/NR/2025/08/01/5126,NR/01102023/31102037/L_NR_2019_11,GNA/NR/2025/06/07/5932,NR/01102023/22052037/LT-59,NR/01102023/30042040/GNA_LT_36,GNA/NR/2025/08/01/1196,NR/01102023/15082037/GNA_NR_2012_01
8,01:45-02:00,14.6,5.91,48.18,7.15,96.35,122.27,8.53,26.64,26.64,70.27,66.99,12.67,48.18,18.72,14.6,24.09,0,0,0,0,0,0,0,0,0,0,0,0,16.67,54,49.99,14.36,16.67,54,0,8.2,0,15.27,270.98,20.79,16.83,26.75,0,24.09,10.75,-0,10.5,0,19.27,100.38

9,02:00-02:15,14.6,5.91,96.35,6.91,96.35,130.36,8.53,26.93,26.93,70.27,86.91,12.67,48.18,18.54,14.6,24.09,0,0,0,0,0,0,0,0,0,0,0,0,16.83,61.66,50.51,14.28,16.83,61.67,0,8,0,15.27,270.98,20.79,16.83,26.75,0,24.09,10.75,-0,10.5,0,19.27,100.38

10,02:15-02:30,14.6,5.91,96.35,6.91,96.35,130.36,8.53,26.93,26.93,70.27,86.91,12.67,48.18,18.54,14.6,24.09,0,0,0,0,0,0,0,0,0,0,0,0,17.17,61,51.49,14.21,17.17,61,0,8.2,0,15.27,270.98,20.79,16.83,26.75,0,24.09,10.75,-0,10.5,0,19.27,100.38

11,02:30-02:45,14.6,5.91,96.35,6.91,96.35,102.57,8.53,26.93,26.93,70.27,65.15,12.67,48.18,18.54,14.6,24.09,0,0,0,0,0,0,0,0,0,0,0,0,16.13,52,48.38,14,16.13,52,0,8,0,15.27,232.44,20.79,16.83,26.75,0,24.09,10.75,-0,10.5,0,19.27,100.38

12,02:45-03:00,14.6,5.91,96.35,6.91,96.35,102.57,8.53,26.93,26.93,70.27,65.15,12.67,48.18,18.54,14.6,24.09,0,0,0,0,0,0,0,0,0,0,0,0,15.97,51.66,47.88,13.78,15.97,51.67,0,7.8,0,15.27,193.9,20.79,16.83,26.75,0,24.09,10.75,-0,10.5,0,19.27,100.38

13,03:00-03:15,14.6,5.91,96.35,6.68,96.35,130.36,8.53,26.93,26.93,96.34,85.07,12.67,48.18,18.54,14.6,24.09,0,0,0,0,0,0,0,0,0,0,0,0,15.42,50.66,46.27,13.45,15.42,50.67,0,7,0,15.27,232.44,20.79,16.83,26.75,0,24.09,10.75,-0,10.5,0,19.27,100.38

14,03:15-03:30,14.6,5.91,96.35,6.68,96.35,130.36,8.53,26.93,26.93,70.27,85.07,12.67,48.18,18.54,14.6,24.09,0,0,0,0,0,0,0,0,0,0,0,0,14.82,49.34,44.43,13.04,14.82,49.33,0,6,0,15.27,270.98,20.79,16.83,26.75,0,24.09,10.75,-0,10.5,0,19.27,100.38

15,03:30-03:45,14.6,5.91,96.35,6.68,96.35,102.57,8.53,26.93,26.93,70.27,56.48,12.67,48.18,18.54,14.6,24.09,0,0,0,0,0,0,0,0,0,0,0,0,18.33,53.34,55.01,16,18.33,53.33,0,9.2,0,15.27,270.98,20.79,16.83,26.75,0,24.09,10.75,-0,10.5,0,19.27,100.38

16,03:45-04:00,14.6,5.91,96.35,6.68,96.35,102.57,8.53,26.93,26.93,70.27,56.48,12.67,48.18,18.54,14.6,24.09,0,0,0,0,0,0,0,0,0,0,0,0,18,52.34,54,15.67,18,52.33,0,9,0,15.27,232.44,20.79,16.83,27.25,0,24.09,10.75,-0,10.5,0,19.27,100.38

17,04:00-04:15,14.6,5.91,96.35,6.54,96.35,124.64,8.53,26.93,26.93,70.27,56.48,12.67,48.18,18.54,14.6,24.09,0,0,0,0,0,0,0,0,0,0,0,0,19,56.66,57,15.67,19,56.67,0,17.41,0,15.27,270.98,20.79,16.83,27.25,0,24.09,10.75,-0,10.5,0,19.27,100.38

18,04:15-04:30,14.6,5.91,96.35,6.54,96.35,123.73,8.53,26.93,26.93,70.27,56.48,12.67,48.18,18.54,14.6,24.09,0,0,0,0,0,0,0,0,0,0,0,0,19.5,56,58.5,15.67,19.5,56,0,16.21,0,15.27,270.98,20.79,16.83,27.25,0,24.09,10.75,-0,10.5,0,19.27,100.38

19,04:30-04:45,14.6,5.91,96.35,6.54,96.35,103.35,8.53,26.93,26.93,70.27,56.48,12.67,48.18,18.54,14.6,24.09,0,0,0,0,0,0,0,0,0,0,0,0,19.5,55.34,58.5,15.67,19.5,55.33,0,23.41,0,15.27,270.98,20.79,16.83,27.25,0,24.09,10.75,-0,10.5,0,19.27,72.26

20,04:45-05:00,14.6,5.91,96.35,6.54,96.35,102.57,8.53,26.93,26.93,70.27,56.48,12.67,48.18,18.54,14.6,24.09,0,0,0,0,0,0,0,0,0,0,0,0,19.33,54.66,58.01,15.67,19.33,54.67,0,22.81,0,15.27,232.44,20.79,16.83,27.25,0,24.09,10.75,-0,10.5,0,19.27,72.26

21,05:00-05:15,14.6,3.24,96.35,6.35,96.35,102.57,4.01,26.93,26.93,70.27,56.48,12.67,48.18,18.35,14.6,24.09,0,0,0,0,0,0,0,0,0,0,0,0,15,53.34,45,15.67,15,53.33,0,18.15,0,15.27,232.44,20.79,16.83,27.25,0,24.09,10.75,-0,10.5,0,19.27,52.99

22,05:15-05:30,14.6,3.24,96.35,6.35,96.35,102.57,4.01,26.93,26.93,70.27,56.48,12.67,48.18,18.35,14.6,24.09,0,0,0,0,0,0,0,0,0,0,0,0,15,52.66,45,15.67,15,52.67,0,17.5,0,15.27,232.44,20.79,16.83,27.25,0,24.09,10.75,-0,10.5,0,19.27,52.99

23,05:30-05:45,14.6,3.24,96.35,6.35,96.35,102.57,4.01,26.93,26.93,70.27,56.48,12.67,48.18,18.35,14.6,24.09,0,0,0,0,0,0,0,0,0,0,0,0,15,45.34,45,15.67,15,45.33,0,13.61,0,15.27,232.44,20.79,16.83,27.25,0,24.09,10.75,-0,10.5,0,19.27,52.99

24,05:45-06:00,14.6,3.24,96.35,6.35,96.35,102.57,4.01,26.93,26.93,70.27,56.48,12.67,48.18,18.35,14.6,24.09,0,0,0,0,0,0.16,0,0,0.27,0,0.05,0,15,44.34,45,15.33,15,44.33,0,13.41,0,15.27,232.44,20.79,16.83,27.25,0,24.09,10.75,-0,10.5,0,19.27,52.99

25,06:00-06:15,14.6,3.24,96.35,6.35,96.35,102.57,4.01,26.93,26.93,70.27,56.48,12.67,48.18,18.35,14.6,24.09,0,0.98,1,1,2.8,0.77,1,3.5,1.79,0,0.36,1,11.14,35.78,33.42,10.33,11.14,35.79,0,13.01,0,15.27,232.44,20.79,16.83,26.75,0,24.09,10.75,-0,10.5,0,19.27,77.08

26,06:15-06:30,14.6,3.24,96.35,6.35,96.35,102.57,4.01,26.93,26.93,70.27,56.48,12.67,48.18,18.35,14.6,24.09,0,3.72,2,2,14.5,1.91,2,16.2,4.64,1,0.93,2,10.67,34.47,31.99,9.89,10.67,34.47,0,12.81,0,15.27,232.44,20.79,16.83,26.75,0,24.09,10.75,-0,10.5,0,19.27,72.26

27,06:30-06:45,14.6,3.24,96.35,6.35,96.35,130.36,4.01,26.93,26.93,70.27,76.4,12.67,48.18,18.35,14.6,24.09,0,7.43,4,5,22.7,3.71,3,26.7,9.05,2,1.81,4,10.21,33.13,30.64,9.41,10.21,33.12,3,12.41,0.52,15.27,270.98,20.79,16.83,26.75,0.52,24.09,10.75,-0,10.5,0.39,19.27,72.26

28,06:45-07:00,14.6,3.24,96.35,6.35,96.35,83.94,4.01,26.93,26.93,70.27,56.48,12.67,48.18,18.35,14.6,24.09,0,12.39,6,7,33,6.34,4,33,15.44,4,3.09,7,9.74,31.7,29.21,8.94,9.74,31.7,5,12.41,1.18,15.27,232.44,20.79,16.83,26.25,1.18,24.09,10.75,-0,10.5,0.91,19.27,51.06

29,07:00-07:15,14.6,3.19,96.35,6.17,96.35,53.96,4.01,26.93,26.93,70.27,38.54,12.67,48.18,18.26,14.6,24.09,0,18.34,9,11,33,9.92,5,33,23.69,6,4.74,11,10.93,32.49,32.81,9.32,10.93,32.48,8,7.2,1.94,15.27,193.9,20.79,16.83,25.23,1.94,24.09,10.75,-0,10.49,1.49,19.27,51.06

30,07:15-07:30,14.6,3.19,96.35,6.17,96.35,53.96,4.01,26.93,26.93,70.27,38.54,12.67,48.18,18.26,14.6,24.09,0,24.94,12,16,33,14.16,7,33,33.32,8,6.66,13,12.36,35.35,37.09,10.29,12.36,35.35,13,7.2,2.78,15.27,155.36,20.79,16.83,25.23,2.78,24.09,10.75,-0,10.49,2.15,19.27,51.06

31,07:30-07:45,14.6,3.19,96.35,6.17,96.35,53.96,2.02,26.93,26.93,70.27,38.54,9.69,48.18,18.26,14.6,24.09,0,30.98,18,21,33,19.21,12,33,44.7,11,8.94,23,14.11,38.7,42.33,11.59,14.11,38.69,20,7.2,3.74,15.27,150.36,20.79,16.83,26.25,3.74,24.09,10.6,-0,10.49,2.89,19.27,51.06

32,07:45-08:00,14.6,3.2,96.35,6.17,96.35,53.96,2.02,26.64,26.93,70.27,38.54,9.69,48.18,18.26,14.6,24.09,0,37.68,22,28,33,25.14,16,33,57.93,14,11.59,29,16.22,42.41,48.63,13.27,16.22,42.42,26,7.2,4.82,15.27,150.36,20.79,16.83,26.25,4.82,24.09,10.6,-0,10.49,3.72,19.27,51.06

33,08:00-08:15,14.6,3.2,96.35,6.17,96.35,53.96,2.02,26.93,26.93,70.27,38.54,9.69,48.18,18.26,14.6,24.09,0,44.46,28,35,33,31.67,20,33,69.95,18,13.99,35,17.83,44.61,53.51,14.4,17.83,44.61,33,7.2,6.01,15.27,150.36,20.79,16.83,26.25,6.01,24.09,10.44,-0,10.49,4.64,19.27,51.06

34,08:15-08:30,14.6,3.2,96.35,6.17,96.35,53.96,2.02,26.64,26.93,70.27,38.54,9.69,48.18,18.26,14.6,24.09,0,51.27,33,42,33,38.62,23,33,77.34,21,15.47,40,18.02,46.3,54.05,15.25,18.02,46.29,33,7.2,7.25,15.27,150.36,20.79,16.83,26.25,7.25,24.09,10.44,-0,10.49,5.6,19.27,51.06

35,08:30-08:45,14.6,3.2,96.35,6.17,96.35,53.96,2.02,0,26.93,70.27,38.54,9.69,48.18,18.26,14.6,24.09,0,57.66,42,49,33,45.75,25,33,94.9,25,18.98,41,16.04,47.74,48.14,12.94,16.04,47.73,33,7.2,8.49,15.27,150.36,20.79,16.83,24.22,8.49,24.09,10.44,-0,10.49,6.56,19.27,51.06

36,08:45-09:00,14.6,3.2,96.35,6.17,96.35,53.96,2.02,0,26.93,70.27,38.54,9.69,48.18,18.26,14.6,24.09,0,63.75,48,56,33,52.76,27,33,112.64,28,22.53,47,16.45,49.3,49.32,13.66,16.45,49.3,33,7.2,9.7,15.27,150.36,20.79,16.83,24.22,9.7,24.09,10.44,-0,10.49,7.5,19.27,51.06

37,09:00-09:15,14.6,3.2,96.35,6.02,96.35,53.96,2.02,26.94,26.94,64.28,38.54,9.69,48.18,18.26,14.6,24.09,0,69.77,54,60,33,59.05,30,33,127.57,30,25.52,53,16.91,50.83,50.72,11,16.91,50.84,33,7.2,10.88,15.27,150.36,20.79,16.83,24.22,10.88,24.09,10.6,-0,10.49,8.41,19.27,51.06

38,09:15-09:30,14.6,3.2,96.35,6.02,96.35,53.96,2.02,26.94,26.94,64.28,38.54,9.69,48.18,18.26,14.6,24.09,0,75.08,60,65,33,64.5,33,33,140.36,33,28.07,58,17.5,52.47,52.48,11.67,17.5,52.46,33,6.88,11.97,15.27,149.83,20.79,16.83,24.22,11.97,24.09,10.6,-0,10.49,9.24,19.27,51.06

39,09:30-09:45,14.6,3.2,96.35,6.02,96.35,53.96,4.01,26.94,26.94,64.28,38.54,9.69,48.18,18.26,14.6,24.09,0,80.29,64,71,33,72.9,34,33,152.33,35,30.47,75,14.17,54.13,42.49,12,14.17,54.14,33,6.88,12.96,15.27,149.83,20.79,16.83,24.22,12.96,24.09,10.6,-0,10.49,10.02,19.27,51.06

40,09:45-10:00,14.6,3.2,96.35,6.02,96.35,53.96,4.01,26.94,26.94,64.28,38.54,9.69,48.18,18.26,14.6,24.09,0,85.26,69,75,33,78.46,36,33,164.16,38,32.83,78,15,55.74,45,12.67,15,55.75,33,6.88,13.86,15.27,149.83,20.79,16.83,24.22,13.86,24.09,10.6,-0,10.49,10.71,19.27,51.06

41,10:00-10:15,14.6,3.72,96.35,6.02,96.35,53.96,8.53,26.94,26.94,64.28,38.54,9.69,48.18,18.44,14.6,24.09,0,89.4,73,79,33,82.97,39,33,173.45,40,34.69,83,15.83,61.56,47.51,14,15.83,61.56,33,11,14.7,15.27,149.83,20.79,16.83,24.22,14.7,24.09,10.75,-0,10.49,11.35,19.27,51.06

42,10:15-10:30,14.6,3.72,96.35,6.02,96.35,53.96,8.53,26.94,26.94,64.28,38.54,9.69,48.18,18.44,14.6,24.09,0,92.62,76,83,33,87.29,40,33,183.78,42,36.76,88,16.67,61.81,49.99,15,16.67,61.8,33,11,15.39,15.27,149.83,20.79,16.83,24.22,15.39,24.09,10.75,-0,10.49,11.89,19.27,51.06

43,10:30-10:45,14.6,3.72,96.35,6.02,96.35,53.96,8.53,26.94,26.94,64.28,38.54,9.69,48.18,18.44,14.6,24.09,0,70.14,79,86,33,91.35,41,33,193.02,43,38.6,93,18.33,61.85,55.01,16.67,18.33,61.85,33,15.61,16.06,15.27,149.83,20.79,16.83,24.22,16.06,24.09,10.75,-0,10.49,12.41,19.27,51.06

44,10:45-11:00,14.6,3.72,96.35,6.02,96.35,53.96,8.53,26.94,26.94,64.28,38.54,9.69,48.18,18.44,14.6,24.09,0,70.14,81,88,33,95.07,42,33,225.93,44,45.19,96,20.68,61.81,62.04,18.33,20.68,61.8,33,15.61,16.64,15.27,149.83,20.79,16.83,24.22,16.64,24.09,10.75,-0,10.49,12.87,19.27,51.06

45,11:00-11:15,14.6,3.72,96.35,5.14,96.35,53.96,8.53,26.94,26.94,64.28,38.54,9.69,48.18,18.44,14.6,24.09,0,70.14,84,89,33,97.73,43,33,237.11,45,47.42,97,21.79,60.88,65.39,21.67,21.79,60.89,33,15.61,17.19,15.27,192.7,20.79,16.83,25.74,17.19,24.09,10.75,-107.92,10.88,13.29,19.27,51.06

46,11:15-11:30,14.6,3.72,96.35,5.14,96.35,83.94,8.53,26.94,26.94,64.28,56.48,12.67,48.18,18.44,14.6,24.09,0,70.14,84,90,33,99.96,43,33,240.79,45,48.16,98,22.98,60.88,68.94,21.67,22.98,60.88,33,15.61,17.55,15.27,231.24,20.79,16.83,25.74,17.55,24.09,10.75,-215.84,10.88,13.56,19.27,51.06

47,11:30-11:45,14.6,3.72,96.35,5.14,96.35,83.94,8.53,26.94,26.94,64.28,56.48,12.67,48.18,18.44,14.6,24.09,0,70.14,84,91,33,100,43,33,241.67,45,48.33,98,24.25,61.3,72.74,21.67,24.25,61.31,33,18.01,17.78,15.27,270.98,20.79,16.83,25.74,17.78,24.09,10.75,-215.84,10.88,13.74,19.27,51.06

48,11:45-12:00,14.6,3.72,96.35,5.14,96.35,83.94,8.53,26.94,26.94,64.28,56.48,12.67,48.18,18.44,14.6,24.09,0,70.14,84,91,33,100,43,33,241.67,45,48.33,98,24.55,61.76,73.62,22,24.55,61.76,33,18.01,17.89,15.27,270.98,20.79,16.83,25.74,17.89,24.09,10.75,-215.84,10.88,13.81,19.27,51.06

49,12:00-12:15,14.6,3.72,96.35,6.07,96.35,83.94,8.53,26.95,26.95,64.28,56.48,12.67,48.18,18.44,14.6,24.09,0,70.14,79,91,33,100,43,33,241.67,45,48.33,98,25.17,62.97,75.51,22.33,25.17,62.96,33,16.01,17.91,15.27,270.98,20.79,16.83,25.74,17.91,24.09,10.75,-215.84,10.49,13.84,19.27,51.06

50,12:15-12:30,14.6,3.72,96.35,6.07,96.35,83.94,8.53,26.95,26.95,64.28,56.48,12.67,48.18,18.44,14.6,24.09,0,70.14,79,91,33,100,43,33,241.67,45,48.33,98,25.96,64.04,77.89,22.22,25.96,64.05,33,16.61,17.91,15.27,270.98,20.79,16.83,25.74,17.91,24.09,10.75,-215.84,10.49,13.84,19.27,51.06

51,12:30-12:45,14.6,3.72,96.35,6.07,96.35,82.98,8.53,26.95,26.95,64.28,56.48,12.67,48.18,18.44,14.6,24.09,0,70.14,82,91,33,100,43,33,241.67,45,48.33,98,26.9,65.28,80.71,22.89,26.9,65.28,33,16.61,17.91,15.27,231.24,20.79,16.83,25.74,17.91,24.09,10.75,-215.84,10.49,13.84,19.27,52.99

52,12:45-13:00,14.6,3.72,96.35,6.07,96.35,82.98,8.53,26.95,26.95,64.28,56.48,12.67,48.18,18.44,14.6,24.09,0,70.14,82,91,33,100,43,33,241.67,45,48.33,98,31.76,66.98,95.3,23.6,31.76,66.98,33,17.01,17.91,15.27,231.24,20.79,16.83,25.74,17.91,24.09,10.75,-215.84,10.49,13.84,19.27,52.99

53,13:00-13:15,14.6,3.72,96.35,6.26,96.35,53.4,8.53,26.95,26.95,64.28,38.54,12.67,48.18,18.44,14.6,24.09,0,70.14,84,91,33,100,43,33,241.67,45,48.33,98,30.62,69.76,91.86,25.69,30.62,69.77,33,25.01,17.91,15.27,192.7,20.79,16.83,26.74,17.91,24.09,10.75,-215.84,10.49,13.84,19.27,52.99

54,13:15-13:30,14.6,3.72,96.35,6.26,96.35,53.4,8.53,26.95,26.95,64.28,38.54,12.67,48.18,18.44,14.6,24.09,0,88.39,84,91,33,100,43,33,241.67,45,48.33,97,29.71,70.03,89.11,26.65,29.71,70.02,33,26.01,17.91,15.27,192.7,20.79,16.83,26.74,17.91,24.09,10.75,-0,10.49,13.84,19.27,52.99

55,13:30-13:45,14.6,3.72,96.35,6.26,96.35,63.59,8.53,26.95,26.95,64.28,38.54,12.67,48.18,18.44,14.6,24.09,0,86.75,84,91,33,100,42,33,250,45,50,91,29,70.13,87.02,27.72,29,70.13,33,26.41,17.89,15.27,192.7,20.79,16.83,27.75,17.89,24.09,10.75,-0,10.49,13.82,19.27,52.99

56,13:45-14:00,14.6,3.72,96.35,6.26,96.35,72.59,8.53,26.95,26.95,64.28,38.54,12.67,48.18,18.44,14.6,24.09,0,84.65,84,87,33,100,42,33,250,43,50,91,28.28,70.16,84.83,28.78,28.28,70.16,33,27.41,17.7,15.27,231.24,20.79,16.83,27.75,17.7,24.09,10.75,-0,10.49,13.68,19.27,52.99

57,14:00-14:15,14.6,3.72,96.35,6.54,96.35,102.57,8.53,26.95,26.95,64.28,56.48,12.67,48.18,18.62,14.6,24.09,0,82.35,78,87,33,99.88,41,33,245.83,43,49.17,86,27.79,70.42,83.35,29,27.79,70.42,33,22.01,17.45,15.27,231.24,20.79,16.83,27.75,17.45,24.09,10.75,-0,10.49,13.48,19.27,77.08

58,14:15-14:30,14.6,3.72,96.35,6.54,96.35,82.98,8.53,26.95,26.95,64.28,56.48,12.67,48.18,18.62,14.6,24.09,0,79.5,76,85,33,97.32,41,33,235.49,42,47.1,86,27.7,70.44,83.09,29,27.7,70.44,33,23.01,17.15,15.27,192.7,20.79,16.83,27.75,17.15,24.09,10.75,-0,10.49,13.25,19.27,77.08

59,14:30-14:45,14.6,3.72,96.35,6.54,96.35,82.98,8.53,26.95,26.95,64.28,56.48,12.67,48.18,18.62,14.6,24.09,0,74.59,75,82,33,90.52,39,33,217.94,41,43.59,86,27.63,71.66,82.9,32.33,27.63,71.67,33,24.01,16.82,15.27,231.24,20.79,16.83,28.76,16.82,24.09,10.75,-0,10.49,13,19.27,100.38

60,14:45-15:00,14.6,3.72,96.35,6.54,96.35,102.57,8.53,26.95,26.95,64.28,56.48,12.67,48.18,18.62,14.6,24.09,0,58.45,72,79,33,87.27,38,33,204.43,39,40.89,86,27.64,71.66,82.9,32.33,27.64,71.67,33,26.01,16.24,15.27,270.98,20.79,16.83,28.76,16.24,24.09,10.75,-0,10.49,12.55,19.27,100.38

61,15:00-15:15,14.6,3.72,96.35,6.82,96.35,130.36,8.53,26.95,26.95,64.28,56.48,12.67,48.18,18.62,14.6,24.09,0,58.45,69,75,33,82.87,36,33,196.01,37,39.2,74,28.71,77.66,86.11,32.67,28.71,77.67,33,27.01,15.5,15.27,270.98,20.79,16.83,28.76,15.5,24.09,10.75,-0,10.49,11.98,19.27,100.38

62,15:15-15:30,14.6,3.72,96.35,6.82,96.35,130.36,8.53,26.95,26.95,64.28,56.48,12.67,48.18,18.62,14.6,24.09,0,52.61,66,71,33,78.25,34,33,184.61,35,36.92,70,29.66,77.66,88.99,33,29.66,77.67,33,29.61,14.71,15.27,270.98,20.79,16.83,28.76,14.71,24.09,10.75,-0,10.49,11.37,19.27,100.38

63,15:30-15:45,14.6,3.72,96.35,6.82,96.35,130.36,8.53,26.95,26.95,64.28,56.48,12.67,48.18,18.62,14.6,24.09,0,52.61,60,68,33,73.37,31,33,164.14,34,32.83,62,30.72,77.66,92.13,33,30.72,77.67,33,33.01,13.89,15.27,270.98,20.79,16.83,28.76,13.89,24.09,10.75,-0,10.49,10.74,19.27,100.38

64,15:45-16:00,14.6,3.72,96.35,6.82,96.35,130.36,8.53,26.95,26.95,64.28,56.48,12.67,48.18,18.62,14.6,24.09,0,52.61,55,62,33,68.26,30,33,154.12,31,30.83,57,31.79,77.66,95.34,33.33,31.79,77.67,33,35.61,12.79,15.27,270.98,20.79,16.83,29.26,12.79,24.09,10.75,-0,10.49,9.89,19.27,100.38

65,16:00-16:15,14.6,3.72,96.35,7.28,96.35,130.36,8.53,26.95,26.95,64.28,56.48,12.67,48.18,18.81,14.6,24.09,0,52.61,51,56,33,55.18,27,33,135.32,28,27.07,53,32.64,71.31,97.89,30.51,32.64,71.3,24,35.41,11.75,15.27,270.98,20.79,16.83,29.26,11.75,24.09,10.75,-0,10.88,9.08,19.27,100.38

