Column1,Block,NR/2025/29743/C,NR/2025/27782/A/83163,NR/2025/26566/A/83447,NR/2025/29769/C,NR/2025/26572/A/83449,NR/2025/29797/C,NR/2025/26571/A/83448,NR/2025/29451/A/83087,NR/2025/29818/C,NR/2025/29819/C,NR/2025/29820/C,NR/2025/26975/A/83159,NR/2025/27242/A/83138,NR/2025/28719/A/83066,NR/2025/26445/A/83477,NR/2025/27500/A/82967,NR/2025/26952/A/82927,NR/2025/26889/A/83462,NR/2025/26860/A/83375,NR/2025/27725/A/83167,NR/2025/27727/A/83164,NR/2025/27168/A/83395,NR/2025/26562/A/83445,NR/2025/27281/A/83561,NR/2025/27187/A/83151,NR/2025/27157/A/83052,NR/2025/26861/A/83440,NR/2025/27176/A/83155,NR/2025/27088/A/83473,NR/2025/26085/A/82897,NR/2025/26785/A/82968,NR/2025/27499/A/83461,NR/2025/27728/A/83165,NR/2025/27167/A/83392,NR/2025/27726/A/83166,NR/2025/27506/A/82965,NR/2025/27100/A/83067,NR/2025/26565/A/83446,NR/2025/27185/A/83153,NR/2025/26777/A/83058,GNA/NR/2025/06/01/7782,NR/2025/29890/C,GNA/NR/2025/06/01/7663,NR/2025/29881/C/Alternate/1,NR/2025/29874/C,GNA/NR/2025/06/01/4973,NR/2025/29882/C,NR/2025/29883/C,NR/2025/29739/C,NR/2025/29888/C,GNA/NR/2025/06/01/2868,NR/2025/29880/C,NR/2025/29881/C,NR/2025/29885/C,GNA/NR/2025/06/16/6051,GNA/NR/2025/06/01/4444,NR/2025/29886/C,GNA/NR/2025/06/16/8791,GNA/NR/2025/06/20/3628,NR/2025/29815/C,GNA/NR/2025/06/01/9719,GNA/NR/2025/06/01/5280,NR/2025/29865/C,GNA/NR/2025/06/01/7786,NR/2025/29872/C,NR/2025/29849/C,GNARE/NR/2024/12/20/3668,NR/2025/28774/A/82960,NR/2025/27356/A/83089,GNA/NR/2025/06/01/2569,GNA/NR/2025/06/01/7762,NR/30092023/31122025/SH-07,GNA/NR/2025/06/01/9257,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/26122029/SH-06,Total
3,00:30-00:45,0,7.73,0,0,0,0,144.96,96.64,0,0,0,27.06,41.07,10.63,96.64,7.73,0,5.8,90.36,8.78,26.35,20.54,144.96,24.88,19.33,217.34,164.29,106.3,164.29,0.68,0,8.7,26.35,20.54,26.35,1.93,25.2,144.96,19.33,164.29,11.91,0,41.07,15.05,0,41.07,0,28.03,0,0,29.06,0,149.48,0,19.33,0,0,15.32,20.85,1.93,20.54,11.92,0,41.07,0,0,0,0,0,53.39,20.54,22.13,20.54,16.47,22.13,2465.8399999999997

4,00:45-01:00,0,7.73,0,0,0,0,144.96,96.64,0,0,0,27.06,41.07,10.63,96.64,7.73,0,5.8,90.36,8.78,26.35,20.54,144.96,24.88,19.33,217.34,164.29,106.3,164.29,0.68,0,8.7,26.35,20.54,26.35,1.93,25.2,144.96,19.33,164.29,11.91,0,41.07,13.23,0,41.07,0,28.03,0,0,29.06,0,151.3,0,19.33,0,0,15.32,20.85,1.93,20.54,11.92,0,41.07,0,0,0,0,0,53.39,20.54,22.13,20.54,16.47,22.13,2465.8399999999997

5,01:00-01:15,0,7.73,0,0,0,0,144.96,96.64,0,0,0,27.06,41.07,10.63,96.64,7.73,0,5.8,90.36,8.78,26.35,20.54,144.96,24.88,19.33,217.34,164.29,106.3,164.29,0.68,0,8.7,26.35,20.54,26.35,1.93,25.2,144.96,19.33,164.29,11.91,0,41.07,60.69,0,41.07,0,28.03,0,0,29.06,0,103.84,0,19.33,0,0,15.32,20.85,1.93,20.54,11.92,0,41.07,0,0,0,0,0,53.39,20.54,26.5,20.54,16.19,26.5,2474.3

6,01:15-01:30,0,7.73,0,0,0,0,144.96,96.64,0,0,0,27.06,41.07,10.63,96.64,7.73,0,5.8,90.36,8.78,26.35,20.54,144.96,24.88,19.33,217.34,164.29,106.3,164.29,0.68,0,8.7,26.35,20.54,26.35,1.93,25.2,144.96,19.33,164.29,11.91,0,41.07,61.29,0,41.07,0,28.03,0,0,29.06,0,103.24,0,19.33,0,0,15.32,20.85,1.93,20.54,11.92,0,41.07,0,0,0,0,0,53.39,20.54,26.5,20.54,16.19,26.5,2474.2999999999997

7,01:30-01:45,0,7.73,0,0,0,0,144.96,96.64,0,0,0,27.06,41.07,10.63,96.64,7.73,0,5.8,90.36,8.78,26.35,20.54,144.96,24.88,19.33,217.34,164.29,106.3,164.29,0.68,0,8.7,26.35,20.54,26.35,1.93,25.2,144.96,19.33,164.29,11.91,0,41.07,60.69,0,41.07,0,28.03,0,0,29.06,0,103.84,0,19.33,0,0,15.32,20.85,1.93,20.54,11.92,0,41.07,0,0,0,0,0,53.39,20.54,26.5,20.54,16.19,26.5,2474.3

8,01:45-02:00,0,7.73,0,0,0,0,144.96,96.64,0,0,0,27.06,41.07,10.63,96.64,7.73,0,5.8,90.36,8.78,26.35,20.54,144.96,24.88,19.33,217.34,164.29,106.3,164.29,0.68,0,8.7,26.35,20.54,26.35,1.93,25.2,144.96,19.33,164.29,11.91,0,41.07,67.24,0,41.07,0,28.03,0,0,29.06,0,97.29,0,19.33,0,0,15.32,20.85,1.93,20.54,11.92,0,41.07,0,0,0,0,0,53.39,20.54,26.5,20.54,16.19,26.5,2474.2999999999997

9,02:00-02:15,0,7.73,0,0,0,0,144.96,96.64,0,0,0,27.06,41.07,10.63,96.64,7.73,0,0,90.36,8.78,26.35,20.54,144.96,24.88,19.33,217.34,0,106.3,164.29,0.63,0,0,26.35,20.54,26.35,1.93,0,144.96,19.33,164.29,11.91,0,41.07,0,0,41.07,0,28.03,0,0,29.06,0,164.53,0,19.33,164.29,0,15.32,20.85,1.93,20.54,11.92,0,41.07,0,0,0,0,0,53.39,20.54,26.5,20.54,15.91,26.5,2434.2699999999995

10,02:15-02:30,0,7.73,0,0,0,0,144.96,96.64,0,0,0,27.06,41.07,10.63,96.64,7.73,0,0,90.36,8.78,26.35,20.54,144.96,24.88,19.33,217.34,0,106.3,164.29,0.63,0,0,26.35,20.54,26.35,1.93,0,144.96,19.33,164.29,11.91,0,41.07,0,0,41.07,0,28.03,0,0,29.06,0,164.53,0,19.33,164.29,0,15.32,20.85,1.93,20.54,11.92,0,41.07,0,0,0,0,0,53.39,20.54,26.93,20.54,15.91,26.93,2435.129999999999

11,02:30-02:45,0,7.73,0,0,0,0,144.96,96.64,0,0,0,27.06,41.07,10.63,96.64,7.73,0,0,90.36,8.78,26.35,20.54,144.96,24.88,19.33,217.34,0,106.3,164.29,0.63,0,0,26.35,20.54,26.35,1.93,0,144.96,19.33,164.29,11.91,0,41.07,0,0,41.07,0,28.03,0,0,29.06,0,164.53,0,19.33,164.29,0,15.32,20.85,1.93,20.54,11.92,0,41.07,0,0,0,0,0,53.39,20.54,26.93,20.54,15.91,26.93,2435.129999999999

12,02:45-03:00,0,7.73,0,0,0,0,144.96,96.64,0,0,0,27.06,41.07,10.63,96.64,7.73,0,0,90.36,8.78,26.35,20.54,144.96,24.88,19.33,217.34,0,106.3,164.29,0.63,0,0,26.35,20.54,26.35,1.93,0,144.96,19.33,164.29,11.91,0,41.07,0,0,41.07,0,28.03,0,0,29.06,0,164.53,0,19.33,164.29,0,15.32,20.85,1.93,20.54,11.92,0,41.07,0,0,0,0,0,53.39,20.54,26.93,20.54,15.91,26.93,2435.129999999999

13,03:00-03:15,0,7.73,0,0,0,0,144.96,96.64,0,0,0,5.8,41.07,10.63,96.64,7.73,0,0,90.36,8.78,26.35,20.54,144.96,24.88,19.33,217.34,0,76.94,164.29,0.53,0,0,26.35,20.54,26.35,1.93,0,144.96,19.33,164.29,11.91,0,41.07,0,0,41.07,0,28.03,0,0,29.06,0,164.53,0,19.33,164.29,0,15.32,20.85,1.93,20.54,11.92,0,41.07,0,0,0,0,0,53.39,20.54,26.93,20.54,15.72,26.93,2384.219999999999

14,03:15-03:30,0,7.73,0,0,0,0,144.96,96.64,0,0,0,5.8,41.07,10.63,96.64,7.73,0,0,90.36,8.78,26.35,20.54,144.96,24.88,19.33,217.34,0,76.94,164.29,0.53,0,0,26.35,20.54,26.35,1.93,0,144.96,19.33,164.29,11.91,0,41.07,0,0,41.07,0,28.03,0,0,29.06,0,164.53,0,19.33,164.29,0,15.32,20.85,1.93,20.54,11.92,0,41.07,0,0,0,0,0,53.39,20.54,26.93,20.54,15.72,26.93,2384.219999999999

15,03:30-03:45,0,7.73,0,0,0,0,144.96,96.64,0,0,0,5.8,41.07,10.63,96.64,7.73,0,0,90.36,8.78,26.35,20.54,144.96,24.88,19.33,217.34,0,76.94,164.29,0.53,0,0,26.35,20.54,26.35,1.93,0,144.96,19.33,164.29,11.91,0,41.07,0,0,41.07,0,28.03,0,0,29.06,0,164.53,0,19.33,164.29,0,15.32,20.85,1.93,20.54,11.92,0,41.07,0,0,0,0,0,53.39,20.54,26.93,20.54,15.72,26.93,2384.219999999999

16,03:45-04:00,0,7.73,0,0,0,0,144.96,96.64,0,0,0,5.8,41.07,10.63,96.64,7.73,0,0,90.36,8.78,26.35,20.54,144.96,24.88,19.33,217.34,0,76.94,164.29,0.53,0,0,26.35,20.54,26.35,1.93,0,144.96,19.33,164.29,11.91,0,41.07,0,0,41.07,0,28.03,0,0,29.06,0,164.53,0,19.33,164.29,0,15.32,20.85,1.93,20.54,11.92,0,41.07,0,0,0,0,0,53.39,20.54,26.93,20.54,15.72,26.93,2384.219999999999

17,04:00-04:15,0,7.73,0,0,0,0,0,96.64,0,0,0,5.8,41.07,10.63,96.64,7.73,0,0,90.36,8.78,26.35,20.54,144.96,24.88,19.33,0,0,76.94,164.29,0.53,0,0,26.35,20.54,26.35,1.93,0,0,19.33,164.29,11.91,0,41.07,0,0,41.07,0,28.03,0,0,29.06,0,164.53,0,19.33,164.29,0,15.32,20.85,1.93,20.54,11.92,0,41.07,0,0,0,0,0,53.39,20.54,26.93,20.54,15.54,26.93,1876.7799999999997

18,04:15-04:30,0,7.73,0,0,0,0,0,96.64,0,0,0,5.8,41.07,10.63,96.64,7.73,0,0,90.36,8.78,26.35,20.54,144.96,24.88,19.33,0,0,76.94,164.29,0.53,0,0,26.35,20.54,26.35,1.93,0,0,19.33,164.29,11.91,0,41.07,0,0,41.07,0,28.03,0,0,29.06,0,164.53,0,19.33,164.29,0,15.32,20.85,1.93,20.54,11.92,0,41.07,0,0,0,0,0,53.39,20.54,26.93,20.54,15.54,26.93,1876.7799999999997

19,04:30-04:45,0,7.73,0,0,0,0,0,96.64,0,0,0,5.8,41.07,10.63,96.64,7.73,0,0,90.36,8.78,26.35,20.54,144.96,24.88,19.33,0,0,76.94,164.29,0.53,0,0,26.35,20.54,26.35,1.93,0,0,19.33,164.29,11.91,0,41.07,0,0,41.07,0,28.03,0,0,29.06,0,164.53,0,19.33,164.29,0,15.32,20.85,1.93,20.54,11.92,0,41.07,0,0,0,0,0,53.39,20.54,26.93,20.54,15.54,26.93,1876.7799999999997

20,04:45-05:00,0,7.73,0,0,0,0,0,96.64,0,0,0,5.8,41.07,10.63,96.64,7.73,0,0,90.36,8.78,26.35,20.54,144.96,24.88,19.33,0,0,76.94,164.29,0.53,0,0,26.35,20.54,26.35,1.93,0,0,19.33,164.29,11.91,0,41.07,0,0,41.07,0,28.03,0,0,29.06,0,164.53,0,19.33,164.29,0,15.32,20.85,1.93,20.54,11.92,0,41.07,0,0,0,0,0,53.39,20.54,26.93,20.54,15.54,26.93,1876.7799999999997

21,05:00-05:15,0,7.73,0,0,0,0,0,0,0,0,0,5.8,41.07,10.63,96.64,7.73,0,0,90.36,8.78,26.35,20.54,144.96,24.88,0,0,0,76.94,164.29,0.63,0,0,26.35,20.54,26.35,1.93,0,0,19.33,164.29,11.91,0,41.07,0,0,41.07,0,28.03,0,0,29.06,0,164.53,0,19.33,164.29,0,15.32,20.85,1.93,20.54,11.92,0,41.07,0,0,0,0,0,53.39,20.54,26.93,20.54,15.44,26.93,1760.8099999999997

22,05:15-05:30,0,7.73,0,0,0,0,0,0,0,0,0,5.8,41.07,10.63,96.64,7.73,0,0,90.36,8.78,26.35,20.54,144.96,24.88,0,0,0,76.94,164.29,0.63,0,0,26.35,20.54,26.35,1.93,0,0,19.33,164.29,11.91,0,41.07,0,0,41.07,0,28.03,0,0,29.06,0,164.53,0,19.33,164.29,0,15.32,20.85,1.93,20.54,11.92,0,41.07,0,0,0,0,0,53.39,20.54,26.93,20.54,15.44,26.93,1760.8099999999997

23,05:30-05:45,0,7.73,0,0,0,0,0,0,0,0,0,5.8,41.07,10.63,96.64,7.73,0,0,90.36,8.78,26.35,20.54,144.96,24.88,0,0,0,76.94,164.29,0.63,0,0,26.35,20.54,26.35,1.93,0,0,19.33,164.29,11.91,0,41.07,0,0,41.07,0,28.03,0,0,29.06,0,164.53,0,19.33,164.29,0,15.32,20.85,0.97,20.54,11.92,0,41.07,0,0,0,0,0,53.39,20.54,26.93,20.54,15.44,26.93,1759.8499999999997

24,05:45-06:00,0,7.73,0,0,0,0,0,0,0,0,0,5.8,41.07,9.66,96.64,7.73,0,0,90.36,8.78,26.35,20.54,144.96,24.88,0,0,0,76.94,164.29,0.63,0,0,26.35,20.54,26.35,1.93,0,0,19.33,164.29,11.91,0,41.07,0,0,41.07,0,28.03,0,0,29.06,0,164.53,0,19.33,164.29,0,15.32,20.85,1.93,20.54,11.92,0,41.07,0,0,0.65,0,1,53.39,20.54,26.93,20.54,15.44,26.93,1761.4899999999998

25,06:00-06:15,0,7.73,0,0,0,0,0,0,0,0,0,5.8,41.07,9.66,96.64,7.73,0,0,90.36,8.78,26.35,20.54,144.96,24.88,0,0,0,76.94,164.29,0.68,0,0,26.35,20.54,26.35,1.93,0,0,19.33,164.29,11.91,0,41.07,0,0,41.07,0,28.03,0,0,29.06,0,164.53,0,19.33,164.29,0,15.32,20.85,1.93,20.54,11.92,0,41.07,0,0,1.98,0,3,53.39,20.54,26.93,20.54,15.36,26.93,1764.7899999999995

26,06:15-06:30,0,7.73,0,0,0,0,0,0,0,0,0,5.8,41.07,9.66,96.64,7.73,0,0,90.36,8.78,26.35,20.54,144.96,24.88,0,0,0,76.94,164.29,0.68,0,0,26.35,20.54,26.35,1.93,0,0,19.33,164.29,11.91,0,41.07,0,0,41.07,0,28.03,0,0,29.06,0,164.53,0,19.33,164.29,0,15.32,20.85,1.93,20.54,11.92,0,41.07,0,0,3.3,0,7,53.39,20.54,26.93,20.54,15.36,26.93,1770.1099999999994

27,06:30-06:45,0,7.73,0,0,0,0,0,0,0,0,0,5.8,41.07,9.66,96.64,7.73,0,0,90.36,8.78,26.35,20.54,144.96,24.88,0,0,0,76.94,164.29,0.68,0,0,26.35,20.54,26.35,1.93,0,0,19.33,164.29,11.91,0,41.07,0,0,41.07,0,28.03,0,0,29.06,0,164.53,0,19.33,164.29,0,15.32,20.85,1.93,20.54,11.92,0,41.07,0,0,8.33,0,11,53.39,20.54,26.93,20.54,15.36,26.93,1779.1399999999994

28,06:45-07:00,0,7.73,0,0,0,0,0,0,0,0,0,5.8,41.07,9.66,96.64,7.73,0,0,90.36,8.78,26.35,20.54,144.96,24.88,0,0,0,76.94,164.29,0.68,0,0,26.35,20.54,26.35,1.93,0,0,19.33,164.29,11.91,0,41.07,0,0,41.07,0,28.03,0,0,29.06,0,164.53,0,19.33,164.29,0,15.32,20.85,0.97,20.54,11.92,0,41.07,0,0,11.68,0,14,53.39,20.54,26.93,20.54,15.36,26.93,1784.5299999999995

29,07:00-07:15,0,7.73,0,0,0,0,0,0,0,0,0,5.8,41.07,9.66,96.64,7.73,0,0,90.36,8.78,26.35,20.54,144.96,24.88,0,0,0,76.94,164.29,0.87,0,0,26.35,20.54,26.35,1.93,0,0,19.33,164.29,11.91,0,41.07,0,0,41.07,0,28.03,0,0,17.4,0,164.53,0,19.33,164.29,0,15.32,20.85,0.97,20.54,11.92,0,41.07,0,0,16.21,0,18,53.39,20.54,26.93,20.54,15.26,26.93,1781.4899999999998

30,07:15-07:30,0,7.73,0,0,0,0,0,0,0,0,0,5.8,41.07,9.66,96.64,7.73,0,0,90.36,8.78,26.35,20.54,144.96,24.88,0,0,0,76.94,164.29,0.87,0,0,26.35,20.54,26.35,1.93,0,0,19.33,164.29,11.91,0,41.07,0,0,41.07,0,28.03,0,0,17.4,0,164.53,0,19.33,164.29,0,15.32,20.85,0.97,20.54,11.92,0,41.07,0,0,20.78,0,25,53.39,20.54,26.93,20.54,15.26,26.93,1793.0599999999997

31,07:30-07:45,0,7.73,0,0,0,0,0,0,0,0,0,5.8,41.07,9.66,96.64,7.73,0,0,90.36,8.78,26.35,20.54,144.96,24.88,0,0,0,76.94,164.29,0.87,0,0,26.35,20.54,26.35,1.93,0,0,19.33,164.29,11.91,0,41.07,0,0,41.07,0,28.03,0,0,17.4,0,164.53,0,19.33,164.29,0,15.32,20.85,0.97,20.54,11.92,0,41.07,0,0,25.44,0,14,53.39,20.54,26.93,20.54,15.26,26.93,1786.7199999999998

32,07:45-08:00,0,7.73,0,0,0,0,0,0,0,0,0,5.8,41.07,9.66,96.64,7.73,0,0,90.36,8.78,26.35,20.54,144.96,24.88,0,0,0,76.94,164.29,0.87,0,0,26.35,20.54,26.35,1.93,0,0,19.33,164.29,11.91,0,41.07,0,0,41.07,0,28.03,0,0,17.4,0,164.53,0,19.33,164.29,0,15.32,20.85,0.97,20.54,11.92,0,41.07,0,0,30.54,0,18,53.39,20.54,26.93,20.54,15.26,26.93,1795.8199999999997

33,08:00-08:15,0,7.73,0,0,0,0,0,0,0,0,0,5.8,41.07,9.66,96.64,7.73,0,0,90.36,14.64,43.92,20.54,144.96,24.88,0,0,0,76.94,164.29,0.97,0,0,37.34,20.54,43.92,1.93,0,0,19.33,164.29,11.91,0,41.07,0,0,41.07,0,28.03,0,0,17.4,0,164.53,0,19.33,164.29,0,15.32,20.85,1.93,20.54,11.92,0,41.07,0,0,29.27,4.73,21,53.39,20.54,26.93,20.54,15.17,26.93,1855.24

34,08:15-08:30,0,7.73,0,0,0,0,0,0,0,0,0,5.8,41.07,10.63,96.64,7.73,0,0,90.36,14.64,43.92,20.54,144.96,24.88,0,0,0,76.94,164.29,0.97,0,0,37.34,20.54,43.92,1.93,0,0,19.33,164.29,11.91,0,41.07,0,0,41.07,0,28.03,0,0,17.4,0,164.53,0,19.33,164.29,0,15.32,20.85,0.97,20.54,11.92,0,41.07,0,0,34.85,5.38,25,53.39,20.54,26.93,20.54,15.17,26.93,1865.4799999999998

