Column1,Block,NR/2024/23125/C,NR/2024/21658/A/37138,NR/2024/22837/A/37411,NR/2024/22839/A/37414,NR/2024/22820/A/37148,NR/2024/23127/C,NR/2024/22802/A/37415,NR/2024/23128/C,NR/2024/22860/A/37335,NR/2024/22848/A/37338,NR/2024/22832/A/37413,NR/2024/22833/A/37412,NR/2024/22816/A/37159,NR/2024/23038/A/37144,NR/2024/23017/A/37174,NR/2024/22874/A/37416,NR/2024/22888/A/37323,NR/2024/22753/A/37438,NR/2024/23113/C,NR/2024/22835/A/37392,NR/2024/22754/A/37436,NR/2024/22734/A/37362,GNA/NR/2024/09/01/8090,GNA/NR/2024/09/01/2171,NR/30092023/26122029/SH-06,GNA/NR/2024/09/01/9821,GNA/NR/2024/09/01/7119,GNA/NR/2024/09/01/3451,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/31122025/SH-07,GNA/NR/2024/09/01/6566,GNA/NR/2024/09/01/7908,GNA/NR/2024/09/01/7196,GNA/NR/2024/09/01/4802,GNA/NR/2024/09/01/6020,Total
5,01:00-01:15,0,0.68,26.41,6.78,4.84,164.89,0,28.09,13.56,84.43,26.41,26.41,0,3.87,8.72,0,67.8,181.59,53.27,91.04,60.53,96.85,8.8,0,0,32.93,17.51,41.16,12.57,0,20.58,18.4,41.16,82.32,82.32,1303.9199999999998

6,01:15-01:30,0,0.68,26.41,6.78,4.84,164.89,0,28.09,13.56,84.43,26.41,26.41,0,3.87,8.72,0,67.8,181.59,53.27,91.04,60.53,96.85,8.8,0,0,32.93,17.51,41.16,12.57,0,20.58,18.4,41.16,82.32,82.32,1303.9199999999998

7,01:30-01:45,0,0.68,26.41,8.8,4.84,164.89,0,28.09,13.56,84.43,26.41,26.41,0,3.87,8.72,0,67.8,181.59,53.27,91.04,60.53,96.85,8.8,0,0,32.93,17.51,41.16,12.57,0,20.58,18.4,41.16,82.32,82.32,1305.9399999999998

8,01:45-02:00,0,0.68,26.41,8.8,4.84,164.89,0,28.09,13.56,84.43,26.41,26.41,0,3.87,8.72,0,67.8,181.59,53.27,91.04,60.53,96.85,8.8,0,0,32.93,17.51,41.16,12.57,0,20.58,18.4,41.16,82.32,82.32,1305.9399999999998

9,02:00-02:15,0,0.68,26.41,8.8,4.84,164.89,0,28.09,13.56,84.43,26.41,26.41,0,3.87,8.72,0,67.8,181.59,53.27,91.04,60.53,96.85,8.8,0,0,32.93,17.51,41.16,12.48,0,20.58,18.4,41.16,82.32,82.32,1305.85

10,02:15-02:30,0,0.68,26.41,8.8,4.84,164.89,0,28.09,13.56,84.43,26.41,26.41,0,3.87,8.72,0,67.8,181.59,53.27,91.04,60.53,96.85,8.8,0,0,32.93,17.51,41.16,12.48,0,20.58,18.4,41.16,82.32,82.32,1305.85

11,02:30-02:45,0,0.68,26.41,8.8,4.84,164.89,0,28.09,13.56,84.43,26.41,26.41,0,3.87,8.72,0,67.8,181.59,53.27,91.04,60.53,96.85,8.8,0,0,32.93,17.51,41.16,12.48,0,20.58,18.4,41.16,82.32,82.32,1305.85

12,02:45-03:00,0,0.68,26.41,8.8,4.84,164.89,0,28.09,13.56,84.43,26.41,26.41,0,3.87,8.72,0,67.8,181.59,53.27,91.04,60.53,96.85,8.8,0,0,32.93,17.51,41.16,12.48,0,20.58,18.4,41.16,82.32,82.32,1305.85

13,03:00-03:15,0,0.63,26.41,8.8,4.84,164.89,0,28.09,0,84.43,26.41,26.41,0,3.87,8.72,0,67.8,181.59,53.27,91.04,60.53,96.85,8.8,0,0,0,17.51,41.16,12.39,0,20.58,18.4,41.16,82.32,82.32,1259.22

14,03:15-03:30,0,0.63,26.41,8.8,4.84,164.89,0,28.09,0,84.43,26.41,26.41,0,3.87,8.72,0,67.8,181.59,53.27,91.04,60.53,96.85,8.8,0,0,0,17.51,41.16,12.39,0,20.58,18.4,41.16,82.32,82.32,1259.22

15,03:30-03:45,0,0.63,26.41,8.8,4.84,164.89,0,28.09,0,84.43,26.41,26.41,0,3.87,8.72,0,67.8,181.59,53.27,91.04,60.53,96.85,8.8,0,0,0,17.51,41.16,12.39,0,20.58,18.4,41.16,82.32,82.32,1259.22

16,03:45-04:00,0,0.63,26.41,8.8,4.84,164.89,0,28.09,0,84.43,26.41,26.41,0,3.87,8.72,0,67.8,181.59,53.27,91.04,60.53,96.85,8.8,0,0,0,17.51,41.16,12.39,0,20.58,18.4,41.16,82.32,82.32,1259.22

17,04:00-04:15,0,0.58,26.41,8.8,4.84,164.89,0,28.09,0,84.43,26.41,26.41,0,3.87,8.72,0,67.8,181.59,53.27,91.04,60.53,96.85,8.8,0,0,0,17.51,41.16,12.39,0,20.58,18.4,41.16,82.32,82.32,1259.1699999999998

18,04:15-04:30,0,0.58,26.41,8.8,4.84,164.89,0,28.09,0,84.43,26.41,26.41,0,3.87,8.72,0,67.8,181.59,53.27,91.04,60.53,96.85,8.8,0,0,0,17.51,41.16,12.39,0,20.58,18.4,41.16,82.32,82.32,1259.1699999999998

19,04:30-04:45,0,0.58,26.41,8.8,4.84,164.89,0,28.09,0,84.43,26.41,26.41,0,3.87,8.72,0,67.8,181.59,53.27,91.04,60.53,96.85,8.8,0,0,0,17.51,41.16,12.39,0,20.58,18.4,41.16,82.32,82.32,1259.1699999999998

20,04:45-05:00,0,0.58,26.41,8.8,4.84,164.89,0,28.09,0,84.43,26.41,26.41,0,3.87,8.72,0,67.8,181.59,53.27,91.04,60.53,96.85,8.8,0,0,0,17.51,41.16,12.39,0,20.58,18.4,41.16,82.32,82.32,1259.1699999999998

21,05:00-05:15,0,0.58,26.41,8.8,4.84,164.89,0,0,0,84.43,26.41,26.41,0,3.87,8.72,0,25.18,181.59,53.27,91.04,60.53,96.85,8.8,0,0,0,17.51,41.16,12.2,0,20.58,18.4,41.16,82.32,82.32,1188.27

22,05:15-05:30,0,0.58,26.41,8.8,4.84,164.89,0,0,0,84.43,26.41,26.41,0,3.87,8.72,0,25.18,181.59,53.27,91.04,60.53,96.85,8.8,0,0,0,17.51,41.16,12.2,0,20.58,18.4,41.16,82.32,82.32,1188.27

23,05:30-05:45,0,0.58,26.41,8.8,4.84,164.89,0,0,0,84.43,26.41,26.41,0,3.87,8.72,0,25.18,181.59,53.27,91.04,60.53,96.85,8.8,0,0,0,17.51,41.16,12.2,0,20.58,18.4,41.16,82.32,82.32,1188.27

24,05:45-06:00,0,0.58,26.41,8.8,4.84,164.89,0,0,0,84.43,26.41,26.41,0,3.87,7.75,0,25.18,181.59,53.27,91.04,60.53,96.85,8.8,0,0,0,17.51,41.16,12.2,0,20.58,18.4,41.16,82.32,82.32,1187.3

25,06:00-06:15,0,0.68,26.41,8.8,4.84,164.89,0,0,0,84.43,26.41,26.41,0,3.87,7.75,0,25.18,0,53.27,91.04,0,96.85,8.8,0,0,0,17.51,41.16,12.2,0,20.58,18.4,41.16,82.32,82.32,945.28

26,06:15-06:30,0,0.68,26.41,8.8,4.84,164.89,0,0,0,84.43,26.41,26.41,0,3.87,7.75,0,25.18,0,53.27,91.04,0,96.85,8.8,0,0,0,17.51,41.16,12.2,0,20.58,18.4,41.16,82.32,82.32,945.28

27,06:30-06:45,0.25,0.68,26.41,8.8,4.84,164.89,0,0,0,84.43,26.41,26.41,0,3.87,7.75,0,25.18,0,53.27,91.04,0,96.85,8.8,0,0,0,17.51,41.16,12.2,0,20.58,18.4,41.16,82.32,82.32,945.53

28,06:45-07:00,0.63,0.68,26.41,8.8,4.84,164.89,0,0,0,84.43,26.41,26.41,0,3.87,7.75,0,25.18,0,53.27,91.04,0,96.85,8.8,0,0,0,17.51,41.16,12.2,0,20.58,18.4,41.16,82.32,82.32,945.9099999999999

29,07:00-07:15,0.96,0.68,26.41,8.8,4.84,164.89,0,0,0,84.43,26.41,26.41,0,3.87,7.75,0,25.18,0,53.27,91.04,0,96.85,8.8,0,0,0,17.51,41.16,12.12,0,20.58,18.4,41.16,82.32,82.32,946.1599999999999

30,07:15-07:30,1.57,0.68,26.41,8.8,4.84,164.89,0,0,0,84.43,26.41,26.41,0,3.87,7.75,0,25.18,0,53.27,91.04,0,96.85,8.8,0,0,0,17.51,41.16,12.12,0,20.58,18.4,41.16,82.32,82.32,946.77

31,07:30-07:45,2.36,0.68,26.41,8.8,4.84,164.89,0,0,0,84.43,26.41,26.41,0,3.87,6.78,0,25.18,0,53.27,91.04,0,96.85,8.8,0,0,0,17.51,41.16,12.12,0,20.58,18.4,41.16,82.32,82.32,946.5899999999999

32,07:45-08:00,3.01,0.68,26.41,8.8,4.84,164.89,0,0,0,84.43,26.41,26.41,0,3.87,6.78,0,25.18,0,53.27,91.04,0,96.85,8.8,0,0,0,17.51,41.16,12.12,0,20.58,18.4,41.16,82.32,82.32,947.2399999999998

33,08:00-08:15,3.5,0.97,26.41,8.8,4.84,164.89,0,0,0,84.43,26.41,26.41,0,3.87,6.78,0,25.18,0,53.27,91.04,0,96.85,8.8,0,0,0,17.51,41.16,12.12,0,20.58,18.4,41.16,82.32,82.32,948.0199999999998

34,08:15-08:30,3.92,0.97,26.41,8.8,4.84,164.89,0,0,0,84.43,26.41,26.41,0,3.87,6.78,0,25.18,0,53.27,91.04,0,96.85,8.8,0,0,0,17.51,41.16,12.12,0,20.58,18.4,41.16,82.32,82.32,948.4399999999998

35,08:30-08:45,4.46,0.97,26.41,8.8,4.84,164.89,0,0,0,84.43,26.41,26.41,0,3.87,6.78,0,25.16,0,53.27,91.04,0,96.85,8.8,0,0,0,17.51,41.16,12.12,0,20.58,18.4,41.16,82.32,82.32,948.9599999999998

36,08:45-09:00,5.05,0.97,26.41,8.8,4.84,164.89,0,0,0,84.43,26.41,26.41,0,3.87,6.78,0,25.16,0,53.27,91.04,0,96.85,8.8,0,0,0,17.51,41.16,12.12,0,20.58,18.4,41.16,82.32,82.32,949.55

37,09:00-09:15,6.41,0.97,26.41,8.8,4.84,164.89,0,0,0,84.43,26.41,26.41,0,3.87,6.78,0,25.16,0,53.27,91.04,0,96.85,8.8,0,0,0,17.51,41.16,12.02,0,20.58,18.4,41.16,82.32,82.32,950.81

38,09:15-09:30,6.47,0.97,26.41,8.8,4.84,164.89,0,0,0,84.43,26.41,26.41,0,3.87,6.78,0,25.16,0,53.27,91.04,0,96.85,8.8,0,0,0,17.51,41.16,12.02,0,20.58,18.4,41.16,82.32,82.32,950.8699999999999

39,09:30-09:45,5.49,0.97,26.41,8.8,4.84,164.89,0,0,0,84.43,26.41,26.41,0,3.87,6.78,0,25.16,0,53.27,91.04,0,96.85,8.8,0,0,0,17.51,41.16,12.02,0,20.58,18.4,41.16,82.32,82.32,949.8899999999999

40,09:45-10:00,7.35,0.97,26.41,8.8,4.84,164.89,0,0,0,84.43,26.41,26.41,0,3.87,6.78,0,25.16,0,53.27,91.04,0,96.85,8.8,0,0,0,17.51,41.16,12.02,0,20.58,18.4,41.16,82.32,82.32,951.7499999999998

41,10:00-10:15,7.68,0.97,26.41,8.8,4.84,164.89,82.32,0,0,84.43,26.41,26.41,41.16,3.87,6.78,0,25.16,0,53.27,91.04,0,96.85,8.8,0,0,0,17.51,0,12.02,0,20.58,18.4,41.16,0,82.32,952.0799999999999

42,10:15-10:30,6.58,0.97,26.41,8.8,4.84,164.89,82.32,0,0,84.43,26.41,26.41,41.16,3.87,6.78,0,25.16,0,53.27,91.04,0,96.85,8.8,0,0,0,17.51,0,12.02,0,20.58,18.4,41.16,0,82.32,950.98

43,10:30-10:45,8.03,0.97,26.41,8.8,4.84,164.89,82.32,0,0,84.43,26.41,26.41,41.16,3.87,6.78,0,25.16,0,53.27,91.04,0,96.85,8.8,0,0,0,17.51,0,12.02,0,20.58,18.4,41.16,0,82.32,952.4300000000001

44,10:45-11:00,5.52,0.97,26.41,8.8,4.84,164.89,82.32,0,0,84.43,26.41,26.41,41.16,3.87,6.78,0,25.16,0,53.27,91.04,0,96.85,8.8,0,0,0,17.51,0,12.02,0,20.58,18.4,41.16,0,82.32,949.9200000000001

45,11:00-11:15,4.78,0.97,26.41,8.8,4.84,164.89,82.32,0,0,84.43,26.41,26.41,41.16,3.87,6.78,0,25.16,0,53.27,91.04,0,96.85,8.8,0,0,0,17.51,0,11.93,0,20.58,18.4,41.16,0,82.32,949.0899999999999

46,11:15-11:30,8.34,0.97,26.41,8.8,4.84,164.89,82.32,0,0,84.43,26.41,26.41,41.16,3.87,6.78,0,25.16,0,53.27,91.04,0,96.85,8.8,0,0,0,17.51,0,11.93,0,20.58,18.4,41.16,0,82.32,952.6499999999999

47,11:30-11:45,6.82,0.97,26.41,8.8,4.84,164.89,82.32,0,0,84.43,26.41,26.41,41.16,3.87,6.78,0,25.16,0,53.27,91.04,0,96.85,8.8,0,0,0,17.51,0,11.93,0,20.58,18.4,41.16,0,82.32,951.1299999999999

48,11:45-12:00,6.77,0.97,26.41,8.8,4.84,164.89,82.32,0,0,84.43,26.41,26.41,41.16,3.87,6.78,0,25.16,0,53.27,91.04,0,96.85,8.8,0,0,0,17.51,0,11.93,0,20.58,18.4,41.16,0,82.32,951.0799999999999

49,12:00-12:15,8.2,0.97,26.41,8.8,4.84,164.89,82.32,0,0,84.43,26.41,26.41,41.16,3.87,6.78,0,25.16,0,53.27,91.04,0,96.85,8.8,0,0,0,17.51,0,11.93,0,20.58,18.4,41.16,0,82.32,952.51

50,12:15-12:30,8.8,0.97,26.41,8.8,4.84,164.89,82.32,0,0,84.43,26.41,26.41,41.16,3.87,6.78,0,25.16,0,53.27,91.04,0,96.85,8.8,0,0,0,17.51,0,11.93,0,20.58,18.4,41.16,0,82.32,953.1099999999999

51,12:30-12:45,7,0.97,26.41,8.8,4.84,164.89,82.32,0,0,84.43,26.41,26.41,41.16,3.87,6.78,0,25.16,0,53.27,91.04,0,96.85,8.8,0,0,0,17.51,0,11.93,0,20.58,18.4,41.16,0,82.32,951.31

52,12:45-13:00,8.02,0.97,26.41,8.8,4.84,164.89,82.32,0,0,84.43,26.41,26.41,41.16,3.87,6.78,0,25.16,0,53.27,91.04,0,96.85,8.8,0,0,0,17.51,0,11.93,0,20.58,18.4,41.16,0,82.32,952.3299999999999

53,13:00-13:15,6.19,0.97,26.41,8.8,4.84,164.89,82.32,28.09,0,84.43,26.41,26.41,41.16,3.87,6.78,0,25.16,0,53.27,91.04,0,96.85,8.8,0,0,0,17.51,0,11.93,0,20.58,18.4,41.16,0,82.32,978.5899999999997

54,13:15-13:30,6.81,0.97,26.41,8.8,4.84,164.89,82.32,28.09,0,84.43,26.41,26.41,41.16,3.87,6.78,0,25.16,0,53.27,91.04,0,96.85,8.8,0,0,0,17.51,0,11.93,0,20.58,18.4,41.16,0,82.32,979.2099999999998

55,13:30-13:45,5.37,0.97,26.41,8.8,4.84,164.89,82.32,28.09,0,84.43,26.41,26.41,41.16,3.87,6.78,0,25.16,0,53.27,91.04,0,96.85,8.8,0,0,0,17.51,0,11.93,0,20.58,18.4,41.16,0,82.32,977.7699999999998

56,13:45-14:00,7.1,0.97,26.41,8.8,4.84,164.89,82.32,28.09,0,84.43,26.41,26.41,41.16,3.87,6.78,0,25.16,0,53.27,91.04,0,96.85,8.8,0,0,0,17.51,0,11.93,0,20.58,18.4,41.16,0,82.32,979.4999999999998

57,14:00-14:15,5.06,0.97,26.41,8.8,4.84,164.89,82.32,28.09,13.56,84.43,26.41,26.41,41.16,3.87,6.78,0,25.16,0,53.27,91.04,0,96.85,8.8,0,0,0,17.51,0,12.2,0,20.58,18.4,41.16,0,82.32,991.29

58,14:15-14:30,4.89,0.97,26.41,8.8,4.84,164.89,82.32,28.09,13.56,84.43,26.41,26.41,41.16,3.87,6.78,0,25.16,0,53.27,91.04,0,96.85,8.8,0,0,0,17.51,0,12.2,0,20.58,18.4,41.16,0,82.32,991.1199999999999

59,14:30-14:45,7.84,0.97,26.41,8.8,4.84,164.89,82.32,28.09,13.56,84.43,26.41,26.41,41.16,3.87,6.78,0,25.16,0,53.27,91.04,0,96.85,8.8,0,0,0,17.51,0,12.2,0,20.58,18.4,41.16,0,82.32,994.0699999999999

60,14:45-15:00,6.26,0.97,26.41,8.8,4.84,164.89,82.32,28.09,13.56,84.43,26.41,26.41,41.16,3.87,6.78,0,25.16,0,53.27,91.04,0,96.85,8.8,0,0,0,17.51,0,12.2,0,20.58,18.4,41.16,0,82.32,992.49

61,15:00-15:15,6.42,0.97,26.41,8.8,4.84,164.89,82.32,28.09,13.56,84.43,26.41,26.41,41.16,3.87,6.78,0,25.16,0,53.27,91.04,0,96.85,8.8,0,0,0,17.51,0,12.48,0,20.58,18.4,41.16,0,82.32,992.9299999999998

62,15:15-15:30,5.47,0.97,26.41,8.8,4.84,164.89,82.32,28.09,13.56,84.43,26.41,26.41,41.16,3.87,6.78,0,25.16,0,53.27,91.04,0,96.85,8.8,0,0,0,17.51,0,12.48,0,20.58,18.4,41.16,0,82.32,991.9799999999998

63,15:30-15:45,4.97,0.97,26.41,8.8,4.84,164.89,82.32,28.09,13.56,84.43,26.41,26.41,41.16,3.87,7.75,0,25.16,0,53.27,91.04,0,96.85,8.8,0,0,0,17.51,0,12.48,0,20.58,18.4,41.16,0,82.32,992.4499999999998

64,15:45-16:00,3.31,0.97,26.41,8.8,4.84,164.89,82.32,28.09,13.56,84.43,26.41,26.41,41.16,3.87,9.68,0,25.16,0,53.27,91.04,0,96.85,8.8,0,0,0,17.51,0,12.48,0,20.58,18.4,41.16,0,82.32,992.7199999999998

65,16:00-16:15,2.41,0.87,26.41,8.8,4.84,164.89,82.32,28.09,13.56,84.43,26.41,26.41,41.16,3.87,9.68,0,25.16,0,53.27,91.04,0,96.85,8.8,0,0,0,17.51,0,12.76,0,20.58,18.4,41.16,0,82.32,991.9999999999998

66,16:15-16:30,2.19,0.87,26.41,8.8,4.84,164.89,82.32,28.09,13.56,84.43,26.41,26.41,41.16,3.87,9.68,0,25.16,0,53.27,91.04,0,96.85,8.8,0,0,0,17.51,0,12.76,0,20.58,18.4,41.16,0,82.32,991.7799999999997

67,16:30-16:45,2,0.87,26.41,8.8,4.84,164.89,82.32,28.09,13.56,84.43,26.41,26.41,41.16,3.87,9.68,0,25.16,0,53.27,91.04,0,96.85,8.8,0,0,0,17.51,0,12.76,0,20.58,18.4,41.16,0,82.32,991.5899999999999

68,16:45-17:00,1.75,0.87,26.41,8.8,4.84,164.89,82.32,28.09,13.56,84.43,26.41,26.41,41.16,3.87,9.68,0,25.16,0,53.27,91.04,0,96.85,8.8,0,0,0,17.51,0,12.76,0,20.58,18.4,41.16,0,82.32,991.3399999999999

69,17:00-17:15,1.51,0.82,26.41,8.8,4.84,164.89,0,28.09,13.56,84.43,26.41,26.41,0,3.87,9.68,0,25.16,0,53.27,91.04,0,96.85,8.8,0,0,0,17.51,41.16,13.04,0,20.58,18.4,41.16,82.32,82.32,991.3299999999999

70,17:15-17:30,1.26,0.82,26.41,8.8,4.84,164.89,0,28.09,13.56,84.43,26.41,26.41,0,3.87,9.68,0,25.16,0,53.27,91.04,0,96.85,8.8,0,0,0,17.51,41.16,13.04,0,20.58,18.4,41.16,82.32,82.32,991.0799999999999

71,17:30-17:45,0.96,0.82,26.41,8.8,4.84,164.89,0,28.09,13.56,84.43,26.41,26.41,0,3.87,9.68,0,25.16,0,53.27,91.04,0,96.85,8.8,0,0,0,17.51,41.16,13.04,0,20.58,18.4,41.16,82.32,82.32,990.7799999999997

72,17:45-18:00,0.64,0.82,26.41,8.8,4.84,164.89,0,28.09,13.56,84.43,26.41,26.41,0,3.87,9.68,0,25.16,0,53.27,91.04,0,96.85,8.8,0,0,0,17.51,41.16,13.04,0,20.58,18.4,41.16,82.32,82.32,990.4599999999998

73,18:00-18:15,0.31,0.82,26.41,8.8,4.84,164.89,0,28.09,13.56,84.43,26.41,26.41,0,3.87,10.65,0,25.16,0,53.27,91.04,0,96.85,8.8,0,0,0,17.51,41.16,13.22,0,20.58,18.4,41.16,82.32,82.32,991.28

74,18:15-18:30,0.07,0.82,26.41,8.8,4.84,164.89,0,28.09,13.56,84.43,26.41,26.41,0,3.87,10.65,0,25.16,0,53.27,91.04,0,96.85,8.8,0,0,0,17.51,41.16,13.22,0,20.58,18.4,41.16,82.32,82.32,991.04

75,18:30-18:45,0.06,0.82,26.41,8.8,4.84,164.89,0,28.09,13.56,84.43,26.41,26.41,0,3.87,10.65,0,43.58,0,53.27,91.04,0,96.85,8.8,0,0,0,17.51,41.16,13.22,0,20.58,18.4,41.16,82.32,82.32,1009.4499999999998

76,18:45-19:00,0.05,0.82,26.41,8.8,4.84,164.89,0,28.09,13.56,84.43,26.41,26.41,0,3.87,10.65,0,43.58,0,53.27,91.04,0,96.85,8.8,0,0,0,17.51,41.16,13.22,0,20.58,18.4,41.16,82.32,82.32,1009.4399999999998

77,19:00-19:15,0,0.82,26.41,8.8,4.84,164.89,0,28.09,13.56,84.43,26.41,26.41,0,3.87,11.62,0,43.58,0,53.27,91.04,0,96.85,8.8,0,0,0,17.51,41.16,13.22,0,20.58,18.4,41.16,82.32,82.32,1010.3599999999999

78,19:15-19:30,0,0.82,26.41,8.8,4.84,164.89,0,28.09,13.56,84.43,26.41,26.41,0,3.87,11.62,0,43.58,0,53.27,91.04,0,96.85,8.8,0,0,0,17.51,41.16,13.22,0,20.58,18.4,41.16,82.32,82.32,1010.3599999999999

79,19:30-19:45,0,0.82,26.41,8.8,4.84,164.89,0,28.09,13.56,84.43,26.41,26.41,0,3.87,11.62,0,43.58,0,53.27,91.04,0,96.85,8.8,0,0,0,17.51,41.16,13.22,0,20.58,18.4,41.16,82.32,82.32,1010.3599999999999

80,19:45-20:00,0,0.82,26.41,8.8,4.84,164.89,0,28.09,13.56,84.43,26.41,26.41,0,3.87,11.62,0,43.58,0,53.27,91.04,0,96.85,8.8,0,0,0,17.51,41.16,13.22,0,20.58,18.4,41.16,82.32,82.32,1010.3599999999999

81,20:00-20:15,0,0.77,26.41,8.8,4.84,164.89,0,28.09,13.56,84.43,26.41,26.41,0,3.87,11.62,0,43.58,0,53.27,91.04,0,96.85,8.8,0,0,0,17.51,41.16,13.13,0,20.58,18.4,41.16,82.32,82.32,1010.2199999999998

82,20:15-20:30,0,0.77,26.41,8.8,4.84,164.89,0,28.09,13.56,84.43,26.41,26.41,0,3.87,11.62,0,43.58,0,53.27,91.04,0,96.85,8.8,0,0,0,17.51,41.16,13.13,0,20.58,18.4,41.16,82.32,82.32,1010.2199999999998

83,20:30-20:45,0,0.77,26.41,8.8,4.84,164.89,0,28.09,13.56,84.43,26.41,26.41,0,3.87,11.62,0,43.58,0,53.27,91.04,0,96.85,8.8,0,0,0,17.51,41.16,13.13,0,20.58,18.4,41.16,82.32,82.32,1010.2199999999998

