Column1,Block,NR/2025/29439/A/89832,NR/2025/31859/C,NR/2025/28728/A/90160,NR/2025/30191/A/89712,NR/2025/31887/C,NR/2025/31889/C,NR/2025/31890/C,NR/2025/31832/C,NR/2025/27975/A/90174,NR/2025/27973/A/90173,NR/2025/29353/A/90184,NR/2025/31825/C,NR/2025/27965/A/90170,NR/2025/30121/A/89714,NR/2025/27966/A/90172,NR/2025/31838/C,NR/2025/31868/C,NR/2025/31839/C,NR/2025/29352/A/90186,NR/2025/30084/A/90117,NR/2025/30101/A/90200,NR/2025/31860/C,NR/2025/31126/A/89792,NR/2025/29440/A/89763,NR/2025/31793/C,NR/2025/29167/A/89770,NR/2025/31136/A/90165,NR/2025/31136/A/90166,NR/2025/31137/A/90167,NR/2025/31137/A/90168,NR/2025/31138/A/90169,NR/2025/31138/A/90171,NR/2025/31347/A/89711,NR/2025/31419/A/89924,NR/2025/31420/A/89923,GNARE/NR/2024/12/20/3668,GNA/NR/2025/07/01/8139,GNA/NR/2025/07/01/8154,GNA/NR/2025/07/01/2997,GNA/NR/2025/07/01/2786,GNA/NR/2025/07/01/3109,NR/30092023/26122029/SH-06,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/07/16/7255,GNA/NR/2025/07/01/1192,GNA/NR/2025/07/16/5917,NR/30092023/31122025/SH-07,NR/2025/31892/C,NR/2025/30082/A/90208,NR/2025/29910/A/90123,NR/2025/31893/C,NR/2025/30083/A/90118,NR/2025/31874/C,NR/2025/31874/C/Alternate/1,NR/2025/30067/A/90298,NR/2025/29992/A/89845,NR/2025/29915/A/89769,NR/2025/31886/C,NR/2025/31895/C,NR/2025/30105/A/90115,NR/2025/29628/A/90128,NR/2025/30217/A/90114,NR/2025/31339/A/89847,NR/2025/31829/C,NR/2025/30086/A/90116,NR/2025/31877/C,NR/2025/27978/A/90204,NR/2025/31878/C,NR/2025/29985/A/89848,Total
3,00:30-00:45,25.07,0,81.72,48.07,0,0,0,0,0,96.14,81.72,0,96.14,6.73,0,0,0,0,28.6,24.04,48.07,0,12.5,0.91,0,54.08,0,0,0,0,0,0,0,0,0,0,134.84,20.74,15.24,43.7,19.23,32,17.76,163.44,49.03,81.72,0,0,48.07,19.23,0,8.01,24.67,137.37,204.3,44.22,20.43,0,0,16.03,105.75,7.69,134.6,0,24.04,28.84,96.14,0,0,2100.88

4,00:45-01:00,25.07,0,81.72,48.07,0,0,0,0,0,96.14,81.72,0,96.14,6.73,0,0,0,0,28.6,24.04,48.07,0,12.5,0.91,0,54.08,0,0,0,0,0,0,0,0,0,0,134.84,20.74,15.24,43.7,19.23,32,17.76,163.44,49.03,81.72,0,0,48.07,19.23,0,8.01,29.48,132.57,204.3,44.22,20.43,0,0,16.03,105.75,7.69,134.6,0,24.04,28.84,96.14,0,0,2100.89

5,01:00-01:15,25.07,0,81.72,48.07,0,0,0,0,0,96.14,81.72,0,96.14,6.73,0,0,0,0,28.6,24.04,48.07,0,12.5,0.77,0,54.08,0,0,0,0,0,0,0,0,0,0,134.84,20.74,15.24,43.7,19.23,32,17.57,163.44,49.03,81.72,0,0,48.07,19.23,0,8.01,33.45,128.6,204.3,44.22,20.43,0,0,16.03,105.75,7.69,134.6,0,24.04,28.84,96.14,0,0,2100.56

6,01:15-01:30,25.07,0,81.72,48.07,0,0,0,0,0,96.14,81.72,0,96.14,6.73,0,0,0,0,28.6,24.04,48.07,0,12.5,0.77,0,54.08,0,0,0,0,0,0,0,0,0,0,134.84,20.74,15.24,43.7,19.23,32,17.57,163.44,49.03,81.72,0,0,48.07,19.23,0,8.01,37.12,124.92,204.3,44.22,20.43,0,0,16.03,105.75,7.69,134.6,0,24.04,28.84,96.14,0,0,2100.55

7,01:30-01:45,25.07,0,81.72,48.07,0,0,0,0,0,96.14,81.72,0,96.14,6.73,0,0,0,0,28.6,24.04,48.07,0,12.5,0.77,0,54.08,0,0,0,0,0,0,0,0,0,0,134.84,20.74,15.24,43.7,19.23,26.7,17.57,163.44,49.03,81.72,26.7,0,48.07,19.23,0,8.01,162.04,0,204.3,44.22,20.43,0,0,16.03,105.75,7.69,134.6,0,24.04,28.84,96.14,0,0,2121.9500000000003

8,01:45-02:00,25.07,0,81.72,48.07,0,0,0,0,0,96.14,81.72,0,96.14,6.73,0,0,0,0,28.6,24.04,48.07,0,12.5,0.77,0,54.08,0,0,0,0,0,0,0,0,0,0,134.84,20.74,15.24,43.7,19.23,26.7,17.57,163.44,49.03,81.72,26.7,0,48.07,19.23,0,8.01,162.04,0,204.3,44.22,20.43,0,0,16.03,105.75,7.69,134.6,0,24.04,28.84,96.14,0,0,2121.9500000000003

9,02:00-02:15,0,0,81.72,48.07,0,0,0,0,0,96.14,81.72,0,96.14,6.73,0,0,0,0,28.6,24.04,48.07,0,12.5,0.67,0,54.08,0,0,0,0,0,0,0,0,0,0,134.84,20.74,15.24,43.7,19.23,26.94,17.39,163.44,49.03,81.72,26.94,0,48.07,19.23,0,8.01,162.04,0,204.3,44.22,20.43,0,0,16.03,105.75,7.69,134.6,0,24.04,28.84,96.14,0,0,2097.08

10,02:15-02:30,0,0,81.72,48.07,0,0,0,0,0,96.14,81.72,0,96.14,6.73,0,0,0,0,28.6,24.04,48.07,0,12.5,0.67,0,54.08,0,0,0,0,0,0,0,0,0,0,134.84,20.74,15.24,43.7,19.23,26.94,17.39,163.44,49.03,81.72,26.94,0,48.07,19.23,0,8.01,162.04,0,204.3,44.22,20.43,0,0,16.03,105.75,7.69,134.6,0,24.04,28.84,96.14,0,0,2097.08

11,02:30-02:45,0,0,81.72,48.07,0,0,0,0,0,96.14,81.72,0,96.14,6.73,0,0,0,0,28.6,24.04,48.07,0,12.5,0.67,0,54.08,0,0,0,0,0,0,0,0,0,0,134.84,20.74,15.24,43.7,19.23,26.94,17.39,163.44,49.03,81.72,26.94,0,48.07,19.23,0,8.01,162.04,0,204.3,44.22,20.43,0,0,16.03,105.75,7.69,134.6,0,24.04,28.84,96.14,0,0,2097.08

12,02:45-03:00,0,0,81.72,48.07,0,0,0,0,0,96.14,81.72,0,96.14,6.73,0,0,0,0,28.6,24.04,48.07,0,12.5,0.67,0,54.08,0,0,0,0,0,0,0,0,0,0,134.84,20.74,15.24,43.7,19.23,26.94,17.39,163.44,49.03,81.72,26.94,0,48.07,19.23,0,8.01,162.04,0,204.3,44.22,20.43,0,0,16.03,105.75,7.69,134.6,0,24.04,28.84,96.14,0,0,2097.08

13,03:00-03:15,0,0,81.72,48.07,0,0,0,0,0,96.14,81.72,0,96.14,6.73,0,0,0,0,28.6,24.04,48.07,0,12.5,0.62,0,54.08,0,0,0,0,0,0,0,0,0,0,134.84,20.74,15.24,43.7,19.23,26.94,17.3,163.44,0,81.72,26.94,0,48.07,19.23,0,8.01,162.04,0,0,44.22,0,0,0,16.03,76.55,7.69,0,0,24.04,28.84,96.14,0,0,1659.38

14,03:15-03:30,0,0,81.72,48.07,0,0,0,0,0,96.14,81.72,0,96.14,6.73,0,0,0,0,28.6,24.04,48.07,0,12.5,0.62,0,54.08,0,0,0,0,0,0,0,0,0,0,134.84,20.74,15.24,43.7,19.23,26.94,17.3,163.44,0,81.72,26.94,0,48.07,19.23,0,8.01,162.04,0,0,44.22,0,0,0,16.03,76.55,7.69,0,0,24.04,28.84,96.14,0,0,1659.38

15,03:30-03:45,0,0,81.72,48.07,0,0,0,0,0,96.14,81.72,0,96.14,6.73,0,0,0,0,28.6,24.04,48.07,0,12.5,0.62,0,54.08,0,0,0,0,0,0,0,0,0,0,134.84,20.74,15.24,43.7,19.23,26.94,17.3,163.44,0,81.72,26.94,0,48.07,19.23,0,8.01,162.04,0,0,44.22,0,0,0,16.03,76.55,7.69,0,0,24.04,28.84,96.14,0,0,1659.38

16,03:45-04:00,0,0,81.72,48.07,0,0,0,0,0,96.14,81.72,0,96.14,6.73,0,0,0,0,28.6,24.04,48.07,0,12.5,0.62,0,54.08,0,0,0,0,0,0,0,0,0,0,134.84,20.74,15.24,43.7,19.23,26.94,17.3,163.44,0,81.72,26.94,0,48.07,19.23,0,8.01,162.04,0,0,44.22,0,0,0,16.03,76.55,7.69,0,0,24.04,28.84,96.14,0,0,1659.38

17,04:00-04:15,0,0,81.72,48.07,0,0,0,0,0,0,81.72,0,0,6.73,0,0,0,0,28.6,24.04,48.07,0,12.5,0.62,0,0,0,0,0,0,0,0,0,0,0,0,134.84,20.74,15.24,43.7,19.23,26.94,17.21,163.44,0,81.72,26.94,0,48.07,19.23,0,8.01,162.04,0,0,44.22,0,0,0,16.03,76.55,7.69,0,0,24.04,28.84,96.14,0,0,1412.9300000000003

18,04:15-04:30,0,0,81.72,48.07,0,0,0,0,0,0,81.72,0,0,6.73,0,0,0,0,28.6,24.04,48.07,0,12.5,0.62,0,0,0,0,0,0,0,0,0,0,0,0,134.84,20.74,15.24,43.7,19.23,26.94,17.21,163.44,0,81.72,26.94,0,48.07,19.23,0,8.01,162.04,0,0,44.22,0,0,0,16.03,76.55,7.69,0,0,24.04,28.84,96.14,0,0,1412.9300000000003

19,04:30-04:45,0,0,81.72,48.07,0,0,0,0,0,0,81.72,0,0,6.73,0,0,0,0,28.6,24.04,48.07,0,12.5,0.62,0,0,0,0,0,0,0,0,0,0,0,0,134.84,20.74,15.24,43.7,19.23,26.94,17.21,163.44,0,81.72,26.94,0,48.07,19.23,0,8.01,162.04,0,0,44.22,0,0,0,16.03,76.55,7.69,0,0,24.04,28.84,96.14,0,0,1412.9300000000003

20,04:45-05:00,0,0,81.72,48.07,0,0,0,0,0,0,81.72,0,0,6.73,0,0,0,0,28.6,24.04,48.07,0,12.5,0.62,0,0,0,0,0,0,0,0,0,0,0,0,134.84,20.74,15.24,43.7,19.23,26.94,17.21,163.44,0,81.72,26.94,0,48.07,19.23,0,8.01,162.04,0,0,44.22,0,0,0,16.03,76.55,7.69,0,0,24.04,28.84,96.14,0,0,1412.9300000000003

21,05:00-05:15,0,0,81.72,48.07,0,0,0,0,0,0,81.72,0,0,6.73,0,0,0,0,28.6,24.04,48.07,0,12.5,0.62,0,0,0,0,0,0,0,0,0,0,0,0,134.84,20.74,15.24,43.7,19.23,26.94,17.11,163.44,0,81.72,26.94,0,48.07,16.57,0,8.01,162.04,0,0,44.22,0,0,0,16.03,76.55,7.69,0,0,24.04,28.84,96.14,0,0,1410.1700000000003

22,05:15-05:30,0,0,81.72,48.07,0,0,0,0,0,0,81.72,0,0,6.73,0,0,0,0,28.6,24.04,48.07,0,12.5,0.62,0,0,0,0,0,0,0,0,0,0,0,0,134.84,20.74,15.24,43.7,19.23,26.94,17.11,163.44,0,81.72,26.94,0,48.07,16.57,0,8.01,162.04,0,0,44.22,0,0,0,16.03,76.55,7.69,0,0,24.04,28.84,96.14,0,0,1410.1700000000003

23,05:30-05:45,0,0,81.72,48.07,0,0,0,0,0,0,81.72,0,0,6.73,0,0,0,0,28.6,24.04,48.07,0,10.58,0.62,0,0,0,0,0,0,0,0,0,0,0,0,134.84,20.74,15.24,43.7,19.23,26.94,17.11,163.44,0,81.72,26.94,0,48.07,16.57,0,8.01,162.04,0,0,44.22,0,0,0,16.03,76.55,7.69,0,0,24.04,28.84,96.14,0,0,1408.2500000000002

24,05:45-06:00,0,0,81.72,48.07,0,0,0,0,0,0,81.72,0,0,6.73,0,0,0,0,28.6,24.04,48.07,0,10.58,0.62,0,0,0,0,0,0,0,0,0,0,0,0.42,134.84,20.74,15.24,43.7,19.23,26.94,17.11,163.44,0,81.72,26.94,0,48.07,16.57,0,8.01,162.04,0,0,44.22,0,0,0,16.03,76.55,7.69,0,0,24.04,28.84,96.14,0,1,1409.6700000000003

25,06:00-06:15,0,0,81.72,48.07,0,0,0,0,0,0,81.72,0,0,6.73,0,0,0,0,28.6,24.04,48.07,0,10.58,0.82,0,0,0,0.04,0,0.04,0,0.04,0,0,0,1.18,134.84,20.74,15.24,43.7,19.23,26.94,17.03,163.44,0,81.72,26.94,0,48.07,16.57,0,8.01,162.04,0,0,44.22,0,0,0,16.03,76.55,7.69,0,0,24.04,28.84,96.14,0,3,1412.6700000000003

26,06:15-06:30,0,0,81.72,48.07,0,0,0,0,0,0,81.72,0,0,6.73,0,0,0,0,28.6,24.04,48.07,0,10.58,0.82,0,0,0,0.07,0,0.07,0,0.07,0,0,0,2.29,134.84,20.74,15.24,43.7,19.23,26.94,17.03,163.44,0,81.72,26.94,0,48.07,16.57,0,8.01,162.04,0,0,44.22,0,0,0,16.03,76.55,7.69,0,0,24.04,28.84,96.14,0,7,1417.8700000000001

27,06:30-06:45,0,0,81.72,48.07,0,0,0,0,0,0,81.72,0,0,6.73,0,0,0,0,28.6,24.04,48.07,0,10.58,0.82,0,0,0.04,0.09,0.02,0.09,0.02,0.09,0,0,0,3.51,134.84,20.74,15.24,43.7,19.23,26.94,17.03,163.44,0,81.72,26.94,0,48.07,16.57,0,8.01,162.04,0,0,44.22,0,0,0,16.03,76.55,7.69,0,0,24.04,28.84,96.14,0.84,11,1424.07

28,06:45-07:00,0,0,81.72,48.07,0,0,0,0,0,0,81.72,0,0,6.73,0,0,0,0,28.6,24.04,48.07,0,10.58,0.82,0,0,0.09,0.1,0.03,0.1,0.06,0.1,0,0,0,5.21,134.84,20.74,15.24,43.7,19.23,26.94,17.03,163.44,0,81.72,26.94,0,48.07,16.57,0,8.01,162.04,0,0,44.22,0,0,0,16.03,76.55,7.69,0,0,24.04,28.84,96.14,1.37,14,1429.43

29,07:00-07:15,0,0,81.72,48.07,0,0,0,0,0,0,81.72,0,0,6.73,0,0,0,0,28.6,24.04,48.07,0,10.58,0.87,0,0,0.15,0.1,0.05,0.1,0.1,0.1,0,0,0,6.26,134.84,20.74,15.24,43.7,19.23,26.94,16.93,163.44,0,81.72,26.94,0,48.07,16.57,0,8.01,162.04,0,0,44.22,0,0,0,16.03,76.55,7.69,0,0,24.04,28.84,96.14,1.97,21,1438.1500000000003

30,07:15-07:30,0,0,81.72,48.07,0,0,0,0,0,0,81.72,0,0,6.73,0,0,0,0,28.6,24.04,48.07,0,10.58,0.87,0,0,0.23,0.1,0.08,0.1,0.15,0.1,0,0,0,8.55,134.84,20.74,15.24,43.7,19.23,26.94,16.93,163.44,0,81.72,26.94,0,48.07,16.57,0,8.01,162.04,0,0,44.22,0,0,0,16.03,76.55,7.69,0,0,24.04,28.84,96.14,2.97,28,1448.6000000000004

31,07:30-07:45,0,0,81.72,48.07,0,0,0,0,0,0,81.72,0,0,6.73,0,0,0,0,28.6,24.04,48.07,0,9.61,0.87,0,0,0.29,0.1,0.19,0.1,0.19,0.1,0,0,0,9.91,134.84,20.74,15.24,43.7,19.23,26.94,16.93,163.44,0,81.72,26.94,0,48.07,16.57,0,8.01,162.04,0,0,44.22,0,0,0,16.03,76.55,7.69,0,0,24.04,28.84,96.14,3.86,42,1464.0900000000001

32,07:45-08:00,0,0,81.72,48.07,0,0,0,0,0,0,81.72,0,0,6.73,0,0,0,0,28.6,24.04,48.07,0,9.61,0.87,0,0,0.29,0.1,0.19,0.1,0.19,0.1,0,0,0,13.33,134.84,20.74,15.24,43.7,19.23,26.94,16.93,163.44,0,81.72,26.94,0,48.07,16.57,0,8.01,162.04,0,0,44.22,0,0,0,16.03,76.55,7.69,0,0,24.04,28.84,96.14,5.25,53,1479.9000000000003

33,08:00-08:15,0,0,81.72,48.07,0,0,0,0,0,0,81.72,0,0,6.73,0,0,0,0,28.6,24.04,48.07,0,9.61,0.96,0,0,0.29,0.1,0.19,0.1,0.19,0.1,9.11,0,1.63,13.58,134.84,20.74,15.24,43.7,19.23,26.94,16.83,163.44,0,81.72,26.94,0,48.07,16.57,0,8.01,162.04,0,0,44.22,0,0,0,16.03,76.55,7.69,0,0,24.04,28.84,96.14,6.18,46,1484.8100000000004

34,08:15-08:30,0,0,81.72,48.07,0,0,0,0,0,0,81.72,0,0,6.73,0,0,0,0,28.6,24.04,48.07,0,9.61,0.96,0,0,0.29,0.1,0.19,0.1,0.19,0.1,9.61,0,1.63,17.47,134.84,20.74,15.24,43.7,19.23,26.94,16.83,163.44,0,81.72,26.94,0,48.07,16.57,0,8.01,162.04,0,0,44.22,0,0,0,16.03,76.55,7.69,0,0,24.04,28.84,96.14,8.53,53,1498.5500000000004

35,08:30-08:45,0,0,81.72,48.07,0,0,0,0,0,0,81.72,0,0,6.73,0,0,0,0,28.6,24.04,48.07,0,9.61,0.96,0,0,0.29,0.19,0.19,0.1,0.19,0.1,9.61,0,1.63,21.36,134.84,20.74,15.24,43.7,19.23,26.94,16.83,163.44,0,81.72,26.94,0,48.07,16.57,0,8.01,162.04,0,0,44.22,0,0,0,16.03,76.55,7.69,0,0,24.04,28.84,96.14,5.87,56,1502.8700000000003

36,08:45-09:00,0,0,81.72,48.07,0,0,0,0,0,0,81.72,0,0,6.73,0,0,0,0,28.6,24.04,48.07,0,9.61,0.96,0,0,0.29,0.19,0.19,0.1,0.19,0.1,9.61,0,1.63,25.25,134.84,20.74,15.24,43.7,19.23,26.94,16.83,163.44,0,81.72,26.94,0,48.07,16.57,0,8.01,162.04,0,0,44.22,0,0,0,16.03,76.55,7.69,0,0,24.04,28.84,96.14,5.87,63,1513.7600000000002

37,09:00-09:15,0,76.55,0,0,8.01,24.04,16.03,81.72,0,0,81.72,44.22,0,0,0,0,48.07,0,28.6,0,0,16.57,10.58,0,48.07,0,0.38,0.19,0.19,0.1,0.19,0.1,9.61,0,1.63,30.29,134.84,20.74,15.24,24.04,19.23,26.95,16.83,163.44,0,81.72,26.95,24.04,0,0,7.69,0,162.04,0,0,0,0,6.73,0.96,0,0,0,0,48.07,0,28.84,0,5.87,77,1418.08

38,09:15-09:30,0,76.55,0,0,8.01,24.04,16.03,81.72,0,0,81.72,44.22,0,0,0,0,48.07,0,28.6,0,0,16.57,10.58,0,48.07,0,0.48,0.29,0.19,0.1,0.19,0.1,9.61,0,1.63,35.33,134.84,20.74,15.24,24.04,19.23,26.95,16.83,163.44,0,81.72,26.95,24.04,0,0,7.69,0,162.04,0,0,0,0,6.73,0.96,0,0,0,0,48.07,0,28.84,0,6.85,84,1431.3

39,09:30-09:45,0,76.55,0,0,8.01,24.04,16.03,81.72,0,0,81.72,44.22,0,0,0,0,48.07,0,28.6,0,0,16.57,10.58,0,48.07,0,0.48,0.29,0.19,0.1,0.19,0.1,9.61,0,1.63,33.12,134.84,20.74,15.24,24.04,19.23,26.95,16.83,163.44,0,81.72,26.95,24.04,0,0,7.69,0,162.04,0,0,0,0,6.73,0.96,0,0,0,0,48.07,0,28.84,0,6.85,91,1436.09

40,09:45-10:00,0,76.55,0,0,8.01,24.04,16.03,81.72,0,0,81.72,44.22,0,0,0,0,48.07,0,28.6,0,0,16.57,10.58,0,48.07,0,0.48,0.19,0.29,0.1,0.19,0.1,9.61,0,1.63,36.37,134.84,20.74,15.24,24.04,19.23,26.95,16.83,163.44,0,81.72,26.95,24.04,0,0,7.69,0,162.04,0,0,0,0,6.73,0.96,0,0,0,0,48.07,0,28.84,0,7.83,102,1451.32

