Column1,Time,WR/01102023/30052048/L_NR_2022_10,L_NR_2019_19,SR/01102023/07102043/L_NR_2018_61,WR/01102023/01102023/L_NR_2022_09,WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2020_06,NR/01102023/13082046/L_NR_2021_12,NR/22102023/11042047/L_NR_2021_16,NR/01102023/08032047/L_NR_2021_14,NR/22102023/11042047/L_NR_2021_17,GNA/NR/2024/09/27/1738,GNA/NR/2024/09/01/7119,NR/01102023/06022042/L_NR_2012_02,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/19072037/LT-05,NR/01102023/31052040/LT-31,NR/01102023/22052037/LT-59,GNA/NR/2024/09/27/4611,NR/01102023/30042040/GNA_LT_35,NR/01102023/31102037/L_NR_2019_11,NR/30092023/31122025/SH-07,NR/01102023/06022042/L_NR_2012_07,NR/01102023/30042040/GNA_LT_36,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/05012040/L_NR_2020_02,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/09/16/2535,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2024/09/01/8090,NR/30092023/26122029/SH-06,GNA/NR/2024/09/01/9821,GNA/NR/2024/09/01/6566,GNA/NR/2024/09/01/6020,GNA/NR/2024/09/01/7908,GNA/NR/2024/09/01/2171,NR/01082024/30092024/LT_MEJA_DELHI,WR/01102023/29112042/L_NR_2019_05,NR/26072023/31072042/L_NR_2023_07,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01102023/25072045/L_NR_2021_15,NR/26072023/25122043/L_NR_2023_10,NR/01102023/02122045/L_NR_2021_13,WR/01102023/31032046/L_NR_2020_05,WR/01102023/24112044/L_NR_2020_07
7,01:30-01:45,58.67,0,15.41,58.67,24.66,23.5,0,0,0,0,0,17.5,227,273.62,70.54,0,5.91,0,0,5,24.08,76.73,0,53.22,0,9.33,163.3,31.3,0,24.08,32.9,24.19,96.77,21.77,2.42,3.99,0,0,0,0,0,0,0,70.5,23.5

8,01:45-02:00,59,0,15.01,59,24.34,23.84,0,0,0,0,0,17.5,227,273.62,70.54,0,5.91,0,0,5,24.08,76.73,0,53.22,0,9.33,163.3,31.3,0,24.08,32.9,24.19,96.77,21.77,2.42,3.99,0,0,0,0,0,0,0,71.5,23.83

9,02:00-02:15,60,0,14.61,60,17.34,24.16,0,0,0,0,0,17.5,227,273.62,70.54,0,5.84,0,0,5,24.08,76.73,0,53.22,4.19,9.24,163.3,31.3,0,24.08,32.9,24.19,96.77,21.77,2.42,3.99,0,0,0,0,0,0,0,72.5,24.17

10,02:15-02:30,61.33,0,14.21,61.33,17.34,24.5,0,0,0,0,0,17.5,227,273.62,70.54,0,5.84,0,0,5,24.08,76.73,0,53.22,4.19,9.24,163.3,31.3,0,24.08,32.9,24.19,96.77,21.77,2.42,3.99,0,0,0,0,0,0,0,73.5,24.5

11,02:30-02:45,62.67,0,19.01,62.67,17.66,19.84,0,0,0,0,0,17.5,227,273.62,70.54,0,5.84,0,0,5,26.91,76.73,0,53.22,4.19,9.24,163.3,31.3,0,26.91,32.9,24.19,96.77,21.77,2.42,3.99,0,0,0,0,0,0,0,59.5,19.83

12,02:45-03:00,64,0,19.01,64,17.66,20.16,0,0,0,0,0,17.5,227,273.62,70.54,0,5.84,0,0,5,26.91,76.73,0,53.22,4.19,9.24,163.3,31.3,0,26.91,32.9,24.19,96.77,21.77,2.42,3.99,0,0,0,0,0,0,0,60.5,20.17

13,03:00-03:15,53.33,0,19.01,53.33,12.66,17.84,0,0,0,0,0,17.5,170.93,273.62,70.54,0,5.84,0,0,4.85,26.91,76.73,0,53.22,4.19,9.14,163.3,31.3,0,26.91,0,24.19,96.77,21.77,2.42,3.99,0,0,0,0,0,0,0,53.5,17.83

14,03:15-03:30,53,0,19.01,53,12.34,18.16,0,0,0,0,0,17.5,170.93,273.62,70.54,0,5.84,0,0,4.85,26.91,76.73,0,53.22,4.19,9.14,163.3,31.3,0,26.91,0,24.19,96.77,21.77,2.42,3.99,0,0,0,0,0,0,0,54.5,18.17

15,03:30-03:45,53,0,18.61,53,12.34,18.34,0,0,0,0,0,17.5,170.93,273.62,70.54,0,5.84,0,0,4.85,26.91,57.77,0,53.22,4.19,9.14,163.3,31.3,0,26.91,0,24.19,96.77,21.77,2.42,3.99,0,0,0,0,0,0,0,55,18.33

16,03:45-04:00,52.67,0,18.21,52.67,12,18.34,0,0,0,0,0,17.5,170.93,273.62,70.54,0,5.84,0,0,4.85,26.91,57.77,0,53.22,4.19,9.14,163.3,31.3,0,26.91,0,24.19,96.77,21.77,2.42,3.99,0,0,0,0,0,0,0,55,18.33

17,04:00-04:15,37.67,0,17.81,37.67,12,18.34,0,0,0,0,0,17.5,170.93,273.62,70.54,0,5.84,0,0,4.62,26.91,57.77,0,53.22,4.19,9.14,163.3,31.3,0,26.91,0,24.19,96.77,21.77,2.42,3.99,0,0,0,0,0,0,0,55,18.33

18,04:15-04:30,37.67,0,17.41,37.67,12,18.34,0,0,0,0,0,17.5,170.93,273.62,70.54,0,5.84,0,0,4.62,26.91,57.77,0,53.22,4.19,9.14,163.3,31.3,0,26.91,0,24.19,96.77,21.77,2.42,3.99,0,0,0,0,0,0,0,55,18.33

19,04:30-04:45,37.67,0,17.01,37.67,12,13,0,0,0,0,0,17.5,170.93,273.62,70.54,0,5.84,0,0,4.62,26.91,57.77,0,53.22,4.19,9.14,163.3,31.3,0,26.91,0,24.19,96.77,21.77,2.42,4.62,0,0,0,0,0,0,0,39,13

20,04:45-05:00,37.67,0,16.61,37.67,12,13,0,0,0,0,0,17.5,170.93,273.62,70.54,0,5.84,0,0,4.62,26.91,57.77,0,53.22,4.19,9.14,163.3,31.3,0,26.91,0,24.19,96.77,21.77,2.42,4.94,0,0,0,0,0,0,0,39,13

21,05:00-05:15,37.67,0,15.81,37.67,11.66,13,0,0,0,0,0,17.5,170.93,232.25,70.54,0,5.84,0,0,4.62,26.91,57.77,0,53.22,4.19,9.06,163.3,31.3,0,26.91,0,24.19,96.77,21.77,2.42,5.26,0,0,0,0,0,0,0,39,13

22,05:15-05:30,39,0,15.21,39,11.66,13,0,0,0,0,0,17.5,170.93,232.25,70.54,0,5.84,0,0,4.62,26.91,57.77,0,53.22,4.19,9.06,163.3,31.3,0,26.91,0,24.19,96.77,21.77,2.42,5.58,0,0,0,0,0,0,0,39,13

23,05:30-05:45,50,0,11,50,20,20,0,0,0,0,0,17.5,170.93,232.25,70.54,0,5.84,0,0,4.62,26.91,57.77,0,53.22,3.07,9.06,163.3,31.3,0,26.91,0,24.19,96.77,21.77,2.42,5.9,0,0,0,0,0,0,0,60,20

24,05:45-06:00,49.33,0,11,49.33,19.66,19.84,0,0,0,0,0,17.5,227,273.62,70.54,0,5.84,0,0,4.62,26.91,76.73,0,53.22,3.07,9.06,163.3,31.3,0,26.91,0,24.19,96.77,21.77,2.42,6.22,0,0,0,0,0,0,0,59.5,19.83

25,06:00-06:15,49,0.07,8.6,49,19.34,19.66,0,1,0,0,0,17.5,227,273.62,70.54,0,5.84,0,0,4.46,26.91,76.73,0,53.22,3.07,9.06,0,30.28,0,26.91,0,24.19,96.77,21.77,2.42,6.55,12.2,1,1,10.76,0,1,0,59,19.67

26,06:15-06:30,48.67,1.71,8.4,48.67,19,19.5,0,2,0,1,0,17.5,227,273.62,70.54,0,5.84,0,0,4.46,26.91,76.73,0,53.22,3.07,9.06,0,30.28,0,26.91,0,24.19,96.77,21.77,2.42,6.87,21.46,4,5,18.94,0,1,0,58.5,19.5

27,06:30-06:45,48.33,4.61,8.2,48.33,18.66,19.16,0.88,5,3,3,0,17.5,227,273.62,70.54,0.41,5.84,0,0.41,4.46,26.91,76.73,0.42,53.22,3.07,9.06,0,31.29,0,26.91,0,24.19,96.77,21.77,2.42,7.19,29.47,7,10,26.09,2,3,0.18,57.5,19.17

28,06:45-07:00,47.33,7.6,7.8,47.33,18.34,18.84,4.47,8,6,4,0,17.5,170.93,273.62,70.54,0.73,5.84,0,0.73,4.46,26.91,76.73,0.74,53.22,3.07,9.06,0,30.28,0,26.91,0,24.19,96.77,21.77,2.42,7.51,33,14,18,33,3,6,0.89,56.5,18.83

29,07:00-07:15,40,11.15,7.4,40,9,18.5,10.95,10,9,5,0,17.5,170.93,232.25,70.54,1.23,5.84,0,1.23,4.23,26.91,57.77,1.26,53.22,0,9.06,0,30.28,0,26.91,0,24.19,96.77,21.77,2.42,7.96,31.25,21,30,31.25,5,9,2.19,55.5,18.5

30,07:15-07:30,39.33,15.33,7,39.33,9,18.16,20.02,15,13,7,0,17.5,170.93,193.54,70.54,1.92,5.84,0,1.92,4.23,26.91,57.77,1.97,53.22,0,9.06,0,30.28,0,26.91,0,24.19,96.77,21.77,2.42,7.96,32.33,32,32.33,32.34,8,13,4,54.5,18.17

31,07:30-07:45,38.67,20.39,7,38.67,9,17.84,34.33,18,17,9,0,17.5,170.93,193.54,70.54,2.77,5.84,0,2.77,4.23,26.91,57.77,2.84,53.22,0,9.06,0,30.28,0,26.91,0,24.19,96.77,21.77,2.42,7.96,32.67,42,32.67,32.66,11,18,6.87,53.5,17.83

32,07:45-08:00,38.67,24.97,7,38.67,9,17.5,50.85,25,20,12,0,17.5,170.93,193.54,70.54,3.42,5.84,0,3.42,4.23,26.91,57.77,3.5,53.22,0,9.06,0,31.29,0,26.91,0,24.19,96.77,21.77,2.42,7.96,33,53,33,33,13,22,10.17,52.5,17.5

33,08:00-08:15,38.33,30.27,7,38.33,16,19.16,68.44,30,23,14,0,17.5,170.93,193.54,70.54,4.36,5.84,0,4.36,4.23,26.91,57.77,4.48,72.58,0,8.96,0,31.29,0,26.91,0,24.19,96.77,21.77,2.42,7.96,33,67,33,33,17,28,13.69,57.5,19.17

34,08:15-08:30,38,36.47,7,38,15.66,18.84,88.41,37,30,18,0,17.5,170.93,193.54,70.54,5.4,5.84,0,5.4,4.23,26.91,57.77,5.53,53.22,0,8.96,0,31.3,0,26.91,0,24.19,96.77,21.77,2.42,7.96,33,81,33,33,20,34,17.68,56.5,18.83

35,08:30-08:45,29.67,42.79,7,29.67,13.34,11.66,107.3,44,36,21,0,17.5,170.93,150.49,70.54,6.38,5.84,0,6.38,4.23,26.91,57.77,6.53,72.58,0,8.96,0,31.3,0,26.91,0,24.19,96.77,21.77,2.42,7.96,33,95,33,33,23,40,21.46,35,11.67

36,08:45-09:00,29.33,48.97,7,29.33,13.34,11.5,126.49,51,42,24,0,17.5,170.93,150.49,70.54,7.38,5.84,0,7.38,4.23,26.91,57.77,7.56,87.09,0,8.96,0,31.3,0,26.91,0,24.19,96.77,21.77,2.42,7.96,33,109,33,33,26,46,25.3,34.5,11.5

37,09:00-09:15,28.33,54.49,7,28.33,12.66,11.34,142.61,53,52,25,0,24.78,170.93,150.49,70.54,8.25,5.84,0,8.25,4.38,26.91,57.77,8.46,87.09,0,8.96,0,31.3,0,26.91,0,24.19,96.77,21.77,2.42,7.96,33,123,33,33,29,52,28.52,34,11.33

38,09:15-09:30,27.67,59.02,7,27.67,12,11.16,157.85,59,57,28,0,24.78,170.93,150.49,70.54,9.13,5.84,0,9.13,4.38,26.91,57.77,9.36,87.09,0,8.96,0,31.3,0,26.91,0,24.19,96.77,21.77,2.42,7.96,33,137,33,33,32,58,31.57,33.5,11.17

39,09:30-09:45,27,62.47,7,27,11,11,172.88,63,66,30,0,24.78,170.93,150.49,70.54,10.01,5.84,0,10.01,4.38,26.91,57.77,10.26,53.22,0,8.96,0,31.29,0,26.91,0,24.19,96.77,21.77,2.42,7.96,33,147,33,33,36,63,34.57,33,11

40,09:45-10:00,26.67,65.19,7,26.67,10,10.84,186.86,69,73,33,0,24.78,170.93,193.54,70.54,11.12,5.84,0,11.12,4.38,26.91,57.77,11.39,77.42,0,8.96,0,31.29,0,26.91,0,24.19,96.77,21.77,2.42,7.96,33,158,33,33,38,67,37.37,32.5,10.83

41,10:00-10:15,46,70.31,7,46,15,19.66,199.08,74,78,36,0,24.78,170.93,232.25,70.54,11.73,6.07,0,11.73,4.31,26.91,57.77,12.02,77.42,0,8.86,0,31.29,0,26.91,0,24.19,96.77,21.77,2.42,7.96,33,165,33,33,40,70,39.82,59,19.67

42,10:15-10:30,46,78.19,7,46,15,19.66,210.33,80,82,38,0,24.78,170.93,232.25,70.54,12.82,6.07,0,12.82,4.31,26.91,57.77,13.14,77.42,0,8.86,0,31.29,0,26.91,0,24.19,96.77,21.77,2.42,7.96,33,172,33,33,41,73,42.07,59,19.67

43,10:30-10:45,55,83.79,7,55,15.34,19.5,219.36,85,83,41,0,24.78,227,273.62,70.54,13.3,6.07,0,13.3,4.31,26.91,76.73,13.64,77.42,0,8.86,0,29.26,0,26.91,0,24.19,96.77,21.77,2.42,7.96,33,179,33,33,42,76,43.87,58.5,19.5

44,10:45-11:00,55,85.74,7,55,15.34,19.16,230,88,85,42,0,24.78,227,273.62,70.54,14.21,6.07,0,14.21,4.31,26.91,76.73,14.57,77.42,0,8.86,0,29.26,12.46,26.91,0,24.19,96.77,21.77,2.42,7.96,33,186,33,33,43,79,46,57.5,19.17

45,11:00-11:15,55.67,86.74,7,55.67,15,19.34,230,90,88,43,0,24.78,227,273.62,70.54,14.47,6.07,0,14.47,4.23,26.91,76.73,14.83,53.22,0,8.78,0,30.27,12.46,26.91,0,24.19,96.77,21.77,2.42,7.96,33,189,33,33,44,81,46,58,19.33

46,11:15-11:30,57,87.12,7,57,14.66,19.84,230,90,89,43,0,24.78,227,273.62,70.54,14.52,6.07,0,14.52,4.23,26.91,76.73,14.88,53.22,0,8.78,0,30.27,12.46,26.91,0,24.19,96.77,21.77,2.42,7.96,33,193,33,33,45,82,46,59.5,19.83

47,11:30-11:45,58.33,86.38,7,58.33,14.66,20.34,230,90,89,43,0,24.78,171.9,273.62,70.54,14.52,6.07,0,14.52,4.62,26.91,76.73,14.88,53.22,0,8.78,0,30.27,12.46,26.91,0,24.19,96.77,21.77,2.42,7.96,33,193,33,33,45,82,46,61,20.33

48,11:45-12:00,60,85.3,7,60,15,20.84,230,90,90,43,0,24.78,171.9,273.62,70.54,14.52,6.07,0,14.52,4.62,26.91,76.73,14.88,53.22,0,8.78,0,30.27,12.46,26.91,0,24.19,96.77,21.77,2.42,7.96,33,193,33,33,45,82,46,62.5,20.83

49,12:00-12:15,58.67,75.13,7,58.67,15.66,20.5,230,90,90,43,0,24.78,171.9,273.62,70.54,14.52,6.23,0,14.52,4.85,26.91,76.73,14.88,53.22,0,8.78,0,23.21,12.46,26.91,0,24.19,96.77,21.77,2.42,7.96,33,193,33,33,45,82,46,61.5,20.5

50,12:15-12:30,58.33,72.48,7,58.33,16.34,20.66,230,90,90,43,0,24.78,171.9,273.62,70.54,14.52,6.23,0,14.52,4.85,26.91,76.73,14.88,53.22,0,8.78,0,23.21,12.46,26.91,0,24.19,96.77,21.77,2.42,7.96,33,193,33,33,45,82,46,62,20.67

51,12:30-12:45,59.33,69.36,7,59.33,17,21.16,230,90,91,43,0,24.78,171.9,273.62,70.54,14.52,6.23,0,14.52,4.85,26.91,76.73,14.88,53.22,0,8.78,0,23.21,12.46,26.91,0,24.19,96.77,21.77,2.42,7.96,33,193,33,33,45,82,46,63.5,21.17

52,12:45-13:00,60,66.62,7,60,18,21.66,230,90,91,43,0,24.78,171.9,273.62,70.54,14.52,6.23,0,14.52,4.85,26.91,76.73,14.88,53.22,0,8.78,0,23.21,12.46,26.91,0,24.19,96.77,21.77,2.42,7.96,33,193,33,33,45,82,46,65,21.67

53,13:00-13:15,60.67,64.57,7,60.67,18.66,22.16,230,90,91,43,0,24.78,171.9,273.62,70.54,14.52,6.23,0,14.52,5,26.91,57.77,14.88,53.22,0,8.78,0,28.26,12.46,26.91,0,24.19,96.77,21.77,2.42,7.96,33,193,33,33,45,82,46,66.5,22.17

54,13:15-13:30,61,63.64,7,61,19.34,22.66,230,90,91,43,0,24.78,171.9,273.62,70.54,14.52,6.23,0,14.52,5,26.91,57.77,14.88,53.22,0,8.78,0,29.26,12.46,26.91,0,24.19,96.77,21.77,2.42,7.96,33,193,33,33,45,82,46,68,22.67

55,13:30-13:45,73.33,58.57,7,73.33,20,23.34,230,90,91,43,0,24.78,171.9,273.62,70.54,14.52,6.23,0,14.52,5,26.91,57.77,14.88,53.22,0,8.78,0,29.26,12.46,26.91,0,24.19,96.77,21.77,2.42,7.96,33,193,33,33,44,82,46,70,23.33

56,13:45-14:00,73.33,56.67,7.4,73.33,20.66,23.84,230,90,91,43,0,24.78,171.9,273.62,70.54,14.52,6.23,0,14.52,5,26.91,57.77,14.88,53.22,0,8.78,0,29.26,12.46,26.91,0,24.19,96.77,21.77,2.42,7.96,33,189,33,33,43,81,46,71.5,23.83

57,14:00-14:15,73.33,51.7,8,73.33,23.66,24,230,87,89,41,0,24.78,171.9,273.62,70.54,14.38,6.23,0,14.38,5,26.91,57.77,14.75,53.22,0,8.86,0,28.26,12.46,26.91,0,24.19,96.77,21.77,2.42,7.96,33,182,33,33,42,78,46,72,24

58,14:15-14:30,73.33,44.93,9,73.33,24.34,24.66,223.02,85,88,40,0,24.78,171.9,273.62,70.54,13.89,6.23,0,13.89,5,26.91,57.77,14.24,53.22,0,8.86,0,28.26,12.46,26.91,0,24.19,96.77,21.77,2.42,7.96,33,175,33,33,41,75,44.6,74,24.67

59,14:30-14:45,73.33,38.94,9.4,73.33,24,28.34,216.84,74,86,36,0,24.78,170.84,273.62,70.54,13.52,6.23,0,13.52,5,26.91,57.77,13.86,53.22,0,8.86,0,28.26,12.46,26.91,0,24.19,96.77,21.77,2.42,7.96,33,168,33,33,40,72,43.37,85,28.33

60,14:45-15:00,73.33,34.14,10,73.33,23,28.5,206.5,71,83,34,0,24.78,171.9,273.62,70.54,12.87,6.23,0,12.87,5,26.91,57.77,13.2,69.67,0,8.86,0,28.26,12.46,26.91,0,24.19,96.77,21.77,2.42,7.96,33,161,33,33,38,69,41.3,85.5,28.5

61,15:00-15:15,73.33,29.15,10.4,73.33,21.66,28.66,193.06,63,71,30,0,24.78,171.9,232.25,70.54,11.99,4.67,0,11.99,5.24,26.91,57.77,12.29,69.67,0,9.06,0,29.26,12.46,26.91,0,24.19,96.77,21.77,2.42,7.96,33,151,33,33,35,64,38.61,86,28.67

62,15:15-15:30,73.33,27.34,11,73.33,21.66,28.84,180.53,56,66,27,0,24.78,171.9,193.54,70.54,11.11,4.67,0,11.11,5.24,26.91,57.77,11.38,69.67,0,9.06,0,28.26,12.46,26.91,0,24.19,96.77,21.77,2.42,7.96,33,140,33,33,33,60,36.11,86.5,28.83

63,15:30-15:45,73.33,25.54,12.01,73.33,22.34,28.84,166.08,52,60,25,0,24.78,171.24,150.49,70.54,10.23,4.67,0,10.23,5.24,26.91,57.77,10.48,67.74,0,9.06,0,28.76,12.46,26.91,0,24.19,96.77,21.77,2.42,7.96,33,126,33,33,30,54,33.22,86.5,28.83

64,15:45-16:00,73.33,23.6,12.41,73.33,23.34,29.84,150.52,46,56,22,0,24.78,171.24,150.49,70.54,9.34,4.67,0,9.34,5.24,26.91,57.77,9.58,67.74,0,9.06,0,28.76,12.46,26.91,0,24.19,96.77,21.77,2.42,7.96,33,112,33,33,28,48,30.1,89.5,29.83

65,16:00-16:15,73.33,20.67,16.21,73.33,23.66,29.16,137.33,38,50,18,0,24.78,171.24,150.49,70.54,8.3,6.23,0,8.3,5.62,26.91,57.77,8.5,53.22,0,9.33,0,28.76,12.46,26.91,0,24.19,96.77,21.77,2.42,7.96,33,98,33,33,24,42,27.46,87.5,29.17

66,16:15-16:30,73.33,17.19,15.61,73.33,23.66,29.16,122.46,31,43,15,0,24.78,171.24,150.49,70.54,7.46,6.23,0,7.46,5.62,26.91,57.77,7.64,53.22,0,9.33,0,29.26,12.46,26.91,0,24.19,96.77,21.77,2.42,7.96,33,84,33,33,20,36,24.49,87.5,29.17

67,16:30-16:45,73.33,13.99,15.01,73.33,24.66,29.16,96.43,25,36,12,0,24.78,171.24,193.54,115.66,6.57,6.23,0,6.57,5.62,25.4,57.77,6.74,67.74,0,9.33,0,29.26,12.46,25.4,0,24.19,96.77,21.77,2.42,7.96,33,74,33,33,17,31,19.28,87.5,29.17

68,16:45-17:00,73.33,10.44,14.61,73.33,25.66,29.16,80.18,19,32,9,0,24.78,171.24,232.25,115.66,5.6,6.23,0,5.6,5.62,25.4,57.77,5.74,67.74,0,9.33,0,29.78,12.46,25.4,0,24.19,96.77,21.77,2.42,7.96,33,60,33,33,14,25,16.03,87.5,29.17

69,17:00-17:15,73.33,7.1,14.21,73.33,26.34,29.16,57.21,14,26,6,0,24.78,224.57,273.62,115.66,4.66,6.23,0,4.66,6,25.4,76.73,4.78,100.81,0,9.61,0,30.28,12.46,25.4,0,24.19,96.77,21.77,2.42,7.96,33,42,30,33,11,18,11.44,87.5,29.17

70,17:15-17:30,73.33,4.37,13.41,73.33,27.66,29.16,43.87,12,20,6,0,24.78,224.57,273.62,115.66,3.8,6.23,0,3.8,6,25.4,76.73,3.9,100.81,0,9.61,0,30.28,12.46,25.4,0,24.19,96.77,21.77,2.42,7.96,33,28,17,33,8,12,8.77,87.5,29.17

71,17:30-17:45,73.33,2.73,12.01,73.33,28.66,29.16,30.53,10,17,5,0,24.78,232.25,273.62,115.66,2.89,6.39,0,2.89,6,25.4,87.29,2.97,100.81,0,9.61,0,30.28,12.46,25.4,0,24.19,96.77,21.77,2.42,7.96,31.76,18,7,33,7,7,6.1,87.5,29.17

72,17:45-18:00,73.33,1.71,10.4,73.33,28.34,29.16,17.18,9,13,4,0,24.78,232.25,273.62,115.66,2.09,6.39,0,2.09,6,25.4,87.29,2.14,100.81,0,9.61,0,30.28,12.46,25.4,0,24.19,96.77,21.77,2.42,7.96,21.46,7,1,23.39,5,3,3.43,87.5,29.17

73,18:00-18:15,73.33,0.51,13.01,73.33,28.34,30.84,9.67,7,10,3,193.54,24.78,232.25,273.62,115.66,1.59,6.39,0,1.59,6.31,25.4,87.29,1.63,88.18,0,9.79,0,30.28,12.46,25.4,0,24.19,96.77,21.77,2.42,7.96,0,4,0,0,3,1,1.93,92.5,30.83

74,18:15-18:30,73.33,0,12.21,73.33,28,30.84,4.29,3,7,2,193.54,24.78,232.25,273.62,115.66,1.14,6.39,0,1.14,6.31,25.4,87.29,1.17,88.18,0,9.79,0,30.28,12.46,25.4,0,24.19,96.77,21.77,2.42,7.96,0,1,0,0,2,0,0.86,92.5,30.83

75,18:30-18:45,76.67,0,15.01,76.67,27.34,30.84,1.08,1,3,1,193.54,24.78,232.25,273.62,115.66,0.57,6.39,0,0.57,6.31,32,87.29,0.59,88.18,0,9.79,0,30.78,12.46,1.96,0,24.19,96.77,21.77,2.42,7.96,0,0,0,0,0,0,0.21,92.5,30.83

76,18:45-19:00,76.67,0,14.81,76.67,27,30.84,0,0,0,0,193.54,24.78,232.25,273.62,115.66,0.21,6.39,0,0.21,6.31,32,87.29,0.22,88.18,0,9.79,0,30.78,12.46,1.96,0,24.19,96.77,21.77,2.42,7.96,0,0,0,0,0,0,0,92.5,30.83

77,19:00-19:15,76.67,0,14.61,76.67,26.66,30.84,0,0,0,0,193.54,24.78,232.25,273.62,115.66,0,6.39,0,0,6.93,32,87.29,0,88.18,4.37,9.79,0,30.78,12.46,1.96,0,24.19,96.77,21.77,2.42,7.96,0,0,0,0,0,0,0,92.5,30.83

78,19:15-19:30,76.67,0,14.21,76.67,28.34,30.84,0,0,0,0,193.54,24.78,232.25,273.62,115.66,0,6.39,0,0,6.93,32,87.29,0,88.18,4.37,9.79,0,30.78,12.46,1.96,0,24.19,96.77,21.77,2.42,7.96,0,0,0,0,0,0,0,92.5,30.83

79,19:30-19:45,76,0,13.81,76,28.34,30.84,0,0,0,0,193.54,24.78,232.25,273.62,115.66,0,6.39,0,0,6.93,32,69.48,0,88.18,4.37,9.79,0,29.78,12.46,1.96,0,24.19,96.77,21.77,2.42,7.96,0,0,0,0,0,0,0,92.5,30.83

