Column1,Block,NR/2025/25267/A/53851,NR/2025/25266/A/53848,NR/2025/25265/A/53850,GNA/WR/2025/01/01/9606,GNA/NR/2025/02/01/5886,GNA/NR/2025/02/16/1676,NR/30092023/31122025/SH-07,GNA/NR/2025/02/16/1380,GNA/SR/2025/02/01/6460,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/02/01/9969,GNA/SR/2025/02/01/7432,GNA/NR/2025/02/01/2143,GNA/WR/2024/11/01/4200,GNA/NR/2025/02/01/2594,GNA/NR/2025/02/01/4863,WR/2025/26047/A/53782,NR/2025/24882/A/53508,NR/2025/25294/C,GNA/WR/2025/01/01/8625,NR/2025/24992/A/53498,NR/2025/25070/A/53784,NR/2025/25295/C,NR/2024/24418/A/53510,NR/30092023/26122029/SH-06,Total
3,00:30-00:45,0,0,0,0,8.64,23.78,26.99,7.93,75,1.29,23.04,0,23.04,0,23.04,8.64,0,2.88,0,0,6.72,17.28,0,0.38,26.99,275.64

4,00:45-01:00,0,0,0,0,8.64,23.78,26.99,7.93,75,1.29,23.04,0,23.04,0,23.04,8.64,0,2.88,0,0,6.72,17.28,0,0.38,26.99,275.64

5,01:00-01:15,0,0,0,0,8.64,23.78,26.99,7.93,75,1.29,23.04,0,23.04,0,23.04,8.64,0,2.88,0,0,6.72,17.28,0,0.38,26.99,275.64

6,01:15-01:30,0,0,0,0,8.64,23.78,26.99,7.93,75,1.29,23.04,0,23.04,0,23.04,8.64,0,2.88,0,0,6.72,17.28,0,0.38,26.99,275.64

7,01:30-01:45,0,0,0,0,8.64,23.78,26.99,7.93,75,1.29,23.04,0,23.04,0,23.04,8.64,0,2.88,0,0,6.72,17.28,0,0.38,26.99,275.64

8,01:45-02:00,0,0,0,0,8.64,23.78,26.99,7.93,75,1.29,23.04,0,23.04,0,23.04,8.64,0,2.88,0,0,6.72,17.28,0,0.38,26.99,275.64

9,02:00-02:15,0,0,0,0,8.64,23.78,26.99,7.93,75,1.29,23.04,0,23.04,0,23.04,8.64,0,2.88,0,0,6.72,17.28,0,0.38,26.99,275.64

10,02:15-02:30,0,0,0,0,8.64,23.78,26.99,7.93,75,1.29,23.04,0,23.04,0,23.04,8.64,0,2.88,0,0,6.72,17.28,0,0.38,26.99,275.64

11,02:30-02:45,0,0,0,0,8.64,23.78,26.99,7.93,75,1.29,23.04,0,23.04,0,23.04,8.64,0,2.88,0,0,6.72,17.28,0,0.38,26.99,275.64

12,02:45-03:00,0,0,0,0,8.64,23.78,26.99,7.93,75,1.29,23.04,0,23.04,0,23.04,8.64,0,2.88,0,0,6.72,17.28,0,0.38,26.99,275.64

13,03:00-03:15,0,0,0,0,8.64,23.78,26.99,7.93,75,1.19,23.04,0,23.04,0,23.04,8.64,0,2.88,0,0,6.72,17.28,0,0.38,26.99,275.53999999999996

14,03:15-03:30,0,0,0,0,8.64,23.78,26.99,7.93,75,1.19,23.04,0,23.04,0,23.04,8.64,0,2.88,0,0,6.72,17.28,0,0.38,26.99,275.53999999999996

15,03:30-03:45,0,0,0,0,8.64,23.78,26.99,7.93,75,1.19,23.04,0,23.04,0,23.04,8.64,0,2.88,0,0,6.72,17.28,0,0.38,26.99,275.53999999999996

16,03:45-04:00,0,0,0,0,8.64,23.78,26.99,7.93,75,1.19,23.04,0,23.04,0,23.04,8.64,0,2.88,0,0,6.72,17.28,0,0.38,26.99,275.53999999999996

17,04:00-04:15,0,0,0,0,8.64,23.78,26.99,7.93,75,1.29,23.04,0,23.04,0,23.04,8.64,0,2.88,0,0,6.72,17.28,0,0.38,26.99,275.64

18,04:15-04:30,0,0,0,0,8.64,23.78,26.99,7.93,75,1.29,23.04,0,23.04,0,23.04,8.64,0,2.88,0,0,6.72,17.28,0,0.38,26.99,275.64

19,04:30-04:45,0,0,0,0,8.64,23.78,26.99,7.93,75,1.29,23.04,0,23.04,0,23.04,8.64,0,2.88,0,0,6.72,17.28,0,0.38,26.99,275.64

20,04:45-05:00,0,0,0,0,8.64,23.78,26.99,7.93,75,1.29,23.04,0,23.04,0,23.04,8.64,0,2.88,0,0,6.72,17.28,0,0.38,26.99,275.64

21,05:00-05:15,0,0,0,0,8.64,23.78,26.99,7.93,75,1.29,23.04,0,23.04,0,23.04,8.64,0,2.88,0,0,6.72,17.28,0,0.38,26.99,275.64

22,05:15-05:30,0,0,0,0,8.64,23.78,26.99,7.93,75,1.29,23.04,0,23.04,0,23.04,8.64,0,2.88,0,0,6.72,17.28,0,0.38,26.99,275.64

23,05:30-05:45,0,0,0,0,8.64,23.78,26.99,7.93,75,1.29,23.04,0,23.04,0,23.04,8.64,0,2.88,0,0,6.72,17.28,0,0.38,26.99,275.64

24,05:45-06:00,0,0,0,0,8.64,23.78,26.99,7.93,75,1.29,23.04,0,23.04,0,23.04,8.64,0,2.88,0,0,6.72,17.28,0,0.38,26.99,275.64

25,06:00-06:15,0,0,0,0,8.64,0,26.99,0,75,1.29,23.04,0,23.04,0,23.04,8.64,0,4.8,0,0,9.6,17.28,0,0.43,26.99,248.78000000000003

26,06:15-06:30,0,0,0,0,8.64,0,26.99,0,75,1.29,23.04,0,23.04,0,23.04,8.64,0,4.8,0,0,9.6,17.28,0,0.43,26.99,248.78000000000003

27,06:30-06:45,0,0,0,0,8.64,0,26.99,0,75,1.29,23.04,0,23.04,0,23.04,8.64,0,4.8,0,0,9.6,17.28,0,0.43,26.99,248.78000000000003

28,06:45-07:00,0,0,0,0,8.64,0,26.99,0,75,1.29,23.04,0,23.04,0,23.04,8.64,0,4.8,0,0,9.6,17.28,0,0.43,26.99,248.78000000000003

29,07:00-07:15,0,0.1,0,0,8.64,0,26.12,0,75,1.19,23.04,0,23.04,0,23.04,8.64,0,4.8,0,0,9.6,17.28,0,0.48,32,252.97

30,07:15-07:30,0,0.1,0,0,8.64,0,26.12,0,75,1.19,23.04,0,23.04,0,23.04,8.64,0,4.8,0,0,9.6,17.28,0,0.48,32,252.97

31,07:30-07:45,0,0.1,0.1,0,8.64,0,26.12,0,75,1.19,23.04,0,23.04,0,23.04,8.64,0,4.8,0,0,9.6,17.28,0,0.48,32,253.06999999999996

32,07:45-08:00,0.1,0.1,0.1,0,8.64,0,26.12,0,75,1.19,23.04,0,23.04,0,23.04,8.64,0,4.8,0,0,9.6,17.28,0,0.48,32,253.17

33,08:00-08:15,0.1,0.19,0.19,0,8.64,0,26.12,0,75,1.29,23.04,0,23.04,0,23.04,8.64,0,4.8,0,0,9.6,17.28,0,0.86,32,253.83000000000004

34,08:15-08:30,0.19,0.29,0.19,0,8.64,0,26.12,0,75,1.29,23.04,0,23.04,0,23.04,8.64,0,4.8,0,0,9.6,17.28,0,0.86,32,254.02000000000004

35,08:30-08:45,0.19,0.38,0.19,0,8.64,0,26.12,0,75,1.29,23.04,0,23.04,0,23.04,8.64,0,4.8,0,0,9.6,17.28,0,0.86,32,254.11

36,08:45-09:00,0.19,0.38,0.19,0,8.64,0,26.12,0,75,1.29,23.04,0,23.04,0,23.04,8.64,0,4.8,0,0,9.6,17.28,0,0.86,32,254.11

37,09:00-09:15,0.19,0.38,0.19,0,8.64,0,26.12,0,75,1.29,23.04,0,23.04,0,23.04,8.64,0,4.8,29.67,0,9.6,17.28,23.14,0.86,32,306.92

38,09:15-09:30,0.19,0.38,0.19,0,8.64,0,26.12,0,75,1.29,23.04,0,23.04,0,23.04,8.64,0,4.8,36.48,0,9.6,17.28,16.32,0.86,32,306.91

39,09:30-09:45,0.19,0.48,0.19,0,8.64,0,26.12,0,75,1.29,23.04,0,23.04,0,23.04,8.64,0,4.8,38.4,0,9.6,17.28,14.4,0.86,32,307.01

40,09:45-10:00,0.19,0.48,0.19,0,8.64,0,26.12,0,75,1.29,23.04,0,23.04,0,23.04,8.64,0,4.8,38.4,0,9.6,17.28,14.4,0.86,32,307.01

41,10:00-10:15,0.19,0.48,0.19,0,8.64,0,26.12,0,75,1.19,23.04,0,23.04,0,23.04,8.64,0,3.84,38.4,0,5.76,17.28,12.19,0.86,32,299.90000000000003

42,10:15-10:30,0.19,0.48,0.29,0,8.64,0,26.12,0,75,1.19,23.04,0,23.04,0,23.04,8.64,0,3.84,38.4,0,5.76,17.28,12,0.86,32,299.80999999999995

43,10:30-10:45,0.19,0.48,0.29,0,8.64,0,26.12,0,75,1.19,23.04,0,23.04,0,23.04,8.64,0,3.84,38.4,0,5.76,17.28,11.91,0.86,32,299.71999999999997

44,10:45-11:00,0.19,0.48,0.29,0,8.64,0,26.12,0,75,1.19,23.04,0,23.04,0,23.04,8.64,0,3.84,38.4,0,5.76,17.28,11.71,0.86,32,299.52

45,11:00-11:15,0.19,0.58,0.29,0,8.64,0,26.12,0,75,1.29,23.04,0,23.04,0,23.04,8.64,0,3.84,38.4,0,5.76,17.28,11.62,0.86,32,299.63

46,11:15-11:30,0.19,0.58,0.29,0,8.64,0,26.12,0,75,1.29,23.04,0,23.04,0,23.04,8.64,0,3.84,38.4,0,5.76,17.28,11.62,0.86,32,299.63

47,11:30-11:45,0.19,0.58,0.29,0,8.64,0,26.12,0,75,1.29,23.04,0,23.04,0,23.04,8.64,0,3.84,38.4,0,5.76,17.28,13.92,0.86,32,301.93

48,11:45-12:00,0.19,0.58,0.29,0,8.64,0,26.12,0,75,1.29,23.04,0,23.04,0,23.04,8.64,0,3.84,38.4,0,5.76,17.28,14.4,0.86,32,302.41

49,12:00-12:15,0.19,0.58,0.29,0,8.64,0,26.12,0,75,1.29,23.04,0,23.04,0,23.04,8.64,0,3.84,38.4,0,5.76,17.28,14.4,0.86,32,302.41

50,12:15-12:30,0.19,0.58,0.29,0,8.64,0,26.12,0,75,1.29,23.04,0,23.04,0,23.04,8.64,0,3.84,38.4,0,5.76,17.28,14.4,0.86,32,302.41

51,12:30-12:45,0.19,0.58,0.29,0,8.64,0,26.12,0,75,1.29,23.04,0,23.04,0,23.04,8.64,0,3.84,38.4,0,5.76,17.28,14.4,0.86,32,302.41

52,12:45-13:00,0.29,0.58,0.29,0,8.64,0,26.12,0,75,1.29,23.04,0,23.04,0,23.04,8.64,0,3.84,38.4,0,5.76,17.28,14.4,0.86,32,302.51

53,13:00-13:15,0.29,0.58,0.29,0,8.64,0,26.12,0,75,1.19,23.04,0,23.04,0,23.04,8.64,0,3.84,38.4,0,5.76,17.28,14.4,0.86,32,302.41

54,13:15-13:30,0.19,0.58,0.29,0,8.64,0,26.12,0,75,1.19,23.04,0,23.04,0,23.04,8.64,0,3.84,38.4,0,5.76,17.28,14.4,0.86,32,302.31

55,13:30-13:45,0.19,0.58,0.29,0,8.64,0,26.12,0,75,1.19,23.04,0,23.04,0,23.04,8.64,0,3.84,38.4,0,5.76,17.28,14.4,0.86,32,302.31

56,13:45-14:00,0.19,0.58,0.29,0,8.64,0,26.12,0,75,1.19,23.04,0,23.04,0,23.04,8.64,0,3.84,38.4,0,5.76,17.28,14.4,0.86,32,302.31

57,14:00-14:15,0.19,0.58,0.29,0,8.64,0,26.12,0,75,1.29,23.04,0,23.04,0,23.04,8.64,0,3.84,38.4,0,5.76,17.28,14.4,0.86,32,302.41

58,14:15-14:30,0.19,0.58,0.29,0,8.64,0,26.12,0,75,1.29,23.04,0,23.04,0,23.04,8.64,0,3.84,38.4,0,5.76,17.28,14.4,0.86,32,302.41

59,14:30-14:45,0.19,0.58,0.29,0,8.64,0,26.12,0,75,1.29,23.04,0,23.04,0,23.04,8.64,0,3.84,38.4,0,5.76,17.28,14.4,0.86,32,302.41

60,14:45-15:00,0.29,0.58,0.29,0,8.64,0,26.12,0,75,1.29,23.04,0,23.04,0,23.04,8.64,0,3.84,38.4,0,5.76,17.28,14.4,0.86,32,302.51

61,15:00-15:15,0.19,0.67,0.38,0,8.64,0,26.12,0,75,1.29,23.04,0,23.04,0,23.04,8.64,0,3.84,38.4,0,5.76,17.28,14.4,0.67,32,302.40000000000003

62,15:15-15:30,0.19,0.77,0.29,0,8.64,0,26.12,0,75,1.29,23.04,0,23.04,0,23.04,8.64,0,3.84,38.4,0,5.76,17.28,14.31,0.67,32,302.32

63,15:30-15:45,0.19,0.77,0.29,0,8.64,0,26.12,0,75,1.29,23.04,0,23.04,0,23.04,8.64,0,3.84,38.4,0,5.76,17.28,14.21,0.67,32,302.22

64,15:45-16:00,0.19,0.67,0.29,0,8.64,0,26.12,0,75,1.29,23.04,0,23.04,0,23.04,8.64,0,3.84,38.4,0,5.76,17.28,14.21,0.67,32,302.12

65,16:00-16:15,0.19,0.58,0.29,0,8.64,0,26.12,0,75,1.19,23.04,0,23.04,0,23.04,8.64,0,3.84,38.4,0,5.76,17.28,14.31,0.53,32,301.88999999999993

66,16:15-16:30,0.19,0.58,0.29,0,8.64,0,26.12,0,75,1.19,23.04,0,23.04,0,23.04,8.64,0,3.84,38.4,0,5.76,17.28,13.06,0.53,32,300.63999999999993

67,16:30-16:45,0.19,0.48,0.29,0,8.64,0,26.12,0,75,1.19,23.04,0,23.04,0,23.04,8.64,0,3.84,30.63,0,5.76,17.28,22.18,0.53,32,301.88999999999993

68,16:45-17:00,0.19,0.38,0.29,0,8.64,0,26.12,0,75,1.19,23.04,0,23.04,0,23.04,8.64,0,3.84,21.12,0,5.76,17.28,18.82,0.53,32,288.91999999999996

69,17:00-17:15,0.19,0.29,0.19,0,8.64,0,26.12,0,75,1.29,23.04,0,23.04,0,23.04,8.64,0,4.8,0,0,9.6,17.28,0,0.53,32,253.69000000000003

70,17:15-17:30,0.1,0.19,0.19,0,8.64,0,26.12,0,75,1.29,23.04,0,23.04,0,23.04,8.64,0,4.8,0,0,9.6,17.28,0,0.53,32,253.50000000000003

71,17:30-17:45,0.1,0.19,0.1,0,8.64,0,26.12,0,75,1.29,23.04,0,23.04,0,23.04,8.64,0,4.8,0,0,9.6,17.28,0,0.53,32,253.41

72,17:45-18:00,0,0.1,0,0,8.64,0,26.12,0,75,1.29,23.04,0,23.04,0,23.04,8.64,0,4.8,0,0,9.6,17.28,0,0.53,32,253.11999999999998

73,18:00-18:15,0,0.1,0,200,8.64,0,26.12,0,75,1.29,23.04,0,23.04,50,23.04,8.64,38.4,4.8,0,0,9.6,17.28,0,0.53,32,541.5200000000001

74,18:15-18:30,0,0.1,0,200,8.64,0,26.12,0,75,1.29,23.04,0,23.04,50,23.04,8.64,38.4,4.8,0,0,9.6,17.28,0,0.53,32,541.5200000000001

75,18:30-18:45,0,0.1,0,200,8.64,0,26.12,0,75,1.29,23.04,50,23.04,50,23.04,8.64,38.4,4.8,0,0,9.6,17.28,0,0.53,32,591.52

76,18:45-19:00,0,0,0,200,8.64,0,26.12,0,75,1.29,23.04,50,23.04,50,23.04,8.64,38.4,4.8,0,0,9.6,17.28,0,0.53,32,591.42

77,19:00-19:15,0,0,0,200,8.64,0,26.12,0,75,1.29,23.04,50,23.04,50,23.04,8.64,38.4,4.8,0,0,9.6,17.28,0,0.62,32,591.51

78,19:15-19:30,0,0,0,200,8.64,0,26.12,0,75,1.29,23.04,50,23.04,50,23.04,8.64,38.4,4.8,0,0,9.6,17.28,0,0.62,32,591.51

79,19:30-19:45,0,0,0,200,8.64,0,26.12,0,75,1.29,23.04,50,23.04,50,23.04,8.64,38.4,4.8,0,0,9.6,17.28,0,0.62,32,591.51

80,19:45-20:00,0,0,0,200,8.64,0,26.12,0,75,1.29,23.04,50,23.04,50,23.04,8.64,38.4,4.8,0,0,9.6,17.28,0,0.62,32,591.51

81,20:00-20:15,0,0,0,150,8.64,0,26.12,0,75,1.29,23.04,50,23.04,50,23.04,8.64,38.4,3.84,0,0,5.76,17.28,0,0.62,32,536.71

82,20:15-20:30,0,0,0,150,8.64,0,26.12,0,75,1.29,23.04,50,23.04,50,23.04,8.64,38.4,3.84,0,0,5.76,17.28,0,0.62,32,536.71

83,20:30-20:45,0,0,0,150,8.64,0,26.12,0,75,1.29,23.04,50,23.04,50,23.04,8.64,38.4,3.84,0,0,5.76,17.28,0,0.62,32,536.71

84,20:45-21:00,0,0,0,150,8.64,0,26.12,0,75,1.29,23.04,50,23.04,50,23.04,8.64,38.4,3.84,0,0,5.76,17.28,0,0.62,32,536.71

85,21:00-21:15,0,0,0,150,8.64,0,26.12,0,75,1.29,23.04,50,23.04,50,23.04,8.64,38.4,3.84,0,0,5.76,17.28,0,0.58,32,536.6700000000001

86,21:15-21:30,0,0,0,150,8.64,0,26.12,0,75,1.29,23.04,50,23.04,50,23.04,8.64,38.4,3.84,0,0,5.76,17.28,0,0.58,32,536.6700000000001

87,21:30-21:45,0,0,0,150,8.64,0,26.12,0,75,1.29,23.04,50,23.04,50,23.04,8.64,38.4,3.84,0,0,5.76,17.28,0,0.58,32,536.6700000000001

88,21:45-22:00,0,0,0,150,8.64,0,26.12,0,75,1.29,23.04,50,23.04,50,23.04,8.64,38.4,3.84,0,0,5.76,17.28,0,0.58,32,536.6700000000001

89,22:00-22:15,0,0,0,150,8.64,23.78,26.99,7.93,75,1.29,23.04,50,23.04,50,23.04,8.64,38.4,3.84,0,0,5.76,17.28,0,0.53,26.99,564.19

90,22:15-22:30,0,0,0,150,8.64,23.78,26.99,7.93,75,1.29,23.04,50,23.04,50,23.04,8.64,38.4,3.84,0,0,5.76,17.28,0,0.53,26.99,564.19

91,22:30-22:45,0,0,0,150,8.64,23.78,26.99,7.93,75,1.29,23.04,50,23.04,50,23.04,8.64,38.4,3.84,0,0,5.76,17.28,0,0.53,26.99,564.19

92,22:45-23:00,0,0,0,150,8.64,23.78,26.99,7.93,75,1.29,23.04,50,23.04,50,23.04,8.64,38.4,3.84,0,0,5.76,17.28,0,0.53,26.99,564.19

93,23:00-23:15,0,0,0,150,8.64,23.78,26.99,7.93,75,1.29,23.04,50,23.04,50,23.04,8.64,38.4,3.84,0,0,5.76,17.28,0,0.48,26.99,564.1400000000001

94,23:15-23:30,0,0,0,150,8.64,23.78,26.99,7.93,75,1.29,23.04,50,23.04,50,23.04,8.64,38.4,3.84,0,0,5.76,17.28,0,0.48,26.99,564.1400000000001

95,23:30-23:45,0,0,0,150,8.64,23.78,26.99,7.93,75,1.29,23.04,50,23.04,50,23.04,8.64,38.4,3.84,0,0,5.76,17.28,0,0.48,26.99,564.1400000000001

96,23:45-24:00,0,0,0,150,8.64,23.78,26.99,7.93,75,1.29,23.04,50,23.04,50,23.04,8.64,38.4,3.84,0,0,5.76,17.28,0,0.48,26.99,564.1400000000001

