Column1,Block,GNARE/NR/2024/12/20/3668,NR/2025/28129/C,NR/2025/26889/A/78260,NR/2025/27361/A/77953,NR/2025/28130/C,NR/2025/28042/C,NR/2025/26561/A/78238,NR/2025/27725/A/78216,NR/2025/28144/C,NR/2025/28049/C,NR/2025/27088/A/78267,NR/2025/28117/C,NR/2025/27393/A/77952,NR/2025/28146/C,NR/2025/28123/C,NR/2025/28147/C,NR/2025/27242/A/78193,NR/2025/28124/C,NR/2025/28148/C,NR/2025/27724/A/77923,NR/2025/28149/C,NR/2025/26085/A/77789,SR/2025/17372/C,NR/2025/26860/A/78161,NR/2025/28097/C,NR/2025/27360/A/77954,NR/2025/27727/A/78209,NR/2025/28095/C,NR/2025/27499/A/78259,NR/2025/28091/C,NR/2025/28092/C,NR/2025/26777/A/77915,NR/2025/26445/A/78271,NR/2025/28063/C,NR/2025/27167/A/78195,GNA/NR/2025/06/01/2868,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/06/01/9257,GNA/NR/2025/06/01/4973,GNA/NR/2025/06/01/7663,GNA/NR/2025/06/01/7782,NR/2025/26861/A/78237,GNA/NR/2025/06/01/9719,NR/2025/27728/A/78210,NR/2025/27462/A/77822,NR/2025/27359/A/77955,NR/2025/27726/A/78213,NR/2025/27281/A/78309,NR/2025/27782/A/78208,NR/2025/27157/A/77841,GNA/NR/2025/06/01/7786,NR/2025/27162/A/78218,NR/2025/26785/A/77843,NR/2025/26975/A/78220,NR/2025/26564/A/78240,NR/2025/26570/A/78242,GNA/NR/2025/06/01/2569,NR/2025/26563/A/78239,NR/2025/26569/A/78241,GNA/NR/2025/06/01/7762,NR/30092023/31122025/SH-07,NR/2025/26952/A/77848,GNA/NR/2025/06/01/4444,NR/2025/28131/C,NR/2025/27168/A/78198,GNA/NR/2025/06/01/5280,NR/30092023/26122029/SH-06,NR/2025/27356/A/77956,NR/2025/27622/A/77821,Total
3,00:30-00:45,0,146.06,5.79,38.61,31.85,0,144.78,8.77,0,0,164.08,0,111,0,0,0,0,0,0,10.62,0,0.68,164.08,90.25,0,28.96,26.32,0,8.69,0,0,164.08,96.52,0,20.75,28.96,11.08,20.75,41.02,41.02,11.89,164.08,20.75,26.32,9.65,33.78,26.32,24.85,8.77,217.07,41.02,55.92,0,27.03,0,0,53.57,144.78,144.78,20.75,30,0,0,0,20.75,11.9,30,0,0,2528.7000000000007

4,00:45-01:00,0,146.06,5.79,38.61,31.85,0,144.78,8.77,0,0,164.08,0,111,0,0,0,0,0,0,10.62,0,0.68,178.56,90.25,0,28.96,26.32,0,8.69,0,0,164.08,96.52,0,20.75,28.96,11.08,20.75,41.02,41.02,11.89,164.08,20.75,26.32,9.65,33.78,26.32,24.85,8.77,217.07,41.02,55.92,0,27.03,0,0,53.57,144.78,144.78,20.75,30,0,0,0,20.75,11.9,30,0,0,2543.1800000000007

5,01:00-01:15,0,146.06,5.79,38.61,31.85,0,144.78,8.77,0,0,164.08,0,55.5,0,0,0,0,0,0,10.62,0,0.68,144.78,90.25,0,28.96,26.32,0,8.69,0,0,164.08,96.52,0,20.75,28.96,10.99,20.75,41.02,41.02,11.89,164.08,20.75,26.32,9.65,33.78,26.32,24.85,8.77,217.07,41.02,55.92,0,27.03,0,0,53.57,144.78,144.78,20.75,8.25,0,0,0,20.75,11.9,30,0,0,2432.0600000000004

6,01:15-01:30,0,146.06,5.79,38.61,31.85,0,144.78,8.77,0,0,164.08,0,55.5,0,0,0,0,0,0,10.62,0,0.68,144.78,90.25,0,28.96,26.32,0,8.69,0,0,164.08,96.52,0,20.75,28.96,10.99,20.75,41.02,41.02,11.89,164.08,20.75,26.32,9.65,33.78,26.32,24.85,8.77,217.07,41.02,55.92,0,27.03,0,0,53.57,144.78,144.78,20.75,14.25,0,0,0,20.75,11.9,30,0,0,2438.0600000000004

7,01:30-01:45,0,146.06,5.79,38.61,31.85,0,144.78,8.77,0,0,164.08,0,55.5,0,0,0,0,0,0,10.62,0,0.68,144.78,90.25,0,28.96,26.32,0,8.69,0,0,164.08,96.52,0,20.75,28.96,10.99,20.75,41.02,41.02,11.89,164.08,20.75,26.32,9.65,33.78,26.32,24.85,8.77,217.07,41.02,55.92,0,27.03,0,0,53.57,144.78,144.78,20.75,30,0,0,0,20.75,11.9,30,0,0,2453.8100000000004

8,01:45-02:00,0,146.06,5.79,38.61,31.85,0,144.78,8.77,0,0,164.08,0,55.5,0,0,0,0,0,0,10.62,0,0.68,144.78,90.25,0,28.96,26.32,0,8.69,0,0,164.08,96.52,0,20.75,28.96,10.99,20.75,41.02,41.02,11.89,164.08,20.75,26.32,9.65,33.78,26.32,24.85,8.77,217.07,41.02,55.92,0,27.03,0,0,53.57,144.78,144.78,20.75,30,0,0,0,20.75,11.9,30,0,0,2453.8100000000004

9,02:00-02:15,0,146.06,0,38.61,31.85,0,144.78,8.77,0,0,164.08,0,55.5,0,0,0,0,0,0,10.62,0,0.63,0,90.25,0,28.96,26.32,0,0,0,0,164.08,96.52,0,20.75,28.96,10.9,20.75,41.02,41.02,11.89,0,20.75,26.32,9.65,33.78,26.32,24.85,8.77,217.07,41.02,55.92,0,27.03,0,0,53.57,144.78,144.78,20.75,17.64,0,164.08,0,20.75,11.9,30,0,0,2282.05

10,02:15-02:30,0,146.06,0,38.61,31.85,0,144.78,8.77,0,0,164.08,0,55.5,0,0,0,0,0,0,10.62,0,0.63,0,90.25,0,28.96,26.32,0,0,0,0,164.08,96.52,0,20.75,28.96,10.9,20.75,41.02,41.02,11.89,0,20.75,26.32,9.65,33.78,26.32,24.85,8.77,217.07,41.02,55.92,0,27.03,0,0,53.57,144.78,144.78,20.75,17.64,0,164.08,0,20.75,11.9,30,0,0,2282.05

11,02:30-02:45,0,146.06,0,38.61,31.85,0,144.78,8.77,0,0,164.08,0,55.5,0,0,0,0,0,0,10.62,0,0.63,0,90.25,0,28.96,26.32,0,0,0,0,164.08,96.52,0,20.75,28.96,10.9,20.75,41.02,41.02,11.89,0,20.75,26.32,9.65,33.78,26.32,24.85,8.77,217.07,41.02,55.92,0,27.03,0,0,53.57,144.78,144.78,20.75,8.25,0,164.08,0,20.75,11.9,30,0,0,2272.6600000000003

12,02:45-03:00,0,146.06,0,38.61,31.85,0,144.78,8.77,0,0,164.08,0,55.5,0,0,0,0,0,0,10.62,0,0.63,0,90.25,0,28.96,26.32,0,0,0,0,164.08,96.52,0,20.75,28.96,10.9,20.75,41.02,41.02,11.89,0,20.75,26.32,9.65,33.78,26.32,24.85,8.77,217.07,41.02,55.92,0,27.03,0,0,53.57,144.78,144.78,20.75,8.25,0,164.08,0,20.75,11.9,30,0,0,2272.6600000000003

13,03:00-03:15,0,146.06,0,38.61,31.85,0,144.78,8.77,0,0,164.08,0,55.5,0,0,0,0,0,0,10.62,0,0.53,0,90.25,0,28.96,26.32,0,0,0,0,164.08,96.52,0,20.75,28.96,10.81,20.75,41.02,41.02,11.89,0,20.75,26.32,9.65,33.78,26.32,24.85,8.77,217.07,41.02,55.92,0,5.79,0,0,53.57,144.78,144.78,20.75,8.25,0,164.08,0,20.75,11.9,30,0,0,2251.23

14,03:15-03:30,0,146.06,0,38.61,31.85,0,144.78,8.77,0,0,164.08,0,55.5,0,0,0,0,0,0,10.62,0,0.53,0,90.25,0,28.96,26.32,0,0,0,0,164.08,96.52,0,20.75,28.96,10.81,20.75,41.02,41.02,11.89,0,20.75,26.32,9.65,33.78,26.32,24.85,8.77,217.07,41.02,55.92,0,5.79,0,0,53.57,144.78,144.78,20.75,8.25,0,164.08,0,20.75,11.9,30,0,0,2251.23

15,03:30-03:45,0,146.06,0,38.61,31.85,0,144.78,8.77,0,0,164.08,0,55.5,0,0,0,0,0,0,10.62,0,0.53,0,90.25,0,28.96,26.32,0,0,0,0,164.08,96.52,0,20.75,28.96,10.81,20.75,41.02,41.02,11.89,0,20.75,26.32,9.65,33.78,26.32,24.85,8.77,217.07,41.02,55.92,0,5.79,0,0,53.57,144.78,144.78,20.75,23.64,0,164.08,0,20.75,11.9,30,0,0,2266.62

16,03:45-04:00,0,146.06,0,38.61,31.85,0,144.78,8.77,0,0,164.08,0,55.5,0,0,0,0,0,0,10.62,0,0.53,0,90.25,0,28.96,26.32,0,0,0,0,164.08,96.52,0,20.75,28.96,10.81,20.75,41.02,41.02,11.89,0,20.75,26.32,9.65,33.78,26.32,24.85,8.77,217.07,41.02,55.92,0,5.79,0,0,53.57,144.78,144.78,20.75,23.64,0,164.08,0,20.75,11.9,30,0,0,2266.62

17,04:00-04:15,0,146.06,0,38.61,31.85,0,144.78,8.77,0,0,164.08,0,55.5,0,0,0,0,0,0,10.62,0,0.53,0,90.25,0,28.96,26.32,0,0,0,0,164.08,96.52,0,20.75,28.96,10.71,20.75,41.02,41.02,11.89,0,20.75,26.32,9.65,33.78,26.32,24.85,8.77,0,41.02,55.92,0,5.79,0,0,53.57,0,0,20.75,26.93,0,164.08,0,20.75,11.9,26.93,0,0,1760.1100000000001

18,04:15-04:30,0,146.06,0,38.61,31.85,0,144.78,8.77,0,0,164.08,0,55.5,0,0,0,0,0,0,10.62,0,0.53,0,90.25,0,28.96,26.32,0,0,0,0,164.08,96.52,0,20.75,28.96,10.71,20.75,41.02,41.02,11.89,0,20.75,26.32,9.65,33.78,26.32,24.85,8.77,0,41.02,55.92,0,5.79,0,0,53.57,0,0,20.75,26.93,0,164.08,0,20.75,11.9,26.93,0,0,1760.1100000000001

19,04:30-04:45,0,146.06,0,38.61,31.85,0,144.78,8.77,0,0,164.08,0,55.5,0,0,0,0,0,0,10.62,0,0.53,0,90.25,0,28.96,26.32,0,0,0,0,164.08,96.52,0,20.75,28.96,10.71,20.75,41.02,41.02,11.89,0,20.75,26.32,9.65,33.78,26.32,24.85,8.77,0,41.02,55.92,0,5.79,0,0,53.57,0,0,20.75,26.93,0,164.08,0,20.75,11.9,26.93,0,0,1760.1100000000001

20,04:45-05:00,0,146.06,0,38.61,31.85,0,144.78,8.77,0,0,164.08,0,55.5,0,0,0,0,0,0,10.62,0,0.53,0,90.25,0,28.96,26.32,0,0,0,0,164.08,96.52,0,20.75,28.96,10.71,20.75,41.02,41.02,11.89,0,20.75,26.32,9.65,33.78,26.32,24.85,8.77,0,41.02,55.92,0,5.79,0,0,53.57,0,0,20.75,26.93,0,164.08,0,20.75,11.9,26.93,0,0,1760.1100000000001

21,05:00-05:15,0,108.45,0,38.61,31.85,0,144.78,8.77,0,0,164.08,0,55.5,0,0,0,0,0,0,10.62,0,0.63,96.52,90.25,0,28.96,26.32,0,0,0,0,164.08,96.52,0,20.75,28.96,10.63,20.75,41.02,41.02,11.89,0,20.75,26.32,9.65,33.78,26.32,24.85,8.77,0,41.02,55.92,0,5.79,0,0,53.57,0,0,20.75,26.93,0,164.08,0,20.75,11.9,26.93,0,0,1819.0400000000002

22,05:15-05:30,0,108.45,0,38.61,31.85,0,144.78,8.77,0,0,164.08,0,55.5,0,0,0,0,0,0,10.62,0,0.63,96.52,90.25,0,28.96,26.32,0,0,0,0,164.08,96.52,0,20.75,28.96,10.63,20.75,41.02,41.02,11.89,0,20.75,26.32,9.65,33.78,26.32,24.85,8.77,0,41.02,55.92,0,5.79,0,0,53.57,0,0,20.75,26.93,0,164.08,0,20.75,11.9,26.93,0,0,1819.0400000000002

23,05:30-05:45,0,108.45,0,38.61,31.85,0,144.78,8.77,0,0,164.08,0,55.5,0,0,0,0,0,0,10.62,0,0.63,96.52,90.25,0,28.96,26.32,0,0,0,0,164.08,96.52,0,20.75,28.96,10.63,20.75,41.02,41.02,11.89,0,20.75,26.32,9.65,33.78,26.32,24.85,8.77,0,41.02,55.92,0,5.79,0,0,53.57,0,0,20.75,26.93,0,164.08,0,20.75,11.9,26.93,0,0,1819.0400000000002

24,05:45-06:00,0,108.45,0,38.61,31.85,0,144.78,8.77,0,0,164.08,0,55.5,0,0,0,0,0,0,9.65,0,0.63,96.52,90.25,0,28.96,26.32,0,0,0,0,164.08,96.52,0,20.75,28.96,10.63,20.75,41.02,41.02,11.89,0,20.75,26.32,9.65,33.78,26.32,24.85,8.77,0,41.02,55.92,0,5.79,0,0,53.57,0,0,20.75,26.93,0,164.08,0,20.75,11.9,26.93,0,0,1818.0700000000002

25,06:00-06:15,0.61,108.45,0,0,31.85,0,144.78,8.77,0,0,164.08,0,0,0,0,0,0,0,0,9.65,0,0.68,96.52,90.25,0,0,26.32,0,0,0,0,164.08,96.52,0,20.75,28.96,10.53,20.75,41.02,41.02,11.89,0,20.75,26.32,9.65,0,26.32,24.85,8.77,0,41.02,55.92,0,5.79,0,0,53.57,0,0,20.75,26.93,0,164.08,0,20.75,11.9,26.93,1,0,1662.7800000000002

26,06:15-06:30,1.29,108.45,0,0,31.85,0,144.78,8.77,0,0,164.08,0,0,0,0,0,0,0,0,9.65,0,0.68,96.52,90.25,0,0,26.32,0,0,0,0,164.08,96.52,0,20.75,28.96,10.53,20.75,41.02,41.02,11.89,0,20.75,26.32,9.65,0,26.32,24.85,8.77,0,41.02,55.92,0,5.79,0,0,53.57,0,0,20.75,26.93,0,164.08,0,20.75,11.9,26.93,4,0,1666.46

27,06:30-06:45,4.31,108.45,0,0,31.85,0,144.78,8.77,0,0,164.08,0,0,0,0,0,0,0,0,9.65,0,0.68,96.52,90.25,0,0,26.32,0,0,0,0,164.08,96.52,0,20.75,28.96,10.53,20.75,41.02,41.02,11.89,0,20.75,26.32,9.65,0,26.32,24.85,8.77,0,41.02,55.92,0,5.79,0,0,53.57,0,0,20.75,26.93,0,164.08,0,20.75,11.9,26.93,7,0,1672.48

28,06:45-07:00,7.19,108.45,0,0,31.85,0,144.78,8.77,0,0,164.08,0,0,0,0,0,0,0,0,9.65,0,0.68,96.52,90.25,0,0,26.32,0,0,0,0,164.08,96.52,0,20.75,28.96,10.53,20.75,41.02,41.02,11.89,0,20.75,26.32,9.65,0,26.32,24.85,8.77,0,41.02,55.92,0,5.79,0,0,53.57,0,0,20.75,26.93,0,164.08,0,20.75,11.9,26.93,14,0,1682.3600000000001

29,07:00-07:15,10.81,108.45,0,0,31.85,0,144.78,8.77,0,0,164.08,0,0,0,0,0,0,0,0,9.65,0,0.87,96.52,90.25,0,0,26.32,0,0,0,0,164.08,96.52,0,20.75,17.37,10.53,20.75,41.02,41.02,11.89,0,20.75,26.32,9.65,0,26.32,24.85,8.77,0,41.02,55.92,0,5.79,0,0,53.57,0,0,20.75,26.5,0,164.08,0,20.75,11.9,26.5,25,0,1684.72

30,07:15-07:30,15.5,108.45,0,0,31.85,0,144.78,8.77,0,0,164.08,0,0,0,0,0,0,0,0,9.65,0,0.87,48.26,90.25,0,0,26.32,0,0,0,0,164.08,96.52,0,20.75,17.37,10.53,20.75,41.02,41.02,11.89,0,20.75,26.32,9.65,0,26.32,24.85,8.77,0,41.02,55.92,0,5.79,0,0,53.57,0,0,20.75,26.93,0,164.08,0,20.75,11.9,26.93,35,0,1652.0100000000002

31,07:30-07:45,21.08,108.45,0,0,31.85,0,144.78,8.77,0,0,164.08,0,0,0,0,0,0,0,0,9.65,0,0.87,0,90.25,0,0,26.32,0,0,0,0,164.08,96.52,0,20.75,17.37,10.53,20.75,41.02,41.02,11.89,0,20.75,26.32,9.65,0,26.32,24.85,8.77,0,41.02,55.92,0,5.79,0,0,53.57,0,0,20.75,26.93,0,164.08,0,20.75,11.9,26.93,49,0,1623.33

32,07:45-08:00,27.27,108.45,0,0,31.85,0,144.78,8.77,0,0,164.08,0,0,0,0,0,0,0,0,9.65,0,0.87,0,90.25,0,0,26.32,0,0,0,0,164.08,96.52,0,20.75,17.37,10.53,20.75,41.02,41.02,11.89,0,20.75,26.32,9.65,0,26.32,24.85,8.77,0,41.02,55.92,0,5.79,0,0,53.57,0,0,20.75,26.93,0,164.08,0,20.75,11.9,26.93,63,0,1643.5200000000002

33,08:00-08:15,33.94,108.45,0,0,31.85,0,144.78,14.62,0,0,164.08,0,0,0,0,0,41.02,0,0,9.65,0,0.97,0,90.25,0,0,43.87,0,0,0,0,164.08,96.52,0,20.75,17.37,10.43,20.75,41.02,41.02,11.89,0,20.75,37.3,9.65,0,43.87,24.85,14.62,0,41.02,55.92,0,5.79,0,0,53.57,0,0,20.75,26.93,0,164.08,0,20.75,11.9,26.93,77,5.79,1768.78

34,08:15-08:30,40.65,108.45,0,0,31.85,0,144.78,14.62,0,0,164.08,0,0,0,0,0,41.02,0,0,10.62,0,0.97,0,90.25,0,0,43.87,0,0,0,0,164.08,96.52,0,20.75,17.37,10.43,20.75,41.02,41.02,11.89,0,20.75,37.3,9.65,0,43.87,24.85,14.62,0,41.02,55.92,0,5.79,0,0,53.57,0,0,20.75,26.93,0,164.08,0,20.75,11.9,26.93,91,5.79,1790.46

35,08:30-08:45,47.35,108.45,0,0,31.85,0,144.78,14.62,0,0,164.08,0,0,0,0,0,41.02,0,0,10.62,0,0.97,0,90.25,0,0,43.87,0,0,0,0,164.08,96.52,0,20.75,17.37,10.43,20.75,41.02,41.02,11.89,0,20.75,37.3,9.65,0,43.87,24.85,14.62,0,41.02,55.92,0,5.79,0,0,53.57,0,0,20.75,26.93,0,164.08,0,20.75,11.9,26.93,102,5.79,1808.1599999999999

36,08:45-09:00,54.18,108.45,0,0,31.85,0,144.78,14.62,0,0,164.08,0,0,0,0,0,41.02,0,0,10.62,0,0.97,0,90.25,0,0,43.87,0,0,0,0,164.08,96.52,0,20.75,17.37,10.43,20.75,41.02,41.02,11.89,0,20.75,37.3,9.65,0,43.87,24.85,14.62,0,41.02,55.92,0,5.79,0,0,53.57,0,0,20.75,26.93,0,164.08,0,20.75,11.9,26.93,116,5.79,1828.99

37,09:00-09:15,60.82,108.45,0,0,31.85,24.85,15.81,0,11.58,53.09,0,164.08,0,39.57,5.79,39.57,41.02,55.92,11.58,10.62,39.57,0.97,0,0,90.25,0,0,128.97,0,0,0,0,96.52,0,20.75,17.37,10.35,20.75,41.02,41.02,11.89,0,20.75,0,0,0,0,0,0,0,41.02,0,0,0,0,0,53.57,0,0,20.75,26.94,0,164.08,164.08,20.75,11.9,26.94,126,8.69,1879.5000000000002

38,09:15-09:30,66.48,108.45,0,0,31.85,24.85,15.81,0,11.58,53.09,0,164.08,0,39.57,5.79,39.57,41.02,55.92,11.58,11.58,39.57,0.97,0,0,90.25,0,0,128.97,0,0,0,0,96.52,0,20.75,17.37,10.35,20.75,41.02,41.02,11.89,0,20.75,0,0,0,0,0,0,0,41.02,0,0,0,0,0,53.57,0,0,20.75,26.94,0,164.08,164.08,20.75,11.9,26.94,140,8.69,1900.1200000000001

39,09:30-09:45,74.3,108.45,0,0,31.85,24.85,15.81,0,11.58,53.09,0,164.08,0,39.57,5.79,39.57,41.02,55.92,11.58,11.58,39.57,0.97,0,0,90.25,0,0,128.97,0,0,0,0,96.52,0,20.75,17.37,10.35,20.75,41.02,41.02,11.89,0,20.75,0,0,0,0,0,0,0,41.02,0,0,0,0,0,53.57,0,0,20.75,26.94,0,164.08,164.08,20.75,11.9,26.94,151,8.69,1918.94

40,09:45-10:00,79.61,108.45,0,0,31.85,24.85,15.81,0,11.58,53.09,0,164.08,0,39.57,5.79,39.57,41.02,55.92,11.58,11.58,39.57,0.97,0,0,90.25,0,0,128.97,0,0,0,0,96.52,0,20.75,17.37,10.35,20.75,41.02,41.02,11.89,0,20.75,0,0,0,0,0,0,0,41.02,0,0,0,0,0,53.57,0,0,20.75,26.94,0,164.08,164.08,20.75,11.9,26.94,161,8.69,1934.2500000000002

