Block,Time,BRBCL,KHSTPP-I,RSTPSU1TO6,SIMHST1,TANAKPUR,URI,AURY_RF,CHAMERA2,CHAMERA3,NLCTS2EXP,NTPL,UNCHAHAR2,UNCHAHAR4,URI2,AURY_CRF,KOLDAM,KOTESHWR,NJPC,RAPPC,RSTPSU7,SEWA2,SINGRAULI_HYDRO,TelanganaSTPP,UNCHAHAR3,AURY_GF,DADRI_CRF,DADRI_LF,CHAMERA1,JHAJJAR,KGSU3AND4,KKNPPU2,RIHAND2,SALAL,AURY_LF,BSIUL,DHAULIGNGA,KISHANGANGA,SASAN,UNCHAHAR1,ANTA_GF,ANTA_RF,KKNP,KUDGI,NLCEXP,NLCIIST1,RIHAND1,RIHAND3,SIMHST2,VALLURNTECL,ANTA_CRF,ANTA_LF,DADRI_GF,DADRT2,DULHASTI,KGSU1AND2,KHSTPP-II,MAPS,NNTPP,SINGRAULI,TALA,TEHRI,DADRI_RF,FSTPP I & II,NAPP,NLCIIST2,PARBATI3,RAMPUR,RAPPB,TALST2,TANDA2
28,06:45-07:00,20,45.53,0,0,0,1.11,70.81,39.51,19.38,0,0,42.39,0,4.31,0,0,39.05,113.64,26.01,0,10.53,0.69,0,0,0,0,0,24.09,434.65,0,0,118.76,55.77,0,13.04,7.92,0,418.77,19.98,0,44.73,0,0,0,0,92,62.16,0,0,0,0,0,682.79,32.96,0,148.3,0,0,139.69,0,50.4,90.42,20.8,43.79,0,16.54,0,0,0,0

29,07:00-07:15,20,45.53,0,0,0,1.11,70.81,39.51,19.38,0,0,42.39,0,10.76,0,0,39.05,113.64,26.01,0,10.53,0.69,0,0,0,0,0,24.09,434.65,0,0,118.76,55.77,0,13.04,18.27,0,418.77,19.98,0,44.73,0,0,0,0,92,62.16,0,0,0,0,0,682.79,32.96,0,148.3,0,0,139.69,0,50.4,90.42,20.8,43.79,0,16.54,0,0,0,0

30,07:15-07:30,20,45.53,0,0,0,3.31,70.81,39.51,19.38,0,0,42.39,0,10.76,0,0,39.05,113.64,26.01,0,10.53,0.69,0,0,0,0,0,26.63,434.65,0,0,118.76,9.29,0,13.04,27.41,0,418.77,19.98,0,44.73,0,0,0,0,92,62.16,0,0,0,0,0,682.79,32.96,0,148.3,0,0,139.69,0,50.4,90.42,20.8,43.79,0,16.54,0,0,0,0

31,07:30-07:45,20,45.53,0,0,0,26.49,70.81,39.51,19.38,0,0,42.39,0,10.76,0,0,39.05,113.64,26.01,0,10.53,0.69,0,0,0,0,0,28.05,434.65,0,0,118.76,1.4,0,13.04,27.41,0,418.77,19.98,0,44.73,0,0,0,0,92,62.16,0,0,0,0,0,682.79,32.96,0,148.3,0,0,139.69,0,50.4,90.42,20.8,43.79,0,16.54,0,0,0,0

32,07:45-08:00,20,45.53,0,0,0,26.49,70.81,39.51,19.38,0,0,42.39,0,10.76,0,0,39.05,113.64,26.01,0,10.53,0.69,0,0,0,0,0,24.09,434.65,0,0,118.76,1.4,0,13.04,27.41,0,418.77,19.98,0,44.73,0,0,0,0,92,62.16,0,0,0,0,0,682.79,32.96,0,148.3,0,0,139.69,0,50.4,90.42,20.8,43.79,0,3.82,0,0,0,0

33,08:00-08:15,20,45.53,0,0,5.76,26.49,70.81,39.51,19.38,0,0,42.39,0,10.76,0,0,39.05,113.64,26.01,0,10.53,0.69,0,0,0,0,0,24.09,434.65,0,0,118.76,1.4,0,13.04,27.41,0,418.77,19.98,0,44.52,0,0,0,0,92,62.16,0,0,0,0,0,682.79,32.96,0,148.3,0,0,139.69,0,50.4,90.42,20.8,43.79,0,0,0,0,0,0

34,08:15-08:30,20,45.53,0,0,5.76,1.11,70.81,2.66,9.68,0,0,42.39,0,10.76,0,0,17.75,113.64,26.01,0,10.53,0.69,0,0,0,0,0,13.2,434.65,0,0,118.76,1.4,0,2.2,18.27,0,418.77,19.98,0,44.42,0,0,0,0,92,62.16,0,0,0,0,0,682.79,16.48,0,148.3,0,0,139.69,0,50.4,90.42,20.8,43.79,0,0,0,0,0,0

35,08:30-08:45,20,45.53,0,0,5.76,1.11,70.81,0,0,0,0,42.39,0,4.31,0,0,8.87,83.43,26.01,0,5.27,0.69,0,0,0,0,0,13.2,434.65,0,0,118.76,1.4,0,0,9.11,0,418.77,19.98,0,44.42,0,0,0,0,92,62.16,0,0,0,0,0,682.79,16.48,0,148.3,0,0,139.69,0,37.8,90.42,20.8,43.79,0,0,0,0,0,0

36,08:45-09:00,20,45.53,0,0,5.76,1.11,70.81,0,0,0,0,42.39,0,4.31,0,0,8.87,62.51,26.01,0,0,0.69,0,0,0,0,0,0,434.65,0,0,118.76,1.4,0,0,9.11,0,418.77,19.98,0,44.42,0,0,0,0,92,62.16,0,0,0,0,0,682.79,16.48,0,148.3,0,0,139.69,0,37.8,90.42,20.8,43.79,0,0,0,0,0,0

37,09:00-09:15,20,45.53,0,0,5.76,1.11,70.81,0,0,0,0,42.39,0,4.31,0,0,8.87,41.67,26.01,0,0,0.69,0,0,0,0,0,0,434.65,0,0,118.76,1.4,0,0,0,0,418.77,19.98,0,44.21,0,0,0,0,92,62.16,0,0,0,0,0,682.79,16.48,0,148.3,0,0,139.69,0,37.8,90.42,20.8,43.79,0,0,0,0,0,0

38,09:15-09:30,20,45.53,0,0,5.76,1.11,70.81,0,0,0,0,42.39,0,4.31,0,0,8.87,18.94,26.01,0,0,0.69,0,0,0,0,0,0,434.65,0,0,118.76,1.4,0,0,0,0,418.77,19.98,0,43.99,0,0,0,0,92,54.08,0,0,0,0,0,682.79,16.48,0,148.3,0,0,139.69,0,37.8,90.42,20.8,43.79,0,0,0,0,0,0

39,09:30-09:45,20,45.53,0,0,0,1.11,70.81,0,0,0,0,42.39,0,4.31,0,0,8.87,0,26.01,0,0,0.69,0,0,0,0,0,0,434.65,0,0,118.76,1.4,0,0,0,0,418.77,19.98,0,43.57,0,0,0,0,92,44.85,0,0,0,0,0,682.79,16.48,0,148.3,0,0,139.69,0,37.8,90.42,20.8,43.79,0,0,0,0,0,0

40,09:45-10:00,20,45.53,0,0,0,1.11,70.81,0,0,0,0,42.39,0,4.31,0,0,8.87,0,26.01,0,0,0.69,0,0,0,0,0,0,434.65,0,0,118.76,1.4,0,0,0,0,418.77,19.98,0,43.57,0,0,0,0,92,36.28,0,0,0,0,0,683.14,16.48,0,148.3,0,0,139.69,0,37.8,90.42,20.8,43.79,0,0,0,0,0,0

41,10:00-10:15,20,45.53,0,0,0,1.11,70.81,0,0,0,0,42.39,0,4.31,0,0,8.87,0,26.01,0,0,0.69,0,0,0,0,0,0,434.65,0,0,118.76,1.4,0,0,0,0,418.77,19.98,0,43.47,0,0,0,0,92,36.28,0,0,0,0,0,683.14,0,0,148.3,0,0,139.69,0,25.2,90.42,20.8,43.79,0,0,0,0,0,0

