Column1,Time,NR/26072023/25122043/L_NR_2023_10,GNARE/NR/2024/12/20/3668,NR/22102023/11042047/L_NR_2021_17,NR/01102023/13082046/L_NR_2021_12,NR/01102023/08032047/L_NR_2021_14,WR/01102023/29112042/RUMS(L_NR_2019_07),L_NR_2019_19,WR/01102023/29112042/L_NR_2019_05,WR/01102023/01102023/L_NR_2020_06,NR/26072023/31072042/L_NR_2023_07,WR/01102023/16072048/L_NR_2022_08,WR/01102023/24112044/L_NR_2020_07,WR/01102023/31032046/L_NR_2020_05,WR/01102023/01102023/L_NR_2022_09,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/30052048/L_NR_2022_10,GNA/NR/2025/08/01/4452,GNA/NR/2025/06/07/5932,NR/30092023/26122029/SH-06,GNA/NR/2025/08/01/5784,NR/01102023/05012040/L_NR_2020_02,NR/01102023/19072037/LT-05,GNA/NR/2025/08/01/4125,GNA/NR/2025/08/01/6475,GNA/NR/2025/08/01/3698,GNA/NR/2025/08/01/2414,GNA/NR/2025/08/01/5126,NR/01102023/06022042/L_NR_2012_02,GNA/NR/2025/07/01/1044,GNA/NR/2025/08/01/6209,GNA/NR/2025/07/01/2952,GNA/NR/2025/08/01/6452,GNA/NR/2025/08/01/6187,NR/30092023/31122025/SH-07,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2025/07/01/8128,NR/01102023/31052040/LT-31,NR/01102023/30042040/GNA_LT_35,NR/01102023/31102037/L_NR_2019_11,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2025/08/01/1196,NR/01102023/15082037/GNA_NR_2012_01,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/22052037/LT-59,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/30042040/GNA_LT_36,NR/01102023/02122045/L_NR_2021_13,NR/22102023/11042047/L_NR_2021_16,NR/01102023/25072045/L_NR_2021_15,GNARE/SR/2025/01/13/4532
6,01:15-01:30,0,0,0,0,0,0,0,0,20,0,23,20,60,58.67,0,58.66,15.3,-0,0,96.53,7.95,70.4,14.62,20.83,14.62,48.26,24.13,130.61,3.25,48.26,4.02,24.13,29.03,0,87.07,12.69,0,0,0,27.25,19.31,100.56,271.49,0,11.36,0,0,0,0,3.6

7,01:30-01:45,0,0,0,0,0,0,0,0,20.33,0,23.33,20.33,61.01,65,0,65,15.3,-0,0,96.53,7.95,70.4,14.62,20.83,14.62,48.26,24.13,130.61,3.24,48.26,4.02,24.13,29.03,0,87.07,12.69,0,0,0,26.25,19.31,100.56,271.49,0,11.36,0,0,0,0,3.8

8,01:45-02:00,0,0,0,0,0,0,0,0,20.83,0,23.33,20.83,62.51,65,0,65,15.3,-0,0,96.53,7.95,70.4,14.62,20.83,14.62,48.26,24.13,130.61,3.24,48.26,4.02,24.13,29.03,0,87.07,12.69,0,0,0,26.25,19.31,100.56,271.49,0,11.36,0,0,0,0,3.6

9,02:00-02:15,0,0,0,0,0,0,0,0,21.33,0,22.67,21.33,64.01,63.33,0,63.34,15.3,-0,0,96.53,7.67,70.4,14.62,20.83,14.62,48.26,24.13,130.61,3.24,96.53,4.02,24.13,29.03,0,76.54,5.98,0,0,0,26.25,19.31,100.56,271.49,0,11.36,0,0,0,0,3.4

10,02:15-02:30,0,0,0,0,0,0,0,0,21.67,0,21.67,21.67,64.99,62.67,0,62.66,15.3,-0,0,96.53,7.67,70.4,14.62,20.83,14.62,48.26,24.13,130.61,3.24,96.53,4.02,24.13,29.03,0,76.54,5.98,0,0,0,26.25,19.31,100.56,271.49,0,11.36,0,0,0,0,3.2

11,02:30-02:45,0,0,0,0,0,0,0,0,21.33,0,23.04,21.33,64.01,62.33,0,62.34,15.3,-0,0,96.53,7.67,70.4,14.62,20.83,14.62,48.26,24.13,130.61,3.24,96.53,4.02,24.13,29.03,0,76.54,5.98,0,0,0,26.25,19.31,100.56,271.49,0,11.36,0,0,0,0,3

12,02:45-03:00,0,0,0,0,0,0,0,0,21,0,22.68,21,63,61.67,0,61.66,15.3,-0,0,96.53,7.67,70.4,14.62,20.83,14.62,48.26,24.13,130.61,3.24,96.53,4.02,24.13,29.03,0,61.41,5.98,0,0,0,26.25,19.31,100.56,271.49,0,11.36,0,0,0,0,2.8

13,03:00-03:15,0,0,0,0,0,0,0,0,21.33,0,28.33,21.33,64.01,70,0,70,15.3,-0,0,96.53,7.67,70.4,14.62,20.83,14.62,48.26,24.13,122.07,3.24,96.53,4.02,24.13,29.03,0,56.59,5.98,0,0,0,26.25,19.31,100.56,271.49,0,13.67,0,0,0,0,2.8

14,03:15-03:30,0,0,0,0,0,0,0,0,21.33,0,27.67,21.33,64.01,70,0,70,15.3,-0,0,96.53,7.67,70.4,14.62,20.83,14.62,48.26,24.13,103.73,3.24,96.53,4.02,24.13,29.03,0,56.59,5.98,0,0,0,26.25,19.31,100.56,271.49,0,13.67,0,0,0,0,2.8

15,03:30-03:45,0,0,0,0,0,0,0,0,24.56,0,26.67,24.56,73.65,71.67,0,71.66,15.3,-0,0,96.53,7.67,70.4,14.62,20.83,14.62,48.26,24.13,86.03,3.24,96.53,4.02,24.13,29.03,0,56.59,5.98,0,0,0,26.25,19.31,54.06,271.49,0,13.67,0,0,0,0,2.8

16,03:45-04:00,0,0,0,0,0,0,0,0,23.4,0,26,23.4,70.17,70,0,70,15.3,-0,0,96.53,7.67,70.4,14.62,20.83,14.62,48.26,24.13,85.06,3.24,96.53,4.02,24.13,29.03,0,56.59,5.98,0,0,0,26.25,19.31,54.06,271.49,0,13.67,0,0,0,0,2.8

17,04:00-04:15,0,0,0,0,0,0,0,0,22.51,0,26.85,22.51,67.55,73.67,0,73.66,15.3,-0,0,96.53,7.49,70.4,14.62,20.83,14.62,48.26,24.13,111.94,3.24,96.53,4.02,24.13,29.03,0,76.54,5.98,0,0,0,26.25,19.31,73.36,271.49,0,17.37,0,0,0,0,2.8

18,04:15-04:30,0,0,0,0,0,0,0,0,20.68,0,26.71,20.68,62.04,73.67,0,73.66,15.3,-0,0,96.53,7.49,70.4,14.62,20.83,14.62,48.26,24.13,111.94,3.24,96.53,4.02,24.13,29.03,0,76.54,5.98,0,0,0,26.25,19.31,73.36,271.49,0,17.37,0,0,0,0,3

19,04:30-04:45,0,0,0,0,0,0,0,0,27.5,0,30,27.5,82.5,72.67,0,72.66,15.3,-0,0,96.53,7.49,70.4,14.62,20.83,14.62,48.26,24.13,111.94,3.24,96.53,4.02,24.13,29.03,0,76.54,5.98,0,0,0,26.25,19.31,69.5,271.49,0,17.37,0,0,0,0,2.8

20,04:45-05:00,0,0,0,0,0,0,0,0,26.79,0,29.33,26.79,80.39,71.67,0,71.66,15.3,-0,0,96.53,7.49,70.4,14.62,20.83,14.62,48.26,24.13,111.94,3.22,96.53,4.02,24.13,29.03,0,76.54,5.98,0,0,0,26.25,19.31,69.5,271.49,0,17.37,0,0,0,0,3

21,05:00-05:15,0,0,0,0,0,0,0,0,23.33,0,32.33,23.33,70.01,70,0,70,15.3,-0,0,96.53,7.21,70.4,14.62,20.83,14.62,48.26,24.13,130.61,3.22,96.53,4.02,24.13,29.03,0,87.07,6.86,0,0,0,26.25,19.31,100.56,271.49,0,17.65,0,0,0,0,3

22,05:15-05:30,0,0,0,0,0,0,0,0,23,0,31.67,23,69,66.67,0,66.66,15.3,-0,0,96.53,7.21,70.4,14.62,20.83,14.62,48.26,24.13,130.61,3.22,96.53,4.02,24.13,29.03,0,87.07,6.86,0,0,0,26.25,19.31,100.56,271.49,0,17.65,0,0,0,0,3.2

23,05:30-05:45,0,0,0,0,0,0,0,0,21.47,0,31.33,21.47,64.39,65,0,65,15.3,-0,0,96.53,7.21,70.4,14.62,20.83,14.62,48.26,24.13,130.61,3.19,96.53,4.02,24.13,29.03,0,87.07,6.86,0,0,0,27.25,19.31,100.56,271.49,0,17.65,0,0,0,0,3

24,05:45-06:00,0,0,0,0,0,0,0,0,19.93,0,31,19.93,59.81,63.33,0,63.34,15.3,-0,0,96.53,7.21,70.4,14.62,20.83,14.62,48.26,24.13,130.61,3.19,96.53,4.02,24.13,29.03,0,87.07,6.86,0,0,0,27.25,19.31,100.56,271.49,0,17.65,0,0,0,0,2.8

25,06:00-06:15,0,0.03,0,0.01,1,0,0.05,4.93,18.4,0,30.67,18.4,55.2,61.67,3.79,61.66,15.3,-0,0,96.53,7.02,70.4,14.62,20.83,14.62,48.26,24.13,130.61,3.19,96.53,4.02,24.13,29.03,0,87.07,6.86,0,0,0,26.24,19.31,100.56,271.49,0,17.83,0,0,1,1,6.6

26,06:15-06:30,1,1.13,1,2.97,2,1,1.11,9.43,16.87,0,30.33,16.87,50.59,60,6.89,60,15.3,-0,0,96.53,7.02,70.4,14.62,20.83,14.62,48.26,24.13,130.61,3.19,96.53,4.02,24.13,29.03,0,87.07,6.86,0,0,0,26.24,19.31,100.56,271.49,0,17.83,0,0.59,2,2,6.6

27,06:30-06:45,3,2.71,2,6.62,4,4,2.57,15.53,15.33,0,30,15.33,46.01,60,12.53,60,15.3,-0,0,96.53,7.02,70.4,14.62,20.83,14.62,48.26,24.13,130.61,3.19,96.53,4.02,24.13,29.03,0,87.07,6.86,0.48,0.48,0,26.24,19.31,100.56,271.49,0,17.83,0.36,1.33,5,3,6.6

28,06:45-07:00,5,4.93,4,14.81,7,8,4.49,22.85,13.8,0,29.33,13.8,41.4,60,18.42,60,15.3,-0,0,96.53,7.02,70.4,14.62,20.83,14.62,48.26,24.13,130.61,3.19,96.53,4.02,24.13,29.03,0,87.07,6.86,0.91,0.91,0,26.24,19.31,100.56,271.49,0,17.83,0.7,2.96,7,4,6.6

29,07:00-07:15,7,8.59,6,23.01,11,12,6.67,30.89,13.8,0,25,13.8,41.4,50,25.51,50,15.3,-0,0,96.53,7.02,70.4,14.62,20.83,14.62,48.26,24.13,102.77,3.2,96.53,4.02,24.13,29.03,0,67.12,6.86,1.47,1.47,0,26.24,19.31,100.56,271.49,0,17.83,1.13,4.6,11,5,6.8

30,07:15-07:30,10,12.87,8,31.45,13,16,8.94,33,13.8,0,24,13.8,41.4,48.33,33,48.34,15.3,-0,0,96.53,7.02,70.4,14.62,20.83,14.62,48.26,24.13,102.77,3.2,96.53,4.02,24.13,29.03,0,49.14,6.86,2.21,2.21,0,26.24,19.31,100.56,271.49,0,17.83,1.71,6.29,16,7,6.8

31,07:30-07:45,10,16.96,4,40.12,14,24,11.52,33,13.8,0,22.67,13.8,41.4,46,33,46,15.3,-0,0,96.53,7.02,70.4,14.62,20.83,14.62,48.26,24.13,130.61,3.22,96.53,4.02,24.13,29.03,0,49.14,6.86,3.04,3.04,0,26.24,19.31,100.56,271.49,0,17.83,2.35,8.03,9,8,6.8

32,07:45-08:00,13,21.46,5,49.2,18,32,14.38,33,14.38,0,21.67,14.38,43.16,45.33,33,45.34,15.3,-0,0,96.53,7.02,70.4,14.62,20.83,14.62,48.26,24.13,105.66,3.22,96.53,4.02,24.13,29.03,0,38.61,6.86,3.93,3.93,0,26.24,19.31,100.56,271.49,0,17.83,3.04,9.84,10,9,7

33,08:00-08:15,12,26.35,8,59.92,23,32.66,17.39,32.67,20.61,0,27.33,20.61,61.81,59.67,32.67,59.66,15.3,-0,0,96.53,6.74,70.4,14.62,20.83,14.62,48.26,24.13,84.1,3.22,96.53,4.02,24.13,29.03,0,38.61,6.87,3.79,3.79,0,27.25,19.31,51.16,232.88,0,15.06,2.93,11.98,15,10,6.4

34,08:15-08:30,13,31.5,8,70.87,27,33,20.52,33,20.61,0,26.67,20.61,61.81,58.33,33,58.34,15.3,-0,0,96.53,6.74,70.4,14.62,20.83,14.62,48.26,24.13,84.1,3.22,96.53,4.02,24.13,29.03,0,38.61,6.87,4.11,4.11,0,27.25,19.31,51.16,194.27,0,15.06,3.18,14.17,17,11,5.6

35,08:30-08:45,19,31.17,11,67.64,23,33,24.45,33,20.64,0,30,20.64,61.94,57.33,33,57.34,15.3,-0,0,96.53,6.74,70.4,14.62,20.83,14.62,48.26,24.13,84.1,3.22,96.53,4.02,24.13,29.03,0,38.61,6.87,4.53,4.53,0,25.23,19.31,51.16,176.59,0,15.06,3.51,13.53,22,12,4.6

36,08:45-09:00,22,35.39,13,77.33,27,33,26.3,33,22.02,0,30,22.02,66.07,57.67,33,57.66,15.3,-0,0,96.53,6.74,70.4,14.62,20.83,14.62,48.26,24.13,84.1,3.22,96.53,4.02,24.13,29.03,0,38.61,6.87,5.16,5.16,0,25.23,19.31,51.16,169.57,0,15.06,3.99,15.47,25,12,3.8

37,09:00-09:15,21,39.77,13,86.67,22,33,28.25,33,22.6,0,30,22.6,67.8,64.47,33,64.46,15.3,-112.03,0,96.53,6.74,70.4,14.62,20.83,14.62,48.26,24.13,84.1,3.22,96.53,4.02,24.13,29.03,0,38.61,6.92,5.8,5.8,0,26.24,19.31,51.16,175.73,0,13.21,4.48,17.33,25,10,2.8

38,09:15-09:30,24,44.15,13,92.56,23,33,29.23,33,23.15,0,30,23.15,69.44,64.91,33,64.91,15.3,-224.05,0,96.53,6.74,70.4,14.62,20.83,14.62,48.26,24.13,99.54,3.22,96.53,4.02,24.13,29.03,0,38.61,6.92,7.48,7.48,0,26.24,19.31,51.16,214.34,0,13.21,5.79,18.51,27,11,2.8

39,09:30-09:45,21,40,12,93.32,22,33,29.23,33,24.38,0,30,24.38,73.14,71.67,33,71.66,15.3,-224.05,0,96.53,6.74,70.4,14.62,20.83,14.62,48.26,24.13,106.3,3.22,96.53,4.02,24.13,29.03,0,56.59,6.92,9.38,9.38,0,26.24,19.31,51.16,252.96,0,15.06,7.25,18.67,23,11,2.8

40,09:45-10:00,22,43.33,13,94.08,23,33,31.17,33,25.71,0,30,25.71,77.11,71.67,33,71.66,15.3,-224.05,0,96.53,6.74,70.4,14.62,20.83,14.62,48.26,24.13,84.1,3.22,96.53,4.02,24.13,29.03,0,56.59,6.92,10.73,10.73,0,26.24,19.31,51.16,269.92,0,15.06,8.29,18.82,25,12,2.8

41,10:00-10:15,13,44.33,8,95.83,24,33,33.12,33,26.34,0,30,26.34,79.02,71.67,33,71.66,15.3,-224.05,0,96.53,6.74,70.4,14.62,20.83,14.62,48.26,24.13,87.96,3.22,96.53,4.02,24.13,29.03,0,56.59,6.92,11.38,11.38,0,26.24,19.31,51.16,271.49,0,18.76,8.79,19.17,15,12,2.8

42,10:15-10:30,15,47.5,8,100,26,33,60.4,33,26.76,0,30.67,26.76,80.26,71.67,33,71.66,15.3,-224.05,0,96.53,6.74,70.4,14.62,20.83,14.62,48.26,24.13,88.92,3.22,96.53,4.02,24.13,29.03,0,56.59,6.92,11.86,11.86,0,26.24,19.31,51.16,271.49,0,18.76,9.17,20,17,13,2.8

43,10:30-10:45,13,43.65,7,108.33,27,33,61.37,33,27.13,0,31.33,27.13,81.41,71.67,33,71.66,15.3,-224.05,0,96.53,6.74,70.4,14.62,20.83,14.62,48.26,24.13,89.89,3.22,96.53,4.02,24.13,29.03,0,56.59,6.92,3.16,3.16,0,26.24,19.31,51.16,271.49,0,18.76,2.44,21.67,15,12,2.8

44,10:45-11:00,13,48.5,7,116.67,28,33,63.32,33,27.5,0,32,27.5,82.52,71.67,33,71.66,15.3,-224.05,0,96.53,6.74,70.4,14.62,20.83,14.62,48.26,24.13,91.82,3.22,96.53,4.02,24.13,29.03,0,56.59,6.92,3.16,3.16,0,26.24,19.31,51.16,271.49,0,18.76,2.44,23.33,15,13,2.8

45,11:00-11:15,15,54.97,8,129.17,33,33,64.3,33,28.23,0,30,28.23,84.7,65.28,33,65.27,15.3,-224.05,0,96.53,5.62,70.4,14.62,20.83,14.62,48.26,24.13,91.82,3.22,96.53,2.13,24.13,29.03,0,56.59,6.75,3.16,3.16,0,27.25,19.31,51.16,271.49,0,18.76,2.44,25.83,17,14,2.8

46,11:15-11:30,15,62.18,9,137.5,33,33,65.27,33,29.09,0,30,29.09,87.25,66.51,33,66.51,15.3,-224.05,0,96.53,5.62,70.4,14.62,20.83,14.62,48.26,24.13,92.78,3.22,96.53,2.13,24.13,29.03,0,56.59,6.75,3.16,3.16,0,26.24,19.31,51.16,271.49,0,18.76,2.44,27.5,19,14,2.8

47,11:30-11:45,16,85.29,10,142.46,52,33,68.19,33,22.17,0,30.6,22.17,66.49,67.98,33,67.97,15.3,-224.05,0,96.53,5.62,70.4,14.62,20.83,14.62,48.26,24.13,92.78,3.22,96.53,2.13,24.13,29.03,0,56.59,6.92,3.16,3.16,0,26.24,19.31,51.16,271.49,0,18.76,2.44,28.49,20,18,2.8

48,11:45-12:00,16,86.38,10,150.02,50,33,70.14,33,22.17,0,31.5,22.17,66.49,69.96,33,69.95,15.3,-224.05,0,96.53,5.62,70.4,14.62,20.83,14.62,48.26,24.13,92.78,3.22,96.53,2.13,24.13,29.03,0,56.59,6.92,3.16,3.16,0,26.24,19.31,51.16,271.49,0,18.76,2.44,30.01,20,18,2.8

49,12:00-12:15,15,91.73,7,189.57,55,33,69.17,33,25.83,0,31.5,25.83,77.51,71.05,33,71.04,15.3,-112.03,0,96.53,7.49,70.4,14.62,20.83,14.62,48.26,24.13,130.61,3.24,96.53,4.02,24.13,29.03,0,76.13,6.92,3.16,3.16,0,26.24,19.31,49.38,271.49,0,18.76,2.44,37.92,15,21,2.8

50,12:15-12:30,15,91.81,7,195.67,55,33,68.19,33,25.83,0,33.6,25.83,77.51,71.35,33,71.34,15.3,-0,0,96.53,7.49,70.4,14.62,20.83,14.62,48.26,24.13,130.61,3.24,96.53,4.02,24.13,29.03,0,76.13,6.92,3.16,3.16,0,26.24,19.31,49.38,271.49,0,18.76,2.44,39.14,15,21,2.8

51,12:30-12:45,18,84.82,8,158.67,57,33,72.09,33,25.83,0,34.8,25.83,77.51,75,33,75,15.3,-0,0,96.53,7.49,70.4,14.62,20.83,14.62,48.26,24.13,130.61,3.24,96.53,4.02,24.13,29.03,0,76.13,6.92,8.78,8.78,0,24.72,19.31,49.38,271.49,0,18.76,6.79,31.74,17,27,2.8

52,12:45-13:00,18,83.42,9,154.24,57,33,72.09,33,25.83,0,35.7,25.83,77.51,75,33,75,15.3,-0,0,96.53,7.49,70.4,14.62,20.83,14.62,48.26,24.13,130.61,3.24,96.53,4.02,24.13,29.03,0,76.13,6.92,8.63,8.63,0,24.72,19.31,49.38,271.49,0,18.76,6.67,30.85,19,27,2.8

53,13:00-13:15,21,82.74,11,150,62,33,71.12,33,25.83,0,36,25.83,77.51,75,33,75,15.3,-0,0,96.53,7.49,70.4,14.62,20.83,14.62,48.26,24.13,130.61,3.22,96.53,4.02,24.13,29.03,0,76.13,6.92,8.53,8.53,0,24.72,19.31,49.38,271.49,0,18.76,6.59,30,21,27,2.8

54,13:15-13:30,21,82.49,12,150,60,33,70.14,33,25.83,0,36.3,25.83,77.51,75,33,75,15.3,-0,0,96.53,7.49,70.4,14.62,20.83,14.62,48.26,24.13,130.61,3.22,96.53,4.02,24.13,29.03,0,76.13,6.92,8.45,8.45,0,24.72,19.31,49.38,271.49,0,18.76,6.53,30,23,27,2.8

55,13:30-13:45,21,79.82,13,150,77,33,68.19,33,26.67,0,36.3,26.67,79.99,75,33,75,15.3,-0,0,96.53,7.49,70.4,14.62,20.83,14.62,48.26,24.13,130.61,3.24,96.53,4.02,24.13,29.03,0,76.13,6.92,8.55,8.55,0,24.72,19.31,82.05,271.49,0,18.76,6.61,30,25,25,2.8

56,13:45-14:00,21,78.57,13,150,75,33,68.19,33,27.67,0,36.3,27.67,82.99,75,33,75,15.3,-0,0,96.53,7.49,70.4,14.62,20.83,14.62,48.26,24.13,130.61,3.24,96.53,4.02,24.13,29.03,0,76.13,6.92,8.7,8.7,0,24.72,19.31,100.56,271.49,0,18.76,6.73,30,27,25,3.4

57,14:00-14:15,27,77.74,15,158.33,75,33,48.82,33,25,0,36.19,25,75,75,33,75,15.3,-0,0,96.53,7.67,70.4,14.62,20.83,14.62,48.26,24.13,102.77,3.24,96.53,4.02,24.13,29.03,0,56.18,12.69,12.07,12.07,0,24.72,19.31,100.56,232.88,0,18.76,9.33,31.67,30,25,5

58,14:15-14:30,27,75.71,15,158.33,75,33,45.22,33,25,0,37.05,25,75,75,33,75,15.3,-0,0,96.53,7.67,70.4,14.62,20.83,14.62,48.26,24.13,102.77,3.24,96.53,4.02,24.13,29.03,0,56.18,12.69,12.1,12.1,0,25.23,19.31,100.56,271.12,0,18.76,9.35,31.67,30,25,6

59,14:30-14:45,36,72.6,15,154.17,76,33,49.42,33,25,0,37.91,25,75,75.29,33,75.3,15.3,-0,0,96.53,7.67,70.4,14.62,20.83,14.62,48.26,24.13,102.77,3.24,96.53,4.7,24.13,29.03,0,56.18,12.69,12.17,12.17,0,26.24,19.31,100.56,269.77,0,18.76,9.4,30.83,30,25,6

60,14:45-15:00,34,68.94,15,150,75,33,38.97,33,25,0,38.47,25,75,76.56,33,76.57,15.3,-0,0,96.53,7.67,70.4,14.62,20.83,14.62,48.26,24.13,108.56,3.24,96.53,4.66,24.13,29.03,0,56.18,12.69,14.61,14.61,0,26.75,19.31,100.56,271.49,0,18.76,11.29,30,30,25,6

61,15:00-15:15,36,58.62,15,145.83,72,33,32.3,33,25,0,38.76,25,75,77.47,33,77.46,15.3,-0,0,96.53,7.86,70.4,14.62,20.83,14.62,48.26,24.13,130.61,3.24,96.53,4.61,24.13,29.03,0,87.07,12.69,13.57,13.57,0,28.25,19.31,100.56,271.49,0,18.76,10.49,29.17,30,25,13

62,15:15-15:30,34,55.56,15,143.33,63,33,27.44,33,25,0,38.76,25,75,76.87,33,76.86,15.3,-0,0,96.53,7.86,70.4,14.62,20.83,14.62,48.26,24.13,130.61,3.24,96.53,4.61,24.13,29.03,0,87.07,12.69,12.79,12.79,0,28.25,19.31,100.56,271.49,0,18.76,9.89,28.67,30,24,13

63,15:30-15:45,36,40,17,129.17,63,33,28.51,33,25,0,38.47,25,75,77.76,33,77.76,15.3,-0,0,96.53,7.86,70.4,14.62,20.83,14.62,48.26,24.13,130.61,3.24,96.53,4.61,24.13,29.03,0,87.07,12.69,11.52,11.52,0,28.25,19.31,100.56,271.49,0,19.22,8.91,25.83,33,23,13

64,15:45-16:00,34,38.33,16,116.67,61,33,29.21,33,25,0,38.76,25,75,77.04,33,77.04,15.3,-0,0,96.53,7.86,70.4,14.62,20.83,14.62,48.26,24.13,130.61,3.24,96.53,4.61,24.13,29.03,0,87.07,12.69,10.74,10.74,0,28.25,19.31,100.56,271.49,0,19.22,8.31,23.33,32,21,13

65,16:00-16:15,37,40.33,15,83.33,54,24,29.33,33,25,0,35.91,25,75,76.92,33,76.92,15.3,-0,0,96.53,8.43,70.4,14.62,20.83,14.62,48.26,24.13,130.61,3.24,96.53,4.41,24.13,29.03,0,87.07,6.91,9.31,9.31,0,26.24,19.31,100.56,271.49,0,19.22,7.19,16.67,30,23,13

66,16:15-16:30,36,37.4,14,75,49,16,28.84,33,25,0,34.2,25,75,77.51,33,77.52,15.3,-0,0,96.53,8.43,70.4,14.62,20.83,14.62,48.26,24.13,130.61,3.24,96.53,4.41,24.13,29.03,0,87.07,6.91,7.84,7.84,0,26.24,19.31,100.56,271.49,0,19.22,6.05,15,28,21,12.6

67,16:30-16:45,28,38.01,12,56.67,47,8,27.45,33,25,0,38.32,25,75,77.99,33,78,15.3,-0,0,96.53,8.43,70.4,14.62,20.83,14.62,48.26,24.13,130.61,3.24,96.53,4.02,24.13,29.03,0,87.07,6.91,7.29,7.29,0,26.24,19.31,100.56,271.49,0,19.22,5.63,11.33,24,18,15.01

68,16:45-17:00,25,33.59,11,49.04,42,5,24.25,33,25,0,38.65,25,75,78.62,33,78.61,15.3,-0,0,96.53,8.43,70.4,14.62,20.83,14.62,48.26,24.13,130.61,3.24,96.53,4.02,24.13,29.03,0,87.07,6.9,5.96,5.96,0,26.24,19.31,100.56,271.49,0,19.22,4.61,9.81,21,16,15.01

