Column1,Block,NR/2025/26335/A/72564,WR/2025/29275/C,NR/2025/26879/A/72836,NR/2025/26888/C,NR/2025/26941/C,NR/2025/26153/A/72429,NR/2025/26885/C,NR/2025/26291/A/72919,NR/2025/25967/A/72840,NR/2025/26336/A/72562,NR/2025/26082/A/72917,NR/2025/26919/C,NR/2025/26822/A/73002,NR/2025/26825/A/73001,NR/2025/26005/A/72462,NR/2025/26944/C,NR/2025/26829/A/72998,NR/2025/26828/A/72999,NR/2025/26884/C,NR/2025/26945/C,NR/2025/26827/A/73000,NR/2025/26232/A/72924,NR/2025/25861/A/72829,NR/2025/26931/C,NR/2025/26929/C,NR/2025/26950/C,NR/2025/25860/A/72828,NR/2025/26933/C,NR/2025/26202/A/72906,NR/2025/26289/A/72921,NR/2025/26951/C,NR/2025/25859/A/72827,NR/2025/26934/C,NR/2025/26191/A/72459,NR/2025/26953/C,NR/2025/26101/A/72502,NR/2025/26954/C,NR/2025/26265/A/72926,NR/2025/26233/A/72925,GNA/NR/2025/05/01/4138,NR/2025/26955/C,NR/2025/26917/C,NR/2025/26886/C,NR/2025/26379/A/72838,NR/2025/26887/C,NR/2025/26939/C,NR/2025/26785/A/72714,NR/2025/26689/A/72523,NR/2025/26085/A/72417,NR/2025/26004/A/72461,NR/2025/26958/C,GNARE/NR/2024/12/20/3668,NR/2025/26755/A/72382,NR/30092023/31122025/SH-07,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/26122029/SH-06,GNA/NR/2025/05/01/8954,GNA/NR/2025/05/01/6363,GNA/NR/2025/05/01/3877,GNA/NR/2025/05/01/5800,GNA/NR/2025/05/01/2069,GNA/NR/2025/05/01/9252,GNA/NR/2025/05/01/7902,GNA/NR/2025/05/01/6957,GNA/NR/2025/05/16/1698,GNA/NR/2025/05/16/9317,GNA/NR/2025/05/01/2474,GNA/NR/2025/05/01/8068,GNA/NR/2025/05/01/9395,GNA/NR/2025/05/01/7791,GNA/NR/2025/05/01/6160,Total
3,00:30-00:45,0,96.3,33.7,0,0,62.6,0,24.08,192.6,221.49,47.19,0,12.4,37.2,48.15,54.1,37.2,12.4,0,0,37.2,4.82,0,0,158.52,0,144.45,48.15,96.3,48.15,0,96.3,79.93,48.15,0,0,0,96.3,4.82,0,0,0,0,192.6,0,0,0,6.74,0.77,48.15,8.4,0,0,32,10.51,32,5.78,14.44,28.89,67.41,0,13.48,28.89,192.6,24.08,96.3,28.94,10.59,0,0,14.44,2599.5100000000007

4,00:45-01:00,0,96.3,33.7,0,0,62.6,0,24.08,192.6,221.49,47.19,0,12.4,37.2,48.15,54.1,37.2,12.4,0,0,37.2,4.82,0,0,158.52,0,144.45,48.15,96.3,48.15,0,96.3,79.93,48.15,0,0,0,96.3,4.82,0,0,0,0,192.6,0,0,0,6.74,0.77,48.15,8.4,0,0,32,10.51,32,5.78,14.44,28.89,67.41,0,13.48,28.89,192.6,24.08,96.3,28.94,10.59,0,0,14.44,2599.5100000000007

5,01:00-01:15,0,96.3,33.7,0,0,62.6,0,24.08,192.6,221.49,47.19,0,12.4,37.2,48.15,54.1,37.2,12.4,0,0,37.2,4.82,0,0,158.52,0,144.45,48.15,96.3,48.15,0,96.3,79.93,48.15,0,0,0,96.3,4.82,0,0,0,0,192.6,0,0,0,6.74,0.67,48.15,8.4,0,0,32,10.41,32,5.78,14.44,28.89,67.41,0,13.48,28.89,192.6,24.08,96.3,28.94,10.59,0,0,14.44,2599.310000000001

6,01:15-01:30,0,96.3,33.7,0,0,62.6,0,24.08,192.6,221.49,47.19,0,12.4,37.2,48.15,54.1,37.2,12.4,0,0,37.2,4.82,0,0,158.52,0,144.45,48.15,96.3,48.15,0,96.3,79.93,48.15,0,0,0,96.3,4.82,0,0,0,0,192.6,0,0,0,6.74,0.67,48.15,8.4,0,0,32,10.41,32,5.78,14.44,28.89,67.41,0,13.48,28.89,192.6,24.08,96.3,28.94,10.59,0,0,14.44,2599.310000000001

7,01:30-01:45,0,96.3,33.7,0,0,62.6,0,24.08,192.6,221.49,47.19,0,12.4,37.2,48.15,54.1,37.2,12.4,0,0,37.2,4.82,0,0,158.52,0,144.45,48.15,96.3,48.15,0,96.3,79.93,48.15,0,0,0,96.3,4.82,0,0,0,0,192.6,0,0,0,6.74,0.67,48.15,8.4,0,0,32,10.41,32,5.78,14.44,28.89,67.41,0,13.48,28.89,192.6,24.08,96.3,28.94,10.59,0,0,14.44,2599.310000000001

8,01:45-02:00,0,96.3,33.7,0,0,62.6,0,24.08,192.6,221.49,47.19,0,12.4,37.2,48.15,54.1,37.2,12.4,0,0,37.2,4.82,0,0,158.52,0,144.45,48.15,96.3,48.15,0,96.3,79.93,48.15,0,0,0,96.3,4.82,0,0,0,0,192.6,0,0,0,6.74,0.67,48.15,8.4,0,0,32,10.41,32,5.78,14.44,28.89,67.41,0,13.48,28.89,192.6,24.08,96.3,28.94,10.59,0,0,14.44,2599.310000000001

9,02:00-02:15,0,96.3,33.7,0,0,62.6,0,24.08,192.6,221.49,47.19,0,12.4,37.2,48.15,54.1,37.2,12.4,0,0,37.2,4.82,0,0,158.52,0,144.45,48.15,96.3,48.15,0,96.3,79.93,48.15,0,0,0,0,4.82,0,0,0,0,192.6,0,0,0,6.74,0.63,48.15,8.4,0,0,30,10.32,23.51,0,0,28.89,0,96.3,13.48,0,192.6,24.08,96.3,28.94,10.59,0,0,14.44,2472.170000000001

10,02:15-02:30,0,96.3,33.7,0,0,62.6,0,24.08,192.6,221.49,47.19,0,12.4,37.2,48.15,54.1,37.2,12.4,0,0,37.2,4.82,0,0,158.52,0,144.45,48.15,96.3,48.15,0,96.3,79.93,48.15,0,0,0,0,4.82,0,0,0,0,192.6,0,0,0,6.74,0.63,48.15,8.4,0,0,30,10.32,23.51,0,0,28.89,0,96.3,13.48,0,192.6,24.08,96.3,28.94,10.59,0,0,14.44,2472.170000000001

11,02:30-02:45,0,96.3,33.7,0,0,62.6,0,24.08,192.6,221.49,47.19,0,12.4,37.2,48.15,54.1,37.2,12.4,0,0,37.2,4.82,0,0,158.52,0,144.45,48.15,96.3,48.15,0,96.3,79.93,48.15,0,0,0,0,4.82,0,0,0,0,192.6,0,0,0,6.74,0.63,48.15,8.4,0,0,25.06,10.32,25.06,0,0,28.89,0,96.3,13.48,0,192.6,24.08,96.3,28.94,10.59,0,0,14.44,2468.780000000001

12,02:45-03:00,0,96.3,33.7,0,0,62.6,0,24.08,192.6,221.49,47.19,0,12.4,37.2,48.15,54.1,37.2,12.4,0,0,37.2,4.82,0,0,158.52,0,144.45,48.15,96.3,48.15,0,96.3,79.93,48.15,0,0,0,0,4.82,0,0,0,0,192.6,0,0,0,6.74,0.63,48.15,8.4,0,0,25.06,10.32,25.06,0,0,28.89,0,96.3,13.48,0,192.6,24.08,96.3,28.94,10.59,0,0,14.44,2468.780000000001

13,03:00-03:15,0,48.15,33.7,0,0,62.6,0,24.08,192.6,221.49,47.19,0,12.4,37.2,48.15,54.1,37.2,12.4,0,0,37.2,4.82,0,0,158.52,0,144.45,0,96.3,48.15,0,96.3,0,48.15,0,0,0,0,4.82,0,0,0,0,192.6,0,0,0,6.74,0.48,48.15,0,0,0,26.5,10.23,26.5,0,0,28.89,0,96.3,13.48,0,192.6,24.08,96.3,28.94,10.59,0,0,14.44,2286.790000000001

14,03:15-03:30,0,48.15,33.7,0,0,62.6,0,24.08,192.6,221.49,47.19,0,12.4,37.2,48.15,54.1,37.2,12.4,0,0,37.2,4.82,0,0,158.52,0,144.45,0,96.3,48.15,0,96.3,0,48.15,0,0,0,0,4.82,0,0,0,0,192.6,0,0,0,6.74,0.48,48.15,0,0,0,26.5,10.23,26.5,0,0,28.89,0,96.3,13.48,0,192.6,24.08,96.3,28.94,10.59,0,0,14.44,2286.790000000001

15,03:30-03:45,0,48.15,33.7,0,0,62.6,0,24.08,192.6,221.49,47.19,0,12.4,37.2,48.15,54.1,37.2,12.4,0,0,37.2,4.82,0,0,158.52,0,144.45,0,96.3,48.15,0,96.3,0,48.15,0,0,0,0,4.82,0,0,0,0,192.6,0,0,0,6.74,0.48,48.15,0,0,0,26.5,9.58,26.5,0,0,28.89,0,96.3,13.48,0,192.6,24.08,96.3,28.94,10.59,0,0,14.44,2286.140000000001

16,03:45-04:00,0,48.15,33.7,0,0,62.6,0,24.08,192.6,221.49,47.19,0,12.4,37.2,48.15,54.1,37.2,12.4,0,0,37.2,4.82,0,0,158.52,0,144.45,0,96.3,48.15,0,96.3,0,48.15,0,0,0,0,4.82,0,0,0,0,192.6,0,0,0,6.74,0.48,48.15,0,0,0,26.5,9.58,26.5,0,0,28.89,0,96.3,13.48,0,192.6,24.08,96.3,28.94,10.59,0,0,14.44,2286.140000000001

17,04:00-04:15,0,48.15,0,0,0,62.6,0,24.08,192.6,221.49,47.19,0,12.4,37.2,48.15,54.1,37.2,12.4,0,19.26,37.2,4.82,0,0,158.52,0,0,0,96.3,48.15,0,96.3,0,48.15,0,0,0,0,4.82,0,0,0,0,192.6,0,0,0,6.74,0.48,48.15,0,0,0,26.5,9.5,26.5,0,0,28.89,0,96.3,13.48,0,192.6,24.08,96.3,28.94,10.59,0,0,14.44,2127.1700000000005

18,04:15-04:30,0,48.15,0,0,0,62.6,0,24.08,192.6,221.49,47.19,0,12.4,37.2,48.15,54.1,37.2,12.4,0,19.26,37.2,4.82,0,0,158.52,0,0,0,96.3,48.15,0,96.3,0,48.15,0,0,0,0,4.82,0,0,0,0,192.6,0,0,0,6.74,0.48,48.15,0,0,0,26.5,9.5,26.5,0,0,28.89,0,96.3,13.48,0,192.6,24.08,96.3,28.94,10.59,0,0,14.44,2127.1700000000005

19,04:30-04:45,0,48.15,0,0,0,62.6,0,24.08,192.6,221.49,47.19,0,12.4,37.2,48.15,54.1,37.2,12.4,0,19.26,37.2,4.82,0,0,158.52,0,0,0,96.3,48.15,0,96.3,0,48.15,0,0,0,0,4.82,0,0,0,0,192.6,0,0,0,6.74,0.48,48.15,0,0,0,26.5,9.5,26.5,0,0,28.89,0,96.3,13.48,0,192.6,24.08,96.3,28.94,10.59,0,0,14.44,2127.1700000000005

20,04:45-05:00,0,48.15,0,0,0,62.6,0,24.08,192.6,221.49,47.19,0,12.4,37.2,48.15,54.1,37.2,12.4,0,19.26,37.2,4.82,0,0,158.52,0,0,0,96.3,48.15,0,96.3,0,48.15,0,0,0,0,4.82,0,0,0,0,192.6,0,0,0,6.74,0.48,48.15,0,0,0,26.5,9.5,26.5,0,0,28.89,0,96.3,13.48,0,192.6,24.08,96.3,28.94,10.59,0,0,14.44,2127.1700000000005

21,05:00-05:15,0,0,0,0,0,62.6,0,24.08,192.6,221.49,47.19,0,12.4,37.2,48.15,54.1,37.2,12.4,0,19.26,37.2,4.82,0,0,158.52,0,0,0,96.3,48.15,0,96.3,0,48.15,0,0,0,0,4.82,0,0,0,0,192.6,0,0,0,6.74,0.48,48.15,0,0,0,26.5,9.31,26.5,0,0,28.89,0,96.3,13.48,0,192.6,24.08,96.3,28.94,10.59,0,0,14.44,2078.8300000000004

22,05:15-05:30,0,0,0,0,0,62.6,0,24.08,192.6,221.49,47.19,0,12.4,37.2,48.15,54.1,37.2,12.4,0,19.26,37.2,4.82,0,0,158.52,0,0,0,96.3,48.15,0,96.3,0,48.15,0,0,0,0,4.82,0,0,0,0,192.6,0,0,0,6.74,0.48,48.15,0,0.02,0,26.5,9.31,26.5,0,0,28.89,0,96.3,13.48,0,192.6,24.08,96.3,28.94,10.59,0,0,14.44,2078.8500000000004

23,05:30-05:45,0,0,0,0,0,62.6,0,24.08,192.6,221.49,47.19,0,12.4,37.2,48.15,54.1,37.2,12.4,0,19.26,37.2,4.82,0,0,158.52,0,0,0,96.3,48.15,0,96.3,0,48.15,0,0,0,0,4.82,0,0,0,0,192.6,0,0,0,5.78,0.48,48.15,0,0.12,0,26.5,9.31,26.5,0,0,28.89,0,96.3,13.48,0,192.6,24.08,96.3,28.94,10.59,0,0,14.44,2077.9900000000002

24,05:45-06:00,0,0,0,0,0,62.6,0,24.08,192.6,221.49,47.19,0,12.4,37.2,48.15,54.1,37.2,12.4,0,19.26,37.2,4.82,0,0,158.52,0,0,0,96.3,48.15,0,96.3,0,48.15,0,0,0,0,4.82,0,0,0,0,192.6,0,0,0,5.78,0.48,48.15,0,0.13,0,26.5,9.31,26.5,0,0,28.89,0,96.3,13.48,0,192.6,24.08,96.3,28.94,10.59,0,0,14.44,2078.0000000000005

25,06:00-06:15,0,0,0,0,0,62.6,0,24.08,192.6,221.49,47.19,0,12.4,37.2,48.15,54.1,37.2,12.4,0,19.26,37.2,4.82,0,0,158.52,0,0,0,96.3,48.15,0,96.3,0,48.15,0,0,0,0,4.82,0,0,0,0,192.6,0,0,0,4.82,0.58,48.15,0,0.68,0,26.5,9.22,26.5,0,0,28.89,0,96.3,13.48,0,192.6,24.08,96.3,28.94,10.59,0,0,14.44,2077.6000000000004

26,06:15-06:30,0,0,0,0,0,62.6,0,24.08,192.6,221.49,47.19,0,12.4,37.2,48.15,54.1,37.2,12.4,0,19.26,37.2,4.82,0,0,158.52,0,0,0,96.3,48.15,0,96.3,0,48.15,0,0,0,0,4.82,0,0,0,0,192.6,0,0,0,4.82,0.58,48.15,0,1.44,0,26.5,9.22,26.5,0,0,28.89,0,96.3,13.48,0,192.6,24.08,96.3,28.94,10.59,0,0,14.44,2078.36

27,06:30-06:45,1,0,0,0,0,62.6,0,24.08,192.6,221.49,47.19,0,12.4,37.2,48.15,54.1,37.2,12.4,0,19.26,37.2,4.82,0,0,0,0,0,0,96.3,48.15,0,96.3,0,48.15,0,0,0,0,4.82,0,0,0,0,192.6,0,0,0,4.82,0.58,48.15,0,4.78,0,26.5,9.22,26.5,0,0,28.89,0,96.3,13.48,0,192.6,24.08,96.3,28.94,10.59,0,0,14.44,1924.1799999999998

28,06:45-07:00,4,0,0,0,0,62.6,0,24.08,192.6,221.49,47.19,0,12.4,37.2,48.15,54.1,37.2,12.4,0,19.26,37.2,4.82,0,0,0,0,0,0,96.3,48.15,0,96.3,0,48.15,0,0,0,0,4.82,0,0,0,0,192.6,0,0,0,4.82,0.58,48.15,0,7.97,0,26.5,9.22,26.5,0,0,28.89,0,96.3,13.48,0,192.6,24.08,96.3,28.94,10.59,0,0,14.44,1930.37

29,07:00-07:15,14,0,0,0,0,62.6,0,24.08,192.6,0,47.19,0,12.4,37.2,48.15,54.1,37.2,12.4,0,19.26,37.2,4.82,0,0,0,0,0,0,96.3,48.15,0,96.3,0,48.15,0,0,0,0,4.82,0,0,0,0,192.6,0,0,0,4.82,0.67,48.15,0,11.99,0,26.93,9.03,26.93,0,0,28.89,0,96.3,13.48,0,192.6,24.08,96.3,28.94,10.59,0,0,14.44,1723.66

30,07:15-07:30,28,0,0,0,0,62.6,0,24.08,192.6,0,47.19,0,12.4,37.2,48.15,54.1,37.2,12.4,0,19.26,37.2,4.82,0,0,0,0,0,0,96.3,48.15,0,96.3,0,48.15,0,0,0,0,4.82,0,0,0,0,192.6,0,0,0,4.82,0.67,48.15,0,17.19,0,26.93,9.03,26.93,0,0,28.89,0,96.3,13.48,0,192.6,24.08,96.3,28.94,10.59,0,0,14.44,1742.8600000000001

31,07:30-07:45,42,0,0,0,0,62.6,0,24.08,192.6,0,47.19,0,12.4,37.2,48.15,54.1,37.2,12.4,0,19.26,37.2,4.82,0,0,0,0,0,0,96.3,48.15,0,96.3,0,48.15,0,0,0,0,4.82,0,0,0,0,192.6,0,0,0,4.82,0.67,48.15,0,23.38,0,26.93,9.03,26.93,0,0,28.89,0,96.3,13.48,0,192.6,24.08,96.3,28.94,10.59,0,0,14.44,1763.0500000000002

32,07:45-08:00,56,0,0,0,0,62.6,0,24.08,192.6,0,47.19,0,12.4,37.2,48.15,54.1,37.2,12.4,0,19.26,37.2,4.82,0,0,0,0,0,0,96.3,48.15,0,96.3,0,48.15,0,0,0,0,4.82,0,0,0,0,192.6,0,0,0,4.82,0.67,48.15,0,30.25,0,26.93,9.03,26.93,0,0,28.89,0,96.3,13.48,0,192.6,24.08,96.3,28.94,10.59,0,0,14.44,1783.92

33,08:00-08:15,70,0,0,0,0,62.6,0,24.08,192.6,0,47.19,0,12.4,37.2,48.15,54.1,37.2,12.4,0,19.26,37.2,4.82,0,0,78.47,0,0,0,96.3,48.15,0,96.3,0,48.15,0,0,0,96.3,4.82,0,0,0,0,192.6,0,0,0,4.82,0.96,48.15,0,37.64,7.7,26.93,8.94,26.93,0,0,28.89,0,0,13.48,0,192.6,24.08,96.3,28.94,10.59,0,0,14.44,1891.68

34,08:15-08:30,88,0,0,0,0,62.6,0,24.08,192.6,0,47.19,0,12.4,37.2,48.15,54.1,37.2,12.4,0,19.26,37.2,4.82,0,0,78.47,0,0,0,96.3,48.15,0,96.3,0,48.15,0,0,0,96.3,4.82,0,0,0,0,192.6,0,0,0,4.82,0.96,48.15,0,45.09,7.7,26.93,8.94,26.93,0,0,28.89,0,0,13.48,0,192.6,24.08,96.3,28.94,10.59,0,0,14.44,1917.1299999999999

35,08:30-08:45,105,0,0,0,0,62.6,0,24.08,192.6,0,47.19,0,12.4,37.2,48.15,54.1,37.2,12.4,0,19.26,37.2,4.82,0,0,78.47,0,0,0,96.3,48.15,0,96.3,0,48.15,0,0,0,96.3,4.82,0,0,0,0,192.6,0,0,0,4.82,0.96,48.15,0,52.52,7.7,26.93,8.94,26.93,0,0,28.89,0,0,13.48,0,192.6,24.08,96.3,28.94,10.59,0,0,14.44,1941.56

36,08:45-09:00,123,0,0,0,0,62.6,0,24.08,192.6,0,47.19,0,12.4,37.2,48.15,54.1,37.2,12.4,0,19.26,37.2,4.82,0,0,78.47,0,0,0,96.3,48.15,0,96.3,0,48.15,0,0,0,96.3,4.82,0,0,0,0,192.6,0,0,0,4.82,0.96,48.15,0,60.1,7.7,26.93,8.94,26.93,0,0,28.89,0,0,13.48,0,192.6,24.08,96.3,28.94,10.59,0,0,14.44,1967.14

37,09:00-09:15,137,0,0,4.82,96.3,9.92,48.15,0,192.6,0,47.19,52.68,0,0,48.15,54.1,0,0,96.3,19.26,0,0,0,52.96,78.47,12.4,0,0,0,0,37.2,96.3,0,0,37.2,0,12.4,0,0,0,37.2,192.6,24.08,0,4.82,48.15,0,5.78,0.96,48.15,0,67.46,10.59,26.94,8.85,26.94,0,0,28.89,0,0,13.48,0,192.6,24.08,96.3,28.94,10.59,0,0,14.44,2045.24

38,09:15-09:30,151,0,0,4.82,96.3,9.92,48.15,0,192.6,0,47.19,52.68,0,0,48.15,54.1,0,0,96.3,19.26,0,0,0,52.96,109.87,12.4,0,0,0,0,37.2,96.3,0,0,37.2,0,12.4,0,0,0,37.2,192.6,24.08,0,4.82,48.15,0,5.78,0.96,48.15,0,73.73,10.59,26.94,8.85,26.94,0,0,28.89,0,0,13.48,0,192.6,24.08,96.3,28.94,10.59,0,0,14.44,2096.91

39,09:30-09:45,165,0,0,4.82,96.3,9.92,48.15,0,192.6,0,47.19,52.68,0,0,48.15,54.1,0,0,96.3,19.26,0,0,0,52.96,109.87,12.4,0,0,0,0,37.2,96.3,0,0,37.2,0,12.4,0,0,0,37.2,192.6,24.08,0,4.82,48.15,0,5.78,0.96,48.15,0,79.76,10.59,26.94,8.85,26.94,0,0,28.89,0,0,13.48,0,192.6,24.08,96.3,28.94,10.59,0,0,14.44,2116.94

