Time,Block,NR/01082024/31082024/jitpl,NR/01082024/30082024/	NR/01082024/30082024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/01082024/15082024/APL-Raigarh,NR/01082024/15082024/IIPL/JPL-T-BRPL/04/Aug24,NR/01082024/31082024/APPCPL/180/F25/GNA/12763,NR/01082024/31082024/SKS-Raigarh,NR/30092023/26122029/SH-06,NR/30092023/31122025/SH-07,NR/2024/21860/A/30183,NR/2024/22191/C,NR/2024/21956/A/30240,NR/2024/21971/A/30193,NR/01082024/31082024/1000011628-SIEL-BRPL(DISCOM),NR/2024/21868/A/30029,NR/2024/21871/A/30028,NR/2024/22190/C,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01102023/14082046/L_NR_2021_16,NR/2024/22080/A/30040,NR/2024/21875/A/30021,NR/2024/21909/A/30173,NR/2024/21966/A/30052,NR/2024/21872/A/30031,NR/2024/21938/A/30223,NR/2024/21954/A/30234,NR/2024/21983/A/29985,NR/2024/21961/A/30195,NR/2024/22010/A/30283,NR/2024/21876/A/30024,NR/2024/22014/A/29931,NR/01102023/02012046/L_NR_2021_17,NR/2024/21970/A/30192,NR/01102023/23072042/L_NR_2012_04,NR/2024/21943/A/30233,NR/2024/21870/A/30027,NR/2024/21940/A/30237,NR/2024/22198/C,NR/2024/21932/A/30006,NR/02082024/02082024/HPX-TAMCTG-010824-01953,NR/2024/21873/A/30020,NR/2024/22081/A/30182,NR/2024/21869/A/30030,NR/2024/22204/C,NR/2024/21974/A/30196,NR/2024/22205/C,NR/2024/21968/A/30191,NR/2024/22206/C,NR/2024/21918/A/30286,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/2024/22214/C,NR/2024/21814/A/30197,NR/2024/22202/C,NR/2024/21658/A/29935,NR/2024/22042/A/30033,Total
35,08:30-08:45,12.170000,0.000000,192.640000,48.160000,0.000000,12.410000,26.910000,26.910000,48.160000,163.980000,24.080000,37.210000,48.160000,0.000000,0.000000,1.45,0.000000,0,8.670000,0.000000,0.000000,0.000000,0.000000,0.000000,24.000000,0.000000,0.000000,11.690000,0.000000,1.930000,0,12.410000,0.000000,38.530000,0.000000,83.970000,0.000000,0.000000,0.000000,0.000000,240.800000,0.000000,0.000000,37.210000,0.000000,37.210000,0.000000,90.540000,14.990000,0.000000,48.160000,0.000000,0.960000,3.850000,1297.16

36,08:45:09:00,12.170000,0.000000,192.640000,48.160000,0.000000,12.410000,26.910000,26.910000,48.160000,163.980000,24.080000,37.210000,48.160000,0.000000,0.000000,1.36,0.000000,0,8.670000,0.000000,0.000000,0.000000,0.000000,0.000000,24.000000,0.000000,0.000000,11.690000,0.000000,1.930000,0,12.410000,0.000000,38.530000,0.000000,83.970000,0.000000,0.000000,0.000000,0.000000,240.800000,0.000000,0.000000,37.210000,0.000000,37.210000,0.000000,90.540000,14.990000,0.000000,48.160000,0.000000,0.960000,3.850000,1297.07

37,09:00:09:15,12.170000,0.000000,0.000000,0.000000,0.000000,12.410000,26.910000,26.910000,48.160000,163.980000,24.080000,37.210000,0.000000,0.000000,0.000000,2.4,0.000000,0,9.630000,0.000000,192.640000,48.160000,0.000000,0.000000,24.000000,48.160000,0.000000,11.690000,0.000000,1.930000,0,12.410000,0.000000,38.530000,0.000000,83.970000,0.000000,0.000000,0.000000,0.000000,240.800000,0.000000,0.000000,37.210000,0.000000,37.210000,0.000000,90.540000,14.990000,0.000000,48.160000,0.000000,0.960000,3.850000,1299.07

38,09:15-09:30,12.170000,0.000000,0.000000,0.000000,0.000000,12.410000,26.910000,26.910000,48.160000,163.980000,24.080000,37.210000,0.000000,0.000000,0.000000,3.67,0.000000,0,9.630000,0.000000,192.640000,48.160000,0.000000,0.000000,24.000000,48.160000,0.000000,11.690000,0.000000,1.930000,0,12.410000,0.000000,38.530000,0.000000,83.970000,0.000000,0.000000,0.000000,0.000000,240.800000,0.000000,0.000000,37.210000,0.000000,37.210000,0.000000,90.540000,14.990000,0.000000,48.160000,0.000000,0.960000,3.850000,1300.34

39,09:30-09:45,12.170000,0.000000,0.000000,0.000000,0.000000,12.410000,26.910000,26.910000,48.160000,163.980000,24.080000,37.210000,0.000000,0.000000,0.000000,4.86,0.000000,0,11.560000,0.000000,192.640000,48.160000,0.000000,0.000000,24.000000,48.160000,0.000000,11.690000,0.000000,1.930000,0,12.410000,0.000000,38.530000,0.000000,83.970000,0.000000,0.000000,0.000000,0.000000,240.800000,0.000000,0.000000,37.210000,0.000000,37.210000,0.000000,90.540000,14.990000,0.000000,48.160000,0.000000,0.960000,3.850000,1303.46

40,09:45-10:00,12.170000,0.000000,0.000000,0.000000,0.000000,12.410000,26.910000,26.910000,48.160000,163.980000,24.080000,37.210000,0.000000,0.000000,0.000000,5.04,0.000000,0,11.560000,0.000000,192.640000,48.160000,0.000000,0.000000,24.000000,48.160000,0.000000,11.690000,0.000000,1.930000,0,12.410000,0.000000,38.530000,0.000000,83.970000,0.000000,0.000000,0.000000,0.000000,240.800000,0.000000,0.000000,37.210000,0.000000,37.210000,0.000000,90.540000,14.990000,0.000000,48.160000,0.000000,0.960000,3.850000,1303.64

41,10:00-10:15,12.170000,0.000000,0.000000,0.000000,0.000000,12.410000,26.910000,26.910000,48.160000,163.980000,24.080000,37.210000,0.000000,0.000000,0.000000,4.05,0.000000,0,11.560000,0.000000,192.640000,48.160000,0.000000,0.000000,24.000000,48.160000,0.000000,11.690000,0.000000,1.930000,0,12.410000,0.000000,38.530000,0.000000,83.970000,0.000000,0.000000,0.000000,0.000000,240.800000,0.000000,0.000000,37.210000,0.000000,37.210000,0.000000,90.540000,16.830000,0.000000,48.160000,0.000000,0.960000,3.850000,1304.49

42,10:15-10:30,12.170000,0.000000,0.000000,0.000000,0.000000,12.410000,26.910000,26.910000,48.160000,163.980000,24.080000,37.210000,0.000000,0.000000,0.000000,5.34,0.000000,0,11.560000,0.000000,192.640000,48.160000,0.000000,0.000000,24.000000,48.160000,0.000000,11.690000,0.000000,1.930000,0,12.410000,0.000000,38.530000,0.000000,83.970000,0.000000,0.000000,0.000000,0.000000,240.800000,0.000000,0.000000,37.210000,0.000000,37.210000,0.000000,90.540000,16.830000,0.000000,48.160000,0.000000,0.960000,3.850000,1305.78

43,10:30-10:45,12.170000,0.000000,0.000000,0.000000,0.000000,12.410000,26.910000,26.910000,48.160000,163.980000,24.080000,37.210000,0.000000,0.000000,0.000000,7.15,0.000000,0,12.520000,0.000000,192.640000,48.160000,0.000000,0.000000,24.000000,48.160000,0.000000,11.690000,0.000000,1.930000,0,12.410000,0.000000,38.530000,0.000000,83.970000,0.000000,0.000000,0.000000,0.000000,240.800000,0.000000,0.000000,37.210000,0.000000,37.210000,0.000000,90.540000,16.830000,0.000000,48.160000,0.000000,0.960000,3.850000,1308.55

44,10:45-11:00,12.170000,0.000000,0.000000,0.000000,0.000000,12.410000,26.910000,26.910000,48.160000,163.980000,24.080000,37.210000,0.000000,0.000000,0.000000,7.56,0.000000,0,12.520000,0.000000,192.640000,48.160000,0.000000,0.000000,24.000000,48.160000,0.000000,11.690000,0.000000,1.930000,0,12.410000,0.000000,38.530000,0.000000,83.970000,0.000000,0.000000,0.000000,0.000000,240.800000,0.000000,0.000000,37.210000,0.000000,37.210000,0.000000,90.540000,16.830000,0.000000,48.160000,0.000000,0.960000,3.850000,1308.96

45,11:00-11:15,12.170000,0.000000,0.000000,0.000000,0.000000,12.410000,26.910000,26.910000,48.160000,163.980000,24.080000,37.210000,0.000000,0.000000,0.000000,7.86,0.000000,0,12.520000,0.000000,192.640000,48.160000,0.000000,0.000000,24.000000,48.160000,0.000000,11.690000,0.000000,1.930000,0,12.410000,0.000000,38.530000,0.000000,83.970000,0.000000,0.000000,0.000000,0.000000,240.800000,0.000000,0.000000,37.210000,0.000000,37.210000,0.000000,90.540000,16.830000,0.000000,48.160000,0.000000,0.960000,3.850000,1309.26

46,11:15-11:30,12.170000,0.000000,0.000000,0.000000,0.000000,12.410000,26.910000,26.910000,48.160000,163.980000,24.080000,37.210000,0.000000,0.000000,0.000000,9.27,0.000000,0,12.520000,0.000000,192.640000,48.160000,0.000000,0.000000,24.000000,48.160000,0.000000,11.690000,0.000000,1.930000,0,12.410000,0.000000,38.530000,0.000000,83.970000,0.000000,0.000000,0.000000,0.000000,240.800000,0.000000,0.000000,37.210000,0.000000,37.210000,0.000000,90.540000,16.830000,0.000000,48.160000,0.000000,0.960000,3.850000,1310.67

47,11:30-11:45,12.170000,0.000000,0.000000,0.000000,0.000000,12.410000,26.910000,26.910000,48.160000,163.980000,24.080000,37.210000,0.000000,0.000000,0.000000,9.55,0.000000,0,12.520000,0.000000,192.640000,48.160000,0.000000,0.000000,24.000000,48.160000,0.000000,11.690000,0.000000,1.930000,0,12.410000,0.000000,38.530000,0.000000,83.970000,0.000000,0.000000,0.000000,0.000000,240.800000,0.000000,0.000000,37.210000,0.000000,37.210000,0.000000,90.540000,16.830000,0.000000,48.160000,0.000000,0.960000,3.850000,1310.95

48,11:45-12:00,12.170000,0.000000,0.000000,0.000000,0.000000,12.410000,26.910000,26.910000,48.160000,163.980000,24.080000,37.210000,0.000000,0.000000,0.000000,7.9,0.000000,0,12.520000,0.000000,192.640000,48.160000,0.000000,0.000000,24.000000,48.160000,0.000000,11.690000,0.000000,1.930000,0,12.410000,0.000000,38.530000,0.000000,83.970000,0.000000,0.000000,0.000000,0.000000,240.800000,0.000000,0.000000,37.210000,0.000000,37.210000,0.000000,90.540000,16.830000,0.000000,48.160000,0.000000,0.960000,3.850000,1309.3

49,12:00-12:15,12.170000,0.000000,0.000000,0.000000,0.000000,12.410000,26.910000,26.910000,48.160000,163.980000,24.080000,37.210000,0.000000,0.000000,0.000000,7.08,0.000000,0,12.520000,0.000000,192.640000,48.160000,0.000000,0.000000,24.000000,48.160000,0.000000,11.690000,0.000000,1.930000,0,12.410000,0.000000,38.530000,0.000000,83.970000,0.000000,0.000000,0.000000,0.000000,240.800000,0.000000,0.000000,37.210000,0.000000,37.210000,0.000000,90.540000,16.830000,0.000000,48.160000,0.000000,0.960000,3.850000,1308.48

50,12:15-12:30,12.170000,0.000000,0.000000,0.000000,0.000000,12.410000,26.910000,26.910000,48.160000,163.980000,24.080000,37.210000,0.000000,0.000000,0.000000,6.49,0.000000,0,12.520000,0.000000,192.640000,48.160000,0.000000,0.000000,24.000000,48.160000,0.000000,11.690000,0.000000,1.930000,0,12.410000,0.000000,38.530000,0.000000,83.970000,0.000000,0.000000,0.000000,0.000000,240.800000,0.000000,0.000000,37.210000,0.000000,37.210000,0.000000,90.540000,16.830000,0.000000,48.160000,0.000000,0.960000,3.850000,1307.89

51,12:30-12:45,12.170000,0.000000,0.000000,0.000000,0.000000,12.410000,26.910000,26.910000,48.160000,163.980000,24.080000,37.210000,0.000000,0.000000,0.000000,3.76,0.000000,0,12.520000,0.000000,192.640000,48.160000,0.000000,0.000000,24.000000,48.160000,0.000000,11.690000,0.000000,1.930000,0,12.410000,0.000000,38.530000,0.000000,83.970000,0.000000,0.000000,0.000000,0.000000,240.800000,0.000000,0.000000,37.210000,0.000000,37.210000,0.000000,90.540000,16.830000,0.000000,48.160000,0.000000,0.960000,3.850000,1305.16

52,12:45-13:00,12.170000,0.000000,0.000000,0.000000,0.000000,12.410000,26.910000,26.910000,48.160000,163.980000,24.080000,37.210000,0.000000,0.000000,0.000000,3.48,0.000000,0,12.520000,0.000000,192.640000,48.160000,0.000000,0.000000,24.000000,48.160000,0.000000,11.690000,0.000000,1.930000,0,12.410000,0.000000,38.530000,0.000000,83.970000,0.000000,0.000000,0.000000,0.000000,240.800000,0.000000,0.000000,37.210000,0.000000,37.210000,0.000000,90.540000,16.830000,0.000000,48.160000,0.000000,0.960000,3.850000,1304.88

53,13:00-13:15,12.170000,0.000000,0.000000,0.000000,0.000000,12.410000,26.910000,26.910000,48.160000,163.980000,24.080000,37.210000,0.000000,0.000000,0.000000,4.06,0.000000,0,12.520000,0.000000,192.640000,48.160000,0.000000,0.000000,24.000000,48.160000,0.000000,11.690000,0.000000,1.930000,0,12.410000,0.000000,38.530000,0.000000,83.970000,0.000000,0.000000,0.000000,0.000000,240.800000,0.000000,0.000000,37.210000,0.000000,37.210000,0.000000,90.540000,16.830000,0.000000,48.160000,0.000000,0.960000,3.850000,1305.46

54,13:15-13:30,12.170000,0.000000,0.000000,0.000000,0.000000,12.410000,26.910000,26.910000,48.160000,163.980000,24.080000,37.210000,0.000000,0.000000,0.000000,6.63,0.000000,0,12.520000,0.000000,192.640000,48.160000,0.000000,0.000000,24.000000,48.160000,0.000000,11.690000,0.000000,1.930000,0,12.410000,0.000000,38.530000,0.000000,83.970000,0.000000,0.000000,0.000000,0.000000,240.800000,0.000000,0.000000,37.210000,0.000000,37.210000,0.000000,90.540000,16.830000,0.000000,48.160000,0.000000,0.960000,3.850000,1308.03

55,13:30-13:45,12.170000,0.000000,0.000000,0.000000,0.000000,12.410000,26.910000,26.910000,48.160000,163.980000,24.080000,37.210000,0.000000,0.000000,0.000000,7.04,0.000000,0,12.520000,0.000000,192.640000,48.160000,0.000000,0.000000,24.000000,48.160000,0.000000,11.690000,0.000000,1.930000,0,12.410000,0.000000,38.530000,0.000000,83.970000,0.000000,0.000000,0.000000,0.000000,240.800000,0.000000,0.000000,37.210000,0.000000,37.210000,0.000000,90.540000,16.830000,0.000000,48.160000,0.000000,0.960000,3.850000,1308.44

56,13:45-14:00,12.170000,0.000000,0.000000,0.000000,0.000000,12.410000,26.910000,26.910000,48.160000,163.980000,24.080000,37.210000,0.000000,0.000000,0.000000,7.45,0.000000,0,12.520000,0.000000,192.640000,48.160000,0.000000,0.000000,24.000000,48.160000,0.000000,11.690000,0.000000,1.930000,0,12.410000,0.000000,38.530000,0.000000,83.970000,0.000000,0.000000,0.000000,0.000000,240.800000,0.000000,0.000000,37.210000,0.000000,37.210000,0.000000,90.540000,16.830000,0.000000,48.160000,0.000000,0.960000,3.850000,1308.85

57,14:00-14:15,12.170000,0.000000,0.000000,0.000000,0.000000,12.410000,26.910000,26.910000,48.160000,163.980000,24.080000,37.210000,0.000000,0.000000,0.000000,6.83,0.000000,0,12.520000,0.000000,192.640000,48.160000,0.000000,0.000000,24.000000,48.160000,0.000000,11.690000,0.000000,1.930000,0,12.410000,0.000000,38.530000,0.000000,83.970000,0.000000,0.000000,0.000000,0.000000,240.800000,0.000000,0.000000,37.210000,0.000000,37.210000,0.000000,90.540000,16.830000,0.000000,48.160000,0.000000,0.960000,3.850000,1308.23

58,14:15-14:30,12.170000,0.000000,0.000000,0.000000,0.000000,12.410000,26.910000,26.910000,48.160000,163.980000,24.080000,37.210000,0.000000,0.000000,0.000000,4.03,0.000000,0,12.520000,0.000000,192.640000,48.160000,0.000000,0.000000,24.000000,48.160000,0.000000,11.690000,0.000000,1.930000,0,12.410000,0.000000,38.530000,0.000000,83.970000,0.000000,0.000000,0.000000,0.000000,240.800000,0.000000,0.000000,37.210000,0.000000,37.210000,0.000000,90.540000,16.830000,0.000000,48.160000,0.000000,0.960000,3.850000,1305.43

59,14:30-14:45,12.170000,0.000000,0.000000,0.000000,0.000000,12.410000,26.910000,26.910000,48.160000,163.980000,24.080000,37.210000,0.000000,0.000000,0.000000,6.11,0.000000,0,12.520000,0.000000,192.640000,48.160000,0.000000,0.000000,24.000000,48.160000,0.000000,11.690000,0.000000,1.930000,0,12.410000,0.000000,38.530000,0.000000,83.970000,0.000000,0.000000,0.000000,0.000000,240.800000,0.000000,0.000000,37.210000,0.000000,37.210000,0.000000,90.540000,16.830000,0.000000,48.160000,0.000000,0.960000,3.850000,1307.51

60,14:45-15:00,12.170000,0.000000,0.000000,0.000000,0.000000,12.410000,26.910000,26.910000,48.160000,163.980000,24.080000,37.210000,0.000000,0.000000,0.000000,6.49,0.000000,0,12.520000,0.000000,192.640000,48.160000,0.000000,0.000000,24.000000,48.160000,0.000000,11.690000,0.000000,1.930000,0,12.410000,0.000000,38.530000,0.000000,83.970000,0.000000,0.000000,0.000000,0.000000,240.800000,0.000000,0.000000,37.210000,0.000000,37.210000,0.000000,90.540000,16.830000,0.000000,48.160000,0.000000,0.960000,3.850000,1307.89

61,15:00-15:15,12.170000,0.000000,0.000000,0.000000,0.000000,12.410000,26.910000,26.910000,48.160000,163.980000,24.080000,37.210000,0.000000,0.000000,0.000000,4.14,0.000000,0,12.520000,0.000000,192.640000,48.160000,0.000000,0.000000,24.000000,48.160000,0.000000,11.690000,0.000000,1.930000,0,12.410000,0.000000,38.530000,0.000000,83.970000,0.000000,0.000000,0.000000,0.000000,240.800000,0.000000,0.000000,37.210000,0.000000,37.210000,0.000000,90.540000,16.830000,38.600000,48.160000,0.000000,0.960000,3.850000,1344.14

62,15:15-15:30,12.170000,0.000000,0.000000,0.000000,0.000000,12.410000,26.910000,26.910000,48.160000,163.980000,24.080000,37.210000,0.000000,0.000000,0.000000,4.07,0.000000,0,12.520000,0.000000,192.640000,48.160000,0.000000,0.000000,24.000000,48.160000,0.000000,11.690000,0.000000,1.930000,0,12.410000,0.000000,38.530000,0.000000,83.970000,0.000000,0.000000,0.000000,0.000000,240.800000,0.000000,0.000000,37.210000,0.000000,37.210000,0.000000,90.540000,16.830000,37.330000,48.160000,0.000000,0.960000,3.850000,1342.8

63,15:30-15:45,12.170000,0.000000,0.000000,0.000000,0.000000,12.410000,26.910000,26.910000,48.160000,163.980000,24.080000,37.210000,0.000000,0.000000,0.000000,3.04,0.000000,0,12.520000,0.000000,192.640000,48.160000,0.000000,0.000000,24.000000,48.160000,0.000000,11.690000,0.000000,1.930000,0,12.410000,0.000000,38.530000,0.000000,83.970000,0.000000,0.000000,0.000000,0.000000,240.800000,0.000000,0.000000,37.210000,0.000000,37.210000,0.000000,90.540000,16.830000,36.980000,48.160000,0.000000,0.960000,3.850000,1341.42

64,15:45-16:00,12.170000,0.000000,0.000000,0.000000,0.000000,12.410000,26.910000,26.910000,48.160000,163.980000,24.080000,37.210000,0.000000,0.000000,0.000000,3.07,0.000000,0,12.520000,0.000000,192.640000,48.160000,0.000000,0.000000,24.000000,48.160000,0.000000,11.690000,0.000000,1.930000,0,12.410000,0.000000,38.530000,0.000000,83.970000,0.000000,0.000000,0.000000,0.000000,240.800000,0.000000,0.000000,37.210000,0.000000,37.210000,0.000000,90.540000,16.830000,37.040000,48.160000,0.000000,0.960000,3.850000,1341.51

65,16:00-16:15,12.170000,0.000000,0.000000,0.000000,0.000000,12.410000,26.910000,26.910000,48.160000,163.980000,24.080000,37.210000,0.000000,0.000000,0.000000,2.22,0.000000,0,12.520000,0.000000,192.640000,48.160000,0.000000,0.000000,24.000000,48.160000,0.000000,11.690000,0.000000,1.930000,0,12.410000,0.000000,38.530000,0.000000,83.970000,0.000000,0.000000,0.000000,0.000000,240.800000,0.000000,0.000000,37.210000,0.000000,37.210000,0.000000,90.540000,16.830000,36.510000,48.160000,0.000000,0.870000,3.850000,1340.04

66,16:15-16:30,12.170000,0.000000,0.000000,0.000000,0.000000,12.410000,26.910000,26.910000,48.160000,163.980000,24.080000,37.210000,0.000000,0.000000,0.000000,2.3,0.000000,0,12.520000,0.000000,192.640000,48.160000,0.000000,0.000000,24.000000,48.160000,0.000000,11.690000,0.000000,1.930000,0,12.410000,0.000000,38.530000,0.000000,83.970000,0.000000,0.000000,0.000000,0.000000,240.800000,0.000000,0.000000,37.210000,0.000000,37.210000,0.000000,90.540000,16.830000,35.590000,48.160000,0.000000,0.870000,3.850000,1339.2

67,16:30-16:45,12.170000,0.000000,0.000000,0.000000,0.000000,12.410000,26.910000,26.910000,48.160000,163.980000,24.080000,37.210000,0.000000,0.000000,0.000000,1.98,0.000000,0,12.520000,0.000000,192.640000,48.160000,0.000000,0.000000,24.000000,48.160000,0.000000,11.690000,0.000000,1.930000,0,12.410000,0.000000,38.530000,0.000000,83.970000,0.000000,0.000000,0.000000,0.000000,240.800000,0.000000,0.000000,37.210000,0.000000,37.210000,0.000000,90.540000,16.830000,33.640000,48.160000,0.000000,0.870000,3.850000,1336.93

68,16:45-17:00,12.170000,0.000000,0.000000,0.000000,0.000000,12.410000,26.910000,26.910000,48.160000,163.980000,24.080000,37.210000,0.000000,0.000000,0.000000,1.27,0.000000,0,12.520000,0.000000,192.640000,48.160000,0.000000,0.000000,24.000000,48.160000,0.000000,11.690000,0.000000,1.930000,0,12.410000,0.000000,38.530000,0.000000,83.970000,0.000000,0.000000,0.000000,0.000000,240.800000,0.000000,0.000000,37.210000,0.000000,37.210000,0.000000,90.540000,16.830000,35.500000,48.160000,0.000000,0.870000,3.850000,1338.08

69,17:00-17:15,12.170000,0.000000,192.640000,48.160000,0.000000,12.410000,26.910000,26.910000,48.160000,163.980000,24.080000,37.210000,48.160000,0.000000,0.000000,1.45,0.000000,0,12.520000,0.000000,0.000000,0.000000,0.000000,0.000000,24.000000,0.000000,0.000000,11.690000,0.000000,1.930000,0,12.410000,0.000000,38.530000,0.000000,83.970000,0.000000,0.000000,0.000000,0.000000,240.800000,0.000000,0.000000,37.210000,0.000000,37.210000,0.000000,90.540000,16.830000,38.640000,48.160000,0.000000,0.870000,3.850000,1341.4

70,17:15-17:30,12.170000,0.000000,192.640000,48.160000,0.000000,12.410000,26.910000,26.910000,48.160000,163.980000,24.080000,37.210000,48.160000,0.000000,0.000000,1.6,0.000000,0,12.520000,0.000000,0.000000,0.000000,0.000000,0.000000,24.000000,0.000000,0.000000,11.690000,0.000000,1.930000,0,12.410000,0.000000,38.530000,0.000000,83.970000,0.000000,0.000000,0.000000,0.000000,240.800000,0.000000,0.000000,37.210000,0.000000,37.210000,0.000000,90.540000,16.830000,39.060000,48.160000,0.000000,0.870000,3.850000,1341.97

71,17:30-17:45,12.170000,0.000000,192.640000,48.160000,0.000000,12.410000,26.910000,26.910000,48.160000,163.980000,24.080000,37.210000,48.160000,0.000000,0.000000,1.14,0.000000,0,12.520000,0.000000,0.000000,0.000000,0.000000,0.000000,24.000000,0.000000,0.000000,11.690000,0.000000,1.930000,0,12.410000,0.000000,38.530000,0.000000,83.970000,0.000000,0.000000,0.000000,0.000000,240.800000,0.000000,0.000000,37.210000,0.000000,37.210000,0.000000,90.540000,16.830000,38.840000,48.160000,0.000000,0.870000,3.850000,1341.29

72,17:45-18:00,12.170000,0.000000,192.640000,48.160000,0.000000,12.410000,26.910000,26.910000,48.160000,163.980000,24.080000,37.210000,48.160000,0.000000,0.000000,0.76,0.000000,0,12.520000,0.000000,0.000000,0.000000,0.000000,0.000000,24.000000,0.000000,0.000000,11.690000,0.000000,1.930000,0,12.410000,0.000000,38.530000,0.000000,83.970000,0.000000,0.000000,0.000000,0.000000,240.800000,0.000000,0.000000,37.210000,0.000000,37.210000,0.000000,90.540000,16.830000,39.180000,48.160000,0.000000,0.870000,3.850000,1341.25

73,18:00-18:15,12.170000,0.000000,192.640000,48.160000,0.000000,12.410000,26.910000,26.910000,48.160000,163.980000,24.080000,37.210000,48.160000,0.000000,0.000000,0.68,0.000000,0,11.560000,0.000000,0.000000,0.000000,0.000000,0.000000,24.000000,0.000000,0.000000,0.000000,0.000000,1.930000,0,12.410000,0.000000,38.530000,0.000000,83.970000,0.000000,0.000000,0.000000,0.000000,240.800000,0.000000,0.000000,37.210000,0.000000,37.210000,0.000000,90.540000,18.200000,39.050000,48.160000,0.000000,0.870000,3.850000,1329.76

74,18:15-18:30,12.170000,0.000000,192.640000,48.160000,0.000000,12.410000,26.910000,26.910000,48.160000,163.980000,24.080000,37.210000,48.160000,0.000000,0.000000,0.35,0.000000,0,11.560000,0.000000,0.000000,0.000000,0.000000,0.000000,24.000000,0.000000,0.000000,0.000000,0.000000,1.930000,0,12.410000,0.000000,38.530000,0.000000,83.970000,0.000000,0.000000,0.000000,0.000000,240.800000,0.000000,0.000000,37.210000,0.000000,37.210000,0.000000,90.540000,18.200000,37.860000,48.160000,0.000000,0.870000,3.850000,1328.24

75,18:30-18:45,12.170000,0.000000,192.640000,48.160000,0.000000,12.410000,26.910000,26.910000,48.160000,163.980000,43.340000,37.210000,48.160000,0.000000,0.000000,0.12,0.000000,0,11.560000,0.000000,0.000000,0.000000,0.000000,0.000000,24.000000,0.000000,0.000000,0.000000,0.000000,1.930000,0,12.410000,0.000000,38.530000,0.000000,83.970000,0.000000,0.000000,0.000000,0.000000,240.800000,0.000000,0.000000,37.210000,0.000000,37.210000,0.000000,90.540000,18.200000,39.510000,48.160000,0.000000,0.870000,3.850000,1348.92

76,18:45-19:00,12.170000,0.000000,192.640000,48.160000,0.000000,12.410000,26.910000,26.910000,48.160000,163.980000,43.340000,37.210000,48.160000,0.000000,0.000000,0,0.000000,0,11.560000,0.000000,0.000000,0.000000,0.000000,0.000000,24.000000,0.000000,0.000000,0.000000,0.000000,1.930000,0,12.410000,0.000000,38.530000,0.000000,83.970000,0.000000,0.000000,0.000000,0.000000,240.800000,0.000000,0.000000,37.210000,0.000000,37.210000,0.000000,90.540000,18.200000,39.480000,48.160000,0.000000,0.870000,3.850000,1348.77

77,19:00-19:15,12.170000,0.000000,192.640000,48.160000,0.000000,12.410000,0.000000,0.000000,48.160000,163.980000,43.340000,37.210000,48.160000,0.000000,0.000000,0,0.000000,0,11.560000,0.000000,0.000000,0.000000,0.000000,0.000000,24.000000,0.000000,0.000000,0.000000,0.000000,1.930000,0,12.410000,0.000000,38.530000,0.000000,83.970000,48.160000,0.000000,0.000000,0.000000,240.800000,0.000000,20.710000,37.210000,48.160000,37.210000,48.160000,90.540000,18.200000,39.160000,48.160000,0.000000,0.920000,3.850000,1459.87

78,19:15-19:30,12.170000,0.000000,192.640000,48.160000,0.000000,12.410000,0.000000,0.000000,48.160000,163.980000,43.340000,37.210000,48.160000,0.000000,0.000000,0,0.000000,0,11.560000,0.000000,0.000000,0.000000,0.000000,0.000000,24.000000,0.000000,0.000000,0.000000,0.000000,1.930000,0,12.410000,0.000000,38.530000,0.000000,83.970000,48.160000,0.000000,0.000000,0.000000,240.800000,0.000000,20.710000,37.210000,48.160000,37.210000,48.160000,90.540000,18.200000,40.040000,48.160000,0.000000,0.920000,3.850000,1460.75

79,19:30-19:45,12.170000,0.000000,192.640000,48.160000,0.000000,12.410000,0.000000,0.000000,48.160000,163.980000,43.340000,37.210000,48.160000,0.000000,0.000000,0,0.000000,0,11.560000,0.000000,0.000000,0.000000,0.000000,0.000000,24.000000,0.000000,0.000000,0.000000,0.000000,1.930000,0,12.410000,0.000000,38.530000,0.000000,83.970000,48.160000,0.000000,0.000000,0.000000,240.800000,0.000000,20.710000,37.210000,48.160000,37.210000,48.160000,90.540000,18.200000,40.390000,48.160000,0.000000,0.920000,3.850000,1461.1

80,19:45-20:00,12.170000,0.000000,192.640000,48.160000,0.000000,12.410000,0.000000,0.000000,48.160000,163.980000,43.340000,37.210000,48.160000,0.000000,0.000000,0,0.000000,0,11.560000,0.000000,0.000000,0.000000,0.000000,0.000000,24.000000,0.000000,0.000000,0.000000,0.000000,1.930000,0,12.410000,0.000000,38.530000,0.000000,83.970000,48.160000,0.000000,0.000000,0.000000,240.800000,0.000000,20.710000,37.210000,48.160000,37.210000,48.160000,90.540000,18.200000,38.820000,48.160000,0.000000,0.920000,3.850000,1459.53

