Time,Block,NR/2023/15655/D,NR/2023/14745/A,NR/2023/12422/A,NR/2023/12167/A,NR/2023/15296/F,NR/2023/15057/F,NR/2023/15654/D,NR/2023/14898/A,NR/2023/15306/F,NR/2023/15674/C,NR/2023/12168/A,NR/2023/12592/A,NR/2023/12148/A,NR/2023/15673/C,NR/2023/15670/C,NR/2023/12347/A,NR/2023/15402/F,NR/2023/14737/A,NR/2023/15656/D,NR/2023/12591/A,NR/2023/15675/C,NR/2023/15412/F,NR/2023/12052/A,NR/2023/15304/F,NR/2023/13635/A,NR/2023/12053/A,NR/2023/15309/F,NR/2023/13862/A,NR/2023/14746/A,NR/2023/14895/A,NR/2023/15303/F,NR/2023/12431/A,NR/2023/15651/D,Total

3,00:30-00:45,0.000000,24.190000,36.870000,24.190000,0.970000,0.870000,38.710000,77.420000,0.930000,0.000000,46.640000,85.140000,22.260000,183.860000,18.530000,98.710000,0.000000,62.900000,18.390000,42.570000,6.060000,193.540000,63.140000,0.580000,21.290000,36.510000,4.840000,23.160000,86.030000,95.800000,0.910000,108.870000,0,1423.88

4,00:45-01:00,0.000000,24.190000,36.870000,24.190000,0.970000,0.870000,38.710000,77.420000,0.930000,0.000000,46.640000,85.140000,22.260000,145.160000,18.530000,98.710000,0.000000,62.900000,18.390000,42.570000,6.060000,193.540000,63.140000,0.580000,21.290000,36.510000,4.840000,23.160000,86.030000,95.800000,0.910000,108.870000,0,1385.18

5,01:00-01:15,0.000000,24.190000,36.870000,24.190000,0.970000,0.680000,38.710000,77.420000,0.930000,0.000000,46.640000,85.140000,22.260000,66.770000,18.530000,98.710000,0.000000,62.900000,18.390000,42.570000,6.060000,193.540000,63.140000,0.580000,21.290000,36.510000,4.840000,23.160000,86.030000,95.800000,0.910000,108.870000,0,1306.6

6,01:15-01:30,0.000000,24.190000,36.870000,24.190000,0.970000,0.680000,38.710000,77.420000,0.930000,0.000000,46.640000,85.140000,22.260000,29.030000,18.530000,98.710000,0.000000,62.900000,18.390000,42.570000,6.060000,193.540000,63.140000,0.580000,21.290000,36.510000,4.840000,23.160000,86.030000,95.800000,0.910000,108.870000,0,1268.86

7,01:30-01:45,0.000000,24.190000,36.870000,24.190000,0.970000,0.680000,38.710000,77.420000,0.930000,0.000000,46.640000,85.140000,22.260000,0.000000,18.530000,98.710000,0.000000,62.900000,18.390000,42.570000,6.060000,193.540000,63.140000,0.580000,21.290000,36.510000,4.840000,23.160000,86.030000,95.800000,0.910000,108.870000,0,1239.83

8,01:45-02:00,0.000000,24.190000,36.870000,24.190000,0.970000,0.680000,38.710000,77.420000,0.930000,0.000000,46.640000,85.140000,22.260000,0.000000,18.530000,98.710000,0.000000,62.900000,18.390000,42.570000,6.060000,193.540000,63.140000,0.580000,21.290000,36.510000,4.840000,23.160000,86.030000,95.800000,0.910000,108.870000,0,1239.83

9,02:00-02:15,0.000000,24.190000,36.870000,24.190000,0.970000,0.580000,38.710000,77.420000,0.930000,0.000000,46.640000,85.140000,22.260000,0.000000,18.530000,98.710000,0.000000,62.900000,18.390000,42.570000,6.060000,193.540000,63.140000,0.580000,21.290000,36.510000,4.840000,23.160000,86.030000,95.800000,0.910000,108.870000,0,1239.73

10,02:15-02:30,0.000000,24.190000,36.870000,24.190000,0.970000,0.580000,38.710000,77.420000,0.930000,0.000000,46.640000,85.140000,22.260000,0.000000,18.530000,98.710000,0.000000,62.900000,18.390000,42.570000,6.060000,193.540000,63.140000,0.580000,21.290000,36.510000,4.840000,23.160000,86.030000,95.800000,0.910000,108.870000,0,1239.73

11,02:30-02:45,0.000000,24.190000,36.870000,24.190000,0.970000,0.580000,38.710000,77.420000,0.930000,0.000000,46.640000,85.140000,22.260000,0.000000,18.530000,98.710000,0.000000,62.900000,18.390000,42.570000,6.060000,193.540000,63.140000,0.580000,21.290000,36.510000,4.840000,23.160000,86.030000,95.800000,0.910000,108.870000,0,1239.73

12,02:45-03:00,0.000000,24.190000,36.870000,24.190000,0.970000,0.580000,38.710000,77.420000,0.930000,0.000000,46.640000,85.140000,22.260000,0.000000,18.530000,98.710000,0.000000,62.900000,18.390000,42.570000,6.060000,193.540000,63.140000,0.580000,21.290000,36.510000,4.840000,23.160000,86.030000,95.800000,0.910000,108.870000,0,1239.73

13,03:00-03:15,0.000000,24.190000,36.870000,24.190000,0.970000,0.530000,38.710000,77.420000,0.930000,0.000000,46.640000,85.140000,22.260000,0.000000,18.530000,98.710000,0.000000,62.900000,18.390000,42.570000,6.060000,193.540000,63.140000,0.580000,21.290000,0.000000,4.840000,0.000000,86.030000,95.800000,0.910000,108.870000,0,1180.01

14,03:15-03:30,0.000000,24.190000,36.870000,24.190000,0.970000,0.530000,38.710000,77.420000,0.930000,0.000000,46.640000,85.140000,22.260000,0.000000,18.530000,98.710000,0.000000,62.900000,18.390000,42.570000,6.060000,193.540000,63.140000,0.580000,21.290000,0.000000,4.840000,0.000000,86.030000,95.800000,0.910000,108.870000,0,1180.01

15,03:30-03:45,0.000000,24.190000,36.870000,24.190000,0.970000,0.530000,38.710000,77.420000,0.930000,0.000000,46.640000,85.140000,22.260000,0.000000,18.530000,98.710000,0.000000,62.900000,18.390000,42.570000,6.060000,193.540000,63.140000,0.580000,21.290000,0.000000,4.840000,0.000000,86.030000,95.800000,0.910000,108.870000,0,1180.01

16,03:45-04:00,0.000000,24.190000,36.870000,24.190000,0.970000,0.530000,38.710000,77.420000,0.930000,0.000000,46.640000,85.140000,22.260000,0.000000,18.530000,98.710000,0.000000,62.900000,18.390000,42.570000,6.060000,193.540000,63.140000,0.580000,21.290000,0.000000,4.840000,0.000000,86.030000,95.800000,0.910000,108.870000,0,1180.01

17,04:00-04:15,0.000000,24.190000,36.870000,24.190000,0.970000,0.530000,38.710000,77.420000,0.930000,0.000000,46.640000,85.140000,22.260000,0.000000,18.530000,98.710000,0.000000,62.900000,18.390000,42.570000,6.060000,193.540000,63.140000,0.580000,21.290000,0.000000,4.840000,0.000000,86.030000,95.800000,0.910000,108.870000,0,1180.01

18,04:15-04:30,0.000000,24.190000,36.870000,24.190000,0.970000,0.530000,38.710000,77.420000,0.930000,0.000000,46.640000,85.140000,22.260000,0.000000,18.530000,98.710000,0.000000,62.900000,18.390000,42.570000,6.060000,193.540000,63.140000,0.580000,21.290000,0.000000,4.840000,0.000000,86.030000,95.800000,0.910000,108.870000,0,1180.01

19,04:30-04:45,0.000000,24.190000,36.870000,24.190000,0.970000,0.530000,38.710000,77.420000,0.930000,0.000000,46.640000,85.140000,22.260000,0.000000,18.530000,98.710000,0.000000,62.900000,18.390000,42.570000,6.060000,193.540000,63.140000,0.580000,21.290000,0.000000,4.840000,0.000000,86.030000,95.800000,0.910000,108.870000,0,1180.01

20,04:45-05:00,0.000000,24.190000,36.870000,24.190000,0.970000,0.530000,38.710000,77.420000,0.930000,0.000000,46.640000,85.140000,22.260000,0.000000,18.530000,98.710000,0.000000,62.900000,18.390000,42.570000,6.060000,193.540000,63.140000,0.580000,21.290000,0.000000,4.840000,0.000000,86.030000,95.800000,0.910000,108.870000,0,1180.01

21,05:00-05:15,0.000000,24.190000,36.870000,24.190000,0.970000,0.530000,38.710000,77.420000,0.930000,0.000000,46.640000,85.140000,22.260000,0.000000,18.530000,0.000000,0.000000,62.900000,18.390000,42.570000,5.040000,193.540000,63.140000,0.580000,21.290000,0.000000,4.840000,0.000000,86.030000,95.800000,0.910000,108.870000,0,1080.28

22,05:15-05:30,0.000000,24.190000,36.870000,24.190000,0.970000,0.530000,38.710000,77.420000,0.930000,0.000000,46.640000,85.140000,22.260000,0.000000,18.530000,0.000000,0.000000,62.900000,18.390000,42.570000,5.040000,193.540000,63.140000,0.580000,21.290000,0.000000,4.840000,0.000000,86.030000,95.800000,0.910000,108.870000,0,1080.28

23,05:30-05:45,0.000000,24.190000,36.870000,24.190000,0.970000,0.530000,0.000000,77.420000,0.930000,0.000000,46.640000,85.140000,22.260000,0.000000,18.530000,0.000000,0.000000,62.900000,0.000000,42.570000,5.040000,193.540000,63.140000,0.580000,21.290000,0.000000,4.840000,0.000000,86.030000,95.800000,0.910000,108.870000,0,1023.18

24,05:45-06:00,0.000000,24.190000,36.870000,24.190000,0.970000,0.530000,0.000000,77.420000,0.930000,0.000000,46.640000,85.140000,22.260000,0.000000,18.530000,0.000000,0.000000,62.900000,0.000000,42.570000,5.040000,193.540000,63.140000,0.580000,21.290000,0.000000,4.840000,0.000000,86.030000,95.800000,0.910000,108.870000,0,1023.18

25,06:00-06:15,0.000000,24.190000,0.000000,24.190000,0.970000,0.680000,0.000000,77.420000,0.930000,0.000000,46.640000,85.140000,22.260000,0.000000,18.530000,0.000000,0.000000,62.900000,0.000000,42.570000,5.040000,193.540000,63.140000,0.580000,21.290000,0.000000,4.840000,0.000000,0.000000,95.800000,0.910000,108.870000,0,900.43

26,06:15-06:30,0.000000,24.190000,0.000000,24.190000,0.970000,0.680000,0.000000,77.420000,0.930000,0.000000,46.640000,85.140000,22.260000,0.000000,18.530000,0.000000,0.000000,62.900000,0.000000,42.570000,5.040000,193.540000,63.140000,0.580000,21.290000,0.000000,4.840000,0.000000,0.000000,95.800000,0.910000,108.870000,0.1,900.53

27,06:30-06:45,0.000000,24.190000,0.000000,24.190000,0.970000,0.680000,0.000000,77.420000,0.930000,0.000000,46.640000,85.140000,22.260000,0.000000,18.530000,0.000000,0.000000,62.900000,0.000000,42.570000,5.040000,193.540000,63.140000,0.580000,21.290000,0.000000,4.840000,0.000000,0.000000,95.800000,0.910000,108.870000,0.51,900.94

28,06:45-07:00,0.000000,24.190000,0.000000,24.190000,0.970000,0.680000,0.000000,77.420000,0.930000,0.000000,46.640000,85.140000,22.260000,0.000000,18.530000,0.000000,0.000000,62.900000,0.000000,42.570000,5.040000,193.540000,63.140000,0.580000,21.290000,0.000000,4.840000,0.000000,0.000000,95.800000,0.910000,108.870000,0.89,901.32

29,07:00-07:15,0.000000,24.190000,0.000000,24.190000,0.970000,0.680000,0.000000,77.420000,0.930000,0.000000,46.640000,85.140000,22.260000,0.000000,18.530000,0.000000,0.000000,62.900000,0.000000,42.570000,5.040000,193.540000,63.140000,0.580000,21.290000,0.000000,4.840000,0.000000,0.000000,95.800000,0.910000,108.870000,1.32,901.75

30,07:15-07:30,0.000000,24.190000,0.000000,24.190000,0.970000,0.680000,0.000000,77.420000,0.930000,0.000000,46.640000,85.140000,22.260000,0.000000,18.530000,0.000000,0.000000,62.900000,0.000000,42.570000,5.040000,193.540000,63.140000,0.580000,21.290000,0.000000,4.840000,0.000000,0.000000,95.800000,0.910000,108.870000,1.77,902.2

31,07:30-07:45,0.000000,24.190000,0.000000,24.190000,0.970000,0.680000,0.000000,77.420000,0.930000,0.000000,46.640000,85.140000,22.260000,0.000000,18.530000,0.000000,0.000000,62.900000,0.000000,42.570000,5.040000,193.540000,63.140000,0.580000,21.290000,0.000000,4.840000,0.000000,0.000000,95.800000,0.910000,108.870000,2.32,902.75

32,07:45:08:00,0.000000,24.190000,0.000000,24.190000,0.970000,0.680000,0.000000,77.420000,0.930000,0.000000,46.640000,85.140000,22.260000,0.000000,18.530000,0.000000,0.000000,62.900000,18.390000,42.570000,5.040000,193.540000,63.140000,0.580000,21.290000,0.000000,4.840000,0.000000,0.000000,95.800000,0.910000,108.870000,2.52,921.34

33,08:00-08:15,0.000000,24.190000,0.000000,24.190000,0.970000,0.970000,0.000000,77.420000,0.930000,0.000000,46.640000,85.140000,22.260000,0.000000,18.530000,0.000000,0.000000,62.900000,18.390000,42.570000,5.040000,193.540000,63.140000,0.580000,21.290000,0.000000,4.840000,0.000000,0.000000,95.800000,0.910000,108.870000,2.71,921.82

34,08:15-08:30,0.000000,24.190000,0.000000,24.190000,0.970000,0.970000,0.000000,77.420000,0.930000,0.000000,46.640000,85.140000,22.260000,0.000000,18.530000,0.000000,0.000000,62.900000,18.390000,42.570000,5.040000,193.540000,63.140000,0.580000,21.290000,0.000000,4.840000,0.000000,0.000000,95.800000,0.910000,108.870000,2.9,922.01

35,08:30-08:45,0.000000,24.190000,0.000000,24.190000,0.970000,0.970000,0.000000,77.420000,0.930000,0.000000,46.640000,85.140000,22.260000,0.000000,18.530000,0.000000,0.000000,62.900000,18.390000,42.570000,5.040000,193.540000,63.140000,0.580000,21.290000,0.000000,4.840000,0.000000,0.000000,95.800000,0.910000,108.870000,3.8,922.91

36,08:45:09:00,0.000000,24.190000,0.000000,24.190000,0.970000,0.970000,0.000000,77.420000,0.930000,0.000000,46.640000,85.140000,22.260000,0.000000,18.530000,0.000000,0.000000,62.900000,18.390000,42.570000,5.040000,193.540000,63.140000,0.580000,21.290000,0.000000,4.840000,0.000000,0.000000,95.800000,0.910000,108.870000,4.27,923.38

37,09:00:09:15,29.030000,24.190000,0.000000,24.190000,0.970000,0.970000,0.000000,77.420000,0.930000,0.000000,46.640000,85.140000,22.260000,0.000000,18.530000,0.000000,6.770000,62.900000,18.390000,42.570000,9.080000,193.540000,63.140000,0.580000,21.290000,0.000000,4.840000,0.000000,0.000000,95.800000,0.910000,108.870000,4.27,963.22

38,09:15-09:30,29.030000,24.190000,0.000000,24.190000,0.970000,0.970000,0.000000,77.420000,0.930000,0.000000,46.640000,85.140000,22.260000,0.000000,18.530000,0.000000,6.770000,62.900000,18.390000,42.570000,9.080000,193.540000,63.140000,0.580000,21.290000,0.000000,4.840000,0.000000,0.000000,95.800000,0.910000,108.870000,4.27,963.22

39,09:30-09:45,29.030000,24.190000,0.000000,24.190000,0.970000,0.970000,0.000000,77.420000,0.930000,0.000000,46.640000,85.140000,22.260000,0.000000,18.530000,0.000000,6.770000,62.900000,18.390000,42.570000,9.080000,193.540000,63.140000,0.580000,21.290000,0.000000,4.840000,0.000000,0.000000,95.800000,0.910000,108.870000,4.27,963.22

40,09:45-10:00,29.030000,24.190000,0.000000,24.190000,0.970000,0.970000,0.000000,77.420000,0.930000,0.000000,46.640000,85.140000,22.260000,0.000000,18.530000,0.000000,6.770000,62.900000,18.390000,42.570000,9.080000,193.540000,63.140000,0.580000,21.290000,0.000000,4.840000,0.000000,0.000000,95.800000,0.910000,108.870000,4.35,963.3

41,10:00-10:15,29.030000,24.190000,0.000000,24.190000,0.970000,0.970000,0.000000,77.420000,0.930000,0.000000,46.640000,85.140000,22.260000,0.000000,16.400000,90.960000,6.770000,62.900000,18.390000,42.570000,10.090000,193.540000,63.140000,0.580000,21.290000,0.000000,4.840000,0.000000,0.000000,95.800000,0.910000,108.870000,4.45,1053.24

42,10:15-10:30,29.030000,24.190000,0.000000,24.190000,0.970000,0.970000,0.000000,77.420000,0.930000,0.000000,46.640000,85.140000,22.260000,0.000000,16.400000,90.960000,6.770000,62.900000,18.390000,42.570000,10.090000,193.540000,63.140000,0.580000,21.290000,0.000000,4.840000,0.000000,0.000000,95.800000,0.910000,108.870000,4.64,1053.43

43,10:30-10:45,29.030000,24.190000,0.000000,24.190000,0.970000,0.970000,0.000000,77.420000,0.930000,0.000000,46.640000,85.140000,22.260000,0.000000,16.400000,90.960000,6.770000,62.900000,18.390000,42.570000,10.090000,193.540000,63.140000,0.580000,21.290000,0.000000,4.840000,0.000000,0.000000,95.800000,0.910000,108.870000,4.84,1053.63

44,10:45-11:00,29.030000,24.190000,0.000000,24.190000,0.970000,0.970000,0.000000,77.420000,0.930000,0.000000,46.640000,85.140000,22.260000,0.000000,16.400000,90.960000,6.770000,62.900000,18.390000,42.570000,10.090000,193.540000,63.140000,0.580000,21.290000,0.000000,4.840000,0.000000,0.000000,95.800000,0.910000,108.870000,5.03,1053.82

45,11:00-11:15,29.030000,24.190000,0.000000,24.190000,0.970000,0.970000,0.000000,77.420000,0.930000,0.000000,46.640000,85.140000,22.260000,0.000000,16.400000,90.960000,6.770000,62.900000,18.390000,42.570000,10.090000,193.540000,63.140000,0.580000,21.290000,0.000000,4.840000,0.000000,0.000000,95.800000,0.910000,108.870000,5.32,1054.11

46,11:15-11:30,29.030000,24.190000,0.000000,24.190000,0.970000,0.970000,0.000000,77.420000,0.930000,0.000000,46.640000,85.140000,22.260000,0.000000,16.400000,90.960000,6.770000,62.900000,18.390000,42.570000,10.090000,193.540000,63.140000,0.580000,21.290000,0.000000,4.840000,0.000000,0.000000,95.800000,0.910000,108.870000,6,1054.79

47,11:30-11:45,29.030000,24.190000,0.000000,24.190000,0.970000,0.970000,0.000000,77.420000,0.930000,0.000000,46.640000,85.140000,22.260000,0.000000,16.400000,90.960000,6.770000,62.900000,18.390000,42.570000,10.090000,193.540000,63.140000,0.580000,21.290000,0.000000,4.840000,0.000000,0.000000,95.800000,0.910000,108.870000,6.19,1054.98

48,11:45-12:00,29.030000,24.190000,0.000000,24.190000,0.970000,0.970000,0.000000,77.420000,0.930000,0.000000,46.640000,85.140000,22.260000,0.000000,16.400000,90.960000,6.770000,62.900000,18.390000,42.570000,10.090000,193.540000,63.140000,0.580000,21.290000,0.000000,4.840000,0.000000,0.000000,95.800000,0.910000,108.870000,6.58,1055.37

49,12:00-12:15,29.030000,24.190000,0.000000,24.190000,0.970000,0.970000,0.000000,77.420000,0.930000,0.000000,46.640000,85.140000,22.260000,0.000000,16.400000,90.960000,6.770000,62.900000,18.390000,42.570000,10.090000,193.540000,63.140000,0.580000,21.290000,0.000000,4.840000,0.000000,0.000000,95.800000,0.910000,108.870000,6.77,1055.56

50,12:15-12:30,29.030000,24.190000,0.000000,24.190000,0.970000,0.970000,0.000000,77.420000,0.930000,0.000000,46.640000,85.140000,22.260000,0.000000,16.400000,90.960000,6.770000,62.900000,18.390000,42.570000,10.090000,193.540000,63.140000,0.580000,21.290000,0.000000,4.840000,0.000000,0.000000,95.800000,0.910000,108.870000,6.87,1055.66

51,12:30-12:45,29.030000,24.190000,0.000000,24.190000,0.970000,0.970000,0.000000,77.420000,0.930000,0.000000,46.640000,85.140000,22.260000,0.000000,16.400000,90.960000,6.770000,62.900000,18.390000,42.570000,10.090000,193.540000,63.140000,0.580000,21.290000,0.000000,4.840000,0.000000,0.000000,95.800000,0.910000,108.870000,6.97,1055.76

52,12:45-13:00,29.030000,24.190000,0.000000,24.190000,0.970000,0.970000,0.000000,77.420000,0.930000,0.000000,46.640000,85.140000,22.260000,0.000000,16.400000,90.960000,6.770000,62.900000,18.390000,42.570000,10.090000,193.540000,63.140000,0.580000,21.290000,0.000000,4.840000,0.000000,0.000000,95.800000,0.910000,108.870000,7.06,1055.85

53,13:00-13:15,29.030000,24.190000,0.000000,24.190000,0.970000,0.970000,0.000000,77.420000,0.930000,0.000000,46.640000,85.140000,22.260000,0.000000,18.530000,90.960000,6.770000,62.900000,18.390000,42.570000,10.090000,193.540000,63.140000,0.580000,21.290000,0.000000,4.840000,0.000000,0.000000,95.800000,0.910000,108.870000,7.94,1058.86

54,13:15-13:30,29.030000,24.190000,0.000000,24.190000,0.970000,0.970000,0.000000,77.420000,0.930000,0.000000,46.640000,85.140000,22.260000,0.000000,18.530000,90.960000,6.770000,62.900000,18.390000,42.570000,10.090000,193.540000,63.140000,0.580000,21.290000,0.000000,4.840000,0.000000,0.000000,95.800000,0.910000,108.870000,8.9,1059.82

55,13:30-13:45,29.030000,24.190000,0.000000,24.190000,0.970000,0.970000,0.000000,77.420000,0.930000,0.000000,46.640000,85.140000,22.260000,0.000000,18.530000,90.960000,6.770000,62.900000,18.390000,42.570000,10.090000,193.540000,63.140000,0.580000,21.290000,0.000000,4.840000,0.000000,0.000000,95.800000,0.910000,108.870000,8.13,1059.05

56,13:45-14:00,29.030000,24.190000,0.000000,24.190000,0.970000,0.970000,0.000000,77.420000,0.930000,0.000000,46.640000,85.140000,22.260000,0.000000,18.530000,90.960000,6.770000,62.900000,18.390000,42.570000,10.090000,193.540000,63.140000,0.580000,21.290000,0.000000,4.840000,0.000000,0.000000,95.800000,0.910000,108.870000,6.97,1057.89

57,14:00-14:15,29.030000,24.190000,0.000000,24.190000,0.970000,0.970000,0.000000,77.420000,0.930000,0.000000,46.640000,85.140000,22.260000,0.000000,18.530000,106.450000,6.770000,62.900000,18.390000,42.570000,10.090000,193.540000,63.140000,0.580000,21.290000,0.000000,4.840000,23.160000,0.000000,95.800000,0.910000,108.870000,6.58,1096.15

58,14:15-14:30,29.030000,24.190000,0.000000,24.190000,0.970000,0.970000,0.000000,77.420000,0.930000,0.000000,46.640000,85.140000,22.260000,0.000000,18.530000,106.450000,6.770000,62.900000,18.390000,42.570000,10.090000,193.540000,63.140000,0.580000,21.290000,0.000000,4.840000,23.160000,0.000000,95.800000,0.910000,108.870000,5.61,1095.18

59,14:30-14:45,29.030000,24.190000,0.000000,24.190000,0.970000,0.970000,0.000000,77.420000,0.930000,0.000000,46.640000,85.140000,22.260000,0.000000,18.530000,106.450000,6.770000,62.900000,18.390000,42.570000,10.090000,193.540000,63.140000,0.580000,21.290000,0.000000,4.840000,23.160000,0.000000,95.800000,0.910000,108.870000,5.03,1094.6

60,14:45-15:00,29.030000,24.190000,0.000000,24.190000,0.970000,0.970000,0.000000,77.420000,0.930000,0.000000,46.640000,85.140000,22.260000,0.000000,18.530000,106.450000,6.770000,62.900000,18.390000,42.570000,10.090000,193.540000,63.140000,0.580000,21.290000,0.000000,4.840000,23.160000,0.000000,95.800000,0.910000,108.870000,4.35,1093.92

61,15:00-15:15,29.030000,24.190000,0.000000,24.190000,0.970000,0.920000,0.000000,77.420000,0.930000,0.000000,46.640000,85.140000,22.260000,0.000000,12.730000,106.450000,6.770000,62.900000,18.390000,42.570000,10.090000,193.540000,63.140000,0.580000,21.290000,0.000000,4.840000,23.160000,0.000000,95.800000,0.910000,108.870000,3.68,1087.4

62,15:15-15:30,29.030000,24.190000,0.000000,24.190000,0.970000,0.920000,0.000000,77.420000,0.930000,0.000000,46.640000,85.140000,22.260000,0.000000,12.730000,106.450000,6.770000,62.900000,18.390000,42.570000,10.090000,193.540000,63.140000,0.580000,21.290000,0.000000,4.840000,23.160000,0.000000,95.800000,0.910000,108.870000,2.42,1086.14

63,15:30-15:45,29.030000,24.190000,0.000000,24.190000,0.970000,0.920000,0.000000,77.420000,0.930000,0.000000,46.640000,85.140000,22.260000,0.000000,12.730000,106.450000,6.770000,62.900000,18.390000,42.570000,10.090000,193.540000,63.140000,0.580000,21.290000,0.000000,4.840000,23.160000,0.000000,95.800000,0.910000,108.870000,2.42,1086.14

64,15:45-16:00,29.030000,24.190000,0.000000,24.190000,0.970000,0.920000,0.000000,77.420000,0.930000,0.000000,46.640000,85.140000,22.260000,0.000000,12.730000,106.450000,6.770000,62.900000,18.390000,42.570000,10.090000,193.540000,63.140000,0.580000,21.290000,0.000000,4.840000,23.160000,0.000000,95.800000,0.910000,108.870000,2.42,1086.14

65,16:00-16:15,29.030000,24.190000,0.000000,24.190000,0.970000,0.820000,0.000000,77.420000,0.930000,0.000000,46.640000,85.140000,22.260000,0.000000,12.730000,106.450000,6.770000,62.900000,18.390000,42.570000,10.090000,193.540000,63.140000,0.580000,21.290000,0.000000,4.840000,23.160000,0.000000,95.800000,0.910000,108.870000,2.42,1086.04

66,16:15-16:30,29.030000,24.190000,0.000000,24.190000,0.970000,0.820000,0.000000,77.420000,0.930000,0.000000,46.640000,85.140000,22.260000,0.000000,12.730000,106.450000,6.770000,62.900000,18.390000,42.570000,10.090000,193.540000,63.140000,0.580000,21.290000,0.000000,4.840000,23.160000,0.000000,95.800000,0.910000,108.870000,1.85,1085.47

