Column1,Block,GNA/NR/2025/01/01/5531,GNA/NR/2025/01/01/3733,GNA/NR/2025/01/20/4168,GNA/NR/2025/01/20/4698,NR/30092023/31122025/SH-07,GNA/NR/2025/01/20/9333,GNA/NR/2025/01/01/7459,GNA/WR/2025/01/01/9606,GNA/WR/2024/11/01/4200,SR/2024/15456/A/50508,NER/2024/2820/A/50774,NR/30092023/26122029/SH-06,NR/2024/24508/A/50824,NR/2024/24614/A/50825,NR/2024/24507/A/50823,GNA/NR/2025/01/20/5216,NR/2024/24418/A/50494,NR/2024/24435/A/50504,WR/2024/25501/A/50777,NR/2025/24986/C,NR/2024/24566/A/50496,NR/2025/24987/C,NR/2025/24985/C,NR/2025/24837/A/50591,NR/2025/24838/A/50594,NR/2024/24434/A/50505,NR/2025/24839/A/50596,NR/2025/24998/C,NR/2025/24997/C,GNA/NR/2025/01/20/2470,GNA/NR/2025/01/01/6528,GNA/NR/2025/01/01/3925,GNA/NR/2025/01/02/1250,GNA/NR/2025/01/01/6775,GNA/WR/2025/01/01/8625,GNA/NR/2025/01/20/9046,GNA/NR/2025/01/01/8058,GNA/NR/2025/01/01/3514,GNA/NR/2025/01/01/8738,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/01/01/3945,Total
23,05:30-05:45,28.82,20.17,0,0,0,0,23.06,0,0,0,38.43,0,8.73,0,17.29,0,0.43,16.33,0,0,5.76,0,0,0,0,0,0,0,0,0,8.65,48.04,48.04,23.06,0,0,26.9,19.21,48.04,1.29,23.06,405.31

24,05:45-06:00,28.82,20.17,0,0,0,0,23.06,0,0,0,38.43,0,8.73,0,17.29,0,0.43,16.33,0,0,5.76,0,0,0,0,0,0,0,0,0,8.65,48.04,48.04,23.06,0,0,26.9,19.21,48.04,1.29,23.06,405.31

25,06:00-06:15,28.82,20.17,0,0,0,0,23.06,0,0,326.64,38.43,0,8.73,0,17.29,0,0.38,16.33,0,0,5.76,0,0,0,0,0,0,0,0,0,8.65,48.04,48.04,23.06,0,0,26.9,19.21,48.04,1.29,23.06,731.8999999999997

26,06:15-06:30,28.82,20.17,0,0,0,0,23.06,0,0,326.64,38.43,0,8.73,0,17.29,0,0.38,16.33,0,0,5.76,0,0,0,0,0,0,0,0,0,8.65,48.04,48.04,23.06,0,0,26.9,19.21,48.04,1.29,23.06,731.8999999999997

27,06:30-06:45,28.82,20.17,0,0,0,0,25.94,0,0,326.64,38.43,0,8.73,0,17.29,0,0.38,16.33,0,0,5.76,0,0,0,0,0,0,0,0,0,8.65,48.04,48.04,25.94,0,0,26.9,19.21,48.04,1.29,28.82,743.42

28,06:45-07:00,28.82,20.17,0,0,0,0,25.94,0,0,326.64,38.43,0,8.73,0,17.29,0,0.38,16.33,0,0,5.76,0,0,0,0,0,0,0,0,0,8.65,48.04,48.04,25.94,0,0,26.9,19.21,48.04,1.29,28.82,743.42

29,07:00-07:15,28.82,20.17,5.76,7.69,0,30.74,28.82,0,0,124.89,38.43,0,14.41,0,28.82,9.61,0.86,16.33,0,0,5.76,0,0,0,0,0,0,0,0,96.07,8.65,48.04,48.04,28.82,50,90.31,26.9,19.21,48.04,1.29,28.82,855.3

30,07:15-07:30,28.82,20.17,5.76,7.69,0,30.74,28.82,0,0,124.89,38.43,0,14.41,0,28.82,9.61,0.86,16.33,0,0,5.76,0,0,0,0,0,0,0,0,96.07,8.65,48.04,48.04,28.82,50,90.31,26.9,19.21,48.04,1.29,28.82,855.3

31,07:30-07:45,28.82,20.17,5.76,7.69,0,30.74,31.7,0,0,124.89,38.43,0,14.41,0,28.82,9.61,0.86,16.33,0,0,5.76,0,0,0,0,0,0,0,0,96.07,8.65,48.04,48.04,31.7,50,90.31,26.9,19.21,48.04,1.29,28.82,861.06

32,07:45-08:00,28.82,20.17,5.76,7.69,0,30.74,34.59,0,0,124.89,38.43,0,14.41,0,28.82,9.61,0.86,16.33,0,0,5.76,0,0,0.02,0.01,0,0.01,0,0,96.07,8.65,48.04,48.04,34.59,50,90.31,26.9,19.21,48.04,1.29,34.59,872.6499999999999

33,08:00-08:15,28.82,20.17,5.76,7.69,0,30.74,34.59,0,0,0,38.43,0,14.41,0,28.82,9.61,0.86,16.33,0,0,5.76,0,78.35,0.06,0.05,0,0.03,0,0,96.07,8.65,48.04,48.04,34.59,50,90.31,26.9,19.21,48.04,1.29,34.59,826.2099999999998

34,08:15-08:30,28.82,20.17,5.76,7.69,0,30.74,34.59,0,0,0,38.43,0,14.41,0,28.82,9.61,0.86,16.33,0,0,5.76,0,78.35,0.16,0.13,0,0.08,0,0,96.07,8.65,48.04,48.04,34.59,50,90.31,26.9,19.21,48.04,1.29,34.59,826.4399999999998

35,08:30-08:45,28.82,20.17,5.76,7.69,0,30.74,34.59,0,0,0,38.43,0,14.41,0,28.82,9.61,0.86,16.33,0,0,5.76,0,78.35,0.26,0.22,0,0.13,0,0,96.07,8.65,48.04,48.04,34.59,50,90.31,26.9,19.21,48.04,1.29,34.59,826.6799999999998

36,08:45-09:00,28.82,20.17,5.76,7.69,0,30.74,34.59,0,0,0,38.43,0,14.41,0,28.82,9.61,0.86,16.33,0,0,5.76,0,78.35,0.38,0.32,0,0.19,0,0,96.07,8.65,48.04,48.04,34.59,50,90.31,26.9,19.21,48.04,1.29,34.59,826.9599999999998

37,09:00-09:15,28.82,20.17,5.76,7.69,0,30.74,36.51,0,0,0,0,0,0,0,0,9.61,0.86,16.33,0,28.82,5.76,14.41,78.35,0.47,0.39,3.84,0.24,0,0,96.07,8.65,48.04,48.04,36.51,0,90.31,26.9,19.21,48.04,1.29,36.51,748.34

38,09:15-09:30,28.82,20.17,5.76,7.69,0,30.74,36.51,0,0,0,0,0,0,0,0,9.61,0.86,16.33,0,28.82,5.76,14.41,78.35,0.67,0.48,3.84,0.29,0,0,96.07,8.65,48.04,48.04,36.51,0,90.31,26.9,19.21,48.04,1.29,36.51,748.68

39,09:30-09:45,28.82,20.17,5.76,7.69,0,30.74,25.94,0,0,0,0,0,0,0,0,9.61,0.86,16.33,0,28.82,5.76,14.41,78.35,0.77,0.38,3.84,0.29,38.43,14.41,96.07,8.65,48.04,48.04,25.94,0,90.31,26.9,19.21,48.04,1.29,36.51,780.38

40,09:45-10:00,28.82,20.17,5.76,7.69,0,30.74,25.94,0,0,0,0,0,0,0,0,9.61,0.86,16.33,0,28.82,5.76,14.41,78.35,0.67,0.48,3.84,0.19,38.43,14.41,96.07,8.65,48.04,48.04,25.94,0,90.31,26.9,19.21,48.04,1.29,36.51,780.2800000000001

41,10:00-10:15,28.82,20.17,0,0,0,0,25.94,0,0,0,0,0,7.87,6.54,28.82,0,0.86,16.33,0,0,5.76,0,78.35,0.67,0.48,4.8,0.19,38.43,14.41,0,8.65,48.04,48.04,25.94,0,0,26.9,19.21,48.04,1.29,23.06,527.61

42,10:15-10:30,28.82,20.17,0,0,0,0,25.94,0,0,0,0,0,7.87,6.54,28.82,0,0.86,16.33,0,0,5.76,0,78.35,0.67,0.48,4.8,0.29,38.43,14.41,0,8.65,48.04,48.04,25.94,0,0,26.9,19.21,48.04,1.29,23.06,527.71

43,10:30-10:45,28.82,20.17,0,0,0,0,25.94,0,0,0,0,0,7.87,6.54,28.82,0,0.86,16.33,0,0,5.76,0,0,0.77,0.48,4.8,0.29,38.43,14.41,0,8.65,48.04,48.04,25.94,0,0,26.9,19.21,48.04,1.29,23.06,449.46000000000004

44,10:45-11:00,28.82,20.17,0,0,0,0,25.94,0,0,0,0,0,7.87,6.54,28.82,0,0.86,16.33,0,0,5.76,0,0,0.77,0.48,4.8,0.29,38.43,14.41,0,8.65,48.04,48.04,25.94,0,0,26.9,19.21,48.04,1.29,23.06,449.46000000000004

45,11:00-11:15,28.82,20.17,0,0,0,0,21.14,0,0,0,0,0,14.41,0,28.82,0,0.86,16.33,0,0,5.76,0,0,0.77,0.48,6.72,0.29,38.43,14.41,0,8.65,48.04,48.04,21.14,0,0,26.9,19.21,48.04,1.29,21.14,439.85999999999996

46,11:15-11:30,28.82,20.17,0,0,0,0,21.14,0,0,0,0,0,14.41,0,28.82,0,0.86,16.33,0,0,5.76,0,0,0.77,0.48,6.72,0.19,38.43,14.41,0,8.65,48.04,48.04,21.14,0,0,26.9,19.21,48.04,1.29,21.14,439.75999999999993

47,11:30-11:45,28.82,20.17,0,0,0,0,21.14,0,0,0,0,0,14.41,0,28.82,0,0.86,16.33,0,0,5.76,0,0,0.77,0.48,6.72,0.29,38.43,14.41,0,8.65,48.04,48.04,21.14,0,0,26.9,19.21,48.04,1.29,21.14,439.85999999999996

48,11:45-12:00,28.82,20.17,0,0,0,0,21.14,0,0,0,0,0,14.41,0,28.82,0,0.86,16.33,0,0,5.76,0,0,0.77,0.48,6.72,0.29,38.43,14.41,0,8.65,48.04,48.04,21.14,0,0,26.9,19.21,48.04,1.29,21.14,439.85999999999996

49,12:00-12:15,28.82,20.17,0,0,0,0,19.21,0,0,0,0,0,14.41,0,28.82,0,0.86,16.33,0,0,5.76,0,0,0.77,0.48,6.72,0.29,38.43,14.41,0,8.65,48.04,48.04,19.21,0,0,26.9,19.21,48.04,1.37,19.21,434.1499999999999

50,12:15-12:30,28.82,20.17,0,0,0,0,19.21,0,0,0,0,0,14.41,0,28.82,0,0.86,16.33,0,0,5.76,0,0,0.77,0.48,6.72,0.29,38.43,14.41,0,8.65,48.04,48.04,19.21,0,0,26.9,19.21,48.04,1.37,19.21,434.1499999999999

51,12:30-12:45,28.82,20.17,0,0,0,0,19.21,0,0,0,0,0,14.41,0,28.82,0,0.86,16.33,0,0,5.76,0,0,0.77,0.48,6.72,0.29,38.43,14.41,0,8.65,48.04,48.04,19.21,0,0,26.9,19.21,48.04,1.37,19.21,434.1499999999999

52,12:45-13:00,28.82,20.17,0,0,0,0,19.21,0,0,0,0,0,14.41,0,28.82,0,0.86,16.33,0,0,5.76,0,0,0.77,0.48,6.72,0.29,38.43,14.41,0,8.65,48.04,48.04,19.21,0,0,26.9,19.21,48.04,1.37,19.21,434.1499999999999

53,13:00-13:15,28.82,20.17,0,0,0,0,19.21,0,0,0,0,0,14.41,0,28.82,0,0.77,16.33,0,0,5.76,0,0,0.77,0.48,5.76,0.29,38.43,14.41,0,8.65,48.04,48.04,19.21,0,0,26.9,19.21,48.04,1.29,19.21,433.0199999999999

54,13:15-13:30,28.82,20.17,0,0,0,0,19.21,0,0,0,0,0,14.41,0,28.82,0,0.77,16.33,0,0,5.76,0,0,0.77,0.48,5.76,0.29,38.43,14.41,0,8.65,48.04,48.04,19.21,0,0,26.9,19.21,48.04,1.29,19.21,433.0199999999999

55,13:30-13:45,28.82,20.17,0,0,0,0,19.21,0,0,0,0,0,14.41,0,28.82,0,0.77,16.33,0,0,5.76,0,0,0.77,0.48,5.76,0.29,38.43,14.41,0,8.65,48.04,48.04,19.21,0,0,26.9,19.21,48.04,1.29,19.21,433.0199999999999

56,13:45-14:00,28.82,20.17,0,0,0,0,19.21,0,0,0,0,0,14.41,0,28.82,0,0.77,16.33,0,0,5.76,0,0,0.77,0.48,5.76,0.29,38.43,14.41,0,8.65,48.04,48.04,19.21,0,0,26.9,19.21,48.04,1.29,19.21,433.0199999999999

57,14:00-14:15,28.82,20.17,0,0,0,0,19.21,0,0,0,0,0,14.41,0,28.82,0,0.77,16.33,0,0,5.76,0,0,0.77,0.38,4.8,0.29,38.43,14.41,0,8.65,48.04,48.04,19.21,0,0,26.9,19.21,48.04,1.29,19.21,431.96

58,14:15-14:30,28.82,20.17,0,0,0,0,19.21,0,0,0,0,0,14.41,0,28.82,0,0.77,16.33,0,0,5.76,0,0,0.67,0.38,4.8,0.29,38.43,14.41,0,8.65,48.04,48.04,19.21,0,0,26.9,19.21,48.04,1.29,19.21,431.85999999999996

59,14:30-14:45,28.82,20.17,0,0,0,0,19.21,0,0,0,0,0,14.41,0,28.82,0,0.77,16.33,0,0,5.76,0,0,0.67,0.38,4.8,0.29,38.43,14.41,0,8.65,48.04,48.04,19.21,0,0,26.9,19.21,48.04,1.29,19.21,431.85999999999996

60,14:45-15:00,28.82,20.17,0,0,0,0,19.21,0,0,0,0,0,14.41,0,28.82,0,0.77,16.33,0,0,5.76,0,0,0.67,0.38,4.8,0.29,38.43,14.41,0,8.65,48.04,48.04,19.21,0,0,26.9,19.21,48.04,1.29,19.21,431.85999999999996

61,15:00-15:15,28.82,20.17,0,0,0,0,19.21,0,0,0,0,0,14.41,0,28.82,0,0.67,16.33,0,0,5.76,0,0,0.58,0.38,4.8,0.29,38.43,14.41,0,8.65,48.04,48.04,19.21,0,0,26.9,19.21,48.04,1.29,19.21,431.66999999999996

62,15:15-15:30,28.82,20.17,0,0,0,0,19.21,0,0,0,0,0,14.41,0,28.82,0,0.67,16.33,0,0,5.76,0,0,0.58,0.38,4.8,0.29,38.43,14.41,0,8.65,48.04,48.04,19.21,0,0,26.9,19.21,48.04,1.29,19.21,431.66999999999996

63,15:30-15:45,28.82,20.17,0,0,0,0,19.21,0,0,0,0,0,14.41,0,28.82,0,0.67,16.33,0,0,5.76,0,0,0.58,0.38,4.8,0.29,38.43,14.41,0,8.65,48.04,48.04,19.21,0,0,26.9,19.21,48.04,1.29,19.21,431.66999999999996

64,15:45-16:00,28.82,20.17,0,0,0,0,19.21,0,0,0,0,0,14.41,0,28.82,0,0.67,16.33,0,0,5.76,0,0,0.58,0.38,4.8,0.29,38.43,14.41,0,8.65,48.04,48.04,19.21,0,0,26.9,19.21,48.04,1.29,19.21,431.66999999999996

65,16:00-16:15,28.82,20.17,0,0,0,0,19.21,0,0,0,0,0,14.41,0,28.82,0,0.48,16.33,0,0,5.76,0,0,0.58,0.38,2.88,0.29,38.43,14.41,0,8.65,48.04,48.04,19.21,0,0,26.9,19.21,48.04,1.29,19.21,429.55999999999995

66,16:15-16:30,28.82,20.17,0,0,0,0,19.21,0,0,0,0,0,14.41,0,28.82,0,0.48,16.33,0,0,5.76,0,0,0.58,0.38,2.88,0.29,38.43,14.41,0,8.65,48.04,48.04,19.21,0,0,26.9,19.21,48.04,1.29,19.21,429.55999999999995

67,16:30-16:45,28.82,20.17,0,0,0,0,19.21,0,0,0,0,0,14.41,0,28.82,0,0.48,16.33,0,0,5.76,0,0,0.58,0.38,2.88,0.29,31.41,21.42,0,8.65,48.04,48.04,19.21,0,0,26.9,19.21,48.04,1.29,19.21,429.54999999999995

68,16:45-17:00,28.82,20.17,0,0,0,0,19.21,0,0,0,0,0,14.41,0,28.82,0,0.48,16.33,0,0,5.76,0,0,0.58,0.38,2.88,0.19,25.55,16.72,0,8.65,48.04,48.04,19.21,0,0,26.9,19.21,48.04,1.29,19.21,418.89

69,17:00-17:15,28.82,20.17,0,0,0,0,34.59,0,0,0,0,0,14.41,0,28.82,0,0.48,16.33,0,0,5.76,0,0,0.42,0.29,0.96,0.21,0,0,0,8.65,48.04,48.04,34.59,0,0,26.9,19.21,48.04,1.29,34.59,420.61

70,17:15-17:30,28.82,20.17,0,0,0,0,34.59,0,0,0,0,0,14.41,0,28.82,0,0.48,16.33,0,0,5.76,0,0,0.29,0.19,0.96,0.14,0,0,0,8.65,48.04,48.04,34.59,0,0,26.9,19.21,48.04,1.29,34.59,420.30999999999995

71,17:30-17:45,28.82,20.17,0,0,0,0,34.59,0,0,0,0,0,14.41,0,28.82,0,0.48,16.33,0,0,5.76,0,0,0.15,0.11,0.96,0.05,0,0,0,8.65,48.04,48.04,34.59,0,0,26.9,19.21,48.04,1.29,34.59,420

72,17:45-18:00,28.82,20.17,0,0,0,0,34.59,0,0,0,0,0,14.41,0,28.82,0,0.48,16.33,0,0,5.76,0,0,0.09,0.05,0.96,0.04,0,0,0,8.65,48.04,48.04,34.59,0,0,26.9,19.21,48.04,1.29,34.59,419.87

73,18:00-18:15,28.82,20.17,5.76,7.69,0,30.74,34.59,30,50,134.5,38.43,0,14.41,0,28.82,9.61,0.48,16.33,38.43,0,5.76,0,0,0.02,0.01,0,0.01,0,0,96.07,8.65,48.04,48.04,34.59,50,90.31,26.9,19.21,48.04,1.37,34.59,1000.39

74,18:15-18:30,28.82,20.17,5.76,7.69,0,30.74,34.59,30,50,134.5,38.43,0,14.41,0,28.82,9.61,0.48,16.33,38.43,0,5.76,0,0,0,0,0,0,0,0,96.07,8.65,48.04,48.04,34.59,50,90.31,26.9,19.21,48.04,1.37,34.59,1000.35

75,18:30-18:45,28.82,20.17,5.76,7.69,0,30.74,34.59,30,50,134.5,38.43,0,14.41,0,28.82,9.61,0.48,16.33,38.43,0,5.76,0,0,0,0,0,0,0,0,96.07,8.65,48.04,48.04,34.59,50,90.31,26.9,19.21,48.04,1.37,34.59,1000.35

76,18:45-19:00,28.82,20.17,5.76,7.69,0,30.74,34.59,30,50,134.5,38.43,0,14.41,0,28.82,9.61,0.48,16.33,38.43,0,5.76,0,0,0,0,0,0,0,0,96.07,8.65,48.04,48.04,34.59,50,90.31,26.9,19.21,48.04,1.37,34.59,1000.35

77,19:00-19:15,28.82,20.17,5.76,7.69,0,30.74,34.59,30,50,115.28,38.43,0,14.41,0,28.82,9.61,0.58,16.33,38.43,0,5.76,0,0,0,0,0,0,0,0,96.07,8.65,48.04,48.04,34.59,50,90.31,26.9,19.21,48.04,1.29,34.59,981.1499999999999

