Column1,Block,GNA/NR/2024/09/01/4802,GNA/NR/2024/09/01/6566,GNA/NR/2024/09/01/8090,GNA/NR/2024/09/01/7196,GNA/NR/2024/09/01/2171,NR/2024/23050/C,GNA/NR/2024/09/01/7119,NR/2024/23056/C,NR/2024/23017/A/36376,NR/2024/22835/A/36578,NR/30092023/26122029/SH-06,NR/2024/22837/A/36609,NR/2024/22820/A/36356,NR/2024/22816/A/36521,NR/2024/22802/A/36612,NR/2024/22734/A/36667,GNA/NR/2024/09/01/6020,NR/2024/23051/C,NR/2024/22754/A/36573,GNA/NR/2024/09/01/9821,NR/2024/22839/A/36607,NR/2024/22753/A/36574,NR/2024/22848/A/36596,NR/2024/22888/A/36587,NR/2024/22860/A/36593,GNA/NR/2024/09/01/3451,GNA/NR/2024/09/01/7908,NR/2024/23038/A/36555,NR/2024/22832/A/36611,NR/2024/22833/A/36610,NR/2024/21658/A/36332,NR/2024/22874/A/36614,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/31122025/SH-07,NR/2024/23052/C,NR/2024/23057/C,NR/2024/22898/A/36387,NR/2024/22899/A/36388,Total
3,00:30-00:45,96.85,24.21,12.47,48.42,2.42,242.12,24.8,58.11,8.72,91.04,26.91,37.41,4.84,0,0,96.85,96.85,109.92,60.53,32.93,6.78,181.59,84.43,67.8,13.56,48.42,21.79,3.87,37.41,37.41,0.87,48.42,9.8,26.91,0,0,0,0,1664.46

4,00:45-01:00,96.85,24.21,12.47,48.42,2.42,242.12,24.8,58.11,8.72,91.04,26.91,37.41,4.84,0,0,96.85,96.85,109.92,60.53,32.93,6.78,181.59,84.43,67.8,13.56,48.42,21.79,3.87,37.41,37.41,0.87,48.42,9.8,26.91,0,0,0,0,1664.46

5,01:00-01:15,96.85,24.21,12.47,48.42,2.42,242.12,24.8,58.11,8.72,91.04,26.91,37.41,4.84,0,0,96.85,96.85,109.92,60.53,32.93,6.78,181.59,84.43,67.8,13.56,48.42,21.79,3.87,37.41,37.41,0.68,48.42,9.8,26.91,0,0,0,0,1664.2700000000002

6,01:15-01:30,96.85,24.21,12.47,48.42,2.42,242.12,24.8,58.11,8.72,91.04,26.91,37.41,4.84,0,0,96.85,96.85,109.92,60.53,32.93,6.78,181.59,84.43,67.8,13.56,48.42,21.79,3.87,37.41,37.41,0.68,48.42,9.8,26.91,0,0,0,0,1664.2700000000002

7,01:30-01:45,96.85,24.21,12.47,48.42,2.42,242.12,24.8,58.11,8.72,91.04,26.91,37.41,4.84,0,0,96.85,96.85,109.92,60.53,32.93,6.78,181.59,84.43,67.8,13.56,48.42,21.79,3.87,37.41,37.41,0.68,48.42,9.8,26.91,0,0,0,0,1664.2700000000002

8,01:45-02:00,96.85,24.21,12.47,48.42,2.42,242.12,24.8,58.11,8.72,91.04,26.91,37.41,4.84,0,0,96.85,96.85,109.92,60.53,32.93,6.78,181.59,84.43,67.8,13.56,48.42,21.79,3.87,37.41,37.41,0.68,48.42,9.8,26.91,0,0,0,0,1664.2700000000002

9,02:00-02:15,96.85,24.21,12.47,48.42,2.42,242.12,24.8,28.09,8.72,91.04,26.91,37.41,4.84,0,0,96.85,96.85,109.92,60.53,32.93,6.78,181.59,84.43,67.8,13.56,48.42,21.79,3.87,37.41,37.41,0.68,48.42,9.8,26.91,0,0,0,0,1634.25

10,02:15-02:30,96.85,24.21,12.47,48.42,2.42,242.12,24.8,28.09,8.72,91.04,26.91,37.41,4.84,0,0,96.85,96.85,109.92,60.53,32.93,6.78,181.59,84.43,67.8,13.56,48.42,21.79,3.87,37.41,37.41,0.68,48.42,9.8,26.91,0,0,0,0,1634.25

11,02:30-02:45,96.85,24.21,12.47,48.42,2.42,242.12,24.8,28.09,8.72,91.04,26.91,37.41,4.84,0,0,96.85,96.85,109.92,60.53,32.93,6.78,181.59,84.43,67.8,13.56,48.42,21.79,3.87,37.41,37.41,0.68,48.42,9.8,26.91,0,0,0,0,1634.25

12,02:45-03:00,96.85,24.21,12.47,48.42,2.42,242.12,24.8,28.09,8.72,91.04,26.91,37.41,4.84,0,0,96.85,96.85,109.92,60.53,32.93,6.78,181.59,84.43,67.8,13.56,48.42,21.79,3.87,37.41,37.41,0.68,48.42,9.8,26.91,0,0,0,0,1634.25

13,03:00-03:15,96.85,24.21,12.47,48.42,2.42,242.12,24.8,28.09,8.72,91.04,26.91,37.41,4.84,0,0,96.85,96.85,109.92,60.53,0,6.78,181.59,84.43,67.8,0,48.42,21.79,3.87,37.41,37.41,0.63,48.42,9.8,26.91,0,0,0,0,1587.7100000000003

14,03:15-03:30,96.85,24.21,12.47,48.42,2.42,242.12,24.8,28.09,8.72,91.04,26.91,37.41,4.84,0,0,96.85,96.85,109.92,60.53,0,6.78,181.59,84.43,67.8,0,48.42,21.79,3.87,37.41,37.41,0.63,48.42,9.8,26.91,0,0,0,0,1587.7100000000003

15,03:30-03:45,96.85,24.21,12.47,48.42,2.42,242.12,24.8,28.09,8.72,91.04,26.91,37.41,4.84,0,0,96.85,96.85,109.92,60.53,0,6.78,181.59,84.43,67.8,0,48.42,21.79,3.87,37.41,37.41,0.63,48.42,9.8,26.91,0,0,0,0,1587.7100000000003

16,03:45-04:00,96.85,24.21,12.47,48.42,2.42,242.12,24.8,28.09,8.72,91.04,26.91,37.41,4.84,0,0,96.85,96.85,109.92,60.53,0,6.78,181.59,84.43,67.8,0,48.42,21.79,3.87,37.41,37.41,0.63,48.42,9.8,26.91,0,0,0,0,1587.7100000000003

17,04:00-04:15,96.85,24.21,12.47,48.42,2.42,242.12,24.8,28.09,8.72,91.04,26.91,37.41,4.84,0,0,96.85,96.85,109.92,60.53,0,6.78,181.59,84.43,67.8,0,48.42,21.79,3.87,37.41,37.41,0.58,48.42,13.22,26.91,0,0,0,0,1591.0800000000002

18,04:15-04:30,96.85,24.21,12.47,48.42,2.42,242.12,24.8,28.09,8.72,91.04,26.91,37.41,4.84,0,0,96.85,96.85,109.92,60.53,0,6.78,181.59,84.43,67.8,0,48.42,21.79,3.87,37.41,37.41,0.58,48.42,13.22,26.91,0,0,0,0,1591.0800000000002

19,04:30-04:45,96.85,24.21,12.47,48.42,2.42,242.12,24.8,28.09,8.72,91.04,26.91,37.41,4.84,0,0,96.85,96.85,109.92,60.53,0,6.78,181.59,84.43,67.8,0,48.42,21.79,3.87,37.41,37.41,0.58,48.42,13.22,26.91,0,0,0,0,1591.0800000000002

20,04:45-05:00,96.85,24.21,12.47,48.42,2.42,242.12,24.8,28.09,8.72,91.04,26.91,37.41,4.84,0,0,96.85,96.85,109.92,60.53,0,6.78,181.59,84.43,67.8,0,48.42,21.79,3.87,37.41,37.41,0.58,48.42,13.22,26.91,0,0,0,0,1591.0800000000002

21,05:00-05:15,96.85,24.21,12.47,48.42,2.42,242.12,24.8,28.09,8.72,91.04,26.91,37.41,4.84,0,0,96.85,96.85,109.92,60.53,0,6.78,181.59,84.43,25.18,0,48.42,21.79,3.87,37.41,37.41,0.58,48.42,13.22,26.91,0,0,0,0,1548.4600000000003

22,05:15-05:30,96.85,24.21,12.47,48.42,2.42,242.12,24.8,28.09,8.72,91.04,26.91,37.41,4.84,0,0,96.85,96.85,109.92,60.53,0,6.78,181.59,84.43,25.18,0,48.42,21.79,3.87,37.41,37.41,0.58,48.42,13.22,26.91,0,0,0,0,1548.4600000000003

23,05:30-05:45,96.85,24.21,12.47,48.42,2.42,242.12,24.8,28.09,8.72,91.04,26.91,37.41,4.84,0,0,96.85,96.85,109.92,60.53,0,6.78,181.59,84.43,25.18,0,48.42,21.79,3.87,37.41,37.41,0.58,48.42,13.22,26.91,0,0,0,0,1548.4600000000003

24,05:45-06:00,96.85,24.21,12.47,48.42,2.42,242.12,24.8,28.09,7.75,91.04,26.91,37.41,4.84,0,0,96.85,96.85,109.92,60.53,0,6.78,181.59,84.43,25.18,0,48.42,21.79,3.87,37.41,37.41,0.58,48.42,13.22,26.91,0,0,0,0,1547.4900000000002

25,06:00-06:15,96.85,24.21,12.47,48.42,2.42,242.12,24.8,28.09,7.75,91.04,26.91,37.41,4.84,0,0,96.85,96.85,109.92,0,0,6.78,0,84.43,25.18,0,48.42,21.79,3.87,37.41,37.41,0.68,48.42,12.95,26.91,0,0,0,0,1305.2000000000003

26,06:15-06:30,96.85,24.21,12.47,48.42,2.42,242.12,24.8,28.09,7.75,91.04,26.91,37.41,4.84,0,0,96.85,96.85,109.92,0,0,6.78,0,84.43,25.18,0,48.42,21.79,3.87,37.41,37.41,0.68,48.42,12.95,26.91,0,0,0,0,1305.2000000000003

27,06:30-06:45,96.85,24.21,12.47,48.42,2.42,242.12,24.8,28.09,7.75,91.04,26.91,37.41,4.84,0,0,96.85,96.85,109.92,0,0,6.78,0,84.43,25.18,0,48.42,21.79,3.87,37.41,37.41,0.68,48.42,12.95,26.91,0,0,0,0,1305.2000000000003

28,06:45-07:00,96.85,24.21,12.47,48.42,2.42,242.12,24.8,28.09,7.75,91.04,26.91,37.41,4.84,0,0,96.85,96.85,109.92,0,0,6.78,0,84.43,25.18,0,48.42,21.79,3.87,37.41,37.41,0.68,48.42,12.95,26.91,0.25,0,0,0,1305.4500000000003

29,07:00-07:15,96.85,24.21,12.47,48.42,2.42,242.12,24.8,28.09,7.75,91.04,26.91,37.41,4.84,0,0,96.85,96.85,109.92,0,0,6.78,0,84.43,25.18,0,48.42,21.79,3.87,37.41,37.41,0.68,48.42,12.95,26.91,0.66,0,0,0,1305.8600000000004

30,07:15-07:30,96.85,24.21,12.47,48.42,2.42,242.12,24.8,28.09,7.75,91.04,26.91,37.41,4.84,0,0,96.85,96.85,109.92,0,0,6.78,0,84.43,25.18,0,48.42,21.79,3.87,37.41,37.41,0.68,48.42,12.95,26.91,0.89,0,0,0,1306.0900000000004

31,07:30-07:45,96.85,24.21,12.47,48.42,2.42,242.12,24.8,28.09,7.75,91.04,26.91,37.41,4.84,0,0,96.85,96.85,109.92,0,0,6.78,0,84.43,25.18,0,48.42,21.79,3.87,37.41,37.41,0.68,48.42,12.95,26.91,1.23,0,0,0,1306.4300000000003

32,07:45-08:00,96.85,24.21,12.47,48.42,2.42,242.12,24.8,28.09,7.75,91.04,26.91,37.41,4.84,0,0,96.85,96.85,109.92,0,0,6.78,0,84.43,25.18,0,48.42,21.79,3.87,37.41,37.41,0.68,48.42,12.95,26.91,2.35,0,0,0,1307.5500000000002

33,08:00-08:15,96.85,24.21,12.47,48.42,2.42,242.12,24.8,28.09,8.72,91.04,26.91,37.41,4.84,0,0,96.85,96.85,109.92,0,0,6.78,0,84.43,25.18,0,48.42,21.79,3.87,37.41,37.41,0.97,48.42,12.95,26.91,2.79,0,0,0,1309.2500000000002

34,08:15-08:30,96.85,24.21,12.47,48.42,2.42,242.12,24.8,28.09,8.72,91.04,26.91,37.41,4.84,0,0,96.85,96.85,109.92,0,0,6.78,0,84.43,25.18,0,48.42,21.79,3.87,37.41,37.41,0.97,48.42,12.95,26.91,2.5,0,0,0,1308.9600000000003

35,08:30-08:45,96.85,24.21,12.47,48.42,2.42,242.12,24.8,28.09,8.72,91.04,26.91,37.41,4.84,0,0,96.85,96.85,109.92,0,0,6.78,0,84.43,25.16,0,48.42,21.79,3.87,37.41,37.41,0.97,48.42,12.95,26.91,2.31,0,0,0,1308.7500000000002

36,08:45-09:00,96.85,24.21,12.47,48.42,2.42,242.12,24.8,28.09,9.68,91.04,26.91,37.41,4.84,0,0,96.85,96.85,109.92,0,0,6.78,0,84.43,25.16,0,48.42,21.79,3.87,37.41,37.41,0.97,48.42,12.95,26.91,2.42,0,0,0,1309.8200000000004

37,09:00-09:15,96.85,24.21,12.47,48.42,2.42,242.12,24.8,28.09,9.68,91.04,26.91,37.41,4.84,0,0,96.85,96.85,109.92,0,0,6.78,0,84.43,25.16,0,48.42,21.79,3.87,37.41,37.41,0.97,48.42,12.95,26.91,2.91,0,42.61,10.65,1363.5700000000004

38,09:15-09:30,96.85,24.21,12.47,48.42,2.42,242.12,24.8,28.09,11.62,91.04,26.91,37.41,4.84,0,0,96.85,96.85,109.92,0,0,6.78,0,84.43,25.16,0,48.42,21.79,3.87,37.41,37.41,0.97,48.42,12.95,26.91,3.89,0,42.61,10.65,1366.4900000000005

39,09:30-09:45,96.85,24.21,12.47,48.42,2.42,242.12,24.8,28.09,11.62,91.04,26.91,37.41,4.84,0,0,96.85,96.85,109.92,0,0,6.78,0,84.43,25.16,0,48.42,21.79,3.87,37.41,37.41,0.97,48.42,12.95,26.91,4.68,0,42.61,10.65,1367.2800000000004

40,09:45-10:00,96.85,24.21,12.47,48.42,2.42,242.12,24.8,28.09,11.62,91.04,26.91,37.41,4.84,0,0,96.85,96.85,109.92,0,0,6.78,0,84.43,25.16,0,48.42,21.79,3.87,37.41,37.41,0.97,48.42,12.95,26.91,5.25,0,42.61,10.65,1367.8500000000004

41,10:00-10:15,0,24.21,12.47,48.42,2.42,242.12,24.8,28.09,11.62,91.04,26.91,37.41,4.84,48.42,96.85,96.85,96.85,109.92,0,0,6.78,0,84.43,25.16,0,0,21.79,3.87,37.41,37.41,0.97,48.42,12.95,26.91,6.05,0,42.61,10.65,1368.6500000000003

42,10:15-10:30,0,24.21,12.47,48.42,2.42,242.12,24.8,28.09,12.59,91.04,26.91,37.41,4.84,48.42,96.85,96.85,96.85,109.92,0,0,6.78,0,84.43,25.16,0,0,21.79,3.87,37.41,37.41,0.97,48.42,12.95,26.91,6.82,0,42.61,10.65,1370.39

43,10:30-10:45,0,24.21,12.47,48.42,2.42,242.12,24.8,28.09,12.59,91.04,26.91,37.41,4.84,48.42,96.85,96.85,96.85,109.92,0,0,6.78,0,84.43,25.16,0,0,21.79,3.87,37.41,37.41,0.97,48.42,12.95,26.91,5.95,0,42.61,10.65,1369.5200000000002

44,10:45-11:00,0,24.21,12.47,48.42,2.42,242.12,24.8,28.09,12.59,91.04,26.91,37.41,4.84,48.42,96.85,96.85,96.85,109.92,0,0,6.78,0,84.43,25.16,0,0,21.79,3.87,37.41,37.41,0.97,48.42,12.95,26.91,7.48,0,42.61,10.65,1371.0500000000002

45,11:00-11:15,0,24.21,12.47,48.42,2.42,242.12,24.8,28.09,12.59,91.04,26.91,37.41,4.84,48.42,96.85,96.85,96.85,109.92,0,0,6.78,0,84.43,25.16,0,0,21.79,3.87,37.41,37.41,0.97,48.42,12.95,26.91,6.6,0,42.61,10.65,1370.17

46,11:15-11:30,0,24.21,12.47,48.42,2.42,242.12,24.8,28.09,12.59,91.04,26.91,37.41,4.84,48.42,96.85,96.85,96.85,109.92,0,0,6.78,0,84.43,25.16,0,0,21.79,3.87,37.41,37.41,0.97,48.42,12.95,26.91,5.09,0,42.61,10.65,1368.66

47,11:30-11:45,0,24.21,12.47,48.42,2.42,242.12,24.8,28.09,12.59,91.04,26.91,37.41,4.84,48.42,96.85,96.85,96.85,109.92,0,0,6.78,0,84.43,25.16,0,0,21.79,3.87,37.41,37.41,0.97,48.42,12.95,26.91,7.39,0,42.61,10.65,1370.9600000000003

48,11:45-12:00,0,24.21,12.47,48.42,2.42,242.12,24.8,28.09,12.59,91.04,26.91,37.41,4.84,48.42,96.85,96.85,96.85,109.92,0,0,6.78,0,84.43,25.16,0,0,21.79,3.87,37.41,37.41,0.97,48.42,12.95,26.91,6.02,0,42.61,10.65,1369.5900000000001

49,12:00-12:15,0,24.21,12.47,48.42,2.42,242.12,24.8,28.09,12.59,91.04,26.91,37.41,4.84,48.42,96.85,96.85,96.85,109.92,0,0,6.78,0,84.43,25.16,0,0,21.79,3.87,37.41,37.41,0.97,48.42,12.95,26.91,4.7,0,42.61,10.65,1368.2700000000002

50,12:15-12:30,0,24.21,12.47,48.42,2.42,242.12,24.8,28.09,12.59,91.04,26.91,37.41,4.84,48.42,96.85,96.85,96.85,109.92,0,0,6.78,0,84.43,25.16,0,0,21.79,3.87,37.41,37.41,0.97,48.42,12.95,26.91,7.3,0,42.61,10.65,1370.8700000000001

51,12:30-12:45,0,24.21,12.47,48.42,2.42,242.12,24.8,28.09,12.59,91.04,26.91,37.41,4.84,48.42,96.85,96.85,96.85,109.92,0,0,6.78,0,84.43,25.16,0,0,21.79,3.87,37.41,37.41,0.97,48.42,12.95,26.91,6.34,0,42.61,10.65,1369.91

52,12:45-13:00,0,24.21,12.47,48.42,2.42,242.12,24.8,28.09,12.59,91.04,26.91,37.41,4.84,48.42,96.85,96.85,96.85,109.92,0,0,6.78,0,84.43,25.16,0,0,21.79,3.87,37.41,37.41,0.97,48.42,12.95,26.91,6.81,0,42.61,10.65,1370.38

53,13:00-13:15,0,24.21,12.47,48.42,2.42,242.12,24.8,28.09,12.59,91.04,26.91,37.41,4.84,48.42,96.85,96.85,96.85,109.92,0,0,6.78,0,84.43,25.16,0,0,21.79,3.87,37.41,37.41,0.97,48.42,12.95,26.91,6.56,0,42.61,10.65,1370.13

54,13:15-13:30,0,24.21,12.47,48.42,2.42,242.12,24.8,28.09,12.59,91.04,26.91,37.41,4.84,48.42,96.85,96.85,96.85,109.92,0,0,6.78,0,84.43,25.16,0,0,21.79,3.87,37.41,37.41,0.97,48.42,12.95,26.91,7.53,0,42.61,10.65,1371.1000000000001

55,13:30-13:45,0,24.21,12.47,48.42,2.42,242.12,24.8,28.09,12.59,91.04,26.91,37.41,4.84,48.42,96.85,96.85,96.85,109.92,0,0,6.78,0,84.43,25.16,0,0,21.79,3.87,37.41,37.41,0.97,48.42,12.95,26.91,8.38,0,42.61,10.65,1371.9500000000003

56,13:45-14:00,0,24.21,12.47,48.42,2.42,242.12,24.8,28.09,12.59,91.04,26.91,37.41,4.84,48.42,96.85,96.85,96.85,109.92,0,0,6.78,0,84.43,25.16,0,0,21.79,3.87,37.41,37.41,0.97,48.42,12.95,26.91,7.85,0,42.61,10.65,1371.42

57,14:00-14:15,0,24.21,12.47,48.42,2.42,242.12,24.8,28.09,12.59,91.04,26.91,37.41,4.84,48.42,96.85,96.85,96.85,109.92,0,0,6.78,0,84.43,25.16,13.56,0,21.79,3.87,37.41,37.41,0.97,48.42,13.22,26.91,6.96,0,42.61,10.65,1384.3600000000001

58,14:15-14:30,0,24.21,12.47,48.42,2.42,242.12,24.8,28.09,12.59,91.04,26.91,37.41,4.84,48.42,96.85,96.85,96.85,109.92,0,0,6.78,0,84.43,25.16,13.56,0,21.79,3.87,37.41,37.41,0.97,48.42,13.22,26.91,6.65,0,42.61,10.65,1384.0500000000002

59,14:30-14:45,0,24.21,12.47,48.42,2.42,242.12,24.8,28.09,12.59,91.04,26.91,37.41,4.84,48.42,96.85,96.85,96.85,109.92,0,0,6.78,0,84.43,25.16,13.56,0,21.79,3.87,37.41,37.41,0.97,48.42,13.22,26.91,6.77,0,42.61,10.65,1384.17

60,14:45-15:00,0,24.21,12.47,48.42,2.42,242.12,24.8,28.09,12.59,91.04,26.91,37.41,4.84,48.42,96.85,96.85,96.85,109.92,0,0,6.78,0,84.43,25.16,13.56,0,21.79,3.87,37.41,37.41,0.97,48.42,13.22,26.91,7.13,0,42.61,10.65,1384.5300000000002

61,15:00-15:15,0,24.21,12.47,48.42,2.42,242.12,24.8,28.09,12.59,91.04,26.91,37.41,4.84,48.42,96.85,96.85,96.85,109.92,0,0,6.78,0,84.43,25.16,13.56,0,21.79,3.87,37.41,37.41,0.97,48.42,13.22,26.91,6.98,18.98,23.63,10.65,1384.3800000000003

62,15:15-15:30,0,24.21,12.47,48.42,2.42,242.12,24.8,28.09,12.59,91.04,26.91,37.41,4.84,48.42,96.85,96.85,96.85,109.92,0,0,6.78,0,84.43,25.16,13.56,0,21.79,3.87,37.41,37.41,0.97,48.42,13.22,26.91,5.75,15.88,26.73,10.65,1383.1500000000003

63,15:30-15:45,0,24.21,12.47,48.42,2.42,242.12,24.8,28.09,12.59,91.04,26.91,37.41,4.84,48.42,96.85,96.85,96.85,109.92,0,0,6.78,0,84.43,25.16,13.56,0,21.79,3.87,37.41,37.41,0.97,48.42,13.22,26.91,6.02,12.3,30.31,10.65,1383.42

64,15:45-16:00,0,24.21,12.47,48.42,2.42,242.12,24.8,28.09,12.59,91.04,26.91,37.41,4.84,48.42,96.85,96.85,96.85,109.92,0,0,6.78,0,84.43,25.16,13.56,0,21.79,3.87,37.41,37.41,0.97,48.42,13.22,26.91,4.06,8.33,34.28,10.65,1381.46

65,16:00-16:15,0,24.21,12.47,48.42,2.42,242.12,24.8,28.09,12.59,91.04,26.91,37.41,4.84,48.42,96.85,96.85,96.85,109.92,0,0,6.78,0,84.43,25.16,13.56,0,21.79,3.87,37.41,37.41,0.87,48.42,13.68,26.91,4.73,17.14,17.24,7.17,1370.7800000000002

66,16:15-16:30,0,24.21,12.47,48.42,2.42,242.12,24.8,28.09,12.59,91.04,26.91,37.41,4.84,48.42,96.85,96.85,96.85,109.92,0,0,6.78,0,84.43,25.16,13.56,0,21.79,3.87,37.41,37.41,0.87,48.42,13.68,26.91,2.34,13.85,21.4,6.88,1368.97

67,16:30-16:45,0,24.21,12.47,48.42,2.42,242.12,24.8,28.09,12.59,91.04,26.91,37.41,4.84,48.42,96.85,96.85,96.85,109.92,0,0,6.78,0,84.43,25.16,13.56,0,21.79,3.87,37.41,37.41,0.87,48.42,13.68,26.91,1.55,10.36,25.57,6.49,1368.4699999999998

68,16:45-17:00,0,24.21,12.47,48.42,2.42,242.12,24.8,28.09,12.59,91.04,26.91,37.41,4.84,48.42,96.85,96.85,96.85,109.92,0,0,6.78,0,84.43,25.16,13.56,0,21.79,3.87,37.41,37.41,0.87,48.42,13.68,26.91,1.12,7.26,29.54,5.91,1368.33

69,17:00-17:15,96.85,24.21,12.47,48.42,2.42,242.12,24.8,28.09,12.59,91.04,26.91,37.41,4.84,0,0,96.85,96.85,109.92,0,0,6.78,0,84.43,25.16,13.56,48.42,21.79,3.87,37.41,37.41,0.82,48.42,13.68,26.91,0.76,0,0,0,1325.2100000000003

70,17:15-17:30,96.85,24.21,12.47,48.42,2.42,242.12,24.8,28.09,12.59,91.04,26.91,37.41,4.84,0,0,96.85,96.85,109.92,0,0,6.78,0,84.43,25.16,13.56,48.42,21.79,3.87,37.41,37.41,0.82,48.42,13.68,26.91,0.93,0,0,0,1325.3800000000003

71,17:30-17:45,96.85,24.21,12.47,48.42,2.42,242.12,24.8,28.09,12.59,91.04,26.91,37.41,4.84,0,0,96.85,96.85,109.92,0,0,6.78,0,84.43,25.16,13.56,48.42,21.79,3.87,37.41,37.41,0.82,48.42,13.68,26.91,1.03,0,0,0,1325.4800000000002

72,17:45-18:00,96.85,24.21,12.47,48.42,2.42,242.12,24.8,28.09,12.59,91.04,26.91,37.41,4.84,0,0,96.85,96.85,109.92,0,0,6.78,0,84.43,25.16,13.56,48.42,21.79,3.87,37.41,37.41,0.82,48.42,13.68,26.91,0.46,0,0,0,1324.9100000000003

