Column1,Block,NR/2025/33869/C,NR/30092023/31122025/SH-07,GNA/NR/2025/08/01/5126,GNA/NR/2025/08/01/6209,GNA/NR/2025/08/01/5784,GNA/NR/2025/08/01/6475,GNA/NR/2025/08/01/6187,GNA/NR/2025/08/01/1196,NR/2025/33875/C,GNA/NR/2025/08/01/6452,NR/30092023/26122029/SH-06,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/2025/33868/C,GNA/NR/2025/08/01/2414,NR/2025/29992/A/98022,NR/2025/33870/C,GNA/NR/2025/08/01/4452,NR/2025/32397/A/97707,NR/2025/33656/A/98161,NR/2025/33637/A/98112,NR/2025/31049/A/98168,NR/2025/32534/A/98065,NR/2025/31048/A/98169,NR/2025/33633/A/98113,NR/2025/33845/C,NR/2025/33469/A/97789,NR/2025/32262/A/97729,NR/2025/32375/A/98149,NR/2025/32559/A/98267,NR/2025/33847/C,NR/2025/31045/A/98170,NR/2025/32610/A/98266,NR/2025/33848/C,NR/2025/31043/A/98171,NR/2025/29440/A/97646,NR/2025/33849/C,NR/2025/32455/A/98146,NR/2025/32004/A/98271,NR/2025/32534/A/98066,NR/2025/33834/C,NR/2025/31421/A/98156,NR/2025/33670/A/98077,NR/2025/33833/C,NR/2025/32556/A/98268,NR/2025/32535/A/98068,NR/2025/32535/A/98067,GNARE/NR/2024/12/20/3668,NR/2025/32599/A/97863,NR/2025/32532/A/98063,NR/2025/32532/A/98062,NR/2025/33632/A/98114,GNA/NR/2025/08/01/3698,GNA/NR/2025/08/01/4125,Total
3,00:30-00:45,0,0,20.51,33.79,82.05,20.83,29.03,19.31,193.06,20.51,0,19.22,0,41.03,0,0,15.3,8.69,164.1,0,0,0,96.53,0,0,12.55,54.3,48.26,26.32,0,0,26.32,0,96.53,0,0,48.26,106.18,0,0,48.26,82.05,0,26.32,0,0,0,0,0,0,0,14.62,14.62,1368.5499999999997

4,00:45-01:00,0,0,20.51,33.79,82.05,20.83,29.03,19.31,193.06,20.51,0,19.22,0,41.03,0,0,15.3,8.69,164.1,0,0,0,96.53,0,0,12.55,54.3,48.26,26.32,0,0,26.32,0,96.53,0,0,48.26,106.18,0,0,48.26,82.05,0,26.32,0,0,0,0,0,0,0,14.62,14.62,1368.5499999999997

5,01:00-01:15,0,0,20.51,33.79,82.05,20.83,29.03,19.31,193.06,20.51,0,19.22,0,41.03,0,0,15.3,8.69,164.1,0,0,0,96.53,0,0,12.55,54.3,48.26,26.32,0,0,26.32,0,96.53,0,0,48.26,106.18,0,0,48.26,82.05,0,26.32,0,0,0,0,0,0,0,14.62,14.62,1368.5499999999997

6,01:15-01:30,0,0,20.51,33.79,82.05,20.83,29.03,19.31,193.06,20.51,0,19.22,0,41.03,0,0,15.3,8.69,164.1,0,0,0,96.53,0,0,12.55,54.3,48.26,26.32,0,0,26.32,0,96.53,0,0,48.26,106.18,0,0,48.26,82.05,0,26.32,0,0,0,0,0,0,0,14.62,14.62,1368.5499999999997

7,01:30-01:45,0,0,20.51,33.79,82.05,20.83,29.03,19.31,193.06,20.51,0,19.22,0,41.03,14.95,0,15.3,8.69,164.1,0,0,0,96.53,0,0,12.55,54.3,48.26,26.32,0,0,26.32,0,96.53,0.21,0,48.26,106.18,0,0,48.26,82.05,0,26.32,0,0,0,0,0,0,0,14.62,14.62,1383.7099999999998

8,01:45-02:00,0,0,20.51,33.79,82.05,20.83,29.03,19.31,193.06,20.51,0,19.22,0,41.03,18.26,0,15.3,8.69,164.1,0,0,0,96.53,0,0,12.55,54.3,48.26,26.32,0,0,26.32,0,96.53,0.26,0,48.26,106.18,0,0,48.26,82.05,0,26.32,0,0,0,0,0,0,0,14.62,14.62,1387.0699999999997

9,02:00-02:15,0,0,20.51,82.05,82.05,20.83,29.03,19.31,193.06,20.51,0,19.22,0,41.03,28.74,0,15.3,8.69,164.1,0,0,0,96.53,0,0,12.55,54.3,48.26,26.32,0,0,26.32,0,96.53,0.41,0,0,106.18,0,0,48.26,82.05,0,26.32,0,0,0,0,0,0,0,14.62,14.62,1397.6999999999998

10,02:15-02:30,0,0,20.51,82.05,82.05,20.83,29.03,19.31,193.06,20.51,0,19.22,0,41.03,36.48,0,15.3,8.69,164.1,0,0,0,96.53,0,0,12.55,54.3,48.26,26.32,0,0,26.32,0,96.53,0.51,0,0,106.18,0,0,48.26,82.05,0,26.32,0,0,0,0,0,0,0,14.62,14.62,1405.5399999999997

11,02:30-02:45,0,0,20.51,82.05,82.05,20.83,29.03,19.31,193.06,20.51,0,19.22,0,41.03,44.4,0,15.3,8.69,164.1,0,0,0,96.53,0,0,12.55,54.3,48.26,26.32,0,0,26.32,0,96.53,0.63,0,0,106.18,0,0,48.26,82.05,0,26.32,0,0,0,0,0,0,0,14.62,14.62,1413.5799999999997

12,02:45-03:00,0,0,20.51,82.05,82.05,20.83,29.03,19.31,193.06,20.51,0,19.22,0,41.03,44.4,0,15.3,8.69,164.1,0,0,0,96.53,0,0,12.55,54.3,48.26,26.32,0,0,26.32,0,96.53,0.63,0,0,106.18,0,0,48.26,82.05,0,26.32,0,0,0,0,0,0,0,14.62,14.62,1413.5799999999997

13,03:00-03:15,0,0,20.51,82.05,82.05,20.83,29.03,19.31,193.06,20.51,0,19.22,0,41.03,44.4,0,15.3,8.69,164.1,0,0,0,96.53,0,0,12.55,54.3,48.26,26.32,0,0,26.32,0,96.53,0.53,0,0,76.86,0,0,48.26,82.05,0,26.32,0,0,0,0,0,0,0,14.62,14.62,1384.1599999999994

14,03:15-03:30,0,0,20.51,82.05,82.05,20.83,29.03,19.31,193.06,20.51,0,19.22,0,41.03,44.4,0,15.3,8.69,164.1,0,0,0,96.53,0,0,12.55,54.3,48.26,26.32,0,0,26.32,0,96.53,0.53,0,0,76.86,0,0,48.26,82.05,0,26.32,0,0,0,0,0,0,0,14.62,14.62,1384.1599999999994

15,03:30-03:45,0,0,20.51,82.05,82.05,20.83,29.03,19.31,193.06,20.51,0,19.22,0,41.03,44.4,0,15.3,8.69,164.1,0,0,0,96.53,0,0,12.55,54.3,48.26,26.32,0,0,26.32,0,96.53,0.53,0,0,76.86,0,0,48.26,82.05,0,26.32,0,0,0,0,0,0,0,14.62,14.62,1384.1599999999994

16,03:45-04:00,0,0,20.51,82.05,82.05,20.83,29.03,19.31,193.06,20.51,0,19.22,0,41.03,44.4,0,15.3,8.69,164.1,0,0,0,96.53,0,0,12.55,54.3,48.26,26.32,0,0,26.32,0,96.53,0.53,0,0,76.86,0,0,48.26,82.05,0,26.32,0,0,0,0,0,0,0,14.62,14.62,1384.1599999999994

17,04:00-04:15,0,0,20.51,82.05,82.05,20.83,29.03,19.31,193.06,20.51,0,19.22,0,41.03,44.4,0,15.3,8.69,164.1,0,0,0,0,0,0,12.55,0,48.26,26.32,0,0,26.32,0,0,0.53,0,0,76.86,0,0,48.26,82.05,0,26.32,0,0,0,0,0,0,0,14.62,14.62,1136.7999999999997

18,04:15-04:30,0,0,20.51,82.05,82.05,20.83,29.03,19.31,193.06,20.51,0,19.22,0,41.03,44.4,0,15.3,8.69,164.1,0,0,0,0,0,0,12.55,0,48.26,26.32,0,0,26.32,0,0,0.53,0,0,76.86,0,0,48.26,82.05,0,26.32,0,0,0,0,0,0,0,14.62,14.62,1136.7999999999997

19,04:30-04:45,0,0,20.51,82.05,82.05,20.83,29.03,19.31,193.06,20.51,0,19.22,0,41.03,44.4,0,15.3,8.69,164.1,0,0,0,0,0,0,12.55,0,48.26,26.32,0,0,26.32,0,0,0.53,0,0,76.86,0,0,48.26,82.05,0,26.32,0,0,0,0,0,0,0,14.62,14.62,1136.7999999999997

20,04:45-05:00,0,0,20.51,82.05,82.05,20.83,29.03,19.31,193.06,20.51,0,19.22,0,41.03,44.4,0,15.3,8.69,164.1,0,0,0,0,0,0,12.55,0,48.26,26.32,0,0,26.32,0,0,0.53,0,0,76.86,0,0,48.26,82.05,0,26.32,0,0,0,0,0,0,0,14.62,14.62,1136.7999999999997

21,05:00-05:15,0,0,20.51,82.05,82.05,20.83,29.03,19.31,193.06,20.51,0,19.22,0,41.03,44.4,0,15.3,8.69,164.1,0,0,0,0,0,0,12.55,0,48.26,26.32,0,0,26.32,0,0,0.53,0,0,76.86,0,0,48.26,82.05,0,26.32,0,0,0,0,0,0,0,14.62,14.62,1136.7999999999997

22,05:15-05:30,0,0,20.51,82.05,82.05,20.83,29.03,19.31,193.06,20.51,0,19.22,0,41.03,44.4,0,15.3,8.69,164.1,0,0,0,0,0,0,12.55,0,48.26,26.32,0,0,26.32,0,0,0.53,0,0,76.86,0,0,48.26,82.05,0,26.32,0,0,0,0,0,0,0,14.62,14.62,1136.7999999999997

23,05:30-05:45,0,0,20.51,82.05,82.05,20.83,29.03,19.31,193.06,20.51,0,19.22,0,41.03,44.4,0,15.3,8.69,164.1,0,0,0,0,0,0,11.58,0,48.26,26.32,0,0,26.32,0,0,0.53,0,0,76.86,0,0,48.26,82.05,0,26.32,0,0,0,0,0,0,0,14.62,14.62,1135.83

24,05:45-06:00,0,0,20.51,82.05,82.05,20.83,29.03,19.31,193.06,20.51,0,19.22,0,41.03,44.4,0,15.3,8.69,164.1,0,0,0,0,0,0,11.58,0,48.26,26.32,0,0,26.32,0,0,0.53,0,0,76.86,0,0,48.26,82.05,0,26.32,0,0,0.31,0,0,0,0,14.62,14.62,1136.1399999999999

25,06:00-06:15,0,0,20.51,82.05,82.05,20.83,29.03,19.31,193.06,20.51,0,19.22,0,41.03,44.4,0,15.3,0,164.1,0,0,0,0,0,0,11.58,0,48.26,26.32,0,0,26.32,0,0,0.82,0,0,76.86,0,0,48.26,82.05,0,26.32,0,0,1.19,1,0,0.02,0,14.62,14.62,1129.6399999999999

26,06:15-06:30,0,0,20.51,82.05,82.05,20.83,29.03,19.31,193.06,20.51,0,19.22,0,41.03,44.4,0,15.3,0,164.1,0,0,0.01,0,0,0,11.58,0,48.26,26.32,0,0,26.32,0,0,0.82,0,0,76.86,0,0,48.26,82.05,0,26.32,0,0.01,2.07,4,0,0.03,0,14.62,14.62,1133.5499999999997

27,06:30-06:45,0.84,0,20.51,82.05,82.05,20.83,29.03,19.31,193.06,20.51,0,19.22,0,41.03,44.4,0,15.3,0,164.1,0,0,0.06,0,0,0,11.58,0,48.26,26.32,0,0,26.32,0,0,0.82,0,0,76.86,0,0,48.26,82.05,0,26.32,0,0.03,3.47,8,0,0.12,0,14.62,14.62,1139.9499999999996

28,06:45-07:00,1.38,0,20.51,82.05,82.05,20.83,29.03,19.31,193.06,20.51,0,19.22,0,41.03,44.4,0,15.3,0,164.1,0,0,0.11,0,0,0,11.58,0,48.26,26.32,0,0,26.32,0,0,0.82,0,0,76.86,0,0,48.26,82.05,0,26.32,0,0.06,6.21,15,0,0.22,0,14.62,14.62,1150.4099999999999

29,07:00-07:15,1.98,0,20.51,82.05,82.05,20.83,29.03,19.31,193.06,20.51,0,19.22,0,41.03,44.4,0,15.3,0,164.1,0,0,0.16,0,0,0,11.58,0,48.26,26.32,0,0,26.32,0,0,0.87,0,0,76.86,0,0,48.26,82.05,0,26.32,0,0.16,10.11,21,0,0.34,0,14.62,14.62,1161.2299999999996

30,07:15-07:30,2.98,0,20.51,82.05,82.05,20.83,29.03,19.31,193.06,20.51,0,19.22,0,41.03,44.4,0,15.3,0,164.1,0,0,0.19,0,0,0,11.58,0,48.26,26.32,0,0,26.32,0,0,0.87,0,0,76.86,0,0,48.26,82.05,0,26.32,0,0.19,15.15,28,0,0.39,0,14.62,14.62,1174.38

31,07:30-07:45,3.87,0,20.51,82.05,82.05,20.83,29.03,19.31,193.06,20.51,0,19.22,0,41.03,44.4,0,15.3,0,164.1,0,0,0.19,0,0,0,11.58,0,48.26,26.32,0,0,26.32,0,0,0.87,0,0,76.86,0.02,0,48.26,82.05,0,26.32,0.01,0.19,19.7,42,0.02,0.39,0,14.62,14.62,1193.87

32,07:45-08:00,5.27,0,20.51,82.05,82.05,20.83,29.03,19.31,193.06,20.51,0,19.22,0,41.03,44.4,0,15.3,0,164.1,0,0,0.29,0,0,0,11.58,0,48.26,26.32,0,0,26.32,0,0,0.87,0,0,76.86,0.14,0,48.26,82.05,0,26.32,0.1,0.19,23.8,53,0.17,0.48,0,14.62,14.62,1210.9199999999996

33,08:00-08:15,6.21,0,20.51,82.05,82.05,20.83,29.03,19.31,193.06,20.51,0,19.22,0,41.03,44.4,0,15.3,0,164.1,1.64,0,0.29,0,0,0,11.58,0,48.26,26.32,0,0,26.32,0,0,0.97,0,0,76.86,0.26,0,48.26,82.05,0,26.32,0.22,0.19,29.91,67,0.34,0.48,1.16,14.62,14.62,1235.28

34,08:15-08:30,8.56,0,20.51,82.05,82.05,20.83,29.03,19.31,193.06,20.51,0,19.22,0,41.03,44.4,0,15.3,0,164.1,1.64,0,0.29,0,0,0,11.58,0,48.26,26.32,0,0,26.32,0,0,0.97,0,0,76.86,0.39,0,48.26,82.05,0,26.32,0.33,0.19,36.01,81,0.5,0.48,1.16,14.62,14.62,1258.1299999999999

35,08:30-08:45,5.9,0,20.51,82.05,82.05,20.83,29.03,19.31,193.06,20.51,0,19.22,0,41.03,44.4,0,15.3,0,164.1,1.64,0,0.29,0,0,0,13.51,0,48.26,26.32,0,0,26.32,0,0,0.97,0,0,76.86,0.5,0,48.26,82.05,0,26.32,0.43,0.19,42.11,91,0.65,0.48,1.16,14.62,14.62,1273.86

36,08:45-09:00,5.9,0,20.51,82.05,82.05,20.83,29.03,19.31,193.06,20.51,0,19.22,0,41.03,44.4,0,15.3,0,164.1,1.64,0,0.29,0,0,0,13.51,0,48.26,26.32,0,0,26.32,0,0,0.97,0,0,76.86,0.62,0,48.26,82.05,0,26.32,0.62,0.19,48.22,102,0.88,0.48,1.16,14.62,14.62,1291.5099999999998

37,09:00-09:15,5.9,0,20.51,82.05,82.05,20.83,29.03,19.31,193.06,20.51,0,19.22,48.26,41.03,44.4,48.26,15.3,0,164.1,1.64,0,0.29,0,0,76.86,13.51,0,0,0,43.87,0,0,43.87,0,0.97,37.3,0,0,0.77,0,0,82.05,0,0,0.68,0.19,54.6,112,0.97,0.48,1.16,14.62,14.62,1354.2699999999995

38,09:15-09:30,6.88,0,20.51,82.05,82.05,20.83,29.03,19.31,193.06,20.51,0,19.22,48.26,41.03,44.4,48.26,15.3,0,164.1,1.64,0,0.29,0,0,76.86,13.51,0,0,0,43.87,0,0,43.87,0,0.97,37.3,0,0,0.77,0,0,82.05,0,0,0.68,0.19,60.98,123,0.97,0.48,1.16,14.62,14.62,1372.6299999999997

39,09:30-09:45,6.88,0,20.51,82.05,82.05,20.83,29.03,19.31,193.06,20.51,0,19.22,48.26,41.03,44.4,48.26,15.3,0,164.1,1.64,0,0.29,0,0,76.86,13.51,0,0,0,43.87,0,0,43.87,0,0.97,37.3,0,0,0.58,0,0,82.05,0,0,0.48,0.19,55.74,130,0.77,0.48,1.16,14.62,14.62,1373.7999999999995

40,09:45-10:00,7.86,0,20.51,82.05,82.05,20.83,29.03,19.31,193.06,20.51,0,19.22,48.26,41.03,44.4,48.26,15.3,0,164.1,1.64,0,0.29,0,0,76.86,13.51,0,0,0,43.87,0,0,43.87,0,0.97,37.3,0,0,0.58,0,0,82.05,0,0,0.48,0.19,59.74,140,0.77,0.48,1.16,14.62,14.62,1388.7799999999995

41,10:00-10:15,7.86,0,20.51,82.05,82.05,20.83,29.03,19.31,193.06,20.51,0,19.22,48.26,41.03,44.4,48.26,15.3,0,164.1,1.64,0,0.29,0,1.45,76.86,13.51,0,0,0,43.87,0,0,43.87,0,0.97,37.3,0,0,0.58,0,0,82.05,0,0,0.48,0.19,68.17,147,0.77,0.48,1.16,14.62,14.62,1405.6599999999996

42,10:15-10:30,7.86,0,20.51,82.05,82.05,20.83,29.03,19.31,193.06,20.51,0,19.22,48.26,41.03,44.4,48.26,15.3,0,164.1,1.64,0,0.29,0,1.45,76.86,13.51,0,0,0,43.87,0,0,43.87,0,0.97,37.3,0,0,0.58,0,0,82.05,0,0,0.48,0.19,74.12,154,0.87,0.48,1.16,14.62,14.62,1418.7099999999994

43,10:30-10:45,11.57,0,20.51,82.05,82.05,20.83,29.03,19.31,193.06,20.51,0,19.22,48.26,41.03,44.4,48.26,15.3,0,164.1,1.64,0,0.29,0,1.45,76.86,13.51,0,0,0,43.87,0,0,43.87,0,0.97,37.3,0,0,0.39,0,0,82.05,0,0,0.39,0.19,81.22,165,0.58,0.48,1.16,14.62,14.62,1439.9499999999998

44,10:45-11:00,12.86,0,20.51,82.05,82.05,20.83,29.03,19.31,193.06,20.51,0,19.22,48.26,41.03,44.4,48.26,15.3,0,164.1,1.64,0,0.29,0,1.45,76.86,13.51,0,0,0,43.87,0,0,43.87,0,0.97,37.3,0,0,0.39,0,0,82.05,0,0,0.39,0.19,84.76,172,0.58,0.48,1.16,14.62,14.62,1451.7799999999997

45,11:00-11:15,14.13,0,20.51,82.05,82.05,20.83,29.03,19.31,193.06,20.51,0,11.82,48.26,41.03,44.4,48.26,15.3,0,164.1,1.64,0,0.29,0,1.45,76.86,13.51,0,0,0,43.87,0,0,43.87,0,0.97,37.3,0,0,0.39,0,0,82.05,0,0,0.39,0.19,93.96,186,0.58,0.48,1.16,14.62,14.62,1468.85

46,11:15-11:30,15.58,0,20.51,82.05,82.05,20.83,29.03,19.31,193.06,20.51,0,11.82,48.26,41.03,44.4,48.26,15.3,0,164.1,1.64,0,0.29,0,1.45,76.86,13.51,0,0,0,43.87,0,0,43.87,0,0.97,37.3,0,0,0.39,0,0,82.05,0,0,0.39,0.19,95.26,189,0.58,0.48,1.16,14.62,14.62,1474.6

47,11:30-11:45,16.96,0,20.51,82.05,82.05,20.83,29.03,19.31,193.06,20.51,0,11.82,48.26,41.03,44.4,48.26,15.3,0,164.1,1.64,0,0.29,0,1.45,76.86,13.51,0,0,0,43.87,0,0,43.87,0,0.97,37.3,0,0,0.39,0,0,82.05,0,0,0.39,0.19,95.71,189,0.58,0.48,1.16,14.62,14.62,1476.4299999999998

48,11:45-12:00,18.24,0,20.51,82.05,82.05,20.83,29.03,19.31,193.06,20.51,0,11.82,48.26,41.03,44.4,48.26,15.3,0,164.1,1.64,0,0.29,0,1.45,76.86,13.51,0,0,0,43.87,0,0,43.87,0,0.97,37.3,0,0,0.39,0,0,82.05,0,0,0.39,0.19,96.04,189,0.58,0.48,1.16,14.62,14.62,1478.0399999999997

49,12:00-12:15,19.43,0,20.51,82.05,82.05,20.83,29.03,19.31,193.06,20.51,0,11.82,48.26,41.03,44.4,48.26,15.3,0,164.1,1.64,0,0.29,0,1.45,76.86,13.51,0,0,0,43.87,0,0,43.87,0,0.97,37.3,0,0,0.39,0,0,82.05,0,0,0.39,0.19,100,189,0.58,0.48,1.16,14.62,14.62,1483.1899999999998

50,12:15-12:30,19.73,0,20.51,82.05,82.05,20.83,29.03,19.31,193.06,20.51,0,11.82,48.26,41.03,44.4,48.26,15.3,0,164.1,1.64,0,0.29,0,1.45,76.86,13.51,0,0,0,43.87,0,0,43.87,0,0.97,37.3,0,0,0.39,0,0,82.05,0,0,0.39,0.19,100,189,0.58,0.48,1.16,14.62,14.62,1483.4899999999998

51,12:30-12:45,19.99,0,20.51,82.05,82.05,20.83,29.03,19.31,193.06,20.51,0,11.82,48.26,41.03,44.4,48.26,15.3,0,164.1,1.64,0,0.29,0,1.45,76.86,13.51,0,0,0,43.87,0,0,43.87,0,0.97,37.3,0,0,0.39,0,0,82.05,0,0,0.39,0.19,98.33,179,0.58,0.48,1.16,14.62,14.62,1472.0799999999997

52,12:45-13:00,20.27,0,20.51,82.05,82.05,20.83,29.03,19.31,193.06,20.51,0,11.82,48.26,41.03,44.4,48.26,15.3,0,164.1,1.64,0,0.29,0,1.45,76.86,13.51,0,0,0,43.87,0,0,43.87,0,0.97,37.3,0,0,0.39,0,0,82.05,0,0,0.39,0.19,98.33,179,0.58,0.48,1.16,14.62,14.62,1472.3599999999997

53,13:00-13:15,8.84,0,20.51,82.05,82.05,20.83,29.03,19.31,193.06,20.51,0,14.6,48.26,41.03,44.4,48.26,15.3,0,164.1,1.64,0,0.29,0,1.45,76.86,13.51,0,0,0,43.87,0,0,43.87,0,0.97,37.3,0,0,0.39,0,0,82.05,0,0,0.39,0.19,98.33,154,0.58,0.48,1.16,14.62,14.62,1438.7099999999998

54,13:15-13:30,8.84,0,20.51,82.05,82.05,20.83,29.03,19.31,193.06,20.51,0,14.6,48.26,41.03,44.4,48.26,15.3,0,164.1,1.64,0,0.29,0,1.45,76.86,13.51,0,0,0,43.87,0,0,43.87,0,0.97,37.3,0,0,0.39,0,0,82.05,0,0,0.39,0.19,96.67,154,0.58,0.48,1.16,14.62,14.62,1437.05

55,13:30-13:45,8.84,0,20.51,82.05,82.05,20.83,29.03,19.31,193.06,20.51,0,14.6,48.26,41.03,44.4,48.26,15.3,0,164.1,1.64,0,0.29,0,1.45,76.86,13.51,0,0,0,43.87,0,0,43.87,0,0.97,37.3,0,0,0.39,0,0,82.05,0,0,0.39,0.19,84.52,161,0.58,0.48,1.16,14.62,14.62,1431.8999999999999

