Column1,Block,GNA/NR/2025/09/01/2909,GNA/NR/2025/09/01/5084,GNA/NR/2025/09/01/5590,GNA/NR/2025/09/01/7452,GNA/NR/2025/09/01/4602,GNA/NR/2025/09/01/8071,GNA/NR/2025/09/01/4314,NR/30092023/26122029/SH-06,GNA/NR/2025/09/01/7215,GNA/NR/2025/09/01/6485,GNA/NR/2025/09/01/6755,NR/30092023/31122025/SH-07,GNA/NR/2025/09/01/2039,GNA/NR/2025/09/01/9418,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/09/01/7691,GNA/NR/2025/09/01/7205,GNA/NR/2025/09/01/9239,NR/2025/29440/A/101505,NR/2025/34529/A/101944,NR/2025/29910/A/101868,NR/2025/29992/A/101598,NR/2025/34676/A/102031,NR/2025/34527/A/101943,NR/2025/33476/A/101865,NR/2025/33479/A/101866,NR/2025/34499/A/101827,NR/2025/34545/A/102051,NR/2025/34323/A/101860,NR/2025/33226/A/102032,NR/2025/34818/C,NR/2025/34840/C,NR/2025/34528/A/101942,NR/2025/34904/C,NR/2025/34904/C/Alternate/1,NR/2025/34854/C,NR/2025/34854/C/Alternate/1,NR/2025/34856/C,NR/2025/34902/C,NR/2025/34874/C,NR/2025/34892/C,NR/2025/34903/C,NR/2025/34324/A/101852,NR/2025/34325/A/101851,NR/2025/34891/C,NR/2025/34893/C,NR/2025/34885/C,GNARE/NR/2024/12/20/3668,NR/2025/34710/A/101629,NR/2025/34712/A/101633,NR/2025/34713/A/101634,NR/2025/34683/A/101891,NR/2025/34682/A/101893,NR/2025/34683/A/101890,NR/2025/34615/A/101643,NR/2025/34681/A/101894,NR/2025/34681/A/101895,NR/2025/34682/A/101892,Total
3,00:30-00:45,20.48,0,36.86,15.27,0,28.67,20.48,0,12.29,20.48,20.48,0,20.48,19.27,0,8.67,8.67,17.35,0.87,81.91,192.74,44.33,48.18,61.44,96.37,0,122.87,40.96,24.09,48.18,12.53,0,40.96,0,192.74,0,4.82,0,0,0,0,0,24.09,24.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1310.62

4,00:45-01:00,20.48,0,36.86,15.27,0,28.67,20.48,0,12.29,20.48,20.48,0,20.48,19.27,0,8.67,8.67,17.35,0.87,81.91,192.74,44.33,48.18,61.44,96.37,0,122.87,40.96,24.09,48.18,12.53,0,40.96,0,192.74,0,4.82,0,0,0,0,0,24.09,24.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1310.62

5,01:00-01:15,20.48,0,36.86,15.27,0,28.67,20.48,0,12.29,20.48,20.48,0,20.48,19.27,0,8.67,8.67,17.35,0.63,81.91,192.74,44.33,48.18,61.44,96.37,0,122.87,40.96,24.09,48.18,12.53,0,40.96,0,192.74,0,4.82,0,0,0,0,0,24.09,24.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1310.3799999999999

6,01:15-01:30,20.48,0,36.86,15.27,0,28.67,20.48,0,12.29,20.48,20.48,0,20.48,19.27,0,8.67,8.67,17.35,0.63,81.91,192.74,44.33,48.18,61.44,96.37,0,122.87,40.96,24.09,48.18,12.53,0,40.96,0,192.74,0,4.82,0,0,0,0,0,24.09,24.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1310.3799999999999

7,01:30-01:45,20.48,0,36.86,15.27,0,28.67,20.48,0,12.29,20.48,20.48,0,20.48,19.27,0,8.67,8.67,17.35,0.63,81.91,192.74,44.33,48.18,61.44,96.37,0,122.87,40.96,24.09,48.18,12.53,0,40.96,0,192.74,0,4.82,0,0,0,0,0,24.09,24.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1310.3799999999999

8,01:45-02:00,20.48,0,36.86,15.27,0,28.67,20.48,0,12.29,20.48,20.48,0,20.48,19.27,0,8.67,8.67,17.35,0.63,81.91,192.74,44.33,48.18,61.44,96.37,0,122.87,40.96,24.09,48.18,12.53,0,40.96,0,192.74,0,4.82,0,0,0,0,0,24.09,24.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1310.3799999999999

9,02:00-02:15,20.48,61.44,36.86,15.27,40.96,28.67,20.48,0,12.29,20.48,20.48,0,20.48,19.27,0,8.67,8.67,17.35,0.63,81.91,192.74,44.33,48.18,0,96.37,0,122.87,40.96,24.09,48.18,12.53,0,0,0,192.74,4.82,0,0,0,0,0,0,24.09,24.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1310.3799999999999

10,02:15-02:30,20.48,61.44,36.86,15.27,40.96,28.67,20.48,0,12.29,20.48,20.48,0,20.48,19.27,0,8.67,8.67,17.35,0.63,81.91,192.74,44.33,48.18,0,96.37,0,122.87,40.96,24.09,48.18,12.53,0,0,0,192.74,4.82,0,0,0,0,0,0,24.09,24.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1310.3799999999999

11,02:30-02:45,20.48,61.44,36.86,15.27,40.96,28.67,20.48,0,12.29,20.48,20.48,0,20.48,19.27,3.71,8.67,8.67,17.35,0.63,81.91,192.74,44.33,48.18,0,96.37,0,122.87,40.96,24.09,48.18,12.53,0,0,0,192.74,4.82,0,0,0,0,0,0,24.09,24.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1314.09

12,02:45-03:00,20.48,61.44,36.86,15.27,40.96,28.67,20.48,0,12.29,20.48,20.48,0,20.48,19.27,3.71,8.67,8.67,17.35,0.63,81.91,192.74,44.33,48.18,0,96.37,0,122.87,40.96,24.09,48.18,12.53,0,0,0,192.74,4.82,0,0,0,0,0,0,24.09,24.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1314.09

13,03:00-03:15,20.48,61.44,36.86,15.27,40.96,28.67,20.48,0,12.29,20.48,20.48,0,20.48,19.27,3.71,8.67,8.67,17.35,0.53,81.91,192.74,44.33,48.18,0,96.37,0,122.87,40.96,24.09,48.18,12.53,0,0,0,192.74,4.82,0,0,0,0,0,0,24.09,24.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1313.9899999999998

14,03:15-03:30,20.48,61.44,36.86,15.27,40.96,28.67,20.48,0,12.29,20.48,20.48,0,20.48,19.27,3.71,8.67,8.67,17.35,0.53,81.91,192.74,44.33,48.18,0,96.37,0,122.87,40.96,24.09,48.18,12.53,0,0,0,192.74,4.82,0,0,0,0,0,0,24.09,24.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1313.9899999999998

15,03:30-03:45,20.48,61.44,36.86,15.27,40.96,28.67,20.48,0,12.29,20.48,20.48,0,20.48,19.27,3.71,8.67,8.67,17.35,0.53,81.91,192.74,44.33,48.18,0,96.37,0,122.87,40.96,24.09,48.18,12.53,0,0,77.39,115.35,4.82,0,0,0,0,0,0,24.09,24.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1313.9899999999998

16,03:45-04:00,20.48,61.44,36.86,15.27,40.96,28.67,20.48,0,12.29,20.48,20.48,0,20.48,19.27,3.71,8.67,8.67,17.35,0.53,81.91,192.74,44.33,48.18,0,96.37,0,122.87,40.96,24.09,48.18,12.53,0,0,79.27,113.47,4.82,0,0,0,0,0,0,24.09,24.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1313.9899999999998

17,04:00-04:15,20.48,61.44,36.86,15.27,40.96,28.67,20.48,0,12.29,20.48,20.48,0,20.48,19.27,3.71,8.67,8.67,17.35,0.53,81.91,192.74,44.33,48.18,0,0,0,122.87,40.96,24.09,48.18,12.53,0,0,79.72,113.02,4.82,0,0,0,0,0,0,24.09,24.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1217.6199999999997

18,04:15-04:30,20.48,61.44,36.86,15.27,40.96,28.67,20.48,0,12.29,20.48,20.48,0,20.48,19.27,3.71,8.67,8.67,17.35,0.53,81.91,192.74,44.33,48.18,0,0,0,122.87,40.96,24.09,48.18,12.53,0,0,82.39,110.35,4.82,0,0,0,0,0,0,24.09,24.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1217.6199999999997

19,04:30-04:45,20.48,61.44,36.86,15.27,40.96,28.67,20.48,0,12.29,20.48,20.48,0,20.48,19.27,3.71,8.67,8.67,17.35,0.53,81.91,192.74,44.33,48.18,0,0,0,122.87,40.96,24.09,48.18,12.53,0,0,166.23,26.51,4.82,0,0,0,0,0,0,24.09,24.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1217.6199999999997

20,04:45-05:00,20.48,61.44,36.86,15.27,40.96,28.67,20.48,0,12.29,20.48,20.48,0,20.48,19.27,3.71,8.67,8.67,17.35,0.53,81.91,192.74,44.33,48.18,0,0,0,122.87,40.96,24.09,48.18,12.53,0,0,169.3,23.44,4.82,0,0,0,0,0,0,24.09,24.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1217.62

21,05:00-05:15,20.48,61.44,36.86,15.27,40.96,28.67,20.48,0,12.29,20.48,20.48,0,20.48,19.27,3.71,8.67,8.67,17.35,0.53,81.91,28.91,44.33,48.18,0,0,0,122.87,40.96,24.09,48.18,12.53,0,0,192.74,0,0,0,0,0,0,0,0,24.09,24.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1048.9699999999998

22,05:15-05:30,20.48,61.44,36.86,15.27,40.96,28.67,20.48,0,12.29,20.48,20.48,0,20.48,19.27,3.71,8.67,8.67,17.35,0.53,81.91,28.91,44.33,48.18,0,0,0,122.87,40.96,24.09,48.18,12.53,0,0,192.74,0,0,0,0,0,0,0,0,24.09,24.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1048.9699999999998

23,05:30-05:45,20.48,61.44,36.86,15.27,40.96,28.67,20.48,0,12.29,20.48,20.48,0,20.48,19.27,3.71,8.67,8.67,17.35,0.53,81.91,28.91,44.33,48.18,0,0,0,122.87,40.96,24.09,48.18,11.56,0,0,192.74,0,0,0,0,0,0,0,0,24.09,24.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1048

24,05:45-06:00,20.48,61.44,36.86,15.27,40.96,28.67,20.48,0,12.29,20.48,20.48,0,20.48,19.27,3.71,8.67,8.67,17.35,0.53,81.91,28.91,44.33,48.18,0,0,0,122.87,40.96,24.09,48.18,11.56,0,0,192.74,0,0,0,0,0,0,0,0,24.09,24.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1048

25,06:00-06:15,20.48,61.44,36.86,15.27,40.96,28.67,20.48,0,12.29,20.48,20.48,0,20.48,19.27,3.71,8.67,8.67,17.35,0.82,81.91,28.91,44.33,48.18,0,0,0,122.87,40.96,24.09,48.18,11.56,0,0,192.74,0,0,0,0,0,0,0,0,24.09,24.09,0,0,0,0.36,0,0,0,0,0,0,0,0,0,0,1048.6499999999999

26,06:15-06:30,20.48,61.44,36.86,15.27,40.96,28.67,20.48,0,12.29,20.48,20.48,0,20.48,19.27,3.71,8.67,8.67,17.35,0.82,81.91,28.91,44.33,48.18,0,0,0,122.87,40.96,24.09,48.18,11.56,0,0,192.74,0,0,0,0,0,0,0,0,24.09,24.09,0,0,0,1.16,0,0,0,0,0,0,1,0,0,0,1050.45

27,06:30-06:45,20.48,61.44,36.86,15.27,40.96,28.67,20.48,0,12.29,20.48,20.48,0,20.48,19.27,3.71,8.67,8.67,17.35,0.82,81.91,28.91,44.33,48.18,0,0,0,122.87,40.96,24.09,48.18,11.56,0,0,192.74,0,0,0,0,0,0,0,0,24.09,24.09,0,0,0.84,2,0,0,0,0,0,0.13,4,0.04,0,0.09,1055.3899999999999

28,06:45-07:00,20.48,61.44,36.86,15.27,40.96,28.67,20.48,0,12.29,20.48,20.48,0,20.48,19.27,3.71,8.67,8.67,17.35,0.82,81.91,28.91,44.33,48.18,0,0,0,122.87,40.96,24.09,48.18,11.56,0,0,192.74,0,0,0,0,0,0,0,0,24.09,24.09,0,0,1.38,3.05,0,0,0,0,0,0.36,9,0.09,0,0.17,1062.34

29,07:00-07:15,20.48,61.44,36.86,15.27,40.96,28.67,20.48,0,12.29,20.48,20.48,0,20.48,19.27,3.71,8.67,8.67,17.35,0.87,81.91,28.91,44.33,48.18,0,0,0,122.87,40.96,24.09,48.18,11.56,0,0,192.74,0,0,0,0,0,0,0,0,24.09,24.09,0,0,1.98,6.09,0,0,0,0,0,0.39,13,0.19,0,0.19,1070.18

30,07:15-07:30,20.48,61.44,36.86,15.27,40.96,28.67,20.48,0,12.29,20.48,20.48,0,20.48,19.27,3.71,8.67,8.67,17.35,0.87,81.91,28.91,44.33,48.18,0,0,0,122.87,40.96,24.09,48.18,11.56,0,0,192.74,0,0,0,0,0,0,0,0,24.09,24.09,0,0,2.98,8.5,0,0,0,0,0,0.39,21,0.19,0,0.19,1081.5900000000001

31,07:30-07:45,20.48,61.44,36.86,15.27,40.96,28.67,20.48,0,12.29,20.48,20.48,0,20.48,19.27,3.71,8.67,8.67,17.35,0.87,81.91,28.91,44.33,48.18,0,0,0,122.87,40.96,24.09,48.18,11.56,0,0,192.74,0,0,0,0,0,0,0,0,24.09,24.09,0,0,3.86,10.92,0,0,0,0.06,0.05,0.15,28,0.08,0.03,0.08,1091.5699999999997

32,07:45-08:00,20.48,61.44,36.86,15.27,40.96,28.67,20.48,0,12.29,20.48,20.48,0,20.48,19.27,3.71,8.67,8.67,17.35,0.87,81.91,28.91,44.33,48.18,0,0,0,122.87,40.96,24.09,48.18,11.56,0,0,192.74,0,0,0,0,0,0,0,0,24.09,24.09,0,0,5.26,13.34,0,0,0,0.14,0.12,0,35,0,0.1,0,1102.2999999999997

33,08:00-08:15,20.48,61.44,36.86,15.27,40.96,28.67,20.48,0,12.29,20.48,20.48,0,20.48,19.27,3.71,14.6,14.6,28.98,0.96,81.91,28.91,44.33,48.18,0,0,0,122.87,40.96,24.09,48.18,11.56,0,0,192.74,0,0,0,0,0,0,0,0,24.09,24.09,0,0,6.2,20.7,1.64,0,1.16,0.96,0.08,0,46,0,0.07,0,1148.73

34,08:15-08:30,20.48,61.44,36.86,15.27,40.96,28.67,20.48,0,12.29,20.48,20.48,0,20.48,19.27,3.71,14.6,14.6,28.98,0.96,81.91,28.91,44.33,48.18,0,0,0,122.87,40.96,24.09,48.18,11.56,0,0,192.74,0,0,0,0,0,0,0,0,24.09,24.09,0,0,8.55,27.29,1.64,0,1.16,0.96,0.14,0,60,0,0.13,0,1171.7900000000002

35,08:30-08:45,20.48,61.44,36.86,15.27,40.96,28.67,20.48,0,12.29,20.48,20.48,0,20.48,19.27,3.71,14.6,14.6,28.98,0.96,81.91,31.97,44.33,48.18,0,0,0,122.87,40.96,24.09,48.18,13.49,0,0,192.74,0,0,0,0,0,0,0,0,24.09,24.09,0,0,5.89,28.28,1.64,0,1.16,0.96,0.21,0,67,0,0.15,0,1182.2000000000003

36,08:45-09:00,20.48,61.44,36.86,15.27,40.96,28.67,20.48,0,12.29,20.48,20.48,0,20.48,19.27,3.71,14.6,14.6,28.98,0.96,81.91,31.97,44.33,48.18,0,0,0,122.87,40.96,24.09,48.18,13.49,0,0,192.74,0,0,0,0,0,0,0,0,24.09,24.09,0,0,5.89,32.9,1.64,0,1.16,0.96,0.25,0,74,0,0.22,0,1193.9300000000003

37,09:00-09:15,20.48,61.44,36.86,15.27,40.96,28.67,20.48,0,12.29,20.48,20.48,0,20.48,19.27,0,14.6,14.6,28.98,0.96,81.91,31.97,44.33,0,0,0,0,0,0,0,0,13.49,0,0,192.74,0,0,0,40.96,48.18,122.87,43.8,48.18,0,0,43.8,39.42,5.89,41.14,1.64,0,1.16,0.96,0.26,0.48,84,0.19,0.23,0.29,1264.1900000000005

38,09:15-09:30,20.48,61.44,36.86,15.27,40.96,28.67,20.48,0,12.29,20.48,20.48,0,20.48,19.27,0,14.6,14.6,28.98,0.96,81.91,31.97,44.33,0,0,0,0,0,0,0,0,13.49,0,0,192.74,0,0,0,40.96,48.18,122.87,43.8,48.18,0,0,43.8,39.42,6.87,44.28,1.64,0,1.16,0.96,0.29,0.48,95,0.19,0.25,0.29,1279.3600000000001

39,09:30-09:45,20.48,61.44,36.86,15.27,40.96,28.67,20.48,0,12.29,20.48,20.48,0,20.48,19.27,0,14.6,14.6,28.98,0.96,81.91,31.97,44.33,0,0,0,0,0,0,0,0,13.49,0,0,192.74,0,0,0,40.96,48.18,122.87,43.8,48.18,0,0,43.8,39.42,6.87,47.37,1.64,0,1.16,0.96,0.31,0.48,123,0.19,0.23,0.29,1310.45

40,09:45-10:00,20.48,61.44,36.86,15.27,40.96,28.67,20.48,0,12.29,20.48,20.48,0,20.48,19.27,0,14.6,14.6,28.98,0.96,81.91,31.97,44.33,0,0,0,0,0,0,0,0,13.49,0,0,192.74,0,0,0,40.96,48.18,122.87,43.8,48.18,0,0,43.8,39.42,7.84,50.26,1.64,0,1.16,0.96,0.32,0,133,0.19,0.28,0,1323.6000000000001

41,10:00-10:15,20.48,61.44,36.86,15.27,40.96,28.67,20.48,0,12.29,20.48,20.48,0,20.48,19.27,0,14.6,14.6,28.98,0.96,81.91,31.97,44.33,0,0,0,0,0,0,0,0,13.49,0,0,192.74,0,0,0,40.96,48.18,122.87,43.8,48.18,0,0,43.8,39.42,7.84,75.66,1.64,1.45,1.16,0.96,0.37,0,140,0.19,0.33,0,1357.5500000000002

42,10:15-10:30,20.48,61.44,36.86,15.27,40.96,28.67,20.48,0,12.29,20.48,20.48,0,20.48,19.27,0,14.6,14.6,28.98,0.96,81.91,31.97,44.33,0,0,0,0,0,0,0,0,13.49,0,0,192.74,0,0,0,40.96,48.18,122.87,43.8,48.18,0,0,43.8,39.42,7.84,79.88,1.64,1.45,1.16,0.96,0.39,0,151,0.19,0.34,0,1372.8000000000004

43,10:30-10:45,20.48,61.44,36.86,15.27,40.96,28.67,20.48,0,12.29,20.48,20.48,0,20.48,19.27,0,14.6,14.6,28.98,0.96,81.91,31.97,44.33,0,0,0,0,0,0,0,0,13.49,0,0,192.74,0,0,0,40.96,48.18,122.87,43.8,48.18,0,0,43.8,39.42,11.55,98.33,1.64,1.45,1.16,0.96,0.39,0,158,0.19,0.34,0,1401.9600000000003

44,10:45-11:00,20.48,61.44,36.86,15.27,40.96,28.67,20.48,0,12.29,20.48,20.48,0,20.48,19.27,0,14.6,14.6,28.98,0.96,81.91,31.97,44.33,0,0,0,0,0,0,0,0,13.49,0,0,192.74,0,0,0,40.96,48.18,122.87,43.8,48.18,0,0,43.8,39.42,12.84,100,1.64,1.45,1.16,0.96,0.39,0,165,0.19,0.34,0,1411.9200000000003

45,11:00-11:15,20.48,61.44,36.86,15.27,40.96,28.67,20.48,0,12.29,20.48,20.48,0,20.48,19.27,0,14.6,14.6,28.98,0.96,81.91,31.97,44.33,0,0,0,0,0,0,0,0,13.49,0,0,192.74,0,0,0,40.96,48.18,122.87,43.8,48.18,0,0,43.8,39.42,14.11,100,1.64,1.45,1.16,0.43,0.77,0,172,0.19,0.67,0,1420.3700000000003

46,11:15-11:30,20.48,61.44,36.86,15.27,40.96,28.67,20.48,0,12.29,20.48,20.48,0,20.48,19.27,0,14.6,14.6,28.98,0.96,81.91,31.97,44.33,0,0,0,0,0,0,0,0,13.49,0,0,192.74,0,0,0,40.96,48.18,122.87,43.8,48.18,0,0,43.8,39.42,15.55,100,1.64,1.45,1.16,0.43,0.77,0,179,0.19,0.67,0,1428.8100000000004

47,11:30-11:45,20.48,61.44,36.86,15.27,40.96,28.67,20.48,0,12.29,20.48,20.48,0,20.48,19.27,0,14.6,14.6,28.98,0.96,81.91,31.97,44.33,0,0,0,0,0,0,0,0,13.49,0,0,192.74,0,0,0,40.96,48.18,122.87,43.8,48.18,0,0,43.8,39.42,16.93,93.33,1.64,1.45,1.16,0.43,0.77,0,147,0.19,0.67,0,1391.5200000000004

48,11:45-12:00,20.48,61.44,36.86,15.27,40.96,28.67,20.48,0,12.29,20.48,20.48,0,20.48,19.27,0,14.6,14.6,28.98,0.96,81.91,31.97,44.33,0,0,0,0,0,0,0,0,13.49,0,0,192.74,0,0,0,40.96,48.18,122.87,43.8,48.18,0,0,43.8,39.42,18.21,93.33,1.64,1.45,1.16,0.43,0.77,0,154,0.19,0.67,0,1399.8000000000004

49,12:00-12:15,20.48,61.44,36.86,15.27,40.96,28.67,20.48,0,12.29,20.48,20.48,0,20.48,19.27,0,14.6,14.6,28.98,0.96,81.91,31.97,44.33,0,0,0,0,0,0,0,0,13.49,0,0,192.74,0,0,0,40.96,48.18,122.87,43.8,48.18,0,0,43.8,39.42,19.4,93.33,1.64,1.45,1.16,0.43,0.77,0.48,161,0,0.67,0,1408.2800000000004

