Block,Time,BRBCL,RAPPB,RIHAND2,SALAL,TANDA2,TEHRI,UNCHAHAR1,UNCHAHAR4,ANTA_GF,DADRI_LF,CHAMERA3,DULHASTI,KHSTPP-II,KISHANGANGA,SASAN,SEWA2,SINGRAULI,TALA,URI,URI2,ANTA_CRF,AURY_GF,AURY_LF,DADRI_GF,CHAMERA1,KOLDAM,NLCIIST1,NLCIIST2,NNTPP,RIHAND3,ANTA_LF,AURY_RF,DHAULIGNGA,KKNP,NTPL,PARBATI3,RIHAND1,UNCHAHAR2,DADRI_CRF,JHAJJAR,KUDGI,NJPC,NLCEXP,RAMPUR,SIMHST2,KHSTPP-I,KKNPPU2,RSTPSU7,SINGRAULI_HYDRO,TANAKPUR,TelanganaSTPP,DADRI_RF,CHAMERA2,MAPS,NLCTS2EXP,RSTPSU1TO6,SIMHST1,TALST2,UNCHAHAR3,ANTA_RF,AURY_CRF,BSIUL,DADRT2,FSTPP I & II,KGSU1AND2,KGSU3AND4,KOTESHWR,NAPP,RAPPC,VALLURNTECL
6,01:15-01:30,20,0,118.75,1.4,0,0,20.56,0,0,23.57,0,0,148.3,0,345.94,0,125.96,0,1.11,4.31,44.83,0,0,0,0,0,0,0,0,124.32,0,71.46,0,0,0,0,45,42.39,0,436.2,0,0,0,0,0,45.22,0,0,0,7.81,0,47.12,0,0,0,0,0,0,26.39,0,0,0,683.14,13.9,0,0,8.88,44.21,53.81,0

7,01:30-01:45,20,0,118.75,1.4,0,0,20.56,0,0,23.57,0,0,148.3,0,345.94,0,125.96,0,1.11,4.31,44.83,0,0,0,0,0,0,0,0,124.32,0,71.46,0,0,0,0,45,42.39,0,436.2,0,0,0,0,0,45.22,0,0,0,7.81,0,47.12,0,0,0,0,0,0,26.39,0,0,0,683.14,13.9,0,0,8.88,44.21,53.81,0

8,01:45-02:00,20,0,118.75,1.4,0,0,20.56,0,0,23.57,0,0,148.3,0,345.94,0,125.96,0,1.11,4.31,44.83,0,0,0,0,0,0,0,0,124.32,0,71.46,0,0,0,0,45,42.39,0,436.2,0,0,0,0,0,45.22,0,0,0,7.81,0,47.12,0,0,0,0,0,0,26.39,0,0,0,683.14,13.9,0,0,8.88,44.21,53.81,0

9,02:00-02:15,20,0,118.75,1.4,0,0,20.56,0,0,23.57,0,0,148.3,0,345.94,0,125.96,0,1.11,4.31,44.83,0,0,0,0,0,0,0,0,124.32,0,71.46,0,0,0,0,45,42.39,0,436.2,0,0,0,0,0,45.22,0,0,0,2.05,0,47.12,0,0,0,0,0,0,26.39,0,0,0,683.14,13.9,0,0,8.88,44.21,53.81,0

10,02:15-02:30,20,0,118.75,1.4,0,0,20.56,0,0,23.57,0,0,148.3,0,345.94,0,125.96,0,1.11,4.31,44.83,0,0,0,0,0,0,0,0,124.32,0,71.46,0,0,0,0,45,42.39,0,436.2,0,0,0,0,0,45.22,0,0,0,2.05,0,47.12,0,0,0,0,0,0,26.39,0,0,0,683.14,13.9,0,0,8.88,44.21,53.81,0

11,02:30-02:45,20,0,118.75,1.4,0,0,20.56,0,0,23.57,0,0,148.3,0,345.94,0,125.96,0,1.11,4.31,44.83,0,0,0,0,0,0,0,0,124.32,0,71.46,0,0,0,0,45,42.39,0,436.2,0,0,0,0,0,45.22,0,0,0,2.56,0,47.12,0,0,0,0,0,0,26.39,0,0,0,683.14,13.9,0,0,8.88,44.21,53.81,0

12,02:45-03:00,20,0,118.75,1.4,0,0,20.56,0,0,23.57,0,0,148.3,0,345.94,0,125.96,0,1.11,4.31,45.05,0,0,0,0,0,0,0,0,124.32,0,71.46,0,0,0,0,45,42.39,0,436.2,0,0,0,0,0,45.22,0,0,0,2.56,0,47.12,0,0,0,0,0,0,26.39,0,0,0,683.14,13.9,0,0,8.88,44.21,53.81,0

13,03:00-03:15,20,0,118.75,1.4,0,0,20.56,0,0,23.57,0,0,148.3,0,345.94,0,125.96,0,1.11,4.31,45.05,0,0,0,0,0,0,0,0,124.32,0,71.46,0,0,0,0,45,42.39,0,436.2,0,0,0,0,0,45.22,0,0,0,2.56,0,47.12,0,0,0,0,0,0,26.39,0,0,0,683.14,13.9,0,0,8.88,44.21,53.81,0

14,03:15-03:30,20,0,118.75,1.4,0,0,20.56,0,0,23.57,0,0,148.3,0,345.94,0,125.96,0,1.11,4.31,45.05,0,0,0,0,0,0,0,0,124.32,0,71.46,0,0,0,0,45,42.39,0,436.2,0,0,0,0,0,45.22,0,0,0,2.56,0,47.12,0,0,0,0,0,0,26.39,0,0,0,683.14,13.9,0,0,8.88,44.21,53.81,0

15,03:30-03:45,20,0,118.75,1.4,0,0,20.56,0,0,23.57,0,0,148.3,0,345.94,0,125.96,0,1.11,4.31,45.05,0,0,0,0,0,0,0,0,124.32,0,71.46,0,0,0,0,45,42.39,0,436.2,0,0,0,0,0,45.22,0,0,0,2.56,0,47.12,0,0,0,0,0,0,26.39,0,0,0,683.14,13.9,0,0,8.88,44.21,53.81,0

16,03:45-04:00,20,0,118.75,1.4,0,0,20.56,0,0,23.57,0,0,148.3,0,345.94,0,125.96,0,1.11,4.31,45.05,0,0,0,0,0,0,0,0,124.32,0,71.46,0,0,0,0,45,42.39,0,436.2,0,0,0,0,0,45.22,0,0,0,2.56,0,47.12,0,0,0,0,0,0,26.39,0,0,0,683.14,13.9,0,0,8.88,44.21,53.81,0

17,04:00-04:15,20,0,118.75,1.4,0,0,20.56,0,0,23.57,0,0,148.3,0,345.94,0,125.96,0,1.11,4.31,45.05,0,0,0,0,0,0,0,0,124.32,0,71.46,0,0,0,0,45,42.39,0,436.2,0,0,0,0,0,45.22,0,0,0,2.56,0,47.12,0,0,0,0,0,0,26.39,0,0,0,683.14,13.9,0,0,8.88,44.21,53.81,0

18,04:15-04:30,20,0,118.75,1.4,0,0,20.56,0,0,23.57,0,0,148.3,0,345.94,0,125.96,0,1.11,4.31,45.05,0,0,0,0,0,0,0,0,124.32,0,71.46,0,0,0,0,45,42.39,0,436.2,0,0,0,0,0,45.22,0,0,0,2.56,0,47.12,0,0,0,0,0,0,26.39,0,0,0,683.14,13.9,0,0,8.88,44.21,53.81,0

19,04:30-04:45,20,0,118.75,12.78,0,0,20.56,0,0,23.57,0,0,148.3,0,345.94,0,125.96,0,1.11,4.31,45.25,0,0,0,0,0,0,0,0,124.32,0,71.46,0,0,0,0,45,42.39,0,436.2,0,0,0,0,0,45.22,0,0,0,2.56,0,47.12,0,0,0,0,0,0,26.39,0,0,0,683.14,13.9,0,0,8.88,44.21,53.81,0

20,04:45-05:00,20,0,118.75,55.77,0,15.56,20.56,0,0,23.57,0,0,148.3,0,345.94,0,125.96,0,1.11,4.31,45.25,0,0,0,0,0,0,0,0,124.32,0,71.46,0,0,0,0,45,42.39,0,436.2,0,0,0,0,0,45.22,0,0,0,2.56,0,47.12,0,0,0,0,0,0,26.39,0,0,0,683.14,13.9,0,0,8.88,44.21,53.81,0

21,05:00-05:15,20,0,118.75,55.77,0,31.12,20.56,0,0,23.57,0,0,148.3,0,345.94,0,125.96,0,1.11,4.31,45.25,0,0,0,0,0,0,0,0,124.32,0,71.46,0,0,0,0,45,42.39,0,436.2,0,0,0,0,0,45.22,0,0,0,2.56,0,47.12,0,0,0,0,0,0,26.39,0,0,0,683.14,13.9,0,0,8.88,44.21,53.81,0

22,05:15-05:30,20,0,118.75,55.77,0,31.12,20.56,0,0,23.57,0,0,148.3,0,345.94,0,125.96,0,1.11,4.31,45.25,0,0,0,0,0,0,0,0,124.32,0,71.46,0,0,0,0,45,42.39,0,436.2,0,0,0,0,0,45.22,0,0,0,2.56,0,47.12,0,0,0,0,0,0,26.39,0,0,0,683.14,13.9,0,0,8.88,44.21,53.81,0

23,05:30-05:45,20,0,118.75,55.77,0,31.12,20.56,0,0,23.57,0,0,148.3,0,345.94,0,125.96,0,1.11,4.31,45.25,0,0,0,0,0,0,0,0,124.32,0,71.46,0,0,0,0,45,42.39,0,436.2,0,20.83,0,0,0,45.22,0,0,0,2.56,0,47.12,0,0,0,0,0,0,26.39,0,0,0,683.14,13.9,0,0,8.88,44.21,53.81,0

24,05:45-06:00,20,0,118.75,41.83,0,46.68,20.56,0,0,23.57,0,0,148.3,0,345.94,0,125.96,0,1.11,4.31,45.05,0,0,0,0,0,0,0,0,124.32,0,71.46,9.14,0,0,0,45,42.39,0,436.2,0,46.79,0,0,0,45.22,0,0,0,2.56,0,47.12,0,0,0,0,0,0,26.39,0,0,0,683.14,13.9,0,0,8.88,44.21,53.81,0

25,06:00-06:15,20,0,118.75,41.83,0,62.24,20.56,0,0,23.57,0,0,148.3,0,345.94,0,125.96,0,1.11,4.31,0,0,0,0,0,0,0,0,0,124.32,0,71.46,18.27,0,0,3.82,45,42.39,0,436.2,0,70.17,0,0,0,45.22,0,0,0,7.81,0,47.12,0,0,0,0,0,0,26.39,45.25,0,1.1,683.14,13.9,0,0,8.88,44.21,53.81,0

26,06:15-06:30,20,0,118.75,12.78,0,62.24,20.56,0,0,23.57,9.67,0,148.3,0,345.94,5.27,125.96,0,1.11,4.31,0,0,0,0,0,0,0,0,0,124.32,0,71.46,18.27,0,0,16.55,45,42.39,0,436.2,0,93.56,0,0,0,45.22,0,0,0,7.81,0,47.12,2.67,0,0,0,0,0,26.39,45.25,0,6.52,683.14,13.9,0,0,17.75,44.21,53.81,0

27,06:30-06:45,20,0,118.75,2.33,0,62.24,20.56,0,0,23.57,9.67,16.48,148.3,0,345.94,10.53,125.96,0,2.21,4.31,0,0,0,0,14.05,0,0,0,0,124.32,0,70.59,27.41,0,0,16.55,45,42.39,0,436.2,0,113.64,0,0,0,45.22,0,0,0,7.81,0,47.12,8,0,0,0,0,0,26.39,45.25,0,6.52,683.14,13.9,0,0,26.63,44.21,53.81,0

28,06:45-07:00,20,0,118.75,2.33,0,62.24,20.56,0,0,23.57,19.38,32.95,148.3,0,345.94,15.81,125.96,0,26.49,4.31,0,0,0,0,14.05,0,0,0,0,124.32,0,70.59,27.41,0,0,16.55,45,42.39,0,436.2,0,113.64,0,0,0,45.22,0,0,0,7.81,0,47.12,26.34,0,0,0,0,0,26.39,45.47,0,13.04,683.14,13.9,0,0,39.83,44.21,53.81,0

29,07:00-07:15,20,0,118.75,2.33,0,62.24,20.56,0,0,23.57,19.38,32.95,148.3,0,345.94,15.81,125.96,0,26.49,4.31,0,0,0,0,14.05,0,0,0,0,124.32,0,70.59,27.41,0,0,16.55,45,42.39,0,436.2,0,113.64,0,0,0,45.22,0,0,0,7.81,0,47.12,26.34,0,0,0,0,0,26.39,45.47,0,13.04,683.14,13.9,0,0,39.83,44.21,53.81,0

30,07:15-07:30,20,0,118.75,2.33,0,62.24,20.56,0,0,23.57,19.38,32.95,148.3,0,345.94,15.81,125.96,0,26.49,4.31,0,0,0,0,14.05,0,0,0,0,124.32,0,70.59,27.41,0,0,16.55,45,42.39,0,436.2,0,113.64,0,0,0,45.22,0,0,0,7.81,0,47.12,26.34,0,0,0,0,0,26.39,45.47,0,13.04,683.14,13.9,0,0,39.83,44.21,53.81,0

31,07:30-07:45,20,0,118.75,2.33,0,62.24,20.56,0,0,23.57,19.38,32.95,148.3,0,345.94,15.81,125.96,0,2.76,4.31,0,0,0,0,14.05,0,0,0,0,124.32,0,70.59,27.41,0,0,16.55,45,42.39,0,436.2,0,140.35,0,0,0,45.22,0,0,0,2.56,0,47.12,26.34,0,0,0,0,0,26.39,45.47,0,13.04,683.14,13.9,0,0,39.83,44.21,53.81,0

32,07:45-08:00,20,0,118.75,2.33,0,62.24,20.56,0,0,23.57,19.38,32.95,148.3,0,345.94,10.53,125.96,0,1.11,4.31,0,0,0,0,14.05,0,0,0,0,124.32,0,70.59,27.41,0,0,3.56,45,42.39,0,436.2,0,140.35,0,0,0,45.22,0,0,0,2.56,0,47.12,26.34,0,0,0,0,0,26.39,45.67,0,13.04,683.14,13.9,0,0,39.83,44.21,53.81,0

33,08:00-08:15,20,0,118.75,2.33,0,62.24,20.56,0,0,23.57,19.38,32.95,148.3,0,345.94,5.27,125.96,0,1.11,4.31,0,0,0,0,14.05,0,0,0,0,124.32,0,70.59,27.41,0,0,0,45,42.39,0,436.2,0,113.64,0,0,0,45.22,0,0,0,2.56,0,47.12,26.34,0,0,0,0,0,26.39,45.67,0,13.04,683.14,13.9,0,0,39.83,44.21,53.81,0

34,08:15-08:30,20,0,118.75,2.33,0,62.24,20.56,0,0,23.57,19.38,32.95,148.3,0,345.94,0,125.96,0,1.11,4.31,0,0,0,0,13.99,0,0,0,0,124.32,0,70.59,17.57,0,0,0,45,42.39,0,436.2,0,94.7,0,0,0,45.22,0,0,0,2.56,0,47.12,26.34,0,0,0,0,0,26.39,45.47,0,13.04,683.14,13.9,0,0,39.83,44.21,53.81,0

35,08:30-08:45,20,0,118.75,2.33,0,62.24,20.56,0,0,23.57,9.67,16.48,148.3,0,345.94,0,125.96,0,1.11,4.31,0,0,0,0,13.99,0,0,0,0,124.32,0,70.59,9.14,0,0,0,45,42.39,0,436.2,0,80.5,0,0,0,45.22,0,0,0,3.2,0,47.12,26.34,0,0,0,0,0,26.39,45.25,0,6.52,683.14,13.9,0,0,19.72,44.21,53.81,0

36,08:45-09:00,20,0,118.75,2.33,0,62.24,20.56,0,0,23.57,9.67,0,148.3,0,345.94,0,125.96,0,2.21,4.31,0,0,0,0,0,0,0,0,0,124.32,0,70.59,0,0,0,0,45,42.39,0,436.2,0,61.56,0,0,0,45.22,0,0,0,3.2,0,47.12,13.17,0,0,0,0,0,26.39,45.05,0,6.52,683.14,13.9,0,0,8.88,44.21,53.81,0

37,09:00-09:15,20,0,118.75,2.33,0,62.24,20.56,0,0,23.57,9.67,0,148.3,0,345.94,0,125.96,0,26.49,4.31,0,0,0,0,0,0,0,0,0,124.32,0,70.59,0,0,0,0,45,42.39,0,436.2,0,41.67,0,0,0,45.22,0,0,0,3.2,0,47.12,13.17,0,0,0,0,0,26.39,44.83,0,1.1,683.14,13.9,0,0,8.88,44.21,53.81,0

38,09:15-09:30,20,0,118.75,2.33,0,62.24,20.56,0,0,23.57,0,0,148.3,0,345.94,0,125.96,0,26.49,4.31,0,0,0,0,0,0,0,0,0,124.32,0,70.59,0,0,0,0,45,42.39,0,436.2,0,22.72,0,0,0,45.22,0,0,0,3.2,0,47.12,13.17,0,0,0,0,0,26.39,44.83,0,0,683.14,13.9,0,0,8.88,44.21,53.81,0

39,09:30-09:45,20,0,118.75,2.33,0,46.68,20.56,0,0,23.57,0,0,148.3,0,345.94,0,125.96,0,26.49,4.31,0,0,0,0,0,0,0,0,0,124.32,0,70.59,0,0,0,0,45,42.39,0,436.2,0,22.72,0,0,0,45.22,0,0,0,3.2,0,47.12,13.17,0,0,0,0,0,26.39,44.63,0,0,683.14,13.9,0,0,8.88,44.21,53.81,0

40,09:45-10:00,20,0,118.75,2.33,0,46.68,20.56,0,0,23.57,0,0,148.3,0,345.94,0,125.96,0,2.76,4.31,0,0,0,0,0,0,0,0,0,124.32,0,70.59,0,0,0,0,45,42.39,0,436.2,0,20.55,0,0,0,45.22,0,0,0,3.2,0,47.12,4,0,0,0,0,0,26.39,44.41,0,0,683.14,13.9,0,0,8.88,44.21,53.81,0

41,10:00-10:15,20,0,118.75,2.33,0,31.12,20.56,0,0,23.57,0,0,148.3,0,345.94,0,120,0,1.11,4.31,0,0,0,0,0,0,0,0,0,124.32,0,70.59,0,0,0,0,45,42.39,0,436.2,0,0,0,0,0,45.22,0,0,0,3.2,0,47.12,0,0,0,0,0,0,26.39,44.31,0,0,683.14,13.9,0,0,8.88,44.21,53.81,0

42,10:15-10:30,20,0,118.75,2.33,0,31.12,20.56,0,0,23.57,0,0,148.3,0,345.94,0,120,0,1.11,4.31,0,0,0,0,0,0,0,0,0,124.32,0,70.59,0,0,0,0,45,42.39,0,436.2,0,0,0,0,0,45.22,0,0,0,3.2,0,47.12,0,0,0,0,0,0,26.39,44.31,0,0,683.14,13.9,0,0,8.88,44.21,53.81,0

43,10:30-10:45,20,0,118.75,2.33,0,15.56,20.56,0,0,23.57,0,0,148.3,0,345.94,0,120,0,7.73,4.31,0,0,0,0,0,0,0,0,0,124.32,0,70.59,0,0,0,0,45,42.39,0,436.2,0,0,0,0,0,45.22,0,0,0,3.2,0,47.12,0,0,0,0,0,0,26.39,44.1,0,0,683.14,13.9,0,0,8.88,44.21,53.81,0

44,10:45-11:00,20,0,118.75,2.33,0,0,20.56,0,0,23.57,0,0,148.3,0,345.94,0,120,0,7.73,4.31,0,0,0,0,0,0,0,0,0,124.32,0,70.59,0,0,0,0,45,42.39,0,436.2,0,0,0,0,0,45.22,0,0,0,3.2,0,47.12,0,0,0,0,0,0,26.39,43.89,0,0,683.14,13.9,0,0,8.88,44.21,53.81,0

45,11:00-11:15,20,0,118.75,2.33,0,0,20.56,0,0,23.57,0,0,148.3,0,345.94,0,120,0,1.11,8.07,0,0,0,0,0,0,0,0,0,124.32,0,70.59,0,0,0,0,45,42.39,0,436.2,0,0,0,0,0,45.22,0,0,0,3.85,0,47.12,0,0,0,0,0,0,26.39,43.68,0,0,683.14,13.9,0,0,8.88,44.21,53.81,0

46,11:15-11:30,20,0,118.75,2.33,0,0,20.56,0,0,23.57,0,0,148.3,0,345.94,0,120,0,1.11,8.07,0,0,0,0,0,0,0,0,0,124.32,0,70.59,0,0,0,0,45,42.39,0,436.2,0,0,0,0,0,45.22,0,0,0,3.85,0,47.12,0,0,0,0,0,0,26.39,43.68,0,0,683.14,13.9,0,0,8.88,44.21,53.81,0

47,11:30-11:45,20,0,118.75,2.33,0,0,20.56,0,0,23.57,0,0,148.3,0,345.94,0,120,0,1.11,8.07,0,0,0,0,0,0,0,0,0,124.32,0,70.59,0,0,0,0,45,42.39,0,436.2,0,0,0,0,0,45.22,0,0,0,3.85,0,47.12,0,0,0,0,0,0,26.39,43.47,0,0,683.14,13.9,0,0,8.88,44.21,53.81,0

48,11:45-12:00,20,0,118.75,2.33,0,0,20.56,0,0,23.57,0,0,148.3,0,345.94,0,120,0,1.11,8.07,0,0,0,0,0,0,0,0,0,124.32,0,70.59,0,0,0,0,45,42.39,0,436.2,0,0,0,0,0,45.22,0,0,0,3.85,0,47.12,0,0,0,0,0,0,26.39,43.47,0,0,683.14,13.9,0,0,8.88,44.21,53.81,0

49,12:00-12:15,20,0,118.75,2.33,0,0,20.56,0,0,23.57,0,0,148.3,0,345.94,0,120,0,1.11,8.07,0,0,0,0,0,0,0,0,0,124.32,0,70.59,0,0,0,0,45,42.39,0,436.2,0,0,0,0,0,45.22,0,0,0,3.85,0,47.12,0,0,0,0,0,0,26.39,43.36,0,0,683.14,13.9,0,0,8.88,44.21,53.81,0

50,12:15-12:30,20,0,118.75,2.33,0,0,20.56,0,0,23.57,0,0,148.3,0,345.94,0,120,0,1.11,8.07,0,0,0,0,0,0,0,0,0,124.32,0,70.59,0,0,0,0,45,42.39,0,436.2,0,0,0,0,0,45.22,0,0,0,3.85,0,47.12,0,0,0,0,0,0,26.39,43.16,0,0,683.14,13.9,0,0,8.88,44.21,53.81,0

51,12:30-12:45,20,0,118.75,2.33,0,0,20.56,0,0,23.57,0,0,148.3,0,345.94,0,120,0,7.73,4.31,0,0,0,0,0,0,0,0,0,124.32,0,70.59,0,0,0,0,45,42.39,0,436.2,0,0,0,0,0,45.22,0,0,0,3.85,0,47.12,0,0,0,0,0,0,26.39,43.16,0,0,683.14,14.6,0,0,8.88,44.21,53.81,0

52,12:45-13:00,20,0,118.75,2.33,0,0,20.56,0,0,23.57,0,0,148.3,0,345.94,0,120,0,7.73,4.31,0,0,0,0,0,0,0,0,0,124.32,0,70.59,0,0,0,0,45,42.39,0,436.2,0,0,0,0,0,45.22,0,0,0,3.85,0,47.12,0,0,0,0,0,0,26.39,42.94,0,0,683.14,14.6,0,0,8.88,44.21,53.81,0

53,13:00-13:15,20,0,118.75,2.33,0,0,20.56,0,0,23.57,0,0,148.3,0,345.94,0,120,0,1.11,4.31,0,0,0,0,0,0,0,0,0,124.32,0,70.59,0,0,0,0,45,42.39,0,436.2,0,0,0,0,0,45.22,0,0,0,3.85,0,47.12,0,0,0,0,0,0,26.39,42.94,0,0,683.14,14.6,0,0,8.88,44.21,53.81,0

54,13:15-13:30,20,0,118.75,2.33,0,0,20.56,0,0,23.57,0,0,148.3,0,345.94,0,120,0,1.11,4.31,0,0,0,0,0,0,0,0,0,124.32,0,70.59,0,0,0,0,45,42.39,0,436.2,0,0,0,0,0,45.22,0,0,0,3.85,0,47.12,0,0,0,0,0,0,26.39,42.94,0,0,683.14,14.6,0,0,8.88,44.21,53.81,0

55,13:30-13:45,20,0,118.75,2.33,0,0,20.56,0,0,23.57,0,0,148.3,0,345.94,0,120,0,1.11,4.31,0,0,0,0,0,0,0,0,0,124.32,0,70.59,0,0,0,0,45,42.39,0,436.2,0,0,0,0,0,45.22,0,0,0,3.85,0,47.12,0,0,0,0,0,0,26.39,42.94,0,0,683.14,14.6,0,0,8.88,44.21,53.81,0

56,13:45-14:00,20,0,118.75,2.33,0,0,20.56,0,0,23.57,0,0,148.3,0,345.94,0,120,0,1.11,4.31,0,0,0,0,0,0,0,0,0,124.32,0,70.59,0,0,0,0,45,42.39,0,436.2,0,0,0,0,0,45.22,0,0,0,3.85,0,47.12,0,0,0,0,0,0,26.39,42.74,0,0,683.14,14.6,0,0,8.88,44.21,53.81,0

57,14:00-14:15,20,0,118.75,2.33,0,0,20.56,0,0,23.57,0,0,148.3,0,326.25,0,120,0,1.11,4.31,0,0,0,0,0,0,0,0,0,124.32,0,70.59,0,0,0,0,45,42.39,0,436.2,0,0,0,0,0,45.22,0,0,0,3.85,0,47.12,0,0,0,0,0,0,26.39,42.94,0,0,683.14,14.6,0,0,8.88,44.21,53.81,0

58,14:15-14:30,20,0,118.75,2.33,0,0,20.56,0,0,23.57,0,0,148.3,0,326.25,0,120,0,1.11,4.31,0,0,0,0,0,0,0,0,0,124.32,0,70.59,0,0,0,0,45,42.39,0,436.2,0,0,0,0,0,45.22,0,0,0,3.85,0,47.12,0,0,0,0,0,0,26.39,42.94,0,0,683.14,14.6,0,0,8.88,44.21,53.81,0

59,14:30-14:45,20,0,118.75,2.33,0,0,20.56,0,0,23.57,0,0,148.3,0,326.25,0,125.96,0,1.11,4.31,0,0,0,0,0,0,0,0,0,124.32,0,70.59,0,0,0,0,45,42.39,0,436.2,0,0,0,0,0,45.22,0,0,0,3.85,0,47.12,0,0,0,0,0,0,26.39,42.94,0,0,683.14,14.6,0,0,8.88,44.21,53.81,0

60,14:45-15:00,20,0,118.75,2.33,0,0,20.56,0,0,23.57,0,0,148.3,0,326.25,0,125.96,0,1.11,4.31,0,0,0,0,0,0,0,0,0,124.32,0,70.59,0,0,0,0,45,42.39,0,436.2,0,0,0,0,0,45.22,0,0,0,3.85,0,47.12,0,0,0,0,0,0,26.39,42.94,0,0,683.14,14.6,0,0,8.88,44.21,53.81,0

61,15:00-15:15,20,0,118.75,2.33,0,0,20.56,0,0,23.57,0,0,148.3,0,326.25,0,125.96,0,1.11,4.31,0,0,0,0,0,0,0,0,0,124.32,0,70.59,0,0,0,0,45,42.39,0,436.2,0,0,0,0,0,45.22,0,0,0,3.85,0,47.12,0,0,0,0,0,0,26.39,42.94,0,0,683.14,14.6,0,0,8.88,44.21,53.81,0

62,15:15-15:30,20,0,118.75,2.33,0,0,20.56,0,0,23.57,0,0,148.3,0,326.25,0,125.96,0,1.11,4.31,0,0,0,0,0,0,0,0,0,124.32,0,70.59,0,0,0,0,45,42.39,0,436.2,0,0,0,0,0,45.22,0,0,0,3.85,0,47.12,0,0,0,0,0,0,26.39,42.94,0,0,683.14,14.6,0,0,8.88,44.21,53.81,0

63,15:30-15:45,20,0,118.75,12.78,0,12.6,20.56,0,0,23.57,0,0,148.3,0,326.25,0,125.96,0,1.11,4.31,0,0,0,0,0,0,0,0,0,124.32,0,70.59,0,0,0,0,45,42.39,0,459.23,0,0,0,0,0,45.22,0,0,0,3.85,0,47.12,0,0,0,0,0,0,26.39,42.94,0,0,683.14,14.6,0,0,8.88,44.21,53.81,0

64,15:45-16:00,20,0,118.75,55.77,0,13.86,20.56,0,0,23.57,0,0,148.3,0,326.25,0,125.96,0,1.11,4.31,0,0,0,0,0,0,0,0,0,124.32,0,70.59,0,0,0,0,45,42.39,0,459.23,0,0,0,0,0,45.22,0,0,0,3.85,0,47.12,0,0,0,0,0,0,26.39,42.94,0,0,683.14,14.6,0,0,8.88,44.21,53.81,0

