Column1,Block,GNA/NR/2024/12/01/7739,GNA/NR/2024/12/06/9700,GNA/NR/2024/12/01/3428,GNA/NR/2024/12/01/2197,GNA/NR/2024/12/01/1899,GNA/NR/2024/12/01/1599,GNA/NR/2024/12/01/1475,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/12/01/1766,GNA/NR/2024/12/06/7927,NR/30092023/31122025/SH-07,GNA/WR/2024/11/01/4200,GNA/WR/2024/10/15/7089,NR/30092023/26122029/SH-06,NR/2024/24052/A/44567,NR/2024/23952/A/44553,NR/2024/24060/A/44719,NR/2024/24165/C,NR/2024/24051/A/44568,NR/2024/24097/A/44561,WR/2024/25054/A/44723,NR/2024/24166/C,NR/2024/24088/A/44563,GNA/SR/2024/12/01/6968,NR/2024/24159/C,NR/2024/24161/C,NR/2024/24071/A/44566,Total
3,00:30-00:45,31.71,0,8.63,25.9,8.63,95.13,25.9,2.01,25.9,0,0,0,0,0,2.88,0.43,17.27,0,0,7.67,0,0,0.96,150,0,0,0,403.02

4,00:45-01:00,31.71,0,8.63,25.9,8.63,95.13,25.9,2.01,25.9,0,0,0,0,0,2.88,0.43,17.27,0,0,7.67,0,0,0.96,150,0,0,0,403.02

5,01:00-01:15,31.71,0,8.63,25.9,8.63,95.13,25.9,2.01,25.9,0,0,0,0,0,2.88,0.38,17.27,0,0,7.67,0,0,0.96,150,0,0,0,402.97

6,01:15-01:30,31.71,0,8.63,25.9,8.63,95.13,25.9,2.01,25.9,0,0,0,0,0,2.88,0.38,17.27,0,0,7.67,0,0,0.96,150,0,0,0,402.97

7,01:30-01:45,31.71,0,8.63,25.9,8.63,95.13,25.9,2.01,25.9,0,0,0,0,0,2.88,0.38,17.27,0,0,7.67,0,0,0.96,150,0,0,0,402.97

8,01:45-02:00,31.71,0,8.63,25.9,8.63,95.13,25.9,2.01,25.9,0,0,0,0,0,2.88,0.38,17.27,0,0,7.67,0,0,0.96,150,0,0,0,402.97

9,02:00-02:15,31.71,0,8.63,25.9,8.63,95.13,25.9,2.01,25.9,0,0,0,0,0,2.88,0.38,17.27,0,0,7.67,0,0,0.96,150,0,0,0,402.97

10,02:15-02:30,31.71,0,8.63,25.9,8.63,95.13,25.9,2.01,25.9,0,0,0,0,0,2.88,0.38,17.27,0,0,7.67,0,0,0.96,150,0,0,0,402.97

11,02:30-02:45,31.71,0,8.63,25.9,8.63,95.13,25.9,2.01,25.9,0,0,0,0,0,2.88,0.38,17.27,0,0,7.67,0,0,0.96,150,0,0,0,402.97

12,02:45-03:00,31.71,0,8.63,25.9,8.63,95.13,25.9,2.01,25.9,0,0,0,0,0,2.88,0.38,17.27,0,0,7.67,0,0,0.96,150,0,0,0,402.97

13,03:00-03:15,31.71,0,8.63,25.9,8.63,95.13,25.9,2.01,25.9,0,0,0,0,0,2.88,0.34,17.27,0,0,7.67,0,0,0.96,150,0,0,0,402.93

14,03:15-03:30,31.71,0,8.63,25.9,8.63,95.13,25.9,2.01,25.9,0,0,0,0,0,2.88,0.34,17.27,0,0,7.67,0,0,0.96,150,0,0,0,402.93

15,03:30-03:45,31.71,0,8.63,25.9,8.63,95.13,25.9,2.01,25.9,0,0,0,0,0,2.88,0.34,17.27,0,0,7.67,0,0,0.96,150,0,0,0,402.93

16,03:45-04:00,31.71,0,8.63,25.9,8.63,95.13,25.9,2.01,25.9,0,0,0,0,0,2.88,0.34,17.27,0,0,7.67,0,0,0.96,150,0,0,0,402.93

17,04:00-04:15,31.71,0,8.63,25.9,8.63,95.13,25.9,2.01,25.9,0,0,0,0,0,2.88,0.43,17.27,0,0,7.67,0,0,0.96,150,0,0,0,403.02

18,04:15-04:30,31.71,0,8.63,25.9,8.63,95.13,25.9,2.01,25.9,0,0,0,0,0,2.88,0.43,17.27,0,0,7.67,0,0,0.96,150,0,0,0,403.02

19,04:30-04:45,31.71,0,8.63,25.9,8.63,95.13,25.9,2.01,25.9,0,0,0,0,0,2.88,0.43,17.27,0,0,7.67,0,0,0.96,150,0,0,0,403.02

20,04:45-05:00,31.71,0,8.63,25.9,8.63,95.13,25.9,2.01,25.9,0,0,0,0,0,2.88,0.43,17.27,0,0,7.67,0,0,0.96,150,0,0,0,403.02

21,05:00-05:15,31.71,0,8.63,25.9,8.63,95.13,25.9,2.01,25.9,0,0,0,0,0,2.88,0.43,17.27,0,0,7.67,0,0,4.8,150,0,0,0,406.86

22,05:15-05:30,31.71,0,8.63,25.9,8.63,95.13,25.9,2.01,25.9,0,0,0,0,0,2.88,0.43,17.27,0,0,7.67,0,0,4.8,150,0,0,0,406.86

23,05:30-05:45,31.71,0,8.63,25.9,8.63,95.13,25.9,2.01,25.9,0,0,0,0,0,2.88,0.43,17.27,0,2.88,14.39,0,0,4.8,150,0,0,0,416.46000000000004

24,05:45-06:00,31.71,0,8.63,25.9,8.63,95.13,25.9,2.01,25.9,0,0,0,0,0,2.88,0.43,17.27,0,2.88,14.39,0,0,4.8,150,0,0,0,416.46000000000004

25,06:00-06:15,0,0,8.63,25.9,8.63,0,25.9,2.11,25.9,0,0,0,0,0,2.88,0.43,17.27,0,2.88,14.39,0,0,4.8,150,0,0,0,289.72

26,06:15-06:30,0,0,8.63,25.9,8.63,0,25.9,2.11,25.9,0,0,0,0,0,2.88,0.43,17.27,0,2.88,14.39,0,0,4.8,150,0,0,0,289.72

27,06:30-06:45,0,0,8.63,28.78,8.63,0,25.9,2.11,28.78,0,0,0,0,0,2.88,0.43,17.27,0,2.88,14.39,0,0,4.8,150,0,0,0,295.48

28,06:45-07:00,0,0,8.63,28.78,8.63,0,25.9,2.11,28.78,0,0,0,0,0,2.88,0.43,17.27,0,2.88,14.39,0,0,4.8,150,0,0,0,295.48

29,07:00-07:15,0,0,8.63,28.78,8.63,0,25.9,2.01,28.78,0,0,0,0,0,2.88,0.53,28.78,0,2.88,14.39,0,0,4.8,150,0,0,0,306.99

30,07:15-07:30,0,0,8.63,28.78,8.63,0,25.9,2.01,28.78,0,0,0,0,0,2.88,0.53,28.78,0,2.88,14.39,0,0,4.8,150,0,0,0,306.99

31,07:30-07:45,0,0,8.63,28.78,8.63,0,33.58,2.01,28.78,0,0,0,0,0,2.88,0.53,28.78,0,2.88,14.39,0,0,4.8,150,0,0,0,314.67

32,07:45-08:00,0,0,8.63,28.78,8.63,0,34.53,2.01,28.78,0,0,0,0,0,2.88,0.53,28.78,0,2.88,14.39,0,0,4.8,150,0,0,0,315.62

33,08:00-08:15,0,0,8.63,31.66,8.63,0,38.37,2.01,31.66,0,0,0,0,0,2.88,0.82,28.78,0,2.88,14.39,0,0,4.8,150,0,0,0,325.51

34,08:15-08:30,0,0,8.63,31.66,8.63,0,43.17,2.01,31.66,0,0,0,0,0,2.88,0.82,28.78,0,2.88,14.39,0,0,4.8,150,0,0,0,330.31

35,08:30-08:45,0,0,8.63,31.66,8.63,0,43.17,2.01,31.66,0,0,0,0,0,2.88,0.82,28.78,0,0,7.67,0,0,4.8,150,0,0,0,320.71000000000004

36,08:45-09:00,0,0,8.63,31.66,8.63,0,43.17,2.01,31.66,0,0,0,0,0,2.88,0.82,28.78,0,0,7.67,0,0,4.8,150,0,0,0,320.71000000000004

37,09:00-09:15,0,0,8.63,25.9,8.63,0,25.9,2.01,25.9,0,0,0,0,0,2.88,0.82,28.78,0,0,7.67,0,0,4.8,150,25.81,26.96,3.84,348.5299999999999

38,09:15-09:30,0,0,8.63,25.9,8.63,0,25.9,2.01,25.9,0,0,0,0,0,2.88,0.82,28.78,0,0,7.67,0,0,4.8,150,22.06,30.7,3.84,348.5199999999999

39,09:30-09:45,0,0,8.63,25.9,8.63,0,25.9,2.01,25.9,0,0,0,0,0,2.88,0.82,28.78,0,0,7.67,0,0,4.8,150,22.06,30.7,3.84,348.5199999999999

40,09:45-10:00,0,0,8.63,25.9,8.63,0,25.9,2.01,25.9,0,0,0,0,0,2.88,0.82,28.78,0,0,7.67,0,0,4.8,150,22.06,30.7,3.84,348.5199999999999

41,10:00-10:15,0,0,8.63,25.9,8.63,0,25.9,2.01,25.9,0,0,0,0,0,2.88,0.82,28.78,0,0,7.67,0,0,4.8,150,22.06,30.7,4.8,349.47999999999996

42,10:15-10:30,0,0,8.63,25.9,8.63,0,25.9,2.01,25.9,0,0,0,0,0,2.88,0.82,28.78,0,0,7.67,0,0,4.8,150,22.06,30.7,4.8,349.47999999999996

43,10:30-10:45,0,0,8.63,25.9,8.63,0,25.9,2.01,25.9,0,0,0,0,0,2.88,0.82,28.78,0,0,7.67,0,0,4.8,150,22.06,30.7,4.8,349.47999999999996

44,10:45-11:00,0,0,8.63,25.9,8.63,0,25.9,2.01,25.9,0,0,0,0,0,2.88,0.82,28.78,0,0,7.67,0,0,4.8,150,22.06,30.7,4.8,349.47999999999996

45,11:00-11:15,0,0,8.63,25.9,8.63,0,25.9,2.11,25.9,0,0,0,0,0,3.84,0.82,28.78,0,0,7.67,0,0,0,150,22.06,30.7,6.72,347.65999999999997

46,11:15-11:30,0,0,8.63,25.9,8.63,0,25.9,2.11,25.9,0,0,0,0,0,3.84,0.82,28.78,0,0,7.67,0,0,0,150,22.06,30.7,6.72,347.65999999999997

47,11:30-11:45,0,0,8.63,25.9,8.63,0,25.9,2.11,25.9,0,0,0,0,0,3.84,0.82,28.78,0,0,7.67,0,0,0,150,22.06,30.7,6.72,347.65999999999997

48,11:45-12:00,0,0,8.63,25.9,8.63,0,25.9,2.11,25.9,0,0,0,0,0,3.84,0.82,28.78,0,0,7.67,0,0,0,150,22.06,30.7,6.72,347.65999999999997

49,12:00-12:15,0,0,8.63,25.9,8.63,0,25.9,2.11,25.9,0,0,0,0,0,3.84,0.82,28.78,0,0,7.67,0,0,0,150,39.33,13.43,6.72,347.65999999999997

50,12:15-12:30,0,0,8.63,25.9,8.63,0,25.9,2.11,25.9,0,0,0,0,0,3.84,0.82,28.78,0,0,7.67,0,0,0,150,39.33,13.43,6.72,347.65999999999997

51,12:30-12:45,0,0,8.63,25.9,8.63,0,25.9,2.11,25.9,0,0,0,0,0,3.84,0.82,28.78,0,0,7.67,0,0,0,150,39.33,13.43,6.72,347.65999999999997

52,12:45-13:00,0,0,8.63,25.9,8.63,0,25.9,2.11,25.9,0,0,0,0,0,3.84,0.82,28.78,0,0,7.67,0,0,0,150,39.33,13.43,6.72,347.65999999999997

53,13:00-13:15,0,0,8.63,25.9,8.63,0,25.9,2.11,25.9,0,0,0,0,0,3.84,0.77,28.78,0,0,7.67,0,0,0,150,39.33,13.43,5.76,346.65

54,13:15-13:30,0,0,8.63,25.9,8.63,0,25.9,2.11,25.9,0,0,0,0,0,3.84,0.77,28.78,0,0,7.67,0,0,0,150,39.33,13.43,5.76,346.65

55,13:30-13:45,0,0,8.63,25.9,8.63,0,25.9,2.11,25.9,0,0,0,0,0,3.84,0.77,28.78,0,0,7.67,0,0,0,150,39.33,13.43,5.76,346.65

56,13:45-14:00,0,0,8.63,25.9,8.63,0,25.9,2.11,25.9,0,0,0,0,0,3.84,0.77,28.78,0,0,7.67,0,0,0,150,39.33,13.43,5.76,346.65

57,14:00-14:15,0,0,8.63,25.9,8.63,0,25.9,2.01,25.9,0,0,0,0,0,3.84,0.77,28.78,0,0,7.67,0,0,0,150,22.06,30.7,4.8,345.59

58,14:15-14:30,0,0,8.63,25.9,8.63,0,25.9,2.01,25.9,0,0,0,0,0,3.84,0.77,28.78,0,0,7.67,0,0,0,150,22.06,30.7,4.8,345.59

59,14:30-14:45,0,0,8.63,25.9,8.63,0,25.9,2.01,25.9,0,0,0,0,0,3.84,0.77,28.78,0,0,7.67,0,0,0,150,22.06,30.7,4.8,345.59

60,14:45-15:00,0,0,8.63,25.9,8.63,0,25.9,2.01,25.9,0,0,0,0,0,3.84,0.77,28.78,0,0,7.67,0,0,0,150,22.06,30.7,4.8,345.59

61,15:00-15:15,0,0,8.63,25.9,8.63,0,25.9,2.01,25.9,0,0,0,0,0,3.84,0.62,28.78,0,0,7.67,0,0,0,150,22.06,30.7,4.8,345.44

62,15:15-15:30,0,0,8.63,25.9,8.63,0,25.9,2.01,25.9,0,0,0,0,0,3.84,0.62,28.78,0,0,7.67,0,0,0,150,22.06,30.7,4.8,345.44

63,15:30-15:45,0,0,8.63,25.9,8.63,0,25.9,2.01,25.9,0,0,0,0,0,3.84,0.62,28.78,0,0,7.67,0,0,0,150,25.52,27.24,4.8,345.44

64,15:45-16:00,0,0,8.63,25.9,8.63,0,25.9,2.01,25.9,0,0,0,0,0,3.84,0.62,28.78,0,0,7.67,0,0,0,150,26.67,23.41,4.8,342.76000000000005

65,16:00-16:15,0,0,8.63,25.9,8.63,0,25.9,2.01,25.9,0,0,0,0,0,3.84,0.48,28.78,0,0,7.67,0,0,0,150,31.56,19.47,2.88,341.65

66,16:15-16:30,0,0,8.63,25.9,8.63,0,25.9,2.01,25.9,0,0,0,0,0,3.84,0.48,28.78,0,0,7.67,0,0,0,150,24.08,15.73,2.88,330.43

67,16:30-16:45,0,0,8.63,30.7,8.63,0,30.7,2.01,30.7,0,0,0,0,0,3.84,0.48,28.78,0,0,7.67,0,0,0,150,17.65,12.18,2.88,334.84999999999997

68,16:45-17:00,0,0,8.63,30.7,8.63,0,30.7,2.01,30.7,0,0,0,0,0,3.84,0.48,28.78,0,0,7.67,0,0,0,150,11.9,8.83,2.88,325.74999999999994

69,17:00-17:15,0,0,8.63,34.53,8.63,0,43.17,2.01,34.53,0,0,0,0,0,3.84,0.48,28.78,47.96,0,7.67,0,0,3.84,150,0,0,0.96,375.03

70,17:15-17:30,0,0,8.63,34.53,8.63,0,43.17,2.01,34.53,191.86,0,0,0,0,3.84,0.48,28.78,47.96,0,7.67,0,0,3.84,150,0,0,0.96,566.8900000000001

71,17:30-17:45,0,0,8.63,34.53,8.63,0,43.17,2.01,34.53,191.86,0,0,0,0,3.84,0.48,28.78,47.96,0,7.67,0,0,3.84,150,0,0,0.96,566.8900000000001

72,17:45-18:00,0,0,8.63,34.53,8.63,0,43.17,2.01,34.53,191.86,0,0,0,0,3.84,0.48,28.78,47.96,0,7.67,0,0,3.84,150,0,0,0.96,566.8900000000001

73,18:00-18:15,0,47.96,8.63,34.53,8.63,0,43.17,2.11,34.53,191.86,0,50,150,0,3.84,0.53,28.78,47.96,0,7.67,38.37,47.96,3.84,150,0,0,0,900.3700000000001

74,18:15-18:30,0,47.96,8.63,34.53,8.63,0,43.17,2.11,34.53,191.86,0,50,150,0,3.84,0.53,28.78,47.96,0,7.67,38.37,47.96,3.84,150,0,0,0,900.3700000000001

75,18:30-18:45,0,47.96,8.63,34.53,8.63,0,43.17,2.11,34.53,191.86,0,50,150,0,3.84,0.53,28.78,47.96,0,7.67,38.37,47.96,3.84,150,0,0,0,900.3700000000001

76,18:45-19:00,0,47.96,8.63,34.53,8.63,0,43.17,2.11,34.53,191.86,0,50,150,0,3.84,0.53,28.78,47.96,0,7.67,38.37,47.96,3.84,150,0,0,0,900.3700000000001

77,19:00-19:15,0,0,8.63,34.53,8.63,0,43.17,2.11,34.53,0,0,50,150,0,3.84,0.53,28.78,47.96,0,7.67,38.37,0,3.84,150,0,0,0,612.5899999999999

78,19:15-19:30,0,0,8.63,34.53,8.63,0,43.17,2.11,34.53,0,0,50,150,0,3.84,0.53,28.78,47.96,0,7.67,38.37,0,3.84,150,0,0,0,612.5899999999999

79,19:30-19:45,0,0,8.63,25.9,8.63,0,43.17,2.11,25.9,0,0,50,150,0,3.84,0.53,28.78,47.96,0,7.67,38.37,0,3.84,150,0,0,0,595.3299999999999

80,19:45-20:00,0,0,8.63,25.9,8.63,0,43.17,2.11,25.9,0,0,50,150,0,3.84,0.53,28.78,47.96,0,7.67,38.37,0,3.84,150,0,0,0,595.3299999999999

81,20:00-20:15,0,0,8.63,25.9,8.63,0,36.92,2.11,25.9,0,0,50,250,0,3.84,0.53,28.78,47.96,0,7.67,38.37,0,3.84,150,0,0,0,689.08

82,20:15-20:30,0,0,8.63,25.9,8.63,0,34.76,2.11,25.9,0,0,50,250,0,3.84,0.53,28.78,47.96,0,7.67,38.37,0,3.84,150,0,0,0,686.92

83,20:30-20:45,0,0,8.63,25.9,8.63,0,31.04,2.11,25.9,0,0,50,250,0,3.84,0.53,28.78,47.96,0,7.67,38.37,0,3.84,150,0,0,0,683.2

84,20:45-21:00,0,0,8.63,25.9,8.63,0,25.9,2.11,25.9,0,0,50,250,0,3.84,0.53,28.78,47.96,0,7.67,38.37,0,3.84,150,0,0,0,678.06

85,21:00-21:15,0,0,8.63,25.9,8.63,0,25.9,2.11,25.9,0,0,50,250,0,3.84,0.53,28.78,0,0,7.67,38.37,0,3.84,150,0,0,0,630.0999999999999

86,21:15-21:30,0,0,8.63,25.9,8.63,0,25.9,2.11,25.9,0,0,50,250,0,3.84,0.53,28.78,0,0,7.67,38.37,0,3.84,150,0,0,0,630.0999999999999

87,21:30-21:45,0,0,8.63,25.9,8.63,0,25.9,2.11,25.9,0,0,50,250,0,3.84,0.53,28.78,0,0,7.67,38.37,0,3.84,150,0,0,0,630.0999999999999

88,21:45-22:00,0,0,8.63,25.9,8.63,0,25.9,2.11,25.9,0,0,50,250,0,3.84,0.53,28.78,0,0,7.67,38.37,0,3.84,150,0,0,0,630.0999999999999

89,22:00-22:15,31.71,0,8.63,25.9,8.63,95.13,25.9,2.01,25.9,0,0,50,250,0,2.88,0.48,28.78,0,0,7.67,38.37,0,0.96,150,0,0,0,752.9499999999999

90,22:15-22:30,31.71,0,8.63,25.9,8.63,95.13,25.9,2.01,25.9,0,0,50,250,0,2.88,0.48,28.78,0,0,7.67,38.37,0,0.96,150,0,0,0,752.9499999999999

91,22:30-22:45,31.71,0,8.63,25.9,8.63,95.13,25.9,2.01,25.9,0,0,50,250,0,2.88,0.48,28.78,0,0,7.67,38.37,0,0.96,150,0,0,0,752.9499999999999

92,22:45-23:00,31.71,0,8.63,25.9,8.63,95.13,25.9,2.01,25.9,0,0,50,250,0,2.88,0.48,28.78,0,0,7.67,38.37,0,0.96,150,0,0,0,752.9499999999999

93,23:00-23:15,31.71,0,8.63,25.9,8.63,95.13,25.9,2.01,25.9,0,0,50,250,0,2.88,0.43,28.78,0,0,7.67,38.37,0,0.96,150,0,0,0,752.8999999999999

94,23:15-23:30,31.71,0,8.63,25.9,8.63,95.13,25.9,2.01,25.9,0,0,50,250,0,2.88,0.43,28.78,0,0,7.67,38.37,0,0.96,150,0,0,0,752.8999999999999

95,23:30-23:45,31.71,0,8.63,25.9,8.63,95.13,25.9,2.01,25.9,0,0,50,250,0,2.88,0.43,28.78,0,0,7.67,38.37,0,0.96,150,0,0,0,752.8999999999999

96,23:45-24:00,31.71,0,8.63,25.9,8.63,95.13,25.9,2.01,25.9,0,0,50,250,0,2.88,0.43,28.78,0,0,7.67,38.37,0,0.96,150,0,0,0,752.8999999999999

