Column1,Block,GNA/NR/2025/04/01/1333,GNA/NR/2025/04/16/2341,NR/2025/26085/A/66870,NR/2025/26109/C,GNA/NR/2025/04/16/6639,GNA/NR/2025/04/01/7960,GNA/NR/2025/04/01/5285,GNA/NR/2025/04/16/1389,GNA/NR/2025/04/24/8633,GNA/NR/2025/04/16/2139,GNA/NR/2025/04/16/8132,GNA/NR/2025/04/16/4327,NR/2025/25945/A/66665,GNA/WR/2025/04/01/4420,GNA/NR/2025/04/01/6216,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/04/01/4565,NR/30092023/31122025/SH-07,GNA/NR/2025/04/01/9334,GNA/NR/2025/04/01/7459,GNA/NR/2025/04/01/1831,NR/30092023/26122029/SH-06,GNA/SR/2025/04/01/2597,GNA/NR/2025/04/01/6490,GNARE/NR/2024/12/20/3668,NR/2025/26031/A/66365,NR/2025/25752/A/66219,NR/2025/25955/A/66662,WR/2025/27361/A/66673,NR/2025/25947/A/66664,WR/2025/27350/A/66364,NR/2025/25948/A/66663,Total
8,01:45-02:00,2.88,19.23,0.48,213.45,72.11,43.7,2.88,22.04,77.3,96.15,14.57,72.11,43.7,0,9.62,10.59,48.08,32,2.88,9.62,1.92,32,52.5,9.62,0,3.85,0,28.97,24.04,43.7,0,14.57,1004.5600000000003

9,02:00-02:15,2.88,19.23,0.48,213.45,72.11,43.7,2.88,22.04,77.3,96.15,14.57,72.11,43.7,0,9.62,10.49,48.08,32,2.88,9.62,1.92,32,0,9.62,0,3.85,0,28.97,24.04,43.7,96.15,14.57,1048.1100000000001

10,02:15-02:30,2.88,19.23,0.48,213.45,72.11,43.7,2.88,22.04,77.3,96.15,14.57,72.11,43.7,0,9.62,10.49,48.08,32,2.88,9.62,1.92,32,0,9.62,0,3.85,0,28.97,24.04,43.7,96.15,14.57,1048.1100000000001

11,02:30-02:45,2.88,19.23,0.48,213.45,72.11,43.7,2.88,22.04,77.3,96.15,14.57,72.11,43.7,0,9.62,10.49,48.08,32,2.88,9.62,1.92,32,0,9.62,0,3.85,0,28.97,24.04,43.7,96.15,14.57,1048.1100000000001

12,02:45-03:00,2.88,19.23,0.48,213.45,72.11,43.7,2.88,22.04,77.3,96.15,14.57,72.11,43.7,0,9.62,10.49,48.08,32,2.88,9.62,1.92,32,0,9.62,0,3.85,0,28.97,24.04,43.7,96.15,14.57,1048.1100000000001

13,03:00-03:15,2.88,19.23,0.43,213.45,72.11,43.7,2.88,22.04,50.77,96.15,14.57,72.11,43.7,0,9.62,10.39,48.08,32,2.88,9.62,1.92,32,0,9.62,0,3.85,0,28.97,24.04,43.7,96.15,14.57,1021.4300000000002

14,03:15-03:30,2.88,19.23,0.43,213.45,72.11,43.7,2.88,22.04,50.77,96.15,14.57,72.11,43.7,0,9.62,10.39,48.08,32,2.88,9.62,1.92,32,0,9.62,0,3.85,0,28.97,24.04,43.7,96.15,14.57,1021.4300000000002

15,03:30-03:45,2.88,19.23,0.43,213.45,72.11,43.7,2.88,22.04,50.77,96.15,14.57,72.11,43.7,0,9.62,10.39,48.08,32,2.88,9.62,1.92,32,0,9.62,0,3.85,0,28.97,24.04,43.7,96.15,14.57,1021.4300000000002

16,03:45-04:00,2.88,19.23,0.43,213.45,72.11,43.7,2.88,22.04,50.77,96.15,14.57,72.11,43.7,0,9.62,10.39,48.08,32,2.88,9.62,1.92,32,0,9.62,0,3.85,0,28.97,24.04,43.7,96.15,14.57,1021.4300000000002

17,04:00-04:15,2.88,19.23,0.48,213.45,72.11,43.7,2.88,22.04,50.77,96.15,14.57,72.11,43.7,0,9.62,10.21,48.08,32,2.88,9.62,1.92,32,0,9.62,0,3.85,0,28.97,24.04,43.7,96.15,14.57,1021.3000000000002

18,04:15-04:30,2.88,19.23,0.48,223.07,72.11,43.7,2.88,22.04,50.77,96.15,14.57,72.11,43.7,0,9.62,10.21,48.08,32,2.88,9.62,1.92,32,0,9.62,0,3.85,0,28.97,24.04,43.7,96.15,14.57,1030.92

19,04:30-04:45,2.88,19.23,0.48,223.07,72.11,43.7,2.88,22.04,50.77,96.15,14.57,72.11,43.7,0,9.62,10.21,48.08,32,2.88,9.62,1.92,32,0,9.62,0,3.85,0,28.97,24.04,43.7,96.15,14.57,1030.92

20,04:45-05:00,2.88,19.23,0.48,223.07,72.11,43.7,2.88,22.04,50.77,96.15,14.57,72.11,43.7,0,9.62,10.21,48.08,32,2.88,9.62,1.92,32,0,9.62,0,3.85,0,28.97,24.04,43.7,96.15,14.57,1030.92

21,05:00-05:15,2.88,19.23,0.48,223.07,72.11,43.7,2.88,22.04,50.77,96.15,14.57,72.11,43.7,0,9.62,10.03,48.08,32,2.88,9.62,1.92,32,0,9.62,0,3.85,0,28.97,24.04,43.7,96.15,14.57,1030.74

22,05:15-05:30,2.88,19.23,0.48,223.07,72.11,43.7,2.88,22.04,50.77,96.15,14.57,72.11,43.7,0,9.62,10.03,48.08,32,2.88,9.62,1.92,32,0,9.62,0,3.85,0,28.97,24.04,43.7,96.15,14.57,1030.74

23,05:30-05:45,2.88,19.23,0.48,223.07,72.11,43.7,2.88,22.04,50.77,96.15,14.57,72.11,43.7,0,9.62,10.03,48.08,32,2.88,9.62,1.92,32,0,9.62,0,3.85,0,28.97,24.04,43.7,96.15,14.57,1030.74

24,05:45-06:00,2.88,19.23,0.48,223.07,72.11,43.7,2.88,22.04,50.77,96.15,14.57,72.11,43.7,0,9.62,10.03,48.08,32,2.88,9.62,1.92,32,0,9.62,0,3.85,0,28.97,24.04,43.7,96.15,14.57,1030.74

25,06:00-06:15,2.88,19.23,0.58,223.07,72.11,43.7,2.88,22.04,56.92,96.15,14.57,72.11,43.7,0,9.62,9.85,48.08,32,2.88,9.62,1.92,32,0,9.62,0,3.85,0,28.97,24.04,43.7,96.15,14.57,1036.8100000000002

26,06:15-06:30,2.88,19.23,0.58,223.07,72.11,43.7,2.88,22.04,56.92,96.15,14.57,72.11,43.7,0,9.62,9.85,48.08,32,2.88,9.62,1.92,32,0,9.62,0.25,3.85,0,28.97,24.04,43.7,96.15,14.57,1037.0600000000002

27,06:30-06:45,2.88,19.23,0.58,242.3,72.11,43.7,2.88,22.04,56.92,96.15,14.57,72.11,43.7,0,9.62,9.85,48.08,32,2.88,9.62,1.92,32,0,9.62,1.87,3.85,0,28.97,24.04,43.7,96.15,14.57,1057.9100000000003

28,06:45-07:00,2.88,19.23,0.58,242.3,72.11,43.7,2.88,22.04,56.92,96.15,14.57,72.11,43.7,0,9.62,9.85,48.08,32,2.88,9.62,1.92,32,0,9.62,5.95,3.85,0,28.97,24.04,43.7,96.15,14.57,1061.9900000000002

29,07:00-07:15,2.88,19.23,0.62,242.3,72.11,43.7,2.88,22.04,56.92,96.15,14.57,72.11,43.7,0,9.62,9.75,48.08,32,2.88,9.62,1.92,32,0,9.62,10.45,3.85,0,28.97,24.04,43.7,96.15,14.57,1066.4300000000003

30,07:15-07:30,2.88,19.23,0.62,242.3,72.11,43.7,2.88,22.04,56.92,96.15,14.57,72.11,43.7,0,9.62,9.75,48.08,32,2.88,9.62,1.92,32,0,9.62,16.86,3.85,0,28.97,24.04,43.7,96.15,14.57,1072.8400000000001

31,07:30-07:45,2.88,19.23,0.62,242.3,72.11,43.7,2.88,22.04,56.92,96.15,14.57,72.11,43.7,0,9.62,9.75,48.08,32,2.88,9.62,1.92,32,0,9.62,24.23,3.85,0,28.97,24.04,43.7,96.15,14.57,1080.2100000000003

32,07:45-08:00,2.88,19.23,0.62,242.3,72.11,43.7,2.88,22.04,56.92,96.15,14.57,72.11,43.7,0,9.62,9.75,48.08,32,2.88,9.62,1.92,32,0,9.62,32.87,3.85,0,28.97,24.04,43.7,96.15,14.57,1088.8500000000001

33,08:00-08:15,2.88,19.23,0.96,223.07,72.11,43.7,2.88,22.04,0,96.15,14.57,72.11,43.7,0,9.62,9.66,48.08,32,2.88,9.62,1.92,32,0,9.62,41.5,3.85,3.85,28.97,24.04,43.7,0,14.57,929.2800000000001

34,08:15-08:30,2.88,19.23,0.96,223.07,72.11,43.7,2.88,22.04,0,96.15,14.57,72.11,43.7,0,9.62,9.66,48.08,32,2.88,9.62,1.92,32,0,9.62,49.61,3.85,3.85,28.97,24.04,43.7,0,14.57,937.3900000000001

35,08:30-08:45,2.88,19.23,0.96,223.07,72.11,43.7,2.88,22.04,0,96.15,14.57,72.11,43.7,0,9.62,9.66,48.08,32,2.88,9.62,1.92,32,0,9.62,57.58,3.85,3.85,28.97,24.04,43.7,0,14.57,945.3600000000001

36,08:45-09:00,2.88,19.23,0.96,223.07,72.11,43.7,2.88,22.04,0,96.15,14.57,72.11,43.7,0,9.62,9.66,48.08,32,2.88,9.62,1.92,32,0,9.62,65.28,3.85,3.85,28.97,24.04,43.7,0,14.57,953.0600000000001

37,09:00-09:15,2.88,19.23,0.96,223.07,72.11,43.7,2.88,22.04,0,96.15,14.57,72.11,43.7,0,9.62,9.57,48.08,32,2.88,9.62,1.92,32,0,9.62,72.47,4.81,6.73,28.97,24.04,43.7,0,14.57,964.0000000000001

38,09:15-09:30,2.88,19.23,0.96,223.07,72.11,43.7,2.88,22.04,0,96.15,14.57,72.11,43.7,0,9.62,9.57,48.08,32,2.88,9.62,1.92,32,0,9.62,78.91,4.81,6.73,28.97,24.04,43.7,0,14.57,970.44

39,09:30-09:45,2.88,19.23,0.96,223.07,72.11,43.7,2.88,22.04,0,96.15,14.57,72.11,43.7,0,9.62,9.57,48.08,32,2.88,9.62,1.92,32,0,9.62,83.7,4.81,6.73,28.97,24.04,43.7,0,14.57,975.2300000000001

40,09:45-10:00,2.88,19.23,0.96,223.07,72.11,43.7,2.88,22.04,0,96.15,14.57,72.11,43.7,0,9.62,9.57,48.08,32,2.88,9.62,1.92,32,0,9.62,89.1,4.81,6.73,28.97,24.04,43.7,0,14.57,980.6300000000001

41,10:00-10:15,2.88,19.23,0.96,232.68,72.11,43.7,2.88,22.04,0,96.15,14.57,72.11,43.7,0,9.62,9.48,48.08,32,2.88,9.62,1.92,32,0,9.62,93.77,4.81,8.65,28.97,24.04,43.7,0,14.57,996.74

42,10:15-10:30,2.88,19.23,0.96,232.68,72.11,43.7,2.88,22.04,0,96.15,14.57,72.11,43.7,0,9.62,9.48,48.08,32,2.88,9.62,1.92,32,0,9.62,98.21,4.81,8.65,28.97,24.04,43.7,0,14.57,1001.1800000000001

43,10:30-10:45,2.88,19.23,0.96,232.68,72.11,43.7,2.88,22.04,0,96.15,14.57,72.11,43.7,0,9.62,5.53,48.08,32,2.88,9.62,1.92,32,0,9.62,100,4.81,8.65,28.97,24.04,43.7,0,14.57,999.02

44,10:45-11:00,2.88,19.23,0.96,232.68,72.11,43.7,2.88,22.04,0,96.15,14.57,72.11,43.7,0,9.62,5.53,48.08,32,2.88,9.62,1.92,32,0,9.62,100,4.81,8.65,28.97,24.04,43.7,0,14.57,999.02

45,11:00-11:15,2.88,19.23,0.96,232.68,72.11,43.7,2.88,22.04,0,96.15,14.57,72.11,43.7,0,9.62,5.53,48.08,32,2.88,9.62,1.92,32,0,9.62,100,4.81,8.65,28.97,24.04,43.7,0,14.57,999.02

46,11:15-11:30,2.88,19.23,0.96,232.68,72.11,43.7,2.88,22.04,0,96.15,14.57,72.11,43.7,0,9.62,5.53,48.08,32,2.88,9.62,1.92,32,0,9.62,100,4.81,8.65,28.97,24.04,43.7,0,14.57,999.02

47,11:30-11:45,2.88,19.23,0.96,232.68,72.11,43.7,2.88,22.04,0,96.15,14.57,72.11,43.7,0,9.62,5.53,48.08,32,2.88,9.62,1.92,32,0,9.62,100,4.81,8.65,28.97,24.04,43.7,0,14.57,999.02

48,11:45-12:00,2.88,19.23,0.96,232.68,72.11,43.7,2.88,22.04,0,96.15,14.57,72.11,43.7,0,9.62,5.53,48.08,32,2.88,9.62,1.92,32,0,9.62,100,4.81,8.65,28.97,24.04,43.7,0,14.57,999.02

49,12:00-12:15,2.88,19.23,0.96,232.68,72.11,43.7,2.88,22.04,0,96.15,14.57,72.11,43.7,0,9.62,5.43,48.08,32,2.88,9.62,1.92,32,0,9.62,100,4.81,8.65,28.97,24.04,43.7,0,14.57,998.92

50,12:15-12:30,2.88,19.23,0.96,232.68,72.11,43.7,2.88,22.04,0,96.15,14.57,72.11,43.7,0,9.62,5.43,48.08,32,2.88,9.62,1.92,32,0,9.62,100,4.81,8.65,28.97,24.04,43.7,0,14.57,998.92

51,12:30-12:45,2.88,19.23,0.96,232.68,72.11,43.7,2.88,22.04,0,96.15,14.57,72.11,43.7,0,9.62,5.43,48.08,32,2.88,9.62,1.92,32,0,9.62,100,4.81,8.65,28.97,24.04,43.7,0,14.57,998.92

52,12:45-13:00,2.88,19.23,0.96,232.68,72.11,43.7,2.88,22.04,0,96.15,14.57,72.11,43.7,0,9.62,5.43,48.08,32,2.88,9.62,1.92,32,0,9.62,100,4.81,8.65,28.97,24.04,43.7,0,14.57,998.92

53,13:00-13:15,2.88,19.23,0.96,232.68,72.11,43.7,2.88,22.04,0,96.15,14.57,72.11,43.7,0,9.62,5.34,48.08,32,2.88,9.62,1.92,32,0,9.62,100,4.81,8.65,28.97,24.04,43.7,0,14.57,998.83

54,13:15-13:30,2.88,19.23,0.96,232.68,72.11,43.7,2.88,22.04,0,96.15,14.57,72.11,43.7,0,9.62,5.34,48.08,32,2.88,9.62,1.92,32,0,9.62,100,4.81,8.65,28.97,24.04,43.7,0,14.57,998.83

55,13:30-13:45,2.88,19.23,0.96,232.68,72.11,43.7,2.88,22.04,0,96.15,14.57,72.11,43.7,0,9.62,5.34,48.08,32,2.88,9.62,1.92,32,0,9.62,100,4.81,8.65,28.97,24.04,43.7,0,14.57,998.83

56,13:45-14:00,2.88,19.23,0.96,232.68,72.11,43.7,2.88,22.04,0,96.15,14.57,72.11,43.7,0,9.62,5.34,48.08,32,2.88,9.62,1.92,32,0,9.62,100,4.81,8.65,28.97,24.04,43.7,0,14.57,998.83

57,14:00-14:15,2.88,19.23,0.96,232.68,72.11,43.7,2.88,22.04,0,96.15,14.57,72.11,43.7,0,9.62,5.25,48.08,32,2.88,9.62,1.92,32,0,9.62,100,5.77,7.69,28.97,24.04,43.7,0,14.57,998.7400000000001

58,14:15-14:30,2.88,19.23,0.96,232.68,72.11,43.7,2.88,22.04,0,96.15,14.57,72.11,43.7,0,9.62,5.25,48.08,32,2.88,9.62,1.92,32,0,9.62,100,5.77,7.69,28.97,24.04,43.7,0,14.57,998.7400000000001

59,14:30-14:45,2.88,19.23,0.96,232.68,72.11,43.7,2.88,22.04,0,96.15,14.57,72.11,43.7,0,9.62,5.25,48.08,32,2.88,9.62,1.92,32,0,9.62,100,5.77,7.69,28.97,24.04,43.7,0,14.57,998.7400000000001

60,14:45-15:00,2.88,19.23,0.96,213.45,72.11,43.7,2.88,22.04,0,96.15,14.57,72.11,43.7,0,9.62,5.25,48.08,32,2.88,9.62,1.92,32,0,9.62,100,5.77,7.69,28.97,24.04,43.7,0,14.57,979.5100000000001

61,15:00-15:15,2.88,19.23,0.96,213.45,72.11,43.7,2.88,22.04,0,96.15,14.57,72.11,43.7,0,9.62,5.15,48.08,32,2.88,9.62,1.92,32,0,9.62,95.35,5.77,6.73,28.97,24.04,43.7,0,14.57,973.8000000000001

62,15:15-15:30,2.88,19.23,0.96,213.45,72.11,43.7,2.88,22.04,0,96.15,14.57,72.11,43.7,0,9.62,5.15,48.08,32,2.88,9.62,1.92,32,0,9.62,91.04,5.77,6.73,28.97,24.04,43.7,0,14.57,969.49

63,15:30-15:45,2.88,19.23,0.96,213.45,72.11,43.7,2.88,22.04,0,96.15,14.57,72.11,43.7,0,9.62,5.15,48.08,32,2.88,9.62,1.92,32,0,9.62,85.96,5.77,6.73,28.97,24.04,43.7,0,14.57,964.4100000000001

64,15:45-16:00,2.88,19.23,0.96,213.45,72.11,43.7,2.88,22.04,0,96.15,14.57,72.11,43.7,0,9.62,5.15,48.08,32,2.88,9.62,1.92,32,0,9.62,79.16,5.77,6.73,28.97,24.04,43.7,0,14.57,957.61

65,16:00-16:15,2.88,19.23,0.82,213.45,72.11,43.7,2.88,22.04,85.48,96.15,14.57,72.11,43.7,50,9.62,5.15,48.08,32,2.88,9.62,1.92,32,0,9.62,73.85,6.73,3.85,28.97,24.04,43.7,0,14.57,1085.7200000000003

66,16:15-16:30,2.88,19.23,0.82,213.45,72.11,43.7,2.88,22.04,85.48,96.15,14.57,72.11,43.7,50,9.62,5.15,48.08,32,2.88,9.62,1.92,32,0,9.62,67.19,6.73,3.85,28.97,24.04,43.7,0,14.57,1079.06

67,16:30-16:45,2.88,19.23,0.82,213.45,72.11,43.7,2.88,22.04,85.48,96.15,14.57,72.11,43.7,50,9.62,9.02,48.08,32,2.88,9.62,1.92,32,0,9.62,60.23,6.73,3.85,28.97,24.04,43.7,0,14.57,1075.97

68,16:45-17:00,2.88,19.23,0.82,213.45,72.11,43.7,2.88,22.04,85.48,96.15,14.57,72.11,43.7,50,9.62,9.02,48.08,32,2.88,9.62,1.92,32,0,9.62,52.71,6.73,3.85,28.97,24.04,43.7,0,14.57,1068.45

69,17:00-17:15,2.88,19.23,0.67,213.45,72.11,43.7,2.88,22.04,85.48,96.15,14.57,72.11,43.7,50,9.62,9.38,48.08,32,2.88,9.62,1.92,32,0,9.62,45.01,6.73,0,28.97,24.04,43.7,0,14.57,1057.1100000000001

70,17:15-17:30,2.88,19.23,0.67,242.3,72.11,43.7,2.88,22.04,85.48,96.15,14.57,72.11,43.7,50,9.62,9.38,48.08,32,2.88,9.62,1.92,32,0,9.62,37.08,6.73,0,28.97,24.04,43.7,0,14.57,1078.0300000000002

71,17:30-17:45,2.88,19.23,0.67,242.3,72.11,43.7,2.88,22.04,85.48,96.15,14.57,72.11,43.7,50,9.62,9.38,48.08,32,2.88,9.62,1.92,32,0,9.62,28.54,6.73,0,28.97,24.04,43.7,0,14.57,1069.49

72,17:45-18:00,2.88,19.23,0.67,271.14,72.11,43.7,2.88,22.04,85.48,96.15,14.57,72.11,43.7,50,9.62,9.38,48.08,32,2.88,9.62,1.92,32,0,9.62,20.79,6.73,0,28.97,24.04,43.7,0,14.57,1090.5800000000002

73,18:00-18:15,2.88,19.23,0.62,271.14,72.11,43.7,2.88,22.04,113.94,96.15,14.57,72.11,43.7,50,9.62,9.76,48.08,32,2.88,9.62,1.92,32,0,9.62,14.19,6.73,0,28.97,24.04,43.7,0,14.57,1112.77

74,18:15-18:30,2.88,19.23,0.62,271.14,72.11,43.7,2.88,22.04,113.94,96.15,14.57,72.11,43.7,50,9.62,9.76,48.08,32,2.88,9.62,1.92,32,0,9.62,8.75,6.73,0,28.97,24.04,43.7,0,14.57,1107.33

75,18:30-18:45,2.88,19.23,0.62,271.14,72.11,43.7,2.88,22.04,113.94,96.15,14.57,72.11,43.7,50,9.62,9.76,48.08,32,2.88,9.62,1.92,32,0,9.62,1.85,6.73,0,28.97,24.04,43.7,0,14.57,1100.43

76,18:45-19:00,2.88,19.23,0.62,271.14,72.11,43.7,2.88,22.04,113.94,96.15,14.57,72.11,43.7,50,9.62,9.76,48.08,32,2.88,9.62,1.92,32,0,9.62,0.3,6.73,0,28.97,24.04,43.7,0,14.57,1098.88

77,19:00-19:15,2.88,19.23,0.72,271.14,72.11,43.7,2.88,22.04,113.94,96.15,14.57,72.11,43.7,50,9.62,10.12,48.08,32,2.88,9.62,1.92,32,0,9.62,0,6.73,0,28.97,24.04,43.7,0,14.57,1099.0400000000002

78,19:15-19:30,2.88,19.23,0.72,271.14,72.11,43.7,2.88,22.04,113.94,96.15,14.57,72.11,43.7,50,9.62,10.12,48.08,32,2.88,9.62,1.92,32,0,9.62,0,6.73,0,28.97,24.04,43.7,0,14.57,1099.0400000000002

79,19:30-19:45,2.88,19.23,0.72,271.14,72.11,43.7,2.88,22.04,113.94,96.15,14.57,72.11,43.7,50,9.62,9.02,48.08,32,2.88,9.62,1.92,32,0,9.62,0,6.73,0,28.97,24.04,43.7,0,14.57,1097.94

80,19:45-20:00,2.88,19.23,0.72,271.14,72.11,43.7,2.88,22.04,113.94,96.15,14.57,72.11,43.7,50,9.62,9.02,48.08,32,2.88,9.62,1.92,32,0,9.62,0,6.73,0,28.97,24.04,43.7,0,14.57,1097.94

81,20:00-20:15,2.88,19.23,0.67,271.14,72.11,43.7,2.88,22.04,113.94,96.15,14.57,72.11,43.7,50,9.62,9.2,48.08,32,2.88,9.62,1.92,32,0,9.62,0,5.77,0,28.97,24.04,43.7,0,14.57,1097.1100000000001

82,20:15-20:30,2.88,19.23,0.67,271.14,72.11,43.7,2.88,22.04,113.94,96.15,14.57,72.11,43.7,50,9.62,9.2,48.08,32,2.88,9.62,1.92,32,0,9.62,0,5.77,0,28.97,24.04,43.7,0,14.57,1097.1100000000001

83,20:30-20:45,2.88,19.23,0.67,271.14,72.11,43.7,2.88,22.04,113.94,96.15,14.57,72.11,43.7,50,9.62,9.2,48.08,32,2.88,9.62,1.92,32,0,9.62,0,5.77,0,28.97,24.04,43.7,0,14.57,1097.1100000000001

84,20:45-21:00,2.88,19.23,0.67,271.14,72.11,43.7,2.88,22.04,113.94,96.15,14.57,72.11,43.7,50,9.62,9.2,48.08,32,2.88,9.62,1.92,32,0,9.62,0,5.77,0,28.97,24.04,43.7,0,14.57,1097.1100000000001

85,21:00-21:15,2.88,19.23,0,271.14,72.11,43.7,2.88,22.04,113.94,96.15,14.57,72.11,43.7,50,9.62,9.3,48.08,32,2.88,9.62,1.92,32,0,9.62,0,5.77,0,28.97,24.04,43.7,0,14.57,1096.5400000000002

86,21:15-21:30,2.88,19.23,0,271.14,72.11,43.7,2.88,22.04,113.94,96.15,14.57,72.11,43.7,50,9.62,9.3,48.08,32,2.88,9.62,1.92,32,0,9.62,0,5.77,0,28.97,24.04,43.7,0,14.57,1096.5400000000002

87,21:30-21:45,2.88,19.23,0,271.14,72.11,43.7,2.88,22.04,113.94,96.15,14.57,72.11,43.7,50,9.62,9.3,48.08,32,2.88,9.62,1.92,32,0,9.62,0,5.77,0,28.97,24.04,43.7,0,14.57,1096.5400000000002

