Time,Block,NR/2024/19846/C,NR/2024/19075/A/16853,NR/2024/19727/A/17568,NR/2024/19839/C,NR/2024/19484/A/17473,NR/2024/19835/C,NR/2024/18919/A/17462,NR/2024/19795/C,NR/2024/19030/A/16867,NR/2024/18936/A/16818,NR/2024/19825/C,NR/2024/19656/A/17173,NR/2024/19143/A/16849,NR/2024/19796/C,NR/2024/18935/A/16817,NR/2024/19738/C,NR/2024/19043/A/16861,NR/2024/18976/A/16827,NR/2024/18996/A/17409,NR/2024/18934/A/16816,NR/2024/19726/A/17574,NR/2024/19337/A/16959,NR/2024/19848/C,NR/2024/19827/C,NR/2024/18986/A/16882,NR/2024/19290/A/17582,NR/2024/18978/A/16829,NR/2024/19679/A/17287,NR/2024/19762/C,NR/2024/19115/A/16851,NR/2024/19677/A/17282,NR/2024/19469/A/16958,NR/2024/19024/A/16961,NR/2024/18977/A/16828,NR/2024/19792/C,NR/2024/19483/A/17474,NR/2024/19121/A/16962,NR/2024/19485/A/17472,NR/2024/19245/A/16960,NR/2024/19609/A/17426,NR/2024/18855/A/16963,NR/2024/19172/A/17583,NR/2024/19793/C,NR/2024/19622/A/16945,Total
39,09:30-09:45,0.000000,0.000000,0.000000,0.000000,37.290000,0.000000,0.000000,52.510000,0.000000,0.000000,0.000000,0.000000,0.000000,48.260000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.930000,0.000000,0.000000,0.970000,67.570000,0.000000,0.000000,72.400000,0.000000,0.000000,0.000000,4.830000,0.000000,57.920000,12.430000,66.790000,37.290000,0.000000,0.000000,0.000000,115.840000,5.97,0.000000,582

40,09:45-10:00,0.000000,0.000000,0.000000,0.000000,37.290000,0.000000,0.000000,52.510000,0.000000,0.000000,0.000000,0.000000,0.000000,48.260000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.930000,0.000000,0.000000,0.970000,67.570000,0.000000,0.000000,72.400000,0.000000,0.000000,0.000000,4.830000,0.000000,57.920000,12.430000,66.790000,37.290000,0.000000,0.000000,0.000000,115.840000,6.98,0.000000,583.01

41,10:00-10:15,0.000000,0.000000,0.000000,0.000000,37.290000,0.000000,0.000000,52.510000,0.000000,6.760000,0.000000,0.000000,0.000000,48.260000,5.790000,0.000000,46.330000,0.000000,48.260000,4.830000,0.000000,1.930000,0.000000,0.000000,0.970000,67.570000,0.000000,0.000000,72.400000,48.260000,0.000000,3.860000,4.830000,57.920000,57.920000,12.430000,66.790000,37.290000,0.000000,0.000000,0.000000,115.840000,7.41,0.000000,805.45

42,10:15-10:30,0.000000,0.000000,0.000000,0.000000,37.290000,0.000000,0.000000,52.510000,0.000000,6.760000,0.000000,0.000000,0.000000,48.260000,5.790000,0.000000,46.330000,0.000000,48.260000,4.830000,0.000000,1.930000,0.000000,0.000000,0.970000,67.570000,0.000000,0.000000,72.400000,48.260000,0.000000,3.860000,4.830000,57.920000,57.920000,12.430000,66.790000,37.290000,0.000000,0.000000,0.000000,115.840000,7.92,0.000000,805.96

43,10:30-10:45,0.000000,0.000000,0.000000,0.000000,37.290000,0.000000,0.000000,52.510000,0.000000,6.760000,0.000000,0.000000,0.000000,48.260000,5.790000,0.000000,46.330000,0.000000,48.260000,4.830000,0.000000,1.930000,0.000000,0.000000,0.970000,67.570000,0.000000,0.000000,72.400000,48.260000,0.000000,3.860000,4.830000,57.920000,57.920000,12.430000,66.790000,37.290000,0.000000,0.000000,0.000000,115.840000,6.33,0.000000,804.37

44,10:45-11:00,0.000000,0.000000,0.000000,0.000000,37.290000,0.000000,0.000000,52.510000,0.000000,6.760000,0.000000,0.000000,0.000000,48.260000,5.790000,0.000000,46.330000,0.000000,48.260000,4.830000,0.000000,1.930000,0.000000,0.000000,0.970000,67.570000,0.000000,0.000000,72.400000,48.260000,0.000000,3.860000,4.830000,57.920000,57.920000,12.430000,66.790000,37.290000,0.000000,0.000000,0.000000,115.840000,6.84,0.000000,804.88

45,11:00-11:15,0.000000,0.000000,0.000000,0.000000,37.290000,0.000000,0.000000,52.510000,0.000000,6.760000,0.000000,0.000000,0.000000,48.260000,5.790000,0.000000,46.330000,0.000000,48.260000,4.830000,0.000000,1.930000,0.000000,0.000000,0.970000,67.570000,0.000000,0.000000,72.400000,48.260000,0.000000,3.860000,4.830000,57.920000,57.920000,12.430000,0.000000,37.290000,0.000000,0.000000,66.790000,115.840000,7.31,0.000000,805.35

46,11:15-11:30,0.000000,0.000000,0.000000,0.000000,37.290000,0.000000,0.000000,52.510000,0.000000,6.760000,0.000000,0.000000,0.000000,48.260000,5.790000,0.000000,46.330000,0.000000,48.260000,4.830000,0.000000,1.930000,0.000000,0.000000,0.970000,67.570000,0.000000,0.000000,72.400000,48.260000,0.000000,3.860000,4.830000,57.920000,57.920000,12.430000,0.000000,37.290000,0.000000,0.000000,66.790000,115.840000,4.76,0.000000,802.8

47,11:30-11:45,0.000000,0.000000,0.000000,0.000000,37.290000,0.000000,0.000000,52.510000,0.000000,6.760000,0.000000,0.000000,0.000000,48.260000,5.790000,0.000000,46.330000,0.000000,48.260000,4.830000,0.000000,1.930000,0.000000,0.000000,0.970000,67.570000,0.000000,0.000000,72.400000,48.260000,0.000000,3.860000,4.830000,57.920000,57.920000,12.430000,0.000000,37.290000,0.000000,0.000000,66.790000,115.840000,4.94,0.000000,802.98

48,11:45-12:00,0.000000,0.000000,0.000000,0.000000,37.290000,0.000000,0.000000,52.510000,0.000000,6.760000,0.000000,0.000000,0.000000,48.260000,5.790000,0.000000,46.330000,0.000000,48.260000,4.830000,0.000000,1.930000,0.000000,0.000000,0.970000,67.570000,0.000000,0.000000,72.400000,48.260000,0.000000,3.860000,4.830000,57.920000,57.920000,12.430000,0.000000,37.290000,0.000000,0.000000,66.790000,115.840000,6.61,0.000000,804.65

