Column1,Block,GNA/NR/2025/05/01/9252,GNA/NR/2025/05/01/8954,GNA/NR/2025/05/01/2474,GNA/NR/2025/05/01/7791,GNA/NR/2025/05/01/9395,GNA/NR/2025/05/01/6160,GNA/NR/2025/05/01/8068,GNA/NR/2025/05/01/6363,GNA/NR/2025/05/01/3877,GNA/NR/2025/05/01/5800,GNA/NR/2025/05/01/2069,GNA/NR/2025/05/01/6957,GNA/NR/2025/05/01/9320,GNA/NR/2025/05/01/9154,GNA/NR/2025/05/01/7902,NR/30092023/26122029/SH-06,NR/2025/26289/A/70949,NR/2025/26002/A/70886,NR/2025/26312/A/70496,NR/2025/26101/A/70771,NR/2025/26286/A/70587,NR/2025/26233/A/70951,NR/2025/26198/A/71077,NR/2025/26085/A/70553,NR/2025/26199/A/71076,NR/2025/26153/A/70501,NR/2025/26291/A/70948,NR/2025/26200/A/71075,NR/2025/26265/A/70950,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/2025/26232/A/70952,NR/2025/25858/A/70888,NR/2025/26202/A/71094,GNA/NR/2025/05/01/4138,NR/2025/25855/A/70887,NR/2025/26197/A/71079,NR/2025/26191/A/70489,NR/2025/26201/A/71074,NR/30092023/31122025/SH-07,NR/2025/26336/A/70579,NR/2025/26236/A/70498,GNARE/NR/2024/12/20/3668,NR/2025/26648/C,NR/2025/26649/C,NR/2025/26650/C,NR/2025/26335/A/70581,NR/2025/26654/C,NR/2025/26646/C,NR/2025/26685/C,NR/2025/26647/C,NR/2025/26686/C,Total
3,00:30-00:45,13.51,5.79,17.55,0,0,14.48,10.62,14.48,28.96,67.57,0,164.1,164.1,123.08,28.96,32,48.26,0,0,0,4.83,4.83,37.29,0.77,37.29,62.74,24.13,12.43,96.53,10.99,4.83,0,77.22,0,144.8,12.43,48.26,37.29,32,135.14,0,0,0,0,0,0,0,0,51.13,0,33.79,1602.1799999999998

4,00:45-01:00,13.51,5.79,17.55,0,0,14.48,10.62,14.48,28.96,67.57,0,164.1,164.1,123.08,28.96,32,48.26,0,0,0,4.83,4.83,37.29,0.77,37.29,62.74,24.13,12.43,96.53,10.99,4.83,0,77.22,0,144.8,12.43,48.26,37.29,32,135.14,0,0,0,0,0,0,0,0,51.13,0,33.79,1602.1799999999998

5,01:00-01:15,13.51,5.79,17.55,0,0,14.48,10.62,14.48,28.96,67.57,0,164.1,164.1,123.08,28.96,32,48.26,0,0,0,4.83,4.83,37.29,0.68,37.29,62.74,24.13,12.43,96.53,10.9,4.83,0,77.22,0,144.8,12.43,48.26,37.29,32,135.14,0,0,0,0,0,0,0,0,51.13,0,33.79,1602

6,01:15-01:30,13.51,5.79,17.55,0,0,14.48,10.62,14.48,28.96,67.57,0,164.1,164.1,123.08,28.96,32,48.26,0,0,0,4.83,4.83,37.29,0.68,37.29,62.74,24.13,12.43,96.53,10.9,4.83,0,77.22,0,144.8,12.43,48.26,37.29,32,135.14,0,0,0,0,0,0,0,0,51.13,0,33.79,1602

7,01:30-01:45,13.51,5.79,17.55,0,0,14.48,10.62,14.48,28.96,67.57,0,164.1,164.1,123.08,28.96,32,48.26,0,0,0,4.83,4.83,37.29,0.68,37.29,62.74,24.13,12.43,96.53,10.9,4.83,0,77.22,0,144.8,12.43,48.26,37.29,32,135.14,0,0,0,0,0,0,0,0,51.13,0,33.79,1602

8,01:45-02:00,13.51,5.79,17.55,0,0,14.48,10.62,14.48,28.96,67.57,0,164.1,164.1,123.08,28.96,32,48.26,0,0,0,4.83,4.83,37.29,0.68,37.29,62.74,24.13,12.43,96.53,10.9,4.83,0,77.22,0,144.8,12.43,48.26,37.29,32,135.14,0,0,0,0,0,0,0,0,51.13,0,33.79,1602

9,02:00-02:15,13.51,0,17.55,0,0,14.48,10.62,0,28.96,0,96.53,164.1,164.1,123.08,0,26.93,48.26,0,0,0,4.83,4.83,37.29,0.63,37.29,62.74,24.13,12.43,0,10.81,4.83,0,77.22,0,144.8,12.43,48.26,37.29,26.93,135.14,0,0,0,0,0,0,0,0,51.13,0,33.79,1474.92

10,02:15-02:30,13.51,0,17.55,0,0,14.48,10.62,0,28.96,0,96.53,164.1,164.1,123.08,0,26.93,48.26,0,0,0,4.83,4.83,37.29,0.63,37.29,62.74,24.13,12.43,0,10.81,4.83,0,77.22,0,144.8,12.43,48.26,37.29,26.93,135.14,0,0,0,0,0,0,0,0,51.13,0,33.79,1474.92

11,02:30-02:45,13.51,0,17.55,0,0,14.48,10.62,0,28.96,0,96.53,164.1,164.1,123.08,0,26.93,48.26,0,0,0,4.83,4.83,37.29,0.63,37.29,62.74,24.13,12.43,0,10.81,4.83,0,77.22,0,144.8,12.43,48.26,37.29,26.93,135.14,0,0,0,0,0,0,0,0,51.13,0,33.79,1474.92

12,02:45-03:00,13.51,0,17.55,0,0,14.48,10.62,0,28.96,0,96.53,164.1,164.1,123.08,0,26.93,48.26,0,0,0,4.83,4.83,37.29,0.63,37.29,62.74,24.13,12.43,0,10.81,4.83,0,77.22,0,144.8,12.43,48.26,37.29,26.93,135.14,0,0,0,0,0,0,0,0,51.13,0,33.79,1474.92

13,03:00-03:15,13.51,0,17.55,0,0,14.48,10.62,0,28.96,0,96.53,164.1,164.1,123.08,0,26.93,48.26,0,0,0,4.83,4.83,37.29,0.48,37.29,62.74,24.13,12.43,0,10.63,4.83,0,77.22,0,144.8,12.43,48.26,37.29,26.93,135.14,0,0,0,0,0,0,0,0,51.13,0,33.79,1474.5900000000001

14,03:15-03:30,13.51,0,17.55,0,0,14.48,10.62,0,28.96,0,96.53,164.1,164.1,123.08,0,26.93,48.26,0,0,0,4.83,4.83,37.29,0.48,37.29,62.74,24.13,12.43,0,10.63,4.83,0,77.22,0,144.8,12.43,48.26,37.29,26.93,135.14,0,0,0,0,0,0,0,0,51.13,0,33.79,1474.5900000000001

15,03:30-03:45,13.51,0,17.55,0,0,14.48,10.62,0,28.96,0,96.53,164.1,164.1,123.08,0,26.93,48.26,0,0,0,4.83,4.83,37.29,0.48,37.29,62.74,24.13,12.43,0,10.63,4.83,0,77.22,0,144.8,12.43,48.26,37.29,26.93,135.14,0,0,0,0,0,0,0,0,51.13,0,33.79,1474.5900000000001

16,03:45-04:00,13.51,0,17.55,0,0,14.48,10.62,0,28.96,0,96.53,164.1,164.1,123.08,0,26.93,48.26,0,0,0,4.83,4.83,37.29,0.48,37.29,62.74,24.13,12.43,0,10.63,4.83,0,77.22,0,144.8,12.43,48.26,37.29,26.93,135.14,0,0,0,0,0,0,0,0,51.13,0,33.79,1474.5900000000001

17,04:00-04:15,13.51,0,17.55,0,0,14.48,10.62,0,28.96,0,96.53,164.1,164.1,123.08,0,26.93,48.26,0,0,0,4.83,4.83,37.29,0.48,37.29,62.74,24.13,12.43,0,11.27,4.83,0,77.22,0,0,12.43,48.26,37.29,26.93,135.14,0,0,0,0,0,0,0,0,51.13,0,33.79,1330.4300000000003

18,04:15-04:30,13.51,0,17.55,0,0,14.48,10.62,0,28.96,0,96.53,164.1,164.1,123.08,0,26.93,48.26,0,0,0,4.83,4.83,37.29,0.48,37.29,62.74,24.13,12.43,0,11.27,4.83,0,77.22,0,0,12.43,48.26,37.29,26.93,135.14,0,0,0,0,0,0,0,0,51.13,0,33.79,1330.4300000000003

19,04:30-04:45,13.51,0,17.55,0,0,14.48,10.62,0,28.96,0,96.53,164.1,164.1,123.08,0,26.93,48.26,0,0,0,4.83,4.83,37.29,0.48,37.29,62.74,24.13,12.43,0,11.27,4.83,0,77.22,0,0,12.43,48.26,37.29,26.93,135.14,0,0,0,0,0,0,0,0,51.13,0,33.79,1330.4300000000003

20,04:45-05:00,13.51,0,17.55,0,0,14.48,10.62,0,28.96,0,96.53,164.1,164.1,123.08,0,26.93,48.26,0,0,0,4.83,4.83,37.29,0.48,37.29,62.74,24.13,12.43,0,11.27,4.83,0,77.22,0,0,12.43,48.26,37.29,26.93,135.14,0,0,0,0,0,0,0,0,51.13,0,33.79,1330.4300000000003

21,05:00-05:15,13.51,0,17.55,0,0,14.48,10.62,0,28.96,0,96.53,164.1,164.1,123.08,0,26.93,48.26,0,0,0,4.83,4.83,37.29,0.48,37.29,62.74,24.13,12.43,0,11.18,4.83,0,77.22,0,0,12.43,48.26,37.29,26.93,135.14,0,0,0,0,0,0,0,0,51.13,0,33.79,1330.3400000000001

22,05:15-05:30,13.51,0,17.55,0,0,14.48,10.62,0,28.96,0,96.53,164.1,164.1,123.08,0,26.93,48.26,0,0,0,4.83,4.83,37.29,0.48,37.29,62.74,24.13,12.43,0,11.18,4.83,0,77.22,0,0,12.43,48.26,37.29,26.93,135.14,0,0.02,0,0,0,0,0,0,51.13,0,33.79,1330.3600000000001

23,05:30-05:45,13.51,0,17.55,0,0,14.48,10.62,0,28.96,0,96.53,164.1,164.1,123.08,0,26.93,48.26,0,0,0,4.83,4.83,37.29,0.48,37.29,62.74,24.13,12.43,0,11.18,4.83,0,77.22,0,0,12.43,48.26,37.29,26.93,135.14,0,0.12,0,0,0,0,0,0,51.13,0,33.79,1330.46

24,05:45-06:00,13.51,0,17.55,0,0,14.48,10.62,0,28.96,0,96.53,164.1,164.1,123.08,0,26.93,48.26,0,0,0,4.83,4.83,37.29,0.48,37.29,62.74,24.13,12.43,0,11.18,4.83,0,77.22,0,0,12.43,48.26,37.29,26.93,135.14,0,0.13,0,0,0,0,0,0,51.13,0,33.79,1330.4700000000003

25,06:00-06:15,13.51,0,17.55,0,0,14.48,10.62,0,28.96,0,96.53,164.1,164.1,123.08,0,26.93,48.26,0,0,0,3.86,4.83,37.29,0.58,37.29,62.74,24.13,12.43,0,10.99,4.83,0,77.22,0,0,12.43,48.26,37.29,26.93,135.14,0,0.67,0,0,0,0,0,0,51.13,0,33.79,1329.9500000000003

26,06:15-06:30,13.51,0,17.55,0,0,14.48,10.62,0,28.96,0,96.53,164.1,164.1,123.08,0,26.93,48.26,0,0,0,3.86,4.83,37.29,0.58,37.29,62.74,24.13,12.43,0,10.99,4.83,0,77.22,0,0,12.43,48.26,37.29,26.93,135.14,0,1.42,0,0,0,0,0,0,51.13,0,33.79,1330.7000000000003

27,06:30-06:45,13.51,0,17.55,0,0,14.48,10.62,0,28.96,0,96.53,164.1,164.1,123.08,0,26.93,48.26,0,0,0,3.86,4.83,37.29,0.58,37.29,62.74,24.13,12.43,0,10.99,4.83,0,77.22,0,0,12.43,48.26,37.29,26.93,135.14,0,4.88,0,0,0,1,0,0,51.13,0,33.79,1335.1600000000003

28,06:45-07:00,13.51,0,17.55,0,0,14.48,10.62,0,28.96,0,96.53,164.1,164.1,123.08,0,26.93,48.26,0,0,0,3.86,4.83,37.29,0.58,37.29,62.74,24.13,12.43,0,10.99,4.83,0,77.22,0,0,12.43,48.26,37.29,26.93,135.14,0,7.75,0,0,0,4,0,0,51.13,0,33.79,1341.0300000000002

29,07:00-07:15,13.51,0,17.55,0,0,14.48,10.62,0,28.96,0,96.53,164.1,164.1,123.08,0,26.93,48.26,0,0,0,3.86,4.83,37.29,0.68,37.29,62.74,24.13,12.43,0,10.9,4.83,0,77.22,0,0,12.43,48.26,37.29,26.93,135.14,0,11.54,0,0,0,14,0,0,51.13,0,33.79,1354.83

30,07:15-07:30,13.51,0,17.55,0,0,14.48,10.62,0,28.96,0,96.53,164.1,164.1,123.08,0,26.93,48.26,0,0,0,3.86,4.83,37.29,0.68,37.29,62.74,24.13,12.43,0,10.9,4.83,0,77.22,0,0,12.43,48.26,37.29,26.93,135.14,0,15.81,0,0,0,28,0,0,51.13,0,33.79,1373.1

31,07:30-07:45,13.51,0,17.55,0,0,14.48,10.62,0,28.96,0,96.53,164.1,164.1,123.08,0,26.93,48.26,0,0,0,3.86,4.83,37.29,0.68,37.29,62.74,24.13,12.43,0,10.9,4.83,0,77.22,0,0,12.43,48.26,37.29,26.93,135.14,0,20.27,0,0,0,42,0,0,51.13,0,33.79,1391.56

32,07:45-08:00,13.51,0,17.55,0,0,14.48,10.62,0,28.96,0,96.53,164.1,164.1,123.08,0,26.93,48.26,0,0,0,3.86,4.83,37.29,0.68,37.29,62.74,24.13,12.43,0,10.9,4.83,0,77.22,0,0,12.43,48.26,37.29,26.93,135.14,0,26.01,0,0,0,56,0,0,51.13,0,33.79,1411.3

33,08:00-08:15,13.51,0,17.55,0,0,14.48,10.62,0,28.96,0,0,164.1,164.1,123.08,0,26.93,48.26,0,0,0,3.86,4.83,37.29,0.97,37.29,62.74,24.13,12.43,96.53,10.81,4.83,0,77.22,0,0,12.43,48.26,37.29,26.93,135.14,7.72,32.54,0,0,0,70,0,0,51.13,0,33.79,1439.7499999999998

34,08:15-08:30,13.51,0,17.55,0,0,14.48,10.62,0,28.96,0,0,164.1,164.1,123.08,0,26.93,48.26,0,0,0,3.86,4.83,37.29,0.97,37.29,62.74,24.13,12.43,96.53,10.81,4.83,0,77.22,0,0,12.43,48.26,37.29,26.93,135.14,7.72,38.86,0,0,0,88,0,0,51.13,0,33.79,1464.0699999999997

35,08:30-08:45,13.51,0,17.55,0,0,14.48,10.62,0,28.96,0,0,164.1,164.1,123.08,0,26.93,48.26,0,0,0,3.86,4.83,37.29,0.97,37.29,62.74,24.13,12.43,96.53,10.81,4.83,0,77.22,0,0,12.43,48.26,37.29,26.93,135.14,7.72,45.23,0,0,0,105,0,0,51.13,0,33.79,1487.4399999999998

36,08:45-09:00,13.51,0,17.55,0,0,14.48,10.62,0,28.96,0,0,164.1,164.1,123.08,0,26.93,48.26,0,0,0,3.86,4.83,37.29,0.97,37.29,62.74,24.13,12.43,96.53,10.81,4.83,0,77.22,0,0,12.43,48.26,37.29,26.93,135.14,7.72,52.16,0,0,0,123,0,0,51.13,0,33.79,1512.37

37,09:00-09:15,13.51,0,17.55,0,0,14.48,10.62,0,28.96,0,0,164.1,164.1,123.08,0,26.94,0,0,0,0,4.83,4.83,37.29,0.97,37.29,62.74,0,12.43,0,10.71,4.83,0,77.22,0,0,12.43,48.26,37.29,26.94,135.14,10.62,58.68,24.13,0,0,137,53.09,96.53,51.13,48.26,33.79,1589.77

38,09:15-09:30,13.51,0,17.55,0,0,14.48,10.62,0,28.96,0,0,164.1,164.1,123.08,0,26.94,0,0,0,0,4.83,4.83,37.29,0.97,37.29,62.74,0,12.43,0,10.71,4.83,0,77.22,0,0,12.43,48.26,37.29,26.94,135.14,10.62,63.82,24.13,0,0,151,53.09,96.53,51.13,48.26,33.79,1608.9099999999999

39,09:30-09:45,13.51,0,17.55,0,0,14.48,10.62,0,28.96,0,0,164.1,164.1,123.08,0,26.94,0,0,0,0,4.83,4.83,37.29,0.97,37.29,62.74,0,12.43,0,10.71,4.83,0,77.22,0,0,12.43,48.26,37.29,26.94,135.14,10.62,68.7,24.13,0,0,165,53.09,96.53,51.13,48.26,33.79,1627.79

40,09:45-10:00,13.51,0,17.55,0,0,14.48,10.62,0,28.96,0,0,164.1,164.1,123.08,0,26.94,0,0,0,0,4.83,4.83,37.29,0.97,37.29,62.74,0,12.43,0,10.71,4.83,0,77.22,0,0,12.43,48.26,37.29,26.94,135.14,10.62,73.4,24.13,0,0,179,53.09,96.53,51.13,48.26,33.79,1646.49

41,10:00-10:15,13.51,0,17.55,0,0,14.48,10.62,0,28.96,0,0,164.1,164.1,123.08,0,26.94,0,0,0,0,4.83,4.83,37.29,0.97,37.29,62.74,0,12.43,0,10.63,4.83,0,77.22,0,0,12.43,48.26,37.29,26.94,135.14,12.55,76.79,24.13,0,0,189,53.09,96.53,51.13,48.26,33.79,1661.73

42,10:15-10:30,13.51,0,17.55,0,0,14.48,10.62,0,28.96,0,0,164.1,164.1,123.08,0,26.94,0,0,0,0,4.83,4.83,37.29,0.97,37.29,62.74,0,12.43,0,10.63,4.83,0,77.22,0,0,12.43,48.26,37.29,26.94,135.14,12.55,80.08,24.13,0,0,196,53.09,96.53,51.13,48.26,33.79,1672.02

43,10:30-10:45,13.51,0,17.55,0,0,14.48,10.62,0,28.96,0,0,164.1,164.1,123.08,0,26.94,0,0,0,0,4.83,4.83,37.29,0.97,37.29,62.74,0,12.43,0,10.63,4.83,0,77.22,0,0,12.43,48.26,37.29,26.94,135.14,12.55,89.26,24.13,0,0,203,53.09,96.53,51.13,48.26,33.79,1688.2

44,10:45-11:00,13.51,0,17.55,0,0,14.48,10.62,0,28.96,0,0,164.1,164.1,123.08,0,26.94,0,0,0,0,4.83,4.83,37.29,0.97,37.29,62.74,0,12.43,0,10.63,4.83,0,77.22,0,0,12.43,48.26,37.29,26.94,135.14,12.55,92.68,24.13,0,0,207,53.09,96.53,51.13,48.26,33.79,1695.6200000000001

45,11:00-11:15,13.51,0,17.55,0,0,14.48,10.62,0,28.96,0,0,164.1,164.1,123.08,0,26.94,0,0,0,0,4.83,4.83,37.29,0.97,37.29,62.74,0,12.43,0,10.53,4.83,0,77.22,0,0,12.43,48.26,37.29,26.94,135.14,13.51,95.73,24.13,0,0,210,53.09,96.53,51.13,48.26,33.79,1702.5300000000002

46,11:15-11:30,13.51,0,17.55,0,0,14.48,10.62,0,28.96,0,0,164.1,164.1,123.08,0,26.94,0,0,0,0,4.83,4.83,37.29,0.97,37.29,62.74,0,12.43,0,10.53,4.83,0,77.22,0,0,12.43,48.26,37.29,26.94,135.14,13.51,98.29,24.13,0,0,210,53.09,96.53,51.13,48.26,33.79,1705.0900000000001

47,11:30-11:45,13.51,0,17.55,0,0,14.48,10.62,0,28.96,0,0,164.1,164.1,123.08,0,26.94,0,0,0,0,4.83,4.83,37.29,0.97,37.29,62.74,0,12.43,0,10.53,4.83,0,77.22,0,0,12.43,48.26,37.29,26.94,135.14,13.51,100,24.13,0,0,210,53.09,96.53,51.13,48.26,33.79,1706.8000000000002

48,11:45-12:00,13.51,0,17.55,0,0,14.48,10.62,0,28.96,0,0,164.1,164.1,123.08,0,26.94,0,0,0,0,4.83,4.83,37.29,0.97,37.29,62.74,0,12.43,0,10.53,4.83,0,77.22,0,0,12.43,48.26,37.29,26.94,135.14,13.51,100,24.13,0,0,210,53.09,96.53,51.13,48.26,33.79,1706.8000000000002

49,12:00-12:15,13.51,0,17.55,0,0,14.48,10.62,0,28.96,0,0,164.1,164.1,123.08,0,26.95,0,0,0,0,4.83,4.83,37.29,0.97,37.29,62.74,0,12.43,0,10.43,4.83,0,77.22,0,0,12.43,48.26,37.29,26.95,135.14,13.51,100,24.13,0,0,210,53.09,96.53,51.13,48.26,33.79,1706.72

50,12:15-12:30,13.51,0,17.55,0,0,14.48,10.62,0,28.96,0,0,164.1,164.1,123.08,0,26.95,0,0,0,0,4.83,4.83,37.29,0.97,37.29,62.74,0,12.43,0,10.43,4.83,0,77.22,0,0,12.43,48.26,37.29,26.95,135.14,13.51,100,24.13,0,0,210,53.09,96.53,51.13,48.26,33.79,1706.72

51,12:30-12:45,13.51,0,17.55,0,0,14.48,10.62,0,28.96,0,0,164.1,164.1,123.08,0,26.95,0,0,0,0,4.83,4.83,37.29,0.97,37.29,62.74,0,12.43,0,11.64,4.83,0,77.22,0,0,12.43,48.26,37.29,26.95,135.14,13.51,100,24.13,0,0,203,53.09,96.53,51.13,48.26,33.79,1700.93

52,12:45-13:00,13.51,0,17.55,0,0,14.48,10.62,0,28.96,0,0,164.1,164.1,123.08,0,26.95,0,0,0,0,4.83,4.83,37.29,0.97,37.29,62.74,0,12.43,0,11.64,4.83,0,77.22,0,0,12.43,48.26,37.29,26.95,135.14,13.51,100,24.13,0,0,203,53.09,96.53,51.13,48.26,33.79,1700.93

53,13:00-13:15,13.51,0,17.55,0,0,14.48,10.62,0,28.96,0,0,164.1,164.1,123.08,0,26.95,0,0,0,0,5.79,4.83,37.29,0.97,37.29,62.74,0,12.43,0,11.82,4.83,0,77.22,0,0,12.43,48.26,37.29,26.95,135.14,13.51,100,24.13,0,0,203,53.09,96.53,51.13,48.26,33.79,1702.0700000000002

54,13:15-13:30,13.51,0,17.55,0,0,14.48,10.62,0,28.96,0,0,164.1,164.1,123.08,0,26.95,0,0,0,0,5.79,4.83,37.29,0.97,37.29,62.74,0,12.43,0,11.82,4.83,0,77.22,0,0,12.43,48.26,37.29,26.95,135.14,13.51,100,24.13,0,0,203,53.09,96.53,51.13,48.26,33.79,1702.0700000000002

55,13:30-13:45,13.51,0,17.55,0,0,14.48,10.62,0,28.96,0,0,164.1,164.1,123.08,0,26.95,0,0,0,0,5.79,4.83,37.29,0.97,37.29,62.74,0,12.43,0,11.82,4.83,0,77.22,0,0,12.43,48.26,37.29,26.95,135.14,13.51,100,24.13,0,0,203,53.09,96.53,51.13,48.26,33.79,1702.0700000000002

56,13:45-14:00,13.51,0,17.55,0,0,14.48,10.62,0,28.96,0,0,164.1,164.1,123.08,0,26.95,0,0,0,0,5.79,4.83,37.29,0.97,37.29,62.74,0,12.43,0,11.82,4.83,0,77.22,0,0,12.43,48.26,37.29,26.95,135.14,13.51,99.05,24.13,0,0,203,53.09,96.53,51.13,48.26,33.79,1701.1200000000001

57,14:00-14:15,13.51,0,17.55,0,0,14.48,10.62,0,28.96,0,0,164.1,164.1,123.08,0,26.95,0,0,0,28.96,5.79,0,37.29,0.97,37.29,62.74,0,12.43,0,11.64,0,86.88,77.22,0,0,12.43,48.26,37.29,26.95,135.14,11.58,96.92,24.13,4.83,4.83,203,53.09,96.53,51.13,48.26,33.79,1812.7199999999996

