Block,Time,DADRT2,KGSU1AND2,KOLDAM,NLCTS2EXP,NNTPP,RSTPSU7,SASAN,URI,BRBCL,KKNPPU2,RIHAND1,RIHAND3,SINGRAULI_HYDRO,TelanganaSTPP,UNCHAHAR4,DADRI_CRF,NJPC,CHAMERA2,KISHANGANGA,KUDGI,MAPS,PARBATI3,SALAL,SEWA2,TANAKPUR,UNCHAHAR2,ANTA_RF,AURY_GF,DADRI_GF,CHAMERA1,CHAMERA3,DHAULIGNGA,DULHASTI,KGSU3AND4,RAPPC,TALST2,UNCHAHAR1,ANTA_CRF,AURY_CRF,AURY_LF,DADRI_LF,KHSTPP-I,KKNP,NAPP,NLCIIST2,RAMPUR,SINGRAULI,BSIUL,FSTPP I & II,KHSTPP-II,RAPPB,SIMHST1,SIMHST2,TEHRI,URI2,DADRI_RF,JHAJJAR,KOTESHWR,NLCEXP,NLCIIST1,NTPL,RIHAND2,RSTPSU1TO6,TALA,TANDA2,UNCHAHAR3,VALLURNTECL,ANTA_GF,ANTA_LF,AURY_RF
6,01:15-01:30,683.14,0,0,0,0,0,415.12,35.33,20,0,92,124.33,0.79,0,0,0,0,13.17,0,0,0,0,26.73,5.06,0,42.39,43.05,0,0,0,0,0,16.48,0,51.01,0,19.98,0,0,0,0,45.83,0,41.86,0,0,98.1,13.04,18.2,148.3,0,0,0,0,33.23,59.73,559.57,6.41,0,0,0,118.76,0,0,0,26.4,0,0,0,68.96

7,01:30-01:45,683.14,0,0,0,0,0,415.12,35.33,20,0,92,124.33,0.79,0,0,0,0,13.17,0,0,0,0,26.73,5.06,0,42.39,43.05,0,0,0,0,0,16.48,0,51.01,0,19.98,0,0,0,0,45.83,0,41.86,0,0,98.1,13.04,18.2,148.3,0,0,0,0,33.23,59.73,559.57,6.41,0,0,0,118.76,0,0,0,26.4,0,0,0,68.96

8,01:45-02:00,683.14,0,0,0,0,0,415.12,35.33,20,0,92,124.33,0.79,0,0,0,0,13.17,0,0,0,0,26.73,5.06,0,42.39,43.05,0,0,0,0,0,16.48,0,51.01,0,19.98,0,0,0,0,45.83,0,41.86,0,0,98.1,13.04,18.2,148.3,0,0,0,0,33.23,59.73,559.57,6.41,0,0,0,118.76,0,0,0,26.4,0,0,0,68.96

9,02:00-02:15,683.14,0,0,0,0,0,415.12,35.33,20,0,92,124.33,0.79,0,0,0,0,13.17,0,0,0,0,26.73,5.06,0,42.39,43.05,0,0,0,0,0,16.48,0,51.01,0,19.98,0,0,0,0,45.83,0,41.86,0,0,98.1,13.04,18.2,148.3,0,0,0,0,33.23,59.73,559.57,6.41,0,0,0,118.76,0,0,0,26.4,0,0,0,68.96

10,02:15-02:30,683.14,0,0,0,0,0,415.12,35.33,20,0,92,124.33,0.79,0,0,0,0,0,0,0,0,0,26.73,5.06,0,42.39,43.05,0,0,0,0,0,16.48,0,51.01,0,19.98,0,0,0,0,45.83,0,41.86,0,0,98.1,13.04,18.2,148.3,0,0,0,0,33.23,59.73,559.57,6.41,0,0,0,118.76,0,0,0,26.4,0,0,0,68.96

11,02:30-02:45,683.14,0,0,0,0,0,415.12,35.33,20,0,92,124.33,0.79,0,0,0,0,0,0,0,0,0,70.88,5.06,0,42.39,43.05,0,0,0,0,0,16.48,0,51.01,0,19.98,0,0,0,0,45.83,0,41.86,0,0,98.1,13.04,18.2,148.3,0,0,0,0,33.23,59.73,559.57,6.41,0,0,0,118.76,0,0,0,26.4,0,0,0,68.96

12,02:45-03:00,683.14,0,0,0,0,0,415.12,35.33,20,0,92,124.33,0.79,0,0,0,0,0,0,0,0,0,70.88,5.13,0,42.39,43.05,0,0,0,0,0,16.48,0,51.01,0,19.98,0,0,0,0,45.83,0,41.86,0,0,98.1,13.04,18.2,148.3,0,0,0,0,33.23,59.73,559.57,6.41,0,0,0,118.76,0,0,0,26.4,0,0,0,68.96

13,03:00-03:15,683.14,0,0,0,0,0,415.12,35.33,20,0,92,124.33,0.79,0,0,0,0,0,0,0,0,0,70.88,5.2,0,42.39,43.26,0,0,0,0,0,16.48,0,51.01,0,19.98,0,0,0,0,45.83,0,41.86,0,0,98.1,13.04,18.2,148.3,0,0,0,0,31.9,59.73,559.57,6.41,0,0,0,118.76,0,0,0,26.4,0,0,0,68.96

14,03:15-03:30,683.14,0,0,0,0,0,415.12,35.33,20,0,92,124.33,0.79,0,0,0,0,0,0,0,0,0,70.88,10.53,0,42.39,43.57,0,0,0,0,0,16.48,0,51.01,0,19.98,0,0,0,0,45.83,0,41.86,0,0,98.1,13.04,18.2,148.3,0,0,0,0,31.9,59.73,559.57,6.41,0,0,0,118.76,0,0,0,26.4,0,0,0,68.96

15,03:30-03:45,683.14,0,0,0,0,0,415.12,35.33,20,0,92,124.33,0.79,0,0,0,0,0,0,0,0,0,70.88,10.53,0,42.39,43.57,0,0,0,0,0,16.48,0,51.01,0,19.98,0,0,0,0,45.83,0,41.86,0,0,98.1,13.04,18.2,148.3,0,0,0,0,31.9,59.73,559.57,6.41,0,0,0,118.76,0,0,0,26.4,0,0,0,68.96

16,03:45-04:00,683.14,0,0,0,0,0,415.12,35.33,20,0,92,124.33,0.79,0,0,0,0,0,0,0,0,0,70.88,10.53,0,42.39,43.57,0,0,0,0,0,16.48,0,51.01,0,19.98,0,0,0,0,45.83,0,41.86,0,0,98.1,13.04,18.2,148.3,0,0,0,0,31.9,59.73,559.57,6.41,0,0,0,118.76,0,0,0,26.4,0,0,0,68.96

17,04:00-04:15,683.14,0,0,0,0,0,415.12,35.33,20,0,92,124.33,0.79,0,0,0,0,0,0,0,0,0,26.73,10.53,6.27,42.39,43.57,0,0,0,0,0,16.48,0,51.01,0,19.98,0,0,0,0,45.83,0,41.86,0,0,98.1,13.04,18.2,148.3,0,0,0,0,31.9,59.73,559.57,6.41,0,0,0,118.76,0,0,0,26.4,0,0,0,68.96

18,04:15-04:30,683.14,0,0,0,0,0,415.12,35.33,20,0,92,124.33,0.79,0,0,0,0,0,0,0,0,0,26.73,10.53,6.27,42.39,43.57,0,0,0,0,0,16.48,0,51.01,0,19.98,0,0,0,0,45.83,0,41.86,0,0,98.1,13.04,18.2,148.3,0,0,0,0,31.9,59.73,559.57,6.41,0,0,0,118.76,0,0,0,26.4,0,0,0,68.96

19,04:30-04:45,683.14,0,0,0,0,0,415.12,35.33,20,0,92,124.33,0.79,0,0,0,0,0,0,0,0,0,26.73,10.53,6.27,42.39,43.57,0,0,0,0,9.14,16.48,0,51.01,0,19.98,0,0,0,0,45.83,0,41.86,0,0,98.1,13.04,18.2,148.3,0,0,0,0,31.9,59.73,559.57,6.41,0,0,0,118.76,0,0,0,26.4,0,0,0,68.96

20,04:45-05:00,683.14,0,0,0,0,0,415.12,35.33,20,0,92,124.33,0.79,0,0,0,0,0,0,0,0,0,26.73,10.53,6.27,42.39,43.57,0,0,0,0,9.14,16.48,0,51.01,0,19.98,0,0,0,0,45.83,0,41.86,0,0,98.1,13.04,18.2,148.3,0,0,0,10.39,31.9,59.73,559.57,6.41,0,0,0,118.76,0,0,0,26.4,0,0,0,68.96

21,05:00-05:15,683.14,0,0,0,0,0,415.12,35.33,20,0,92,124.33,0.75,0,0,0,0,0,0,0,0,0,26.73,10.53,6.27,42.39,43.57,0,0,0,0,9.14,16.48,0,51.01,0,19.98,0,0,0,0,45.83,0,41.86,0,0,98.1,13.04,18.2,148.3,0,0,0,10.39,31.9,59.73,559.57,6.41,0,0,0,118.76,0,0,0,26.4,0,0,0,68.96

22,05:15-05:30,683.14,0,0,0,0,0,415.12,35.33,20,0,92,124.33,0.75,0,0,0,23.39,0,0,0,0,0,26.73,15.81,6.27,42.39,43.57,0,0,12.25,0,9.14,16.48,0,51.01,0,19.98,0,0,0,0,45.83,0,41.86,0,0,98.1,13.04,18.2,148.3,0,0,0,20.79,31.9,59.73,559.57,6.41,0,0,0,118.76,0,0,0,26.4,0,0,0,68.96

23,05:30-05:45,683.14,0,0,0,0,0,415.12,35.33,20,0,92,124.33,0.75,0,0,0,23.39,0,0,0,0,0,26.73,15.81,6.27,42.39,43.57,0,0,12.25,0,18.26,16.48,0,51.01,0,19.98,0,0,0,0,45.83,0,41.86,0,0,98.1,13.04,18.2,148.3,0,0,0,21.8,31.9,59.73,559.57,6.41,0,0,0,118.76,0,0,0,26.4,0,0,0,68.96

24,05:45-06:00,683.14,0,0,0,0,0,415.12,35.33,20,0,92,124.33,0.75,0,0,0,46.78,3.34,0,0,0,0,26.73,15.81,6.27,42.39,43.57,0,0,12.25,0,18.26,16.48,0,51.01,0,19.98,0,0,0,0,45.83,0,41.86,0,0,98.1,13.04,18.2,148.3,0,0,0,32.7,31.9,59.73,532.17,6.41,0,0,0,118.76,0,0,0,26.4,0,0,0,68.96

25,06:00-06:15,683.14,0,0,0,0,0,415.12,39.75,20,0,92,124.33,0.75,0,0,0,60.61,13.17,0,0,0,3.82,26.73,15.81,0,42.39,43.57,0,0,12.25,9.68,18.26,16.48,0,51.01,0,19.98,0,0,0,0,45.83,0,41.86,0,0,98.1,13.04,18.2,148.3,0,0,0,32.7,31.9,59.73,532.17,6.41,0,0,0,118.76,0,0,0,26.4,0,0,0,68.96

26,06:15-06:30,683.14,0,0,0,0,0,415.12,39.75,20,0,92,124.33,0.75,0,0,0,60.61,16,0,0,0,16.54,26.73,15.81,0,42.39,43.57,0,0,28.05,19.35,18.26,32.96,0,51.01,0,19.98,0,0,0,0,45.83,0,41.86,0,0,98.1,13.04,18.2,148.3,0,0,0,32.7,31.9,59.73,532.17,17.75,0,0,0,118.76,0,0,0,26.4,0,0,0,68.96

27,06:30-06:45,683.14,0,0,0,0,0,415.12,39.75,20,0,92,124.33,0.75,0,0,0,116.57,39.51,0,0,0,16.54,26.73,15.81,0,42.39,43.57,0,0,42.15,29.06,18.27,49.43,0,51.01,0,19.98,0,0,0,0,45.83,0,41.86,0,0,98.1,19.56,18.2,148.3,0,0,0,42.71,31.9,59.73,482.17,39.05,0,0,0,118.76,0,0,0,26.4,0,0,0,68.96

28,06:45-07:00,683.14,0,0,0,0,0,415.12,39.75,20,0,92,124.33,0.75,0,0,0,116.95,39.51,0,0,0,16.54,26.73,15.81,0,42.39,43.57,0,0,42.15,29.06,27.41,49.43,0,51.01,0,19.98,0,0,0,0,45.83,0,41.86,0,0,98.1,19.56,18.2,148.3,0,0,0,42.71,31.9,59.73,482.17,39.05,0,0,0,118.76,0,0,0,26.4,0,0,0,68.96

29,07:00-07:15,683.14,0,0,0,0,0,415.12,35.33,20,0,92,124.33,0.75,0,0,0,140.35,39.51,0,0,0,16.54,26.73,15.81,0,42.39,43.37,0,0,42.15,29.06,27.41,49.43,0,51.01,0,19.98,0,0,0,0,45.83,0,41.86,0,0,98.1,19.56,18.2,148.3,0,0,0,42.71,31.9,59.73,559.57,39.05,0,0,0,118.76,0,0,0,26.4,0,0,0,68.96

30,07:15-07:30,683.14,0,0,0,0,0,415.12,35.33,20,0,92,124.33,0.75,0,0,0,140.35,39.51,0,0,0,16.54,26.73,15.81,0,42.39,43.37,0,0,42.15,29.06,27.41,49.43,0,51.01,0,19.98,0,0,0,0,45.83,0,41.86,0,0,98.1,19.56,18.2,148.3,0,0,0,42.71,31.9,59.73,559.57,39.05,0,0,0,118.76,0,0,0,26.4,0,0,0,68.96

31,07:30-07:45,683.14,0,0,0,0,0,415.12,35.33,20,0,92,124.33,0.73,0,0,0,116.95,39.51,0,0,0,16.54,26.73,15.81,0,42.39,43.37,0,0,42.15,29.06,27.41,49.43,0,51.01,0,19.98,0,0,0,0,45.83,0,41.86,0,0,98.1,19.56,18.2,148.3,0,0,0,42.71,31.9,59.73,559.57,39.05,0,0,0,118.76,0,0,0,26.4,0,0,0,68.96

32,07:45-08:00,683.14,0,0,0,0,0,415.12,35.33,20,0,92,124.33,0.73,0,0,0,116.95,26.34,0,0,0,15.27,26.73,15.81,0,42.39,43.37,0,0,42.15,9.68,18.26,32.96,0,51.01,0,19.98,0,0,0,0,45.83,0,41.86,0,0,98.1,6.52,18.2,148.3,0,0,0,42.71,31.9,59.73,559.57,17.75,0,0,0,118.76,0,0,0,26.4,0,0,0,68.96

33,08:00-08:15,683.14,0,0,0,0,0,418.77,35.33,20,0,92,124.33,0.73,0,0,0,116.95,26.34,0,0,0,3.57,26.73,15.81,0,42.39,43.37,0,0,24.49,9.68,18.26,16.48,0,51.01,0,19.98,0,0,0,0,45.83,0,41.86,0,0,98.1,6.52,18.2,148.3,0,0,0,42.71,31.9,59.73,559.57,8.87,0,0,0,118.76,0,0,0,26.4,0,0,0,68.96

34,08:15-08:30,683.14,0,0,0,0,0,418.77,39.75,20,0,92,124.33,0.73,0,0,0,93.56,26.34,0,0,0,0,26.73,15.81,0,42.39,43.37,0,0,23.7,9.68,9.14,16.48,0,51.01,0,19.98,0,0,0,0,45.83,0,41.86,0,0,98.1,6.52,18.2,148.3,0,0,0,32.7,31.9,59.73,559.57,8.87,0,0,0,118.76,0,0,0,26.4,0,0,0,68.96

35,08:30-08:45,683.14,0,0,0,0,0,418.77,39.75,20,0,92,124.33,0.73,0,0,0,70.17,13.17,0,0,0,0,26.73,15.81,0,42.39,43.37,0,0,23.7,9.68,9.14,16.48,0,51.01,0,20.85,0,0,0,0,45.83,0,41.86,0,0,98.1,13.04,18.2,148.3,0,0,0,32.7,31.9,59.73,559.57,8.87,0,0,0,118.76,0,0,0,26.4,0,0,0,68.96

36,08:45-09:00,683.14,0,0,0,0,0,418.77,39.75,20,0,92,124.33,0.73,0,0,0,46.78,13.17,0,0,0,0,26.73,10.53,0,42.39,43.37,0,0,11.85,9.68,9.14,16.48,0,51.01,0,20.85,0,0,0,0,45.83,0,41.86,0,0,98.1,13.04,18.2,148.3,0,0,0,20.91,31.9,59.73,559.57,8.87,0,0,0,118.76,0,0,0,26.4,0,0,0,68.96

37,09:00-09:15,683.14,0,0,0,0,0,418.77,39.75,20,0,92,124.33,0.73,0,0,0,23.01,13.17,0,0,0,0,26.73,10.53,0,42.39,43.37,0,0,0,9.68,9.14,16.48,0,51.01,0,20.85,0,0,0,0,45.83,0,41.86,0,0,98.1,13.04,18.2,148.3,0,0,0,20.91,31.9,59.73,559.57,8.87,0,0,0,118.76,0,0,0,26.4,0,0,0,68.96

38,09:15-09:30,683.14,0,0,0,0,0,418.77,35.33,20,0,92,124.33,0.73,0,0,0,0,13.17,0,0,0,0,26.73,10.53,0,42.39,43.37,0,0,0,9.68,0,16.48,0,51.01,0,20.85,0,0,0,0,45.83,0,41.86,0,0,98.1,13.04,18.2,148.3,0,0,0,10.08,31.9,59.73,559.57,8.87,0,0,0,118.76,0,0,0,26.4,0,0,0,68.96

39,09:30-09:45,683.14,0,0,0,0,0,418.77,35.33,20,0,92,124.33,0.73,0,0,0,0,13.17,0,0,0,0,26.73,5.27,0,42.39,43.26,0,0,0,9.68,0,16.48,0,51.01,0,20.85,0,0,0,0,45.83,0,41.86,0,0,98.1,13.04,18.2,148.3,0,0,0,10.08,31.9,59.73,559.57,8.87,0,0,0,118.76,0,0,0,26.4,0,0,0,68.96

40,09:45-10:00,683.14,0,0,0,0,0,418.77,35.33,20,0,92,124.33,0.73,0,0,0,0,13.17,0,0,0,0,26.73,5.27,0,42.39,43.26,0,0,0,9.68,0,16.48,0,51.01,0,20.85,0,0,0,0,45.83,0,41.86,0,0,98.1,13.04,18.2,148.3,0,0,0,10.08,31.9,59.73,559.57,8.87,0,0,0,118.76,0,0,0,26.4,0,0,0,68.96

41,10:00-10:15,683.14,0,0,0,0,0,418.77,35.33,20,0,92,124.33,0.73,0,0,0,0,13.17,0,0,0,0,13.36,5.27,0,42.39,42.84,0,0,0,9.68,0,16.48,0,51.01,0,20.85,0,0,0,0,45.83,0,41.86,0,0,98.1,13.04,18.2,148.3,0,0,0,0,31.9,59.73,559.57,8.87,0,0,0,118.76,0,0,0,26.4,0,0,0,68.96

42,10:15-10:30,683.14,0,0,0,0,0,418.77,35.33,20,0,92,124.33,0.73,0,0,0,0,13.17,0,0,0,0,13.36,5.27,0,42.39,42.84,0,0,0,9.68,0,16.48,0,51.01,0,20.85,0,0,0,0,45.83,0,41.86,0,0,98.1,13.04,18.2,148.3,0,0,0,0,31.9,59.73,559.57,8.87,0,0,0,118.76,0,0,0,26.4,0,0,0,68.96

43,10:30-10:45,683.14,0,0,0,0,0,418.77,35.33,20,0,92,124.33,0.73,0,0,0,0,13.17,0,0,0,0,13.36,0,2.05,42.39,42.84,0,0,0,0,0,16.48,0,51.01,0,20.85,0,0,0,0,45.83,0,41.86,0,0,98.1,13.04,18.2,148.3,0,0,0,0,31.9,59.73,559.57,8.87,0,0,0,118.76,0,0,0,26.4,0,0,0,68.96

44,10:45-11:00,683.14,0,0,0,0,0,418.77,35.33,20,0,92,124.33,0.73,0,0,0,0,13.17,0,0,0,0,13.36,0,2.05,42.39,42.84,0,0,0,0,0,16.48,0,51.01,0,20.85,0,0,0,0,45.83,0,41.86,0,0,98.1,13.04,18.2,148.3,0,0,0,10.08,31.9,59.73,559.57,8.87,0,0,0,118.76,0,0,0,26.4,0,0,0,68.96

45,11:00-11:15,683.14,0,0,0,0,0,418.77,35.33,20,0,92,124.33,0.73,0,0,0,0,13.17,0,0,0,0,13.36,0,2.05,42.39,42.52,0,0,0.39,0,0,16.48,0,51.01,0,20.85,0,0,0,0,45.83,0,41.86,0,0,98.1,13.04,18.2,148.3,0,0,0,10.08,31.9,59.73,559.57,8.87,0,0,0,118.76,0,0,0,26.4,0,0,0,68.96

46,11:15-11:30,683.14,0,0,0,0,0,418.77,35.33,20,0,92,124.33,0.73,0,0,0,0,13.17,0,0,0,0,13.36,0,2.05,42.39,42.52,0,0,13.07,0,0,16.48,0,51.01,0,20.85,0,0,0,0,45.83,0,41.86,0,0,98.1,13.04,18.2,148.3,0,0,0,10.08,31.9,59.73,559.57,8.87,0,0,0,118.76,0,0,0,26.4,0,0,0,68.96

47,11:30-11:45,683.14,0,0,0,0,0,418.77,35.33,20,0,92,124.33,0.73,0,0,0,0,13.17,0,0,0,0,13.36,0,1.54,42.39,42.52,0,0,1.29,0,0,16.48,0,51.01,0,20.85,0,0,0,0,45.83,0,41.86,0,0,98.1,13.04,18.2,148.3,0,0,0,0,28.92,59.73,559.57,8.87,0,0,0,118.76,0,0,0,26.4,0,0,0,68.96

48,11:45-12:00,683.14,0,0,0,0,0,418.77,35.33,20,0,92,124.33,0.73,0,0,0,0,13.17,0,0,0,0,13.36,0,1.54,42.39,42.21,0,0,0,0,0,16.48,0,51.01,0,20.85,0,0,0,0,45.83,0,41.86,0,0,98.1,13.04,18.2,148.3,0,0,0,0,28.92,59.73,559.57,8.87,0,0,0,118.76,0,0,0,26.4,0,0,0,68.96

49,12:00-12:15,683.14,0,0,0,0,0,418.77,35.33,20,0,92,124.33,0.73,0,0,0,0,0,0,0,0,0,13.36,0,1.54,42.39,42.21,0,0,0,0,0,0,0,51.01,0,20.85,0,0,0,0,45.83,0,41.86,0,0,98.1,13.04,18.2,148.3,0,0,0,0,28.92,59.73,559.57,8.87,0,0,0,118.76,0,0,0,26.4,0,0,0,68.96

50,12:15-12:30,683.14,0,0,0,0,0,418.77,35.33,20,0,92,124.33,0.73,0,0,0,0,0,0,0,0,0,13.36,0,1.54,42.39,41.37,0,0,0,0,0,0,0,51.01,0,20.85,0,0,0,0,45.83,0,41.86,0,0,98.1,13.04,18.2,148.3,0,0,0,0,28.92,59.73,559.57,8.87,0,0,0,118.76,0,0,0,26.4,0,0,0,68.96

51,12:30-12:45,683.14,0,0,0,0,0,418.77,35.33,20,0,92,124.33,0.73,0,0,0,0,0,0,0,0,0,13.36,0,1.54,42.39,41.37,0,0,0,0,0,0,0,51.01,0,20.85,0,0,0,0,45.83,0,41.86,0,0,98.1,13.04,18.2,148.3,0,0,0,0,28.92,59.73,559.57,8.87,0,0,0,118.76,0,0,0,26.4,0,0,0,68.96

52,12:45-13:00,683.14,0,0,0,0,0,418.77,35.33,20,0,92,124.33,0.73,0,0,0,0,0,0,0,0,0,13.36,0,1.54,42.39,41.37,0,0,0,0,0,0,0,51.01,0,20.85,0,0,0,0,45.83,0,41.86,0,0,98.1,13.04,18.2,148.3,0,0,0,0,28.92,59.73,559.57,8.87,0,0,0,118.76,0,0,0,26.4,0,0,0,68.96

53,13:00-13:15,683.14,0,0,0,0,0,418.77,35.33,20,0,92,124.33,0.73,0,0,0,0,0,0,0,0,0,13.36,0,1.54,42.39,41.37,0,0,0,0,0,0,0,51.01,0,20.85,0,0,0,0,45.83,0,41.86,0,0,98.1,6.52,18.2,148.3,0,0,0,0,31.9,59.73,559.57,8.87,0,0,0,118.76,0,0,0,26.4,0,0,0,68.96

54,13:15-13:30,683.14,0,0,0,0,0,418.77,35.33,20,0,92,124.33,0.73,0,0,0,0,0,0,0,0,0,13.36,0,1.54,42.39,41.37,0,0,0,0,0,0,0,51.01,0,20.85,0,0,0,0,45.83,0,41.86,0,0,98.1,6.52,18.2,148.3,0,0,0,0,31.9,59.73,559.57,8.87,0,0,0,118.76,0,0,0,26.4,0,0,0,68.96

55,13:30-13:45,683.14,0,0,0,0,0,418.77,35.33,20,0,92,124.33,0.73,0,0,0,0,0,0,0,0,0,13.36,0,1.54,42.39,41.37,0,0,0,0,0,0,0,51.01,0,20.85,0,0,0,0,45.83,0,41.86,0,0,104.15,6.52,18.2,148.3,0,0,0,0,31.61,59.73,559.57,8.87,0,0,0,118.76,0,0,0,26.4,0,0,0,68.96

56,13:45-14:00,683.14,0,0,0,0,0,418.77,35.33,20,0,92,124.33,0.73,0,0,0,0,0,0,0,0,0,13.36,0,1.54,42.39,41.37,0,0,0,0,0,0,0,51.01,0,20.85,0,0,0,0,45.83,0,41.86,0,0,104.15,6.52,18.2,148.3,0,0,0,0,31.61,59.73,559.57,8.87,0,0,0,118.76,0,0,0,26.4,0,0,0,68.96

57,14:00-14:15,683.14,0,0,0,0,0,418.77,35.33,20,0,92,124.33,0.73,0,0,0,0,0,0,0,0,0,13.36,0,1.54,42.39,41.37,0,0,0,0,0,0,0,51.01,0,20.85,0,0,0,0,45.83,0,41.86,0,0,104.15,6.52,18.2,148.3,0,0,0,0,31.61,59.73,559.57,8.87,0,0,0,118.76,0,0,0,26.4,0,0,0,68.96

58,14:15-14:30,683.14,0,0,0,0,0,418.77,35.33,20,0,92,124.33,0.73,0,0,0,0,0,0,0,0,0,13.36,0,1.54,42.39,41.37,0,0,0,0,0,0,0,51.01,0,20.85,0,0,0,0,45.83,0,41.86,0,0,104.15,6.52,18.2,148.3,0,0,0,0,31.61,59.73,559.57,8.87,0,0,0,118.76,0,0,0,26.4,0,0,0,68.96

59,14:30-14:45,683.14,0,0,0,0,0,418.77,35.33,20,0,91.8,124.33,0.73,0,0,0,0,0,0,0,0,0,13.36,0,1.54,42.39,41.37,0,0,0,0,0,0,0,51.01,0,20.85,0,0,0,0,45.83,0,41.86,0,0,104.15,6.52,18.2,148.3,0,0,0,0,31.61,59.73,559.57,8.87,0,0,0,118.76,0,0,0,26.4,0,0,0,68.96

60,14:45-15:00,683.14,0,0,0,0,0,418.77,35.33,20,0,91.8,124.33,0.73,0,0,0,0,0,0,0,0,0,13.36,0,1.54,42.39,40.95,0,0,0,0,0,0,0,51.01,0,20.85,0,0,0,0,45.83,0,41.86,0,0,104.15,6.52,18.2,148.3,0,0,0,0,31.61,59.73,559.57,8.87,0,0,0,118.76,0,0,0,26.4,0,0,0,68.96

61,15:00-15:15,683.14,0,0,0,0,0,418.77,35.33,20,0,92,124.33,0.71,0,0,0,0,0,0,0,0,0,70.88,0,1.54,42.39,40.95,0,0,0,0,0,0,0,51.01,0,20.85,0,0,0,0,45.83,0,41.86,0,0,104.15,6.52,18.2,148.3,0,0,0,10.08,31.61,59.73,559.57,8.87,0,0,0,118.76,0,0,0,26.4,0,0,0,68.96

62,15:15-15:30,683.14,0,0,0,0,0,418.77,35.33,20,0,92,124.33,0.71,0,0,0,0,0,0,0,0,0,70.88,9.86,1.54,42.39,40.95,0,0,0,0,0,0,0,51.01,0,20.85,0,0,0,0,45.83,0,41.86,0,0,104.15,6.52,18.2,148.3,0,0,0,10.08,31.61,59.73,559.57,8.87,0,0,0,118.76,0,0,0,26.4,0,0,0,68.96

63,15:30-15:45,683.14,0,0,0,0,0,418.77,35.33,20,0,92,124.33,0.71,0,0,0,0,0,0,0,0,0,70.88,9.86,1.54,42.39,40.95,0,0,0,0,0,0,0,51.01,0,20.85,0,0,0,0,45.83,0,41.86,0,0,104.15,6.52,18.2,148.3,0,0,0,20.91,31.61,59.73,559.57,8.87,0,0,0,118.76,0,0,0,26.4,0,0,0,68.96

