,,RAJASTHAN,MAHARASHTRA,HIMACHAL PRADESH,NA,NAGALAND,NA,MAHARASHTRA,NA,TAMIL NADU,NA,ODISHA,TAMIL NADU,NA,HIMACHAL PRADESH,DELHI,ANDHRA PRADESH,NA,TAMIL NADU,ODISHA,TAMIL NADU,RAJASTHAN,DELHI,
,,RUVNL,SWPL,GBHHPL,JHABUA_IPP,Nagaland_Ben,MEENAKSHI,JPL_DHULE,KAMENG,BIRLACARBONTN,SOLAPUR_SOLAR,FACORPOWER,SAKTHISUGARSLTD,JHAJJAR,GBHHPL,EDWPCL12,ITCWIND,MBMP,SAKTHISUGARS_ELMTN,VSL,SAKTHISUGRAR_TN,RUVNL,BYPL,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,UTTAR PRADESH,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,TAMIL NADU,
,,BYPL,BRPL,DIAPL,BRPL,BYPL,BRPL,BRPL,TPDDL,BRPL,MES (Delhi),BRPL,BRPL,TPDDL,DIAPL,UPPCL,ITCLH,BRPL,BRPL,BRPL,BRPL,BYPL,TANGEDCO,
,,North-North,West-East-North,North-North,West-East-North,North East-East-North,South-West-North,West-North,North East-East-North,South-West-North,West-North,East-West-North,South-West-North,North-North,North-North,North-North,South-West-North,West-East-North,South-West-North,East-North,South-West-North,North-North,North-East-South,
69,17:00-17:15,66.930000,0.000000,0.000000,0.000000,0.000000,0.000000,48.370000,108.930000,0.000000,2.08,0.000000,0.000000,116.090000,4.840000,0.000000,0.680000,0.000000,0.000000,0.000000,0.000000,0.000000,85.00,432.92

70,17:15-17:30,66.930000,0.000000,0.000000,0.000000,0.000000,0.000000,48.370000,108.930000,0.000000,1.59,0.000000,0.000000,116.090000,4.840000,0.000000,0.680000,0.000000,0.000000,0.000000,0.000000,0.000000,65.00,412.43

71,17:30-17:45,66.930000,0.000000,0.000000,0.000000,0.000000,0.000000,48.370000,142.790000,0.000000,1.11,0.000000,0.000000,116.090000,4.840000,0.000000,0.680000,0.000000,0.000000,0.000000,0.000000,0.000000,50.00,430.81

72,17:45-18:00,66.930000,0.000000,0.000000,0.000000,0.000000,0.000000,48.370000,142.790000,0.000000,0.75,0.000000,0.000000,116.090000,4.840000,0.000000,0.680000,0.000000,0.000000,0.000000,0.000000,0.000000,55.00,435.45

73,18:00-18:15,66.930000,0.000000,0.970000,0.000000,0.000000,0.000000,0.000000,167.360000,0.000000,0.44,0.000000,0.000000,116.090000,4.840000,0.000000,0.680000,0.000000,0.000000,0.000000,0.000000,0.000000,95.00,452.31

74,18:15-18:30,66.930000,0.000000,0.970000,0.000000,0.000000,0.000000,0.000000,167.360000,0.000000,0.2,0.000000,0.000000,116.090000,4.840000,0.000000,0.680000,0.000000,0.000000,0.000000,0.000000,0.000000,55.00,412.07

75,18:30-18:45,66.930000,0.000000,0.970000,0.000000,0.000000,0.000000,0.000000,167.360000,0.000000,0,0.000000,0.000000,116.090000,4.840000,0.000000,0.680000,0.000000,0.000000,0.000000,0.000000,0.000000,75.00,431.87

76,18:45-19:00,66.930000,0.000000,0.970000,0.000000,0.000000,0.000000,0.000000,167.360000,0.000000,0,0.000000,0.000000,116.090000,4.840000,0.000000,0.680000,0.000000,0.000000,0.000000,0.000000,0.000000,90.00,446.87

77,19:00-19:15,66.930000,0.000000,0.970000,0.000000,0.000000,0.000000,0.000000,167.360000,0.000000,0,0.000000,0.000000,116.090000,4.840000,2.000000,0.680000,0.000000,0.000000,0.000000,0.000000,0.000000,100.00,458.87

78,19:15-19:30,66.930000,0.000000,0.970000,0.000000,0.000000,0.000000,0.000000,167.360000,0.000000,0,0.000000,0.000000,116.090000,4.840000,2.000000,0.680000,0.000000,0.000000,0.000000,0.000000,0.000000,100.00,458.87

79,19:30-19:45,66.930000,0.000000,0.970000,0.000000,0.000000,0.000000,0.000000,167.360000,0.000000,0,0.000000,0.000000,116.090000,4.840000,2.000000,0.680000,0.000000,0.000000,0.000000,0.000000,0.000000,100.00,458.87

80,19:45-20:00,66.930000,0.000000,0.970000,0.000000,0.000000,0.000000,0.000000,167.360000,0.000000,0,0.000000,0.000000,116.090000,4.840000,2.000000,0.680000,0.000000,0.000000,0.000000,0.000000,0.000000,105.00,463.87

81,20:00-20:15,66.930000,0.000000,0.970000,0.000000,0.000000,0.000000,0.000000,167.360000,0.000000,0,0.000000,0.000000,116.090000,4.840000,2.000000,0.680000,0.000000,0.000000,0.000000,0.000000,0.000000,120.00,478.87

82,20:15-20:30,66.930000,0.000000,0.970000,0.000000,0.000000,0.000000,0.000000,167.360000,0.000000,0,0.000000,0.000000,116.090000,4.840000,2.000000,0.680000,0.000000,0.000000,0.000000,0.000000,0.000000,125.00,483.87

83,20:30-20:45,66.930000,0.000000,0.970000,0.000000,0.000000,0.000000,0.000000,167.360000,0.000000,0,0.000000,0.000000,116.090000,4.840000,2.000000,0.680000,0.000000,0.000000,0.000000,0.000000,0.000000,110.00,468.87

84,20:45-21:00,66.930000,0.000000,0.970000,0.000000,0.000000,0.000000,0.000000,167.360000,0.000000,0,0.000000,0.000000,116.090000,4.840000,2.000000,0.680000,0.000000,0.000000,0.000000,0.000000,0.000000,75.00,433.87

85,21:00-21:15,66.930000,0.000000,0.970000,0.000000,0.000000,0.000000,0.000000,135.240000,0.000000,0,0.000000,0.000000,116.090000,4.840000,2.000000,0.680000,0.000000,0.000000,0.000000,0.000000,0.000000,70.00,396.75

86,21:15-21:30,66.930000,0.000000,0.970000,0.000000,0.000000,0.000000,0.000000,93.930000,0.000000,0,0.000000,0.000000,116.090000,4.840000,2.000000,0.680000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,285.44

87,21:30-21:45,66.930000,0.000000,0.970000,0.000000,0.000000,0.000000,0.000000,52.630000,0.000000,0,0.000000,0.000000,116.090000,4.840000,2.000000,0.680000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,244.14

88,21:45-22:00,66.930000,0.000000,0.970000,0.000000,0.000000,0.000000,0.000000,52.630000,0.000000,0,0.000000,0.000000,116.090000,4.840000,2.000000,0.680000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,244.14

89,22:00-22:15,66.930000,0.000000,0.970000,0.000000,9.670000,0.000000,0.000000,52.630000,0.000000,0,0.000000,0.000000,116.090000,4.840000,2.000000,0.680000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,253.81

