Column1,Block,NR/2025/25681/C,NR/2025/25682/C,NR/2025/25517/A/59338,NR/2025/25516/A/59327,GNARE/NR/2024/12/20/3668,NR/2025/25518/A/59347,GNA/NR/2025/03/01/6891,NR/30092023/26122029/SH-06,GNA/NR/2025/03/01/2563,GNA/NR/2025/03/01/3469,GNA/SR/2025/03/01/7500,GNA/WR/2025/01/01/8625,GNA/NR/2025/03/01/4651,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/03/01/5143,GNA/NR/2025/03/01/1906,NR/30092023/31122025/SH-07,WR/2025/26499/A/59360,WR/2025/26427/A/59116,WR/2025/26582/A/59358,GNA/WR/2025/01/01/9606,GNA/NR/2025/03/01/8036,NR/2025/25159/A/59008,GNA/WR/2025/03/01/6406,WR/2025/26426/A/59115,GNA/NR/2025/03/01/9482,Total
10,02:15-02:30,0,0,0,0,0,0,79.27,26.99,23.31,8.64,0,0,6.72,4.04,237.82,23.31,26.99,0,24,24,0,23.31,0.43,42,167.53,17.28,735.6399999999999

11,02:30-02:45,0,0,0,0,0,0,79.27,26.99,23.31,8.64,0,0,6.72,4.04,237.82,23.31,26.99,0,24,24,0,23.31,0.43,42,167.53,17.28,735.6399999999999

12,02:45-03:00,0,0,0,0,0,0,79.27,26.99,23.31,8.64,0,0,6.72,4.04,237.82,23.31,26.99,0,24,24,0,23.31,0.43,42,167.53,17.28,735.6399999999999

13,03:00-03:15,0,0,0,0,0,0,79.27,26.99,23.31,8.64,0,0,6.72,4.04,237.82,23.31,26.99,0,24,24,0,23.31,0.43,42,167.53,17.28,735.6399999999999

14,03:15-03:30,0,0,0,0,0,0,79.27,26.99,23.31,8.64,0,0,6.72,4.04,237.82,23.31,26.99,0,24,24,0,23.31,0.43,42,167.53,17.28,735.6399999999999

15,03:30-03:45,0,0,0,0,0,0,79.27,26.99,23.31,8.64,0,0,6.72,4.04,237.82,23.31,26.99,0,24,24,0,23.31,0.43,42,167.53,17.28,735.6399999999999

16,03:45-04:00,0,0,0,0,0,0,79.27,26.99,23.31,8.64,0,0,6.72,4.04,237.82,23.31,26.99,0,24,24,0,23.31,0.43,42,167.53,17.28,735.6399999999999

17,04:00-04:15,0,0,0,0,0,0,79.27,26.99,23.31,8.64,0,0,6.72,3.95,237.82,23.31,26.99,0,24,24,0,23.31,0.43,42,167.53,17.28,735.55

18,04:15-04:30,0,0,0,0,0,0,79.27,26.99,23.31,8.64,0,0,6.72,3.95,237.82,23.31,26.99,0,24,24,0,23.31,0.43,42,167.53,17.28,735.55

19,04:30-04:45,0,0,0,0,0,0,79.27,26.99,23.31,8.64,0,0,6.72,3.95,237.82,23.31,26.99,0,24,24,0,23.31,0.43,42,167.53,17.28,735.55

20,04:45-05:00,0,0,0,0,0,0,79.27,26.99,23.31,8.64,0,0,6.72,3.95,237.82,23.31,26.99,0,24,24,0,23.31,0.43,42,167.53,17.28,735.55

21,05:00-05:15,0,0,0,0,0,0,79.27,26.99,23.31,8.64,0,0,6.72,3.95,237.82,23.31,26.99,0,24,24,0,23.31,0.48,42,167.53,17.28,735.5999999999999

22,05:15-05:30,0,0,0,0,0,0,79.27,26.99,23.31,8.64,0,0,6.72,3.95,237.82,23.31,26.99,0,24,24,0,23.31,0.48,42,167.53,17.28,735.5999999999999

23,05:30-05:45,0,0,0,0,0,0,79.27,26.99,23.31,8.64,0,0,6.72,3.95,237.82,23.31,26.99,0,24,24,0,23.31,0.48,42,167.53,17.28,735.5999999999999

24,05:45-06:00,0,0,0,0,0,0,79.27,26.99,23.31,8.64,0,0,6.72,3.95,237.82,23.31,26.99,0,24,24,0,23.31,0.48,42,167.53,17.28,735.5999999999999

25,06:00-06:15,0,0,0,0,0,0,0,26.99,23.31,8.64,0,0,6.72,3.86,0,23.31,26.99,0,0,0,0,23.31,0.53,42,167.53,17.28,370.47

26,06:15-06:30,0,0,0,0,0,0,0,26.99,23.31,8.64,0,0,6.72,3.86,0,23.31,26.99,0,0,0,0,23.31,0.53,42,167.53,17.28,370.47

27,06:30-06:45,0,0,0,0,0.04,0,0,26.99,23.31,8.64,0,0,6.72,3.86,0,23.31,26.99,0,0,0,0,23.31,0.53,42,167.53,17.28,370.51

28,06:45-07:00,0,0,0,0,0.08,0,0,26.99,23.31,8.64,0,0,6.72,3.86,0,23.31,26.99,0,0,0,0,23.31,0.53,42,167.53,17.28,370.54999999999995

29,07:00-07:15,0,0,0,0,0.4,0,0,32,23.31,8.64,0,0,6.72,3.86,0,23.31,25.87,40.31,0,0,0,23.31,0.58,0,167.53,17.28,373.12

30,07:15-07:30,0,0,0,0,2.83,0,0,32,23.31,8.64,0,0,6.72,3.86,0,23.31,25.87,40.31,0,0,0,23.31,0.58,0,167.53,17.28,375.55000000000007

31,07:30-07:45,0,0,0.02,0.04,5.83,0.02,0,32,23.31,8.64,0,0,6.72,3.86,0,23.31,25.87,40.31,0,0,0,23.31,0.58,0,167.53,17.28,378.63

32,07:45-08:00,0,0,0.09,0.16,13.2,0.09,0,32,23.31,8.64,0,0,6.72,3.86,0,23.31,25.87,40.31,0,0,0,23.31,0.58,0,167.53,17.28,386.26

33,08:00-08:15,0,0,0.26,0.35,23.5,0.17,0,26.99,23.31,8.64,0,0,6.72,3.86,0,23.31,26.99,40.31,0,0,0,23.31,0.96,0,0,17.28,225.96

34,08:15-08:30,0,0,0.29,0.38,31.77,0.19,0,26.99,23.31,8.64,0,0,6.72,3.86,0,23.31,26.99,40.31,0,0,0,23.31,0.96,0,0,17.28,234.31

35,08:30-08:45,0,0,0.29,0.38,40.54,0.19,0,26.99,23.31,8.64,0,0,6.72,3.86,0,23.31,26.99,40.31,0,0,0,23.31,0.96,0,0,17.28,243.08

36,08:45-09:00,0,0,0.29,0.38,49.05,0.19,0,26.99,23.31,8.64,0,0,6.72,3.86,0,23.31,26.99,40.31,0,0,0,23.31,0.96,0,0,17.28,251.59

37,09:00-09:15,14.4,38.39,0.29,0.48,57.34,0.19,0,26.99,23.31,8.64,0,0,6.72,3.86,0,23.31,26.99,40.31,0,0,0,23.31,0.91,0,0,17.28,312.72

38,09:15-09:30,14.4,38.39,0.29,0.48,65.15,0.19,0,26.99,23.31,8.64,0,0,6.72,3.86,0,23.31,26.99,40.31,0,0,0,23.31,0.91,0,0,17.28,320.5300000000001

39,09:30-09:45,14.4,38.39,0.29,0.58,72.4,0.19,0,26.99,23.31,8.64,0,0,6.72,3.86,0,23.31,26.99,40.31,0,0,0,23.31,0.91,0,0,17.28,327.88

40,09:45-10:00,14.4,38.39,0.29,0.58,78.84,0.19,0,26.99,23.31,8.64,0,0,6.72,3.86,0,23.31,26.99,40.31,0,0,0,23.31,0.91,0,0,17.28,334.32000000000005

41,10:00-10:15,14.4,38.39,0.29,0.58,84.93,0.19,0,26.99,23.31,8.64,0,0,6.72,3.76,0,23.31,26.99,40.31,0,0,0,23.31,0.91,0,0,17.28,340.31000000000006

42,10:15-10:30,14.4,38.39,0.29,0.58,89.79,0.19,0,26.99,23.31,8.64,0,0,6.72,3.76,0,23.31,26.99,40.31,0,0,0,23.31,0.91,0,0,17.28,345.16999999999996

43,10:30-10:45,14.4,38.39,0.38,0.58,98.38,0.19,0,26.99,23.31,8.64,0,0,6.72,3.76,0,23.31,26.99,40.31,0,0,0,23.31,0.91,0,0,17.28,353.85

44,10:45-11:00,14.4,38.39,0.38,0.58,98.67,0.19,0,26.99,23.31,8.64,0,0,6.72,3.76,0,23.31,26.99,40.31,0,0,0,23.31,0.91,0,0,17.28,354.14

45,11:00-11:15,14.4,38.39,0.38,0.58,98.67,0.19,0,26.99,23.31,8.64,0,0,6.72,3.76,0,23.31,26.99,40.31,0,0,0,23.31,0.91,0,0,17.28,354.14

46,11:15-11:30,14.4,38.39,0.48,0.58,98.67,0.19,0,26.99,23.31,8.64,0,0,6.72,3.76,0,23.31,26.99,40.31,0,0,0,23.31,0.91,0,0,17.28,354.24

47,11:30-11:45,14.4,38.39,0.58,0.58,98.67,0.19,0,26.99,23.31,8.64,0,0,6.72,3.76,0,23.31,26.99,40.31,0,0,0,23.31,0.91,0,0,17.28,354.34000000000003

48,11:45-12:00,14.4,38.39,0.58,0.58,98.67,0.19,0,26.99,23.31,8.64,0,0,6.72,3.76,0,23.31,26.99,40.31,0,0,0,23.31,0.91,0,0,17.28,354.34000000000003

49,12:00-12:15,14.4,38.39,0.58,0.58,98.67,0.19,0,26.99,23.31,8.64,0,0,6.72,3.68,0,23.31,26.99,40.31,0,0,0,23.31,0.91,0,0,17.28,354.26

50,12:15-12:30,14.4,38.39,0.58,0.58,98.67,0.19,0,26.99,23.31,8.64,0,0,6.72,3.68,0,23.31,26.99,40.31,0,0,0,23.31,0.91,0,0,17.28,354.26

51,12:30-12:45,14.4,38.39,0.38,0.58,98.67,0.19,0,26.99,23.31,8.64,0,0,6.72,3.68,0,23.31,26.99,40.31,0,0,0,23.31,0.91,0,0,17.28,354.06000000000006

52,12:45-13:00,14.4,38.39,0.48,0.58,98.67,0.19,0,26.99,23.31,8.64,0,0,6.72,3.68,0,23.31,26.99,40.31,0,0,0,23.31,0.91,0,0,17.28,354.15999999999997

53,13:00-13:15,14.4,38.39,0.48,0.58,98.67,0.19,0,26.99,23.31,8.64,0,0,6.72,3.68,0,23.31,26.99,40.31,0,0,0,23.31,0.91,0,0,17.28,354.15999999999997

54,13:15-13:30,14.4,38.39,0.48,0.58,98.67,0.19,0,26.99,23.31,8.64,0,0,6.72,3.68,0,23.31,26.99,40.31,0,0,0,23.31,0.91,0,0,17.28,354.15999999999997

55,13:30-13:45,14.4,38.39,0.48,0.58,98.67,0.19,0,26.99,23.31,8.64,0,0,6.72,3.68,0,23.31,26.99,40.31,0,0,0,23.31,0.91,0,0,17.28,354.15999999999997

56,13:45-14:00,14.4,38.39,0.48,0.58,98.67,0.19,0,26.99,23.31,8.64,0,0,6.72,3.68,0,23.31,26.99,40.31,0,0,0,23.31,0.91,0,0,17.28,354.15999999999997

57,14:00-14:15,14.4,38.39,0.48,0.67,98.67,0.19,0,26.99,23.31,8.64,0,0,6.72,3.68,0,23.31,26.99,40.31,0,0,0,23.31,0.91,0,0,17.28,354.25

58,14:15-14:30,14.4,38.39,0.48,0.77,98.67,0.19,0,26.99,23.31,8.64,0,0,6.72,3.68,0,23.31,26.99,40.31,0,0,0,23.31,0.91,0,0,17.28,354.35

59,14:30-14:45,14.4,38.39,0.48,0.77,98.67,0.19,0,26.99,23.31,8.64,0,0,6.72,3.68,0,23.31,26.99,40.31,0,0,0,23.31,0.91,0,0,17.28,354.35

60,14:45-15:00,14.4,38.39,0.48,0.77,98.67,0.19,0,26.99,23.31,8.64,0,0,6.72,3.68,0,23.31,26.99,40.31,0,0,0,23.31,0.91,0,0,17.28,354.35

61,15:00-15:15,14.4,38.39,0.48,0.67,98.67,0.19,0,26.99,23.31,8.64,0,0,6.72,3.68,0,23.31,26.99,40.31,0,0,0,23.31,0.67,0,0,17.28,354.01

62,15:15-15:30,14.4,38.39,0.48,0.67,92.37,0.19,0,26.99,23.31,8.64,0,0,6.72,3.68,0,23.31,26.99,40.31,0,0,0,23.31,0.67,0,0,17.28,347.71000000000004

63,15:30-15:45,14.4,38.39,0.48,0.67,86.76,0.19,0,26.99,23.31,8.64,0,0,6.72,3.68,0,23.31,26.99,40.31,0,0,0,23.31,0.67,0,0,17.28,342.1

64,15:45-16:00,14.4,38.39,0.38,0.58,80.74,0.19,0,26.99,23.31,8.64,0,0,6.72,3.68,0,23.31,26.99,40.31,0,0,0,23.31,0.67,0,0,17.28,335.89

65,16:00-16:15,14.4,38.39,0.38,0.58,74.45,0.19,0,26.99,23.31,8.64,0,0,6.72,3.68,0,23.31,26.99,40.31,0,0,0,23.31,0.53,0,0,17.28,329.46000000000004

66,16:15-16:30,14.4,38.39,0.38,0.58,67.78,0.19,0,26.99,23.31,8.64,0,0,6.72,3.68,0,23.31,26.99,40.31,0,0,0,23.31,0.53,0,0,17.28,322.7900000000001

67,16:30-16:45,14.4,38.39,0.48,0.67,60.3,0.19,0,26.99,23.31,8.64,0,0,6.72,3.68,0,23.31,26.99,40.31,0,0,0,23.31,0.53,0,0,17.28,315.5

68,16:45-17:00,14.4,38.39,0.58,0.67,52.68,0.19,0,26.99,23.31,8.64,0,0,6.72,3.68,0,23.31,26.99,40.31,0,0,0,23.31,0.53,0,0,17.28,307.98

69,17:00-17:15,0,0,0.58,0.67,44.54,0.19,0,26.99,25.91,8.64,0,100,8.64,3.68,0,25.91,26.99,40.31,0,0,0,25.91,0.53,0,0,17.28,356.77

70,17:15-17:30,0,0,0.38,0.67,37.08,0.19,0,26.99,25.91,8.64,0,100,8.64,3.68,0,25.91,26.99,40.31,0,0,0,25.91,0.53,0,0,17.28,349.11

71,17:30-17:45,0,0,0.37,0.57,28.71,0.19,0,26.99,25.91,8.64,0,100,8.64,3.68,0,25.91,26.99,40.31,0,0,0,25.91,0.53,0,0,17.28,340.63

72,17:45-18:00,0,0,0.23,0.34,19.76,0.12,0,26.99,25.91,8.64,0,100,8.64,3.68,0,25.91,26.99,40.31,0,0,0,25.91,0.53,0,0,17.28,331.24

73,18:00-18:15,0,0,0.08,0.12,14.33,0.04,0,26.99,25.91,8.64,0,100,8.64,3.76,0,25.91,26.99,40.31,0,0,50,25.91,0.53,0,0,17.28,375.44000000000005

74,18:15-18:30,0,0,0,0,8.13,0,0,26.99,25.91,8.64,0,100,8.64,3.76,0,25.91,26.99,40.31,0,0,50,25.91,0.53,0,0,17.28,369

75,18:30-18:45,0,0,0,0,3.28,0,0,26.99,25.91,8.64,50,100,8.64,3.76,0,25.91,26.99,40.31,0,0,50,25.91,0.53,0,0,17.28,414.15

76,18:45-19:00,0,0,0,0,0.5,0,0,26.99,25.91,8.64,50,100,8.64,3.76,0,25.91,26.99,40.31,0,0,50,25.91,0.53,0,0,17.28,411.37

77,19:00-19:15,0,0,0,0,0,0,0,23.22,25.91,8.64,50,100,8.64,3.86,0,25.91,23.22,40.31,0,0,50,25.91,0.62,0,0,17.28,403.52

78,19:15-19:30,0,0,0,0,0,0,0,23.22,25.91,8.64,50,100,8.64,3.86,0,25.91,23.22,40.31,0,0,50,25.91,0.62,0,0,17.28,403.52

79,19:30-19:45,0,0,0,0,0,0,0,23.22,25.91,8.64,50,100,8.64,3.86,0,25.91,23.22,40.31,0,0,50,25.91,0.62,0,0,17.28,403.52

80,19:45-20:00,0,0,0,0,0,0,0,23.22,25.91,8.64,50,100,8.64,3.86,0,25.91,23.22,40.31,0,0,50,25.91,0.62,0,0,17.28,403.52

81,20:00-20:15,0,0,0,0,0,0,0,26.99,25.91,8.64,50,100,8.64,4.5,0,25.91,26.99,40.31,0,0,75,25.91,0.62,0,47.99,17.28,484.69000000000005

82,20:15-20:30,0,0,0,0,0,0,0,26.99,25.91,8.64,50,100,8.64,4.5,0,25.91,26.99,40.31,0,0,75,25.91,0.62,0,47.99,17.28,484.69000000000005

83,20:30-20:45,0,0,0,0,0,0,0,26.99,25.91,8.64,50,100,8.64,4.5,0,25.91,26.99,40.31,0,0,75,25.91,0.62,0,47.99,17.28,484.69000000000005

84,20:45-21:00,0,0,0,0,0,0,0,26.99,25.91,8.64,50,100,8.64,4.5,0,25.91,26.99,40.31,0,0,75,25.91,0.62,0,47.99,17.28,484.69000000000005

85,21:00-21:15,0,0,0,0,0,0,0,26.99,25.91,8.64,50,100,8.64,4.68,0,25.91,26.99,40.31,0,0,75,25.91,0.62,0,47.99,17.28,484.87

86,21:15-21:30,0,0,0,0,0,0,0,26.99,25.91,8.64,50,100,8.64,4.68,0,25.91,26.99,40.31,0,0,75,25.91,0.62,0,47.99,17.28,484.87

87,21:30-21:45,0,0,0,0,0,0,0,26.99,25.91,8.64,50,100,8.64,4.68,0,25.91,26.99,40.31,0,0,75,25.91,0.62,0,47.99,17.28,484.87

88,21:45-22:00,0,0,0,0,0,0,0,26.99,25.91,8.64,50,100,8.64,4.68,0,25.91,26.99,40.31,0,0,75,25.91,0.62,0,47.99,17.28,484.87

89,22:00-22:15,0,0,0,0,0,0,79.27,26.99,25.91,8.64,50,100,8.64,4.78,237.82,25.91,26.99,40.31,24,24,75,25.91,0.53,0,47.99,17.28,849.9699999999999

90,22:15-22:30,0,0,0,0,0,0,79.27,26.99,25.91,8.64,50,100,8.64,4.78,237.82,25.91,26.99,40.31,24,24,75,25.91,0.53,0,47.99,17.28,849.9699999999999

91,22:30-22:45,0,0,0,0,0,0,79.27,26.99,25.91,8.64,50,100,8.64,4.78,237.82,25.91,26.99,40.31,24,24,75,25.91,0.53,0,47.99,17.28,849.9699999999999

92,22:45-23:00,0,0,0,0,0,0,79.27,26.99,25.91,8.64,50,100,8.64,4.78,237.82,25.91,26.99,40.31,24,24,75,25.91,0.53,0,47.99,17.28,849.9699999999999

93,23:00-23:15,0,0,0,0,0,0,79.27,26.99,25.91,8.64,50,0,8.64,4.78,237.82,25.91,26.99,40.31,24,24,75,25.91,0.48,0,47.99,17.28,749.92

94,23:15-23:30,0,0,0,0,0,0,79.27,26.99,25.91,8.64,50,0,8.64,4.78,237.82,25.91,26.99,40.31,24,24,75,25.91,0.48,0,47.99,17.28,749.92

95,23:30-23:45,0,0,0,0,0,0,79.27,26.99,25.91,8.64,50,0,8.64,4.78,237.82,25.91,26.99,40.31,24,24,75,25.91,0.48,0,47.99,17.28,749.92

96,23:45-24:00,0,0,0,0,0,0,79.27,26.99,25.91,8.64,50,0,8.64,4.78,237.82,25.91,26.99,40.31,24,24,75,25.91,0.48,0,47.99,17.28,749.92

