Time,Block,NR/2023/11955/F,NR/2023/13014/D,NR/2023/11958/F,NR/2023/10611/A,NR/2023/10223/A,NR/2023/11947/F,NR/2023/11284/A,NR/2023/13031/C,NR/2023/10434/A,NR/2023/11961/F,NR/2023/11642/A,NR/2023/11862/F,NR/2023/11643/A,NR/2023/10344/A,NR/2023/10236/A,NR/2023/10613/A,NR/2023/10229/A,NR/2023/11963/F,NR/2023/11956/F,NR/2023/12656/F,NR/2023/11476/A,NR/2023/10487/A,NR/2023/13022/C,NR/2023/11342/A,NR/2023/11941/F,NR/2023/12903/F,NR/2023/13024/C,NR/2023/11959/F,NR/2023/11957/F,NR/2023/11960/F,NR/2023/10173/A,NR/2023/11962/F,NR/2023/11640/A,NR/2023/11952/F,NR/2023/11330/A,NR/2023/10944/A,ER/2023/7928/C,ER/2023/7930/C,ER/2023/7951/C,NR/2023/13018/D,NR/2023/13016/D,NR/2023/13020/D,Total

3,00:30-00:45,0.360000,75.560000,0.560000,9.970000,21.530000,6.770000,33.860000,16.900000,24.190000,0.700000,14.510000,2.900000,13.060000,12.170000,236.850000,12.690000,43.060000,0.420000,0.370000,2.900000,48.380000,41.600000,0.000000,116.100000,33.860000,0.000000,31.590000,0.640000,0.720000,0.640000,75.580000,0.420000,23.160000,36.500000,65.020000,27.860000,0.000000,0.000000,0.000000,0,0,0,1031.4

4,00:45-01:00,0.360000,75.560000,0.560000,9.970000,21.530000,6.770000,33.860000,16.900000,24.190000,0.700000,14.510000,2.900000,13.060000,12.170000,236.850000,12.690000,43.060000,0.420000,0.370000,2.900000,48.380000,41.600000,0.000000,116.100000,33.860000,0.000000,31.590000,0.640000,0.720000,0.640000,75.580000,0.420000,23.160000,36.500000,65.020000,27.860000,0.000000,0.000000,0.000000,0,0,0,1031.4

5,01:00-01:15,0.360000,75.560000,0.560000,9.970000,21.530000,6.770000,33.860000,16.810000,24.190000,0.700000,14.510000,2.900000,13.060000,12.170000,236.850000,12.690000,43.060000,0.420000,0.370000,2.900000,48.380000,41.600000,0.000000,116.100000,33.860000,0.000000,31.590000,0.640000,0.720000,0.640000,75.580000,0.420000,23.160000,36.500000,65.020000,27.860000,0.000000,0.000000,0.000000,0,0,0,1031.31

6,01:15-01:30,0.360000,75.560000,0.560000,9.970000,21.530000,6.770000,33.860000,16.810000,24.190000,0.700000,14.510000,2.900000,13.060000,12.170000,236.850000,12.690000,43.060000,0.420000,0.370000,2.900000,48.380000,41.600000,0.000000,116.100000,33.860000,0.000000,31.590000,0.640000,0.720000,0.640000,75.580000,0.420000,23.160000,36.500000,65.020000,27.860000,0.000000,0.000000,0.000000,0,0,0,1031.31

7,01:30-01:45,0.360000,75.560000,0.560000,9.970000,21.530000,6.770000,33.860000,16.810000,24.190000,0.700000,14.510000,2.900000,13.060000,12.170000,236.850000,12.690000,43.060000,0.420000,0.370000,2.900000,48.380000,41.600000,0.000000,116.100000,33.860000,0.000000,31.590000,0.640000,0.720000,0.640000,75.580000,0.420000,23.160000,36.500000,65.020000,27.860000,0.000000,0.000000,0.000000,0,0,0,1031.31

8,01:45-02:00,0.360000,75.560000,0.560000,9.970000,21.530000,6.770000,33.860000,16.810000,24.190000,0.700000,14.510000,2.900000,13.060000,12.170000,236.850000,12.690000,43.060000,0.420000,0.370000,2.900000,48.380000,41.600000,0.000000,116.100000,33.860000,0.000000,31.590000,0.640000,0.720000,0.640000,75.580000,0.420000,23.160000,36.500000,65.020000,27.860000,0.000000,0.000000,0.000000,0,0,0,1031.31

9,02:00-02:15,0.360000,75.560000,0.560000,9.970000,21.530000,6.770000,33.860000,16.720000,24.190000,0.700000,14.510000,2.900000,13.060000,12.170000,236.850000,12.690000,43.060000,0.420000,0.370000,2.900000,48.380000,41.600000,0.000000,116.100000,33.860000,0.000000,31.590000,0.640000,0.720000,0.640000,75.580000,0.420000,23.160000,36.500000,65.020000,27.860000,0.000000,0.000000,0.000000,0,0,0,1031.22

10,02:15-02:30,0.360000,75.560000,0.560000,9.970000,21.530000,6.770000,33.860000,16.720000,24.190000,0.700000,14.510000,2.900000,13.060000,12.170000,236.850000,12.690000,43.060000,0.420000,0.370000,2.900000,48.380000,41.600000,0.000000,116.100000,33.860000,0.000000,31.590000,0.640000,0.720000,0.640000,75.580000,0.420000,23.160000,36.500000,65.020000,27.860000,0.000000,0.000000,0.000000,0,0,0,1031.22

11,02:30-02:45,0.360000,75.560000,0.560000,9.970000,21.530000,6.770000,33.860000,16.720000,24.190000,0.700000,14.510000,2.900000,13.060000,12.170000,236.850000,12.690000,43.060000,0.420000,0.370000,2.900000,48.380000,41.600000,0.000000,116.100000,33.860000,0.000000,31.590000,0.640000,0.720000,0.640000,75.580000,0.420000,23.160000,36.500000,65.020000,27.860000,0.000000,0.000000,0.000000,0,0,0,1031.22

12,02:45-03:00,0.360000,75.560000,0.560000,9.970000,21.530000,6.770000,33.860000,16.720000,24.190000,0.700000,14.510000,2.900000,13.060000,12.170000,236.850000,12.690000,43.060000,0.420000,0.370000,2.900000,48.380000,41.600000,0.000000,116.100000,33.860000,0.000000,31.590000,0.640000,0.720000,0.640000,75.580000,0.420000,23.160000,36.500000,65.020000,27.860000,0.000000,0.000000,0.000000,0,0,0,1031.22

13,03:00-03:15,0.360000,75.560000,0.560000,9.970000,21.530000,6.770000,33.860000,16.620000,24.190000,0.700000,14.510000,2.900000,13.060000,12.170000,236.850000,12.690000,43.060000,0.420000,0.370000,2.900000,48.380000,41.600000,0.000000,116.100000,33.860000,0.000000,30.570000,0.640000,0.720000,0.640000,75.580000,0.420000,0.000000,0.000000,65.020000,27.860000,0.000000,0.000000,0.000000,0,0,0,970.44

14,03:15-03:30,0.360000,75.560000,0.560000,9.970000,21.530000,6.770000,33.860000,16.620000,24.190000,0.700000,14.510000,2.900000,13.060000,12.170000,236.850000,12.690000,43.060000,0.420000,0.370000,2.900000,48.380000,41.600000,0.000000,116.100000,33.860000,0.000000,30.570000,0.640000,0.720000,0.640000,75.580000,0.420000,0.000000,0.000000,65.020000,27.860000,0.000000,0.000000,0.000000,0,0,0,970.44

15,03:30-03:45,0.360000,75.560000,0.560000,9.970000,21.530000,6.770000,33.860000,16.620000,24.190000,0.700000,14.510000,2.900000,13.060000,12.170000,236.850000,12.690000,43.060000,0.420000,0.370000,2.900000,48.380000,41.600000,0.000000,116.100000,33.860000,0.000000,30.570000,0.640000,0.720000,0.640000,75.580000,0.420000,0.000000,0.000000,65.020000,27.860000,0.000000,0.000000,0.000000,0,0,0,970.44

16,03:45-04:00,0.360000,75.560000,0.560000,9.970000,21.530000,6.770000,33.860000,16.620000,24.190000,0.700000,14.510000,2.900000,13.060000,12.170000,236.850000,12.690000,43.060000,0.420000,0.370000,2.900000,48.380000,41.600000,0.000000,116.100000,33.860000,0.000000,30.570000,0.640000,0.720000,0.640000,75.580000,0.420000,0.000000,0.000000,65.020000,27.860000,0.000000,0.000000,0.000000,0,0,0,970.44

17,04:00-04:15,0.360000,75.560000,0.560000,9.970000,21.530000,6.770000,33.860000,16.440000,24.190000,0.700000,14.510000,2.900000,13.060000,12.170000,236.850000,12.690000,43.060000,0.420000,0.370000,2.900000,48.380000,41.600000,0.000000,116.100000,33.860000,0.000000,30.570000,0.640000,0.720000,0.640000,75.580000,0.420000,0.000000,0.000000,65.020000,27.860000,0.000000,0.000000,0.000000,0,0,0,970.26

18,04:15-04:30,0.360000,75.560000,0.560000,9.970000,21.530000,6.770000,33.860000,16.440000,24.190000,0.700000,14.510000,2.900000,13.060000,12.170000,236.850000,12.690000,43.060000,0.420000,0.370000,2.900000,48.380000,41.600000,0.000000,116.100000,33.860000,0.000000,30.570000,0.640000,0.720000,0.640000,75.580000,0.420000,0.000000,0.000000,65.020000,27.860000,0.000000,0.000000,0.000000,0,0,0,970.26

19,04:30-04:45,0.360000,75.560000,0.560000,9.970000,21.530000,6.770000,33.860000,16.440000,24.190000,0.700000,14.510000,2.900000,13.060000,12.170000,236.850000,12.690000,43.060000,0.420000,0.370000,2.900000,48.380000,41.600000,0.000000,116.100000,33.860000,0.000000,30.570000,0.640000,0.720000,0.640000,75.580000,0.420000,0.000000,0.000000,65.020000,27.860000,0.000000,0.000000,0.000000,0,0,0,970.26

20,04:45-05:00,0.360000,75.560000,0.560000,9.970000,21.530000,6.770000,33.860000,16.440000,24.190000,0.700000,14.510000,2.900000,13.060000,12.170000,236.850000,12.690000,43.060000,0.420000,0.370000,2.900000,48.380000,41.600000,0.000000,116.100000,33.860000,0.000000,30.570000,0.640000,0.720000,0.640000,75.580000,0.420000,0.000000,0.000000,65.020000,27.860000,0.000000,0.000000,0.000000,0,0,0,970.26

21,05:00-05:15,0.360000,75.560000,0.560000,9.970000,21.530000,6.770000,33.860000,16.350000,24.190000,0.700000,14.510000,2.900000,13.060000,12.170000,236.850000,0.000000,43.060000,0.420000,0.370000,2.900000,48.380000,41.600000,0.000000,116.100000,33.860000,0.000000,30.570000,0.640000,0.720000,0.640000,0.000000,0.420000,0.000000,0.000000,65.020000,27.860000,0.000000,0.000000,0.000000,0,0,0,881.9

22,05:15-05:30,0.360000,75.560000,0.560000,9.970000,21.530000,6.770000,33.860000,16.350000,24.190000,0.700000,14.510000,2.900000,13.060000,12.170000,236.850000,0.000000,43.060000,0.420000,0.370000,2.900000,48.380000,41.600000,0.000000,116.100000,33.860000,0.000000,30.570000,0.640000,0.720000,0.640000,0.000000,0.420000,0.000000,0.000000,65.020000,27.860000,0.000000,0.000000,0.000000,0,0,0,881.9

23,05:30-05:45,0.360000,75.560000,0.560000,9.970000,21.530000,6.770000,33.860000,16.350000,24.190000,0.700000,14.510000,2.900000,13.060000,12.170000,236.850000,0.000000,43.060000,0.420000,0.370000,2.900000,48.380000,41.600000,0.000000,116.100000,33.860000,0.000000,30.570000,0.640000,0.720000,0.640000,0.000000,0.420000,0.000000,0.000000,65.020000,27.860000,0.000000,0.000000,0.000000,0,0,0,881.9

24,05:45-06:00,0.360000,75.560000,0.560000,9.970000,21.530000,6.770000,33.860000,16.350000,24.190000,0.700000,14.510000,2.900000,13.060000,12.170000,236.850000,0.000000,43.060000,0.420000,0.370000,2.900000,48.380000,41.600000,0.000000,116.100000,33.860000,0.000000,30.570000,0.640000,0.720000,0.640000,0.000000,0.420000,0.000000,0.000000,65.020000,27.860000,0.000000,0.000000,0.000000,0,0,0,881.9

25,06:00-06:15,0.360000,75.560000,0.560000,9.970000,21.530000,6.770000,33.860000,16.170000,24.190000,0.700000,14.510000,2.900000,13.060000,12.170000,236.850000,0.000000,43.060000,0.420000,0.370000,2.900000,48.380000,41.600000,0.000000,116.100000,33.860000,0.000000,30.570000,0.640000,0.720000,0.640000,0.000000,0.420000,0.000000,0.000000,0.000000,0.000000,0.000000,70.000000,0.000000,0,0,0,858.84

26,06:15-06:30,0.360000,75.560000,0.560000,9.970000,21.530000,6.770000,33.860000,16.170000,24.190000,0.700000,14.510000,2.900000,13.060000,12.170000,236.850000,0.000000,43.060000,0.420000,0.370000,2.900000,48.380000,41.600000,0.000000,116.100000,33.860000,0.000000,30.570000,0.640000,0.720000,0.640000,0.000000,0.420000,0.000000,0.000000,0.000000,0.000000,0.000000,70.000000,0.000000,1.5,0,3.5,863.84

27,06:30-06:45,0.360000,75.560000,0.560000,9.970000,21.530000,6.770000,33.860000,16.170000,24.190000,0.700000,14.510000,2.900000,13.060000,12.170000,236.850000,0.000000,43.060000,0.420000,0.370000,2.900000,48.380000,41.600000,0.000000,116.100000,33.860000,0.000000,30.570000,0.640000,0.720000,0.640000,0.000000,0.420000,0.000000,0.000000,0.000000,0.000000,0.000000,70.000000,0.000000,3,0,7,868.84

28,06:45-07:00,0.360000,75.560000,0.560000,9.970000,21.530000,6.770000,33.860000,16.170000,24.190000,0.700000,14.510000,2.900000,13.060000,12.170000,236.850000,0.000000,43.060000,0.420000,0.370000,2.900000,48.380000,41.600000,0.000000,116.100000,33.860000,0.000000,30.570000,0.640000,0.720000,0.640000,0.000000,0.420000,0.000000,0.000000,0.000000,0.000000,0.000000,70.000000,0.000000,6,0.12,14,878.96

29,07:00-07:15,0.360000,75.560000,0.560000,9.970000,21.530000,6.770000,33.860000,16.070000,24.190000,0.700000,14.510000,2.900000,13.060000,12.170000,236.850000,0.000000,43.060000,0.420000,0.370000,2.900000,48.380000,41.600000,0.000000,116.100000,33.860000,0.000000,29.560000,0.640000,0.720000,0.640000,0.000000,0.420000,0.000000,0.000000,0.000000,0.000000,100.000000,70.000000,0.000000,9,0.48,21,988.21

30,07:15-07:30,0.360000,75.560000,0.560000,9.970000,21.530000,6.770000,33.860000,16.070000,24.190000,0.700000,14.510000,2.900000,13.060000,12.170000,236.850000,0.000000,43.060000,0.420000,0.370000,2.900000,48.380000,41.600000,0.000000,116.100000,33.860000,0.000000,29.560000,0.640000,0.720000,0.640000,0.000000,0.420000,0.000000,0.000000,0.000000,0.000000,100.000000,70.000000,0.000000,12,0.71,28,998.44

31,07:30-07:45,0.360000,75.560000,0.560000,9.970000,21.530000,6.770000,33.860000,16.070000,24.190000,0.700000,14.510000,2.900000,13.060000,12.170000,236.850000,0.000000,43.060000,0.420000,0.370000,2.900000,48.380000,41.600000,0.000000,116.100000,33.860000,0.000000,29.560000,0.640000,0.720000,0.640000,0.000000,0.420000,0.000000,0.000000,0.000000,0.000000,100.000000,70.000000,0.000000,18,1.23,42,1018.96

32,07:45:08:00,0.360000,75.560000,0.560000,9.970000,21.530000,6.770000,33.860000,16.070000,24.190000,0.700000,14.510000,2.900000,13.060000,12.170000,236.850000,0.000000,43.060000,0.420000,0.370000,2.900000,48.380000,41.600000,0.000000,116.100000,33.860000,0.000000,29.560000,0.640000,0.720000,0.640000,0.000000,0.420000,0.000000,0.000000,0.000000,0.000000,100.000000,70.000000,0.000000,22.5,2.08,52.5,1034.81

33,08:00-08:15,0.360000,75.560000,0.560000,9.970000,21.530000,6.770000,33.860000,15.890000,24.190000,0.690000,14.510000,2.900000,13.060000,12.170000,236.850000,0.000000,43.060000,0.420000,0.350000,2.900000,48.380000,41.600000,0.000000,116.100000,62.890000,0.000000,29.560000,0.660000,0.710000,0.660000,0.000000,0.420000,0.000000,0.000000,0.000000,0.000000,100.000000,70.000000,0.000000,25.5,2.56,59.5,1074.14

34,08:15-08:30,0.360000,75.560000,0.560000,9.970000,21.530000,6.770000,33.860000,15.890000,24.190000,0.690000,14.510000,2.900000,13.060000,12.170000,236.850000,0.000000,43.060000,0.420000,0.350000,2.900000,48.380000,41.600000,0.000000,116.100000,62.890000,0.000000,29.560000,0.660000,0.710000,0.660000,0.000000,0.420000,0.000000,0.000000,0.000000,0.000000,100.000000,70.000000,0.000000,33,3.05,77,1099.63

35,08:30-08:45,0.360000,75.560000,0.560000,9.970000,21.530000,6.770000,33.860000,15.890000,24.190000,0.690000,14.510000,2.900000,13.060000,12.170000,236.850000,0.000000,43.060000,0.420000,0.350000,2.900000,48.380000,41.600000,0.000000,116.100000,62.890000,0.000000,29.560000,0.660000,0.710000,0.660000,0.000000,0.420000,0.000000,0.000000,0.000000,0.000000,100.000000,70.000000,0.000000,39,3.53,91,1120.11

36,08:45:09:00,0.360000,75.560000,0.560000,9.970000,21.530000,6.770000,33.860000,15.890000,24.190000,0.690000,14.510000,2.900000,13.060000,12.170000,236.850000,0.000000,43.060000,0.420000,0.350000,2.900000,48.380000,41.600000,0.000000,116.100000,62.890000,0.000000,29.560000,0.660000,0.710000,0.660000,0.000000,0.420000,0.000000,0.000000,0.000000,0.000000,100.000000,70.000000,0.000000,45,3.93,105,1140.51

37,09:00:09:15,0.360000,75.560000,0.560000,9.970000,21.530000,6.770000,33.860000,15.790000,24.190000,0.690000,14.510000,2.900000,13.060000,12.170000,236.850000,0.000000,43.060000,0.420000,0.350000,2.900000,48.380000,41.600000,0.000000,116.100000,62.890000,24.190000,30.570000,0.660000,0.710000,0.660000,0.000000,0.420000,0.000000,0.000000,0.000000,0.000000,100.000000,30.000000,0.000000,51.9,3.77,121.1,1148.45

38,09:15-09:30,0.360000,75.560000,0.560000,9.970000,21.530000,6.770000,33.860000,15.790000,24.190000,0.690000,14.510000,2.900000,13.060000,12.170000,236.850000,0.000000,43.060000,0.420000,0.350000,2.900000,48.380000,41.600000,0.000000,116.100000,62.890000,24.190000,30.570000,0.660000,0.710000,0.660000,0.000000,0.420000,0.000000,0.000000,0.000000,0.000000,100.000000,30.000000,0.000000,56.4,4.2,131.6,1163.88

39,09:30-09:45,0.360000,75.560000,0.560000,9.970000,21.530000,6.770000,33.860000,15.790000,24.190000,0.690000,14.510000,2.900000,13.060000,12.170000,236.850000,0.000000,43.060000,0.420000,0.350000,2.900000,48.380000,41.600000,0.000000,116.100000,62.890000,24.190000,30.570000,0.660000,0.710000,0.660000,0.000000,0.420000,0.000000,0.000000,0.000000,0.000000,100.000000,30.000000,0.000000,61.2,4.45,142.8,1180.13

40,09:45-10:00,0.360000,75.560000,0.560000,9.970000,21.530000,6.770000,33.860000,15.790000,24.190000,0.690000,14.510000,2.900000,13.060000,12.170000,236.850000,0.000000,43.060000,0.420000,0.350000,2.900000,48.380000,41.600000,0.000000,116.100000,62.890000,24.190000,30.570000,0.660000,0.710000,0.660000,0.000000,0.420000,0.000000,0.000000,0.000000,0.000000,100.000000,30.000000,0.000000,65.4,4.6,152.6,1194.28

41,10:00-10:15,0.360000,75.560000,0.560000,9.970000,21.530000,6.770000,33.860000,15.790000,24.190000,0.690000,14.510000,2.900000,13.060000,12.170000,236.850000,0.000000,43.060000,0.420000,0.350000,2.900000,48.380000,41.600000,0.000000,116.100000,62.890000,24.190000,31.590000,0.660000,0.710000,0.660000,0.000000,0.420000,0.000000,0.000000,0.000000,0.000000,100.000000,30.000000,0.000000,68.7,4.64,160.3,1206.34

42,10:15-10:30,0.360000,75.560000,0.560000,9.970000,21.530000,6.770000,33.860000,15.790000,24.190000,0.690000,14.510000,2.900000,13.060000,12.170000,236.850000,0.000000,43.060000,0.420000,0.350000,2.900000,48.380000,41.600000,0.000000,116.100000,62.890000,24.190000,31.590000,0.660000,0.710000,0.660000,0.000000,0.420000,0.000000,0.000000,0.000000,0.000000,100.000000,30.000000,0.000000,73.2,4.64,170.8,1221.34

43,10:30-10:45,0.360000,75.560000,0.560000,9.970000,21.530000,6.770000,33.860000,15.790000,24.190000,0.690000,14.510000,2.900000,13.060000,12.170000,236.850000,0.000000,43.060000,0.420000,0.350000,2.900000,48.380000,41.600000,0.000000,116.100000,62.890000,24.190000,31.590000,0.660000,0.710000,0.660000,0.000000,0.420000,0.000000,0.000000,0.000000,0.000000,100.000000,30.000000,0.000000,75,4.73,175,1227.43

44,10:45-11:00,0.360000,75.560000,0.560000,9.970000,21.530000,6.770000,33.860000,15.790000,24.190000,0.690000,14.510000,2.900000,13.060000,12.170000,236.850000,0.000000,43.060000,0.420000,0.350000,2.900000,48.380000,41.600000,0.000000,116.100000,62.890000,24.190000,31.590000,0.660000,0.710000,0.660000,0.000000,0.420000,0.000000,0.000000,0.000000,0.000000,100.000000,30.000000,0.000000,78.9,5.17,184.1,1240.87

45,11:00-11:15,0.360000,75.560000,0.560000,9.970000,21.530000,6.770000,33.860000,15.790000,24.190000,0.690000,14.510000,2.900000,13.060000,12.170000,236.850000,0.000000,43.060000,0.420000,0.350000,2.900000,48.380000,41.600000,30.000000,116.100000,62.890000,24.190000,31.590000,0.660000,0.710000,0.660000,0.000000,0.420000,0.000000,0.000000,0.000000,0.000000,100.000000,30.000000,0.000000,79.5,5.51,185.5,1273.21

46,11:15-11:30,0.360000,75.560000,0.560000,9.970000,21.530000,6.770000,33.860000,15.790000,24.190000,0.690000,14.510000,2.900000,13.060000,12.170000,236.850000,0.000000,43.060000,0.420000,0.350000,2.900000,48.380000,41.600000,30.000000,116.100000,62.890000,24.190000,31.590000,0.660000,0.710000,0.660000,0.000000,0.420000,0.000000,0.000000,0.000000,0.000000,100.000000,30.000000,0.000000,79.5,6.39,185.5,1274.09

47,11:30-11:45,0.360000,75.560000,0.560000,9.970000,21.530000,6.770000,33.860000,15.790000,24.190000,0.690000,14.510000,2.900000,13.060000,12.170000,236.850000,0.000000,43.060000,0.420000,0.350000,2.900000,48.380000,41.600000,30.000000,116.100000,62.890000,24.190000,31.590000,0.660000,0.710000,0.660000,0.000000,0.420000,0.000000,0.000000,0.000000,0.000000,100.000000,30.000000,0.000000,79.5,6.39,185.5,1274.09

48,11:45-12:00,0.360000,75.560000,0.560000,9.970000,21.530000,6.770000,33.860000,15.790000,24.190000,0.690000,14.510000,2.900000,13.060000,12.170000,236.850000,0.000000,43.060000,0.420000,0.350000,2.900000,48.380000,41.600000,30.000000,116.100000,62.890000,24.190000,31.590000,0.660000,0.710000,0.660000,0.000000,0.420000,0.000000,0.000000,0.000000,0.000000,100.000000,30.000000,0.000000,79.5,6.48,185.5,1274.18

49,12:00-12:15,0.360000,75.560000,0.560000,9.970000,21.530000,6.770000,33.860000,15.790000,24.190000,0.690000,14.510000,2.900000,13.060000,12.170000,236.850000,0.000000,43.060000,0.420000,0.350000,2.900000,48.380000,41.600000,30.000000,116.100000,62.890000,24.190000,31.590000,0.660000,0.710000,0.660000,0.000000,0.420000,0.000000,0.000000,0.000000,0.000000,100.000000,30.000000,0.000000,79.5,6.39,185.5,1274.09

50,12:15-12:30,0.360000,75.560000,0.560000,9.970000,21.530000,6.770000,33.860000,15.790000,24.190000,0.690000,14.510000,2.900000,13.060000,12.170000,236.850000,0.000000,43.060000,0.420000,0.350000,2.900000,48.380000,41.600000,30.000000,116.100000,62.890000,24.190000,31.590000,0.660000,0.710000,0.660000,0.000000,0.420000,0.000000,0.000000,0.000000,0.000000,100.000000,30.000000,0.000000,79.5,6.39,185.5,1274.09

51,12:30-12:45,0.360000,75.560000,0.560000,9.970000,21.530000,6.770000,33.860000,15.790000,24.190000,0.690000,14.510000,2.900000,13.060000,12.170000,236.850000,0.000000,43.060000,0.420000,0.350000,2.900000,48.380000,41.600000,30.000000,116.100000,62.890000,24.190000,31.590000,0.660000,0.710000,0.660000,0.000000,0.420000,0.000000,0.000000,0.000000,0.000000,100.000000,30.000000,0.000000,79.5,6.39,185.5,1274.09

52,12:45-13:00,0.360000,75.560000,0.560000,9.970000,21.530000,6.770000,33.860000,15.790000,24.190000,0.690000,14.510000,2.900000,13.060000,12.170000,236.850000,0.000000,43.060000,0.420000,0.350000,2.900000,48.380000,41.600000,30.000000,116.100000,62.890000,24.190000,31.590000,0.660000,0.710000,0.660000,0.000000,0.420000,0.000000,0.000000,0.000000,0.000000,100.000000,30.000000,0.000000,79.5,6.47,185.5,1274.17

