Column1,Time,NR/01102023/13082046/L_NR_2021_12,NR/01102023/08032047/L_NR_2021_14,NR/22102023/11042047/L_NR_2021_16,NR/22102023/11042047/L_NR_2021_17,GNARE/NR/2024/12/20/3668,NR/01102023/02122045/L_NR_2021_13,NR/01102023/25072045/L_NR_2021_15,NR/26072023/25122043/L_NR_2023_10,NR/26072023/31072042/L_NR_2023_07,WR/01102023/29112042/RUMS(L_NR_2019_07),GNARE/SR/2025/01/13/4532,WR/01102023/24112044/L_NR_2020_07,WR/01102023/30052048/L_NR_2022_10,GNA/NR/2025/04/01/9334,GNA/NR/2025/04/01/1831,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2025/04/16/4327,GNA/NR/2025/04/16/1389,GNA/NR/2025/04/01/5285,GNA/NR/2025/04/01/8964,NR/30092023/26122029/SH-06,GNA/NR/2025/04/01/1333,GNA/NR/2025/04/01/6216,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2025/04/01/8456,NR/01102023/06022042/L_NR_2012_02,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2025/04/01/7459,GNA/NR/2025/04/01/4565,GNA/SR/2025/04/01/2597,NR/01102023/19072037/LT-05,NR/01102023/30042040/GNA_LT_35,GNA/NR/2025/04/01/7960,GNA/NR/2025/04/01/8510,NR/30092023/31122025/SH-07,GNA/NR/2025/04/16/8132,GNA/NR/2025/04/16/6639,NR/01102023/22052037/LT-59,NR/01102023/31052040/LT-31,NR/01102023/31102037/L_NR_2019_11,GNA/NR/2025/04/16/2341,GNA/NR/2025/04/16/2139,GNA/NR/2025/04/01/6490,NR/01102023/06022042/L_NR_2012_07,WR/01102023/01102023/L_NR_2022_09,WR/01102023/01102023/L_NR_2020_06,WR/01102023/29112042/L_NR_2019_05,WR/01102023/31032046/L_NR_2020_05,WR/01102023/16072048/L_NR_2022_08,WR/01102023/29112042/RUMS(L_NR_2019_06),L_NR_2019_19,NR/01102023/30042040/GNA_LT_36,NR/01102023/05012040/L_NR_2020_02,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/WR/2025/04/01/4420
6,01:15-01:30,0,0,0,0,0,0,0,0,0,0,5,33.33,73.34,2.89,1.92,91.97,72.17,28.87,2.89,3.97,26.93,2.89,9.62,230.95,5.43,228.94,31.28,9.62,48.12,52.5,66.02,0,43.74,4.43,26.93,14.58,72.17,6.21,0,7.14,19.25,96.23,9.62,74.61,73.33,33.33,0,100.01,33,0,0,0,5.46,11.79,0

7,01:30-01:45,0,0,0,0,0,0,0,0,0,0,5,33.33,73.34,2.89,1.92,91.97,72.17,28.87,2.89,3.97,26.93,2.89,9.62,230.95,5.43,228.94,31.28,9.62,48.12,52.5,66.02,0,43.74,4.43,26.93,14.58,72.17,6.21,0,7.14,19.25,96.23,9.62,74.61,73.33,33.33,0,100.01,34,0,0,0,5.46,11.79,0

8,01:45-02:00,0,0,0,0,0,0,0,0,0,0,5,33.33,74.66,2.89,1.92,91.97,72.17,28.87,2.89,3.97,26.93,2.89,9.62,230.95,5.43,228.94,31.28,9.62,48.12,52.5,66.02,0,43.74,4.43,26.93,14.58,72.17,6.21,0,7.14,19.25,96.23,9.62,74.61,74.67,33.33,0,100.01,35,0,0,0,5.46,11.79,0

9,02:00-02:15,0,0,0,0,0,0,0,0,0,0,5,33.33,76.66,2.89,1.92,91.97,72.17,28.87,2.89,3.97,26.93,2.89,9.62,230.95,5.43,228.94,31.28,9.62,48.12,0,66.02,0,43.74,4.43,26.93,14.58,72.17,6.21,0,7.06,19.25,96.23,9.62,74.61,76.67,33.33,0,100.01,36.67,0,0,0,5.32,11.61,0

10,02:15-02:30,0,0,0,0,0,0,0,0,0,0,5,33.33,76.66,2.89,1.92,91.97,72.17,28.87,2.89,3.97,26.93,2.89,9.62,230.95,5.43,228.94,31.28,9.62,48.12,0,66.02,0,43.74,4.43,26.93,14.58,72.17,6.21,0,7.06,19.25,96.23,9.62,74.61,76.67,33.33,0,100.01,36.67,0,0,0,5.32,11.61,0

11,02:30-02:45,0,0,0,0,0,0,0,0,0,0,5,33.33,76.66,2.89,1.92,91.97,72.17,28.87,2.89,3.97,26.93,2.89,9.62,230.95,5.43,228.94,31.28,9.62,48.12,0,66.02,0,43.74,4.43,26.93,14.58,72.17,5.43,0,7.06,19.25,96.23,9.62,74.61,76.67,33.33,0,100.01,36.67,0,0,0,5.04,11.61,0

12,02:45-03:00,0,0,0,0,0,0,0,0,0,0,5,33.33,76.66,2.89,1.92,91.97,72.17,28.87,2.89,3.97,26.93,2.89,9.62,230.95,5.43,228.94,31.28,9.62,48.12,0,66.02,0,43.74,4.43,26.93,14.58,72.17,5.43,0,7.06,19.25,96.23,9.62,74.61,76.67,33.33,0,100.01,36.67,0,0,0,5.04,11.61,0

13,03:00-03:15,0,0,0,0,0,0,0,0,0,0,5,33.33,76.66,2.89,1.92,91.97,72.17,28.87,2.89,3.97,26.93,2.89,9.62,230.95,5.43,228.94,31.28,9.62,48.12,0,66.02,0,43.74,4.43,26.93,14.58,72.17,5.43,0,6.91,19.25,96.23,9.62,74.61,76.67,33.33,0,100.01,36.67,0,0,0,4.85,11.42,0

14,03:15-03:30,0,0,0,0,0,0,0,0,0,0,5,33.33,76.66,2.89,1.92,91.97,72.17,28.87,2.89,3.97,26.93,2.89,9.62,230.95,5.43,228.94,31.28,9.62,48.12,0,66.02,0,43.74,4.43,26.93,14.58,72.17,5.43,0,6.91,19.25,96.23,9.62,74.61,76.67,33.33,0,100.01,36.67,0,0,0,4.85,11.42,0

15,03:30-03:45,0,0,0,0,0,0,0,0,0,0,5,33.33,76.66,2.89,1.92,91.97,72.17,28.87,2.89,3.97,24.65,2.89,9.62,272.09,5.43,260.4,31.28,9.62,48.12,0,115.06,0,43.74,4.43,24.65,14.58,72.17,5.43,0,6.68,19.25,96.23,9.62,86.8,76.67,33.33,0,100.01,36.67,0,0,0,4.85,11.42,0

16,03:45-04:00,0,0,0,0,0,0,0,0,0,0,5,33.33,76.66,2.89,1.92,91.97,72.17,28.87,2.89,3.97,26.93,2.89,9.62,272.09,5.43,260.4,31.28,9.62,48.12,0,66.02,0,43.74,4.43,26.93,14.58,72.17,5.43,0,6.68,19.25,96.23,9.62,86.8,76.67,33.33,0,100.01,36.67,0,0,0,4.85,11.42,0

17,04:00-04:15,0,0,0,0,0,0,0,0,0,0,5,33.33,76.66,2.89,1.92,91.97,72.17,28.87,2.89,3.97,26.93,2.89,9.62,272.09,5.43,260.4,31.28,9.62,48.12,0,66.02,0,43.74,4.43,26.93,14.58,72.17,5.43,0,6.52,19.25,96.23,9.62,86.8,76.67,33.33,0,100.01,36.67,0,0,0,4.67,11.24,0

18,04:15-04:30,0,0,0,0,0,0,0,0,0,0,5,33,76.66,2.89,1.92,91.97,72.17,28.87,2.89,3.97,26.93,2.89,9.62,272.09,5.43,260.4,31.28,9.62,48.12,0,66.02,0,43.74,4.43,26.93,14.58,72.17,5.43,0,6.52,19.25,96.23,9.62,86.8,76.67,33,0,99,36.67,0,0,0,4.67,11.24,0

19,04:30-04:45,0,0,0,0,0,0,0,0,0,0,5,32.33,80,2.89,1.92,91.97,72.17,28.87,2.89,3.97,26.93,2.89,9.62,272.09,5.43,260.4,31.28,9.62,48.12,0,66.02,0,43.74,4.43,26.93,14.58,72.17,5.43,0,6.52,19.25,96.23,9.62,86.8,80,32.33,0,97.01,36.67,0,0,0,4.67,11.24,0

20,04:45-05:00,0,0,0,0,0,0,0,0,0,0,5,31.83,80,2.89,1.92,91.97,72.17,28.87,2.89,3.97,26.93,2.89,9.62,272.09,5.43,260.4,31.28,9.62,48.12,0,66.02,0,43.74,4.43,26.93,14.58,72.17,5.43,0,6.52,19.25,96.23,9.62,86.8,80,31.83,0,95.51,36.67,0,0,0,4.67,11.24,0

21,05:00-05:15,0,0,0,0,0,0,0,0,0,0,5,31.33,80,2.89,1.92,91.97,72.17,28.87,2.89,3.97,21.55,2.89,9.62,272.09,5.43,229.38,30.27,9.62,48.12,0,115.06,0,43.74,3.87,30,14.58,72.17,5.43,0,6.52,19.25,96.23,9.62,69.59,80,31.33,0,94.01,36.67,0,0,0,4.47,11.05,0

22,05:15-05:30,0,0,0,0,0,0,0,0,0,0,5,30.83,80,2.89,1.92,91.97,72.17,28.87,2.89,3.96,26.26,2.89,9.62,272.09,5.43,200.51,30.27,9.62,48.12,0,115.06,0,43.74,3.87,30,14.58,72.17,5.43,0,6.52,19.25,96.23,9.62,69.59,80,30.83,0,92.51,36.67,0,0,0,4.47,11.05,0

23,05:30-05:45,0,0,0,0,0,0,0,0,0,0,7,33.33,80,2.89,1.92,91.97,72.17,28.87,2.89,3.96,21.55,2.89,9.62,272.09,5.43,200.51,30.27,9.62,48.12,0,115.06,0,43.74,3.87,30,14.58,72.17,5.04,0,6.52,19.25,96.23,9.62,69.59,80,33.33,0,100.01,36.67,0,0,0,4.47,11.05,0

24,05:45-06:00,0,0,0,0,0,0,0,0,0,0,7,33.33,80,2.89,1.92,91.97,72.17,28.87,2.89,3.96,26.26,2.89,9.62,272.09,5.43,200.51,29.26,9.62,48.12,0,84.88,0,43.74,3.87,30,14.58,72.17,5.04,0,6.52,19.25,96.23,9.62,69.59,80,33.33,0,100.01,36.67,0,0,0,4.47,11.05,0

25,06:00-06:15,0,0,0,0,0,0,0,0,0,0,7,33.33,80,2.89,1.92,91.97,72.17,28.87,2.89,3.96,27,2.89,9.62,272.09,5.43,200.51,28.25,9.62,48.12,0,115.06,0,43.74,3.87,27,14.58,72.17,5.04,0,6.37,19.25,96.23,9.62,69.59,80,33.33,4.47,100.01,36.67,0,0.84,0,4.29,10.86,0

26,06:15-06:30,0.8,0,0,0,0.3,0.16,0,0,0,0,7,33.33,80,2.89,1.92,91.97,72.17,28.87,2.89,3.96,27,2.89,9.62,272.09,5.43,200.51,27.24,9.62,48.12,0,115.06,0,43.74,3.87,27,14.58,72.17,5.04,0,6.37,19.25,96.23,9.62,69.59,80,33.33,9.83,100.01,36.67,0.39,3.44,0,4.29,10.86,0

27,06:30-06:45,3.02,1,0,0,0.86,0.61,1,0,1,1,7,33.33,80,2.89,1.92,91.97,72.17,28.87,2.89,3.96,27,2.89,9.62,272.09,5.43,200.51,27.24,9.62,48.12,0,106.57,0,43.74,3.87,27,14.58,72.17,5.04,0,6.37,19.25,96.23,9.62,69.59,80,33.33,18.09,100.01,36.67,5.6,7.68,0,4.29,10.86,0

28,06:45-07:00,9.21,2,1,1,2.92,1.84,3,1,4,4,7,33.33,80,2.89,1.92,91.97,72.17,28.87,2.89,3.96,27,2.89,9.62,272.09,5.43,200.51,27.24,9.62,48.12,0,98.09,0.98,43.74,3.87,27,14.58,72.17,5.04,0.98,6.37,19.25,96.23,9.62,69.59,80,33.33,30,100.01,36.67,15.6,13.8,0.98,4.29,10.86,0

29,07:00-07:15,17.82,3,7,3,6.21,3.57,5,6,14,9,7,33.33,80,2.89,1.92,91.97,72.17,28.87,2.89,3.96,27,2.89,9.62,272.09,5.43,200.51,27.24,9.62,48.12,0,89.6,1.8,43.74,3.87,27,14.58,72.17,5.04,1.8,6.37,19.25,96.23,9.62,69.59,80,33.33,32.55,100.01,36.67,31.33,21.51,1.8,4.29,10.68,0

30,07:15-07:30,29.75,8,10,5,10.52,5.95,7,12,28,14,7,33.33,80,2.89,1.92,91.97,72.17,28.87,2.89,3.96,27,2.89,9.62,272.09,5.43,170.99,27.24,9.62,48.12,0,70.17,2.81,43.74,3.87,27,14.58,72.17,5.04,2.81,6.37,19.25,96.23,9.62,59.09,80,33.33,32.32,100.01,36.67,32.33,30.15,2.81,4.29,10.68,0

31,07:30-07:45,45.12,13,20,10,16.23,9.03,12,16,39,22,7,33.33,80,2.89,1.92,72.17,72.17,28.87,2.89,3.96,27,2.89,9.62,230.95,5.43,133.76,27.24,9.62,48.12,0,70.17,3.87,43.74,3.87,27,14.58,72.17,5.04,3.87,6.06,19.25,96.23,9.62,46.9,80,33.33,30.75,100.01,30,30.75,39.3,3.87,4.29,10.68,0

32,07:45-08:00,61.87,19,27,13,23.3,12.37,16,22,53,28,7,33.33,80,2.89,1.92,52.93,72.17,28.87,2.89,3.96,27,2.89,9.62,192.46,5.43,133.76,27.24,9.62,48.12,0,70.17,5.02,43.74,3.87,27,14.58,72.17,5.04,5.02,6.06,19.25,96.23,9.62,46.9,80,33.33,30.85,100.01,30,30.85,48.64,5.02,4.29,10.68,0

33,08:00-08:15,84.43,31,37,18,30.93,16.89,21,28,67,30.57,7,33.67,80,2.89,1.92,52.93,72.17,28.87,2.89,3.96,26.93,2.89,9.62,149.65,5.43,133.76,28.25,9.62,48.12,0,70.17,6.33,43.74,3.87,26.93,14.58,72.17,5.04,6.33,5.83,19.25,96.23,9.62,46.9,80,33.67,30.56,100.99,33.33,26,57.95,6.33,4.11,10.5,0

34,08:15-08:30,105.14,39,43,22,38.77,21.03,25,36,84,31.23,7,33.83,80,2.89,1.92,52.93,72.17,28.87,2.89,3.96,26.93,2.89,9.62,149.65,5.43,133.76,28.25,9.62,48.12,0,70.17,7.7,43.74,3.87,26.93,14.58,72.17,5.04,7.7,5.83,19.25,96.23,9.62,46.9,80,33.83,31.24,101.51,34,28.07,67.24,7.7,4.11,10.5,0

35,08:30-08:45,123.87,49,50,25,46.88,24.77,27,42,98,32.23,7,34.17,80,2.89,1.92,52.93,72.17,28.87,2.89,3.96,26.93,2.89,9.62,149.65,5.43,133.76,28.25,9.62,48.12,0,70.17,8.96,43.74,4.01,26.93,14.58,72.17,5.04,8.96,5.83,19.25,96.23,9.62,46.9,80,34.17,32.24,102.49,34.33,32.23,76.09,8.96,4.11,12.53,0

36,08:45-09:00,144,56,57,28,54.8,28.8,30,48,112,32.23,7,34.5,80,2.89,1.92,52.93,72.17,28.87,2.89,3.96,26.93,2.89,9.62,149.65,5.43,133.76,28.25,9.62,48.12,0,70.17,10.11,43.74,4.01,26.93,14.58,72.17,5.04,10.11,5.83,19.25,96.23,9.62,46.9,80,34.5,32.24,103.5,35,32.23,89.55,10.11,4.11,12.53,0

37,09:00-09:15,163.07,66,67,33,62.43,32.61,33,58,137,32.83,7,35,80,2.89,1.92,52.93,72.17,28.87,2.89,3.96,26.94,2.89,9.62,149.65,5.43,133.76,27.25,9.62,48.12,0,70.17,11.25,43.74,4.01,26.94,14.58,72.17,5.04,11.25,5.68,19.25,96.23,9.62,46.9,80,35,32.84,105,35.67,32.83,97.87,11.25,4.11,12.34,0

38,09:15-09:30,180.89,73,73,36,69.4,36.18,35,66,154,32.83,7,35,80,2.89,1.92,52.93,72.17,28.87,2.89,3.96,26.94,2.89,9.62,149.65,5.43,133.76,27.25,9.62,48.12,0,70.17,12.2,43.74,4.01,26.94,14.58,72.17,5.04,12.2,5.68,19.25,96.23,9.62,46.9,80,35,32.84,105,36.33,32.83,105.28,12.2,4.11,12.34,0

39,09:30-09:45,197.51,78,87,43,79.86,39.5,37,75,175,32.83,7,35,80,2.89,1.92,52.93,72.17,28.87,2.89,3.96,26.94,2.89,9.62,149.65,5.43,133.76,27.25,9.62,48.12,0,70.17,13.16,43.74,4.01,26.94,14.58,72.17,5.04,13.16,5.68,19.25,96.23,9.62,46.9,80,35,32.84,105,36.67,32.83,112.25,13.16,0,12.34,0

40,09:45-10:00,212.9,85,92,46,85.7,42.58,39,78,182,32.83,7,35,80,2.89,1.92,52.93,72.17,28.87,2.89,3.96,26.94,2.89,9.62,149.65,5.43,133.76,27.25,9.62,48.12,0,70.17,14.01,43.74,4.01,26.94,14.58,72.17,5.04,14.01,5.68,19.25,96.23,9.62,46.9,80,35,32.84,105,37.33,32.83,118.57,14.01,0,12.34,0

41,10:00-10:15,231.1,87,97,48,90.94,46.22,41,84,196,32.83,7,35,80,2.89,1.92,52.93,72.17,28.87,2.89,3.96,26.94,2.89,9.62,149.65,5.43,133.76,27.25,9.62,48.12,0,70.17,14.83,43.74,4.01,26.94,14.58,72.17,4.66,14.83,5.68,19.25,96.23,9.62,46.9,80,35,32.84,105,37.67,32.83,124.18,14.83,0,12.15,0

42,10:15-10:30,241.1,90,100,50,95.67,48.22,43,87,203,32.83,7,35,80,2.89,1.92,52.93,72.17,28.87,2.89,3.96,26.94,2.89,9.62,149.65,5.43,133.76,27.25,9.62,48.12,0,70.17,15.53,43.74,4.01,26.94,14.58,72.17,4.66,15.53,5.68,19.25,96.23,9.62,46.9,80,35,32.84,105,38.33,32.83,128.73,15.53,0,12.15,0

43,10:30-10:45,246.25,93,100,50,99.84,49.25,45,90,210,32.83,7,35,80,2.89,1.92,52.93,72.17,28.87,2.89,3.96,26.94,2.89,9.62,149.65,5.43,133.76,28.26,9.62,48.12,0,70.17,16.12,43.74,4.01,26.94,14.58,72.17,4.66,16.12,5.68,19.25,96.23,9.62,46.9,80,35,32.84,105,38.67,32.83,132.58,16.12,0,12.15,0

44,10:45-11:00,246.67,94,100,50,100,49.33,47,90,210,32.83,7,35,80,2.89,1.92,52.93,72.17,28.87,2.89,3.96,26.94,2.89,9.62,149.65,5.43,133.76,28.26,9.62,48.12,0,70.17,16.63,43.74,4.01,26.94,14.58,72.17,4.66,16.63,5.68,19.25,96.23,9.62,46.9,80,35,32.84,105,39,32.83,135.5,16.63,0,12.15,0

45,11:00-11:15,246.67,98,100,50,100,49.33,48,90,210,32.83,6,35,80,2.89,1.92,52.93,72.17,28.87,2.89,3.97,26.94,2.89,9.62,149.65,5.43,133.76,28.26,9.62,48.12,0,70.17,17.09,43.74,4.01,26.94,14.58,72.17,4.66,17.09,5.6,19.25,96.23,9.62,46.9,80,35,32.84,105,34,32.83,137.91,17.09,0,11.88,0

46,11:15-11:30,246.67,98,100,50,100,49.33,48,90,210,32.83,6,35,80,2.89,1.92,52.93,72.17,28.87,2.89,3.97,26.94,2.89,9.62,149.65,5.43,133.76,28.26,9.62,48.12,0,70.17,17.53,43.74,4.01,26.94,14.58,72.17,4.66,17.53,5.6,19.25,96.23,9.62,46.9,80,35,32.84,105,34.67,32.83,139.84,17.53,0,11.88,0

47,11:30-11:45,245,98,100,50,100,49,48,90,210,32.83,6,35,80,2.89,1.92,52.93,72.17,28.87,2.89,3.97,26.94,2.89,9.62,149.65,5.43,133.76,28.26,9.62,48.12,0,70.17,17.57,43.74,4.01,26.94,14.58,72.17,4.66,17.57,5.6,19.25,96.23,9.62,46.9,80,35,32.84,105,40.33,32.83,141.32,17.57,0,11.88,0

48,11:45-12:00,245,98,100,50,100,49,48,90,210,32.83,6,35,80,2.89,1.92,52.93,72.17,28.87,2.89,3.97,26.94,2.89,9.62,149.65,5.43,133.76,28.26,9.62,48.12,0,70.17,17.57,43.74,4.01,26.94,14.58,72.17,4.66,17.57,5.6,19.25,96.23,9.62,46.9,80,35,32.84,105,39.67,32.83,142.58,17.57,0,11.88,0

49,12:00-12:15,245,98,100,50,100,49,48,90,210,32.83,6,35,80,2.89,1.92,52.93,72.17,28.87,2.89,3.97,26.95,2.89,9.62,149.65,5.43,133.76,28.26,9.62,48.12,0,70.17,17.57,43.74,4.01,26.95,14.58,72.17,4.66,17.57,5.6,19.25,96.23,9.62,46.9,80,35,32.84,105,41,32.83,143.82,17.57,0,11.61,0

50,12:15-12:30,245,98,100,50,100,49,48,90,210,32.83,6,35,80,2.89,1.92,52.93,72.17,28.87,2.89,3.97,26.95,2.89,9.62,149.65,5.43,133.76,28.26,9.62,48.12,0,70.17,17.57,43.74,4.01,26.95,14.58,72.17,4.66,17.57,5.6,19.25,96.23,9.62,46.9,80,35,32.84,105,41,32.83,144.2,17.57,0,11.61,0

51,12:30-12:45,245,98,100,50,100,49,48,90,210,32.83,6,35,80,2.89,1.92,52.93,72.17,28.87,2.89,3.97,26.95,2.89,9.62,149.65,5.43,133.76,28.26,9.62,48.12,0,70.17,17.57,26.24,4.01,26.95,8.75,72.17,4.66,17.57,5.6,19.25,96.23,9.62,46.9,80,35,32.84,105,41.67,32.83,143.66,17.57,0,11.61,0

52,12:45-13:00,245,98,100,50,100,49,48,90,210,32.83,6,35,80,2.89,1.92,52.93,72.17,28.87,2.89,3.97,26.95,2.89,9.62,149.65,5.43,133.76,28.26,9.62,48.12,0,70.17,17.57,26.24,4.01,26.95,8.75,72.17,4.66,17.57,5.6,19.25,96.23,9.62,46.9,80,35,32.84,105,41.67,32.83,142.99,17.57,0,11.61,0

53,13:00-13:15,245,98,100,50,100,49,48,90,210,32.83,6,35,80,2.89,1.92,52.93,72.17,28.87,2.89,3.97,26.95,2.89,9.62,149.65,5.43,133.76,28.26,9.62,48.12,0,70.17,17.57,26.24,4.01,26.95,8.75,72.17,4.66,17.57,5.99,19.25,96.23,9.62,46.9,80,35,32.84,105,42.33,32.83,141.65,17.57,0,11.42,0

54,13:15-13:30,245,98,100,50,100,49,48,90,210,32.83,6,35,80,2.89,1.92,52.93,72.17,28.87,2.89,3.97,26.95,2.89,9.62,149.65,5.43,133.76,28.26,9.62,48.12,0,70.17,17.57,26.24,4.01,26.95,8.75,72.17,4.66,17.57,5.99,19.25,96.23,9.62,46.9,80,35,32.84,105,42.33,32.83,139.45,17.57,0,11.42,0

55,13:30-13:45,245,98,100,50,100,49,48,90,210,32.83,6.4,35,80,2.89,1.92,52.93,72.17,28.87,2.89,3.97,26.95,2.89,9.62,149.65,5.43,133.76,28.26,9.62,48.12,0,70.17,17.3,26.24,4.01,26.95,8.75,72.17,4.66,17.3,5.99,19.25,96.23,9.62,46.9,80,35,32.84,105,43,32.83,136.55,17.3,0,11.42,0

56,13:45-14:00,245,98,100,50,100,49,48,90,210,32.83,6.8,35,80,2.89,1.92,52.93,72.17,28.87,2.89,3.97,26.95,2.89,9.62,149.65,5.43,133.76,28.26,9.62,48.12,0,70.17,17.1,26.24,4.01,26.95,8.75,72.17,4.66,17.1,5.99,19.25,96.23,9.62,46.9,80,35,32.84,105,43,32.83,132.78,17.1,0,11.42,0

57,14:00-14:15,245,97,100,50,100,49,46,90,210,32.83,6.8,35,80,2.89,1.92,52.93,72.17,28.87,2.89,3.97,26.95,2.89,9.62,149.65,5.43,133.76,26.75,9.62,48.12,0,70.17,16.05,26.24,4.01,26.95,8.75,72.17,4.81,16.05,5.99,19.25,96.23,9.62,46.9,80,35,32.84,105,43.67,32.83,128.48,16.05,0,11.24,0

58,14:15-14:30,245,95,100,50,100,49,45,90,210,32.83,6.8,35,80,2.89,1.92,52.93,72.17,28.87,2.89,3.97,26.95,2.89,9.62,149.65,5.43,133.76,27.25,9.62,48.12,0,70.17,15.24,26.24,4.01,26.95,8.75,72.17,4.81,15.24,5.99,19.25,96.23,9.62,46.9,80,35,32.84,105,44,32.83,123.71,15.24,0,11.24,0

59,14:30-14:45,245,91,100,50,100,49,43,90,210,32.83,6.8,35,80,2.89,1.92,52.93,72.17,28.87,2.89,3.97,26.95,2.89,9.62,149.65,5.43,133.76,27.25,9.62,48.12,0,70.17,14.43,26.24,4.01,26.95,8.75,72.17,4.81,14.43,5.99,19.25,96.23,9.62,46.9,80,35,32.84,105,43.33,32.83,118.67,14.43,0,11.24,0

60,14:45-15:00,245,89,98,49,96.37,49,42,88,207,32.83,7.6,35,80,2.89,1.92,52.93,72.17,28.87,2.89,3.97,26.95,2.89,9.62,192.46,5.43,133.76,27.76,9.62,48.12,0,70.17,13.8,26.24,4.01,26.95,8.75,72.17,4.81,13.8,5.99,19.25,96.23,9.62,46.9,80,35,32.84,105,43.67,32.83,112.95,13.8,0,11.24,0

