Time,Block,NR/2023/13604/D,NR/2023/10460/A,NR/2023/10488/A,NR/2023/12813/F,NR/2023/13612/C,NR/2023/10432/A,NR/2023/12814/F,NR/2023/10651/A,NR/2023/12923/F,NR/2023/12920/F,NR/2023/12661/A,NR/2023/11447/A,NR/2023/10561/A,NR/2023/13622/C,ER/2023/8358/C,NR/2023/12706/A,NR/2023/13599/D,NR/2023/13472/F,NR/2023/11709/A,NR/2023/10956/A,NR/2023/10959/A,NR/2023/13605/D,NR/2023/12917/F,NR/2023/12924/F,NR/2023/13369/F,NR/2023/11953/A,NR/2023/13315/F,NR/2023/10786/A,NR/2023/10436/A,NR/2023/12922/F,NR/2023/10435/A,NR/2023/13598/D,NR/2023/11712/A,NR/2023/13618/C,NR/2023/10947/A,NR/2023/12916/F,NR/2023/12919/F,NR/2023/11266/A,NR/2023/12872/F,NR/2023/11507/A,NR/2023/10720/A,NR/2023/12915/F,NR/2023/13623/C,NR/2023/12169/A,NR/2023/12921/F,NR/2023/13619/C,NR/2023/13602/D,Total
26,06:15-06:30,2.1,23.220000,48.380000,62.900000,33.630000,43.550000,85.640000,63.140000,0.610000,0.930000,62.900000,14.960000,48.380000,0.000000,0.000000,6.770000,86.560000,8.230000,0.000000,100.160000,25.040000,0.9,0.920000,0.610000,0.000000,0.000000,4.840000,0.000000,24.190000,1.020000,24.190000,0.000000,64.350000,16.440000,0.000000,0.520000,0.820000,51.630000,0.530000,300.460000,23.710000,0.370000,0.000000,0.000000,0.930000,0.000000,0,1233.53

27,06:30-06:45,2.8,23.220000,48.380000,62.900000,33.630000,43.550000,85.640000,63.140000,0.610000,0.930000,62.900000,14.960000,48.380000,0.000000,11.000000,6.770000,86.560000,8.230000,0.000000,100.160000,25.040000,1.2,0.920000,0.610000,0.000000,0.000000,4.840000,0.000000,24.190000,1.020000,24.190000,0.000000,64.350000,16.440000,0.000000,0.520000,0.820000,51.630000,0.530000,300.460000,23.710000,0.370000,0.000000,0.000000,0.930000,0.000000,0,1245.53

28,06:45-07:00,17.5,23.220000,48.380000,62.900000,33.630000,43.550000,85.640000,63.140000,0.610000,0.930000,62.900000,14.960000,48.380000,0.000000,64.000000,6.770000,86.560000,8.230000,0.000000,100.160000,25.040000,7.5,0.920000,0.610000,0.000000,0.000000,4.840000,0.000000,24.190000,1.020000,24.190000,0.000000,64.350000,16.440000,0.000000,0.520000,0.820000,51.630000,0.530000,300.460000,23.710000,0.370000,0.000000,0.000000,0.930000,0.000000,0.19,1319.72

29,07:00-07:15,21,23.220000,48.380000,62.900000,32.610000,43.550000,85.640000,63.140000,0.610000,0.930000,62.900000,14.960000,48.380000,0.000000,64.000000,6.770000,86.560000,8.230000,0.000000,100.160000,25.040000,9,0.920000,0.610000,0.000000,0.000000,4.840000,0.000000,24.190000,1.020000,24.190000,58.060000,64.350000,16.350000,0.000000,0.520000,0.820000,51.630000,0.680000,300.460000,23.710000,0.370000,0.000000,0.000000,0.930000,0.000000,0.39,1382.02

30,07:15-07:30,29.4,23.220000,48.380000,62.900000,32.610000,43.550000,85.640000,63.140000,0.610000,0.930000,62.900000,14.960000,48.380000,0.000000,64.000000,6.770000,86.560000,8.230000,0.000000,100.160000,25.040000,12.6,0.920000,0.610000,0.000000,0.000000,4.840000,0.000000,24.190000,1.020000,24.190000,58.060000,64.350000,16.350000,0.000000,0.520000,0.820000,51.630000,0.680000,300.460000,23.710000,0.370000,0.000000,0.000000,0.930000,0.000000,0.61,1394.24

31,07:30-07:45,39.2,23.220000,48.380000,62.900000,32.610000,43.550000,85.640000,63.140000,0.610000,0.930000,62.900000,14.960000,48.380000,0.000000,64.000000,6.770000,86.560000,8.230000,0.000000,100.160000,25.040000,16.8,0.920000,0.610000,0.000000,0.000000,4.840000,0.000000,24.190000,1.020000,24.190000,58.060000,64.350000,16.350000,0.000000,0.520000,0.820000,51.630000,0.680000,300.460000,23.710000,0.370000,0.000000,0.000000,0.930000,0.000000,1.13,1408.76

32,07:45:08:00,53.2,23.220000,48.380000,62.900000,32.610000,43.550000,85.640000,63.140000,0.610000,0.930000,62.900000,14.960000,48.380000,0.000000,64.000000,6.770000,86.560000,8.230000,0.000000,100.160000,25.040000,22.8,0.920000,0.610000,0.000000,0.000000,4.840000,0.000000,24.190000,1.020000,24.190000,58.060000,64.350000,16.350000,0.000000,0.520000,0.820000,51.630000,0.680000,300.460000,23.710000,0.370000,0.000000,0.000000,0.930000,0.000000,1.16,1428.79

33,08:00-08:15,63,23.220000,48.380000,62.900000,32.610000,43.550000,85.640000,63.140000,0.610000,0.980000,62.900000,14.960000,48.380000,0.000000,64.000000,6.770000,86.560000,8.230000,0.000000,100.160000,25.040000,27,0.920000,0.610000,0.000000,0.000000,4.840000,0.000000,24.190000,1.020000,24.190000,58.060000,64.350000,16.260000,0.000000,0.520000,0.970000,51.630000,0.970000,300.460000,23.710000,0.370000,0.000000,0.000000,0.980000,0.000000,1.74,1443.82

34,08:15-08:30,77,23.220000,48.380000,62.900000,32.610000,43.550000,85.640000,63.140000,0.610000,0.980000,62.900000,14.960000,48.380000,0.000000,64.000000,6.770000,86.560000,8.230000,0.000000,100.160000,25.040000,33,0.920000,0.610000,0.000000,0.000000,4.840000,0.000000,24.190000,1.020000,24.190000,58.060000,64.350000,16.260000,0.000000,0.520000,0.970000,51.630000,0.970000,300.460000,23.710000,0.370000,0.000000,0.000000,0.980000,0.000000,2.03,1464.11

35,08:30-08:45,91,23.220000,48.380000,62.900000,32.610000,43.550000,85.640000,63.140000,0.610000,0.980000,62.900000,14.960000,48.380000,0.000000,64.000000,6.770000,86.560000,8.230000,0.000000,100.160000,25.040000,39,0.920000,0.610000,0.000000,0.000000,4.840000,0.000000,24.190000,1.020000,24.190000,58.060000,64.350000,16.260000,0.000000,0.520000,0.970000,51.630000,0.970000,300.460000,23.710000,0.370000,0.000000,0.000000,0.980000,0.000000,2.42,1484.5

36,08:45:09:00,103.6,23.220000,48.380000,62.900000,32.610000,43.550000,85.640000,63.140000,0.610000,0.980000,62.900000,14.960000,48.380000,0.000000,64.000000,6.770000,86.560000,8.230000,0.000000,100.160000,25.040000,44.4,0.920000,0.610000,0.000000,0.000000,4.840000,0.000000,24.190000,1.020000,24.190000,58.060000,64.350000,16.260000,0.000000,0.520000,0.970000,51.630000,0.970000,300.460000,23.710000,0.370000,0.000000,0.000000,0.980000,0.000000,2.9,1502.98

37,09:00:09:15,117.6,23.220000,48.380000,62.900000,33.630000,43.550000,85.640000,63.140000,0.610000,0.980000,62.900000,14.960000,48.380000,0.000000,64.000000,6.770000,86.560000,8.230000,0.000000,100.160000,25.040000,50.4,0.920000,0.610000,24.190000,0.000000,4.840000,0.000000,24.190000,1.020000,12.460000,58.060000,64.350000,16.170000,0.000000,0.520000,0.970000,51.630000,0.970000,300.460000,23.710000,0.370000,0.000000,0.000000,0.980000,0.000000,3.68,1537.15

38,09:15-09:30,128.1,23.220000,48.380000,62.900000,33.630000,43.550000,85.640000,63.140000,0.610000,0.980000,62.900000,14.960000,48.380000,0.000000,64.000000,6.770000,86.560000,8.230000,0.000000,100.160000,25.040000,54.9,0.920000,0.610000,24.190000,0.000000,4.840000,0.000000,24.190000,1.020000,12.460000,58.060000,64.350000,16.170000,0.000000,0.520000,0.970000,51.630000,0.970000,300.460000,23.710000,0.370000,0.000000,0.000000,0.980000,0.000000,3.87,1552.34

39,09:30-09:45,137.9,23.220000,48.380000,62.900000,33.630000,43.550000,85.640000,63.140000,0.610000,0.980000,62.900000,14.960000,48.380000,0.000000,64.000000,6.770000,86.560000,8.230000,0.000000,100.160000,25.040000,59.1,0.920000,0.610000,24.190000,0.000000,4.840000,0.000000,24.190000,1.020000,12.460000,58.060000,64.350000,16.170000,0.000000,0.520000,0.970000,51.630000,0.970000,300.460000,23.710000,0.370000,0.000000,0.000000,0.980000,0.000000,4.06,1566.53

40,09:45-10:00,149.1,23.220000,48.380000,62.900000,33.630000,43.550000,85.640000,63.140000,0.610000,0.980000,62.900000,14.960000,48.380000,0.000000,64.000000,6.770000,86.560000,8.230000,0.000000,100.160000,25.040000,63.9,0.920000,0.610000,24.190000,0.000000,4.840000,0.000000,24.190000,1.020000,12.460000,58.060000,64.350000,16.170000,0.000000,0.520000,0.970000,51.630000,0.970000,300.460000,23.710000,0.370000,0.000000,0.000000,0.980000,0.000000,4.26,1582.73

41,10:00-10:15,189,23.220000,48.380000,62.900000,36.690000,43.550000,85.640000,63.140000,0.610000,0.980000,62.900000,14.960000,48.380000,0.000000,64.000000,6.770000,86.560000,8.230000,0.000000,100.160000,25.040000,81,0.920000,0.610000,24.190000,0.000000,4.840000,90.960000,24.190000,1.020000,12.460000,58.060000,64.350000,16.170000,0.000000,0.520000,0.970000,51.630000,0.970000,300.460000,23.710000,0.370000,0.000000,0.000000,0.980000,0.000000,5.23,1734.72

42,10:15-10:30,163.8,23.220000,48.380000,62.900000,36.690000,43.550000,85.640000,63.140000,0.610000,0.980000,62.900000,14.960000,48.380000,0.000000,64.000000,6.770000,86.560000,8.230000,0.000000,100.160000,25.040000,70.2,0.920000,0.610000,24.190000,0.000000,4.840000,90.960000,24.190000,1.020000,12.460000,58.060000,64.350000,16.170000,0.000000,0.520000,0.970000,51.630000,0.970000,300.460000,23.710000,0.370000,0.000000,0.000000,0.980000,0.000000,5.23,1698.72

43,10:30-10:45,168,23.220000,48.380000,62.900000,36.690000,43.550000,85.640000,63.140000,0.610000,0.980000,62.900000,14.960000,48.380000,0.000000,64.000000,6.770000,86.560000,8.230000,0.000000,100.160000,25.040000,72,0.920000,0.610000,24.190000,0.000000,4.840000,90.960000,24.190000,1.020000,12.460000,58.060000,64.350000,16.170000,0.000000,0.520000,0.970000,51.630000,0.970000,300.460000,23.710000,0.370000,0.000000,0.000000,0.980000,0.000000,5.23,1704.72

44,10:45-11:00,171.5,23.220000,48.380000,62.900000,36.690000,43.550000,85.640000,63.140000,0.610000,0.980000,62.900000,14.960000,48.380000,0.000000,64.000000,6.770000,86.560000,8.230000,0.000000,100.160000,25.040000,73.5,0.920000,0.610000,24.190000,0.000000,4.840000,90.960000,24.190000,1.020000,12.460000,58.060000,64.350000,16.170000,0.000000,0.520000,0.970000,51.630000,0.970000,300.460000,23.710000,0.370000,0.000000,0.000000,0.980000,0.000000,6.1,1710.59

45,11:00-11:15,175,23.220000,48.380000,62.900000,36.690000,43.550000,85.640000,63.140000,0.610000,0.980000,62.900000,14.960000,48.380000,0.000000,64.000000,6.770000,86.560000,8.230000,0.000000,100.160000,25.040000,75,0.920000,0.610000,24.190000,0.000000,4.840000,90.960000,24.190000,1.020000,12.460000,58.060000,64.350000,16.070000,0.000000,0.520000,0.970000,51.630000,0.970000,300.460000,23.710000,0.370000,0.000000,0.000000,0.980000,0.000000,6.97,1716.36

