Column1,Block,NR/2024/23384/A/40390,NR/2024/23389/A/40413,NR/2024/23638/C,NR/2024/23383/A/40409,NR/2024/23510/A/40407,NR/2024/23382/A/40549,NR/2024/23414/A/40389,NR/2024/23446/A/40548,NR/2024/23641/C,NR/2024/23356/A/40414,GNA/NR/2024/10/01/9072,GNA/NR/2024/10/01/9582,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/10/01/3642,GNA/NR/2024/10/11/8945,GNA/NR/2024/10/01/8106,GNA/NR/2024/10/11/8869,GNA/NR/2024/10/01/6101,NR/30092023/26122029/SH-06,NR/30092023/31122025/SH-07,Total
,,IEXL,SJVNL,TPDDL,ITCLH,DIAPL,NVVNL,IEXL,NVVNL,NVVNL,SJVNL,NDMC,NDMC,DELHI,NDMC,HPXL,NDMC,HPXL,NDMC,PUNJAB,BAWANA_GAS,
,,KARNATAKA_STATE,NA,NA,ANDHRA_PRADESH_STATE,HIMACHAL_STATE,NA,KARNATAKA_STATE,NA,NA,NA,NA,NA,HIMACHAL_STATE,NA,NA,NA,NA,NA,DELHI_UT,DELHI_UT,
,,NSLSUGAR,RSRPL_BKN,JHAJJAR,ITCWIND,GBHHPL,JITPL,NSLSUGAR,JITPL,SOLAPUR_SOLAR,TPSL_BKN2,RKM_POWER,SKS_Raigarh,CHANJUII,RKM_POWER,APL_Raipur_TPP,TRN_ENERGY,JITPL,JPL2,BAWANA_GAS,BAWANA_GAS,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,HARYANA_STATE,
,,MES_Delhi,NDMC,TPDDL,ITCLH,DIAPL,NDMC,MES_Delhi,NDMC,MES_Delhi,NDMC,NDMC,NDMC,TPDDL,NDMC,BRPL,NDMC,BRPL,NDMC,PUNJAB,HARYANA,
,,South-West-North,North-North,North-North,South-West-North,North-North,East-North,South-West-North,East-North,West-North,North-North,West-North,West-North,North-North,West-North,West-North,West-North,East-North,West-North,North-North,North-North,
67,16:30-16:45,6.79,42.68,194.02,0.78,2.91,24.99,0,0,1.94,10.67,37.47,12.49,6.02,37.47,0,12.49,145.52,37.47,26.93,26.93,627.5699999999999

68,16:45-17:00,6.79,42.68,194.02,0.78,2.91,24.99,0,0,1.78,10.67,37.47,12.49,6.02,37.47,0,12.49,145.52,37.47,26.93,26.93,627.41

69,17:00-17:15,6.79,0,194.02,0.73,2.91,29.39,0,0,1.35,0,39.77,12.49,6.11,39.77,0,12.49,145.52,39.77,26.58,26.58,584.2700000000001

70,17:15-17:30,6.79,0,194.02,0.73,2.91,29.39,0,0,1.01,0,39.77,12.49,6.11,39.77,0,12.49,145.52,39.77,26.58,26.58,583.9300000000001

71,17:30-17:45,6.79,0,194.02,0.73,2.91,29.39,0,0,0.72,0,39.77,12.49,6.11,39.77,0,12.49,145.52,39.77,26.58,26.58,583.6400000000001

72,17:45-18:00,6.79,0,194.02,0.73,2.91,29.39,0,0,0.41,0,39.77,12.49,6.11,39.77,0,12.49,145.52,39.77,26.58,26.58,583.33

73,18:00-18:15,6.79,0,194.02,0.73,2.91,29.39,0,0,0.2,0,39.77,12.49,6.11,39.77,242.52,12.49,145.52,39.77,25.12,31.5,829.0999999999999

74,18:15-18:30,6.79,0,194.02,0.73,2.91,29.39,0,0,0.05,0,39.77,12.49,6.11,39.77,242.52,12.49,145.52,39.77,25.12,31.5,828.9499999999999

75,18:30-18:45,6.79,0,194.02,0.73,2.91,29.39,0,0,0,0,39.77,12.49,6.11,39.77,242.52,12.49,145.52,39.77,16.98,16.98,806.24

76,18:45-19:00,6.79,0,194.02,0.73,2.91,29.39,0,0,0,0,39.77,12.49,6.11,39.77,242.52,12.49,145.52,39.77,16.98,16.98,806.24

77,19:00-19:15,6.79,0,194.02,0.68,2.91,29.39,0,0,0,0,39.77,12.49,6.21,39.77,242.52,12.49,145.52,39.77,2.46,31.5,806.29

78,19:15-19:30,6.79,0,194.02,0.68,2.91,29.39,0,0,0,0,39.77,12.49,6.21,39.77,242.52,12.49,145.52,39.77,2.46,31.5,806.29

79,19:30-19:45,6.79,0,194.02,0.68,2.91,29.39,0,0,0,0,39.77,12.49,6.21,39.77,242.52,12.49,145.52,39.77,15.97,15.97,804.27

80,19:45-20:00,6.79,0,194.02,0.68,2.91,29.39,0,0,0,0,39.77,12.49,6.21,39.77,242.52,12.49,145.52,39.77,15.97,15.97,804.27

81,20:00-20:15,6.79,0,194.02,0.68,2.91,29.39,0,0,0,0,39.77,12.49,6.21,39.77,242.52,12.49,145.52,39.77,24.06,24.06,820.4499999999998

82,20:15-20:30,6.79,0,194.02,0.68,2.91,29.39,0,0,0,0,39.77,12.49,6.21,39.77,242.52,12.49,145.52,39.77,24.06,24.06,820.4499999999998

83,20:30-20:45,6.79,0,194.02,0.68,2.91,29.39,0,0,0,0,39.77,12.49,6.21,39.77,242.52,12.49,145.52,39.77,24.06,24.06,820.4499999999998

84,20:45-21:00,6.79,0,194.02,0.68,2.91,29.39,0,0,0,0,39.77,12.49,6.21,39.77,242.52,12.49,145.52,39.77,24.06,24.06,820.4499999999998

85,21:00-21:15,6.79,0,194.02,0.73,2.91,24.99,0,0,0,0,39.77,12.49,6.21,39.77,242.52,12.49,145.52,39.77,26.15,26.15,820.2799999999999

86,21:15-21:30,6.79,0,194.02,0.73,2.91,24.99,0,0,0,0,39.77,12.49,6.21,39.77,242.52,12.49,145.52,39.77,26.15,26.15,820.2799999999999

87,21:30-21:45,6.79,0,194.02,0.73,2.91,24.99,0,0,0,0,39.77,12.49,6.21,39.77,242.52,12.49,145.52,39.77,26.15,26.15,820.2799999999999

88,21:45-22:00,6.79,0,194.02,0.73,2.91,24.99,0,0,0,0,39.77,12.49,6.21,39.77,242.52,12.49,145.52,39.77,24.06,24.06,816.0999999999998

89,22:00-22:15,6.79,0,194.02,0.68,2.91,24.99,0,0,0,0,39.77,12.49,6.11,39.77,242.52,12.49,145.52,39.77,24.06,24.06,815.9499999999999

90,22:15-22:30,6.79,0,194.02,0.68,2.91,24.99,0,0,0,0,39.77,12.49,6.11,39.77,242.52,12.49,145.52,39.77,24.06,24.06,815.9499999999999

91,22:30-22:45,6.79,0,194.02,0.68,2.91,24.99,0,0,0,0,39.77,12.49,6.11,39.77,242.52,12.49,145.52,39.77,24.06,24.06,815.9499999999999

92,22:45-23:00,6.79,0,194.02,0.68,2.91,24.99,0,0,0,0,39.77,12.49,6.11,39.77,242.52,12.49,145.52,39.77,24.06,24.06,815.9499999999999

93,23:00-23:15,6.79,0,194.02,0.58,2.91,24.99,0,0,0,0,39.77,12.49,6.11,39.77,242.52,12.49,145.52,39.77,24.06,24.06,815.8499999999999

94,23:15-23:30,6.79,0,194.02,0.58,2.91,24.99,0,0,0,0,39.77,12.49,6.11,39.77,242.52,12.49,145.52,39.77,24.06,24.06,815.8499999999999

95,23:30-23:45,6.79,0,194.02,0.58,2.91,24.99,0,0,0,0,39.77,12.49,6.11,39.77,242.52,12.49,145.52,39.77,24.06,24.06,815.8499999999999

96,23:45-24:00,6.79,0,194.02,0.58,2.91,24.99,0,0,0,0,39.77,12.49,6.11,39.77,242.52,12.49,145.52,39.77,24.06,24.06,815.8499999999999

