Time,Block,NR/2024/18660/C,NR/2024/18661/C,NR/2024/18436/A/5103,NR/2024/18663/C,NR/2024/18388/A/5087,NER/2024/1934/A/5242,WR/2024/21351/A/5246,NER/2024/1922/A/5243,NR/2024/18662/C,NR/2024/18445/A/5261,WR/2024/21355/A/5260,Total
10,02:15-02:30,0,0.000000,7.710000,0.000000,0.390000,20.000000,0.000000,25.000000,0.000000,0.000000,0.000000,53.1

11,02:30-02:45,0,0.000000,7.710000,0.000000,0.390000,20.000000,0.000000,25.000000,0.000000,0.000000,0.000000,53.1

12,02:45-03:00,0,0.000000,7.710000,0.000000,0.390000,20.000000,0.000000,25.000000,0.000000,0.000000,0.000000,53.1

13,03:00-03:15,0,0.000000,7.710000,0.000000,0.390000,20.000000,0.000000,25.000000,0.000000,0.000000,0.000000,53.1

14,03:15-03:30,0,0.000000,7.710000,0.000000,0.390000,20.000000,0.000000,25.000000,0.000000,0.000000,0.000000,53.1

15,03:30-03:45,0,0.000000,7.710000,0.000000,0.390000,20.000000,0.000000,25.000000,0.000000,0.000000,0.000000,53.1

16,03:45-04:00,0,0.000000,7.710000,0.000000,0.390000,20.000000,0.000000,25.000000,0.000000,0.000000,0.000000,53.1

17,04:00-04:15,0,0.000000,7.710000,0.000000,0.390000,20.000000,0.000000,25.000000,0.000000,0.000000,0.000000,53.1

18,04:15-04:30,0,0.000000,7.710000,0.000000,0.390000,20.000000,0.000000,25.000000,0.000000,0.000000,0.000000,53.1

19,04:30-04:45,0,0.000000,7.710000,0.000000,0.390000,20.000000,0.000000,25.000000,0.000000,0.000000,0.000000,53.1

20,04:45-05:00,0,0.000000,7.710000,0.000000,0.390000,20.000000,0.000000,25.000000,0.000000,0.000000,0.000000,53.1

21,05:00-05:15,0,0.000000,7.710000,0.000000,0.390000,20.000000,0.000000,25.000000,0.000000,0.000000,0.000000,53.1

22,05:15-05:30,0,0.000000,7.710000,0.000000,0.390000,20.000000,0.000000,25.000000,0.000000,0.000000,0.000000,53.1

23,05:30-05:45,0,0.000000,7.710000,0.000000,0.390000,20.000000,0.000000,25.000000,0.000000,0.000000,0.000000,53.1

24,05:45-06:00,0,0.000000,7.710000,0.000000,0.390000,20.000000,0.000000,25.000000,0.000000,0.000000,0.000000,53.1

25,06:00-06:15,0,0.000000,7.710000,0.000000,0.430000,20.000000,0.000000,25.000000,0.000000,132.980000,0.000000,186.12

26,06:15-06:30,0,0.000000,7.710000,0.000000,0.430000,20.000000,0.000000,25.000000,0.000000,132.980000,0.000000,186.12

27,06:30-06:45,0,0.000000,7.710000,0.000000,0.430000,20.000000,0.000000,25.000000,0.000000,132.980000,0.000000,186.12

28,06:45-07:00,0,0.000000,7.710000,0.000000,0.430000,20.000000,0.000000,25.000000,0.000000,132.980000,0.000000,186.12

29,07:00-07:15,0.39,0.000000,7.710000,0.000000,0.480000,20.000000,0.000000,25.000000,0.000000,132.980000,0.000000,186.56

30,07:15-07:30,0.77,0.000000,7.710000,0.000000,0.480000,20.000000,0.000000,25.000000,0.000000,132.980000,0.000000,186.94

31,07:30-07:45,1.45,0.000000,7.710000,0.000000,0.480000,20.000000,0.000000,25.000000,0.000000,132.980000,0.000000,187.62

32,07:45:08:00,1.93,0.000000,7.710000,0.000000,0.480000,20.000000,0.000000,25.000000,0.000000,132.980000,0.000000,188.1

33,08:00-08:15,2.41,0.000000,7.710000,0.000000,0.870000,20.000000,0.000000,25.000000,0.000000,132.980000,0.000000,188.97

34,08:15-08:30,2.89,0.000000,7.710000,0.000000,0.870000,20.000000,0.000000,25.000000,0.000000,132.980000,0.000000,189.45

35,08:30-08:45,3.08,0.000000,7.710000,0.000000,0.870000,20.000000,0.000000,25.000000,0.000000,132.980000,0.000000,189.64

36,08:45:09:00,3.32,0.000000,7.710000,0.000000,0.870000,20.000000,0.000000,25.000000,0.000000,132.980000,0.000000,189.88

37,09:00:09:15,4.34,4.340000,7.710000,2.220000,0.870000,20.000000,0.000000,25.000000,3.370000,132.980000,0.000000,200.83

38,09:15-09:30,4.62,4.340000,7.710000,2.220000,0.870000,20.000000,0.000000,25.000000,3.370000,132.980000,0.000000,201.11

39,09:30-09:45,5.3,4.340000,7.710000,2.220000,0.870000,20.000000,0.000000,25.000000,3.370000,132.980000,0.000000,201.79

40,09:45-10:00,5.59,4.340000,7.710000,2.220000,0.870000,20.000000,0.000000,25.000000,3.370000,132.980000,0.000000,202.08

41,10:00-10:15,5.97,4.340000,7.710000,1.730000,0.870000,20.000000,0.000000,25.000000,3.370000,132.980000,0.000000,201.97

42,10:15-10:30,6.55,4.340000,7.710000,1.730000,0.870000,20.000000,0.000000,25.000000,3.370000,132.980000,0.000000,202.55

43,10:30-10:45,6.84,4.340000,7.710000,1.730000,0.870000,20.000000,0.000000,25.000000,3.370000,132.980000,0.000000,202.84

44,10:45-11:00,7.03,4.340000,7.710000,1.730000,0.870000,20.000000,0.000000,25.000000,3.370000,132.980000,0.000000,203.03

45,11:00-11:15,7.52,4.340000,7.710000,1.450000,0.870000,20.000000,0.000000,25.000000,3.370000,132.980000,0.000000,203.24

46,11:15-11:30,7.71,4.340000,7.710000,1.450000,0.870000,20.000000,0.000000,25.000000,3.370000,132.980000,0.000000,203.43

47,11:30-11:45,7.9,4.340000,7.710000,1.450000,0.870000,20.000000,0.000000,25.000000,3.370000,132.980000,0.000000,203.62

48,11:45-12:00,8,4.340000,7.710000,1.450000,0.870000,20.000000,0.000000,25.000000,3.370000,132.980000,0.000000,203.72

49,12:00-12:15,8,4.340000,7.710000,0.000000,0.870000,20.000000,0.000000,25.000000,3.370000,132.980000,0.000000,202.27

50,12:15-12:30,8.09,4.340000,7.710000,0.000000,0.870000,20.000000,0.000000,25.000000,3.370000,132.980000,0.000000,202.36

51,12:30-12:45,8.09,4.340000,7.710000,0.000000,0.870000,20.000000,0.000000,25.000000,3.370000,132.980000,0.000000,202.36

52,12:45-13:00,8.09,4.340000,7.710000,0.000000,0.870000,20.000000,0.000000,25.000000,3.370000,132.980000,0.000000,202.36

53,13:00-13:15,8.09,4.340000,7.710000,0.000000,0.870000,20.000000,0.000000,25.000000,3.370000,132.980000,0.000000,202.36

54,13:15-13:30,8.05,4.340000,7.710000,0.000000,0.870000,20.000000,0.000000,25.000000,3.370000,132.980000,0.000000,202.32

55,13:30-13:45,7.9,4.340000,7.710000,0.000000,0.870000,20.000000,0.000000,25.000000,3.370000,132.980000,0.000000,202.17

56,13:45-14:00,7.8,4.340000,7.710000,0.000000,0.870000,20.000000,0.000000,25.000000,3.370000,132.980000,0.000000,202.07

57,14:00-14:15,7.71,4.340000,7.710000,1.930000,0.870000,20.000000,0.000000,25.000000,3.370000,132.980000,0.000000,203.91

58,14:15-14:30,7.61,4.340000,7.710000,1.930000,0.870000,20.000000,0.000000,25.000000,3.370000,132.980000,0.000000,203.81

59,14:30-14:45,7.52,4.340000,7.710000,1.930000,0.870000,20.000000,0.000000,25.000000,3.370000,132.980000,0.000000,203.72

60,14:45-15:00,6.94,4.340000,7.710000,1.930000,0.870000,20.000000,0.000000,25.000000,3.370000,132.980000,0.000000,203.14

61,15:00-15:15,6.36,4.340000,7.710000,2.700000,0.670000,20.000000,0.000000,25.000000,3.370000,132.980000,0.000000,203.13

62,15:15-15:30,5.97,4.340000,7.710000,2.700000,0.670000,20.000000,0.000000,25.000000,3.370000,132.980000,0.000000,202.74

63,15:30-15:45,5.59,4.340000,7.710000,2.700000,0.670000,20.000000,0.000000,25.000000,3.370000,132.980000,0.000000,202.36

64,15:45-16:00,4.82,4.340000,7.710000,2.700000,0.670000,20.000000,0.000000,25.000000,3.370000,132.980000,0.000000,201.59

65,16:00-16:15,4.34,4.340000,7.710000,0.000000,0.530000,20.000000,0.000000,25.000000,3.370000,132.980000,0.000000,198.27

66,16:15-16:30,4.05,4.340000,7.710000,0.000000,0.530000,20.000000,0.000000,25.000000,3.370000,132.980000,0.000000,197.98

67,16:30-16:45,3.66,4.340000,7.710000,0.000000,0.530000,20.000000,0.000000,25.000000,3.370000,132.980000,0.000000,197.59

68,16:45-17:00,3.37,4.340000,7.710000,0.000000,0.530000,20.000000,0.000000,25.000000,3.370000,132.980000,0.000000,197.3

69,17:00-17:15,3.08,0.000000,7.710000,0.000000,0.530000,20.000000,0.000000,25.000000,0.000000,132.980000,0.000000,189.3

70,17:15-17:30,2.41,0.000000,7.710000,0.000000,0.530000,20.000000,0.000000,25.000000,0.000000,132.980000,0.000000,188.63

71,17:30-17:45,1.93,0.000000,7.710000,0.000000,0.530000,20.000000,0.000000,25.000000,0.000000,132.980000,0.000000,188.15

72,17:45-18:00,1.73,0.000000,7.710000,0.000000,0.530000,20.000000,0.000000,25.000000,0.000000,132.980000,0.000000,187.95

73,18:00-18:15,0.96,0.000000,7.710000,0.000000,0.530000,20.000000,55.000000,25.000000,0.000000,132.980000,25.000000,267.18

74,18:15-18:30,0.48,0.000000,7.710000,0.000000,0.530000,20.000000,55.000000,25.000000,0.000000,132.980000,25.000000,266.7

75,18:30-18:45,0,0.000000,7.710000,0.000000,0.530000,20.000000,55.000000,25.000000,0.000000,132.980000,25.000000,266.22

76,18:45-19:00,0,0.000000,7.710000,0.000000,0.530000,20.000000,55.000000,25.000000,0.000000,132.980000,25.000000,266.22

77,19:00-19:15,0,0.000000,7.710000,0.000000,0.630000,20.000000,55.000000,25.000000,0.000000,132.980000,25.000000,266.32

78,19:15-19:30,0,0.000000,7.710000,0.000000,0.630000,20.000000,55.000000,25.000000,0.000000,132.980000,25.000000,266.32

79,19:30-19:45,0,0.000000,7.710000,0.000000,0.630000,20.000000,55.000000,25.000000,0.000000,132.980000,25.000000,266.32

80,19:45-20:00,0,0.000000,7.710000,0.000000,0.630000,20.000000,55.000000,25.000000,0.000000,132.980000,25.000000,266.32

81,20:00-20:15,0,0.000000,7.710000,0.000000,0.630000,20.000000,55.000000,25.000000,0.000000,132.980000,25.000000,266.32

82,20:15-20:30,0,0.000000,7.710000,0.000000,0.630000,20.000000,55.000000,25.000000,0.000000,132.980000,25.000000,266.32

83,20:30-20:45,0,0.000000,7.710000,0.000000,0.630000,20.000000,55.000000,25.000000,0.000000,132.980000,25.000000,266.32

84,20:45-21:00,0,0.000000,7.710000,0.000000,0.630000,20.000000,55.000000,25.000000,0.000000,132.980000,25.000000,266.32

85,21:00-21:15,0,0.000000,7.710000,0.000000,0.580000,20.000000,55.000000,25.000000,0.000000,132.980000,25.000000,266.27

86,21:15-21:30,0,0.000000,7.710000,0.000000,0.580000,20.000000,55.000000,25.000000,0.000000,132.980000,25.000000,266.27

87,21:30-21:45,0,0.000000,7.710000,0.000000,0.580000,20.000000,55.000000,25.000000,0.000000,132.980000,25.000000,266.27

88,21:45-22:00,0,0.000000,7.710000,0.000000,0.580000,20.000000,55.000000,25.000000,0.000000,132.980000,25.000000,266.27

89,22:00-22:15,0,0.000000,7.710000,0.000000,0.530000,20.000000,55.000000,25.000000,0.000000,0.000000,0.000000,108.24

90,22:15-22:30,0,0.000000,7.710000,0.000000,0.530000,20.000000,55.000000,25.000000,0.000000,0.000000,0.000000,108.24

91,22:30-22:45,0,0.000000,7.710000,0.000000,0.530000,20.000000,55.000000,25.000000,0.000000,0.000000,0.000000,108.24

92,22:45-23:00,0,0.000000,7.710000,0.000000,0.530000,20.000000,55.000000,25.000000,0.000000,0.000000,0.000000,108.24

93,23:00-23:15,0,0.000000,7.710000,0.000000,0.480000,20.000000,0.000000,25.000000,0.000000,0.000000,0.000000,53.19

94,23:15-23:30,0,0.000000,7.710000,0.000000,0.480000,20.000000,0.000000,25.000000,0.000000,0.000000,0.000000,53.19

95,23:30-23:45,0,0.000000,7.710000,0.000000,0.480000,20.000000,0.000000,25.000000,0.000000,0.000000,0.000000,53.19

96,23:45-24:00,0,0.000000,7.710000,0.000000,0.480000,20.000000,0.000000,25.000000,0.000000,0.000000,0.000000,53.19

