Time,Block,NR/2024/18445/A/4466,NR/2024/18388/A/4258,NR/2024/18436/A/4352,NR/2024/18572/C,NER/2024/1934/A/4446,WR/2024/21355/A/4467,NER/2024/1922/A/4447,WR/2024/21351/A/4450,Total
11,02:30-02:45,0.000000,0.380000,7.700000,0,20.000000,0.000000,25.000000,0.000000,53.08

12,02:45-03:00,0.000000,0.380000,7.700000,0,20.000000,0.000000,25.000000,0.000000,53.08

13,03:00-03:15,0.000000,0.380000,7.700000,0,20.000000,0.000000,25.000000,0.000000,53.08

14,03:15-03:30,0.000000,0.380000,7.700000,0,20.000000,0.000000,25.000000,0.000000,53.08

15,03:30-03:45,0.000000,0.380000,7.700000,0,20.000000,0.000000,25.000000,0.000000,53.08

16,03:45-04:00,0.000000,0.380000,7.700000,0,20.000000,0.000000,25.000000,0.000000,53.08

17,04:00-04:15,0.000000,0.380000,7.700000,0,20.000000,0.000000,25.000000,0.000000,53.08

18,04:15-04:30,0.000000,0.380000,7.700000,0,20.000000,0.000000,25.000000,0.000000,53.08

19,04:30-04:45,0.000000,0.380000,7.700000,0,20.000000,0.000000,25.000000,0.000000,53.08

20,04:45-05:00,0.000000,0.380000,7.700000,0,20.000000,0.000000,25.000000,0.000000,53.08

21,05:00-05:15,0.000000,0.380000,7.700000,0,20.000000,0.000000,25.000000,0.000000,53.08

22,05:15-05:30,0.000000,0.380000,7.700000,0,20.000000,0.000000,25.000000,0.000000,53.08

23,05:30-05:45,0.000000,0.380000,7.700000,0,20.000000,0.000000,25.000000,0.000000,53.08

24,05:45-06:00,0.000000,0.380000,7.700000,0,20.000000,0.000000,25.000000,0.000000,53.08

25,06:00-06:15,158.480000,0.430000,7.700000,0,20.000000,0.000000,25.000000,0.000000,211.61

26,06:15-06:30,158.480000,0.430000,7.700000,0,20.000000,0.000000,25.000000,0.000000,211.61

27,06:30-06:45,158.480000,0.430000,7.700000,0,20.000000,0.000000,25.000000,0.000000,211.61

28,06:45-07:00,158.480000,0.430000,7.700000,0,20.000000,0.000000,25.000000,0.000000,211.61

29,07:00-07:15,158.480000,0.480000,7.700000,0,20.000000,0.000000,25.000000,0.000000,211.66

30,07:15-07:30,158.480000,0.480000,7.700000,0.17,20.000000,0.000000,25.000000,0.000000,211.83

31,07:30-07:45,158.480000,0.480000,7.700000,0.55,20.000000,0.000000,25.000000,0.000000,212.21

32,07:45:08:00,158.480000,0.480000,7.700000,0.92,20.000000,0.000000,25.000000,0.000000,212.58

33,08:00-08:15,158.480000,0.870000,7.700000,1.31,20.000000,0.000000,25.000000,0.000000,213.36

34,08:15-08:30,158.480000,0.870000,7.700000,1.75,20.000000,0.000000,25.000000,0.000000,213.8

35,08:30-08:45,158.480000,0.870000,7.700000,2.27,20.000000,0.000000,25.000000,0.000000,214.32

36,08:45:09:00,158.480000,0.870000,7.700000,2.8,20.000000,0.000000,25.000000,0.000000,214.85

37,09:00:09:15,158.480000,0.870000,7.700000,3.32,20.000000,0.000000,25.000000,0.000000,215.37

38,09:15-09:30,158.480000,0.870000,7.700000,3.17,20.000000,0.000000,25.000000,0.000000,215.22

39,09:30-09:45,158.480000,0.870000,7.700000,3.58,20.000000,0.000000,25.000000,0.000000,215.63

40,09:45-10:00,158.480000,0.870000,7.700000,4.65,20.000000,0.000000,25.000000,0.000000,216.7

41,10:00-10:15,158.480000,0.870000,7.700000,5.02,20.000000,0.000000,25.000000,0.000000,217.07

42,10:15-10:30,158.480000,0.870000,7.700000,5.41,20.000000,0.000000,25.000000,0.000000,217.46

43,10:30-10:45,158.480000,0.870000,7.700000,5.78,20.000000,0.000000,25.000000,0.000000,217.83

44,10:45-11:00,158.480000,0.870000,7.700000,6.09,20.000000,0.000000,25.000000,0.000000,218.14

45,11:00-11:15,158.480000,0.870000,7.700000,6.41,20.000000,0.000000,25.000000,0.000000,218.46

46,11:15-11:30,158.480000,0.870000,7.700000,6.77,20.000000,0.000000,25.000000,0.000000,218.82

47,11:30-11:45,158.480000,0.870000,7.700000,6.94,20.000000,0.000000,25.000000,0.000000,218.99

48,11:45-12:00,158.480000,0.870000,7.700000,7.06,20.000000,0.000000,25.000000,0.000000,219.11

49,12:00-12:15,158.480000,0.870000,7.700000,7.15,20.000000,0.000000,25.000000,0.000000,219.2

50,12:15-12:30,158.480000,0.870000,7.700000,7.2,20.000000,0.000000,25.000000,0.000000,219.25

51,12:30-12:45,158.480000,0.870000,7.700000,7.23,20.000000,0.000000,25.000000,0.000000,219.28

52,12:45-13:00,158.480000,0.870000,7.700000,7.22,20.000000,0.000000,25.000000,0.000000,219.27

53,13:00-13:15,158.480000,0.870000,7.700000,7.14,20.000000,0.000000,25.000000,0.000000,219.19

54,13:15-13:30,158.480000,0.870000,7.700000,7.13,20.000000,0.000000,25.000000,0.000000,219.18

55,13:30-13:45,158.480000,0.870000,7.700000,6.88,20.000000,0.000000,25.000000,0.000000,218.93

56,13:45-14:00,158.480000,0.870000,7.700000,6.68,20.000000,0.000000,25.000000,0.000000,218.73

57,14:00-14:15,158.480000,0.870000,7.700000,6.64,20.000000,0.000000,25.000000,0.000000,218.69

58,14:15-14:30,158.480000,0.870000,7.700000,6.42,20.000000,0.000000,25.000000,0.000000,218.47

59,14:30-14:45,158.480000,0.870000,7.700000,6.12,20.000000,0.000000,25.000000,0.000000,218.17

60,14:45-15:00,158.480000,0.870000,7.700000,5.64,20.000000,0.000000,25.000000,0.000000,217.69

61,15:00-15:15,158.480000,0.670000,7.700000,5.49,20.000000,0.000000,25.000000,0.000000,217.34

62,15:15-15:30,158.480000,0.670000,7.700000,4.97,20.000000,0.000000,25.000000,0.000000,216.82

63,15:30-15:45,158.480000,0.670000,7.700000,4.27,20.000000,0.000000,25.000000,0.000000,216.12

64,15:45-16:00,158.480000,0.670000,7.700000,3.96,20.000000,0.000000,25.000000,0.000000,215.81

65,16:00-16:15,158.480000,0.530000,7.700000,3.58,20.000000,0.000000,25.000000,0.000000,215.29

66,16:15-16:30,158.480000,0.530000,7.700000,2.8,20.000000,0.000000,25.000000,0.000000,214.51

67,16:30-16:45,158.480000,0.530000,7.700000,2.42,20.000000,0.000000,25.000000,0.000000,214.13

68,16:45-17:00,158.480000,0.530000,7.700000,1.87,20.000000,0.000000,25.000000,0.000000,213.58

69,17:00-17:15,158.480000,0.530000,7.700000,1.35,20.000000,0.000000,25.000000,0.000000,213.06

70,17:15-17:30,158.480000,0.530000,7.700000,1.01,20.000000,0.000000,25.000000,0.000000,212.72

71,17:30-17:45,158.480000,0.530000,7.700000,0.67,20.000000,0.000000,25.000000,0.000000,212.38

72,17:45-18:00,158.480000,0.530000,7.700000,0.35,20.000000,0.000000,25.000000,0.000000,212.06

73,18:00-18:15,158.480000,0.530000,7.700000,0.16,20.000000,25.000000,25.000000,55.000000,291.87

74,18:15-18:30,158.480000,0.530000,7.700000,0,20.000000,25.000000,25.000000,55.000000,291.71

75,18:30-18:45,158.480000,0.530000,7.700000,0,20.000000,25.000000,25.000000,55.000000,291.71

76,18:45-19:00,158.480000,0.530000,7.700000,0,20.000000,25.000000,25.000000,55.000000,291.71

77,19:00-19:15,158.480000,0.630000,7.700000,0,20.000000,25.000000,25.000000,55.000000,291.81

78,19:15-19:30,158.480000,0.630000,7.700000,0,20.000000,25.000000,25.000000,55.000000,291.81

79,19:30-19:45,158.480000,0.630000,7.700000,0,20.000000,25.000000,25.000000,55.000000,291.81

80,19:45-20:00,158.480000,0.630000,7.700000,0,20.000000,25.000000,25.000000,55.000000,291.81

81,20:00-20:15,158.480000,0.630000,7.700000,0,20.000000,25.000000,25.000000,55.000000,291.81

82,20:15-20:30,158.480000,0.630000,7.700000,0,20.000000,25.000000,25.000000,55.000000,291.81

83,20:30-20:45,158.480000,0.630000,7.700000,0,20.000000,25.000000,25.000000,55.000000,291.81

84,20:45-21:00,158.480000,0.630000,7.700000,0,20.000000,25.000000,25.000000,55.000000,291.81

85,21:00-21:15,158.480000,0.580000,7.700000,0,20.000000,25.000000,25.000000,55.000000,291.76

86,21:15-21:30,158.480000,0.580000,7.700000,0,20.000000,25.000000,25.000000,55.000000,291.76

87,21:30-21:45,158.480000,0.580000,7.700000,0,20.000000,25.000000,25.000000,55.000000,291.76

88,21:45-22:00,158.480000,0.580000,7.700000,0,20.000000,25.000000,25.000000,55.000000,291.76

89,22:00-22:15,0.000000,0.530000,7.700000,0,20.000000,0.000000,25.000000,55.000000,108.23

90,22:15-22:30,0.000000,0.530000,7.700000,0,20.000000,0.000000,25.000000,55.000000,108.23

91,22:30-22:45,0.000000,0.530000,7.700000,0,20.000000,0.000000,25.000000,55.000000,108.23

92,22:45-23:00,0.000000,0.530000,7.700000,0,20.000000,0.000000,25.000000,55.000000,108.23

93,23:00-23:15,0.000000,0.480000,7.700000,0,20.000000,0.000000,25.000000,0.000000,53.18

94,23:15-23:30,0.000000,0.480000,7.700000,0,20.000000,0.000000,25.000000,0.000000,53.18

95,23:30-23:45,0.000000,0.480000,7.700000,0,20.000000,0.000000,25.000000,0.000000,53.18

96,23:45-24:00,0.000000,0.480000,7.700000,0,20.000000,0.000000,25.000000,0.000000,53.18

