Column1,Block,NR/2025/32599/A/99156,NR/2025/32535/A/99502,NR/2025/32535/A/99501,NR/2025/32532/A/99496,NR/2025/32532/A/99498,NR/2025/32534/A/99499,NR/2025/33637/A/99473,NR/2025/33632/A/99476,NR/2025/32534/A/99500,NR/2025/33633/A/99475,GNARE/NR/2024/12/20/3668,NR/2025/34222/C,GNA/NR/2025/08/01/4452,NR/30092023/26122029/SH-06,GNA/NR/2025/08/01/5784,GNA/NR/2025/08/01/4125,GNA/NR/2025/08/01/6475,GNA/NR/2025/08/01/3698,GNA/NR/2025/08/01/2414,GNA/NR/2025/08/01/5126,GNA/NR/2025/08/01/6209,GNA/NR/2025/08/01/6452,GNA/NR/2025/08/01/6187,NR/30092023/31122025/SH-07,NR/2025/34236/C,NR/2025/34237/C,NR/2025/34173/C,NR/2025/34239/C,GNA/NR/2025/08/01/1196,NR/2025/34219/C,NR/2025/34174/C,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/2025/33469/A/99131,NR/2025/32556/A/99413,NR/2025/33670/A/99539,NR/2025/32397/A/99061,NR/2025/32455/A/99520,NR/2025/34215/C,NR/2025/34216/C,NR/2025/29440/A/99032,NR/2025/32559/A/99412,NR/2025/31421/A/99582,NR/2025/31045/A/99447,NR/2025/32610/A/99411,NR/2025/31043/A/99446,NR/2025/32375/A/99579,NR/2025/34191/C,NR/2025/31049/A/99450,NR/2025/32004/A/99416,NR/2025/31048/A/99448,NR/2025/34175/C,NR/2025/29992/A/99396,NR/2025/33656/A/99451,NR/2025/32262/A/99068,NR/2025/34211/C,Total
3,00:30-00:45,0,0,0,0,0,0,0,0,0,0,0,0,15.3,0,96.53,14.62,20.83,14.62,48.26,24.13,48.26,24.13,29.03,0,0,0,28.96,193.06,19.31,0,0,11.36,12.55,24.13,82.05,8.69,48.26,0,0,0.87,24.13,48.26,0,24.13,96.53,48.26,14.48,0,106.18,96.53,0,44.4,164.1,54.3,0,1486.2499999999998

4,00:45-01:00,0,0,0,0,0,0,0,0,0,0,0,0,15.3,0,96.53,14.62,20.83,14.62,48.26,24.13,48.26,24.13,29.03,0,0,0,28.96,193.06,19.31,0,0,11.36,12.55,24.13,82.05,8.69,48.26,0,0,0.87,24.13,48.26,0,24.13,96.53,48.26,14.48,0,106.18,96.53,0,44.4,164.1,54.3,0,1486.2499999999998

5,01:00-01:15,0,0,0,0,0,0,0,0,0,0,0,0,15.3,0,96.53,14.62,20.83,14.62,48.26,24.13,48.26,24.13,29.03,0,0,0,28.96,193.06,19.31,0,0,11.36,12.55,24.13,82.05,8.69,48.26,0,0,0.63,24.13,48.26,0,24.13,96.53,48.26,14.48,0,106.18,96.53,0,44.4,164.1,54.3,0,1486.0099999999998

6,01:15-01:30,0,0,0,0,0,0,0,0,0,0,0,0,15.3,0,96.53,14.62,20.83,14.62,48.26,24.13,48.26,24.13,29.03,0,0,0,28.96,193.06,19.31,0,0,11.36,12.55,24.13,82.05,8.69,48.26,0,0,0.63,24.13,48.26,0,24.13,96.53,48.26,14.48,0,106.18,96.53,0,44.4,164.1,54.3,0,1486.0099999999998

7,01:30-01:45,0,0,0,0,0,0,0,0,0,0,0,0,15.3,0,96.53,14.62,20.83,14.62,48.26,24.13,48.26,24.13,29.03,0,0,0,28.96,193.06,19.31,0,0,11.36,12.55,24.13,82.05,8.69,48.26,0,0,0.63,24.13,48.26,0,24.13,96.53,48.26,14.48,0,106.18,96.53,0,44.4,164.1,54.3,0,1486.0099999999998

8,01:45-02:00,0,0,0,0,0,0,0,0,0,0,0,0,15.3,0,96.53,14.62,20.83,14.62,48.26,24.13,48.26,24.13,29.03,0,0,0,28.96,193.06,19.31,0,0,11.36,12.55,24.13,82.05,8.69,48.26,0,0,0.63,24.13,48.26,0,24.13,96.53,48.26,14.48,0,106.18,96.53,0,44.4,164.1,54.3,0,1486.0099999999998

9,02:00-02:15,0,0,0,0,0,0,0,0,0,0,0,0,15.3,0,96.53,14.62,20.83,14.62,48.26,24.13,96.53,24.13,29.03,0,0,0,28.96,193.06,19.31,0,0,11.36,12.55,24.13,82.05,8.69,0,0,0,0.63,24.13,48.26,0,24.13,96.53,48.26,14.48,0,106.18,96.53,0,44.4,164.1,54.3,0,1486.0199999999998

10,02:15-02:30,0,0,0,0,0,0,0,0,0,0,0,0,15.3,0,96.53,14.62,20.83,14.62,48.26,24.13,96.53,24.13,29.03,0,0,0,28.96,193.06,19.31,0,0,11.36,12.55,24.13,82.05,8.69,0,0,0,0.63,24.13,48.26,0,24.13,96.53,48.26,14.48,0,106.18,96.53,0,44.4,164.1,54.3,0,1486.0199999999998

11,02:30-02:45,0,0,0,0,0,0,0,0,0,0,0,0,15.3,0,96.53,14.62,20.83,14.62,48.26,24.13,96.53,24.13,29.03,0,0,0,28.96,193.06,19.31,0,0,11.36,12.55,24.13,82.05,8.69,0,0,0,0.63,24.13,48.26,0,24.13,96.53,48.26,14.48,0,106.18,96.53,0,44.4,164.1,54.3,0,1486.0199999999998

12,02:45-03:00,0,0,0,0,0,0,0,0,0,0,0,0,15.3,0,96.53,14.62,20.83,14.62,48.26,24.13,96.53,24.13,29.03,0,0,0,28.96,193.06,19.31,0,0,11.36,12.55,24.13,82.05,8.69,0,0,0,0.63,24.13,48.26,0,24.13,96.53,48.26,14.48,0,106.18,96.53,0,44.4,164.1,54.3,0,1486.0199999999998

13,03:00-03:15,0,0,0,0,0,0,0,0,0,0,0,0,15.3,0,96.53,14.62,20.83,14.62,48.26,24.13,96.53,24.13,29.03,0,0,0,28.96,193.06,19.31,0,0,13.67,12.55,24.13,82.05,8.69,0,0,0,0.53,24.13,48.26,0,24.13,96.53,48.26,14.48,0,76.86,96.53,0,44.4,164.1,54.3,0,1458.9099999999996

14,03:15-03:30,0,0,0,0,0,0,0,0,0,0,0,0,15.3,0,96.53,14.62,20.83,14.62,48.26,24.13,96.53,24.13,29.03,0,0,0,28.96,193.06,19.31,0,0,13.67,12.55,24.13,82.05,8.69,0,0,0,0.53,24.13,48.26,0,24.13,96.53,48.26,14.48,0,76.86,96.53,0,44.4,164.1,54.3,0,1458.9099999999996

15,03:30-03:45,0,0,0,0,0,0,0,0,0,0,0,0,15.3,0,96.53,14.62,20.83,14.62,48.26,24.13,96.53,24.13,29.03,0,0,0,28.96,193.06,19.31,0,0,13.67,12.55,24.13,82.05,8.69,0,0,0,0.53,24.13,48.26,0,24.13,96.53,48.26,14.48,0,76.86,96.53,0,44.4,164.1,54.3,0,1458.9099999999996

16,03:45-04:00,0,0,0,0,0,0,0,0,0,0,0,0,15.3,0,96.53,14.62,20.83,14.62,48.26,24.13,96.53,24.13,29.03,0,0,0,28.96,193.06,19.31,0,0,13.67,12.55,24.13,82.05,8.69,0,0,0,0.53,24.13,48.26,0,24.13,96.53,48.26,14.48,0,76.86,96.53,0,44.4,164.1,54.3,0,1458.9099999999996

17,04:00-04:15,0,0,0,0,0,0,0,0,0,0,0,0,15.3,0,96.53,14.62,20.83,14.62,48.26,24.13,96.53,24.13,29.03,0,0,0,28.96,193.06,19.31,0,0,17.37,12.55,24.13,82.05,8.69,0,0,0,0.53,24.13,48.26,0,24.13,0,48.26,14.48,0,76.86,0,0,44.4,164.1,0,0,1215.2499999999998

18,04:15-04:30,0,0,0,0,0,0,0,0,0,0,0,0,15.3,0,96.53,14.62,20.83,14.62,48.26,24.13,96.53,24.13,29.03,0,0,0,28.96,193.06,19.31,0,0,17.37,12.55,24.13,82.05,8.69,0,0,0,0.53,24.13,48.26,0,24.13,0,48.26,14.48,0,76.86,0,0,44.4,164.1,0,0,1215.2499999999998

19,04:30-04:45,0,0,0,0,0,0,0,0,0,0,0,0,15.3,0,96.53,14.62,20.83,14.62,48.26,24.13,96.53,24.13,29.03,0,0,0,28.96,193.06,19.31,0,0,17.37,12.55,24.13,82.05,8.69,0,0,0,0.53,24.13,48.26,0,24.13,0,48.26,14.48,0,76.86,0,0,44.4,164.1,0,0,1215.2499999999998

20,04:45-05:00,0,0,0,0,0,0,0,0,0,0,0,0,15.3,0,96.53,14.62,20.83,14.62,48.26,24.13,96.53,24.13,29.03,0,0,0,28.96,193.06,19.31,0,0,17.37,12.55,24.13,82.05,8.69,0,0,0,0.53,24.13,48.26,0,24.13,0,48.26,14.48,0,76.86,0,0,44.4,164.1,0,0,1215.2499999999998

21,05:00-05:15,0,0,0,0,0,0,0,0,0,0,0,0,15.3,0,96.53,14.62,20.83,14.62,48.26,24.13,96.53,24.13,29.03,0,0,0,28.96,193.06,19.31,0,0,17.65,12.55,24.13,82.05,8.69,0,0,0,0.53,24.13,48.26,0,24.13,0,48.26,14.48,0,76.86,0,0,44.4,164.1,0,0,1215.5299999999997

22,05:15-05:30,0,0,0,0,0,0,0,0,0,0,0,0,15.3,0,96.53,14.62,20.83,14.62,48.26,24.13,96.53,24.13,29.03,0,0,0,28.96,193.06,19.31,0,0,17.65,12.55,24.13,82.05,8.69,0,0,0,0.53,24.13,48.26,0,24.13,0,48.26,14.48,0,76.86,0,0,44.4,164.1,0,0,1215.5299999999997

23,05:30-05:45,0,0,0,0,0,0,0,0,0,0,0,0,15.3,0,96.53,14.62,20.83,14.62,48.26,24.13,96.53,24.13,29.03,0,0,0,28.96,193.06,19.31,0,0,17.65,11.58,24.13,82.05,8.69,0,0,0,0.53,24.13,48.26,0,24.13,0,48.26,14.48,0,76.86,0,0,44.4,164.1,0,0,1214.56

24,05:45-06:00,0,0,0,0,0,0,0,0,0,0,0,0,15.3,0,96.53,14.62,20.83,14.62,48.26,24.13,96.53,24.13,29.03,0,0,0,28.96,193.06,19.31,0,0,17.65,11.58,24.13,82.05,8.69,0,0,0,0.53,24.13,48.26,0,24.13,0,48.26,14.48,0,76.86,0,0,44.4,164.1,0,0,1214.56

25,06:00-06:15,1,0,0,0,0,0,0,0,0,0,0.03,0,15.3,0,96.53,14.62,20.83,14.62,48.26,24.13,96.53,24.13,29.03,0,0,0,28.96,193.06,19.31,0,0,17.83,11.58,24.13,82.05,0,0,0,0,0.82,24.13,48.26,0,24.13,0,48.26,14.48,0,76.86,0,0,44.4,164.1,0,0,1207.37

26,06:15-06:30,3,0,0.01,0.01,0,0.01,0,0,0,0,1.13,0,15.3,0,96.53,14.62,20.83,14.62,48.26,24.13,96.53,24.13,29.03,0,0,0,28.96,193.06,19.31,0,0,17.83,11.58,24.13,82.05,0,0,0,0,0.82,24.13,48.26,0,24.13,0,48.26,14.48,0,76.86,0,0,44.4,164.1,0,0,1210.5

27,06:30-06:45,6,0,0.02,0.02,0,0.02,0,0,0,0,2.71,0.84,15.3,0,96.53,14.62,20.83,14.62,48.26,24.13,96.53,24.13,29.03,0,0,0,28.96,193.06,19.31,0,0,17.83,11.58,24.13,82.05,0,0,0,0,0.82,24.13,48.26,0,24.13,0,48.26,14.48,0,76.86,0,0,44.4,164.1,0,0,1215.9499999999998

28,06:45-07:00,11,0,0.05,0.14,0,0.05,0,0,0,0,4.93,1.38,15.3,0,96.53,14.62,20.83,14.62,48.26,24.13,96.53,24.13,29.03,0,0,0,28.96,193.06,19.31,0,0,17.83,11.58,24.13,82.05,0,0,0,0,0.82,24.13,48.26,0,24.13,0,48.26,14.48,0,76.86,0,0,44.4,164.1,0,0,1223.8899999999999

29,07:00-07:15,18,0,0.05,0.14,0,0.05,0,0,0,0,8.59,1.98,15.3,0,96.53,14.62,20.83,14.62,48.26,24.13,96.53,24.13,29.03,0,0,0,28.96,193.06,19.31,0,0,17.83,11.58,24.13,82.05,0,0,0,0,0.87,24.13,48.26,0,24.13,0,48.26,14.48,0,76.86,0,0,44.4,164.1,0,0,1235.1999999999998

30,07:15-07:30,25,0,0.05,0.14,0,0.05,0,0,0,0,12.87,2.98,15.3,0,96.53,14.62,20.83,14.62,48.26,24.13,96.53,24.13,29.03,0,0,0,28.96,193.06,19.31,0,0,17.83,11.58,24.13,82.05,0,0,0,0,0.87,24.13,48.26,0,24.13,0,48.26,14.48,0,76.86,0,0,44.4,164.1,0,0,1247.4799999999998

31,07:30-07:45,25,0.02,0.05,0.15,0.04,0.11,0,0,0.02,0,16.96,3.87,15.3,0,96.53,14.62,20.83,14.62,48.26,24.13,96.53,24.13,29.03,0,0,0,28.96,193.06,19.31,0,0,17.83,11.58,24.13,82.05,0,0,0,0,0.87,24.13,48.26,0,24.13,0,48.26,14.48,0,76.86,0,0,44.4,164.1,0,0,1252.61

32,07:45-08:00,32,0.14,0.07,0.21,0.21,0.14,0,0,0.14,0,21.46,5.27,15.3,0,96.53,14.62,20.83,14.62,48.26,24.13,96.53,24.13,29.03,0,0,0,28.96,193.06,19.31,0,0,17.83,11.58,24.13,82.05,0,0,0,0,0.87,24.13,48.26,0,24.13,0,48.26,14.48,0,76.86,0,0,44.4,164.1,0,0,1266.03

33,08:00-08:15,28,0.11,0.08,0.24,0.15,0.16,1.64,1.16,0.13,0,26.35,6.21,15.3,0,96.53,14.62,20.83,14.62,48.26,24.13,96.53,24.13,29.03,0,0,0,28.96,193.06,19.31,0,0,15.06,11.58,24.13,82.05,0,0,0,0,0.97,24.13,48.26,0,24.13,0,48.26,14.48,0,76.86,0,0,44.4,164.1,0,0,1267.9499999999998

34,08:15-08:30,32,0.21,0.1,0.29,0.25,0.19,1.64,1.16,0.25,0,31.5,8.56,15.3,0,96.53,14.62,20.83,14.62,48.26,24.13,96.53,24.13,29.03,0,0,0,28.96,193.06,19.31,0,0,15.06,11.58,24.13,82.05,0,0,0,0,0.97,24.13,48.26,0,24.13,0,48.26,14.48,0,76.86,0,0,44.4,164.1,0,0,1279.87

35,08:30-08:45,46,0.33,0.1,0.29,0.4,0.19,1.64,1.16,0.4,0,31.17,5.9,15.3,0,96.53,14.62,20.83,14.62,48.26,24.13,96.53,24.13,29.03,0,0,0,28.96,193.06,19.31,0,0,15.06,13.51,24.13,82.05,0,0,0,0,0.97,24.13,48.26,0,24.13,0,48.26,14.48,0,76.86,0,0,44.4,164.1,0,0,1293.2299999999998

36,08:45-09:00,53,0.45,0.1,0.29,0.64,0.19,1.64,1.16,0.55,0,35.39,5.9,15.3,0,96.53,14.62,20.83,14.62,48.26,24.13,96.53,24.13,29.03,0,0,0,28.96,193.06,19.31,0,0,15.06,13.51,24.13,82.05,0,0,0,0,0.97,24.13,48.26,0,24.13,0,48.26,14.48,0,76.86,0,0,44.4,164.1,0,0,1304.9599999999998

37,09:00-09:15,49,0.14,0.1,0.29,0.2,0.19,1.64,1.16,0.17,0,39.77,5.9,15.3,0,96.53,14.62,20.83,14.62,48.26,24.13,96.53,24.13,29.03,0,48.26,48.26,193.06,193.06,19.31,24.13,0,13.21,13.51,0,82.05,0,0,24.13,24.13,0.97,0,0,0,0,0,0,14.48,0,0,0,0,44.4,0,0,76.86,1302.3600000000001

38,09:15-09:30,56,0.21,0.1,0.29,0.34,0.19,1.64,1.16,0.21,0,44.15,6.88,15.3,0,96.53,14.62,20.83,14.62,48.26,24.13,96.53,24.13,29.03,0,48.26,48.26,193.06,193.06,19.31,24.13,0,13.21,13.51,0,82.05,0,0,24.13,24.13,0.97,0,0,0,0,0,0,14.48,0,0,0,0,44.4,0,0,76.86,1314.97

39,09:30-09:45,49,0.25,0.1,0.39,0.41,0.19,1.64,1.16,0.31,0,40,6.88,15.3,0,96.53,14.62,20.83,14.62,48.26,24.13,96.53,24.13,29.03,0,48.26,48.26,193.06,193.06,19.31,24.13,0,15.06,13.51,0,82.05,0,0,24.13,24.13,0.97,0,0,0,0,0,0,14.48,0,0,0,0,44.4,0,0,76.86,1305.98

40,09:45-10:00,53,0.23,0.1,0.39,0.38,0.19,1.64,1.16,0.28,0,43.33,7.86,15.3,0,96.53,14.62,20.83,14.62,48.26,24.13,96.53,24.13,29.03,0,48.26,48.26,193.06,193.06,19.31,24.13,0,15.06,13.51,0,82.05,0,0,24.13,24.13,0.97,0,0,0,0,0,0,14.48,0,0,0,0,44.4,0,0,76.86,1314.21

41,10:00-10:15,32,0.07,0,0,0.12,0,1.64,1.16,0.09,1.45,44.33,7.86,15.3,0,96.53,14.62,20.83,14.62,48.26,24.13,96.53,24.13,29.03,0,48.26,48.26,193.06,193.06,19.31,24.13,0,18.76,13.51,0,82.05,0,0,24.13,24.13,0.97,0,0,0,0,0,0,14.48,0,0,0,0,44.4,0,0,76.86,1298.0700000000002

42,10:15-10:30,35,0.12,0.01,0.04,0.21,0.02,1.64,1.16,0.14,1.45,47.5,7.86,15.3,0,96.53,14.62,20.83,14.62,48.26,24.13,96.53,24.13,29.03,0,48.26,48.26,193.06,193.06,19.31,24.13,0,18.76,13.51,0,82.05,0,0,24.13,24.13,0.97,0,0,0,0,0,0,14.48,0,0,0,0,44.4,0,0,76.86,1304.5000000000002

43,10:30-10:45,32,0.39,0.14,0.35,0.21,0.21,1.64,1.16,0.14,1.45,43.65,11.57,15.3,0,96.53,14.62,20.83,14.62,48.26,24.13,96.53,24.13,29.03,0,48.26,48.26,193.06,193.06,19.31,24.13,0,18.76,13.51,0,82.05,0,0,24.13,24.13,0.97,0,0,0,0,0,0,14.48,0,0,0,0,44.4,0,0,76.86,1302.2600000000002

44,10:45-11:00,32,0.39,0.18,0.46,0.25,0.28,1.64,1.16,0.16,1.45,48.5,12.86,15.3,0,96.53,14.62,20.83,14.62,48.26,24.13,96.53,24.13,29.03,0,48.26,48.26,193.06,193.06,19.31,24.13,0,18.76,13.51,0,82.05,0,0,24.13,24.13,0.97,0,0,0,0,0,0,14.48,0,0,0,0,44.4,0,0,76.86,1308.68

45,11:00-11:15,35,0.39,0.19,0.48,0.25,0.29,1.64,1.16,0.16,1.45,54.97,14.13,15.3,0,96.53,14.62,20.83,14.62,48.26,24.13,96.53,24.13,29.03,0,48.26,48.26,193.06,193.06,19.31,24.13,0,18.76,13.51,0,82.05,0,0,24.13,24.13,0.97,0,0,0,0,0,0,14.48,0,0,0,0,44.4,0,0,76.86,1319.46

46,11:15-11:30,35,0.39,0.19,0.48,0.24,0.29,1.64,1.16,0.15,1.45,62.18,15.58,15.3,0,96.53,14.62,20.83,14.62,48.26,24.13,96.53,24.13,29.03,0,48.26,48.26,193.06,193.06,19.31,24.13,0,18.76,13.51,0,82.05,0,0,24.13,24.13,0.97,0,0,0,0,0,0,14.48,0,0,0,0,44.4,0,0,76.86,1328.1000000000001

47,11:30-11:45,39,0.39,0,0,0,0.29,1.64,1.16,0,1.45,85.29,16.96,15.3,0,96.53,14.62,20.83,14.62,48.26,24.13,96.53,24.13,29.03,0,48.26,48.26,193.06,193.06,19.31,24.13,0,18.76,13.51,0,82.05,0,0,24.13,24.13,0.97,0,0,0,0,0,0,14.48,0,0,0,0,44.4,0,0,76.86,1355.5300000000002

48,11:45-12:00,39,0.39,0,0,0,0.29,1.64,1.16,0,1.45,86.38,18.24,15.3,0,96.53,14.62,20.83,14.62,48.26,24.13,96.53,24.13,29.03,0,48.26,48.26,193.06,193.06,19.31,24.13,0,18.76,13.51,0,82.05,0,0,24.13,24.13,0.97,0,0,0,0,0,0,14.48,0,0,0,0,44.4,0,0,76.86,1357.9

49,12:00-12:15,35,0.39,0,0,0,0.29,1.64,1.16,0,1.45,91.73,19.43,15.3,0,96.53,14.62,20.83,14.62,48.26,24.13,96.53,24.13,29.03,0,48.26,48.26,193.06,193.06,19.31,24.13,0,18.76,13.51,0,82.05,0,0,24.13,24.13,0.97,0,0,0,0,0,0,14.48,0,0,0,0,44.4,0,0,76.86,1360.44

50,12:15-12:30,35,0.39,0,0,0,0.29,1.64,1.16,0,1.45,91.81,19.73,15.3,0,96.53,14.62,20.83,14.62,48.26,24.13,96.53,24.13,29.03,0,48.26,48.26,193.06,193.06,19.31,24.13,0,18.76,13.51,0,82.05,0,0,24.13,24.13,0.97,0,0,0,0,0,0,14.48,0,0,0,0,44.4,0,0,76.86,1360.8200000000002

51,12:30-12:45,42,0.39,0.02,0.05,0,0.29,1.64,1.16,0,1.45,84.82,19.99,15.3,0,96.53,14.62,20.83,14.62,48.26,24.13,96.53,24.13,29.03,0,48.26,48.26,193.06,193.06,19.31,24.13,0,18.76,13.51,0,82.05,0,0,24.13,24.13,0.97,0,0,0,0,0,0,14.48,0,0,0,0,44.4,0,0,76.86,1361.16

52,12:45-13:00,42,0.39,0.05,0.13,0,0.29,1.64,1.16,0,1.45,83.42,20.27,15.3,0,96.53,14.62,20.83,14.62,48.26,24.13,96.53,24.13,29.03,0,48.26,48.26,193.06,193.06,19.31,24.13,0,18.76,13.51,0,82.05,0,0,24.13,24.13,0.97,0,0,0,0,0,0,14.48,0,0,0,0,44.4,0,0,76.86,1360.15

