Time,Block,NR/2023/14745/A,NR/2023/13635/A,NR/2023/14898/A,NR/2023/14746/A,NR/2023/15402/F,NR/2023/15535/D,NR/2023/12168/A,NR/2023/15309/F,NR/2023/15303/F,NR/2023/14737/A,NR/2023/15538/D,NR/2023/12148/A,NR/2023/12053/A,NR/2023/15304/F,NR/2023/12347/A,NR/2023/15306/F,NR/2023/15412/F,NR/2023/14895/A,NR/2023/12591/A,NR/2023/13862/A,NR/2023/15296/F,NR/2023/12052/A,NR/2023/12167/A,NR/2023/15562/C,NR/2023/12431/A,NR/2023/15546/C,NR/2023/15057/F,NR/2023/12592/A,NR/2023/15549/C,NR/2023/15560/C,NR/2023/12422/A,ER/2023/9578/C,NR/2023/15537/D,Total
6,01:15-01:30,24.160000,21.260000,77.320000,85.920000,0.000000,18.360000,46.590000,4.830000,0.910000,62.820000,0.000000,22.230000,36.470000,0.580000,98.580000,0.930000,193.300000,95.680000,42.520000,23.130000,0.970000,63.060000,24.160000,64.760000,108.730000,6.050000,0.680000,85.030000,18.220000,91.820000,36.820000,0.000000,0,1355.89

7,01:30-01:45,24.160000,21.260000,77.320000,85.920000,0.000000,18.360000,46.590000,4.830000,0.910000,62.820000,0.000000,22.230000,36.470000,0.580000,98.580000,0.930000,193.300000,95.680000,42.520000,23.130000,0.970000,63.060000,24.160000,64.760000,108.730000,6.050000,0.680000,85.030000,18.220000,57.020000,36.820000,0.000000,0,1321.09

8,01:45-02:00,24.160000,21.260000,77.320000,85.920000,0.000000,18.360000,46.590000,4.830000,0.910000,62.820000,0.000000,22.230000,36.470000,0.580000,98.580000,0.930000,193.300000,95.680000,42.520000,23.130000,0.970000,63.060000,24.160000,64.760000,108.730000,6.050000,0.680000,85.030000,18.220000,23.200000,36.820000,0.000000,0,1287.27

9,02:00-02:15,24.160000,21.260000,77.320000,85.920000,0.000000,18.360000,46.590000,4.830000,0.910000,62.820000,0.000000,22.230000,36.470000,0.580000,98.580000,0.930000,193.300000,95.680000,42.520000,23.130000,0.970000,63.060000,24.160000,0.000000,108.730000,6.050000,0.580000,85.030000,18.220000,0.000000,36.820000,0.000000,0,1199.21

10,02:15-02:30,24.160000,21.260000,77.320000,85.920000,0.000000,18.360000,46.590000,4.830000,0.910000,62.820000,0.000000,22.230000,36.470000,0.580000,98.580000,0.930000,193.300000,95.680000,42.520000,23.130000,0.970000,63.060000,24.160000,0.000000,108.730000,6.050000,0.580000,85.030000,18.220000,0.000000,36.820000,0.000000,0,1199.21

11,02:30-02:45,24.160000,21.260000,77.320000,85.920000,0.000000,18.360000,46.590000,4.830000,0.910000,62.820000,0.000000,22.230000,36.470000,0.580000,98.580000,0.930000,193.300000,95.680000,42.520000,23.130000,0.970000,63.060000,24.160000,0.000000,108.730000,6.050000,0.580000,85.030000,18.220000,0.000000,36.820000,0.000000,0,1199.21

12,02:45-03:00,24.160000,21.260000,77.320000,85.920000,0.000000,18.360000,46.590000,4.830000,0.910000,62.820000,0.000000,22.230000,36.470000,0.580000,98.580000,0.930000,193.300000,95.680000,42.520000,23.130000,0.970000,63.060000,24.160000,0.000000,108.730000,6.050000,0.580000,85.030000,18.220000,0.000000,36.820000,0.000000,0,1199.21

13,03:00-03:15,24.160000,21.260000,77.320000,85.920000,0.000000,18.360000,46.590000,4.830000,0.910000,62.820000,0.000000,22.230000,0.000000,0.580000,98.580000,0.930000,193.300000,95.680000,42.520000,0.000000,0.970000,63.060000,24.160000,0.000000,108.730000,6.050000,0.530000,85.030000,18.220000,0.000000,36.820000,0.000000,0,1139.56

14,03:15-03:30,24.160000,21.260000,77.320000,85.920000,0.000000,18.360000,46.590000,4.830000,0.910000,62.820000,0.000000,22.230000,0.000000,0.580000,98.580000,0.930000,193.300000,95.680000,42.520000,0.000000,0.970000,63.060000,24.160000,0.000000,108.730000,6.050000,0.530000,85.030000,18.220000,0.000000,36.820000,0.000000,0,1139.56

15,03:30-03:45,24.160000,21.260000,77.320000,85.920000,0.000000,18.360000,46.590000,4.830000,0.910000,62.820000,0.000000,22.230000,0.000000,0.580000,98.580000,0.930000,193.300000,95.680000,42.520000,0.000000,0.970000,63.060000,24.160000,0.000000,108.730000,6.050000,0.530000,85.030000,18.220000,0.000000,36.820000,0.000000,0,1139.56

16,03:45-04:00,24.160000,21.260000,77.320000,85.920000,0.000000,18.360000,46.590000,4.830000,0.910000,62.820000,0.000000,22.230000,0.000000,0.580000,98.580000,0.930000,193.300000,95.680000,42.520000,0.000000,0.970000,63.060000,24.160000,0.000000,108.730000,6.050000,0.530000,85.030000,18.220000,0.000000,36.820000,0.000000,0,1139.56

17,04:00-04:15,24.160000,21.260000,77.320000,85.920000,0.000000,18.360000,46.590000,4.830000,0.910000,62.820000,0.000000,22.230000,0.000000,0.580000,98.580000,0.930000,193.300000,95.680000,42.520000,0.000000,0.970000,63.060000,24.160000,0.000000,108.730000,6.050000,0.530000,85.030000,18.220000,0.000000,36.820000,100.000000,0,1239.56

18,04:15-04:30,24.160000,21.260000,77.320000,85.920000,0.000000,18.360000,46.590000,4.830000,0.910000,62.820000,0.000000,22.230000,0.000000,0.580000,98.580000,0.930000,193.300000,95.680000,42.520000,0.000000,0.970000,63.060000,24.160000,0.000000,108.730000,6.050000,0.530000,85.030000,18.220000,0.000000,36.820000,100.000000,0,1239.56

19,04:30-04:45,24.160000,21.260000,77.320000,85.920000,0.000000,18.360000,46.590000,4.830000,0.910000,62.820000,0.000000,22.230000,0.000000,0.580000,98.580000,0.930000,193.300000,95.680000,42.520000,0.000000,0.970000,63.060000,24.160000,0.000000,108.730000,6.050000,0.530000,85.030000,18.220000,0.000000,36.820000,100.000000,0,1239.56

20,04:45-05:00,24.160000,21.260000,77.320000,85.920000,0.000000,18.360000,46.590000,4.830000,0.910000,62.820000,0.000000,22.230000,0.000000,0.580000,98.580000,0.930000,193.300000,95.680000,42.520000,0.000000,0.970000,63.060000,24.160000,0.000000,108.730000,6.050000,0.530000,85.030000,18.220000,0.000000,36.820000,100.000000,0,1239.56

21,05:00-05:15,24.160000,21.260000,77.320000,85.920000,0.000000,18.360000,46.590000,4.830000,0.910000,62.820000,0.000000,22.230000,0.000000,0.580000,0.000000,0.930000,193.300000,95.680000,42.520000,0.000000,0.970000,63.060000,24.160000,0.000000,108.730000,5.050000,0.530000,85.030000,18.220000,0.000000,36.820000,100.000000,0,1139.98

22,05:15-05:30,24.160000,21.260000,77.320000,85.920000,0.000000,18.360000,46.590000,4.830000,0.910000,62.820000,0.000000,22.230000,0.000000,0.580000,0.000000,0.930000,193.300000,95.680000,42.520000,0.000000,0.970000,63.060000,24.160000,0.000000,108.730000,5.050000,0.530000,85.030000,18.220000,0.000000,36.820000,100.000000,0,1139.98

23,05:30-05:45,24.160000,21.260000,77.320000,85.920000,0.000000,18.360000,46.590000,4.830000,0.910000,62.820000,0.000000,22.230000,0.000000,0.580000,0.000000,0.930000,193.300000,95.680000,42.520000,0.000000,0.970000,63.060000,24.160000,0.000000,108.730000,5.050000,0.530000,85.030000,18.220000,0.000000,36.820000,100.000000,0,1139.98

24,05:45-06:00,24.160000,21.260000,77.320000,85.920000,0.000000,18.360000,46.590000,4.830000,0.910000,62.820000,0.000000,22.230000,0.000000,0.580000,0.000000,0.930000,193.300000,95.680000,42.520000,0.000000,0.970000,63.060000,24.160000,0.000000,108.730000,5.050000,0.530000,85.030000,18.220000,0.000000,36.820000,100.000000,0,1139.98

25,06:00-06:15,24.160000,21.260000,77.320000,0.000000,0.000000,18.360000,46.590000,4.830000,0.910000,62.820000,0.000000,22.230000,0.000000,0.580000,0.000000,0.930000,193.300000,95.680000,42.520000,0.000000,0.970000,63.060000,24.160000,0.000000,108.730000,5.050000,0.680000,85.030000,18.220000,0.000000,0.000000,100.000000,0,1017.39

26,06:15-06:30,24.160000,21.260000,77.320000,0.000000,0.000000,0.000000,46.590000,4.830000,0.910000,62.820000,0.000000,22.230000,0.000000,0.580000,0.000000,0.930000,193.300000,95.680000,42.520000,0.000000,0.970000,63.060000,24.160000,0.000000,108.730000,5.050000,0.680000,85.030000,18.220000,0.000000,0.000000,100.000000,0,999.03

27,06:30-06:45,24.160000,21.260000,77.320000,0.000000,0.000000,0.000000,46.590000,4.830000,0.910000,62.820000,0.000000,22.230000,0.000000,0.580000,0.000000,0.930000,193.300000,95.680000,42.520000,0.000000,0.970000,63.060000,24.160000,0.000000,108.730000,5.050000,0.680000,85.030000,18.220000,0.000000,0.000000,100.000000,0,999.03

28,06:45-07:00,24.160000,21.260000,77.320000,0.000000,0.000000,0.000000,46.590000,4.830000,0.910000,62.820000,0.000000,22.230000,0.000000,0.580000,0.000000,0.930000,193.300000,95.680000,42.520000,0.000000,0.970000,63.060000,24.160000,0.000000,108.730000,5.050000,0.680000,85.030000,18.220000,0.000000,0.000000,100.000000,0,999.03

29,07:00-07:15,24.160000,21.260000,77.320000,0.000000,0.000000,18.360000,46.590000,4.830000,0.910000,62.820000,0.000000,22.230000,0.000000,0.580000,0.000000,0.930000,193.300000,95.680000,42.520000,0.000000,0.970000,63.060000,24.160000,0.000000,108.730000,5.050000,0.680000,85.030000,18.220000,0.000000,0.000000,100.000000,0.14,1017.53

30,07:15-07:30,24.160000,21.260000,77.320000,0.000000,0.000000,18.360000,46.590000,4.830000,0.910000,62.820000,0.000000,22.230000,0.000000,0.580000,0.000000,0.930000,193.300000,95.680000,42.520000,0.000000,0.970000,63.060000,24.160000,0.000000,108.730000,5.050000,0.680000,85.030000,18.220000,0.000000,0.000000,100.000000,0.44,1017.83

31,07:30-07:45,24.160000,21.260000,77.320000,0.000000,0.000000,18.360000,46.590000,4.830000,0.910000,62.820000,0.000000,22.230000,0.000000,0.580000,0.000000,0.930000,193.300000,95.680000,42.520000,0.000000,0.970000,63.060000,24.160000,0.000000,108.730000,5.050000,0.680000,85.030000,18.220000,0.000000,0.000000,100.000000,0.81,1018.2

32,07:45:08:00,24.160000,21.260000,77.320000,0.000000,0.000000,18.360000,46.590000,4.830000,0.910000,62.820000,0.000000,22.230000,0.000000,0.580000,0.000000,0.930000,193.300000,95.680000,42.520000,0.000000,0.970000,63.060000,24.160000,0.000000,108.730000,5.050000,0.680000,85.030000,18.220000,0.000000,0.000000,100.000000,1.34,1018.73

33,08:00-08:15,24.160000,21.260000,77.320000,0.000000,0.000000,18.360000,46.590000,4.830000,0.910000,62.820000,0.000000,22.230000,0.000000,0.580000,0.000000,0.930000,193.300000,95.680000,42.520000,0.000000,0.970000,63.060000,24.160000,0.000000,108.730000,5.050000,0.970000,85.030000,18.220000,0.000000,0.000000,100.000000,2.01,1019.69

34,08:15-08:30,24.160000,21.260000,77.320000,0.000000,0.000000,18.360000,46.590000,4.830000,0.910000,62.820000,0.000000,22.230000,0.000000,0.580000,0.000000,0.930000,193.300000,95.680000,42.520000,0.000000,0.970000,63.060000,24.160000,0.000000,108.730000,5.050000,0.970000,85.030000,18.220000,0.000000,0.000000,100.000000,2.74,1020.42

35,08:30-08:45,24.160000,21.260000,77.320000,0.000000,0.000000,18.360000,46.590000,4.830000,0.910000,62.820000,0.000000,22.230000,0.000000,0.580000,0.000000,0.930000,193.300000,95.680000,42.520000,0.000000,0.970000,63.060000,24.160000,0.000000,108.730000,5.050000,0.970000,85.030000,18.220000,0.000000,0.000000,100.000000,3.15,1020.83

36,08:45:09:00,24.160000,21.260000,77.320000,0.000000,0.000000,18.360000,46.590000,4.830000,0.910000,62.820000,0.000000,22.230000,0.000000,0.580000,0.000000,0.930000,193.300000,95.680000,42.520000,0.000000,0.970000,63.060000,24.160000,0.000000,108.730000,5.050000,0.970000,85.030000,18.220000,0.000000,0.000000,100.000000,2.35,1020.03

37,09:00:09:15,24.160000,21.260000,77.320000,0.000000,6.770000,18.360000,46.590000,4.830000,0.910000,62.820000,29.000000,22.230000,0.000000,0.580000,0.000000,0.930000,193.300000,95.680000,42.520000,0.000000,0.970000,63.060000,24.160000,0.000000,108.730000,9.080000,0.970000,85.030000,18.220000,0.000000,0.000000,100.000000,3.09,1060.57

38,09:15-09:30,24.160000,21.260000,77.320000,0.000000,6.770000,18.360000,46.590000,4.830000,0.910000,62.820000,29.000000,22.230000,0.000000,0.580000,0.000000,0.930000,193.300000,95.680000,42.520000,0.000000,0.970000,63.060000,24.160000,0.000000,108.730000,9.080000,0.970000,85.030000,18.220000,0.000000,0.000000,100.000000,3.34,1060.82

39,09:30-09:45,24.160000,21.260000,77.320000,0.000000,6.770000,18.360000,46.590000,4.830000,0.910000,62.820000,29.000000,22.230000,0.000000,0.580000,0.000000,0.930000,193.300000,95.680000,42.520000,0.000000,0.970000,63.060000,24.160000,0.000000,108.730000,9.080000,0.970000,85.030000,18.220000,0.000000,0.000000,100.000000,2.75,1060.23

40,09:45-10:00,24.160000,21.260000,77.320000,0.000000,6.770000,18.360000,46.590000,4.830000,0.910000,62.820000,29.000000,22.230000,0.000000,0.580000,0.000000,0.930000,193.300000,95.680000,42.520000,0.000000,0.970000,63.060000,24.160000,0.000000,108.730000,9.080000,0.970000,85.030000,18.220000,0.000000,0.000000,100.000000,2.03,1059.51

41,10:00-10:15,24.160000,21.260000,77.320000,0.000000,6.770000,18.360000,46.590000,4.830000,0.910000,62.820000,29.000000,22.230000,0.000000,0.580000,90.850000,0.930000,193.300000,95.680000,42.520000,0.000000,0.970000,63.060000,24.160000,0.000000,108.730000,10.090000,0.970000,85.030000,16.380000,0.000000,0.000000,0.000000,2.4,1049.9

42,10:15-10:30,24.160000,21.260000,77.320000,0.000000,6.770000,18.360000,46.590000,4.830000,0.910000,62.820000,29.000000,22.230000,0.000000,0.580000,90.850000,0.930000,193.300000,95.680000,42.520000,0.000000,0.970000,63.060000,24.160000,0.000000,108.730000,10.090000,0.970000,85.030000,16.380000,0.000000,0.000000,0.000000,4.05,1051.55

43,10:30-10:45,24.160000,21.260000,77.320000,0.000000,6.770000,18.360000,46.590000,4.830000,0.910000,62.820000,29.000000,22.230000,0.000000,0.580000,90.850000,0.930000,193.300000,95.680000,42.520000,0.000000,0.970000,63.060000,24.160000,0.000000,108.730000,10.090000,0.970000,85.030000,16.380000,0.000000,0.000000,0.000000,5.43,1052.93

44,10:45-11:00,24.160000,21.260000,77.320000,0.000000,6.770000,18.360000,46.590000,4.830000,0.910000,62.820000,29.000000,22.230000,0.000000,0.580000,90.850000,0.930000,193.300000,95.680000,42.520000,0.000000,0.970000,63.060000,24.160000,0.000000,108.730000,10.090000,0.970000,85.030000,16.380000,0.000000,0.000000,0.000000,3.08,1050.58

45,11:00-11:15,24.160000,21.260000,77.320000,0.000000,6.770000,18.360000,46.590000,4.830000,0.910000,62.820000,29.000000,22.230000,0.000000,0.580000,90.850000,0.930000,193.300000,95.680000,42.520000,0.000000,0.970000,63.060000,24.160000,0.000000,108.730000,10.090000,0.970000,85.030000,16.380000,0.000000,0.000000,0.000000,3.32,1050.82

46,11:15-11:30,24.160000,21.260000,77.320000,0.000000,6.770000,18.360000,46.590000,4.830000,0.910000,62.820000,29.000000,22.230000,0.000000,0.580000,90.850000,0.930000,193.300000,95.680000,42.520000,0.000000,0.970000,63.060000,24.160000,0.000000,108.730000,10.090000,0.970000,85.030000,16.380000,0.000000,0.000000,0.000000,4.67,1052.17

47,11:30-11:45,24.160000,21.260000,77.320000,0.000000,6.770000,18.360000,46.590000,4.830000,0.910000,62.820000,29.000000,22.230000,0.000000,0.580000,90.850000,0.930000,193.300000,95.680000,42.520000,0.000000,0.970000,63.060000,24.160000,0.000000,108.730000,10.090000,0.970000,85.030000,16.380000,0.000000,0.000000,0.000000,4.39,1051.89

48,11:45-12:00,24.160000,21.260000,77.320000,0.000000,6.770000,18.360000,46.590000,4.830000,0.910000,62.820000,29.000000,22.230000,0.000000,0.580000,90.850000,0.930000,193.300000,95.680000,42.520000,0.000000,0.970000,63.060000,24.160000,0.000000,108.730000,10.090000,0.970000,85.030000,16.380000,0.000000,0.000000,0.000000,4.06,1051.56

49,12:00-12:15,24.160000,21.260000,77.320000,0.000000,6.770000,18.360000,46.590000,4.830000,0.910000,62.820000,29.000000,22.230000,0.000000,0.580000,90.850000,0.930000,193.300000,95.680000,42.520000,0.000000,0.970000,63.060000,24.160000,0.000000,108.730000,10.090000,0.970000,85.030000,16.380000,0.000000,0.000000,0.000000,4.41,1051.91

50,12:15-12:30,24.160000,21.260000,77.320000,0.000000,6.770000,18.360000,46.590000,4.830000,0.910000,62.820000,29.000000,22.230000,0.000000,0.580000,90.850000,0.930000,193.300000,95.680000,42.520000,0.000000,0.970000,63.060000,24.160000,0.000000,108.730000,10.090000,0.970000,85.030000,16.380000,0.000000,0.000000,0.000000,4.35,1051.85

51,12:30-12:45,24.160000,21.260000,77.320000,0.000000,6.770000,18.360000,46.590000,4.830000,0.910000,62.820000,29.000000,22.230000,0.000000,0.580000,90.850000,0.930000,193.300000,95.680000,42.520000,0.000000,0.970000,63.060000,24.160000,0.000000,108.730000,10.090000,0.970000,85.030000,16.380000,0.000000,0.000000,0.000000,3.54,1051.04

52,12:45-13:00,24.160000,21.260000,77.320000,0.000000,6.770000,18.360000,46.590000,4.830000,0.910000,62.820000,29.000000,22.230000,0.000000,0.580000,90.850000,0.930000,193.300000,95.680000,42.520000,0.000000,0.970000,63.060000,24.160000,0.000000,108.730000,10.090000,0.970000,85.030000,16.380000,0.000000,0.000000,0.000000,2.3,1049.8

53,13:00-13:15,24.160000,21.260000,77.320000,0.000000,6.770000,18.360000,46.590000,4.830000,0.910000,62.820000,29.000000,22.230000,0.000000,0.580000,90.850000,0.930000,193.300000,95.680000,42.520000,0.000000,0.970000,63.060000,24.160000,0.000000,108.730000,10.090000,0.970000,85.030000,18.220000,0.000000,0.000000,0.000000,3.03,1052.37

54,13:15-13:30,24.160000,21.260000,77.320000,0.000000,6.770000,18.360000,46.590000,4.830000,0.910000,62.820000,29.000000,22.230000,0.000000,0.580000,90.850000,0.930000,193.300000,95.680000,42.520000,0.000000,0.970000,63.060000,24.160000,0.000000,108.730000,10.090000,0.970000,85.030000,18.220000,0.000000,0.000000,0.000000,3.38,1052.72

55,13:30-13:45,24.160000,21.260000,77.320000,0.000000,6.770000,18.360000,46.590000,4.830000,0.910000,62.820000,29.000000,22.230000,0.000000,0.580000,90.850000,0.930000,193.300000,95.680000,42.520000,0.000000,0.970000,63.060000,24.160000,0.000000,108.730000,10.090000,0.970000,85.030000,18.220000,0.000000,0.000000,0.000000,5.16,1054.5

56,13:45-14:00,24.160000,21.260000,77.320000,0.000000,6.770000,18.360000,46.590000,4.830000,0.910000,62.820000,29.000000,22.230000,0.000000,0.580000,90.850000,0.930000,193.300000,95.680000,42.520000,0.000000,0.970000,63.060000,24.160000,0.000000,108.730000,10.090000,0.970000,85.030000,18.220000,0.000000,0.000000,0.000000,3.66,1053

57,14:00-14:15,24.160000,21.260000,77.320000,0.000000,6.770000,18.360000,46.590000,4.830000,0.910000,62.820000,29.000000,22.230000,0.000000,0.580000,106.320000,0.930000,193.300000,95.680000,42.520000,23.130000,0.970000,63.060000,24.160000,0.000000,108.730000,10.090000,0.970000,85.030000,18.220000,0.000000,0.000000,0.000000,4.55,1092.49

58,14:15-14:30,24.160000,21.260000,77.320000,0.000000,6.770000,18.360000,46.590000,4.830000,0.910000,62.820000,29.000000,22.230000,0.000000,0.580000,106.320000,0.930000,193.300000,95.680000,42.520000,23.130000,0.970000,63.060000,24.160000,0.000000,108.730000,10.090000,0.970000,85.030000,18.220000,0.000000,0.000000,0.000000,3.33,1091.27

59,14:30-14:45,24.160000,21.260000,77.320000,0.000000,6.770000,18.360000,46.590000,4.830000,0.910000,62.820000,29.000000,22.230000,0.000000,0.580000,106.320000,0.930000,193.300000,95.680000,42.520000,23.130000,0.970000,63.060000,24.160000,0.000000,108.730000,10.090000,0.970000,85.030000,18.220000,0.000000,0.000000,0.000000,3.24,1091.18

60,14:45-15:00,24.160000,21.260000,77.320000,0.000000,6.770000,18.360000,46.590000,4.830000,0.910000,62.820000,29.000000,22.230000,0.000000,0.580000,106.320000,0.930000,193.300000,95.680000,42.520000,23.130000,0.970000,63.060000,24.160000,0.000000,108.730000,10.090000,0.970000,85.030000,18.220000,0.000000,0.000000,0.000000,3.38,1091.32

61,15:00-15:15,24.160000,21.260000,77.320000,0.000000,6.770000,18.360000,46.590000,4.830000,0.910000,62.820000,29.000000,22.230000,0.000000,0.580000,106.320000,0.930000,193.300000,95.680000,42.520000,23.130000,0.970000,63.060000,24.160000,0.000000,108.730000,10.090000,0.920000,85.030000,12.690000,0.000000,0.000000,0.000000,3.55,1085.91

62,15:15-15:30,24.160000,21.260000,77.320000,0.000000,6.770000,18.360000,46.590000,4.830000,0.910000,62.820000,29.000000,22.230000,0.000000,0.580000,106.320000,0.930000,193.300000,95.680000,42.520000,23.130000,0.970000,63.060000,24.160000,0.000000,108.730000,10.090000,0.920000,85.030000,12.690000,0.000000,0.000000,0.000000,4.35,1086.71

63,15:30-15:45,24.160000,21.260000,77.320000,0.000000,6.770000,18.360000,46.590000,4.830000,0.910000,62.820000,29.000000,22.230000,0.000000,0.580000,106.320000,0.930000,193.300000,95.680000,42.520000,23.130000,0.970000,63.060000,24.160000,0.000000,108.730000,10.090000,0.920000,85.030000,12.690000,0.000000,0.000000,0.000000,3.27,1085.63

64,15:45-16:00,24.160000,21.260000,77.320000,0.000000,6.770000,18.360000,46.590000,4.830000,0.910000,62.820000,29.000000,22.230000,0.000000,0.580000,106.320000,0.930000,193.300000,95.680000,42.520000,23.130000,0.970000,63.060000,24.160000,0.000000,108.730000,10.090000,0.920000,85.030000,12.690000,0.000000,0.000000,0.000000,2.45,1084.81

65,16:00-16:15,24.160000,21.260000,77.320000,0.000000,6.770000,18.360000,46.590000,4.830000,0.910000,62.820000,29.000000,22.230000,0.000000,0.580000,106.320000,0.930000,193.300000,95.680000,42.520000,23.130000,0.970000,63.060000,24.160000,0.000000,108.730000,10.090000,0.820000,85.030000,12.690000,0.000000,0.000000,0.000000,2.24,1084.5

66,16:15-16:30,24.160000,21.260000,77.320000,0.000000,6.770000,18.360000,46.590000,4.830000,0.910000,62.820000,29.000000,22.230000,0.000000,0.580000,106.320000,0.930000,193.300000,95.680000,42.520000,23.130000,0.970000,63.060000,24.160000,0.000000,108.730000,10.090000,0.820000,85.030000,12.690000,0.000000,0.000000,0.000000,2.25,1084.51

