Column1,Block,GNA/WR/2024/11/01/4200,GNA/WR/2024/10/15/7089,GNA/NR/2024/11/01/9061,NR/30092023/26122029/SH-06,GNA/NR/2024/11/01/5428,GNA/NR/2024/11/01/5444,GNA/NR/2024/11/01/1868,GNA/NR/2024/11/01/5474,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/11/01/4503,NR/30092023/31122025/SH-07,GNA/NR/2024/11/01/9042,GNA/NR/2024/11/01/3646,NR/2024/23869/C,NR/2024/23420/A/42524,NR/2024/23845/A/42551,WR/2024/24788/A/42665,NR/2024/23769/A/42517,NR/2024/23809/A/42516,NR/2024/23874/C,NR/2024/23875/C,Total
14,03:15-03:30,0,0,26.17,26.91,26.17,26.17,8.72,261.61,3.57,8.72,26.91,17.45,87.2,0,0.43,1.92,0,5.76,4.8,0,0,532.5099999999999

15,03:30-03:45,0,0,26.17,26.91,26.17,26.17,8.72,261.61,3.57,8.72,26.91,17.45,87.2,0,0.43,1.92,0,5.76,4.8,0,0,532.5099999999999

16,03:45-04:00,0,0,26.17,26.91,26.17,26.17,8.72,261.61,3.57,8.72,26.91,17.45,87.2,0,0.43,1.92,0,5.76,4.8,0,0,532.5099999999999

17,04:00-04:15,0,0,26.17,26.91,26.17,26.17,8.72,261.61,3.57,8.72,26.91,17.45,87.2,0,0.43,1.92,0,5.76,4.8,0,0,532.5099999999999

18,04:15-04:30,0,0,26.17,26.91,26.17,26.17,8.72,261.61,3.57,8.72,26.91,17.45,87.2,0,0.43,1.92,0,5.76,4.8,0,0,532.5099999999999

19,04:30-04:45,0,0,26.17,26.91,26.17,26.17,8.72,261.61,3.57,8.72,26.91,17.45,87.2,0,0.43,1.92,0,5.76,4.8,0,0,532.5099999999999

20,04:45-05:00,0,0,26.17,26.91,26.17,26.17,8.72,261.61,3.57,8.72,26.91,17.45,87.2,0,0.43,1.92,0,5.76,4.8,0,0,532.5099999999999

21,05:00-05:15,0,0,26.17,26.91,26.17,26.17,8.72,261.61,3.48,8.72,26.91,17.45,87.2,0,0.43,1.92,0,5.76,4.8,0,0,532.42

22,05:15-05:30,0,0,26.17,26.91,26.17,26.17,8.72,261.61,3.48,8.72,26.91,17.45,87.2,0,0.43,1.92,0,5.76,4.8,0,0,532.42

23,05:30-05:45,0,0,26.17,26.91,26.17,26.17,8.72,261.61,3.48,8.72,26.91,17.45,87.2,0,0.43,1.92,0,5.76,4.8,0,0,532.42

24,05:45-06:00,0,0,26.17,26.91,26.17,26.17,8.72,261.61,3.48,8.72,26.91,17.45,87.2,0,0.43,1.92,0,5.76,4.8,0,0,532.42

25,06:00-06:15,0,0,26.17,26.91,26.17,26.17,8.72,0,3.48,8.72,26.91,17.45,0,0,0.43,1.92,0,5.76,4.8,0,0,183.60999999999999

26,06:15-06:30,0,0,26.17,26.91,26.17,26.17,8.72,0,3.48,8.72,26.91,17.45,0,0,0.43,1.92,0,5.76,4.8,0,0,183.60999999999999

27,06:30-06:45,0,0,26.17,26.91,26.17,26.17,8.72,0,3.48,8.72,26.91,17.45,0,0,0.43,1.92,0,5.76,4.8,0,0,183.60999999999999

28,06:45-07:00,0,0,26.17,26.91,26.17,26.17,8.72,0,3.48,8.72,26.91,17.45,0,0.31,0.43,1.92,0,5.76,4.8,0,0,183.92

29,07:00-07:15,0,0,26.17,26.91,26.17,26.17,8.72,0,3.48,8.72,26.91,17.45,0,0.72,0.58,1.92,0,5.76,4.8,0,0,184.48

30,07:15-07:30,0,0,26.17,26.91,26.17,26.17,8.72,0,3.48,8.72,26.91,17.45,0,1.14,0.58,1.92,0,5.76,4.8,0,0,184.89999999999998

31,07:30-07:45,0,0,26.17,26.91,26.17,26.17,8.72,0,3.48,8.72,26.91,17.45,0,1.55,0.58,1.92,0,5.76,4.8,0,0,185.31

32,07:45-08:00,0,0,26.17,26.91,26.17,26.17,8.72,0,3.48,8.72,26.91,17.45,0,2.07,0.58,1.92,0,5.76,4.8,0,0,185.82999999999998

33,08:00-08:15,0,0,37.42,26.91,28.79,28.79,8.72,0,3.48,8.72,26.91,17.45,0,2.63,0.96,1.92,0,5.76,4.8,0,0,203.25999999999996

34,08:15-08:30,0,0,37.42,26.91,28.79,28.79,8.72,0,3.48,8.72,26.91,17.45,0,3.18,0.96,1.92,0,5.76,4.8,0,0,203.80999999999997

35,08:30-08:45,0,0,37.42,26.91,28.79,28.79,8.72,0,3.48,8.72,26.91,17.45,0,3.73,0.96,1.92,0,5.76,4.8,0,0,204.35999999999996

36,08:45-09:00,0,0,37.42,26.91,28.79,28.79,8.72,0,3.48,8.72,26.91,17.45,0,4.29,0.96,1.92,0,5.76,4.8,0,0,204.91999999999996

37,09:00-09:15,0,0,37.42,26.91,28.79,28.79,8.72,0,3.48,8.72,26.91,17.45,0,4.84,0.86,1.92,0,5.76,4.8,28.79,23.99,258.15

38,09:15-09:30,0,0,37.42,26.91,28.79,28.79,8.72,0,3.48,8.72,26.91,17.45,0,5.36,0.86,1.92,0,5.76,4.8,28.79,23.99,258.66999999999996

39,09:30-09:45,0,0,37.42,26.91,28.79,28.79,8.72,0,3.48,8.72,26.91,17.45,0,5.83,0.86,1.92,0,5.76,4.8,28.79,23.99,259.14

40,09:45-10:00,0,0,37.42,26.91,28.79,28.79,8.72,0,3.48,8.72,26.91,17.45,0,6.29,0.86,1.92,0,5.76,4.8,28.79,23.99,259.59999999999997

41,10:00-10:15,0,0,37.42,26.91,28.79,28.79,8.72,0,3.48,8.72,26.91,17.45,0,6.64,0.86,1.92,0,5.76,4.8,28.79,23.99,259.94999999999993

42,10:15-10:30,0,0,37.42,26.91,28.79,28.79,8.72,0,3.48,8.72,26.91,17.45,0,6.93,0.86,1.92,0,5.76,4.8,28.79,23.99,260.23999999999995

43,10:30-10:45,0,0,37.42,26.91,28.79,28.79,8.72,0,3.48,8.72,26.91,17.45,0,7.18,0.86,1.92,0,5.76,4.8,28.79,23.99,260.48999999999995

44,10:45-11:00,0,0,37.42,26.91,28.79,28.79,8.72,0,3.48,8.72,26.91,17.45,0,7.4,0.86,1.92,0,5.76,4.8,28.79,23.99,260.71

45,11:00-11:15,0,0,37.42,26.91,28.79,28.79,8.72,0,3.48,8.72,26.91,17.45,0,7.58,0.86,1.92,0,5.76,4.8,28.79,23.99,260.89

46,11:15-11:30,0,0,37.42,26.91,28.79,28.79,8.72,0,3.48,8.72,26.91,17.45,0,7.68,0.86,1.92,0,5.76,4.8,28.79,23.99,260.98999999999995

47,11:30-11:45,0,0,37.42,26.91,28.79,28.79,8.72,0,3.48,8.72,26.91,17.45,0,7.72,0.86,1.92,0,5.76,4.8,28.79,23.99,261.03

48,11:45-12:00,0,0,37.42,26.91,28.79,28.79,8.72,0,3.48,8.72,26.91,17.45,0,7.95,0.86,1.92,0,5.76,4.8,28.79,23.99,261.25999999999993

49,12:00-12:15,0,0,37.42,26.91,28.79,28.79,8.72,0,3.48,8.72,26.91,17.45,0,7.92,0.86,1.92,0,5.76,4.8,28.79,23.99,261.22999999999996

50,12:15-12:30,0,0,37.42,26.91,28.79,28.79,8.72,0,3.48,8.72,26.91,17.45,0,7.94,0.86,1.92,0,5.76,4.8,28.79,23.99,261.24999999999994

51,12:30-12:45,0,0,37.42,26.91,28.79,28.79,8.72,0,3.48,8.72,26.91,17.45,0,7.89,0.86,1.92,0,5.76,4.8,28.79,23.99,261.19999999999993

52,12:45-13:00,0,0,37.42,26.91,28.79,28.79,8.72,0,3.48,8.72,26.91,17.45,0,7.78,0.86,1.92,0,5.76,4.8,28.79,23.99,261.09

53,13:00-13:15,0,0,37.42,26.91,28.79,28.79,8.72,0,3.48,8.72,26.91,17.45,0,7.53,0.77,1.92,0,5.76,4.8,28.79,23.99,260.74999999999994

54,13:15-13:30,0,0,37.42,26.91,28.79,28.79,8.72,0,3.48,8.72,26.91,17.45,0,7.55,0.77,1.92,0,5.76,4.8,28.79,23.99,260.77

55,13:30-13:45,0,0,37.42,26.91,28.79,28.79,8.72,0,3.48,8.72,26.91,17.45,0,7.34,0.77,1.92,0,5.76,4.8,28.79,23.99,260.55999999999995

56,13:45-14:00,0,0,37.42,26.91,28.79,28.79,8.72,0,3.48,8.72,26.91,17.45,0,7,0.77,1.92,0,5.76,4.8,28.79,23.99,260.21999999999997

57,14:00-14:15,0,0,37.42,26.91,28.79,28.79,8.72,0,3.48,8.72,26.91,17.45,0,6.79,0.96,1.92,0,5.76,4.8,28.79,23.99,260.19999999999993

58,14:15-14:30,0,0,37.42,26.91,28.79,28.79,8.72,0,3.48,8.72,26.91,17.45,0,6.47,0.96,1.92,0,5.76,4.8,28.79,23.99,259.87999999999994

59,14:30-14:45,0,0,37.42,26.91,28.79,28.79,8.72,0,3.48,8.72,26.91,17.45,0,6.06,0.96,1.92,0,5.76,4.8,28.79,23.99,259.46999999999997

60,14:45-15:00,0,0,37.42,26.91,28.79,28.79,8.72,0,3.48,8.72,26.91,17.45,0,5.54,0.96,1.92,0,5.76,4.8,28.79,23.99,258.94999999999993

61,15:00-15:15,0,0,37.42,26.91,28.79,28.79,8.72,0,3.48,8.72,26.91,17.45,0,5.05,0.86,2.88,0,5.76,4.8,28.79,23.99,259.32

62,15:15-15:30,0,0,37.42,26.91,28.79,28.79,8.72,0,3.48,8.72,26.91,17.45,0,4.2,0.86,2.88,0,5.76,4.8,28.79,23.99,258.46999999999997

63,15:30-15:45,0,0,37.42,26.91,28.79,28.79,8.72,0,3.48,8.72,26.91,17.45,0,3.85,0.86,2.88,0,5.76,4.8,27.92,24.85,258.11

64,15:45-16:00,0,0,37.42,26.91,28.79,28.79,8.72,0,3.48,8.72,26.91,17.45,0,3.23,0.86,2.88,0,5.76,4.8,23.7,21.02,249.43999999999997

65,16:00-16:15,0,0,37.42,26.91,28.79,28.79,8.72,0,3.39,8.72,26.91,23.03,0,2.59,0.77,2.88,0,5.76,4.8,19.58,15.55,244.61

66,16:15-16:30,0,0,37.42,26.91,28.79,28.79,8.72,0,3.39,8.72,26.91,23.03,0,2.01,0.77,2.88,0,5.76,4.8,15.64,9.21,233.74999999999997

67,16:30-16:45,0,0,37.42,26.87,28.79,28.79,8.72,0,3.39,8.72,26.87,23.03,0,1.44,0.77,2.88,0,5.76,4.8,11.8,4.13,224.18

68,16:45-17:00,0,0,37.42,26.87,28.79,28.79,8.72,0,3.39,8.72,26.87,23.03,0,1.06,0.77,2.88,0,5.76,4.8,8.16,0,216.03

69,17:00-17:15,0,0,37.42,25.56,34.55,34.55,8.72,0,3.39,8.72,32,20.15,0,0.71,0.58,2.88,0,5.76,4.8,0,0,219.79

70,17:15-17:30,0,0,37.42,25.56,34.55,34.55,8.72,0,3.39,8.72,32,20.15,0,0.36,0.58,2.88,0,5.76,4.8,0,0,219.44

71,17:30-17:45,0,0,37.42,0,34.55,34.55,8.72,0,3.39,8.72,32,20.15,0,0.17,0.58,2.88,0,5.76,4.8,0,0,193.69

72,17:45-18:00,0,0,37.42,0,34.55,34.55,8.72,0,3.39,8.72,32,20.15,0,0,0.58,2.88,0,5.76,4.8,0,0,193.52

73,18:00-18:15,50,150,37.42,0,34.55,34.55,8.72,0,3.48,8.72,32,20.15,0,0,0.62,2.88,38.38,5.76,4.8,0,0,432.0300000000001

74,18:15-18:30,50,150,37.42,0,34.55,34.55,8.72,0,3.48,8.72,32,20.15,0,0,0.62,2.88,38.38,5.76,4.8,0,0,432.0300000000001

75,18:30-18:45,50,150,37.42,0,34.55,34.55,8.72,0,3.48,8.72,32,20.15,0,0,0.62,2.88,38.38,5.76,4.8,0,0,432.0300000000001

76,18:45-19:00,50,150,37.42,0,34.55,34.55,8.72,0,3.48,8.72,32,20.15,0,0,0.62,2.88,38.38,5.76,4.8,0,0,432.0300000000001

77,19:00-19:15,50,150,37.42,21.56,34.55,34.55,8.72,0,3.57,8.72,32,20.15,0,0,0.62,2.88,38.38,5.76,4.8,0,0,453.68000000000006

78,19:15-19:30,50,150,37.42,21.56,34.55,34.55,8.72,0,3.57,8.72,32,20.15,0,0,0.62,2.88,38.38,5.76,4.8,0,0,453.68000000000006

79,19:30-19:45,50,150,37.42,21.56,34.55,34.55,8.72,0,3.57,8.72,32,20.15,0,0,0.62,2.88,38.38,5.76,4.8,0,0,453.68000000000006

80,19:45-20:00,50,150,37.42,21.56,34.55,34.55,8.72,0,3.57,8.72,32,20.15,0,0,0.62,2.88,38.38,5.76,4.8,0,0,453.68000000000006

81,20:00-20:15,50,200,37.42,24.8,34.55,34.55,8.72,0,3.57,8.72,24.8,20.15,0,0,0.62,2.88,38.38,5.76,4.8,0,0,499.7200000000001

82,20:15-20:30,50,200,37.42,24.8,34.55,34.55,8.72,0,3.57,8.72,24.8,20.15,0,0,0.62,2.88,38.38,5.76,4.8,0,0,499.7200000000001

83,20:30-20:45,50,200,37.42,24.8,34.55,34.55,8.72,0,3.57,8.72,24.8,20.15,0,0,0.62,2.88,38.38,5.76,4.8,0,0,499.7200000000001

84,20:45-21:00,50,200,37.42,24.8,34.55,34.55,8.72,0,3.57,8.72,24.8,20.15,0,0,0.62,2.88,38.38,5.76,4.8,0,0,499.7200000000001

85,21:00-21:15,50,200,26.17,18.98,26.17,26.17,8.72,0,3.57,8.72,18.98,17.45,0,0,0.62,2.88,38.38,5.76,4.8,0,0,457.3700000000001

86,21:15-21:30,50,200,26.17,18.98,26.17,26.17,8.72,0,3.57,8.72,18.98,17.45,0,0,0.62,2.88,38.38,5.76,4.8,0,0,457.3700000000001

87,21:30-21:45,50,200,26.17,23.36,26.17,26.17,8.72,0,3.57,8.72,23.36,17.45,0,0,0.62,2.88,38.38,5.76,4.8,0,0,466.1300000000001

88,21:45-22:00,50,200,26.17,23.36,26.17,26.17,8.72,0,3.57,8.72,23.36,17.45,0,0,0.62,2.88,38.38,5.76,4.8,0,0,466.1300000000001

89,22:00-22:15,50,200,26.17,18.98,26.17,26.17,8.72,261.61,3.57,8.72,18.98,17.45,87.2,0,0.62,1.92,38.38,5.76,4.8,0,0,805.2200000000003

90,22:15-22:30,50,200,26.17,18.98,26.17,26.17,8.72,261.61,3.57,8.72,18.98,17.45,87.2,0,0.62,1.92,38.38,5.76,4.8,0,0,805.2200000000003

91,22:30-22:45,50,200,26.17,23.36,26.17,26.17,8.72,261.61,3.57,8.72,23.36,17.45,87.2,0,0.62,1.92,38.38,5.76,4.8,0,0,813.9800000000001

92,22:45-23:00,50,200,26.17,23.36,26.17,26.17,8.72,261.61,3.57,8.72,23.36,17.45,87.2,0,0.62,1.92,38.38,5.76,4.8,0,0,813.9800000000001

93,23:00-23:15,50,200,26.17,23.36,26.17,26.17,8.72,261.61,3.57,8.72,23.36,17.45,87.2,0,0.62,1.92,38.38,5.76,4.8,0,0,813.9800000000001

94,23:15-23:30,50,200,26.17,23.36,26.17,26.17,8.72,261.61,3.57,8.72,23.36,17.45,87.2,0,0.62,1.92,38.38,5.76,4.8,0,0,813.9800000000001

95,23:30-23:45,50,200,26.17,23.36,26.17,26.17,8.72,261.61,3.57,8.72,23.36,17.45,87.2,0,0.62,1.92,38.38,5.76,4.8,0,0,813.9800000000001

96,23:45-24:00,50,200,26.17,23.36,26.17,26.17,8.72,261.61,3.57,8.72,23.36,17.45,87.2,0,0.62,1.92,38.38,5.76,4.8,0,0,813.9800000000001

