Time,Block,NR/2023/14767/D,NR/2023/13283/A,NR/2023/11739/A,NR/2023/13983/F,NR/2023/11325/A,NR/2023/11203/A,NR/2023/14766/D,NR/2023/11524/A,NR/2023/14770/D,NR/2023/11315/A,NR/2023/14779/C,NR/2023/11469/A,NR/2023/11521/A,NR/2023/12646/A,NR/2023/14785/C,NR/2023/11697/A,NR/2023/11264/A,NR/2023/14136/F,NR/2023/11654/A,NR/2023/13284/A,NR/2023/13859/A,NR/2023/11458/A,NR/2023/11892/A,NR/2023/11954/A,NR/2023/13858/A,NR/2023/11204/A,NR/2023/11328/A,NR/2023/14778/C,ER/2023/9054/C,NR/2023/14765/D,NR/2023/14768/D,NR/2023/13573/A,NR/2023/11205/A,NR/2023/11470/A,NR/2023/13573/A/II,NR/2023/14187/F,NR/2023/13283/A/II,WR/2023/17189/C,NR/2023/13983/F/II,Total
34,08:15-08:30,70,24.120000,42.430000,0.000000,24.120000,62.940000,30,192.920000,3.09,22.190000,5.790000,84.870000,48.230000,0.000000,0.000000,0.000000,21.510000,0.000000,257.550000,0.000000,177.970000,0.000000,0.000000,0.000000,77.170000,7.720000,48.230000,5.450000,50.000000,192.920000,18.330000,53.050000,15.750000,21.220000,0.000000,0.960000,0.000000,30.000000,0.960000,1589.49

35,08:30-08:45,80.5,24.120000,42.430000,0.000000,24.120000,62.940000,34.5,192.920000,4.05,22.190000,5.790000,84.870000,48.230000,0.000000,0.000000,0.000000,21.510000,0.000000,257.550000,0.000000,177.970000,0.000000,0.000000,0.000000,77.170000,7.720000,48.230000,5.450000,50.000000,192.920000,18.330000,53.050000,15.750000,21.220000,0.000000,0.960000,0.000000,30.000000,0.960000,1605.45

36,08:45:09:00,91,24.120000,42.430000,0.000000,24.120000,62.940000,39,192.920000,4.15,22.190000,5.790000,84.870000,48.230000,0.000000,0.000000,0.000000,21.510000,0.000000,257.550000,0.000000,177.970000,0.000000,0.000000,0.000000,77.170000,7.720000,48.230000,5.450000,50.000000,192.920000,18.330000,53.050000,15.750000,21.220000,0.000000,0.960000,0.000000,30.000000,0.960000,1620.55

37,09:00:09:15,105,24.120000,42.430000,0.000000,24.120000,62.940000,45,192.920000,4.24,22.190000,5.790000,84.870000,48.230000,0.000000,0.000000,0.000000,21.510000,24.120000,257.550000,0.000000,177.970000,0.000000,0.000000,0.000000,77.170000,7.720000,48.230000,5.450000,50.000000,192.920000,18.330000,53.050000,15.750000,21.220000,0.000000,0.960000,0.000000,30.000000,0.960000,1664.76

38,09:15-09:30,112,24.120000,42.430000,0.000000,24.120000,62.940000,48,192.920000,4.34,22.190000,5.790000,84.870000,48.230000,0.000000,0.000000,0.000000,21.510000,24.120000,257.550000,0.000000,177.970000,0.000000,0.000000,0.000000,77.170000,7.720000,48.230000,5.450000,50.000000,192.920000,18.330000,53.050000,15.750000,21.220000,0.000000,0.960000,0.000000,30.000000,0.960000,1674.86

39,09:30-09:45,122.5,24.120000,42.430000,0.000000,24.120000,62.940000,52.5,192.920000,4.63,22.190000,5.790000,84.870000,48.230000,0.000000,0.000000,0.000000,21.510000,24.120000,257.550000,0.000000,177.970000,0.000000,0.000000,0.000000,77.170000,7.720000,48.230000,5.450000,50.000000,192.920000,18.330000,53.050000,15.750000,21.220000,0.000000,0.960000,0.000000,30.000000,0.960000,1690.15

40,09:45-10:00,129.5,24.120000,42.430000,0.000000,24.120000,62.940000,55.5,192.920000,4.82,22.190000,5.790000,84.870000,48.230000,0.000000,0.000000,0.000000,21.510000,24.120000,257.550000,0.000000,177.970000,0.000000,0.000000,0.000000,77.170000,7.720000,48.230000,5.450000,50.000000,192.920000,18.330000,53.050000,15.750000,21.220000,0.000000,0.960000,0.000000,30.000000,0.960000,1700.34

41,10:00-10:15,137.2,24.120000,42.430000,0.000000,24.120000,62.940000,58.8,192.920000,5.02,22.190000,5.790000,84.870000,48.230000,0.000000,0.000000,0.000000,21.510000,24.120000,257.550000,0.000000,177.970000,90.670000,0.000000,0.000000,77.170000,7.720000,48.230000,5.450000,50.000000,192.920000,18.330000,53.050000,15.750000,21.220000,0.000000,0.960000,0.000000,30.000000,0.960000,1802.21

42,10:15-10:30,140,24.120000,42.430000,0.000000,24.120000,62.940000,60,192.920000,5.11,22.190000,5.790000,84.870000,48.230000,0.000000,0.000000,0.000000,21.510000,24.120000,257.550000,0.000000,177.970000,90.670000,0.000000,0.000000,77.170000,7.720000,48.230000,5.450000,50.000000,192.920000,18.330000,53.050000,15.750000,21.220000,0.000000,0.960000,0.000000,30.000000,0.960000,1806.3

43,10:30-10:45,140,24.120000,42.430000,0.000000,24.120000,62.940000,60,192.920000,5.23,22.190000,5.790000,84.870000,48.230000,0.000000,0.000000,0.000000,21.510000,24.120000,257.550000,0.000000,177.970000,90.670000,0.000000,0.000000,77.170000,7.720000,48.230000,5.450000,50.000000,192.920000,18.330000,53.050000,15.750000,21.220000,0.000000,0.960000,0.000000,30.000000,0.960000,1806.42

44,10:45-11:00,147,24.120000,42.430000,0.000000,24.120000,62.940000,63,192.920000,5.29,22.190000,5.790000,84.870000,48.230000,0.000000,0.000000,0.000000,21.510000,24.120000,257.550000,0.000000,177.970000,90.670000,0.000000,0.000000,77.170000,7.720000,48.230000,5.450000,50.000000,192.920000,18.330000,53.050000,15.750000,21.220000,0.000000,0.960000,0.000000,30.000000,0.960000,1816.48

45,11:00-11:15,147,24.120000,42.430000,0.000000,24.120000,62.940000,63,192.920000,5.79,22.190000,5.790000,84.870000,48.230000,0.000000,30.000000,0.000000,21.510000,24.120000,257.550000,0.000000,177.970000,90.670000,0.000000,0.000000,77.170000,7.720000,48.230000,5.450000,50.000000,192.920000,18.330000,53.050000,15.750000,21.220000,0.000000,0.960000,0.000000,30.000000,0.960000,1846.98

46,11:15-11:30,155.4,24.120000,42.430000,0.000000,24.120000,62.940000,66.6,192.920000,6.27,22.190000,5.790000,84.870000,48.230000,0.000000,30.000000,0.000000,21.510000,24.120000,257.550000,0.000000,177.970000,90.670000,0.000000,0.000000,77.170000,7.720000,48.230000,5.450000,50.000000,192.920000,18.330000,53.050000,15.750000,21.220000,0.000000,0.960000,0.000000,30.000000,0.960000,1859.46

47,11:30-11:45,157.5,24.120000,42.430000,0.000000,24.120000,62.940000,67.5,192.920000,6.75,22.190000,5.790000,84.870000,48.230000,0.000000,30.000000,0.000000,21.510000,24.120000,257.550000,0.000000,177.970000,90.670000,0.000000,0.000000,77.170000,7.720000,48.230000,5.450000,50.000000,192.920000,18.330000,53.050000,15.750000,21.220000,0.000000,0.960000,0.000000,30.000000,0.960000,1862.94

48,11:45-12:00,157.5,24.120000,42.430000,0.000000,24.120000,62.940000,67.5,192.920000,7.72,22.190000,5.790000,84.870000,48.230000,0.000000,30.000000,0.000000,21.510000,24.120000,257.550000,0.000000,177.970000,90.670000,0.000000,0.000000,77.170000,7.720000,48.230000,5.450000,50.000000,192.920000,18.330000,53.050000,15.750000,21.220000,0.000000,0.960000,0.000000,30.000000,0.960000,1863.91

49,12:00-12:15,158.9,24.120000,42.430000,0.000000,24.120000,62.940000,68.1,192.920000,8.49,22.190000,5.790000,84.870000,48.230000,0.000000,30.000000,0.000000,21.510000,24.120000,257.550000,0.000000,177.970000,90.670000,0.000000,0.000000,77.170000,7.720000,48.230000,5.450000,29.000000,192.920000,18.330000,53.050000,15.750000,21.220000,0.000000,0.960000,0.000000,30.000000,0.960000,1845.68

50,12:15-12:30,161,24.120000,42.430000,0.000000,24.120000,62.940000,69,192.920000,8.68,22.190000,5.790000,84.870000,48.230000,0.000000,30.000000,0.000000,21.510000,24.120000,257.550000,0.000000,177.970000,90.670000,0.000000,0.000000,77.170000,7.720000,48.230000,5.450000,29.000000,192.920000,18.330000,53.050000,15.750000,21.220000,0.000000,0.960000,0.000000,30.000000,0.960000,1848.87

51,12:30-12:45,161,24.120000,42.430000,0.000000,24.120000,62.940000,69,192.920000,9.16,22.190000,5.790000,84.870000,48.230000,0.000000,30.000000,0.000000,21.510000,24.120000,257.550000,0.000000,177.970000,90.670000,0.000000,0.000000,77.170000,7.720000,48.230000,5.450000,29.000000,192.920000,18.330000,53.050000,15.750000,21.220000,0.000000,0.960000,0.000000,30.000000,0.960000,1849.35

52,12:45-13:00,164.5,24.120000,42.430000,0.000000,24.120000,62.940000,70.5,192.920000,9.15,22.190000,5.790000,84.870000,48.230000,0.000000,30.000000,0.000000,21.510000,24.120000,257.550000,0.000000,177.970000,90.670000,0.000000,0.000000,77.170000,7.720000,48.230000,5.450000,29.000000,192.920000,18.330000,53.050000,15.750000,21.220000,0.000000,0.960000,0.000000,30.000000,0.960000,1854.34

53,13:00-13:15,166.6,24.120000,42.430000,0.000000,24.120000,62.940000,71.4,192.920000,7.91,22.190000,5.790000,84.870000,48.230000,0.000000,30.000000,0.000000,21.510000,24.120000,257.550000,0.000000,177.970000,90.670000,0.000000,0.000000,77.170000,7.720000,48.230000,5.450000,29.000000,192.920000,18.330000,53.050000,15.750000,21.220000,0.000000,0.960000,0.000000,30.000000,0.960000,1856.1

54,13:15-13:30,168,24.120000,42.430000,0.000000,24.120000,62.940000,72,192.920000,7.72,22.190000,5.790000,84.870000,48.230000,0.000000,30.000000,0.000000,21.510000,24.120000,257.550000,0.000000,177.970000,90.670000,0.000000,0.000000,77.170000,7.720000,48.230000,5.450000,29.000000,192.920000,18.330000,53.050000,15.750000,21.220000,0.000000,0.960000,0.000000,30.000000,0.960000,1857.91

55,13:30-13:45,168,24.120000,42.430000,0.000000,24.120000,62.940000,72,192.920000,7.23,22.190000,5.790000,84.870000,48.230000,0.000000,30.000000,0.000000,21.510000,24.120000,257.550000,0.000000,177.970000,90.670000,0.000000,0.000000,77.170000,7.720000,48.230000,5.450000,29.000000,192.920000,18.330000,53.050000,15.750000,21.220000,0.000000,0.960000,0.000000,30.000000,0.960000,1857.42

56,13:45-14:00,168,24.120000,42.430000,0.000000,24.120000,62.940000,72,192.920000,6.27,22.190000,5.790000,84.870000,48.230000,0.000000,30.000000,0.000000,21.510000,24.120000,257.550000,0.000000,177.970000,90.670000,0.000000,0.000000,77.170000,7.720000,48.230000,5.450000,29.000000,192.920000,18.330000,53.050000,15.750000,21.220000,0.000000,0.960000,0.000000,30.000000,0.960000,1856.46

