Column1,Block,WR/2025/26426/A/58399,NR/2025/25159/A/58329,GNA/NR/2025/03/01/9482,GNA/WR/2025/03/01/6406,WR/2025/26427/A/58400,WR/2025/26582/A/58623,GNA/NR/2025/03/01/3469,WR/2025/26499/A/58636,GNA/SR/2025/03/01/7500,GNA/WR/2025/01/01/9606,NR/30092023/26122029/SH-06,GNA/WR/2025/01/01/8625,NR/30092023/31122025/SH-07,GNA/NR/2025/03/01/5143,GNA/NR/2025/03/01/1906,GNA/NR/2025/03/01/4651,GNA/NR/2025/03/01/2563,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/03/01/8036,GNA/NR/2025/03/01/6891,NR/2025/25516/A/58591,NR/2025/25517/A/58593,NR/2025/25518/A/58596,NR/2025/25636/C,NR/2025/25635/C,GNARE/NR/2024/12/20/3668,Total
13,03:00-03:15,167.53,0.43,17.28,42,24,24,6.72,0,0,0,26.99,0,26.99,190.26,23.04,0,16.54,3.68,16.54,63.42,0,0,0,0,0,0,649.4199999999998

14,03:15-03:30,167.53,0.43,17.28,42,24,24,6.72,0,0,0,26.99,0,26.99,190.26,23.04,0,16.54,3.68,16.54,63.42,0,0,0,0,0,0,649.4199999999998

15,03:30-03:45,167.53,0.43,17.28,42,24,24,6.72,0,0,0,26.99,0,26.99,190.26,23.04,0,16.54,3.68,16.54,63.42,0,0,0,0,0,0,649.4199999999998

16,03:45-04:00,167.53,0.43,17.28,42,24,24,6.72,0,0,0,26.99,0,26.99,190.26,23.04,0,16.54,3.68,16.54,63.42,0,0,0,0,0,0,649.4199999999998

17,04:00-04:15,167.53,0.43,17.28,42,24,24,6.72,0,0,0,26.99,0,26.99,190.26,23.04,0,16.54,3.68,16.54,63.42,0,0,0,0,0,0,649.4199999999998

18,04:15-04:30,167.53,0.43,17.28,42,24,24,6.72,0,0,0,26.99,0,26.99,190.26,23.04,0,16.54,3.68,16.54,63.42,0,0,0,0,0,0,649.4199999999998

19,04:30-04:45,167.53,0.43,17.28,42,24,24,6.72,0,0,0,26.99,0,26.99,190.26,23.04,0,15.4,3.68,15.4,63.42,0,0,0,0,0,0,647.1399999999999

20,04:45-05:00,167.53,0.43,17.28,42,24,24,6.72,0,0,0,26.99,0,26.99,190.26,23.04,0,15.4,3.68,15.4,63.42,0,0,0,0,0,0,647.1399999999999

21,05:00-05:15,167.53,0.48,17.28,42,24,24,6.72,0,0,0,26.99,0,26.99,190.26,23.04,0,15.4,3.68,15.4,63.42,0,0,0,0,0,0,647.1899999999998

22,05:15-05:30,167.53,0.48,17.28,42,24,24,6.72,0,0,0,26.99,0,26.99,190.26,23.04,0,15.4,3.68,15.4,63.42,0,0,0,0,0,0,647.1899999999998

23,05:30-05:45,167.53,0.48,17.28,42,24,24,6.72,0,0,0,19.71,0,19.71,190.26,23.04,0,15.4,3.68,15.4,63.42,0,0,0,0,0,0,632.6299999999998

24,05:45-06:00,167.53,0.48,17.28,42,24,24,6.72,0,0,0,19.71,0,19.71,190.26,23.04,0,15.4,3.68,15.4,63.42,0,0,0,0,0,0,632.6299999999998

25,06:00-06:15,167.53,0.53,17.28,42,0,0,6.72,0,0,0,26.99,0,26.99,0,23.04,0,15.4,3.58,15.4,0,0,0,0,0,0,0,345.46

26,06:15-06:30,167.53,0.53,17.28,42,0,0,6.72,0,0,0,26.99,0,26.99,0,23.04,0,15.4,3.58,15.4,0,0,0,0,0,0,0,345.46

27,06:30-06:45,167.53,0.53,17.28,42,0,0,6.72,0,0,0,32,0,32,0,23.04,0,15.4,3.58,15.4,0,0,0,0,0,0,0.54,356.02

28,06:45-07:00,167.53,0.53,17.28,42,0,0,6.72,0,0,0,32,0,32,0,27.83,0,15.4,3.58,15.4,0,0,0,0,0,0,0.32,360.5899999999999

29,07:00-07:15,167.53,0.58,17.28,0,0,0,6.72,40.31,0,0,32,0,32,0,29.77,0,17.21,3.58,17.21,0,0,0,0,0,0,0.74,364.92999999999995

30,07:15-07:30,167.53,0.58,17.28,0,0,0,6.72,40.31,0,0,32,0,32,0,31.94,0,18.48,3.58,18.48,0,0,0,0,0,0,3.23,372.13000000000005

31,07:30-07:45,167.53,0.58,17.28,0,0,0,6.72,40.31,0,0,32,0,32,0,28.44,0,22.3,3.58,22.3,0,0,0,0,0,0,8.62,381.66

32,07:45-08:00,167.53,0.58,17.28,0,0,0,6.72,40.31,0,0,32,0,32,0,32.16,0,22.3,3.58,22.3,0,0,0,0,0,0,14.12,390.88000000000005

33,08:00-08:15,0,0.96,17.28,0,0,0,6.72,40.31,0,0,32,0,25.87,0,43.19,0,24.17,3.58,24.17,0,0.07,0.05,0.03,0,0,23.99,242.39000000000001

34,08:15-08:30,0,0.96,17.28,0,0,0,6.72,40.31,0,0,32,0,25.87,0,43.19,0,24.17,3.58,24.17,0,0.29,0.26,0.18,0,0,31.55,250.53

35,08:30-08:45,0,0.96,17.28,0,0,0,6.72,40.31,0,0,26.99,0,25.87,0,43.19,0,24.17,3.58,24.17,0,0.49,0.49,0.27,0,0,39.39,253.88000000000005

36,08:45-09:00,0,0.96,17.28,0,0,0,6.72,40.31,0,0,26.99,0,25.87,0,43.19,0,24.17,3.58,24.17,0,0.65,0.59,0.36,0,0,48.66,263.5

37,09:00-09:15,0,0.91,17.28,0,0,0,6.72,40.31,0,0,26.99,0,25.87,0,25.91,0,16.54,3.58,16.54,0,0.86,0.77,0.48,38.39,14.4,56.78,292.33000000000004

38,09:15-09:30,0,0.91,17.28,0,0,0,6.72,40.31,0,0,26.99,0,25.87,0,25.36,0,16.54,3.58,16.54,0,0.96,0.77,0.48,38.39,14.4,64.93,300.03

39,09:30-09:45,0,0.91,17.28,0,0,0,6.72,40.31,0,0,26.99,0,25.87,0,27.34,0,16.54,3.58,16.54,0,0.96,0.77,0.38,38.39,14.4,72.25,309.23

40,09:45-10:00,0,0.91,17.28,0,0,0,6.72,40.31,0,0,26.99,0,25.87,0,29.38,0,16.54,3.58,16.54,0,0.96,0.77,0.48,38.39,14.4,78.89,318.01000000000005

41,10:00-10:15,0,0.91,17.28,0,0,0,6.72,40.31,0,0,26.99,0,26.99,0,32.73,0,16.54,3.49,16.54,0,0.96,0.77,0.48,38.39,14.4,88.57,332.06999999999994

42,10:15-10:30,0,0.91,17.28,0,0,0,6.72,40.31,0,0,26.99,0,26.99,0,35.88,0,16.54,3.49,16.54,0,0.96,0.86,0.48,38.39,14.4,93.74,340.47999999999996

43,10:30-10:45,0,0.91,17.28,0,0,0,6.72,40.31,0,0,26.99,0,26.99,0,37.72,0,16.54,3.49,16.54,0,0.96,0.86,0.48,38.39,14.4,98.33,346.91

44,10:45-11:00,0,0.91,17.28,0,0,0,6.72,40.31,0,0,26.99,0,26.99,0,38.68,0,16.54,3.49,16.54,0,0.96,0.77,0.48,38.39,14.4,98.33,347.78000000000003

45,11:00-11:15,0,0.91,17.28,0,0,0,6.72,40.31,0,0,26.99,0,26.99,0,39.45,0,16.54,3.49,16.54,0,1.06,0.67,0.48,38.39,14.4,98.33,348.54999999999995

46,11:15-11:30,0,0.91,17.28,0,0,0,6.72,40.31,0,0,26.99,0,26.99,0,39.83,0,16.54,3.49,16.54,0,1.06,0.77,0.48,38.39,14.4,98.33,349.03

47,11:30-11:45,0,0.91,17.28,0,0,0,14.4,40.31,0,0,26.99,0,26.99,0,39.81,0,16.54,3.49,16.54,0,1.06,0.77,0.48,38.39,14.4,98.33,356.68999999999994

48,11:45-12:00,0,0.91,17.28,0,0,0,14.4,40.31,0,0,26.99,0,26.99,0,37.91,0,16.54,3.49,16.54,0,1.06,0.77,0.48,38.39,14.4,98.33,354.78999999999996

49,12:00-12:15,0,0.91,17.28,0,0,0,14.4,40.31,0,0,26.99,0,26.99,0,37.75,0,16.54,3.49,16.54,0,1.06,0.77,0.48,38.39,14.4,98.33,354.62999999999994

50,12:15-12:30,0,0.91,17.28,0,0,0,14.4,40.31,0,0,26.99,0,26.99,0,37.48,0,16.54,3.49,16.54,0,1.06,0.77,0.48,38.39,14.4,98.33,354.35999999999996

51,12:30-12:45,0,0.91,17.28,0,0,0,14.4,40.31,0,0,26.99,0,26.99,0,37.42,0,16.54,3.49,16.54,0,1.06,0.77,0.48,38.39,14.4,98.33,354.3

52,12:45-13:00,0,0.91,17.28,0,0,0,14.4,40.31,0,0,26.99,0,26.99,0,36.89,0,16.54,3.49,16.54,0,1.06,0.77,0.38,38.39,14.4,98.33,353.67

53,13:00-13:15,0,0.91,17.28,0,0,0,14.4,40.31,0,0,26.99,0,26.99,0,36.04,0,16.54,3.58,16.54,0,1.06,0.77,0.48,38.39,14.4,98.33,353.01

54,13:15-13:30,0,0.91,17.28,0,0,0,14.4,40.31,0,0,26.99,0,26.99,0,33.64,0,16.54,3.58,16.54,0,1.06,0.77,0.48,38.39,14.4,98.33,350.61

55,13:30-13:45,0,0.91,17.28,0,0,0,14.4,40.31,0,0,26.99,0,26.99,0,32.34,0,16.54,3.58,16.54,0,1.06,0.77,0.48,38.39,14.4,98.33,349.31

56,13:45-14:00,0,0.91,17.28,0,0,0,14.4,40.31,0,0,26.99,0,26.99,0,32.42,0,16.54,3.58,16.54,0,1.06,0.77,0.48,38.39,14.4,98.33,349.39000000000004

57,14:00-14:15,0,0.91,17.28,0,0,0,14.4,40.31,0,0,26.99,0,26.99,0,31.62,0,16.54,3.58,16.54,0,1.15,0.77,0.48,38.39,14.4,98.33,348.68

58,14:15-14:30,0,0.91,17.28,0,0,0,14.4,40.31,0,0,26.99,0,26.99,0,32.65,0,16.54,3.58,16.54,0,1.15,0.86,0.58,38.39,14.4,98.33,349.90000000000003

59,14:30-14:45,0,0.91,17.28,0,0,0,14.4,40.31,0,0,26.99,0,26.99,0,34.34,0,16.54,3.58,16.54,0,1.15,0.86,0.48,38.39,14.4,98.33,351.49

60,14:45-15:00,0,0.91,17.28,0,0,0,14.4,40.31,0,0,26.99,0,26.99,0,35.21,0,16.54,3.58,16.54,0,1.06,0.77,0.48,38.39,14.4,98.33,352.18

61,15:00-15:15,0,0.67,17.28,0,0,0,14.4,40.31,0,0,26.99,0,26.99,0,36.6,0,16.54,3.58,16.54,0,1.15,0.77,0.48,38.39,14.4,96.67,351.76

62,15:15-15:30,0,0.67,17.28,0,0,0,14.4,40.31,0,0,26.99,0,26.99,0,36.8,0,16.54,3.58,16.54,0,1.06,0.77,0.48,38.39,14.4,94.85,350.05

63,15:30-15:45,0,0.67,17.28,0,0,0,14.4,40.31,0,0,26.99,0,26.99,0,36.15,0,16.54,3.58,16.54,0,1.06,0.86,0.48,38.39,14.4,89.5,344.14

64,15:45-16:00,0,0.67,17.28,0,0,0,14.4,40.31,0,0,26.99,0,26.99,0,35.23,0,16.54,3.58,16.54,0,1,0.82,0.45,38.39,14.4,83.4,336.98999999999995

65,16:00-16:15,0,0.53,17.28,0,0,0,14.4,40.31,0,0,26.99,0,26.99,0,34.68,0,16.54,3.58,16.54,0,0.84,0.76,0.38,38.39,14.4,77.3,329.90999999999997

66,16:15-16:30,0,0.53,17.28,0,0,0,14.4,40.31,0,0,26.99,0,26.99,0,33.53,0,16.54,3.58,16.54,0,0.78,0.59,0.33,38.39,14.4,70.74,321.92

67,16:30-16:45,0,0.53,17.28,0,0,0,14.4,40.31,0,0,26.99,0,26.99,0,32.57,0,16.54,3.58,16.54,0,0.61,0.46,0.26,38.39,14.4,60.3,310.15

68,16:45-17:00,0,0.53,17.28,0,0,0,14.4,40.31,0,0,26.99,0,26.99,0,31.15,0,16.54,3.58,16.54,0,0.44,0.29,0.18,34.26,18.52,52.96,300.96

69,17:00-17:15,0,0.53,17.28,0,0,0,14.4,40.31,0,0,26.99,100,26.99,0,43.19,0,25.4,3.68,25.4,0,0.35,0.2,0.12,0,0,44.93,369.77

70,17:15-17:30,0,0.53,17.28,0,0,0,14.4,40.31,0,0,26.99,100,26.99,0,43.19,0,25.4,3.68,25.4,0,0.25,0.14,0.11,0,0,37.74,362.40999999999997

71,17:30-17:45,0,0.53,17.28,0,0,0,14.4,40.31,0,0,26.99,100,26.99,0,43.19,0,25.4,3.68,25.4,0,0.15,0.12,0.06,0,0,29.38,353.87999999999994

72,17:45-18:00,0,0.53,17.28,0,0,0,14.4,40.31,0,0,26.99,100,26.99,0,43.19,0,25.4,3.68,25.4,0,0,0,0,0,0,19.85,344.02

73,18:00-18:15,0,0.53,11.81,0,0,0,14.4,40.31,0,50,32,100,32,0,43.19,0,22.96,3.68,22.96,0,0,0,0,0,0,14.28,388.11999999999995

74,18:15-18:30,0,0.53,11.81,0,0,0,14.4,40.31,0,50,32,100,32,0,43.19,0,22.96,3.68,22.96,0,0,0,0,0,0,7.9,381.73999999999995

75,18:30-18:45,0,0.53,11.81,0,0,0,14.4,40.31,50,50,31.51,100,31.51,0,43.19,0,22.96,3.68,22.96,0,0,0,0,0,0,3.01,425.86999999999995

76,18:45-19:00,0,0.53,11.81,0,0,0,14.4,40.31,50,50,31.51,100,31.51,0,43.19,0,22.96,3.68,22.96,0,0,0,0,0,0,0.38,423.23999999999995

77,19:00-19:15,0,0.62,11.81,0,0,0,14.4,40.31,50,50,31.46,100,31.46,0,43.19,0,22.96,3.76,22.96,0,0,0,0,0,0,0,422.92999999999995

78,19:15-19:30,0,0.62,11.81,0,0,0,14.4,40.31,50,50,31.46,100,31.46,0,43.19,0,22.96,3.76,22.96,0,0,0,0,0,0,0,422.92999999999995

79,19:30-19:45,0,0.62,11.81,0,0,0,14.4,40.31,50,50,31,100,31,0,43.19,0,22.96,3.76,22.96,0,0,0,0,0,0,0,422.00999999999993

80,19:45-20:00,0,0.62,11.81,0,0,0,14.4,40.31,50,50,31,100,31,0,43.19,0,22.96,3.76,22.96,0,0,0,0,0,0,0,422.00999999999993

81,20:00-20:15,47.99,0.62,11.81,0,0,0,14.4,40.31,50,75,31,100,0,0,43.19,0,22.96,3.76,22.96,0,0,0,0,0,0,0,463.99999999999994

82,20:15-20:30,47.99,0.62,11.81,0,0,0,14.4,40.31,50,75,31,100,0,0,43.19,0,22.96,3.76,22.96,0,0,0,0,0,0,0,463.99999999999994

83,20:30-20:45,47.99,0.62,11.81,0,0,0,14.4,40.31,50,75,32,100,2.79,0,43.19,0,22.96,3.76,22.96,0,0,0,0,0,0,0,467.78999999999996

84,20:45-21:00,47.99,0.62,11.81,0,0,0,14.4,40.31,50,75,32,100,2.79,0,43.19,0,22.96,3.76,22.96,0,0,0,0,0,0,0,467.78999999999996

85,21:00-21:15,47.99,0.62,13.21,0,0,0,14.4,40.31,50,75,32,100,25.83,0,43.19,0,22.96,3.76,22.96,0,0,0,0,0,0,0,492.2299999999999

86,21:15-21:30,47.99,0.62,14.64,0,0,0,14.4,40.31,50,75,32,100,25.83,0,43.19,0,22.96,3.76,22.96,0,0,0,0,0,0,0,493.65999999999997

87,21:30-21:45,47.99,0.62,15.77,0,0,0,14.4,40.31,50,75,32,100,25.83,0,43.19,0,22.96,3.76,22.96,0,0,0,0,0,0,0,494.78999999999996

88,21:45-22:00,47.99,0.62,17.28,0,0,0,14.4,40.31,50,75,32,100,25.83,0,43.19,0,22.96,3.76,22.96,0,0,0,0,0,0,0,496.29999999999995

89,22:00-22:15,47.99,0.53,17.28,0,24,24,14.4,40.31,50,75,32,100,25.83,190.26,43.19,0,22.96,3.68,22.96,63.42,0,0,0,0,0,0,797.81

90,22:15-22:30,47.99,0.53,17.28,0,24,24,14.4,40.31,50,75,32,100,2.79,190.26,43.19,0,22.96,3.68,22.96,63.42,0,0,0,0,0,0,774.77

91,22:30-22:45,47.99,0.53,17.28,0,24,24,14.4,40.31,50,75,32,100,2.79,190.26,43.19,0,22.96,3.68,22.96,63.42,0,0,0,0,0,0,774.77

92,22:45-23:00,47.99,0.53,17.28,0,24,24,14.4,40.31,50,75,32,100,2.79,190.26,43.19,0,22.96,3.68,22.96,63.42,0,0,0,0,0,0,774.77

93,23:00-23:15,47.99,0.48,17.28,0,24,24,14.4,40.31,50,75,32,0,2.79,190.26,29.73,0,14.9,3.68,14.9,63.42,0,0,0,0,0,0,645.1399999999999

94,23:15-23:30,47.99,0.48,17.28,0,24,24,14.4,40.31,50,75,32,0,25.83,190.26,27.83,0,14.9,3.68,14.9,63.42,0,0,0,0,0,0,666.2799999999999

95,23:30-23:45,47.99,0.48,17.28,0,24,24,14.4,40.31,50,75,26.99,0,26.99,190.26,26.91,0,14.9,3.68,14.9,63.42,0,0,0,0,0,0,661.5099999999999

96,23:45-24:00,47.99,0.48,17.28,0,24,24,14.4,40.31,50,75,26.99,0,26.99,190.26,24.63,0,14.9,3.68,14.9,63.42,0,0,0,0,0,0,659.2299999999999

