Column1,Block,GNA/NR/2025/04/16/8132,GNA/NR/2025/04/16/6639,GNA/NR/2025/04/16/2139,GNA/NR/2025/04/16/2341,NR/30092023/26122029/SH-06,GNA/NR/2025/04/01/1333,GNA/NR/2025/04/16/1389,GNA/NR/2025/04/01/5285,GNA/NR/2025/04/01/9334,GNA/NR/2025/04/01/7459,GNA/SR/2025/04/01/2597,GNA/NR/2025/04/01/6216,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/WR/2025/04/01/4420,GNA/NR/2025/04/01/6490,GNA/NR/2025/04/01/1831,GNA/NR/2025/04/01/7960,NR/30092023/31122025/SH-07,GNA/NR/2025/04/01/4565,GNA/NR/2025/04/16/4327,NR/2025/25752/A/67801,NR/2025/26346/C,GNARE/NR/2024/12/20/3668,NR/2025/26334/C,NR/2025/26342/C,NR/2025/26354/C,NR/2025/26355/C,NR/2025/26085/A/67745,NR/2025/25955/A/68192,NR/2025/26358/C,NR/2025/25945/A/68196,WR/2025/27361/A/68204,NR/2025/26324/C,NR/2025/25948/A/68193,WR/2025/27350/A/67901,NR/2025/25947/A/68195,NR/2025/26343/C,NR/2025/26031/A/67951,Total
3,00:30-00:45,14.59,72.25,46.77,19.27,32,2.89,28.9,2.89,2.89,9.63,52.5,9.63,13.19,0,9.63,1.93,43.78,32,48.16,72.25,0,16.18,0,29.96,3.76,24.76,48.94,0.48,29.02,96.33,43.78,24.08,165.69,14.59,0,43.78,10.11,3.85,1070.46

4,00:45-01:00,14.59,72.25,46.77,19.27,32,2.89,28.9,2.89,2.89,9.63,52.5,9.63,13.19,0,9.63,1.93,43.78,32,48.16,72.25,0,16.67,0,29.96,3.95,0,48.94,0.48,29.02,96.33,43.78,24.08,165.69,14.59,0,43.78,10.02,3.85,1046.2900000000002

5,01:00-01:15,14.59,72.25,46.77,19.27,32,2.89,28.9,2.89,2.89,9.63,52.5,9.63,12.99,0,9.63,1.93,43.78,32,48.16,72.25,0,17.34,0,29.96,4.05,0,0,0.48,29.02,96.33,43.78,24.08,165.69,14.59,0,43.78,9.92,3.85,997.82

6,01:15-01:30,14.59,72.25,46.77,19.27,32,2.89,28.9,2.89,2.89,9.63,52.5,9.63,12.99,0,9.63,1.93,43.78,32,48.16,72.25,0,18.01,0,29.96,4.05,0,0,0.48,29.02,96.33,43.78,24.08,165.69,14.59,0,43.78,9.92,3.85,998.4899999999999

7,01:30-01:45,14.59,72.25,46.77,19.27,32,2.89,28.9,2.89,2.89,9.63,52.5,9.63,12.99,0,9.63,1.93,43.78,32,48.16,72.25,0,17.34,0,29.96,3.95,0,0,0.48,29.02,96.33,43.78,24.08,165.69,14.59,0,43.78,9.92,3.85,997.7200000000001

8,01:45-02:00,14.59,72.25,46.77,19.27,32,2.89,28.9,2.89,2.89,9.63,52.5,9.63,12.99,0,9.63,1.93,43.78,32,48.16,72.25,0,16.67,0,29.96,3.95,0,0,0.48,29.02,96.33,43.78,24.08,165.69,14.59,0,43.78,9.92,3.85,997.0500000000001

9,02:00-02:15,14.59,72.25,46.77,19.27,27,2.89,28.9,2.89,2.89,9.63,0,9.63,12.81,0,9.63,1.93,43.78,27,48.16,72.25,0,16.09,0,16.47,3.85,0,0,0.48,29.02,96.33,43.78,24.08,165.69,14.59,96.33,43.78,9.06,3.85,1015.67

10,02:15-02:30,14.59,72.25,46.77,19.27,27,2.89,28.9,2.89,2.89,9.63,0,9.63,12.81,0,9.63,1.93,43.78,27,48.16,72.25,0,15.41,0,16.47,3.85,0,0,0.48,29.02,96.33,43.78,24.08,165.69,14.59,96.33,43.78,8.19,3.85,1014.1200000000002

11,02:30-02:45,14.59,72.25,46.77,19.27,27,2.89,28.9,2.89,2.89,9.63,0,9.63,12.81,0,9.63,1.93,43.78,27,48.16,72.25,0,14.74,0,16.47,3.76,0,0,0.48,29.02,96.33,43.78,24.08,165.69,14.59,96.33,43.78,7.22,3.85,1012.3900000000002

12,02:45-03:00,14.59,72.25,46.77,19.27,27,2.89,28.9,2.89,2.89,9.63,0,9.63,12.81,0,9.63,1.93,43.78,27,48.16,72.25,0,14.16,0,16.47,3.76,0,0,0.48,29.02,96.33,43.78,24.08,165.69,14.59,96.33,43.78,6.45,3.85,1011.0400000000001

13,03:00-03:15,14.59,72.25,46.77,19.27,27,2.89,28.9,2.89,2.89,9.63,0,9.63,12.54,0,9.63,1.93,43.78,27,48.16,72.25,0,13.49,0,0,3.66,0,0,0.43,29.02,0,43.78,24.08,165.69,14.59,96.33,43.78,5.97,3.85,896.6700000000002

14,03:15-03:30,14.59,72.25,46.77,19.27,27,2.89,28.9,2.89,2.89,9.63,0,9.63,12.54,0,9.63,1.93,43.78,27,48.16,72.25,0,12.81,0,0,3.85,0,0,0.43,29.02,0,43.78,24.08,165.69,14.59,96.33,43.78,5.88,3.85,896.0900000000001

15,03:30-03:45,14.59,72.25,46.77,19.27,27,2.89,28.9,2.89,2.89,9.63,0,9.63,12.54,0,9.63,1.93,43.78,27,48.16,72.25,0,12.23,0,0,3.95,0,0,0.43,29.02,0,43.78,24.08,146.42,14.59,96.33,43.78,4.62,3.85,875.08

16,03:45-04:00,14.59,72.25,46.77,19.27,27,2.89,28.9,2.89,2.89,9.63,0,9.63,12.54,0,9.63,1.93,43.78,27,48.16,72.25,0,11.56,0,0,4.14,0,0,0.43,29.02,0,43.78,24.08,146.42,14.59,96.33,43.78,3.76,3.85,873.74

17,04:00-04:15,14.59,72.25,46.77,19.27,27,2.89,28.9,2.89,2.89,9.63,0,9.63,12.35,0,9.63,1.93,43.78,27,48.16,72.25,0,10.89,0,0,4.24,0,0,0.48,29.02,0,43.78,24.08,146.42,14.59,96.33,43.78,3.08,3.85,872.35

18,04:15-04:30,14.59,72.25,46.77,19.27,27,2.89,28.9,2.89,2.89,9.63,0,9.63,12.35,0,9.63,1.93,43.78,27,48.16,72.25,0,10.31,0,0,4.24,0,0,0.48,29.02,0,43.78,24.08,146.42,14.59,96.33,43.78,2.99,3.85,871.6800000000001

19,04:30-04:45,14.59,72.25,46.77,19.27,27,2.89,28.9,2.89,2.89,9.63,0,9.63,12.35,0,9.63,1.93,43.78,27,48.16,72.25,0,9.63,0,0,4.24,0,0,0.48,29.02,0,43.78,24.08,146.42,14.59,96.33,43.78,2.99,3.85,871

20,04:45-05:00,14.59,72.25,46.77,19.27,27,2.89,28.9,2.89,2.89,9.63,0,9.63,12.35,0,9.63,1.93,43.78,27,48.16,72.25,0,9.63,0,0,4.24,0,0,0.48,29.02,0,43.78,24.08,146.42,14.59,96.33,43.78,2.89,3.85,870.9

21,05:00-05:15,14.59,72.25,46.77,19.27,27,2.89,28.9,2.89,2.89,9.63,0,9.63,12.17,0,9.63,1.93,43.78,32,48.16,72.25,0,9.63,0,0,4.24,0,0,0.48,29.02,0,43.78,24.08,146.42,14.59,96.33,43.78,2.89,3.85,875.72

22,05:15-05:30,14.59,72.25,46.77,19.27,27,2.89,28.9,2.89,2.89,9.63,0,9.63,12.17,0,9.63,1.93,43.78,32,48.16,72.25,0,9.63,0,0,4.53,0,0,0.48,29.02,0,43.78,24.08,146.42,14.59,96.33,43.78,2.99,3.85,876.11

23,05:30-05:45,14.59,72.25,46.77,19.27,27,2.89,28.9,2.89,2.89,9.63,0,9.63,11.43,0,9.63,1.93,43.78,32,48.16,72.25,0,9.63,0,0,4.72,0,0,0.48,29.02,0,43.78,24.08,146.42,14.59,96.33,43.78,2.99,3.85,875.5600000000001

24,05:45-06:00,14.59,72.25,46.77,19.27,27,2.89,28.9,2.89,2.89,9.63,0,9.63,11.43,0,9.63,1.93,43.78,32,48.16,72.25,0,9.63,0,0,5.01,0,0,0.48,29.02,0,43.78,24.08,146.42,14.59,96.33,43.78,3.08,3.85,875.94

25,06:00-06:15,14.59,72.25,46.77,19.27,27,2.89,28.9,2.89,2.89,9.63,0,9.63,11.25,0,9.63,1.93,43.78,32,48.16,72.25,0,9.63,0,0,5.2,0,0,0.58,29.02,0,43.78,24.08,146.42,14.59,96.33,43.78,3.66,3.85,876.6299999999999

26,06:15-06:30,14.59,72.25,46.77,19.27,27,2.89,28.9,2.89,2.89,9.63,0,9.63,11.25,0,9.63,1.93,43.78,32,48.16,72.25,0,9.63,0.28,0,5.49,0,0,0.58,29.02,0,43.78,24.08,146.42,14.59,96.33,43.78,4.14,3.85,877.68

27,06:30-06:45,14.59,72.25,46.77,19.27,27,2.89,28.9,2.89,2.89,9.63,0,9.63,11.25,0,9.63,1.93,43.78,27,48.16,72.25,0,9.63,3.64,0,5.59,0,0,0.58,29.02,0,43.78,24.08,175.32,14.59,96.33,43.78,4.62,3.85,905.52

28,06:45-07:00,14.59,72.25,46.77,19.27,27,2.89,28.9,2.89,2.89,9.63,0,9.63,11.25,0,9.63,1.93,43.78,27,48.16,72.25,0,9.63,6.62,0,5.88,0,0,0.58,29.02,0,43.78,24.08,175.32,14.59,96.33,43.78,5.11,3.85,909.28

29,07:00-07:15,14.59,72.25,46.92,19.27,27,2.89,28.9,2.89,2.89,9.63,0,9.63,10.88,0,9.63,1.93,43.78,27,48.16,72.25,0,9.63,10.28,0,6.07,0,0,0.63,29.02,0,43.78,24.08,175.32,14.59,96.33,43.78,5.2,3.85,913.0500000000001

30,07:15-07:30,14.59,72.25,46.92,19.27,27,2.89,28.9,2.89,2.89,9.63,0,9.63,10.88,0,9.63,1.93,43.78,27,48.16,72.25,0,9.63,14.93,0,5.88,0,0,0.63,29.02,0,43.78,24.08,183.03,14.59,96.33,43.78,5.2,3.85,925.22

31,07:30-07:45,14.59,72.25,46.92,19.27,27,2.89,28.9,2.89,2.89,9.63,0,9.63,10.88,0,9.63,1.93,43.78,27,48.16,72.25,0,9.63,21.29,0,5.68,0,0,0.63,29.02,0,43.78,24.08,183.03,14.59,96.33,43.78,5.11,3.85,931.29

32,07:45-08:00,14.59,72.25,46.92,19.27,27,2.89,28.9,2.89,2.89,9.63,0,9.63,10.88,0,9.63,1.93,43.78,27,48.16,72.25,0,9.63,27.59,0,5.49,0,0,0.63,29.02,0,43.78,24.08,192.66,14.59,96.33,43.78,5.2,3.85,947.12

33,08:00-08:15,14.59,72.25,46.92,19.27,27,2.89,28.9,2.89,2.89,9.63,0,9.63,10.69,0,9.63,1.93,43.78,27,48.16,72.25,3.85,9.63,34.6,0,0,0,0,0.96,29.02,0,43.78,24.08,192.66,14.59,0,43.78,0,3.85,851.1

34,08:15-08:30,14.59,72.25,46.92,19.27,27,2.89,28.9,2.89,2.89,9.63,0,9.63,10.69,0,9.63,1.93,43.78,27,48.16,72.25,3.85,9.63,42,0,0,0,0,0.96,29.02,0,43.78,24.08,192.66,14.59,0,43.78,0,3.85,858.5

35,08:30-08:45,14.59,72.25,46.92,19.27,27,2.89,28.9,2.89,2.89,9.63,0,9.63,10.69,0,9.63,1.93,43.78,27,48.16,72.25,3.85,0,49.42,0,0,0,0,0.96,29.02,0,43.78,24.08,192.66,14.59,0,43.78,0,3.85,856.29

36,08:45-09:00,14.59,72.25,46.92,19.27,27,2.89,28.9,2.89,2.89,9.63,0,9.63,10.69,0,9.63,1.93,43.78,27,48.16,72.25,3.85,0,56.14,0,0,0,0,0.96,29.02,0,43.78,24.08,192.66,14.59,0,43.78,0,3.85,863.01

37,09:00-09:15,14.59,72.25,46.92,19.27,27,2.89,28.9,2.89,2.89,9.63,0,9.63,10.41,0,9.63,1.93,43.78,27,48.16,72.25,6.74,0,62.57,0,0,0,0,0.96,29.02,0,43.78,24.08,192.66,14.59,0,43.78,0,4.82,873.0200000000001

38,09:15-09:30,14.59,72.25,46.92,19.27,27,2.89,28.9,2.89,2.89,9.63,0,9.63,10.41,0,9.63,1.93,43.78,27,48.16,72.25,6.74,0,68.81,0,0,0,0,0.96,29.02,0,43.78,24.08,192.66,14.59,0,43.78,0,4.82,879.26

39,09:30-09:45,14.59,72.25,46.92,19.27,27,2.89,28.9,2.89,2.89,9.63,0,9.63,10.41,0,9.63,1.93,43.78,27,48.16,72.25,6.74,0,74.51,0,0,0,0,0.96,29.02,0,43.78,24.08,192.66,14.59,0,43.78,0,4.82,884.96

40,09:45-10:00,14.59,72.25,46.92,19.27,27,2.89,28.9,2.89,2.89,9.63,0,9.63,10.41,0,9.63,1.93,43.78,27,48.16,72.25,6.74,0,79.7,0,0,0,0,0.96,29.02,0,43.78,24.08,192.66,14.59,0,43.78,0,4.82,890.1500000000001

41,10:00-10:15,14.59,72.25,46.92,19.27,27,2.89,28.9,2.89,2.89,9.63,0,9.63,10.14,0,9.63,1.93,43.78,27,48.16,72.25,8.67,0,87.88,0,0,0,0,0.96,29.02,0,43.78,24.08,192.66,14.59,0,43.78,0,4.82,899.99

42,10:15-10:30,14.59,72.25,46.92,19.27,27,2.89,28.9,2.89,2.89,9.63,0,9.63,10.14,0,9.63,1.93,43.78,27,48.16,72.25,8.67,0,92.11,0,0,0,0,0.96,29.02,0,43.78,24.08,192.66,14.59,0,43.78,0,4.82,904.2199999999999

43,10:30-10:45,14.59,72.25,46.92,19.27,27,2.89,28.9,2.89,2.89,9.63,0,9.63,10.14,0,9.63,1.93,43.78,27,48.16,72.25,8.67,0,95.98,0,0,0,0,0.96,29.02,0,43.78,24.08,192.66,14.59,0,43.78,0,4.82,908.0899999999999

44,10:45-11:00,14.59,72.25,46.92,19.27,27,2.89,28.9,2.89,2.89,9.63,0,9.63,10.14,0,9.63,1.93,43.78,27,48.16,72.25,8.67,0,99.31,0,0,0,0,0.96,29.02,0,43.78,24.08,183.03,14.59,0,43.78,0,4.82,901.79

45,11:00-11:15,14.59,72.25,46.92,19.27,27,2.89,28.9,2.89,2.89,9.63,0,9.63,9.96,0,9.63,1.93,43.78,27,48.16,72.25,8.67,0,100,0,0,0,0,0.96,29.02,0,43.78,24.08,183.03,14.59,0,43.78,0,4.82,902.3000000000001

46,11:15-11:30,14.59,72.25,46.92,19.27,27,2.89,28.9,2.89,2.89,9.63,0,9.63,9.96,0,9.63,1.93,43.78,27,48.16,72.25,8.67,0,100,0,0,0,0,0.96,29.02,0,43.78,24.08,183.03,14.59,0,43.78,0,4.82,902.3000000000001

47,11:30-11:45,14.59,72.25,46.92,19.27,27,2.89,28.9,2.89,2.89,9.63,0,9.63,9.96,0,9.63,1.93,43.78,27,48.16,72.25,8.67,0,100,0,0,0,0,0.96,29.02,0,43.78,24.08,183.03,14.59,0,43.78,0,4.82,902.3000000000001

48,11:45-12:00,14.59,72.25,46.92,19.27,27,2.89,28.9,2.89,2.89,9.63,0,9.63,9.96,0,9.63,1.93,43.78,27,48.16,72.25,8.67,0,100,0,0,0,0,0.96,29.02,0,43.78,24.08,183.03,14.59,0,43.78,0,4.82,902.3000000000001

49,12:00-12:15,14.59,72.25,46.92,19.27,27,2.89,28.9,2.89,2.89,9.63,0,9.63,9.77,0,9.63,1.93,43.78,27,48.16,72.25,8.67,0,100,0,0,0,0,0.96,29.02,0,43.78,24.08,183.03,14.59,0,43.78,0,4.82,902.11

50,12:15-12:30,14.59,72.25,46.92,19.27,27,2.89,28.9,2.89,2.89,9.63,0,9.63,9.77,0,9.63,1.93,43.78,27,48.16,72.25,8.67,0,100,0,0,0,0,0.96,29.02,0,43.78,24.08,183.03,14.59,0,43.78,0,4.82,902.11

51,12:30-12:45,14.59,72.25,46.92,19.27,27,2.89,28.9,2.89,2.89,9.63,0,9.63,9.77,0,9.63,1.93,43.78,27,48.16,72.25,8.67,0,100,0,0,0,0,0.96,29.02,0,43.78,24.08,173.39,14.59,0,43.78,0,4.82,892.47

52,12:45-13:00,14.59,72.25,46.92,19.27,27,2.89,28.9,2.89,2.89,9.63,0,9.63,9.77,0,9.63,1.93,43.78,27,48.16,72.25,8.67,0,100,0,0,0,0,0.96,29.02,0,43.78,24.08,173.39,14.59,0,43.78,0,4.82,892.47

53,13:00-13:15,14.59,72.25,46.92,19.27,27,2.89,28.9,2.89,2.89,9.63,0,9.63,9.5,0,9.63,1.93,43.78,27,48.16,72.25,8.67,0,100,0,0,0,0,0.96,29.02,0,43.78,24.08,173.39,14.59,0,43.78,0,4.82,892.2

54,13:15-13:30,14.59,72.25,46.92,19.27,27,2.89,28.9,2.89,2.89,9.63,0,9.63,9.5,0,9.63,1.93,43.78,27,48.16,72.25,8.67,0,100,0,0,0,0,0.96,29.02,0,43.78,24.08,173.39,14.59,0,43.78,0,4.82,892.2

55,13:30-13:45,14.59,72.25,46.92,19.27,27,2.89,28.9,2.89,2.89,9.63,0,9.63,9.5,0,9.63,1.93,43.78,27,48.16,72.25,8.67,0,100,0,0,0,0,0.96,29.02,0,43.78,24.08,173.39,14.59,0,43.78,0,4.82,892.2

56,13:45-14:00,14.59,72.25,46.92,19.27,27,2.89,28.9,2.89,2.89,9.63,0,9.63,9.5,0,9.63,1.93,43.78,27,48.16,72.25,8.67,0,100,0,0,0,0,0.96,29.02,0,43.78,24.08,173.39,14.59,0,43.78,0,4.82,892.2

57,14:00-14:15,14.59,72.25,46.92,19.27,27,2.89,28.9,2.89,2.89,9.63,0,9.63,9.32,0,9.63,1.93,43.78,27,48.16,72.25,7.71,0,100,0,0,0,0,0.96,29.02,0,43.78,24.08,173.39,14.59,0,43.78,0,5.78,892.0199999999999

58,14:15-14:30,14.59,72.25,46.92,19.27,27,2.89,28.9,2.89,2.89,9.63,0,9.63,9.32,0,9.63,1.93,43.78,27,48.16,72.25,7.71,0,99,0,0,0,0,0.96,29.02,0,43.78,24.08,173.39,14.59,0,43.78,0,5.78,891.0199999999999

59,14:30-14:45,14.59,72.25,46.92,19.27,27,2.89,28.9,2.89,2.89,9.63,0,9.63,9.32,0,9.63,1.93,43.78,27,48.16,72.25,7.71,0,93.63,0,0,0,0,0.96,29.02,0,43.78,24.08,144.5,14.59,0,43.78,0,5.78,856.76

60,14:45-15:00,14.59,72.25,46.92,19.27,27,2.89,28.9,2.89,2.89,9.63,0,9.63,9.32,0,9.63,1.93,43.78,27,48.16,72.25,7.71,0,90.56,0,0,0,0,0.96,29.02,0,43.78,24.08,144.5,14.59,0,43.78,0,5.78,853.6899999999999

61,15:00-15:15,14.59,72.25,46.92,19.27,27,2.89,28.9,2.89,2.89,9.63,0,9.63,9.04,0,9.63,1.93,43.78,27,48.16,72.25,6.74,0,86.09,0,0,0,0,0.96,29.02,0,43.78,24.08,144.5,14.59,0,43.78,0,5.78,847.9699999999999

62,15:15-15:30,14.59,72.25,46.92,19.27,27,2.89,28.9,2.89,2.89,9.63,0,9.63,9.04,0,9.63,1.93,43.78,27,48.16,72.25,6.74,0,81.25,0,0,0,0,0.96,29.02,0,43.78,24.08,144.5,14.59,0,43.78,0,5.78,843.1299999999999

63,15:30-15:45,14.59,72.25,46.92,19.27,27,2.89,28.9,2.89,2.89,9.63,0,9.63,9.04,0,9.63,1.93,43.78,27,48.16,72.25,6.74,0,76.5,0,0,0,0,0.96,29.02,0,43.78,24.08,144.5,14.59,0,43.78,0,5.78,838.3799999999999

64,15:45-16:00,14.59,72.25,46.92,19.27,27,2.89,28.9,2.89,2.89,9.63,0,9.63,9.04,0,9.63,1.93,43.78,27,48.16,72.25,6.74,0,71.31,0,0,0,0,0.96,29.02,0,43.78,24.08,144.5,14.59,0,43.78,0,5.78,833.1899999999998

65,16:00-16:15,14.59,72.25,46.92,19.27,27,2.89,28.9,2.89,2.89,9.63,0,9.63,9.5,50,9.63,1.93,43.78,27,48.16,72.25,3.85,0,64.86,0,0,0,0,0.82,29.02,0,43.78,24.08,144.5,14.59,0,43.78,0,6.74,875.13

66,16:15-16:30,14.59,72.25,46.92,19.27,27,2.89,28.9,2.89,2.89,9.63,0,9.63,9.5,50,9.63,1.93,43.78,27,48.16,72.25,3.85,0,57.99,0,0,0,0,0.82,29.02,0,43.78,24.08,144.5,14.59,0,43.78,0,6.74,868.26

67,16:30-16:45,14.59,72.25,46.92,19.27,27,2.89,28.9,2.89,2.89,9.63,0,9.63,9.5,50,9.63,1.93,43.78,27,48.16,72.25,3.85,0,50.93,0,0,0,0,0.82,29.02,0,43.78,24.08,144.5,14.59,0,43.78,0,6.74,861.1999999999999

68,16:45-17:00,14.59,72.25,46.92,19.27,27,2.89,28.9,2.89,2.89,9.63,0,9.63,9.5,50,9.63,1.93,43.78,27,48.16,72.25,3.85,0,43.63,0,0,0,0,0.82,29.02,0,43.78,24.08,144.5,14.59,0,43.78,0,6.74,853.9

69,17:00-17:15,14.59,72.25,46.92,19.27,27,2.89,28.9,2.89,2.89,9.63,0,9.63,10.23,50,9.63,1.93,43.78,27,48.16,72.25,0,9.63,37.1,16.47,2.31,24.76,0,0.67,29.02,96.33,43.78,24.08,144.5,14.59,0,43.78,13.2,6.74,1006.8

70,17:15-17:30,14.59,72.25,46.92,19.27,27,2.89,28.9,2.89,2.89,9.63,0,9.63,10.23,50,9.63,1.93,43.78,27,48.16,72.25,0,9.63,30.78,16.47,2.31,24.76,0,0.67,29.02,96.33,43.78,24.08,144.5,14.59,0,43.78,14.74,6.74,1002.0199999999999

71,17:30-17:45,14.59,72.25,46.92,19.27,27,2.89,28.9,2.89,2.89,9.63,0,9.63,10.23,50,9.63,1.93,43.78,27,48.16,72.25,0,9.63,24.47,16.47,2.41,49.51,0,0.67,29.02,96.33,43.78,24.08,144.5,14.59,0,43.78,16.47,6.74,1022.29

72,17:45-18:00,14.59,72.25,46.92,19.27,27,2.89,28.9,2.89,2.89,9.63,0,9.63,10.23,50,9.63,1.93,43.78,27,48.16,72.25,0,9.63,18.45,16.47,2.41,74.37,0,0.67,29.02,96.33,43.78,24.08,144.5,14.59,0,43.78,18.5,6.74,1043.16

73,18:00-18:15,14.59,72.25,46.92,19.27,27,2.89,28.9,2.89,2.89,9.63,0,9.63,11.25,50,9.63,1.93,43.78,27,48.16,72.25,0,9.63,13.13,27.45,2.5,49.51,0,0.63,29.02,96.33,43.78,24.08,144.5,14.59,0,43.78,18.69,6.74,1025.22

74,18:15-18:30,14.59,72.25,46.92,19.27,27,2.89,28.9,2.89,2.89,9.63,0,9.63,11.25,50,9.63,1.93,43.78,27,48.16,72.25,0,9.63,8.78,27.45,2.5,49.51,0,0.63,29.02,96.33,43.78,24.08,204.22,14.59,0,43.78,18.88,6.74,1080.7800000000002

75,18:30-18:45,14.59,72.25,46.92,19.27,27,2.89,28.9,2.89,2.89,9.63,0,9.63,11.25,50,9.63,1.93,43.78,27,48.16,72.25,0,9.63,3.69,27.45,2.6,49.51,0,0.63,29.02,96.33,43.78,24.08,204.22,14.59,0,43.78,19.07,6.74,1075.98

76,18:45-19:00,14.59,72.25,46.77,19.27,27,2.89,28.9,2.89,2.89,9.63,0,9.63,11.25,50,9.63,1.93,43.78,27,48.16,72.25,0,9.63,1.49,27.45,2.6,49.51,0,0.63,29.02,96.33,43.78,24.08,204.22,14.59,0,43.78,19.36,6.74,1073.92

