Time,Block,NR/2023/12661/A,NR/2023/12920/F,NR/2023/12169/A,NR/2023/12872/F,NR/2023/11447/A,NR/2023/10786/A,NR/2023/10488/A,NR/2023/12916/F,NR/2023/12813/F,ER/2023/8328/C,NR/2023/13577/C,NR/2023/10651/A,NR/2023/12706/A,NR/2023/12924/F,NR/2023/13585/C,NR/2023/13591/C,NR/2023/13558/D,NR/2023/11709/A,NR/2023/12917/F,NR/2023/10435/A,NR/2023/10436/A,NR/2023/10720/A,NR/2023/11507/A,NR/2023/13568/D,NR/2023/10432/A,NR/2023/11712/A,NR/2023/11953/A,NR/2023/12921/F,NR/2023/13589/C,NR/2023/13369/F,NR/2023/10460/A,NR/2023/13574/C,NR/2023/10947/A,NR/2023/12919/F,NR/2023/12922/F,NR/2023/11266/A,NR/2023/13570/D,NR/2023/10561/A,NR/2023/12915/F,NR/2023/10956/A,NR/2023/13315/F,NR/2023/12814/F,NR/2023/10959/A,NR/2023/12923/F,NR/2023/13472/F,NR/2023/13586/C,NR/2023/13560/D,Total

3,00:30-00:45,62.900000,0.930000,54.190000,0.480000,14.960000,98.710000,48.380000,0.520000,62.900000,0.000000,290.310000,63.140000,6.770000,0.610000,0.000000,29.030000,86.560000,23.170000,0.920000,24.190000,24.190000,23.710000,300.460000,0,43.550000,64.350000,36.510000,0.930000,16.910000,0.000000,23.220000,33.630000,23.220000,0.820000,1.020000,51.630000,0,48.380000,0.370000,100.160000,4.840000,85.640000,25.040000,0.610000,8.230000,58.060000,0.000000,1844.15

4,00:45-01:00,62.900000,0.930000,54.190000,0.480000,14.960000,98.710000,48.380000,0.520000,62.900000,0.000000,254.510000,63.140000,6.770000,0.610000,0.000000,29.030000,86.560000,23.170000,0.920000,24.190000,24.190000,23.710000,300.460000,0,43.550000,64.350000,36.510000,0.930000,16.910000,0.000000,23.220000,33.630000,23.220000,0.820000,1.020000,51.630000,0,48.380000,0.370000,100.160000,4.840000,85.640000,25.040000,0.610000,8.230000,38.710000,0.000000,1789

5,01:00-01:15,62.900000,0.930000,54.190000,0.530000,14.960000,98.710000,48.380000,0.520000,62.900000,0.000000,229.340000,63.140000,6.770000,0.610000,0.000000,24.190000,86.560000,23.170000,0.920000,24.190000,24.190000,23.710000,300.460000,0,43.550000,64.350000,36.510000,0.930000,16.910000,0.000000,23.220000,33.630000,23.220000,0.820000,1.020000,51.630000,0,48.380000,0.370000,100.160000,4.840000,85.640000,25.040000,0.610000,8.230000,19.350000,0.000000,1739.68

6,01:15-01:30,62.900000,0.930000,54.190000,0.530000,14.960000,98.710000,48.380000,0.520000,62.900000,0.000000,190.640000,63.140000,6.770000,0.610000,0.000000,0.000000,86.560000,23.170000,0.920000,24.190000,24.190000,23.710000,300.460000,0,43.550000,64.350000,36.510000,0.930000,16.910000,0.000000,23.220000,33.630000,23.220000,0.820000,1.020000,51.630000,0,48.380000,0.370000,100.160000,4.840000,85.640000,25.040000,0.610000,8.230000,29.030000,0.000000,1686.47

7,01:30-01:45,62.900000,0.930000,54.190000,0.530000,14.960000,98.710000,48.380000,0.520000,62.900000,0.000000,154.830000,63.140000,6.770000,0.610000,0.000000,0.000000,86.560000,23.170000,0.920000,24.190000,24.190000,23.710000,300.460000,0,43.550000,64.350000,36.510000,0.930000,16.910000,0.000000,23.220000,33.630000,23.220000,0.820000,1.020000,51.630000,0,48.380000,0.370000,100.160000,4.840000,85.640000,25.040000,0.610000,8.230000,24.190000,0.000000,1645.82

8,01:45-02:00,62.900000,0.930000,54.190000,0.530000,14.960000,98.710000,48.380000,0.520000,62.900000,0.000000,117.090000,63.140000,6.770000,0.610000,0.000000,0.000000,86.560000,23.170000,0.920000,24.190000,24.190000,23.710000,300.460000,0,43.550000,64.350000,36.510000,0.930000,16.910000,0.000000,23.220000,33.630000,23.220000,0.820000,1.020000,51.630000,0,48.380000,0.370000,100.160000,4.840000,85.640000,25.040000,0.610000,8.230000,0.000000,0.000000,1583.89

9,02:00-02:15,62.900000,0.930000,54.190000,0.480000,14.960000,98.710000,48.380000,0.520000,62.900000,0.000000,79.350000,63.140000,6.770000,0.610000,0.000000,0.000000,86.560000,23.170000,0.920000,24.190000,24.190000,23.710000,300.460000,0,43.550000,64.350000,36.510000,0.930000,16.810000,0.000000,23.220000,33.630000,23.220000,0.820000,1.020000,51.630000,0,48.380000,0.370000,100.160000,4.840000,85.640000,25.040000,0.610000,8.230000,0.000000,0.000000,1546

10,02:15-02:30,62.900000,0.930000,54.190000,0.480000,14.960000,98.710000,48.380000,0.520000,62.900000,0.000000,44.510000,63.140000,6.770000,0.610000,0.000000,0.000000,86.560000,23.170000,0.920000,24.190000,24.190000,23.710000,300.460000,0,43.550000,64.350000,36.510000,0.930000,16.810000,0.000000,23.220000,33.630000,23.220000,0.820000,1.020000,51.630000,0,48.380000,0.370000,100.160000,4.840000,85.640000,25.040000,0.610000,8.230000,0.000000,0.000000,1511.16

11,02:30-02:45,62.900000,0.930000,54.190000,0.480000,14.960000,98.710000,48.380000,0.520000,62.900000,0.000000,6.770000,63.140000,6.770000,0.610000,0.000000,0.000000,86.560000,23.170000,0.920000,24.190000,24.190000,23.710000,300.460000,0,43.550000,64.350000,36.510000,0.930000,16.810000,0.000000,23.220000,33.630000,23.220000,0.820000,1.020000,51.630000,0,48.380000,0.370000,100.160000,4.840000,85.640000,25.040000,0.610000,8.230000,0.000000,0.000000,1473.42

12,02:45-03:00,62.900000,0.930000,54.190000,0.480000,14.960000,98.710000,48.380000,0.520000,62.900000,0.000000,0.000000,63.140000,6.770000,0.610000,0.000000,0.000000,86.560000,23.170000,0.920000,24.190000,24.190000,23.710000,300.460000,0,43.550000,64.350000,36.510000,0.930000,16.810000,0.000000,23.220000,33.630000,23.220000,0.820000,1.020000,51.630000,0,48.380000,0.370000,100.160000,4.840000,85.640000,25.040000,0.610000,8.230000,0.000000,0.000000,1466.65

13,03:00-03:15,62.900000,0.930000,54.190000,0.440000,14.960000,98.710000,48.380000,0.520000,62.900000,0.000000,0.000000,63.140000,6.770000,0.610000,0.000000,0.000000,86.560000,0.000000,0.920000,24.190000,24.190000,23.710000,300.460000,0,43.550000,64.350000,0.000000,0.930000,16.720000,0.000000,23.220000,33.630000,23.220000,0.820000,1.020000,51.630000,0,48.380000,0.370000,100.160000,4.840000,85.640000,25.040000,0.610000,8.230000,0.000000,0.000000,1406.84

14,03:15-03:30,62.900000,0.930000,54.190000,0.440000,14.960000,98.710000,48.380000,0.520000,62.900000,0.000000,0.000000,63.140000,6.770000,0.610000,0.000000,0.000000,86.560000,0.000000,0.920000,24.190000,24.190000,23.710000,300.460000,0,43.550000,64.350000,0.000000,0.930000,16.720000,0.000000,23.220000,33.630000,23.220000,0.820000,1.020000,51.630000,0,48.380000,0.370000,100.160000,4.840000,85.640000,25.040000,0.610000,8.230000,0.000000,0.000000,1406.84

15,03:30-03:45,62.900000,0.930000,54.190000,0.440000,14.960000,98.710000,48.380000,0.520000,62.900000,0.000000,0.000000,63.140000,6.770000,0.610000,0.000000,0.000000,83.940000,0.000000,0.920000,24.190000,24.190000,23.710000,300.460000,0,43.550000,64.350000,0.000000,0.930000,16.720000,0.000000,23.220000,33.630000,23.220000,0.820000,1.020000,51.630000,0,48.380000,0.370000,100.160000,4.840000,85.640000,25.040000,0.610000,8.230000,0.000000,0.000000,1404.22

16,03:45-04:00,62.900000,0.930000,54.190000,0.440000,14.960000,98.710000,48.380000,0.520000,62.900000,0.000000,0.000000,63.140000,6.770000,0.610000,0.000000,0.000000,83.940000,0.000000,0.920000,24.190000,24.190000,23.710000,300.460000,0,43.550000,64.350000,0.000000,0.930000,16.720000,0.000000,23.220000,33.630000,23.220000,0.820000,1.020000,51.630000,0,48.380000,0.370000,100.160000,4.840000,85.640000,25.040000,0.610000,8.230000,0.000000,0.000000,1404.22

17,04:00-04:15,62.900000,0.930000,54.190000,0.440000,14.960000,98.710000,48.380000,0.520000,62.900000,0.000000,0.000000,63.140000,6.770000,0.610000,0.000000,0.000000,83.940000,0.000000,0.920000,24.190000,24.190000,23.710000,300.460000,0,43.550000,64.350000,0.000000,0.930000,16.630000,0.000000,23.220000,32.610000,23.220000,0.820000,1.020000,51.630000,0,48.380000,0.370000,100.160000,4.840000,85.640000,25.040000,0.610000,8.230000,0.000000,0.000000,1403.11

18,04:15-04:30,62.900000,0.930000,54.190000,0.440000,14.960000,98.710000,48.380000,0.520000,62.900000,0.000000,0.000000,63.140000,6.770000,0.610000,0.000000,0.000000,83.940000,0.000000,0.920000,24.190000,24.190000,23.710000,300.460000,0,43.550000,64.350000,0.000000,0.930000,16.630000,0.000000,23.220000,32.610000,23.220000,0.820000,1.020000,51.630000,0,48.380000,0.370000,100.160000,4.840000,85.640000,25.040000,0.610000,8.230000,0.000000,0.000000,1403.11

19,04:30-04:45,62.900000,0.930000,54.190000,0.440000,14.960000,98.710000,48.380000,0.520000,62.900000,0.000000,0.000000,63.140000,6.770000,0.610000,0.000000,0.000000,83.940000,0.000000,0.920000,24.190000,24.190000,23.710000,300.460000,0,43.550000,64.350000,0.000000,0.930000,16.630000,0.000000,23.220000,32.610000,23.220000,0.820000,1.020000,51.630000,0,48.380000,0.370000,100.160000,4.840000,85.640000,25.040000,0.610000,8.230000,0.000000,0.000000,1403.11

20,04:45-05:00,62.900000,0.930000,54.190000,0.440000,14.960000,98.710000,48.380000,0.520000,62.900000,0.000000,0.000000,63.140000,6.770000,0.610000,0.000000,0.000000,83.940000,0.000000,0.920000,24.190000,24.190000,23.710000,300.460000,0,43.550000,64.350000,0.000000,0.930000,16.630000,0.000000,23.220000,32.610000,23.220000,0.820000,1.020000,51.630000,0,48.380000,0.370000,100.160000,4.840000,85.640000,25.040000,0.610000,8.230000,0.000000,0.000000,1403.11

21,05:00-05:15,62.900000,0.930000,54.190000,0.480000,14.960000,0.000000,48.380000,0.520000,62.900000,0.000000,0.000000,63.140000,6.770000,0.610000,0.000000,0.000000,86.560000,0.000000,0.920000,24.190000,24.190000,23.710000,300.460000,0,43.550000,64.350000,0.000000,0.930000,16.440000,0.000000,23.220000,32.610000,23.220000,0.820000,1.020000,51.630000,0,48.380000,0.370000,100.160000,4.840000,85.640000,25.040000,0.610000,8.230000,0.000000,0.000000,1306.87

22,05:15-05:30,62.900000,0.930000,54.190000,0.480000,14.960000,0.000000,48.380000,0.520000,62.900000,0.000000,0.000000,63.140000,6.770000,0.610000,0.000000,0.000000,86.560000,0.000000,0.920000,24.190000,24.190000,23.710000,300.460000,0,43.550000,64.350000,0.000000,0.930000,16.440000,0.000000,23.220000,32.610000,23.220000,0.820000,1.020000,51.630000,0,48.380000,0.370000,100.160000,4.840000,85.640000,25.040000,0.610000,8.230000,0.000000,0.000000,1306.87

23,05:30-05:45,62.900000,0.930000,54.190000,0.480000,14.960000,0.000000,48.380000,0.520000,62.900000,0.000000,0.000000,63.140000,6.770000,0.610000,0.000000,0.000000,86.560000,0.000000,0.920000,24.190000,24.190000,23.710000,300.460000,0,43.550000,64.350000,0.000000,0.930000,16.440000,0.000000,23.220000,32.610000,23.220000,0.820000,1.020000,51.630000,0,48.380000,0.370000,100.160000,4.840000,85.640000,25.040000,0.610000,8.230000,0.000000,0.000000,1306.87

24,05:45-06:00,62.900000,0.930000,54.190000,0.480000,14.960000,0.000000,48.380000,0.520000,62.900000,0.000000,0.000000,63.140000,6.770000,0.610000,0.000000,0.000000,86.560000,0.000000,0.920000,24.190000,24.190000,23.710000,300.460000,0,43.550000,64.350000,0.000000,0.930000,16.440000,0.000000,23.220000,32.610000,23.220000,0.820000,1.020000,51.630000,0,48.380000,0.370000,100.160000,4.840000,85.640000,25.040000,0.610000,8.230000,0.000000,0.000000,1306.87

25,06:00-06:15,62.900000,0.930000,0.000000,0.530000,14.960000,0.000000,48.380000,0.520000,62.900000,0.000000,0.000000,63.140000,6.770000,0.610000,0.000000,0.000000,86.560000,0.000000,0.920000,24.190000,24.190000,23.710000,300.460000,1.4,43.550000,64.350000,0.000000,0.930000,16.440000,0.000000,23.220000,32.610000,0.000000,0.820000,1.020000,51.630000,0.6,48.380000,0.370000,100.160000,4.840000,85.640000,25.040000,0.610000,8.230000,0.000000,0.000000,1231.51

26,06:15-06:30,62.900000,0.930000,0.000000,0.530000,14.960000,0.000000,48.380000,0.520000,62.900000,0.000000,0.000000,63.140000,6.770000,0.610000,0.000000,0.000000,86.560000,0.000000,0.920000,24.190000,24.190000,23.710000,300.460000,2.1,43.550000,64.350000,0.000000,0.930000,16.440000,0.000000,23.220000,32.610000,0.000000,0.820000,1.020000,51.630000,0.9,48.380000,0.370000,100.160000,4.840000,85.640000,25.040000,0.610000,8.230000,0.000000,0.000000,1232.51

27,06:30-06:45,62.900000,0.930000,0.000000,0.530000,14.960000,0.000000,48.380000,0.520000,62.900000,11.000000,0.000000,63.140000,6.770000,0.610000,0.000000,0.000000,86.560000,0.000000,0.920000,24.190000,24.190000,23.710000,300.460000,2.8,43.550000,64.350000,0.000000,0.930000,16.440000,0.000000,23.220000,32.610000,0.000000,0.820000,1.020000,51.630000,1.2,48.380000,0.370000,100.160000,4.840000,85.640000,25.040000,0.610000,8.230000,0.000000,0.000000,1244.51

28,06:45-07:00,62.900000,0.930000,0.000000,0.530000,14.960000,0.000000,48.380000,0.520000,62.900000,50.000000,0.000000,63.140000,6.770000,0.610000,0.000000,0.000000,86.560000,0.000000,0.920000,24.190000,24.190000,23.710000,300.460000,17.5,43.550000,64.350000,0.000000,0.930000,16.440000,0.000000,23.220000,32.610000,0.000000,0.820000,1.020000,51.630000,7.5,48.380000,0.370000,100.160000,4.840000,85.640000,25.040000,0.610000,8.230000,0.000000,0.000000,1304.51

29,07:00-07:15,62.900000,0.930000,0.000000,0.680000,14.960000,0.000000,48.380000,0.520000,62.900000,50.000000,0.000000,63.140000,6.770000,0.610000,0.000000,0.000000,86.560000,0.000000,0.920000,24.190000,24.190000,23.710000,300.460000,24.5,43.550000,64.350000,0.000000,0.930000,16.350000,0.000000,23.220000,31.600000,0.000000,0.820000,1.020000,51.630000,10.5,48.380000,0.370000,100.160000,4.840000,85.640000,25.040000,0.610000,8.230000,0.000000,53.220000,1366.78

30,07:15-07:30,62.900000,0.930000,0.000000,0.680000,14.960000,0.000000,48.380000,0.520000,62.900000,50.000000,0.000000,63.140000,6.770000,0.610000,0.000000,0.000000,86.560000,0.000000,0.920000,24.190000,24.190000,23.710000,300.460000,35,43.550000,64.350000,0.000000,0.930000,16.350000,0.000000,23.220000,31.600000,0.000000,0.820000,1.020000,51.630000,15,48.380000,0.370000,100.160000,4.840000,85.640000,25.040000,0.610000,8.230000,0.000000,53.220000,1381.78

31,07:30-07:45,62.900000,0.930000,0.000000,0.680000,14.960000,0.000000,48.380000,0.520000,62.900000,50.000000,0.000000,63.140000,6.770000,0.610000,0.000000,0.000000,86.560000,0.000000,0.920000,24.190000,24.190000,23.710000,300.460000,45.5,43.550000,64.350000,0.000000,0.930000,16.350000,0.000000,23.220000,31.600000,0.000000,0.820000,1.020000,51.630000,19.5,48.380000,0.370000,100.160000,4.840000,85.640000,25.040000,0.610000,8.230000,0.000000,53.220000,1396.78

32,07:45:08:00,62.900000,0.930000,0.000000,0.680000,14.960000,0.000000,48.380000,0.520000,62.900000,50.000000,0.000000,63.140000,6.770000,0.610000,0.000000,0.000000,86.560000,0.000000,0.920000,24.190000,24.190000,23.710000,300.460000,56.7,43.550000,64.350000,0.000000,0.930000,16.350000,0.000000,23.220000,31.600000,0.000000,0.820000,1.020000,51.630000,24.3,48.380000,0.370000,100.160000,4.840000,85.640000,25.040000,0.610000,8.230000,0.000000,53.220000,1412.78

33,08:00-08:15,62.900000,0.980000,0.000000,0.970000,14.960000,0.000000,48.380000,0.520000,62.900000,50.000000,0.000000,63.140000,6.770000,0.610000,0.000000,0.000000,86.560000,0.000000,0.920000,24.190000,24.190000,23.710000,300.460000,73.5,43.550000,64.350000,0.000000,0.980000,16.260000,0.000000,23.220000,31.600000,0.000000,0.970000,1.020000,51.630000,31.5,48.380000,0.370000,100.160000,4.840000,85.640000,25.040000,0.610000,8.230000,0.000000,53.220000,1437.23

34,08:15-08:30,62.900000,0.980000,0.000000,0.970000,14.960000,0.000000,48.380000,0.520000,62.900000,50.000000,0.000000,63.140000,6.770000,0.610000,0.000000,0.000000,86.560000,0.000000,0.920000,24.190000,24.190000,23.710000,300.460000,87.5,43.550000,64.350000,0.000000,0.980000,16.260000,0.000000,23.220000,31.600000,0.000000,0.970000,1.020000,51.630000,37.5,48.380000,0.370000,100.160000,4.840000,85.640000,25.040000,0.610000,8.230000,0.000000,53.220000,1457.23

35,08:30-08:45,62.900000,0.980000,0.000000,0.970000,14.960000,0.000000,48.380000,0.520000,62.900000,50.000000,0.000000,63.140000,6.770000,0.610000,0.000000,0.000000,86.560000,0.000000,0.920000,24.190000,24.190000,23.710000,300.460000,98,43.550000,64.350000,0.000000,0.980000,16.260000,0.000000,23.220000,31.600000,0.000000,0.970000,1.020000,51.630000,42,48.380000,0.370000,100.160000,4.840000,85.640000,25.040000,0.610000,8.230000,0.000000,53.220000,1472.23

36,08:45:09:00,62.900000,0.980000,0.000000,0.970000,14.960000,0.000000,48.380000,0.520000,62.900000,50.000000,0.000000,63.140000,6.770000,0.610000,0.000000,0.000000,86.560000,0.000000,0.920000,24.190000,24.190000,23.710000,300.460000,109.9,43.550000,64.350000,0.000000,0.980000,16.260000,0.000000,23.220000,31.600000,0.000000,0.970000,1.020000,51.630000,47.1,48.380000,0.370000,100.160000,4.840000,85.640000,25.040000,0.610000,8.230000,0.000000,53.220000,1489.23

37,09:00:09:15,62.900000,0.980000,0.000000,0.970000,14.960000,0.000000,48.380000,0.520000,62.900000,50.000000,0.000000,63.140000,6.770000,0.610000,0.000000,0.000000,86.560000,0.000000,0.920000,24.190000,24.190000,23.710000,300.460000,122.5,43.550000,64.350000,0.000000,0.980000,13.210000,24.190000,23.220000,33.630000,0.000000,0.970000,1.020000,51.630000,52.5,48.380000,0.370000,100.160000,4.840000,85.640000,25.040000,0.610000,8.230000,0.000000,53.220000,1530.4

38,09:15-09:30,62.900000,0.980000,0.000000,0.970000,14.960000,0.000000,48.380000,0.520000,62.900000,50.000000,0.000000,63.140000,6.770000,0.610000,0.000000,0.000000,86.560000,0.000000,0.920000,24.190000,24.190000,23.710000,300.460000,131.6,43.550000,64.350000,0.000000,0.980000,13.210000,24.190000,23.220000,33.630000,0.000000,0.970000,1.020000,51.630000,56.4,48.380000,0.370000,100.160000,4.840000,85.640000,25.040000,0.610000,8.230000,0.000000,53.220000,1543.4

39,09:30-09:45,62.900000,0.980000,0.000000,0.970000,14.960000,0.000000,48.380000,0.520000,62.900000,50.000000,0.000000,63.140000,6.770000,0.610000,0.000000,0.000000,86.560000,0.000000,0.920000,24.190000,24.190000,23.710000,300.460000,143.5,43.550000,64.350000,0.000000,0.980000,13.210000,24.190000,23.220000,33.630000,0.000000,0.970000,1.020000,51.630000,61.5,48.380000,0.370000,100.160000,4.840000,85.640000,25.040000,0.610000,8.230000,0.000000,53.220000,1560.4

40,09:45-10:00,62.900000,0.980000,0.000000,0.970000,14.960000,0.000000,48.380000,0.520000,62.900000,50.000000,0.000000,63.140000,6.770000,0.610000,0.000000,0.000000,86.560000,0.000000,0.920000,24.190000,24.190000,23.710000,300.460000,154,43.550000,64.350000,0.000000,0.980000,13.210000,24.190000,23.220000,33.630000,0.000000,0.970000,1.020000,51.630000,66,48.380000,0.370000,100.160000,4.840000,85.640000,25.040000,0.610000,8.230000,0.000000,53.220000,1575.4

41,10:00-10:15,62.900000,0.980000,0.000000,0.970000,14.960000,90.960000,48.380000,0.520000,62.900000,50.000000,0.000000,63.140000,6.770000,0.610000,0.000000,0.000000,86.560000,0.000000,0.920000,24.190000,24.190000,23.710000,300.460000,161,43.550000,64.350000,0.000000,0.980000,13.210000,24.190000,23.220000,35.670000,0.000000,0.970000,1.020000,51.630000,69,48.380000,0.370000,100.160000,4.840000,85.640000,25.040000,0.610000,8.230000,0.000000,51.290000,1676.47

42,10:15-10:30,62.900000,0.980000,0.000000,0.970000,14.960000,90.960000,48.380000,0.520000,62.900000,50.000000,0.000000,63.140000,6.770000,0.610000,0.000000,0.000000,86.560000,0.000000,0.920000,24.190000,24.190000,23.710000,300.460000,168,43.550000,64.350000,0.000000,0.980000,13.210000,24.190000,23.220000,35.670000,0.000000,0.970000,1.020000,51.630000,72,48.380000,0.370000,100.160000,4.840000,85.640000,25.040000,0.610000,8.230000,0.000000,51.290000,1686.47

43,10:30-10:45,62.900000,0.980000,0.000000,0.970000,14.960000,90.960000,48.380000,0.520000,62.900000,50.000000,0.000000,63.140000,6.770000,0.610000,0.000000,0.000000,86.560000,0.000000,0.920000,24.190000,24.190000,23.710000,300.460000,170.1,43.550000,64.350000,0.000000,0.980000,13.210000,24.190000,23.220000,35.670000,0.000000,0.970000,1.020000,51.630000,72.9,48.380000,0.370000,100.160000,4.840000,85.640000,25.040000,0.610000,8.230000,0.000000,51.290000,1689.47

44,10:45-11:00,62.900000,0.980000,0.000000,0.970000,14.960000,90.960000,48.380000,0.520000,62.900000,50.000000,0.000000,63.140000,6.770000,0.610000,0.000000,0.000000,86.560000,0.000000,0.920000,24.190000,24.190000,23.710000,300.460000,175,43.550000,64.350000,0.000000,0.980000,13.210000,24.190000,23.220000,35.670000,0.000000,0.970000,1.020000,51.630000,75,48.380000,0.370000,100.160000,4.840000,85.640000,25.040000,0.610000,8.230000,0.000000,51.290000,1696.47

45,11:00-11:15,62.900000,0.980000,0.000000,0.970000,14.960000,90.960000,48.380000,0.520000,62.900000,50.000000,0.000000,63.140000,6.770000,0.610000,0.000000,0.000000,86.560000,0.000000,0.920000,24.190000,24.190000,23.710000,300.460000,178.5,43.550000,64.350000,0.000000,0.980000,13.210000,24.190000,23.220000,35.670000,0.000000,0.970000,1.020000,51.630000,76.5,48.380000,0.370000,100.160000,4.840000,85.640000,25.040000,0.610000,8.230000,0.000000,51.290000,1701.47

