Time,Block,NR/2023/12685/D,NR/2023/10944/A,NR/2023/11947/F,NR/2023/10611/A,NR/2023/12688/D,NR/2023/11284/A,NR/2023/12697/C,ER/2023/7718/C,NR/2023/11862/F,NR/2023/10487/A,NR/2023/11941/F,NR/2023/10434/A,NR/2023/11963/F,NR/2023/12686/D,NR/2023/12705/C,NR/2023/11962/F,NR/2023/11955/F,NR/2023/12693/C,NR/2023/12704/C,NR/2023/11330/A,NR/2023/12687/D,NR/2023/10229/A,NR/2023/12701/C,NR/2023/11952/F,NR/2023/10223/A,NR/2023/11961/F,NR/2023/11642/A,NR/2023/11342/A,ER/2023/7716/C,NR/2023/11956/F,NR/2023/11958/F,NR/2023/11960/F,NR/2023/11476/A,NR/2023/11957/F,NR/2023/11959/F,NR/2023/10613/A,NR/2023/11643/A,NR/2023/10344/A,NR/2023/10236/A,Total
10,02:15-02:30,82.750000,27.740000,6.740000,9.920000,0,33.720000,0.000000,0.000000,2.890000,41.420000,62.610000,24.080000,0.610000,0,0.000000,0.580000,0.360000,32.610000,0.000000,64.730000,0,49.850000,13.150000,36.350000,24.920000,1.010000,14.450000,115.600000,0.000000,0.510000,0.820000,0.920000,48.160000,0.900000,0.920000,12.620000,13.000000,12.210000,274.170000,1010.32

11,02:30-02:45,82.750000,27.740000,6.740000,9.920000,0,33.720000,0.000000,0.000000,2.890000,41.420000,62.610000,24.080000,0.610000,0,0.000000,0.580000,0.360000,32.610000,0.000000,64.730000,0,49.850000,13.150000,36.350000,24.920000,1.010000,14.450000,115.600000,0.000000,0.510000,0.820000,0.920000,48.160000,0.900000,0.920000,12.620000,13.000000,12.210000,274.170000,1010.32

12,02:45-03:00,82.750000,27.740000,6.740000,9.920000,0,33.720000,0.000000,0.000000,2.890000,41.420000,62.610000,24.080000,0.610000,0,0.000000,0.580000,0.360000,32.610000,0.000000,64.730000,0,49.850000,13.150000,36.350000,24.920000,1.010000,14.450000,115.600000,0.000000,0.510000,0.820000,0.920000,48.160000,0.900000,0.920000,12.620000,13.000000,12.210000,274.170000,1010.32

13,03:00-03:15,82.750000,27.740000,6.740000,9.920000,0,33.720000,0.000000,0.000000,2.890000,41.420000,62.610000,24.080000,0.610000,0,0.000000,0.580000,0.360000,30.580000,0.000000,64.730000,0,49.850000,13.060000,0.000000,24.920000,1.010000,14.450000,115.600000,0.000000,0.510000,0.820000,0.920000,48.160000,0.900000,0.920000,12.620000,13.000000,12.210000,274.170000,971.85

14,03:15-03:30,82.750000,27.740000,6.740000,9.920000,0,33.720000,0.000000,0.000000,2.890000,41.420000,62.610000,24.080000,0.610000,0,0.000000,0.580000,0.360000,30.580000,0.000000,64.730000,0,49.850000,13.060000,0.000000,24.920000,1.010000,14.450000,115.600000,0.000000,0.510000,0.820000,0.920000,48.160000,0.900000,0.920000,12.620000,13.000000,12.210000,274.170000,971.85

15,03:30-03:45,82.750000,27.740000,6.740000,9.920000,0,33.720000,0.000000,0.000000,2.890000,41.420000,62.610000,24.080000,0.610000,0,0.000000,0.580000,0.360000,30.580000,0.000000,64.730000,0,49.850000,13.060000,0.000000,24.920000,1.010000,14.450000,115.600000,0.000000,0.510000,0.820000,0.920000,48.160000,0.900000,0.920000,12.620000,13.000000,12.210000,274.170000,971.85

16,03:45-04:00,82.750000,27.740000,6.740000,9.920000,0,33.720000,0.000000,0.000000,2.890000,41.420000,62.610000,24.080000,0.610000,0,0.000000,0.580000,0.360000,30.580000,0.000000,64.730000,0,49.850000,13.060000,0.000000,24.920000,1.010000,14.450000,115.600000,0.000000,0.510000,0.820000,0.920000,48.160000,0.900000,0.920000,12.620000,13.000000,12.210000,274.170000,971.85

17,04:00-04:15,82.750000,27.740000,6.740000,9.920000,0,33.720000,0.000000,0.000000,2.890000,41.420000,62.610000,24.080000,0.610000,0,0.000000,0.580000,0.360000,30.580000,0.000000,64.730000,0,49.850000,13.060000,0.000000,24.920000,1.010000,14.450000,115.600000,0.000000,0.510000,0.820000,0.920000,48.160000,0.900000,0.920000,12.620000,13.000000,12.210000,274.170000,971.85

18,04:15-04:30,82.750000,27.740000,6.740000,9.920000,0,33.720000,0.000000,0.000000,2.890000,41.420000,62.610000,24.080000,0.610000,0,0.000000,0.580000,0.360000,30.580000,0.000000,64.730000,0,49.850000,13.060000,0.000000,24.920000,1.010000,14.450000,115.600000,0.000000,0.510000,0.820000,0.920000,48.160000,0.900000,0.920000,12.620000,13.000000,12.210000,274.170000,971.85

19,04:30-04:45,82.750000,27.740000,6.740000,9.920000,0,33.720000,0.000000,0.000000,2.890000,41.420000,62.610000,24.080000,0.610000,0,0.000000,0.580000,0.360000,30.580000,0.000000,64.730000,0,49.850000,13.060000,0.000000,24.920000,1.010000,14.450000,115.600000,0.000000,0.510000,0.820000,0.920000,48.160000,0.900000,0.920000,12.620000,13.000000,12.210000,274.170000,971.85

20,04:45-05:00,82.750000,27.740000,6.740000,9.920000,0,33.720000,0.000000,0.000000,2.890000,41.420000,62.610000,24.080000,0.610000,0,0.000000,0.580000,0.360000,30.580000,0.000000,64.730000,0,49.850000,13.060000,0.000000,24.920000,1.010000,14.450000,115.600000,0.000000,0.510000,0.820000,0.920000,48.160000,0.900000,0.920000,12.620000,13.000000,12.210000,274.170000,971.85

21,05:00-05:15,82.750000,27.740000,6.740000,9.920000,0,33.720000,0.000000,0.000000,2.890000,41.420000,62.610000,24.080000,0.610000,0,0.000000,0.580000,0.360000,30.580000,0.000000,64.730000,0,49.850000,12.880000,0.000000,24.920000,1.010000,14.450000,115.600000,0.000000,0.510000,0.820000,0.920000,48.160000,0.900000,0.920000,0.000000,13.000000,12.210000,274.170000,959.05

22,05:15-05:30,82.750000,27.740000,6.740000,9.920000,0,33.720000,0.000000,0.000000,2.890000,41.420000,62.610000,24.080000,0.610000,0,0.000000,0.580000,0.360000,30.580000,0.000000,64.730000,0,49.850000,12.880000,0.000000,24.920000,1.010000,14.450000,115.600000,0.000000,0.510000,0.820000,0.920000,48.160000,0.900000,0.920000,0.000000,13.000000,12.210000,274.170000,959.05

23,05:30-05:45,82.750000,27.740000,6.740000,9.920000,0,33.720000,0.000000,0.000000,2.890000,41.420000,62.610000,24.080000,0.610000,0,0.000000,0.580000,0.360000,30.580000,0.000000,64.730000,0,49.850000,12.880000,0.000000,24.920000,1.010000,14.450000,115.600000,0.000000,0.510000,0.820000,0.920000,48.160000,0.900000,0.920000,0.000000,13.000000,12.210000,274.170000,959.05

24,05:45-06:00,82.750000,27.740000,6.740000,9.920000,0,33.720000,0.000000,0.000000,2.890000,41.420000,62.610000,24.080000,0.610000,0,0.000000,0.580000,0.360000,30.580000,0.000000,64.730000,0,49.850000,12.880000,0.000000,24.920000,1.010000,14.450000,115.600000,0.000000,0.510000,0.820000,0.920000,48.160000,0.900000,0.920000,0.000000,13.000000,12.210000,274.170000,959.05

25,06:00-06:15,82.750000,0.000000,6.740000,9.920000,0,33.720000,0.000000,0.000000,2.890000,41.420000,62.610000,24.080000,0.610000,0,0.000000,0.580000,0.360000,30.580000,0.000000,0.000000,0,49.850000,12.690000,0.000000,24.920000,1.010000,14.450000,115.600000,0.000000,0.510000,0.820000,0.920000,48.160000,0.900000,0.920000,0.000000,13.000000,12.210000,274.170000,866.39

26,06:15-06:30,82.750000,0.000000,6.740000,9.920000,3.5,33.720000,0.000000,0.000000,2.890000,41.420000,62.610000,24.080000,0.610000,0,0.000000,0.580000,0.360000,30.580000,0.000000,0.000000,1.5,49.850000,12.690000,0.000000,24.920000,1.010000,14.450000,115.600000,0.000000,0.510000,0.820000,0.920000,48.160000,0.900000,0.920000,0.000000,13.000000,12.210000,274.170000,871.39

27,06:30-06:45,82.750000,0.000000,6.740000,9.920000,7,33.720000,0.000000,0.000000,2.890000,41.420000,62.610000,24.080000,0.610000,0,0.000000,0.580000,0.360000,30.580000,0.000000,0.000000,3,49.850000,12.690000,0.000000,24.920000,1.010000,14.450000,115.600000,0.000000,0.510000,0.820000,0.920000,48.160000,0.900000,0.920000,0.000000,13.000000,12.210000,274.170000,876.39

28,06:45-07:00,82.750000,0.000000,6.740000,9.920000,14,33.720000,0.000000,0.000000,2.890000,41.420000,62.610000,24.080000,0.610000,0.24,0.000000,0.580000,0.360000,30.580000,0.000000,0.000000,6,49.850000,12.690000,0.000000,24.920000,1.010000,14.450000,115.600000,0.000000,0.510000,0.820000,0.920000,48.160000,0.900000,0.920000,0.000000,13.000000,12.210000,274.170000,886.63

29,07:00-07:15,82.750000,0.000000,6.740000,9.920000,24.5,33.720000,0.000000,0.000000,2.890000,41.420000,62.610000,24.080000,0.610000,0.34,0.000000,0.580000,0.360000,27.510000,0.000000,0.000000,10.5,49.850000,12.690000,0.000000,24.920000,1.010000,14.450000,115.600000,70.000000,0.510000,0.820000,0.920000,48.160000,0.900000,0.920000,0.000000,13.000000,12.210000,274.170000,968.66

30,07:15-07:30,82.750000,0.000000,6.740000,9.920000,36.4,33.720000,0.000000,0.000000,2.890000,41.420000,62.610000,24.080000,0.610000,0.43,0.000000,0.580000,0.360000,27.510000,0.000000,0.000000,15.6,49.850000,12.690000,0.000000,24.920000,1.010000,14.450000,115.600000,70.000000,0.510000,0.820000,0.920000,48.160000,0.900000,0.920000,0.000000,13.000000,12.210000,274.170000,985.75

31,07:30-07:45,82.750000,0.000000,6.740000,9.920000,51.8,33.720000,0.000000,0.000000,2.890000,41.420000,62.610000,24.080000,0.610000,0.76,0.000000,0.580000,0.360000,27.510000,0.000000,0.000000,22.2,49.850000,12.690000,0.000000,24.920000,1.010000,14.450000,115.600000,70.000000,0.510000,0.820000,0.920000,48.160000,0.900000,0.920000,0.000000,13.000000,12.210000,274.170000,1008.08

32,07:45:08:00,82.750000,0.000000,6.740000,9.920000,56,33.720000,0.000000,0.000000,2.890000,41.420000,62.610000,24.080000,0.610000,1.19,0.000000,0.580000,0.360000,27.510000,0.000000,0.000000,24,49.850000,12.690000,0.000000,24.920000,1.010000,14.450000,115.600000,70.000000,0.510000,0.820000,0.920000,48.160000,0.900000,0.920000,0.000000,13.000000,12.210000,274.170000,1014.51

33,08:00-08:15,82.750000,0.000000,6.740000,9.920000,70,33.720000,0.000000,0.000000,2.890000,41.420000,62.610000,24.080000,0.610000,1.6,0.000000,0.580000,0.360000,27.510000,0.000000,0.000000,30,49.850000,12.600000,0.000000,24.920000,1.010000,14.450000,115.600000,70.000000,0.510000,0.820000,0.920000,48.160000,0.900000,0.920000,0.000000,13.000000,12.210000,274.170000,1034.83

34,08:15-08:30,82.750000,0.000000,6.740000,9.920000,84,33.720000,0.000000,0.000000,2.890000,41.420000,62.610000,24.080000,0.610000,2.07,0.000000,0.580000,0.360000,27.510000,0.000000,0.000000,36,49.850000,12.600000,0.000000,24.920000,1.010000,14.450000,115.600000,70.000000,0.510000,0.820000,0.920000,48.160000,0.900000,0.920000,0.000000,13.000000,12.210000,274.170000,1055.3

35,08:30-08:45,82.750000,0.000000,6.740000,9.920000,98,33.720000,0.000000,0.000000,2.890000,41.420000,62.610000,24.080000,0.610000,2.94,0.000000,0.580000,0.360000,27.510000,0.000000,0.000000,42,49.850000,12.600000,0.000000,24.920000,1.010000,14.450000,115.600000,70.000000,0.510000,0.820000,0.920000,48.160000,0.900000,0.920000,0.000000,13.000000,12.210000,274.170000,1076.17

36,08:45:09:00,82.750000,0.000000,6.740000,9.920000,114.1,33.720000,0.000000,0.000000,2.890000,41.420000,62.610000,24.080000,0.610000,3.42,0.000000,0.580000,0.360000,27.510000,0.000000,0.000000,48.9,49.850000,12.600000,0.000000,24.920000,1.010000,14.450000,115.600000,70.000000,0.510000,0.820000,0.920000,48.160000,0.900000,0.920000,0.000000,13.000000,12.210000,274.170000,1099.65

37,09:00:09:15,82.750000,0.000000,6.740000,9.920000,123.2,33.720000,0.000000,0.000000,2.890000,41.420000,62.610000,24.080000,0.610000,4.43,0.000000,0.580000,0.360000,28.530000,0.000000,0.000000,52.8,49.850000,12.500000,0.000000,24.920000,1.010000,14.450000,115.600000,70.000000,0.510000,0.820000,0.920000,48.160000,0.900000,0.920000,0.000000,13.000000,12.210000,274.170000,1114.58

38,09:15-09:30,82.750000,0.000000,6.740000,9.920000,135.8,33.720000,0.000000,0.000000,2.890000,41.420000,62.610000,24.080000,0.610000,4.91,0.000000,0.580000,0.360000,28.530000,0.000000,0.000000,58.2,49.850000,12.500000,0.000000,24.920000,1.010000,14.450000,115.600000,70.000000,0.510000,0.820000,0.920000,48.160000,0.900000,0.920000,0.000000,13.000000,12.210000,274.170000,1133.06

39,09:30-09:45,82.750000,0.000000,6.740000,9.920000,147,33.720000,0.000000,0.000000,2.890000,41.420000,62.610000,24.080000,0.610000,5.11,0.000000,0.580000,0.360000,28.530000,0.000000,0.000000,63,49.850000,12.500000,0.000000,24.920000,1.010000,14.450000,115.600000,70.000000,0.510000,0.820000,0.920000,48.160000,0.900000,0.920000,0.000000,13.000000,12.210000,274.170000,1149.26

40,09:45-10:00,82.750000,0.000000,6.740000,9.920000,160.3,33.720000,0.000000,0.000000,2.890000,41.420000,62.610000,24.080000,0.610000,5.2,0.000000,0.580000,0.360000,28.530000,0.000000,0.000000,68.7,49.850000,12.500000,0.000000,24.920000,1.010000,14.450000,115.600000,70.000000,0.510000,0.820000,0.920000,48.160000,0.900000,0.920000,0.000000,13.000000,12.210000,274.170000,1168.35

41,10:00-10:15,82.750000,0.000000,6.740000,9.920000,168,33.720000,0.000000,0.000000,2.890000,41.420000,62.610000,24.080000,0.610000,5.78,0.000000,0.580000,0.360000,28.530000,0.000000,0.000000,72,49.850000,12.420000,0.000000,24.920000,1.010000,14.450000,115.600000,70.000000,0.510000,0.820000,0.920000,48.160000,0.900000,0.920000,0.000000,13.000000,12.210000,274.170000,1179.85

42,10:15-10:30,82.750000,0.000000,6.740000,9.920000,178.5,33.720000,0.000000,0.000000,2.890000,41.420000,62.610000,24.080000,0.610000,6.07,0.000000,0.580000,0.360000,28.530000,0.000000,0.000000,76.5,49.850000,12.420000,0.000000,24.920000,1.010000,14.450000,115.600000,70.000000,0.510000,0.820000,0.920000,48.160000,0.900000,0.920000,0.000000,13.000000,12.210000,274.170000,1195.14

43,10:30-10:45,82.750000,0.000000,6.740000,9.920000,180.6,33.720000,0.000000,0.000000,2.890000,41.420000,62.610000,24.080000,0.610000,6.31,0.000000,0.580000,0.360000,28.530000,0.000000,0.000000,77.4,49.850000,12.420000,0.000000,24.920000,1.010000,14.450000,115.600000,70.000000,0.510000,0.820000,0.920000,48.160000,0.900000,0.920000,0.000000,13.000000,12.210000,274.170000,1198.38

44,10:45-11:00,82.750000,0.000000,6.740000,9.920000,182,33.720000,0.000000,0.000000,2.890000,41.420000,62.610000,24.080000,0.610000,6.26,0.000000,0.580000,0.360000,28.530000,0.000000,0.000000,78,49.850000,12.420000,0.000000,24.920000,1.010000,14.450000,115.600000,70.000000,0.510000,0.820000,0.920000,48.160000,0.900000,0.920000,0.000000,13.000000,12.210000,274.170000,1200.33

45,11:00-11:15,82.750000,0.000000,6.740000,9.920000,189,33.720000,0.000000,50.000000,2.890000,41.420000,62.610000,24.080000,0.610000,6.65,0.000000,0.580000,0.360000,28.530000,10.000000,0.000000,81,49.850000,12.230000,0.000000,24.920000,1.010000,14.450000,115.600000,70.000000,0.510000,0.820000,0.920000,48.160000,0.900000,0.920000,0.000000,13.000000,12.210000,274.170000,1270.53

46,11:15-11:30,82.750000,0.000000,6.740000,9.920000,182,33.720000,0.000000,50.000000,2.890000,41.420000,62.610000,24.080000,0.610000,6.84,0.000000,0.580000,0.360000,28.530000,10.000000,0.000000,78,49.850000,12.230000,0.000000,24.920000,1.010000,14.450000,115.600000,70.000000,0.510000,0.820000,0.920000,48.160000,0.900000,0.920000,0.000000,13.000000,12.210000,274.170000,1260.72

47,11:30-11:45,82.750000,0.000000,6.740000,9.920000,189,33.720000,0.000000,50.000000,2.890000,41.420000,62.610000,24.080000,0.610000,6.94,0.000000,0.580000,0.360000,28.530000,10.000000,0.000000,81,49.850000,12.230000,0.000000,24.920000,1.010000,14.450000,115.600000,70.000000,0.510000,0.820000,0.920000,48.160000,0.900000,0.920000,0.000000,13.000000,12.210000,274.170000,1270.82

48,11:45-12:00,82.750000,0.000000,6.740000,9.920000,189,33.720000,0.000000,50.000000,2.890000,41.420000,62.610000,24.080000,0.610000,6.93,0.000000,0.580000,0.360000,28.530000,10.000000,0.000000,81,49.850000,12.230000,0.000000,24.920000,1.010000,14.450000,115.600000,70.000000,0.510000,0.820000,0.920000,48.160000,0.900000,0.920000,0.000000,13.000000,12.210000,274.170000,1270.81

49,12:00-12:15,82.750000,0.000000,6.740000,9.920000,189,33.720000,0.000000,50.000000,2.890000,41.420000,62.610000,24.080000,0.610000,7.71,0.000000,0.580000,0.360000,28.530000,10.000000,0.000000,81,49.850000,12.140000,0.000000,24.920000,1.010000,14.450000,115.600000,70.000000,0.510000,0.820000,0.920000,48.160000,0.900000,0.920000,0.000000,13.000000,12.210000,274.170000,1271.5

50,12:15-12:30,82.750000,0.000000,6.740000,9.920000,189,33.720000,0.000000,50.000000,2.890000,41.420000,62.610000,24.080000,0.610000,7.92,0.000000,0.580000,0.360000,28.530000,10.000000,0.000000,81,49.850000,12.140000,0.000000,24.920000,1.010000,14.450000,115.600000,70.000000,0.510000,0.820000,0.920000,48.160000,0.900000,0.920000,0.000000,13.000000,12.210000,274.170000,1271.71

51,12:30-12:45,82.750000,0.000000,6.740000,9.920000,189,33.720000,0.000000,50.000000,2.890000,41.420000,62.610000,24.080000,0.610000,7.93,0.000000,0.580000,0.360000,28.530000,10.000000,0.000000,81,49.850000,12.140000,0.000000,24.920000,1.010000,14.450000,115.600000,70.000000,0.510000,0.820000,0.920000,48.160000,0.900000,0.920000,0.000000,13.000000,12.210000,274.170000,1271.72

52,12:45-13:00,82.750000,0.000000,6.740000,9.920000,189,33.720000,0.000000,50.000000,2.890000,41.420000,62.610000,24.080000,0.610000,7.91,0.000000,0.580000,0.360000,28.530000,10.000000,0.000000,81,49.850000,12.140000,0.000000,24.920000,1.010000,14.450000,115.600000,70.000000,0.510000,0.820000,0.920000,48.160000,0.900000,0.920000,0.000000,13.000000,12.210000,274.170000,1271.7

53,13:00-13:15,82.750000,0.000000,6.740000,9.920000,189,33.720000,0.000000,50.000000,2.890000,41.420000,62.610000,24.080000,0.610000,8.4,0.000000,0.580000,0.360000,28.530000,10.000000,0.000000,81,49.850000,12.050000,0.000000,24.920000,1.010000,14.450000,115.600000,70.000000,0.510000,0.820000,0.920000,48.160000,0.900000,0.920000,0.000000,13.000000,12.210000,274.170000,1272.1

54,13:15-13:30,82.750000,0.000000,6.740000,9.920000,189,33.720000,0.000000,50.000000,2.890000,41.420000,62.610000,24.080000,0.610000,7.91,0.000000,0.580000,0.360000,28.530000,10.000000,0.000000,81,49.850000,12.050000,0.000000,24.920000,1.010000,14.450000,115.600000,70.000000,0.510000,0.820000,0.920000,48.160000,0.900000,0.920000,0.000000,13.000000,12.210000,274.170000,1271.61

55,13:30-13:45,82.750000,0.000000,6.740000,9.920000,189,33.720000,0.000000,50.000000,2.890000,41.420000,62.610000,24.080000,0.610000,7.91,0.000000,0.580000,0.360000,28.530000,10.000000,0.000000,81,49.850000,12.050000,0.000000,24.920000,1.010000,14.450000,115.600000,70.000000,0.510000,0.820000,0.920000,48.160000,0.900000,0.920000,0.000000,13.000000,12.210000,274.170000,1271.61

56,13:45-14:00,82.750000,0.000000,6.740000,9.920000,184.1,33.720000,0.000000,50.000000,2.890000,41.420000,62.610000,24.080000,0.610000,7.91,0.000000,0.580000,0.360000,28.530000,10.000000,0.000000,78.9,49.850000,12.050000,0.000000,24.920000,1.010000,14.450000,115.600000,70.000000,0.510000,0.820000,0.920000,48.160000,0.900000,0.920000,0.000000,13.000000,12.210000,274.170000,1264.61

57,14:00-14:15,82.750000,0.000000,6.740000,9.920000,182,33.720000,0.000000,50.000000,2.890000,41.420000,62.610000,24.080000,0.610000,7.91,0.000000,0.580000,0.360000,28.530000,10.000000,0.000000,78,49.850000,12.050000,0.000000,24.920000,1.010000,14.450000,115.600000,0.000000,0.510000,0.820000,0.920000,48.160000,0.900000,0.920000,0.000000,13.000000,12.210000,274.170000,1191.61

