Column1,Block,GNA/WR/2025/01/01/8625,NR/30092023/26122029/SH-06,GNA/NR/2025/02/01/5886,GNA/NR/2025/02/16/1380,GNA/SR/2025/02/01/6460,NR/30092023/31122025/SH-07,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/02/01/2143,GNA/NR/2025/02/01/4863,GNARE/NR/2024/12/20/3668,NR/2025/25267/A/55216,NR/2025/25401/C,NR/2025/25266/A/55206,NR/2025/25400/C,NR/2025/25265/A/55208,NR/2024/24418/A/54959,WR/2025/26047/A/55252,NR/2025/25070/A/55305,GNA/WR/2024/11/01/4200,GNA/NR/2025/02/16/1676,GNA/SR/2025/02/01/7432,GNA/NR/2025/02/01/2594,GNA/NR/2025/02/01/9969,GNA/WR/2025/01/01/9606,Total
32,07:45-08:00,0,31,8.65,0,75,31,1.84,23.07,7.21,0.96,0,0,0,0,0,0.48,0,17.3,0,0,0,23.07,23.07,0,242.65

33,08:00-08:15,0,31,8.65,0,75,31,1.84,23.07,7.21,3.85,0,0,0,0,0,0.87,0,17.3,0,0,0,23.07,23.07,0,245.93

34,08:15-08:30,0,31,8.65,0,75,31,1.84,23.07,7.21,8.66,0,0,0,0,0,0.87,0,17.3,0,0,0,23.07,23.07,0,250.74

35,08:30-08:45,0,32,8.65,0,75,0,1.84,23.07,7.21,15.48,0,0,0,0,0,0.87,0,17.3,0,0,0,23.07,23.07,0,227.56

36,08:45-09:00,0,32,8.65,0,75,0,1.84,23.07,7.21,23.03,0.03,0,0.06,0,0.05,0.87,0,17.3,0,0,0,23.07,23.07,0,235.25000000000003

37,09:00-09:15,0,32,8.65,0,75,8.64,2.86,23.07,7.21,41.93,0.09,29.9,0.2,18.84,0.14,0.87,0,17.3,0,0,0,23.07,23.07,0,312.84

38,09:15-09:30,0,32,8.65,0,75,8.64,2.86,23.07,7.21,50.72,0.13,36.43,0.37,12.79,0.27,0.87,0,17.3,0,0,0,23.07,23.07,0,322.45

39,09:30-09:45,0,32,8.65,0,75,17.67,2.86,23.07,7.21,59.33,0.21,38.45,0.47,10.57,0.32,0.87,0,17.3,0,0,0,23.07,23.07,0,340.12000000000006

40,09:45-10:00,0,32,8.65,0,75,17.67,2.86,23.07,7.21,67.92,0.12,38.45,0.28,10.19,0.19,0.87,0,17.3,0,0,0,23.07,23.07,0,347.91999999999996

41,10:00-10:15,0,32,8.65,0,75,25.65,2.86,23.07,7.21,74.67,0.48,38.45,0.32,6.73,0.77,0.87,0,17.3,0,0,0,23.07,23.07,0,360.17

42,10:15-10:30,0,32,8.65,0,75,25.65,2.86,23.07,7.21,82.07,0.48,38.45,0.52,6.54,0.77,0.87,0,17.3,0,0,0,23.07,23.07,0,367.58

43,10:30-10:45,0,26.87,8.65,0,75,25.65,2.86,23.07,7.21,87.29,0.26,38.45,0.51,6.54,0.77,0.87,0,17.3,0,0,0,23.07,23.07,0,367.44

44,10:45-11:00,0,26.87,8.65,0,75,25.65,2.86,23.07,7.21,92.69,0.21,38.45,0.52,6.25,0.77,0.87,0,17.3,0,0,0,23.07,23.07,0,372.50999999999993

45,11:00-11:15,0,26.87,8.65,0,75,26.87,2.86,23.07,7.21,93.33,0.48,38.45,1.06,7.21,0.77,0.87,0,17.3,0,0,0,23.07,23.07,0,376.14

46,11:15-11:30,0,26.87,8.65,0,75,26.87,2.86,23.07,7.21,95,0.48,38.45,1.06,7.11,0.77,0.87,0,17.3,0,0,0,23.07,23.07,0,377.71000000000004

47,11:30-11:45,0,26.87,8.65,0,75,26.87,3.59,23.07,7.21,99.7,0.48,38.45,1.06,5.38,0.77,0.87,0,17.3,0,0,0,23.07,23.07,0,381.41

48,11:45-12:00,0,26.87,8.65,0,75,26.87,3.59,23.07,7.21,100,0.48,38.45,1.06,5.29,0.77,0.87,0,17.3,0,0,0,23.07,23.07,0,381.62

49,12:00-12:15,0,26.87,8.65,0,75,26.87,3.59,23.07,7.21,95.33,0.48,38.45,1.06,5.19,0.77,0.87,0,17.3,0,0,0,23.07,23.07,0,376.85

50,12:15-12:30,0,26.87,8.65,0,75,26.87,3.59,23.07,7.21,95.33,0.48,38.45,1.06,5.19,0.77,0.87,0,17.3,0,0,0,23.07,23.07,0,376.85

51,12:30-12:45,0,26.87,8.65,0,75,26.87,3.59,23.07,7.21,95.33,0.48,38.45,1.06,5.09,0.77,0.87,0,17.3,0,0,0,23.07,23.07,0,376.75

52,12:45-13:00,0,26.87,8.65,0,75,26.87,3.59,23.07,7.21,95.33,0.48,38.45,1.06,5,0.77,0.87,0,17.3,0,0,0,23.07,23.07,0,376.66

53,13:00-13:15,0,26.87,8.65,0,75,26.87,3.59,23.07,7.21,95.33,0.48,38.45,1.06,5,0.35,0.87,0,17.3,0,0,0,23.07,23.07,0,376.24000000000007

54,13:15-13:30,0,26.87,8.65,0,75,26.87,3.59,23.07,7.21,95.33,0.48,38.45,1.06,4.9,0.35,0.87,0,17.3,0,0,0,23.07,23.07,0,376.14000000000004

55,13:30-13:45,0,26.87,8.65,0,75,26.87,3.59,23.07,7.21,95.33,0.48,38.45,1.06,5,0.35,0.87,0,17.3,0,0,0,23.07,23.07,0,376.24000000000007

56,13:45-14:00,0,26.87,8.65,0,75,26.87,3.59,23.07,7.21,95.33,0.48,38.45,1.06,5,0.34,0.87,0,17.3,0,0,0,23.07,23.07,0,376.23

57,14:00-14:15,0,26.87,8.65,0,75,26.87,3.59,23.07,7.21,95.33,0.09,38.45,0.19,5.09,0.12,0.87,0,17.3,0,0,0,23.07,23.07,0,374.84

58,14:15-14:30,0,26.87,8.65,0,75,26.87,3.59,23.07,7.21,95.33,0.09,38.45,0.17,5,0.14,0.87,0,17.3,0,0,0,23.07,23.07,0,374.75

59,14:30-14:45,0,26.87,8.65,0,75,26.87,3.59,23.07,7.21,94.33,0.09,38.45,0.19,3.46,0.13,0.87,0,17.3,0,0,0,23.07,23.07,0,372.21999999999997

60,14:45-15:00,0,26.87,8.65,0,75,26.87,3.59,23.07,7.21,92.76,0.09,38.45,0.18,3.36,0.13,0.87,0,17.3,0,0,0,23.07,23.07,0,370.54

61,15:00-15:15,0,26.87,8.65,0,75,26.87,3.59,23.07,7.21,88.37,0.09,38.45,0.19,3.36,0.13,0.67,0,17.3,0,0,0,23.07,23.07,0,365.96

62,15:15-15:30,0,26.87,8.65,0,75,26.87,3.59,23.07,7.21,83.68,0.09,38.45,0.19,3.46,0.13,0.67,0,17.3,0,0,0,23.07,23.07,0,361.37

63,15:30-15:45,0,26.87,8.65,0,75,26.87,3.59,23.07,7.21,78.12,0,38.45,0,1.92,0,0.67,0,17.3,0,0,0,23.07,23.07,0,353.86000000000007

64,15:45-16:00,0,26.87,8.65,0,75,26.87,3.59,23.07,7.21,75.3,0.13,38.45,0.31,2.11,0.21,0.67,0,17.3,0,0,0,23.07,23.07,0,351.88

65,16:00-16:15,0,26.87,8.65,0,75,26.87,3.59,23.07,7.21,59.46,0.09,38.45,0.23,1.92,0.17,0.53,0,17.3,0,0,0,23.07,23.07,0,335.55000000000007

66,16:15-16:30,0,26.87,8.65,0,75,26.87,3.59,23.07,7.21,50.88,0.07,33.26,0.15,3.56,0.12,0.53,0,17.3,0,0,0,23.07,23.07,0,323.27

67,16:30-16:45,0,26.87,8.65,0,75,26.87,3.59,23.07,7.21,42.77,0.02,29.9,0.04,2.79,0.04,0.53,0,17.3,0,0,0,23.07,23.07,0,310.79

68,16:45-17:00,0,22.92,8.65,0,75,22.92,3.59,23.07,7.21,35.26,0,22.3,0,3.75,0,0.53,0,17.3,0,0,0,23.07,23.07,0,288.64000000000004

69,17:00-17:15,0,22.92,8.65,0,75,22.92,2.94,23.07,7.21,28.67,0,0,0,0,0,0.53,0,17.3,0,0,0,23.07,23.07,0,255.35

70,17:15-17:30,0,22.92,8.65,0,75,22.92,2.94,23.07,7.21,22.39,0,0,0,0,0,0.53,0,17.3,0,0,0,23.07,23.07,0,249.07000000000002

71,17:30-17:45,0,22.92,8.65,0,75,22.92,2.94,23.07,7.21,16.25,0,0,0,0,0,0.53,0,17.3,0,0,0,23.07,23.07,0,242.93

72,17:45-18:00,0,22.92,8.65,0,75,22.92,2.94,23.07,7.21,9.97,0,0,0,0,0,0.53,0,17.3,0,0,0,23.07,23.07,0,236.65

73,18:00-18:15,0,32,8.65,0,75,12.12,2.76,23.07,7.21,2.64,0,0,0,0,0,0.53,38.45,17.3,50,0,0,23.07,23.07,200,515.87

74,18:15-18:30,0,32,8.65,0,75,3.09,2.76,23.07,7.21,1.27,0,0,0,0,0,0.53,38.45,17.3,50,0,0,23.07,23.07,200,505.47

75,18:30-18:45,0,32,8.65,0,75,32,2.76,23.07,7.21,0.28,0,0,0,0,0,0.53,38.45,17.3,50,0,50,23.07,23.07,200,583.39

76,18:45-19:00,0,32,8.65,0,75,32,2.76,23.07,7.21,0.13,0,0,0,0,0,0.53,38.45,17.3,50,0,50,23.07,23.07,200,583.24

77,19:00-19:15,0,32,8.65,0,75,32,2.67,23.07,7.21,0.13,0,0,0,0,0,0.62,38.45,17.3,50,0,50,23.07,23.07,200,583.24

78,19:15-19:30,0,32,8.65,0,75,32,2.67,23.07,7.21,0.13,0,0,0,0,0,0.62,38.45,17.3,50,0,50,23.07,23.07,200,583.24

79,19:30-19:45,0,32,8.65,0,75,32,2.67,23.07,7.21,0,0,0,0,0,0,0.62,38.45,17.3,50,0,50,23.07,23.07,200,583.11

80,19:45-20:00,0,32,8.65,0,75,32,2.67,23.07,7.21,0,0,0,0,0,0,0.62,38.45,17.3,50,0,50,23.07,23.07,200,583.11

81,20:00-20:15,0,32,8.65,0,75,17.67,2.48,23.07,7.21,0,0,0,0,0,0,0.62,38.45,17.3,50,0,50,23.07,23.07,150,518.5899999999999

82,20:15-20:30,0,32,8.65,0,75,17.67,2.48,23.07,7.21,0,0,0,0,0,0,0.62,38.45,17.3,50,0,50,23.07,23.07,150,518.5899999999999

83,20:30-20:45,0,32,8.65,0,75,17.67,3.22,23.07,7.21,0,0,0,0,0,0,0.62,38.45,17.3,50,0,50,23.07,23.07,150,519.3299999999999

84,20:45-21:00,0,32,8.65,0,75,25.65,3.22,23.07,7.21,0,0,0,0,0,0,0.62,38.45,17.3,50,0,50,23.07,23.07,150,527.31

85,21:00-21:15,0,32,8.65,0,75,25.65,3.22,23.07,7.21,0,0,0,0,0,0,0.58,38.45,17.3,50,0,50,23.07,23.07,150,527.27

86,21:15-21:30,0,32,8.65,0,75,25.65,3.22,23.07,7.21,0,0,0,0,0,0,0.58,38.45,17.3,50,0,50,23.07,23.07,150,527.27

87,21:30-21:45,0,32,8.65,0,75,25.65,3.22,23.07,7.21,0,0,0,0,0,0,0.58,38.45,17.3,50,0,50,23.07,23.07,150,527.27

88,21:45-22:00,0,32,8.65,0,75,25.65,3.22,23.07,7.21,0,0,0,0,0,0,0.58,38.45,17.3,50,0,50,23.07,23.07,150,527.27

89,22:00-22:15,0,26.87,8.65,15.85,75,26.87,3.22,23.07,7.21,0,0,0,0,0,0,0.53,38.45,17.3,50,47.56,50,23.07,23.07,150,586.72

90,22:15-22:30,0,26.87,8.65,15.85,75,26.87,3.22,23.07,7.21,0,0,0,0,0,0,0.53,38.45,17.3,50,47.56,50,23.07,23.07,150,586.72

91,22:30-22:45,0,26.87,8.65,15.85,75,26.87,3.22,23.07,7.21,0,0,0,0,0,0,0.53,38.45,17.3,50,47.56,50,23.07,23.07,150,586.72

92,22:45-23:00,0,26.87,8.65,15.85,75,26.87,3.22,23.07,7.21,0,0,0,0,0,0,0.53,38.45,17.3,50,47.56,50,23.07,23.07,150,586.72

93,23:00-23:15,0,26.87,8.65,15.85,75,26.87,3.22,23.07,7.21,0,0,0,0,0,0,0.48,38.45,17.3,50,47.56,50,23.07,23.07,150,586.6700000000001

94,23:15-23:30,0,26.87,8.65,15.85,75,26.87,3.22,23.07,7.21,0,0,0,0,0,0,0.48,38.45,17.3,50,47.56,50,23.07,23.07,150,586.6700000000001

95,23:30-23:45,0,26.87,8.65,15.85,75,26.87,2.67,23.07,7.21,0,0,0,0,0,0,0.48,38.45,17.3,50,47.56,50,23.07,23.07,150,586.12

96,23:45-24:00,0,26.87,8.65,15.85,75,26.87,2.67,23.07,7.21,0,0,0,0,0,0,0.48,38.45,17.3,50,47.56,50,23.07,23.07,150,586.12

