Column1,Block,GNA/WR/2025/04/01/4420,NR/30092023/26122029/SH-06,GNA/SR/2025/04/01/2597,GNA/NR/2025/04/01/1831,GNA/NR/2025/04/16/4327,NR/30092023/31122025/SH-07,GNA/NR/2025/04/01/9334,GNA/NR/2025/04/01/5285,GNA/NR/2025/04/01/7459,GNA/NR/2025/04/01/6490,GNA/NR/2025/04/16/6639,GNA/NR/2025/04/16/1389,GNA/NR/2025/04/16/2139,GNA/NR/2025/04/01/7960,GNA/NR/2025/04/16/8132,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/04/16/2341,GNA/NR/2025/04/01/6216,NR/2025/26031/A/66610,NR/2025/26148/C,NR/2025/26121/C,NR/2025/26151/C,NR/2025/26164/C,NR/2025/26085/A/67006,NR/2025/25945/A/66908,NR/2025/26144/C,NR/2025/26143/C,NR/2025/25955/A/66905,NR/2025/26147/C,NR/2025/26146/C,WR/2025/27350/A/66620,NR/2025/25947/A/66907,NR/2025/25948/A/66906,GNA/NR/2025/04/01/4565,GNA/NR/2025/04/01/1333,NR/2025/26149/C,NR/2025/26142/C,WR/2025/27361/A/66916,GNARE/NR/2024/12/20/3668,NR/2025/25752/A/66485,Total
3,00:30-00:45,0,32,52.5,1.92,72.11,32,2.88,2.88,9.62,9.62,72.11,22.04,96.15,43.7,14.57,9.02,19.23,9.62,3.85,3.37,213.45,28.46,0,0.48,43.7,11.06,17.6,28.97,2.88,5.58,0,43.7,14.57,48.08,2.88,4.62,18.27,24.04,0,0,1017.5300000000003

4,00:45-01:00,0,32,52.5,1.92,72.11,32,2.88,2.88,9.62,9.62,72.11,22.04,96.15,43.7,14.57,9.02,19.23,9.62,3.85,3.46,213.45,28.46,0,0.48,43.7,10.86,18.17,28.97,2.88,6.15,0,43.7,14.57,48.08,2.88,4.62,19.23,24.04,0,0,1019.5200000000002

5,01:00-01:15,0,32,52.5,1.92,72.11,32,2.88,2.88,9.62,9.62,72.11,22.04,96.15,43.7,14.57,9.02,19.23,9.62,3.85,3.65,213.45,28.46,0,0.48,43.7,10.77,18.75,28.97,27.88,6.83,0,43.7,14.57,48.08,2.88,4.62,20.86,24.04,0,0,1047.5100000000004

6,01:15-01:30,0,32,52.5,1.92,72.11,32,2.88,2.88,9.62,9.62,72.11,22.04,96.15,43.7,14.57,9.02,19.23,9.62,3.85,3.75,213.45,28.46,0,0.48,43.7,10.77,19.33,28.97,27.88,6.73,0,43.7,14.57,48.08,2.88,4.62,22.11,24.04,0,0,1049.3400000000001

7,01:30-01:45,0,32,52.5,1.92,72.11,32,2.88,2.88,9.62,9.62,72.11,22.04,96.15,43.7,14.57,9.02,19.23,9.62,3.85,3.85,213.45,28.46,0,0.48,43.7,10.77,19.9,28.97,27.88,6.63,0,43.7,14.57,48.08,2.88,4.62,22.11,24.04,0,0,1049.9100000000003

8,01:45-02:00,0,32,52.5,1.92,72.11,32,2.88,2.88,9.62,9.62,72.11,22.04,96.15,43.7,14.57,9.02,19.23,9.62,3.85,3.75,213.45,28.46,0,0.48,43.7,10.77,19.33,28.97,27.88,6.54,0,43.7,14.57,48.08,2.88,4.62,21.73,24.04,0,0,1048.7700000000002

9,02:00-02:15,0,32,0,1.92,72.11,32,2.88,2.88,9.62,9.62,72.11,22.04,96.15,43.7,14.57,8.92,19.23,9.62,3.85,3.65,213.45,28.46,0,0.48,43.7,9.9,18.75,28.97,27.88,6.44,96.15,43.7,14.57,48.08,2.88,4.62,20.58,24.04,0,0,1089.5200000000002

10,02:15-02:30,0,32,0,1.92,72.11,32,2.88,2.88,9.62,9.62,72.11,22.04,96.15,43.7,14.57,8.92,19.23,9.62,3.85,3.46,213.45,28.46,0,0.48,43.7,9.04,18.17,28.97,27.88,6.25,96.15,43.7,14.57,48.08,2.88,4.62,18.85,24.04,0,0,1085.97

11,02:30-02:45,0,32,0,1.92,72.11,32,2.88,2.88,9.62,9.62,72.11,22.04,96.15,43.7,14.57,8.92,19.23,9.62,3.85,3.37,213.45,28.46,0,0.48,43.7,8.17,17.6,28.97,27.88,6.06,96.15,43.7,14.57,48.08,2.88,4.62,18.17,24.04,0,0,1083.5700000000002

12,02:45-03:00,0,32,0,1.92,72.11,32,2.88,2.88,9.62,9.62,72.11,22.04,96.15,43.7,14.57,8.92,19.23,9.62,3.85,3.37,213.45,28.46,0,0.48,43.7,7.12,17.4,28.97,27.88,5.87,96.15,43.7,14.57,48.08,2.88,4.62,15.86,24.04,0,0,1079.8200000000002

13,03:00-03:15,0,32,0,1.92,72.11,32,2.88,2.88,9.62,9.62,72.11,22.04,96.15,43.7,14.57,8.84,19.23,9.62,3.85,3.27,213.45,28.46,0,0.43,43.7,6.44,17.11,28.97,27.88,5.67,96.15,43.7,14.57,48.08,2.88,4.62,12.21,24.04,0,0,1074.7700000000002

14,03:15-03:30,0,32,0,1.92,72.11,32,2.88,2.88,9.62,9.62,72.11,22.04,96.15,43.7,14.57,8.84,19.23,9.62,3.85,3.27,213.45,28.46,0,0.43,43.7,5.58,16.92,28.97,27.88,5.29,96.15,43.7,14.57,48.08,2.88,4.62,10.58,24.04,0,0,1071.71

15,03:30-03:45,0,32,0,1.92,72.11,32,2.88,2.88,9.62,9.62,72.11,22.04,96.15,43.7,14.57,8.84,19.23,9.62,3.85,3.27,213.45,28.46,0,0.43,43.7,4.62,16.63,28.97,27.88,4.9,96.15,43.7,14.57,48.08,2.88,4.62,9.62,24.04,0,0,1069.11

16,03:45-04:00,0,32,0,1.92,72.11,32,2.88,2.88,9.62,9.62,72.11,22.04,96.15,43.7,14.57,8.84,19.23,9.62,3.85,3.27,213.45,28.46,0,0.43,43.7,3.75,16.44,28.97,27.88,4.52,96.15,43.7,14.57,48.08,2.88,4.62,9.62,24.04,0,0,1067.67

17,04:00-04:15,0,32,0,1.92,72.11,32,2.88,2.88,9.62,9.62,72.11,22.04,96.15,43.7,14.57,8.74,19.23,9.62,3.85,3.17,213.45,28.46,0,0.48,43.7,3.75,16.35,28.97,27.88,4.13,96.15,43.7,14.57,48.08,2.88,4.62,9.62,24.04,0,0,1067.0400000000002

18,04:15-04:30,0,32,0,1.92,72.11,32,2.88,2.88,9.62,9.62,72.11,22.04,96.15,43.7,14.57,8.74,19.23,9.62,3.85,3.17,223.07,28.46,0,0.48,43.7,3.85,16.25,28.97,27.88,3.65,96.15,43.7,14.57,48.08,2.88,4.62,9.62,24.04,0,0,1076.18

19,04:30-04:45,0,32,0,1.92,72.11,32,2.88,2.88,9.62,9.62,72.11,22.04,96.15,43.7,14.57,8.74,19.23,9.62,3.85,3.17,223.07,28.46,0,0.48,43.7,3.85,16.06,28.97,27.88,3.08,96.15,43.7,14.57,48.08,2.88,4.62,9.62,24.04,0,0,1075.42

20,04:45-05:00,0,32,0,1.92,72.11,32,2.88,2.88,9.62,9.62,72.11,22.04,96.15,43.7,14.57,8.74,19.23,9.62,3.85,3.08,223.07,28.46,0,0.48,43.7,3.85,15.48,28.97,27.88,2.6,96.15,43.7,14.57,48.08,2.88,4.62,9.62,24.04,0,0,1074.2700000000002

21,05:00-05:15,0,32,0,1.92,72.11,32,2.88,2.88,9.62,9.62,72.11,22.04,96.15,43.7,14.57,8.56,19.23,9.62,3.85,2.88,223.07,28.46,0,0.48,43.7,3.85,14.9,28.97,42.31,2.12,96.15,43.7,14.57,48.08,2.88,4.62,9.62,24.04,0,0,1087.2600000000002

22,05:15-05:30,0,32,0,1.92,72.11,32,2.88,2.88,9.62,9.62,72.11,22.04,96.15,43.7,14.57,8.56,19.23,9.62,3.85,2.79,223.07,28.46,0,0.48,43.7,3.85,14.33,28.97,42.31,2.02,96.15,43.7,14.57,48.08,2.88,4.62,9.62,24.04,0,0,1086.5

23,05:30-05:45,0,32,0,1.92,72.11,32,2.88,2.88,9.62,9.62,72.11,22.04,96.15,43.7,14.57,8.56,19.23,9.62,3.85,2.69,223.07,28.46,0,0.48,43.7,3.85,13.75,28.97,42.31,1.92,96.15,43.7,14.57,48.08,2.88,4.62,9.62,24.04,0,0,1085.7200000000003

24,05:45-06:00,0,32,0,1.92,72.11,32,2.88,2.88,9.62,9.62,72.11,22.04,96.15,43.7,14.57,8.56,19.23,9.62,3.85,2.4,223.07,18.94,0,0.48,43.7,3.94,12.6,28.97,42.31,1.92,96.15,43.7,14.57,48.08,2.88,4.62,9.62,24.04,0,0,1074.8500000000001

25,06:00-06:15,0,32,0,1.92,72.11,32,2.88,2.88,9.62,9.62,72.11,22.04,96.15,43.7,14.57,8.46,19.23,9.62,3.85,2.21,223.07,18.94,0,0.58,43.7,3.56,11.44,28.97,27.88,1.92,96.15,43.7,14.57,48.08,2.88,4.62,9.62,24.04,0,0,1058.69

26,06:15-06:30,0,32,0,1.92,72.11,32,2.88,2.88,9.62,9.62,72.11,22.04,96.15,43.7,14.57,8.46,19.23,9.62,3.85,1.92,223.07,18.94,0,0.58,43.7,3.46,10.38,28.97,27.88,1.92,96.15,43.7,14.57,48.08,2.88,4.62,9.62,24.04,0.25,0,1057.4900000000002

27,06:30-06:45,0,32,0,1.92,72.11,32,2.88,2.88,9.62,9.62,72.11,22.04,96.15,43.7,14.57,8.46,19.23,9.62,3.85,1.83,242.3,18.94,0,0.58,43.7,3.46,9.23,28.97,27.88,1.92,96.15,43.7,14.57,48.08,2.88,4.62,9.62,24.04,1.87,0,1077.1000000000001

28,06:45-07:00,0,32,0,1.92,72.11,32,2.88,2.88,9.62,9.62,72.11,22.04,96.15,43.7,14.57,8.46,19.23,9.62,3.85,1.54,242.3,18.94,0,0.58,43.7,3.37,7.88,28.97,27.88,1.92,96.15,43.7,14.57,48.08,2.88,4.62,9.62,24.04,5.95,0,1079.4500000000003

29,07:00-07:15,0,32,0,1.92,72.11,32,2.88,2.88,9.62,9.62,72.11,22.04,96.15,43.7,14.57,8.37,19.23,9.62,3.85,1.25,242.3,18.94,0,0.62,43.7,3.37,6.63,28.97,27.88,1.92,96.15,43.7,14.57,48.08,2.88,4.62,9.62,24.04,10.45,0,1082.3600000000001

30,07:15-07:30,0,32,0,1.92,72.11,32,2.88,2.88,9.62,9.62,72.11,22.04,96.15,43.7,14.57,8.37,19.23,9.62,3.85,1.15,242.3,18.94,0,0.62,43.7,3.46,6.15,28.97,27.88,1.92,96.15,43.7,14.57,48.08,2.88,4.62,9.62,24.04,16.86,0,1088.28

31,07:30-07:45,0,32,0,1.92,72.11,32,2.88,2.88,9.62,9.62,72.11,22.04,96.15,43.7,14.57,8.37,19.23,9.62,3.85,1.15,242.3,18.94,0,0.62,43.7,3.46,6.15,28.97,25.96,1.73,96.15,43.7,14.57,48.08,2.88,4.62,1.63,24.04,24.23,0,1085.5500000000004

32,07:45-08:00,0,32,0,1.92,72.11,32,2.88,2.88,9.62,9.62,72.11,22.04,96.15,43.7,14.57,8.37,19.23,9.62,3.85,1.15,242.3,18.94,0,0.62,43.7,3.46,6.15,28.97,25.96,1.54,96.15,43.7,14.57,48.08,2.88,4.62,1.63,24.04,32.87,0,1094.0000000000002

33,08:00-08:15,0,32,0,1.92,72.11,32,2.88,2.88,9.62,9.62,72.11,22.04,96.15,43.7,14.57,8.37,19.23,9.62,3.85,0,223.07,18.94,0,0.96,43.7,0,0,28.97,0,0,0,43.7,14.57,48.08,2.88,0,0,24.04,41.5,3.85,946.9300000000003

34,08:15-08:30,0,32,0,1.92,72.11,32,2.88,2.88,9.62,9.62,72.11,22.04,96.15,43.7,14.57,8.37,19.23,9.62,3.85,0,223.07,18.94,0,0.96,43.7,0,0,28.97,0,0,0,43.7,14.57,48.08,2.88,0,0,24.04,49.61,3.85,955.0400000000003

35,08:30-08:45,0,32,0,1.92,72.11,32,2.88,2.88,9.62,9.62,72.11,22.04,96.15,43.7,14.57,8.37,19.23,9.62,3.85,0,223.07,0,0,0.96,43.7,0,0,28.97,0,0,0,43.7,14.57,48.08,2.88,0,0,24.04,57.58,3.85,944.0700000000003

36,08:45-09:00,0,32,0,1.92,72.11,32,2.88,2.88,9.62,9.62,72.11,22.04,96.15,43.7,14.57,8.37,19.23,9.62,3.85,0,223.07,0,0,0.96,43.7,0,0,28.97,0,0,0,43.7,14.57,48.08,2.88,0,0,24.04,65.28,3.85,951.7700000000002

37,09:00-09:15,0,32,0,1.92,72.11,32,2.88,2.88,9.62,9.62,72.11,22.04,96.15,43.7,14.57,8.19,19.23,9.62,4.81,0,223.07,0,0,0.96,43.7,0,0,28.97,0,0,0,43.7,14.57,48.08,2.88,0,0,24.04,72.47,6.73,962.6200000000002

38,09:15-09:30,0,32,0,1.92,72.11,32,2.88,2.88,9.62,9.62,72.11,22.04,96.15,43.7,14.57,8.19,19.23,9.62,4.81,0,223.07,0,0,0.96,43.7,0,0,28.97,0,0,0,43.7,14.57,48.08,2.88,0,0,24.04,78.91,6.73,969.0600000000002

39,09:30-09:45,0,32,0,1.92,72.11,32,2.88,2.88,9.62,9.62,72.11,22.04,96.15,43.7,14.57,8.19,19.23,9.62,4.81,0,223.07,0,0,0.96,43.7,0,0,28.97,0,0,0,43.7,14.57,48.08,2.88,0,0,24.04,84.88,6.73,975.0300000000002

40,09:45-10:00,0,32,0,1.92,72.11,32,2.88,2.88,9.62,9.62,72.11,22.04,96.15,43.7,14.57,8.19,19.23,9.62,4.81,0,223.07,0,0,0.96,43.7,0,0,28.97,0,0,0,43.7,14.57,48.08,2.88,0,0,24.04,90.92,6.73,981.0700000000002

41,10:00-10:15,0,32,0,1.92,72.11,32,2.88,2.88,9.62,9.62,72.11,22.04,96.15,43.7,14.57,8.1,19.23,9.62,4.81,0,232.68,0,0,0.96,43.7,0,0,28.97,0,0,0,43.7,14.57,48.08,2.88,0,0,24.04,95.19,8.65,996.7800000000003

42,10:15-10:30,0,32,0,1.92,72.11,32,2.88,2.88,9.62,9.62,72.11,22.04,96.15,43.7,14.57,8.1,19.23,9.62,4.81,0,232.68,0,0,0.96,43.7,0,0,28.97,0,0,0,43.7,14.57,48.08,2.88,0,0,24.04,98.52,8.65,1000.1100000000002

43,10:30-10:45,0,32,0,1.92,72.11,32,2.88,2.88,9.62,9.62,72.11,22.04,96.15,43.7,14.57,8.1,19.23,9.62,4.81,0,232.68,0,0,0.96,43.7,0,0,28.97,0,0,0,43.7,14.57,48.08,2.88,0,0,24.04,100,8.65,1001.5900000000003

44,10:45-11:00,0,32,0,1.92,72.11,32,2.88,2.88,9.62,9.62,72.11,22.04,96.15,43.7,14.57,8.1,19.23,9.62,4.81,0,232.68,0,0,0.96,43.7,0,0,28.97,0,0,0,43.7,14.57,48.08,2.88,0,0,24.04,100,8.65,1001.5900000000003

45,11:00-11:15,0,32,0,1.92,72.11,32,2.88,2.88,9.62,9.62,72.11,22.04,96.15,43.7,14.57,8.01,19.23,9.62,4.81,0,232.68,0,0,0.96,43.7,0,0,28.97,0,0,0,43.7,14.57,48.08,2.88,0,0,24.04,100,8.65,1001.5000000000002

46,11:15-11:30,0,32,0,1.92,72.11,32,2.88,2.88,9.62,9.62,72.11,22.04,96.15,43.7,14.57,8.01,19.23,9.62,4.81,0,232.68,0,0,0.96,43.7,0,0,28.97,0,0,0,43.7,14.57,48.08,2.88,0,0,24.04,100,8.65,1001.5000000000002

47,11:30-11:45,0,32,0,1.92,72.11,32,2.88,2.88,9.62,9.62,72.11,22.04,96.15,43.7,14.57,8.01,19.23,9.62,4.81,0,232.68,0,0,0.96,43.7,0,0,28.97,0,0,0,43.7,14.57,48.08,2.88,0,0,24.04,100,8.65,1001.5000000000002

48,11:45-12:00,0,32,0,1.92,72.11,32,2.88,2.88,9.62,9.62,72.11,22.04,96.15,43.7,14.57,8.01,19.23,9.62,4.81,0,232.68,0,0,0.96,43.7,0,0,28.97,0,0,0,43.7,14.57,48.08,2.88,0,0,24.04,100,8.65,1001.5000000000002

49,12:00-12:15,0,32,0,1.92,72.11,32,2.88,2.88,9.62,9.62,72.11,22.04,96.15,43.7,14.57,7.91,19.23,9.62,4.81,0,232.68,0,0,0.96,43.7,0,0,28.97,0,0,0,43.7,14.57,48.08,2.88,0,0,24.04,100,8.65,1001.4000000000003

50,12:15-12:30,0,32,0,1.92,72.11,32,2.88,2.88,9.62,9.62,72.11,22.04,96.15,43.7,14.57,7.91,19.23,9.62,4.81,0,232.68,0,0,0.96,43.7,0,0,28.97,0,0,0,43.7,14.57,48.08,2.88,0,0,24.04,100,8.65,1001.4000000000003

51,12:30-12:45,0,32,0,1.92,72.11,32,2.88,2.88,9.62,9.62,72.11,22.04,96.15,43.7,14.57,7.91,19.23,9.62,4.81,0,232.68,0,0,0.96,43.7,0,0,28.97,0,0,0,43.7,14.57,48.08,2.88,0,0,24.04,100,8.65,1001.4000000000003

52,12:45-13:00,0,32,0,1.92,72.11,32,2.88,2.88,9.62,9.62,72.11,22.04,96.15,43.7,14.57,7.91,19.23,9.62,4.81,0,232.68,0,0,0.96,43.7,0,0,28.97,0,0,0,43.7,14.57,48.08,2.88,0,0,24.04,100,8.65,1001.4000000000003

53,13:00-13:15,0,32,0,1.92,72.11,32,2.88,2.88,9.62,9.62,72.11,22.04,96.15,43.7,14.57,7.83,19.23,9.62,4.81,0,232.68,0,0,0.96,43.7,0,0,28.97,0,0,0,43.7,14.57,48.08,2.88,0,0,24.04,100,8.65,1001.3200000000002

54,13:15-13:30,0,32,0,1.92,72.11,32,2.88,2.88,9.62,9.62,72.11,22.04,96.15,43.7,14.57,7.83,19.23,9.62,4.81,0,232.68,0,0,0.96,43.7,0,0,28.97,0,0,0,43.7,14.57,48.08,2.88,0,0,24.04,100,8.65,1001.3200000000002

55,13:30-13:45,0,32,0,1.92,72.11,32,2.88,2.88,9.62,9.62,72.11,22.04,96.15,43.7,14.57,7.83,19.23,9.62,4.81,0,232.68,0,0,0.96,43.7,0,0,28.97,0,0,0,43.7,14.57,48.08,2.88,0,0,24.04,100,8.65,1001.3200000000002

56,13:45-14:00,0,32,0,1.92,72.11,32,2.88,2.88,9.62,9.62,72.11,22.04,96.15,43.7,14.57,7.83,19.23,9.62,4.81,0,232.68,0,0,0.96,43.7,0,0,28.97,0,0,0,43.7,14.57,48.08,2.88,0,0,24.04,100,8.65,1001.3200000000002

57,14:00-14:15,0,27,0,1.92,72.11,32,2.88,2.88,9.62,9.62,72.11,22.04,96.15,43.7,14.57,7.73,19.23,9.62,5.77,0,232.68,0,0,0.96,43.7,0,0,28.97,0,0,0,43.7,14.57,48.08,2.88,0,0,24.04,100,7.69,996.2200000000003

58,14:15-14:30,0,27,0,1.92,72.11,32,2.88,2.88,9.62,9.62,72.11,22.04,96.15,43.7,14.57,7.73,19.23,9.62,5.77,0,232.68,0,0,0.96,43.7,0,0,28.97,0,0,0,43.7,14.57,48.08,2.88,0,0,24.04,100,7.69,996.2200000000003

59,14:30-14:45,0,27,0,1.92,72.11,32,2.88,2.88,9.62,9.62,72.11,22.04,96.15,43.7,14.57,7.73,19.23,9.62,5.77,0,232.68,0,0,0.96,43.7,0,0,28.97,0,0,0,43.7,14.57,48.08,2.88,0,0,24.04,100,7.69,996.2200000000003

60,14:45-15:00,0,27,0,1.92,72.11,32,2.88,2.88,9.62,9.62,72.11,22.04,96.15,43.7,14.57,7.73,19.23,9.62,5.77,0,213.45,0,0,0.96,43.7,0,0,28.97,0,0,0,43.7,14.57,48.08,2.88,0,0,24.04,98.31,7.69,975.3000000000002

61,15:00-15:15,0,27,0,1.92,72.11,32,2.88,2.88,9.62,9.62,72.11,22.04,96.15,43.7,14.57,8.1,19.23,9.62,5.77,0,213.45,0,0,0.96,43.7,0,0,28.97,0,0,0,43.7,14.57,48.08,2.88,0,0,24.04,94.38,6.25,970.3000000000002

62,15:15-15:30,0,27,0,1.92,72.11,32,2.88,2.88,9.62,9.62,72.11,22.04,96.15,43.7,14.57,8.1,19.23,9.62,5.77,0,213.45,0,0,0.96,43.7,0,0,28.97,0,0,0,43.7,14.57,48.08,2.88,0,0,24.04,90.23,6.25,966.1500000000002

63,15:30-15:45,0,27,0,1.92,72.11,32,2.88,2.88,9.62,9.62,72.11,22.04,96.15,43.7,14.57,8.1,19.23,9.62,5.77,0,213.45,0,0,0.96,43.7,0,0,28.97,0,0,0,43.7,14.57,48.08,2.88,0,0,24.04,85.22,6.25,961.1400000000002

64,15:45-16:00,0,27,0,1.92,72.11,32,2.88,2.88,9.62,9.62,72.11,22.04,96.15,43.7,14.57,8.1,19.23,9.62,5.77,0,213.45,0,0,0.96,43.7,0,0,28.97,0,0,0,43.7,14.57,48.08,2.88,0,0,24.04,80.1,6.35,956.1200000000002

65,16:00-16:15,50,27,0,1.92,72.11,32,2.88,2.88,9.62,9.62,72.11,22.04,96.15,43.7,14.57,8.46,19.23,9.62,6.73,0,213.45,0,0,0.82,43.7,0,0,28.97,17.31,0,0,43.7,14.57,48.08,2.88,0,1.63,24.04,70.81,3.65,1014.2500000000001

66,16:15-16:30,50,27,0,1.92,72.11,32,2.88,2.88,9.62,9.62,72.11,22.04,96.15,43.7,14.57,8.46,19.23,9.62,6.73,0,213.45,0,0,0.82,43.7,0,0,28.97,17.31,0,0,43.7,14.57,48.08,2.88,0,1.63,24.04,64.13,3.75,1007.6700000000002

67,16:30-16:45,50,27,0,1.92,72.11,32,2.88,2.88,9.62,9.62,72.11,22.04,96.15,43.7,14.57,8.46,19.23,9.62,6.73,0,213.45,0,0,0.82,43.7,0,0,28.97,17.31,0,0,43.7,14.57,48.08,2.88,0,1.63,24.04,57.49,3.85,1001.1300000000002

68,16:45-17:00,50,27,0,1.92,72.11,32,2.88,2.88,9.62,9.62,72.11,22.04,96.15,43.7,14.57,8.46,19.23,9.62,6.73,0,213.45,0,0,0.82,43.7,0,0,28.97,17.31,0,0,43.7,14.57,48.08,2.88,0,1.63,24.04,49.96,3.75,993.5000000000002

69,17:00-17:15,50,27,0,1.92,72.11,32,2.88,2.88,9.62,9.62,72.11,22.04,96.15,43.7,14.57,8.84,19.23,9.62,6.73,1.15,213.45,0,24.04,0.67,43.7,12.21,6.15,28.97,17.31,3.08,0,43.7,14.57,48.08,2.88,3.85,1.63,24.04,42.17,0,1032.67

70,17:15-17:30,50,27,0,1.92,72.11,32,2.88,2.88,9.62,9.62,72.11,22.04,96.15,43.7,14.57,8.84,19.23,9.62,6.73,1.15,242.3,0,24.04,0.67,43.7,13.08,6.15,28.97,17.31,3.17,0,43.7,14.57,48.08,2.88,3.85,9.62,24.04,34.11,0,1062.41

