Column1,Block,NR/2025/25551/C,NR/2025/25552/C,GNA/NR/2025/03/01/2563,GNA/NR/2025/03/01/4651,GNA/NR/2025/03/01/8036,GNA/NR/2025/03/01/3469,GNA/NR/2025/03/01/6891,GNA/SR/2025/03/01/7500,GNA/NR/2025/03/01/9482,NR/30092023/26122029/SH-06,GNA/NR/2025/03/01/1906,GNA/WR/2025/03/01/6406,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/WR/2025/01/01/9606,NR/30092023/31122025/SH-07,GNA/NR/2025/03/01/5143,GNA/WR/2025/01/01/8625,NR/2025/25159/A/56717,GNARE/NR/2024/12/20/3668,WR/2025/26426/A/56776,WR/2025/26427/A/56777,WR/2025/26582/A/57083,WR/2025/26499/A/57087,NR/2025/25513/A/56823,Total
43,10:30-10:45,14.4,38.4,23.04,5.76,23.04,6.72,0,0,9.6,26.99,23.04,0,5.05,0,26.99,0,0,0.91,82.37,0,0,0,40.32,0,326.63000000000005

44,10:45-11:00,14.4,38.4,23.04,5.76,23.04,6.72,0,0,9.6,26.99,23.04,0,5.05,0,26.99,0,0,0.91,85.23,0,0,0,40.32,0,329.49

45,11:00-11:15,14.4,38.4,23.04,5.76,23.04,6.72,0,0,9.6,26.99,23.04,0,5.05,0,26.99,0,0,0.91,87.05,0,0,0,40.32,0,331.31

46,11:15-11:30,14.4,38.4,23.04,5.76,23.04,6.72,0,0,9.6,26.99,23.04,0,5.05,0,26.99,0,0,0.91,87.9,0,0,0,40.32,0,332.16

47,11:30-11:45,14.4,38.4,23.04,5.76,23.04,6.72,0,0,9.6,26.99,23.04,0,5.05,0,26.99,0,0,0.91,92.58,0,0,0,40.32,0,336.84000000000003

48,11:45-12:00,14.4,38.4,23.04,5.76,23.04,6.72,0,0,9.6,26.99,23.04,0,5.05,0,26.99,0,0,0.91,92.59,0,0,0,40.32,0,336.85

49,12:00-12:15,14.4,38.4,23.04,5.76,23.04,6.72,0,0,9.6,26.99,23.04,0,4.96,0,26.99,0,0,0.91,92.61,0,0,0,40.32,0,336.78000000000003

50,12:15-12:30,14.4,38.4,23.04,5.76,23.04,6.72,0,0,9.6,26.99,23.04,0,4.96,0,26.99,0,0,0.91,92.63,0,0,0,40.32,0,336.8

51,12:30-12:45,14.4,38.4,23.04,5.76,23.04,6.72,0,0,9.6,26.99,23.04,0,4.96,0,26.99,0,0,0.91,95,0,0,0,40.32,0,339.17

52,12:45-13:00,14.4,38.4,23.04,5.76,23.04,6.72,0,0,9.6,26.99,23.04,0,4.96,0,26.99,0,0,0.91,95,0,0,0,40.32,0,339.17

53,13:00-13:15,14.4,38.4,23.04,5.76,23.04,6.72,0,0,9.6,26.99,23.04,0,4.96,0,26.99,0,0,0.91,98.33,0,0,0,40.32,0,342.5

54,13:15-13:30,14.4,38.4,23.04,5.76,23.04,6.72,0,0,9.6,26.99,23.04,0,4.96,0,26.99,0,0,0.91,98.33,0,0,0,40.32,0,342.5

55,13:30-13:45,14.4,38.4,23.04,5.76,23.04,6.72,0,0,9.6,26.99,23.04,0,4.96,0,26.99,0,0,0.91,98.33,0,0,0,40.32,0,342.5

56,13:45-14:00,14.4,38.4,23.04,5.76,23.04,6.72,0,0,9.6,26.99,23.04,0,4.96,0,26.99,0,0,0.91,98.33,0,0,0,40.32,0,342.5

57,14:00-14:15,14.4,38.4,23.04,5.76,23.04,6.72,0,0,9.6,26.99,23.04,0,4.87,0,26.99,0,0,0.91,98.33,0,0,0,40.32,0,342.41

58,14:15-14:30,14.4,38.4,23.04,5.76,23.04,6.72,0,0,9.6,26.99,23.04,0,4.87,0,26.99,0,0,0.91,98.33,0,0,0,40.32,0,342.41

59,14:30-14:45,14.4,38.4,23.04,5.76,23.04,6.72,0,0,9.6,26.99,23.04,0,4.87,0,26.99,0,0,0.91,89.9,0,0,0,40.32,0,333.98

60,14:45-15:00,14.4,38.4,23.04,5.76,23.04,6.72,0,0,9.6,26.99,23.04,0,4.87,0,26.99,0,0,0.91,86.97,0,0,0,40.32,0,331.05

61,15:00-15:15,14.4,38.4,23.04,5.76,23.04,6.72,0,0,9.6,26.99,23.04,0,4.87,0,26.99,0,0,0.67,90.55,0,0,0,40.32,0,334.39

62,15:15-15:30,14.4,38.4,23.04,5.76,23.04,6.72,0,0,9.6,26.99,23.04,0,4.87,0,26.99,0,0,0.67,85.29,0,0,0,40.32,0,329.13

63,15:30-15:45,14.4,38.4,23.04,5.76,23.04,6.72,0,0,9.6,26.99,23.04,0,4.87,0,26.99,0,0,0.67,79.2,0,0,0,40.32,0,323.04

64,15:45-16:00,14.4,38.4,23.04,5.76,23.04,6.72,0,0,9.6,26.99,23.04,0,4.87,0,26.99,0,0,0.67,73.73,0,0,0,40.32,0,317.57

65,16:00-16:15,14.4,38.4,23.04,5.76,23.04,6.72,0,0,9.6,26.99,23.04,0,4.96,0,26.99,0,0,0.53,62.9,0,0,0,40.32,0,306.69

66,16:15-16:30,14.4,38.4,23.04,5.76,23.04,6.72,0,0,9.6,26.99,23.04,0,4.96,0,26.99,0,0,0.53,55.52,0,0,0,40.32,0,299.31

67,16:30-16:45,14.4,38.4,23.04,5.76,23.04,6.72,0,0,9.6,26.99,23.04,0,4.78,0,26.99,0,0,0.53,47.97,0,0,0,40.32,0,291.58000000000004

68,16:45-17:00,14.4,38.4,23.04,5.76,23.04,6.72,0,0,9.6,26.99,23.04,0,4.78,0,26.99,0,0,0.53,40.66,0,0,0,40.32,0,284.27000000000004

69,17:00-17:15,0,0,36.48,5.76,36.48,6.72,0,0,9.6,26.99,36.48,0,4.78,0,26.99,0,100,0.53,33.27,0,0,0,40.32,0,364.3999999999999

70,17:15-17:30,0,0,36.48,5.76,36.48,6.72,0,0,9.6,26.99,36.48,0,4.78,0,26.99,0,100,0.53,26.2,0,0,0,40.32,0,357.3299999999999

71,17:30-17:45,0,0,36.48,5.76,36.48,6.72,0,0,9.6,26.99,36.48,0,4.78,0,26.99,0,100,0.53,19.54,0,0,0,40.32,0,350.66999999999996

72,17:45-18:00,0,0,36.48,5.76,36.48,6.72,0,0,9.6,26.99,36.48,0,4.78,0,26.99,0,100,0.53,12.12,0,0,0,40.32,0,343.24999999999994

73,18:00-18:15,0,0,36.48,5.76,36.48,6.72,0,0,9.6,32,36.48,0,4.87,100,32,0,100,0.53,7.35,0,0,0,40.32,33.6,482.19

74,18:15-18:30,0,0,36.48,5.76,36.48,6.72,0,0,9.6,31.51,36.48,0,4.87,100,31.51,0,100,0.53,2.49,0,0,0,40.32,33.6,476.34999999999997

75,18:30-18:45,0,0,36.48,5.76,36.48,6.72,0,50,9.6,31,36.48,0,4.87,100,31,0,100,0.53,1.39,0,0,0,40.32,33.6,524.2299999999999

76,18:45-19:00,0,0,36.48,5.76,36.48,6.72,0,50,9.6,31,36.48,0,4.87,100,31,0,100,0.53,0.29,0,0,0,40.32,33.6,523.13

77,19:00-19:15,0,0,36.48,5.76,36.48,6.72,0,50,9.6,31,36.48,0,4.96,100,31,0,100,0.62,0.1,0,0,0,40.32,33.6,523.12

78,19:15-19:30,0,0,36.48,5.76,36.48,6.72,0,50,9.6,31,36.48,0,4.96,100,31,0,100,0.62,0.1,0,0,0,40.32,33.6,523.12

79,19:30-19:45,0,0,36.48,5.76,36.48,6.72,0,50,9.6,31,36.48,0,4.96,100,31,0,100,0.62,0,0,0,0,40.32,33.6,523.02

80,19:45-20:00,0,0,36.48,5.76,36.48,6.72,0,50,9.6,31,36.48,0,4.96,100,31,0,100,0.62,0,0,0,0,40.32,33.6,523.02

81,20:00-20:15,0,0,36.48,5.76,36.48,6.72,0,50,9.6,31.51,36.48,0,4.96,100,31.51,0,100,0.62,0,48,0,0,40.32,33.6,572.0400000000001

82,20:15-20:30,0,0,36.48,5.76,36.48,6.72,0,50,9.6,31.51,36.48,0,4.96,100,31.51,0,100,0.62,0,48,0,0,40.32,33.6,572.0400000000001

83,20:30-20:45,0,0,36.48,5.76,36.48,6.72,0,50,9.6,32,36.48,0,4.96,100,0,0,100,0.62,0,48,0,0,40.32,33.6,541.02

84,20:45-21:00,0,0,36.48,5.76,36.48,6.72,0,50,9.6,32,36.48,0,4.96,100,2.79,0,100,0.62,0,48,0,0,40.32,33.6,543.8100000000001

85,21:00-21:15,0,0,36.48,5.76,36.48,6.72,0,50,9.6,32,36.48,0,4.96,100,12.39,0,100,0.62,0,48,0,0,40.32,33.6,553.4100000000001

86,21:15-21:30,0,0,36.48,5.76,36.48,6.72,0,50,9.6,32,36.48,0,4.96,100,12.39,0,100,0.62,0,48,0,0,40.32,33.6,553.4100000000001

87,21:30-21:45,0,0,36.48,5.76,36.48,6.72,0,50,9.6,32,36.48,0,4.96,100,12.39,0,100,0.62,0,48,0,0,40.32,33.6,553.4100000000001

88,21:45-22:00,0,0,36.48,5.76,36.48,6.72,0,50,9.6,32,36.48,0,4.96,100,12.39,0,100,0.62,0,48,0,0,40.32,33.6,553.4100000000001

89,22:00-22:15,0,0,23.04,5.76,23.04,6.72,55.49,50,9.6,23.22,23.04,0,5.05,100,23.22,166.48,100,0.53,0,48,24,24,40.32,33.6,785.1100000000001

90,22:15-22:30,0,0,23.04,5.76,23.04,6.72,55.49,50,9.6,23.22,23.04,0,5.05,100,23.22,166.48,100,0.53,0,48,24,24,40.32,33.6,785.1100000000001

91,22:30-22:45,0,0,23.04,5.76,23.04,6.72,55.49,50,9.6,23.22,23.04,0,5.05,100,23.22,166.48,100,0.53,0,48,24,24,40.32,33.6,785.1100000000001

92,22:45-23:00,0,0,23.04,5.76,23.04,6.72,55.49,50,9.6,26.99,23.04,0,5.05,100,26.99,166.48,100,0.53,0,48,24,24,40.32,33.6,792.6500000000001

93,23:00-23:15,0,0,23.04,5.76,23.04,6.72,55.49,50,9.6,26.99,23.04,0,5.05,100,26.99,166.48,0,0.48,0,48,24,24,40.32,33.6,692.6000000000001

94,23:15-23:30,0,0,23.04,5.76,23.04,6.72,55.49,50,9.6,26.99,23.04,0,5.05,100,26.99,166.48,0,0.48,0,48,24,24,40.32,33.6,692.6000000000001

95,23:30-23:45,0,0,23.04,5.76,23.04,6.72,55.49,50,9.6,26.99,23.04,0,5.05,100,26.99,166.48,0,0.48,0,48,24,24,40.32,33.6,692.6000000000001

96,23:45-24:00,0,0,23.04,5.76,23.04,6.72,55.49,50,9.6,26.99,23.04,0,5.05,100,26.99,166.48,0,0.48,0,48,24,24,40.32,33.6,692.6000000000001

