Column1,Block,GNARE/NR/2024/12/20/3668,GNA/NR/2025/03/01/2563,GNA/WR/2025/01/01/9606,GNA/SR/2025/03/01/7500,GNA/NR/2025/03/01/3469,GNA/NR/2025/03/01/8036,GNA/NR/2025/03/01/1906,GNA/WR/2025/03/01/6406,GNA/NR/2025/03/01/4651,GNA/NR/2025/03/01/5143,GNA/NR/2025/03/01/6891,GNA/NR/2025/03/01/9482,GNA/NR/2025/03/07/1198,GNA/WR/2025/01/01/8625,NR/30092023/26122029/SH-06,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/31122025/SH-07,WR/2025/26426/A/56319,WR/2025/26427/A/56320,WR/2025/26582/A/56546,WR/2025/26499/A/56548,NR/2025/25496/C,NR/2025/25497/C,NR/2025/25159/A/56284,Total
3,00:30-00:45,0,23.02,0,200,8.63,23.02,22.06,42,5.76,190.26,63.42,17.27,0,0,26.99,4.68,26.99,167.43,47.96,47.96,0,0,0,0.43,917.88

4,00:45-01:00,0,23.02,0,200,8.63,23.02,22.06,42,5.76,190.26,63.42,17.27,0,0,26.99,4.68,26.99,167.43,47.96,47.96,0,0,0,0.43,917.88

5,01:00-01:15,0,23.02,0,200,8.63,23.02,22.06,42,5.76,190.26,63.42,17.27,0,0,26.99,4.68,26.99,167.43,47.96,47.96,0,0,0,0.43,917.88

6,01:15-01:30,0,23.02,0,200,8.63,23.02,22.06,42,5.76,190.26,63.42,17.27,0,0,26.99,4.68,26.99,167.43,47.96,47.96,0,0,0,0.43,917.88

7,01:30-01:45,0,23.02,0,200,8.63,23.02,22.06,42,5.76,190.26,63.42,17.27,0,0,26.99,4.68,26.99,167.43,47.96,47.96,0,0,0,0.43,917.88

8,01:45-02:00,0,23.02,0,200,8.63,23.02,22.06,42,5.76,190.26,63.42,17.27,0,0,26.99,4.68,26.99,167.43,47.96,47.96,0,0,0,0.43,917.88

9,02:00-02:15,0,23.02,0,0,8.63,23.02,22.06,42,5.76,190.26,63.42,17.27,0,0,26.99,4.59,26.99,167.43,47.96,47.96,0,0,0,0.43,717.7900000000001

10,02:15-02:30,0,23.02,0,0,8.63,23.02,22.06,42,5.76,190.26,63.42,17.27,0,0,26.99,4.59,26.99,167.43,47.96,47.96,0,0,0,0.43,717.7900000000001

11,02:30-02:45,0,23.02,0,0,8.63,23.02,22.06,42,5.76,190.26,63.42,17.27,0,0,26.99,4.59,26.99,167.43,47.96,47.96,0,0,0,0.43,717.7900000000001

12,02:45-03:00,0,23.02,0,0,8.63,23.02,22.06,42,5.76,190.26,63.42,17.27,0,0,26.99,4.59,26.99,167.43,47.96,47.96,0,0,0,0.43,717.7900000000001

13,03:00-03:15,0,23.02,0,0,8.63,23.02,22.06,42,5.76,190.26,63.42,17.27,0,0,26.99,4.59,26.99,167.43,47.96,47.96,0,0,0,0.43,717.7900000000001

14,03:15-03:30,0,23.02,0,0,8.63,23.02,22.06,42,5.76,190.26,63.42,17.27,0,0,26.99,4.59,26.99,167.43,47.96,47.96,0,0,0,0.43,717.7900000000001

15,03:30-03:45,0,23.02,0,0,8.63,23.02,22.06,42,5.76,190.26,63.42,17.27,0,0,26.99,4.59,26.99,167.43,47.96,47.96,0,0,0,0.43,717.7900000000001

16,03:45-04:00,0,23.02,0,0,8.63,23.02,22.06,42,5.76,190.26,63.42,17.27,0,0,26.99,4.59,26.99,167.43,47.96,47.96,0,0,0,0.43,717.7900000000001

17,04:00-04:15,0,23.02,0,0,8.63,23.02,22.06,42,5.76,190.26,63.42,17.27,0,0,26.99,4.5,26.99,167.43,47.96,47.96,0,0,0,0.43,717.7

18,04:15-04:30,0,23.02,0,0,8.63,23.02,22.06,42,5.76,190.26,63.42,17.27,0,0,26.99,4.5,26.99,167.43,47.96,47.96,0,0,0,0.43,717.7

19,04:30-04:45,0,23.02,0,0,8.63,23.02,22.06,42,5.76,190.26,63.42,17.27,0,0,26.99,4.5,26.99,167.43,47.96,47.96,0,0,0,0.43,717.7

20,04:45-05:00,0,23.02,0,0,8.63,23.02,22.06,42,5.76,190.26,63.42,17.27,0,0,26.99,4.5,26.99,167.43,47.96,47.96,0,0,0,0.43,717.7

21,05:00-05:15,0,23.02,0,0,8.63,23.02,22.06,42,5.76,190.26,63.42,17.27,0,0,26.99,4.5,26.99,167.43,47.96,47.96,0,0,0,0.48,717.7500000000001

22,05:15-05:30,0,23.02,0,0,8.63,23.02,22.06,42,5.76,190.26,63.42,17.27,0,0,26.99,4.5,26.99,167.43,47.96,47.96,0,0,0,0.48,717.7500000000001

23,05:30-05:45,0,23.02,0,0,10.55,23.02,22.06,42,5.76,190.26,63.42,17.27,0,0,26.99,4.5,26.99,167.43,47.96,47.96,0,0,0,0.48,719.6700000000001

24,05:45-06:00,0,23.02,0,0,10.55,23.02,22.06,42,5.76,190.26,63.42,17.27,0,0,26.99,4.5,26.99,167.43,47.96,47.96,0,0,0,0.48,719.6700000000001

25,06:00-06:15,0,36.45,0,0,12.47,36.45,22.06,42,5.76,0,0,28.78,0,0,2.79,4.4,32,167.43,0,0,0,0,0,0.53,391.12

26,06:15-06:30,0,36.45,0,0,12.47,36.45,22.06,42,5.76,0,0,28.78,0,0,2.79,4.4,32,167.43,0,0,0,0,0,0.53,391.12

27,06:30-06:45,0.13,36.45,0,0,12.47,36.45,22.06,42,5.76,0,0,28.78,0,0,31.51,4.4,31.51,167.43,0,0,0,0,0,0.53,419.47999999999996

28,06:45-07:00,0.4,36.45,0,0,12.47,36.45,22.06,42,5.76,0,0,28.78,0,0,31.51,4.4,31.51,167.43,0,0,0,0,0,0.53,419.75

29,07:00-07:15,0.76,36.45,0,0,12.47,36.45,22.06,0,5.76,0,0,28.78,0,0,31.51,4.4,31.51,167.43,0,0,40.29,0,0,0.58,418.45000000000005

30,07:15-07:30,2.53,36.45,0,0,12.47,36.45,22.06,0,5.76,0,0,28.78,0,0,31.51,4.4,31.51,167.43,0,0,40.29,0,0,0.58,420.22

31,07:30-07:45,6.57,36.45,0,0,12.47,36.45,22.06,0,5.76,0,0,28.78,0,0,31.51,4.4,31.51,167.43,0,0,40.29,0,0,0.58,424.26

32,07:45-08:00,13.03,36.45,0,0,12.47,36.45,22.06,0,5.76,0,0,28.78,0,0,31.51,4.4,31.51,167.43,0,0,40.29,0,0,0.58,430.72

33,08:00-08:15,21.04,36.45,0,0,12.47,36.45,22.06,0,5.76,0,0,28.78,0,0,32,4.32,32,0,0,0,40.29,0,0,0.96,272.58

34,08:15-08:30,29.99,36.45,0,0,12.47,36.45,22.06,0,5.76,0,0,28.78,0,0,32,4.32,25.83,0,0,0,40.29,0,0,0.96,275.35999999999996

35,08:30-08:45,38.88,36.45,0,0,12.47,36.45,22.06,0,5.76,0,0,28.78,0,0,32,4.32,25.87,0,0,0,40.29,0,0,0.96,284.28999999999996

36,08:45-09:00,47.87,36.45,0,0,12.47,36.45,22.06,0,5.76,0,0,28.78,0,0,32,4.32,25.87,0,0,0,40.29,0,0,0.96,293.28

37,09:00-09:15,56.37,23.02,0,0,8.63,23.02,22.06,0,5.76,0,0,17.27,0,0,32,4.32,25.87,0,0,0,40.29,14.39,38.37,0.91,312.28000000000003

38,09:15-09:30,64.55,23.02,0,0,8.63,23.02,22.06,0,5.76,0,0,17.27,0,0,32,4.32,25.87,0,0,0,40.29,14.39,38.37,0.91,320.46

39,09:30-09:45,71.94,23.02,0,0,8.63,23.02,22.06,0,5.76,0,0,17.27,0,0,26.99,4.32,26.99,0,0,0,40.29,14.39,38.37,0.91,323.96000000000004

40,09:45-10:00,78.92,23.02,0,0,8.63,23.02,22.06,0,5.76,0,0,17.27,0,0,26.99,4.32,26.99,0,0,0,40.29,14.39,38.37,0.91,330.94000000000005

41,10:00-10:15,85.52,23.02,0,0,8.63,23.02,22.06,0,5.76,0,0,17.27,0,0,26.99,4.22,26.99,0,0,0,40.29,14.39,38.37,0.91,337.44000000000005

42,10:15-10:30,91.88,23.02,0,0,8.63,23.02,22.06,0,5.76,0,0,17.27,0,0,26.99,4.22,26.99,0,0,0,40.29,14.39,38.37,0.91,343.8

43,10:30-10:45,94.49,23.02,0,0,8.63,23.02,22.06,0,5.76,0,0,17.27,0,0,26.99,4.22,26.99,0,0,0,40.29,14.39,38.37,0.91,346.41

44,10:45-11:00,99.49,23.02,0,0,8.63,23.02,22.06,0,5.76,0,0,17.27,0,0,26.99,4.22,26.99,0,0,0,40.29,14.39,38.37,0.91,351.41

45,11:00-11:15,100,23.02,0,0,8.63,23.02,22.06,0,5.76,0,0,17.27,0,0,26.99,4.13,26.99,0,0,0,40.29,14.39,38.37,0.91,351.83000000000004

46,11:15-11:30,100,23.02,0,0,8.63,23.02,22.06,0,5.76,0,0,17.27,0,0,26.99,4.13,26.99,0,0,0,40.29,14.39,38.37,0.91,351.83000000000004

47,11:30-11:45,100,23.02,0,0,8.63,23.02,22.06,0,5.76,0,0,17.27,0,0,26.99,4.13,26.99,0,0,0,40.29,14.39,38.37,0.91,351.83000000000004

48,11:45-12:00,100,23.02,0,0,8.63,23.02,22.06,0,5.76,0,0,17.27,0,0,26.99,4.13,26.99,0,0,0,40.29,14.39,38.37,0.91,351.83000000000004

49,12:00-12:15,100,23.02,0,0,8.63,23.02,22.06,0,5.76,0,0,17.27,0,0,26.99,4.13,26.99,0,0,0,40.29,14.39,38.37,0.91,351.83000000000004

50,12:15-12:30,100,23.02,0,0,8.63,23.02,22.06,0,5.76,0,0,17.27,0,0,26.99,4.13,26.99,0,0,0,40.29,14.39,38.37,0.91,351.83000000000004

51,12:30-12:45,100,23.02,0,0,8.63,23.02,22.06,0,5.76,0,0,17.27,0,0,26.99,4.13,26.99,0,0,0,40.29,14.39,38.37,0.91,351.83000000000004

52,12:45-13:00,100,23.02,0,0,8.63,23.02,22.06,0,5.76,0,0,17.27,0,0,26.99,4.13,26.99,0,0,0,40.29,14.39,38.37,0.91,351.83000000000004

53,13:00-13:15,100,23.02,0,0,8.63,23.02,22.06,0,5.76,0,0,17.27,0,0,26.99,4.04,26.99,0,0,0,40.29,14.39,38.37,0.91,351.74000000000007

54,13:15-13:30,100,23.02,0,0,8.63,23.02,22.06,0,5.76,0,0,17.27,0,0,26.99,4.04,26.99,0,0,0,40.29,14.39,38.37,0.91,351.74000000000007

55,13:30-13:45,100,23.02,0,0,8.63,23.02,22.06,0,5.76,0,0,17.27,0,0,26.99,4.04,26.99,0,0,0,40.29,14.39,38.37,0.91,351.74000000000007

56,13:45-14:00,100,23.02,0,0,8.63,23.02,22.06,0,5.76,0,0,17.27,0,0,26.99,4.04,26.99,0,0,0,40.29,14.39,38.37,0.91,351.74000000000007

57,14:00-14:15,100,23.02,0,0,8.63,23.02,22.06,0,5.76,0,0,17.27,0,0,26.99,3.95,26.99,0,0,0,40.29,14.39,38.37,0.91,351.65000000000003

58,14:15-14:30,100,23.02,0,0,8.63,23.02,22.06,0,5.76,0,0,17.27,0,0,26.99,3.95,26.99,0,0,0,40.29,14.39,38.37,0.91,351.65000000000003

59,14:30-14:45,100,23.02,0,0,8.63,23.02,22.06,0,5.76,0,0,17.27,0,0,26.99,3.95,26.99,0,0,0,40.29,14.39,38.37,0.91,351.65000000000003

60,14:45-15:00,100,23.02,0,0,8.63,23.02,22.06,0,5.76,0,0,17.27,0,0,26.99,3.95,26.99,0,0,0,40.29,14.39,38.37,0.91,351.65000000000003

61,15:00-15:15,100,23.02,0,0,8.63,23.02,22.06,0,5.76,0,0,17.27,0,0,26.99,3.95,26.99,0,0,0,40.29,14.39,38.37,0.67,351.41

62,15:15-15:30,96.14,23.02,0,0,8.63,23.02,22.06,0,5.76,0,0,17.27,0,0,26.99,3.95,26.99,0,0,0,40.29,14.39,38.37,0.67,347.55

63,15:30-15:45,90.55,23.02,0,0,8.63,23.02,22.06,0,5.76,0,0,17.27,0,0,26.99,3.95,26.99,0,0,0,40.29,14.39,38.37,0.67,341.96000000000004

64,15:45-16:00,85.77,23.02,0,0,8.63,23.02,22.06,0,5.76,0,0,17.27,0,0,26.99,3.95,26.99,0,0,0,40.29,14.39,38.37,0.67,337.18

65,16:00-16:15,79.48,23.02,0,0,8.63,23.02,22.06,0,5.76,0,0,17.27,0,0,26.99,3.95,26.99,0,0,0,40.29,14.39,38.37,0.53,330.75

66,16:15-16:30,73.12,23.02,0,0,8.63,23.02,22.06,0,5.76,0,0,17.27,0,0,26.99,3.95,26.99,0,0,0,40.29,14.39,38.37,0.53,324.39

67,16:30-16:45,65.81,23.02,0,0,8.63,23.02,22.06,0,5.76,0,0,17.27,0,0,26.99,3.95,26.99,0,0,0,40.29,14.39,38.37,0.53,317.08

68,16:45-17:00,58.02,23.02,0,0,8.63,23.02,22.06,0,5.76,0,0,17.27,0,0,26.99,3.95,26.99,0,0,0,40.29,14.39,38.37,0.53,309.28999999999996

69,17:00-17:15,49.87,34.53,0,0,8.63,34.53,22.06,0,5.76,0,0,17.27,0,100,26.99,4.04,26.99,0,0,0,40.29,0,0,0.53,371.49

70,17:15-17:30,41.25,34.53,0,0,8.63,34.53,22.06,0,5.76,0,0,17.27,0,100,26.99,4.04,26.99,0,0,0,40.29,0,0,0.53,362.87

71,17:30-17:45,32.2,34.53,0,0,8.63,34.53,22.06,0,5.76,0,0,17.27,0,100,26.99,4.04,26.99,0,0,0,40.29,0,0,0.53,353.82

72,17:45-18:00,23.41,34.53,0,0,8.63,34.53,22.06,0,5.76,0,0,17.27,0,100,26.99,4.04,26.99,0,0,0,40.29,0,0,0.53,345.03000000000003

73,18:00-18:15,15.88,36.45,100,0,12.47,36.45,22.06,0,5.76,0,0,28.78,0,100,32,4.13,32,0,0,0,40.29,0,0,0.53,466.8

74,18:15-18:30,8.66,36.45,100,0,12.47,36.45,22.06,0,5.76,0,0,28.78,0,100,32,4.13,32,0,0,0,40.29,0,0,0.53,459.58

75,18:30-18:45,3.22,36.45,100,50,12.47,36.45,22.06,0,5.76,0,0,28.78,0,100,31.54,4.13,31.54,0,0,0,40.29,0,0,0.53,503.2200000000001

76,18:45-19:00,0.02,36.45,100,50,12.47,36.45,22.06,0,5.76,0,0,28.78,0,100,31.54,4.13,31.54,0,0,0,40.29,0,0,0.53,500.02000000000004

77,19:00-19:15,0,36.45,100,50,12.47,36.45,22.06,0,5.76,0,0,28.78,71.94,100,31.54,4.22,31.54,0,0,0,40.29,0,0,0.62,572.12

78,19:15-19:30,0,36.45,100,50,12.47,36.45,22.06,0,5.76,0,0,28.78,71.94,100,31.54,4.22,31.54,0,0,0,40.29,0,0,0.62,572.12

79,19:30-19:45,0,36.45,100,50,12.47,36.45,22.06,0,5.76,0,0,28.78,71.94,100,31.54,4.22,31.54,0,0,0,40.29,0,0,0.62,572.12

80,19:45-20:00,0,36.45,100,50,12.47,36.45,22.06,0,5.76,0,0,28.78,71.94,100,31.54,4.22,31.54,0,0,0,40.29,0,0,0.62,572.12

81,20:00-20:15,0,36.45,100,50,12.47,36.45,22.06,0,5.76,0,0,28.78,71.94,100,31.54,4.32,31.54,47.96,0,0,40.29,0,0,0.62,620.1800000000001

82,20:15-20:30,0,36.45,100,50,12.47,36.45,22.06,0,5.76,0,0,28.78,71.94,100,31.54,4.32,31.54,47.96,0,0,40.29,0,0,0.62,620.1800000000001

83,20:30-20:45,0,36.45,100,50,12.47,36.45,22.06,0,5.76,0,0,28.78,71.94,100,31.54,4.32,31.54,47.96,0,0,40.29,0,0,0.62,620.1800000000001

84,20:45-21:00,0,36.45,100,50,12.47,36.45,22.06,0,5.76,0,0,28.78,71.94,100,31.54,4.32,31.54,47.96,0,0,40.29,0,0,0.62,620.1800000000001

85,21:00-21:15,0,23.02,100,50,8.63,23.02,22.06,0,5.76,0,0,17.27,0,100,32,4.5,32,47.96,0,0,40.29,0,0,0.62,507.13

86,21:15-21:30,0,23.02,100,50,8.63,23.02,22.06,0,5.76,0,0,17.27,0,100,32,4.5,32,47.96,0,0,40.29,0,0,0.62,507.13

87,21:30-21:45,0,23.02,100,50,8.63,23.02,22.06,0,5.76,0,0,17.27,0,100,32,4.5,32,47.96,0,0,40.29,0,0,0.62,507.13

88,21:45-22:00,0,23.02,100,50,8.63,23.02,22.06,0,5.76,0,0,17.27,0,100,32,4.5,32,47.96,0,0,40.29,0,0,0.62,507.13

89,22:00-22:15,0,23.02,100,50,8.63,23.02,22.06,0,5.76,190.26,63.42,17.27,0,100,32,4.59,32,47.96,23.98,23.98,40.29,0,0,0.53,808.7700000000001

90,22:15-22:30,0,23.02,100,50,8.63,23.02,22.06,0,5.76,190.26,63.42,17.27,0,100,32,4.59,32,47.96,23.98,23.98,40.29,0,0,0.53,808.7700000000001

91,22:30-22:45,0,23.02,100,50,8.63,23.02,22.06,0,5.76,190.26,63.42,17.27,0,100,26.99,4.59,26.99,47.96,23.98,23.98,40.29,0,0,0.53,798.7500000000001

92,22:45-23:00,0,23.02,100,50,8.63,23.02,22.06,0,5.76,190.26,63.42,17.27,0,100,26.99,4.59,26.99,47.96,23.98,23.98,40.29,0,0,0.53,798.7500000000001

93,23:00-23:15,0,23.02,100,50,8.63,23.02,22.06,0,5.76,190.26,63.42,17.27,0,0,26.99,4.59,26.99,47.96,23.98,23.98,40.29,0,0,0.48,698.7

94,23:15-23:30,0,23.02,100,50,8.63,23.02,22.06,0,5.76,190.26,63.42,17.27,0,0,26.99,4.59,26.99,47.96,23.98,23.98,40.29,0,0,0.48,698.7

95,23:30-23:45,0,23.02,100,50,8.63,23.02,22.06,0,5.76,190.26,63.42,17.27,0,0,26.99,4.59,26.99,47.96,23.98,23.98,40.29,0,0,0.48,698.7

96,23:45-24:00,0,23.02,100,50,8.63,23.02,22.06,0,5.76,190.26,63.42,17.27,0,0,26.99,4.59,26.99,47.96,23.98,23.98,40.29,0,0,0.48,698.7

