Column1,Block,NR/2024/24368/C,NR/2024/24227/A/46119,NR/2024/24367/C,GNA/NR/2024/12/01/1766,GNA/NR/2024/12/01/3428,GNA/NR/2024/12/01/1599,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/26122029/SH-06,GNA/NR/2024/12/01/1475,GNA/WR/2024/10/15/7089,GNA/NR/2024/12/01/2197,GNA/NR/2024/12/01/1899,NR/30092023/31122025/SH-07,GNA/NR/2024/12/01/7739,NER/2024/2770/A/46211,NR/2024/24052/A/46010,NR/2024/24377/C,NR/2024/23952/A/45992,NR/2024/24051/A/46011,NR/2024/24370/C,NR/2024/24060/A/46250,GNA/WR/2024/11/01/4200,NR/2024/24146/A/46000,NR/2024/24097/A/46004,NR/2024/24376/C,NR/2024/24088/A/46006,WR/2024/25054/A/46216,NR/2024/24224/A/46114,NR/2024/24225/A/46117,NR/2024/24369/C,NR/2024/24071/A/46009,GNA/SR/2024/12/01/6968,Total
3,00:30-00:45,0,0,0,25.97,8.66,95.13,1.65,31,25.97,0,25.97,8.66,31,31.71,0,2.89,0,0.43,0,0,17.31,0,5.77,7.69,0,0.96,0,0,0,0,0,150,470.7699999999999

4,00:45-01:00,0,0,0,25.97,8.66,95.13,1.65,31,25.97,0,25.97,8.66,31,31.71,0,2.89,0,0.43,0,0,17.31,0,5.77,7.69,0,0.96,0,0,0,0,0,150,470.7699999999999

5,01:00-01:15,0,0,0,25.97,8.66,95.13,1.74,32,25.97,0,25.97,8.66,32,31.71,0,2.89,0,0.38,0,0,17.31,0,5.77,7.69,0,0.96,0,0,0,0,0,150,472.80999999999995

6,01:15-01:30,0,0,0,25.97,8.66,95.13,1.74,32,25.97,0,25.97,8.66,32,31.71,0,2.89,0,0.38,0,0,17.31,0,5.77,7.69,0,0.96,0,0,0,0,0,150,472.80999999999995

7,01:30-01:45,0,0,0,25.97,8.66,95.13,1.74,32,25.97,0,25.97,8.66,32,31.71,0,2.89,0,0.38,0,0,17.31,0,5.77,7.69,0,0.96,0,0,0,0,0,150,472.80999999999995

8,01:45-02:00,0,0,0,25.97,8.66,95.13,1.74,32,25.97,0,25.97,8.66,32,31.71,0,2.89,0,0.38,0,0,17.31,0,5.77,7.69,0,0.96,0,0,0,0,0,150,472.80999999999995

9,02:00-02:15,0,0,0,25.97,8.66,95.13,1.74,32,25.97,0,25.97,8.66,32,31.71,0,2.89,0,0.38,0,0,17.31,0,5.77,7.69,0,0.96,0,0,0,0,0,150,472.80999999999995

10,02:15-02:30,0,0,0,25.97,8.66,95.13,1.74,32,25.97,0,25.97,8.66,32,31.71,0,2.89,0,0.38,0,0,17.31,0,5.77,7.69,0,0.96,0,0,0,0,0,150,472.80999999999995

11,02:30-02:45,0,0,0,25.97,8.66,95.13,1.74,32,25.97,0,25.97,8.66,32,31.71,0,2.89,0,0.38,0,0,17.31,0,5.77,7.69,0,0.96,0,0,0,0,0,150,472.80999999999995

12,02:45-03:00,0,0,0,25.97,8.66,95.13,1.74,32,25.97,0,25.97,8.66,32,31.71,0,2.89,0,0.38,0,0,17.31,0,5.77,7.69,0,0.96,0,0,0,0,0,150,472.80999999999995

13,03:00-03:15,0,0,0,25.97,8.66,95.13,1.74,32,25.97,0,25.97,8.66,32,31.71,0,2.89,0,0.34,0,0,17.31,0,5.77,7.69,0,0.96,0,0,0,0,0,150,472.7699999999999

14,03:15-03:30,0,0,0,25.97,8.66,95.13,1.74,32,25.97,0,25.97,8.66,32,31.71,0,2.89,0,0.34,0,0,17.31,0,5.77,7.69,0,0.96,0,0,0,0,0,150,472.7699999999999

15,03:30-03:45,0,0,0,25.97,8.66,95.13,1.74,32,25.97,0,25.97,8.66,32,31.71,0,2.89,0,0.34,0,0,17.31,0,5.77,7.69,0,0.96,0,0,0,0,0,150,472.7699999999999

16,03:45-04:00,0,0,0,25.97,8.66,95.13,1.74,32,25.97,0,25.97,8.66,32,31.71,0,2.89,0,0.34,0,0,17.31,0,5.77,7.69,0,0.96,0,0,0,0,0,150,472.7699999999999

17,04:00-04:15,0,0,0,25.97,8.66,95.13,1.74,32,25.97,0,25.97,8.66,32,31.71,0,2.89,0,0.43,0,0,17.31,0,5.77,7.69,0,0.96,0,0,0,0,0,150,472.85999999999996

18,04:15-04:30,0,0,0,25.97,8.66,95.13,1.74,32,25.97,0,25.97,8.66,32,31.71,0,2.89,0,0.43,0,0,17.31,0,5.77,7.69,0,0.96,0,0,0,0,0,150,472.85999999999996

19,04:30-04:45,0,0,0,25.97,8.66,95.13,1.74,32,25.97,0,25.97,8.66,32,31.71,0,2.89,0,0.43,0,0,17.31,0,5.77,7.69,0,0.96,0,0,0,0,0,150,472.85999999999996

20,04:45-05:00,0,0,0,25.97,8.66,95.13,1.74,32,25.97,0,25.97,8.66,32,31.71,0,2.89,0,0.43,0,0,17.31,0,5.77,7.69,0,0.96,0,0,0,0,0,150,472.85999999999996

21,05:00-05:15,0,0,0,25.97,8.66,95.13,1.74,32,25.97,0,25.97,8.66,32,31.71,38.47,2.89,0,0.43,0,0,17.31,0,5.77,7.69,0,4.81,0,0,0,0,0,150,515.18

22,05:15-05:30,0,0,0,25.97,8.66,95.13,1.74,32,25.97,0,25.97,8.66,32,31.71,38.47,2.89,0,0.43,0,0,17.31,0,5.77,7.69,0,4.81,0,0,0,0,0,150,515.18

23,05:30-05:45,0,0,0,25.97,8.66,95.13,1.74,32,25.97,0,25.97,8.66,32,31.71,38.47,2.89,0,0.43,2.89,0,17.31,0,5.77,14.43,0,4.81,0,0,0,0,0,150,524.81

24,05:45-06:00,0,0,0,25.97,8.66,95.13,1.74,32,25.97,0,25.97,8.66,32,31.71,38.47,2.89,0,0.43,2.89,0,17.31,0,5.77,14.43,0,4.81,0,0,0,0,0,150,524.81

25,06:00-06:15,0,0.19,0,25.97,8.66,0,1.74,32,25.97,0,25.97,8.66,32,0,38.47,2.89,0,0.43,2.89,0,17.31,0,5.77,14.43,0,4.81,0,0.29,0.19,0,0,150,398.64

26,06:15-06:30,0,0.19,0,25.97,8.66,0,1.74,32,25.97,0,25.97,8.66,32,0,38.47,2.89,0,0.43,2.89,0,17.31,0,5.77,14.43,0,4.81,0,0.29,0.19,0,0,150,398.64

27,06:30-06:45,0,0.19,0,25.97,8.66,0,1.74,32,25.97,0,25.97,8.66,32,0,38.47,2.89,0,0.43,2.89,0,17.31,0,5.77,14.43,0,4.81,0,0.29,0.19,0,0,150,398.64

28,06:45-07:00,0,0.19,0,25.97,8.66,0,1.74,32,25.97,0,25.97,8.66,32,0,38.47,2.89,0,0.43,2.89,0,17.31,0,5.77,14.43,0,4.81,0,0.29,0.19,0,0,150,398.64

29,07:00-07:15,0,0.19,0,25.97,8.66,0,1.65,32,25.97,0,25.97,8.66,32,0,38.47,2.89,0,0.53,2.89,0,17.31,0,5.77,14.43,0,4.81,0,0.29,0.29,0,0,150,398.75

30,07:15-07:30,0,0.19,0,25.97,8.66,0,1.65,32,25.97,0,25.97,8.66,32,0,38.47,2.89,0,0.53,2.89,0,17.31,0,5.77,14.43,0,4.81,0,0.38,0.29,0,0,150,398.84

31,07:30-07:45,0,0.19,0,25.97,8.66,0,1.65,31,25.97,0,25.97,8.66,31,0,38.47,2.89,0,0.53,2.89,0,17.31,0,5.77,14.43,0,4.81,0,0.38,0.29,0,0,150,396.84

32,07:45-08:00,0,0.19,0,25.97,8.66,0,1.65,31,25.97,0,25.97,8.66,31,0,38.47,2.89,0,0.53,2.89,0,17.31,0,5.77,14.43,0,4.81,0,0.38,0.38,0,0,150,396.92999999999995

33,08:00-08:15,0,0.19,0,33.66,8.66,0,1.74,31,33.66,0,33.66,8.66,31,0,38.47,2.89,0,0.82,2.89,0,17.31,0,5.77,14.43,0,4.81,0,0.48,0.38,0,0,150,420.47999999999996

34,08:15-08:30,0,0.19,0,33.66,8.66,0,1.74,31,33.66,0,33.66,8.66,31,0,38.47,2.89,0,0.82,2.89,0,17.31,0,5.77,14.43,0,4.81,0,0.48,0.38,0,0,150,420.47999999999996

35,08:30-08:45,0,0.19,0,33.66,8.66,0,1.74,31,33.66,0,33.66,8.66,31,0,38.47,2.89,0,0.82,0,0,17.31,0,5.77,7.69,0,4.81,0,0.48,0.38,0,0,150,410.84999999999997

36,08:45-09:00,0,0.19,0,33.66,8.66,0,1.74,31,33.66,0,33.66,8.66,31,0,38.47,2.89,0,0.82,0,0,17.31,0,5.77,7.69,0,4.81,0,0.58,0.38,0,0,150,410.94999999999993

37,09:00-09:15,0,0.19,0,25.97,8.66,0,1.74,30.5,25.97,0,25.97,8.66,30.5,0,0,2.89,0,0.82,0,0,17.31,0,5.77,7.69,0,4.81,0,0.58,0.38,0,3.85,150,352.26

38,09:15-09:30,0,0.38,0,25.97,8.66,0,1.74,30.5,25.97,0,25.97,8.66,30.5,0,0,2.89,0,0.82,0,0,17.31,0,5.77,7.69,0,4.81,0,0.58,0.38,0,3.85,150,352.45

39,09:30-09:45,0,0.38,0,25.97,8.66,0,1.74,30.5,25.97,0,25.97,8.66,30.5,0,0,2.89,0,0.82,0,0,17.31,0,5.77,7.69,0,4.81,0,0.58,0.38,0,3.85,150,352.45

40,09:45-10:00,0,0.29,0,25.97,8.66,0,1.74,30.5,25.97,0,25.97,8.66,30.5,0,0,2.89,0,0.82,0,0,17.31,0,5.77,7.69,0,4.81,0,0.67,0.38,0,3.85,150,352.44999999999993

41,10:00-10:15,17.89,0.29,1.73,25.97,8.66,0,1.74,32,25.97,0,25.97,8.66,32,0,0,2.89,0,0.82,0,5.29,17.31,0,5.77,7.69,0,4.81,0,0.67,0.48,16.35,4.81,150,397.77

42,10:15-10:30,19.04,0.29,0,25.97,8.66,0,1.74,32,25.97,0,25.97,8.66,32,0,0,2.89,0,0.82,0,5.29,17.31,0,5.77,7.69,0,4.81,0,0.67,0.58,16.35,4.81,150,397.28999999999996

43,10:30-10:45,13.47,0.29,0,25.97,8.66,0,1.74,32,25.97,0,25.97,8.66,32,0,0,2.89,0,0.82,0,5.29,17.31,0,5.77,7.69,0,4.81,0,0.77,0.58,16.35,4.81,150,391.82

44,10:45-11:00,14.04,0.29,0,25.97,8.66,0,1.74,32,25.97,0,25.97,8.66,32,0,0,2.89,0,0.82,0,5.29,17.31,0,5.77,7.69,0,4.81,0,0.77,0.48,16.35,4.81,150,392.28999999999996

45,11:00-11:15,14.62,0.29,0,25.97,8.66,0,1.74,32,25.97,0,25.97,8.66,32,0,0,3.85,0,0.82,0,5.29,17.31,0,5.77,7.69,0,0,0,0.67,0.48,16.35,6.73,150,390.8399999999999

46,11:15-11:30,14.91,0.29,0,25.97,8.66,0,1.74,32,25.97,0,25.97,8.66,32,0,0,3.85,0,0.82,0,5.29,17.31,0,5.77,7.69,0,0,0,0.77,0.48,16.35,6.73,150,391.22999999999996

47,11:30-11:45,15.29,0.29,0,25.97,8.66,0,1.74,32,25.97,0,25.97,8.66,32,0,0,3.85,0,0.82,0,5.29,17.31,0,5.77,7.69,0,0,0,0.67,0.48,16.35,6.73,150,391.50999999999993

48,11:45-12:00,15.87,0.29,0,25.97,8.66,0,1.74,32,25.97,0,25.97,8.66,32,0,0,3.85,0,0.82,0,5.29,17.31,0,5.77,7.69,0,0,0,0.67,0.48,16.35,6.73,150,392.0899999999999

49,12:00-12:15,16.16,0.29,0,25.97,8.66,0,1.74,32,25.97,0,25.97,8.66,32,0,0,3.85,0,0.82,0,5.29,17.31,0,5.77,7.69,0,0,0,0.67,0.48,16.35,6.73,150,392.37999999999994

50,12:15-12:30,16.64,0.29,0,25.97,8.66,0,1.74,32,25.97,0,25.97,8.66,32,0,0,3.85,0,0.82,0,5.29,17.31,0,5.77,7.69,0,0,0,0.77,0.48,16.35,6.73,150,392.96

51,12:30-12:45,21.06,0.29,0,25.97,8.66,0,1.74,32,25.97,0,25.97,8.66,32,0,0,3.85,0,0.82,0,5.29,17.31,0,5.77,7.69,0,0,0,0.77,0.48,16.35,6.73,150,397.38

52,12:45-13:00,21.16,0.29,0,25.97,8.66,0,1.74,32,25.97,0,25.97,8.66,32,0,0,3.85,0,0.82,0,5.29,17.31,0,5.77,7.69,0,0,0,0.77,0.48,16.35,6.73,150,397.47999999999996

53,13:00-13:15,20.87,0.29,0,25.97,8.66,0,1.74,32,25.97,0,25.97,8.66,32,0,0,3.85,0,0.77,0,5.29,17.31,0,5.77,7.69,0,0,0,0.67,0.48,16.35,5.77,150,396.08

54,13:15-13:30,21.16,0.29,0,25.97,8.66,0,1.74,32,25.97,0,25.97,8.66,32,0,0,3.85,0,0.77,0,5.29,17.31,0,5.77,7.69,0,0,0,0.67,0.48,16.35,5.77,150,396.37

55,13:30-13:45,21.35,0.29,0,25.97,8.66,0,1.74,32,25.97,0,25.97,8.66,32,0,0,3.85,0,0.77,0,5.29,17.31,0,5.77,7.69,0,0,0,0.67,0.48,16.35,5.77,150,396.55999999999995

56,13:45-14:00,21.83,0.29,0,25.97,8.66,0,1.74,32,25.97,0,25.97,8.66,32,0,0,3.85,0,0.77,0,5.29,17.31,0,5.77,7.69,0,0,0,0.77,0.48,16.35,5.77,150,397.14

57,14:00-14:15,21.74,0.29,0,25.97,8.66,0,1.65,32,25.97,0,25.97,8.66,32,0,0,3.85,0,0.77,0,5.29,17.31,0,5.77,7.69,0,0,0,0.77,0.38,16.35,4.81,150,395.9

58,14:15-14:30,21.54,0.29,0.67,25.97,8.66,0,1.65,32,25.97,0,25.97,8.66,32,0,0,3.85,0,0.77,0,5.29,17.31,0,5.77,7.69,0,0,0,0.77,0.38,16.35,4.81,150,396.37

59,14:30-14:45,19.24,0.29,3.56,25.97,8.66,0,1.65,32,25.97,0,25.97,8.66,32,0,0,3.85,0,0.77,0,5.29,17.31,0,5.77,7.69,0,0,0,0.67,0.38,16.35,4.81,150,396.86

60,14:45-15:00,16.74,0.29,6.73,25.97,8.66,0,1.65,32,25.97,0,25.97,8.66,32,0,0,3.85,0,0.77,0,5.29,17.31,0,5.77,7.69,0,0,0,0.58,0.48,16.35,4.81,150,397.53999999999996

61,15:00-15:15,14.04,0.29,10.2,25.97,8.66,0,1.74,32,25.97,0,25.97,8.66,32,0,0,3.85,0,0.63,0,5.29,17.31,0,5.77,7.69,0,0,0,0.58,0.48,16.35,4.81,150,398.26

62,15:15-15:30,11.45,0.29,13.85,25.97,8.66,0,1.74,32,25.97,0,25.97,8.66,32,0,0,3.85,0,0.63,0,5.29,17.31,0,5.77,7.69,0,0,0,0.58,0.38,16.35,4.81,150,399.22

63,15:30-15:45,18.18,0.29,3.46,25.97,8.66,0,1.74,32,25.97,0,25.97,8.66,32,0,0,3.85,0,0.63,0,5.29,17.31,0,5.77,7.69,0,0,0,0.58,0.38,16.35,4.81,150,395.56

64,15:45-16:00,15.39,0.29,7.6,25.97,8.66,0,1.74,32,25.97,0,25.97,8.66,32,0,0,3.85,0,0.63,0,5.29,17.31,0,5.77,7.69,0,0,0,0.58,0.38,16.35,4.81,150,396.90999999999997

65,16:00-16:15,12.5,0.29,0,25.97,8.66,0,1.74,32,25.97,0,25.97,8.66,32,0,0,3.85,0,0.48,0,5.29,17.31,0,5.77,7.69,0,0,0,0.58,0.38,16.35,2.89,150,384.34999999999997

66,16:15-16:30,9.81,0.29,0,25.97,8.66,0,1.74,32,25.97,0,25.97,8.66,32,0,0,3.85,0,0.48,0,5.29,17.31,0,5.77,7.69,0,0,0,0.58,0.38,16.35,2.89,150,381.65999999999997

67,16:30-16:45,0,0.29,0,25.97,8.66,0,1.74,32,25.97,0,25.97,8.66,32,0,0,3.85,0,0.48,0,0,17.31,0,5.77,7.69,0,0,0,0.58,0.38,0,2.89,150,350.21

68,16:45-17:00,0,0.29,0,25.97,8.66,0,1.74,32,25.97,0,25.97,8.66,32,0,0,3.85,0,0.48,0,0,17.31,0,5.77,7.69,0,0,0,0.58,0.38,0,2.89,150,350.21

69,17:00-17:15,0,0.19,0,31.74,8.66,0,1.74,31.21,31.74,0,31.74,8.66,31.21,0,0,3.85,0,0.48,0,0,17.31,0,5.77,7.69,0,3.85,0,0.58,0.38,0,0.96,150,367.76

70,17:15-17:30,0,0.19,0,31.74,8.66,0,1.74,31.21,31.74,0,31.74,8.66,31.21,0,0,3.85,0,0.48,0,0,17.31,0,5.77,7.69,0,3.85,0,0.58,0.38,0,0.96,150,367.76

71,17:30-17:45,0,0.19,0,31.74,8.66,0,1.74,30,31.74,0,31.74,8.66,30,0,0,3.85,0,0.48,0,0,17.31,0,5.77,7.69,0,3.85,0,0.58,0.38,0,0.96,150,365.34000000000003

72,17:45-18:00,0,0.19,0,31.74,8.66,0,1.74,30,31.74,0,31.74,8.66,30,0,0,3.85,0,0.48,0,0,17.31,0,5.77,7.69,0,3.85,0,0.58,0.38,0,0.96,150,365.34000000000003

73,18:00-18:15,0,0.19,0,31.74,8.66,0,1.74,30.5,31.74,150,31.74,8.66,30.5,0,38.47,3.85,43.28,0.53,0,0,17.31,50,5.77,7.69,60.59,3.85,38.47,0.58,0.38,0,0,150,746.2400000000001

74,18:15-18:30,0,0.19,0,31.74,8.66,0,1.74,30.5,31.74,150,31.74,8.66,30.5,0,38.47,3.85,43.28,0.53,0,0,17.31,50,5.77,7.69,60.59,3.85,38.47,0.58,0.38,0,0,150,746.2400000000001

75,18:30-18:45,0,0.29,0,31.74,8.66,0,1.74,30.5,31.74,150,31.74,8.66,30.5,0,38.47,3.85,43.28,0.53,0,0,17.31,50,5.77,7.69,60.59,3.85,38.47,0.58,0.38,0,0,150,746.3400000000001

76,18:45-19:00,0,0.19,0,31.74,8.66,0,1.74,30.5,31.74,150,31.74,8.66,30.5,0,38.47,3.85,43.28,0.53,0,0,17.31,50,5.77,7.69,60.59,3.85,38.47,0.58,0.38,0,0,150,746.2400000000001

77,19:00-19:15,0,0,0,31.74,8.66,0,1.74,0,31.74,150,31.74,8.66,30.5,0,38.47,3.85,43.28,0.53,0,0,17.31,50,5.77,7.69,0,3.85,38.47,0,0,0,0,150,654

78,19:15-19:30,0,0,0,31.74,8.66,0,1.74,0,31.74,150,31.74,8.66,30.5,0,38.47,3.85,43.28,0.53,0,0,17.31,50,5.77,7.69,0,3.85,38.47,0,0,0,0,150,654

79,19:30-19:45,0,0,0,31.74,8.66,0,1.74,0,31.74,150,31.74,8.66,32,0,38.47,3.85,43.28,0.53,0,0,17.31,50,5.77,7.69,0,3.85,38.47,0,0,0,0,150,655.5

80,19:45-20:00,0,0,0,31.74,8.66,0,1.74,9,31.74,150,31.74,8.66,32,0,38.47,3.85,43.28,0.53,0,0,17.31,50,5.77,7.69,0,3.85,38.47,0,0,0,0,150,664.5

81,20:00-20:15,0,0,0,31.74,8.66,0,1.74,25,31.74,250,31.74,8.66,32,0,38.47,3.85,0,0.53,0,0,17.31,50,5.77,7.69,0,3.85,38.47,0,0,0,0,150,737.2200000000001

82,20:15-20:30,0,0,0,31.74,8.66,0,1.74,25,31.74,250,31.74,8.66,32,0,38.47,3.85,0,0.53,0,0,17.31,50,5.77,7.69,0,3.85,38.47,0,0,0,0,150,737.2200000000001

83,20:30-20:45,0,0,0,31.74,8.66,0,1.74,25,31.74,250,31.74,8.66,32,0,38.47,3.85,0,0.53,0,0,17.31,50,5.77,7.69,0,3.85,38.47,0,0,0,0,150,737.2200000000001

84,20:45-21:00,0,0,0,31.74,8.66,0,1.74,25,31.74,250,31.74,8.66,32,0,38.47,3.85,0,0.53,0,0,17.31,50,5.77,7.69,0,3.85,38.47,0,0,0,0,150,737.2200000000001

85,21:00-21:15,0,0,0,28.85,8.66,0,1.74,25,28.85,250,28.85,8.66,32,0,0,3.85,0,0.53,0,0,17.31,50,5.77,7.69,0,3.85,38.47,0,0,0,0,150,690.08

86,21:15-21:30,0,0,0,28.85,8.66,0,1.74,25,28.85,250,28.85,8.66,32,0,0,3.85,0,0.53,0,0,17.31,50,5.77,7.69,0,3.85,38.47,0,0,0,0,150,690.08

87,21:30-21:45,0,0,0,28.85,8.66,0,1.74,25,28.85,250,28.85,8.66,32,0,0,3.85,0,0.53,0,0,17.31,50,5.77,7.69,0,3.85,38.47,0,0,0,0,150,690.08

88,21:45-22:00,0,0,0,28.85,8.66,0,1.74,25,28.85,250,28.85,8.66,32,0,0,3.85,0,0.53,0,0,17.31,50,5.77,7.69,0,3.85,38.47,0,0,0,0,150,690.08

89,22:00-22:15,0,0,0,25.97,8.66,95.13,1.74,25,25.97,250,25.97,8.66,32,31.71,0,2.89,0,0.48,0,0,17.31,50,5.77,7.69,0,0.96,38.47,0,0,0,0,150,804.3800000000001

90,22:15-22:30,0,0,0,25.97,8.66,95.13,1.74,25,25.97,250,25.97,8.66,32,31.71,0,2.89,0,0.48,0,0,17.31,50,5.77,7.69,0,0.96,38.47,0,0,0,0,150,804.3800000000001

91,22:30-22:45,0,0,0,25.97,8.66,95.13,1.74,28.5,25.97,250,25.97,8.66,28.5,31.71,0,2.89,0,0.48,0,0,17.31,50,5.77,7.69,0,0.96,38.47,0,0,0,0,150,804.3800000000001

92,22:45-23:00,0,0,0,25.97,8.66,95.13,1.74,28.5,25.97,250,25.97,8.66,28.5,31.71,0,2.89,0,0.48,0,0,17.31,50,5.77,7.69,0,0.96,38.47,0,0,0,0,150,804.3800000000001

93,23:00-23:15,0,0,0,25.97,8.66,95.13,1.65,28.5,25.97,250,25.97,8.66,28.5,31.71,0,2.89,0,0.43,0,0,17.31,50,5.77,7.69,0,0.96,38.47,0,0,0,0,150,804.24

94,23:15-23:30,0,0,0,25.97,8.66,95.13,1.65,28.5,25.97,250,25.97,8.66,28.5,31.71,0,2.89,0,0.43,0,0,17.31,50,5.77,7.69,0,0.96,38.47,0,0,0,0,150,804.24

95,23:30-23:45,0,0,0,25.97,8.66,95.13,1.65,28.5,25.97,250,25.97,8.66,28.5,31.71,0,2.89,0,0.43,0,0,17.31,50,5.77,7.69,0,0.96,38.47,0,0,0,0,150,804.24

96,23:45-24:00,0,0,0,25.97,8.66,95.13,1.65,0,25.97,250,25.97,8.66,28.5,31.71,0,2.89,0,0.43,0,0,17.31,50,5.77,7.69,0,0.96,38.47,0,0,0,0,150,775.7400000000001

