Time,Block,NR/2023/16630/C,NR/2023/16437/F,NR/2023/13636/A,NR/2023/13387/A,NR/2023/16185/A,NR/2023/13148/A,NR/2023/16291/F,NR/2023/16291/F/II,NR/2023/16612/D,NR/2023/13150/A,NR/2023/13376/A,NR/2023/16635/C,NR/2023/16191/A,NR/2023/16073/A,ER/2023/10403/C,NR/2023/13519/A,NR/2023/13383/A,NR/2023/13254/A,ER/2023/10409/C,NR/2023/13385/A,NR/2023/16617/D,NR/2023/13253/A,NR/2023/13165/A,SR/2023/9341/C,NR/2023/16620/C,NR/2023/16615/D,NR/2023/15770/A,WR/2023/18625/C,NR/2023/16614/D,NR/2023/16616/D,NR/2023/13908/A,NR/2023/13242/A,NR/2023/16077/A,NR/2023/16520/F,Total
20,04:45-05:00,12.560000,174.470000,22.580000,100.120000,62.870000,0.000000,0.580000,0.000000,0,63.070000,20.310000,145.100000,216.190000,24.180000,50.000000,0.000000,33.370000,19.630000,80.000000,50.060000,2.460000,48.360000,22.250000,40.00,6.060000,4.840000,53.200000,1.500000,18.990000,67.710000,175.160000,29.600000,77.870000,0.000000,1623.09

21,05:00-05:15,12.370000,174.470000,22.580000,100.120000,62.870000,0.000000,0.580000,0.000000,0,63.070000,20.310000,145.100000,216.190000,24.180000,50.000000,0.000000,33.370000,19.630000,80.000000,50.060000,2.460000,48.360000,22.250000,40.00,5.040000,4.840000,53.200000,1.500000,18.990000,67.710000,175.160000,0.000000,77.870000,0.000000,1592.28

22,05:15-05:30,12.370000,174.470000,22.580000,100.120000,62.870000,0.000000,0.580000,0.000000,0,63.070000,20.310000,145.100000,216.190000,24.180000,50.000000,0.000000,33.370000,19.630000,80.000000,50.060000,2.460000,48.360000,22.250000,40.00,5.040000,4.840000,53.200000,1.500000,18.990000,67.710000,175.160000,0.000000,77.870000,0.000000,1592.28

23,05:30-05:45,12.370000,174.470000,22.580000,100.120000,62.870000,0.000000,0.580000,0.000000,0,63.070000,20.310000,145.100000,216.190000,24.180000,50.000000,0.000000,33.370000,19.630000,80.000000,50.060000,2.460000,48.360000,22.250000,40.00,5.040000,4.840000,53.200000,1.500000,18.990000,67.710000,175.160000,0.000000,77.870000,0.000000,1592.28

24,05:45-06:00,12.370000,174.470000,22.580000,100.120000,62.870000,0.000000,0.580000,0.000000,0,63.070000,20.310000,145.100000,216.190000,24.180000,50.000000,0.000000,33.370000,19.630000,80.000000,50.060000,2.460000,48.360000,22.250000,40.00,5.040000,4.840000,53.200000,1.500000,18.990000,67.710000,175.160000,0.000000,77.870000,0.000000,1592.28

25,06:00-06:15,12.370000,174.470000,22.580000,100.120000,62.870000,0.000000,0.680000,0.000000,0,63.070000,20.310000,145.100000,216.190000,24.180000,50.000000,0.000000,0.000000,19.630000,80.000000,50.060000,2.460000,48.360000,22.250000,40.00,6.060000,4.840000,53.200000,1.500000,18.990000,67.710000,175.160000,0.000000,0.000000,0.000000,1482.16

26,06:15-06:30,12.370000,174.470000,22.580000,100.120000,62.870000,0.000000,0.680000,0.000000,0,63.070000,20.310000,145.100000,216.190000,24.180000,50.000000,0.000000,0.000000,19.630000,80.000000,50.060000,2.460000,48.360000,22.250000,40.00,6.060000,4.840000,53.200000,1.500000,18.990000,67.710000,175.160000,0.000000,0.000000,0.000000,1482.16

27,06:30-06:45,12.370000,174.470000,22.580000,100.120000,62.870000,0.000000,0.680000,0.000000,0,63.070000,20.310000,145.100000,216.190000,24.180000,50.000000,0.000000,0.000000,19.630000,80.000000,50.060000,2.460000,48.360000,22.250000,40.00,6.060000,4.840000,53.200000,1.500000,18.990000,67.710000,175.160000,0.000000,0.000000,0.000000,1482.16

28,06:45-07:00,12.370000,174.470000,22.580000,100.120000,62.870000,0.000000,0.680000,0.000000,0.24,63.070000,20.310000,145.100000,216.190000,24.180000,50.000000,0.000000,0.000000,19.630000,80.000000,50.060000,2.460000,48.360000,22.250000,40.00,6.060000,4.840000,53.200000,1.500000,18.990000,67.710000,175.160000,0.000000,0.000000,0.000000,1482.4

29,07:00-07:15,12.280000,174.470000,22.580000,100.120000,62.870000,0.000000,0.680000,0.000000,1.12,63.070000,20.310000,145.100000,216.190000,24.180000,50.000000,0.000000,0.000000,19.630000,80.000000,50.060000,2.460000,48.360000,22.250000,50.00,6.060000,4.840000,53.200000,1.500000,18.990000,67.710000,175.160000,0.000000,0.000000,0.000000,1493.19

30,07:15-07:30,12.280000,174.470000,22.580000,100.120000,62.870000,0.000000,0.680000,0.000000,1.13,63.070000,20.310000,145.100000,216.190000,24.180000,50.000000,0.000000,0.000000,19.630000,80.000000,50.060000,2.460000,48.360000,22.250000,50.00,6.060000,4.840000,53.200000,1.500000,18.990000,67.710000,175.160000,0.000000,0.000000,0.000000,1493.2

31,07:30-07:45,12.280000,174.470000,22.580000,100.120000,62.870000,0.000000,0.680000,0.000000,1.75,63.070000,20.310000,145.100000,216.190000,24.180000,50.000000,0.000000,0.000000,19.630000,80.000000,50.060000,2.460000,48.360000,22.250000,50.00,6.060000,4.840000,53.200000,1.500000,18.990000,67.710000,175.160000,0.000000,0.000000,0.000000,1493.82

32,07:45:08:00,12.280000,174.470000,22.580000,100.120000,62.870000,0.000000,0.680000,0.000000,2.68,63.070000,20.310000,145.100000,216.190000,24.180000,50.000000,0.000000,0.000000,19.630000,80.000000,50.060000,2.460000,48.360000,22.250000,50.00,6.060000,4.840000,53.200000,1.500000,18.990000,67.710000,175.160000,0.000000,0.000000,0.000000,1494.75

33,08:00-08:15,12.280000,174.470000,22.580000,100.120000,62.870000,0.000000,0.970000,0.000000,3.55,63.070000,20.310000,145.100000,216.190000,24.180000,50.000000,0.000000,0.000000,19.630000,80.000000,50.060000,2.460000,48.360000,22.250000,70.00,6.060000,4.840000,53.200000,1.500000,18.990000,67.710000,175.160000,0.000000,0.000000,0.000000,1515.91

34,08:15-08:30,12.280000,174.470000,22.580000,100.120000,62.870000,0.000000,0.970000,0.000000,3.99,63.070000,20.310000,145.100000,216.190000,24.180000,50.000000,0.000000,0.000000,19.630000,80.000000,50.060000,2.460000,48.360000,22.250000,70.00,6.060000,4.840000,53.200000,1.500000,18.990000,67.710000,175.160000,0.000000,0.000000,0.000000,1516.35

35,08:30-08:45,12.280000,174.470000,22.580000,100.120000,62.870000,0.000000,0.970000,0.000000,4.08,63.070000,20.310000,145.100000,216.190000,24.180000,50.000000,0.000000,0.000000,19.630000,80.000000,50.060000,2.460000,48.360000,22.250000,70.00,6.060000,4.840000,53.200000,1.500000,18.990000,67.710000,175.160000,0.000000,0.000000,0.000000,1516.44

36,08:45:09:00,12.280000,174.470000,22.580000,100.120000,62.870000,0.000000,0.970000,0.000000,5.25,63.070000,20.310000,145.100000,216.190000,24.180000,50.000000,0.000000,0.000000,19.630000,80.000000,50.060000,2.460000,48.360000,22.250000,70.00,6.060000,4.840000,53.200000,1.500000,18.990000,67.710000,175.160000,0.000000,0.000000,0.000000,1517.61

37,09:00:09:15,12.100000,174.470000,22.580000,100.120000,62.870000,0.000000,0.970000,0.000000,5.87,63.070000,20.310000,145.100000,216.190000,24.180000,50.000000,0.000000,0.000000,19.630000,80.000000,50.060000,2.460000,48.360000,22.250000,70.00,10.090000,4.840000,53.200000,1.500000,18.990000,67.710000,175.160000,0.000000,0.000000,0.000000,1522.08

38,09:15-09:30,12.100000,174.470000,22.580000,100.120000,62.870000,0.000000,0.970000,0.000000,6.41,63.070000,20.310000,145.100000,216.190000,24.180000,50.000000,0.000000,0.000000,19.630000,80.000000,50.060000,2.460000,48.360000,22.250000,70.00,10.090000,4.840000,53.200000,1.500000,18.990000,67.710000,175.160000,0.000000,0.000000,0.000000,1522.62

39,09:30-09:45,12.100000,174.470000,22.580000,100.120000,62.870000,0.000000,0.970000,0.000000,6.93,63.070000,20.310000,145.100000,216.190000,24.180000,50.000000,0.000000,0.000000,19.630000,80.000000,50.060000,2.460000,48.360000,22.250000,70.00,10.090000,4.840000,53.200000,1.500000,18.990000,67.710000,175.160000,0.000000,0.000000,0.000000,1523.14

40,09:45-10:00,12.100000,174.470000,22.580000,100.120000,62.870000,0.000000,0.970000,0.000000,7.14,63.070000,20.310000,145.100000,216.190000,24.180000,50.000000,0.000000,0.000000,19.630000,80.000000,50.060000,2.460000,48.360000,22.250000,70.00,10.090000,4.840000,53.200000,1.500000,18.990000,67.710000,175.160000,0.000000,0.000000,0.000000,1523.35

41,10:00-10:15,12.100000,174.470000,22.580000,100.120000,62.870000,0.000000,0.970000,0.000000,6.3,63.070000,20.310000,145.100000,216.190000,24.180000,50.000000,0.000000,0.000000,19.630000,80.000000,50.060000,2.460000,48.360000,22.250000,70.00,10.090000,4.840000,53.200000,1.500000,18.990000,67.710000,175.160000,0.000000,0.000000,0.000000,1522.51

42,10:15-10:30,12.100000,174.470000,22.580000,100.120000,62.870000,0.000000,0.970000,0.000000,6.52,63.070000,20.310000,145.100000,216.190000,24.180000,50.000000,0.000000,0.000000,19.630000,80.000000,50.060000,2.460000,48.360000,22.250000,70.00,10.090000,4.840000,53.200000,1.500000,18.990000,67.710000,175.160000,0.000000,0.000000,0.000000,1522.73

43,10:30-10:45,12.100000,174.470000,22.580000,100.120000,62.870000,0.000000,0.970000,0.000000,7.21,63.070000,20.310000,145.100000,216.190000,24.180000,50.000000,0.000000,0.000000,19.630000,80.000000,50.060000,2.460000,48.360000,22.250000,70.00,10.090000,4.840000,53.200000,1.500000,18.990000,67.710000,175.160000,0.000000,0.000000,0.000000,1523.42

44,10:45-11:00,12.100000,174.470000,22.580000,100.120000,62.870000,0.000000,0.970000,0.000000,8.24,63.070000,20.310000,145.100000,216.190000,24.180000,50.000000,0.000000,0.000000,19.630000,80.000000,50.060000,2.460000,48.360000,22.250000,70.00,10.090000,4.840000,53.200000,1.500000,18.990000,67.710000,175.160000,0.000000,0.000000,0.000000,1524.45

45,11:00-11:15,12.000000,174.470000,22.580000,100.120000,62.870000,0.000000,0.970000,0.000000,8.99,63.070000,20.310000,145.100000,216.190000,24.180000,50.000000,0.000000,0.000000,19.630000,80.000000,50.060000,2.460000,48.360000,22.250000,70.00,10.090000,4.840000,53.200000,1.500000,18.990000,67.710000,175.160000,0.000000,0.000000,0.000000,1525.1

46,11:15-11:30,12.000000,174.470000,22.580000,100.120000,62.870000,0.000000,0.970000,0.000000,6.57,63.070000,20.310000,145.100000,216.190000,24.180000,50.000000,0.000000,0.000000,19.630000,80.000000,50.060000,2.460000,48.360000,22.250000,70.00,10.090000,4.840000,53.200000,1.500000,18.990000,67.710000,175.160000,0.000000,0.000000,0.000000,1522.68

47,11:30-11:45,12.000000,174.470000,22.580000,100.120000,62.870000,0.000000,0.970000,0.000000,5.27,63.070000,20.310000,145.100000,216.190000,24.180000,50.000000,0.000000,0.000000,19.630000,80.000000,50.060000,2.460000,48.360000,22.250000,70.00,10.090000,4.840000,53.200000,1.500000,18.990000,67.710000,175.160000,0.000000,0.000000,0.000000,1521.38

48,11:45-12:00,12.000000,174.470000,22.580000,100.120000,62.870000,0.000000,0.970000,0.000000,5.77,63.070000,20.310000,145.100000,216.190000,24.180000,50.000000,0.000000,0.000000,19.630000,80.000000,50.060000,2.460000,48.360000,22.250000,70.00,10.090000,4.840000,53.200000,1.500000,18.990000,67.710000,175.160000,0.000000,0.000000,0.000000,1521.88

49,12:00-12:15,12.000000,174.470000,22.580000,100.120000,62.870000,0.000000,0.970000,0.000000,9.16,63.070000,20.310000,145.100000,216.190000,24.180000,50.000000,0.000000,0.000000,19.630000,80.000000,50.060000,2.460000,48.360000,22.250000,70.00,10.090000,4.840000,53.200000,1.500000,18.990000,67.710000,175.160000,0.000000,0.000000,0.000000,1525.27

50,12:15-12:30,12.000000,174.470000,22.580000,100.120000,62.870000,0.000000,0.970000,0.000000,6.56,63.070000,20.310000,145.100000,216.190000,24.180000,50.000000,0.000000,0.000000,19.630000,80.000000,50.060000,2.460000,48.360000,22.250000,70.00,10.090000,4.840000,53.200000,1.500000,18.990000,67.710000,175.160000,0.000000,0.000000,0.000000,1522.67

51,12:30-12:45,12.000000,174.470000,22.580000,100.120000,62.870000,0.000000,0.970000,0.000000,8.62,63.070000,20.310000,145.100000,216.190000,24.180000,50.000000,0.000000,0.000000,19.630000,80.000000,50.060000,2.460000,48.360000,22.250000,70.00,10.090000,4.840000,53.200000,1.500000,18.990000,67.710000,175.160000,0.000000,0.000000,0.000000,1524.73

52,12:45-13:00,12.000000,174.470000,22.580000,100.120000,62.870000,0.000000,0.970000,0.000000,3.73,63.070000,20.310000,145.100000,216.190000,24.180000,50.000000,0.000000,0.000000,19.630000,80.000000,50.060000,2.460000,48.360000,22.250000,70.00,10.090000,4.840000,53.200000,1.500000,18.990000,67.710000,175.160000,0.000000,0.000000,0.000000,1519.84

53,13:00-13:15,12.000000,174.470000,22.580000,100.120000,62.870000,0.000000,0.970000,0.000000,6.78,63.070000,20.310000,145.100000,216.190000,24.180000,50.000000,0.000000,0.000000,19.630000,80.000000,50.060000,2.460000,48.360000,22.250000,0.00,10.090000,4.840000,53.200000,1.500000,18.990000,67.710000,175.160000,0.000000,0.000000,0.000000,1452.89

54,13:15-13:30,12.000000,174.470000,22.580000,100.120000,62.870000,0.000000,0.970000,0.000000,5.56,63.070000,20.310000,145.100000,216.190000,24.180000,50.000000,0.000000,0.000000,19.630000,80.000000,50.060000,2.460000,48.360000,22.250000,0.00,10.090000,4.840000,53.200000,1.500000,18.990000,67.710000,175.160000,0.000000,0.000000,0.000000,1451.67

55,13:30-13:45,12.000000,174.470000,22.580000,100.120000,62.870000,0.000000,0.970000,0.000000,5.84,63.070000,20.310000,145.100000,216.190000,24.180000,50.000000,0.000000,0.000000,19.630000,80.000000,50.060000,2.460000,48.360000,22.250000,0.00,10.090000,4.840000,53.200000,1.500000,18.990000,67.710000,175.160000,0.000000,0.000000,0.000000,1451.95

56,13:45-14:00,12.000000,174.470000,22.580000,100.120000,62.870000,0.000000,0.970000,0.000000,9.59,63.070000,20.310000,145.100000,216.190000,24.180000,50.000000,0.000000,0.000000,19.630000,80.000000,50.060000,2.460000,48.360000,22.250000,0.00,10.090000,4.840000,53.200000,1.500000,18.990000,67.710000,175.160000,0.000000,0.000000,0.000000,1455.7

57,14:00-14:15,12.100000,174.470000,22.580000,100.120000,62.870000,0.000000,0.970000,0.000000,5.89,63.070000,20.310000,145.100000,216.190000,24.180000,50.000000,58.460000,0.000000,19.630000,80.000000,50.060000,2.460000,48.360000,22.250000,0.00,10.090000,4.840000,53.200000,1.500000,18.990000,67.710000,175.160000,0.000000,0.000000,0.000000,1510.56

58,14:15-14:30,12.100000,174.470000,22.580000,100.120000,62.870000,0.000000,0.970000,0.000000,7.6,63.070000,20.310000,145.100000,216.190000,24.180000,50.000000,58.460000,0.000000,19.630000,80.000000,50.060000,2.460000,48.360000,22.250000,0.00,10.090000,4.840000,53.200000,1.500000,18.990000,67.710000,175.160000,0.000000,0.000000,0.000000,1512.27

59,14:30-14:45,12.100000,174.470000,22.580000,100.120000,62.870000,0.000000,0.970000,0.000000,5.8,63.070000,20.310000,145.100000,216.190000,24.180000,50.000000,58.460000,0.000000,19.630000,80.000000,50.060000,2.460000,48.360000,22.250000,0.00,10.090000,4.840000,53.200000,1.500000,18.990000,67.710000,175.160000,0.000000,0.000000,0.000000,1510.47

60,14:45-15:00,12.100000,174.470000,22.580000,100.120000,62.870000,0.000000,0.970000,0.000000,5.4,63.070000,20.310000,145.100000,216.190000,24.180000,50.000000,58.460000,0.000000,19.630000,80.000000,50.060000,2.460000,48.360000,22.250000,0.00,10.090000,4.840000,53.200000,1.500000,18.990000,67.710000,175.160000,0.000000,0.000000,0.000000,1510.07

61,15:00-15:15,12.280000,174.470000,22.580000,100.120000,62.870000,0.000000,0.870000,0.000000,7.45,63.070000,20.310000,145.100000,216.190000,24.180000,0.000000,58.460000,0.000000,19.630000,80.000000,50.060000,2.460000,48.360000,22.250000,0.00,10.090000,4.840000,53.200000,1.500000,18.990000,67.710000,175.160000,0.000000,0.000000,0.000000,1462.2

62,15:15-15:30,12.280000,174.470000,22.580000,100.120000,62.870000,0.000000,0.870000,0.000000,7.14,63.070000,20.310000,145.100000,216.190000,24.180000,0.000000,58.460000,0.000000,19.630000,80.000000,50.060000,2.460000,48.360000,22.250000,0.00,10.090000,4.840000,53.200000,1.500000,18.990000,67.710000,175.160000,0.000000,0.000000,0.000000,1461.89

63,15:30-15:45,12.280000,174.470000,22.580000,100.120000,62.870000,0.000000,0.870000,0.000000,4.55,63.070000,20.310000,145.100000,216.190000,24.180000,0.000000,58.460000,0.000000,19.630000,80.000000,50.060000,2.460000,48.360000,22.250000,0.00,10.090000,4.840000,53.200000,1.500000,18.990000,67.710000,175.160000,0.000000,0.000000,0.000000,1459.3

64,15:45-16:00,12.280000,174.470000,22.580000,100.120000,62.870000,0.000000,0.870000,0.000000,5.8,63.070000,20.310000,145.100000,216.190000,24.180000,0.000000,58.460000,0.000000,19.630000,80.000000,50.060000,2.460000,48.360000,22.250000,0.00,10.090000,4.840000,53.200000,1.500000,18.990000,67.710000,175.160000,0.000000,0.000000,0.000000,1460.55

65,16:00-16:15,12.370000,174.470000,22.580000,100.120000,62.870000,0.000000,0.820000,0.000000,5.16,63.070000,20.310000,145.100000,216.190000,24.180000,0.000000,58.460000,0.000000,19.630000,0.000000,50.060000,2.460000,48.360000,22.250000,0.00,10.090000,4.840000,53.200000,1.500000,18.990000,67.710000,175.160000,0.000000,0.000000,0.000000,1379.95

