Column1,Block,NR/2025/26614/C,NR/2025/26659/C,NR/2025/26615/C,NR/2025/26616/C,NR/2025/26661/C,NR/2025/26617/C,NR/2025/26663/C,NR/2025/26612/C,NR/2025/26611/C,NR/2025/26335/A/70580,NR/2025/26236/A/70170,GNARE/NR/2024/12/20/3668,NR/2025/25858/A/70621,NR/2025/26289/A/70660,NR/2025/26198/A/70821,NR/2025/26201/A/70818,NR/30092023/31122025/SH-07,NR/2025/26197/A/70828,NR/2025/26232/A/70663,NR/2025/26336/A/70578,NR/2025/26233/A/70662,NR/2025/25855/A/70620,NR/2025/26199/A/70820,NR/2025/26002/A/70619,GNA/NR/2025/05/01/4138,NR/2025/26101/A/70423,NR/2025/26286/A/70316,NR/2025/26312/A/70169,NR/2025/26085/A/70199,NR/2025/26265/A/70661,NR/2025/26200/A/70819,NR/2025/26202/A/70700,NR/2025/26153/A/70171,NR/2025/26191/A/70183,NR/2025/26291/A/70659,GNA/NR/2025/05/01/3877,GNA/NR/2025/05/01/8068,GNA/NR/2025/05/01/7791,GNA/NR/2025/05/01/9154,GNA/NR/2025/05/01/6160,GNA/NR/2025/05/01/9252,GNA/NR/2025/05/01/2069,NR/30092023/26122029/SH-06,GNA/NR/2025/05/01/5800,GNA/NR/2025/05/01/7902,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/05/01/9320,GNA/NR/2025/05/01/9395,GNA/NR/2025/05/01/8954,GNA/NR/2025/05/01/6363,GNA/NR/2025/05/01/6957,GNA/NR/2025/05/01/2474,Total
3,00:30-00:45,0,0,0,0,51.13,0,30.89,0,0,0,0,0,0,48.26,43.87,37.3,32,14.62,4.83,135.14,4.83,144.8,43.87,0,0,0,4.83,0,0.77,96.53,14.62,96.53,62.74,48.26,24.13,28.96,10.62,0,123.08,14.48,13.51,0,32,67.57,28.96,12.84,164.1,0,5.79,14.48,164.1,29.01,1649.4499999999996

4,00:45-01:00,0,0,0,0,51.13,0,30.89,0,0,0,0,0,0,48.26,43.87,37.3,32,14.62,4.83,135.14,4.83,144.8,43.87,0,0,0,4.83,0,0.77,96.53,14.62,96.53,62.74,48.26,24.13,28.96,10.62,0,123.08,14.48,13.51,0,32,67.57,28.96,12.84,164.1,0,5.79,14.48,164.1,29.01,1649.4499999999996

5,01:00-01:15,0,0,0,0,51.13,0,30.89,0,0,0,0,0,0,48.26,43.87,37.3,32,14.62,4.83,135.14,4.83,144.8,43.87,0,0,0,4.83,0,0.68,96.53,14.62,96.53,62.74,48.26,24.13,28.96,10.62,0,123.08,14.48,13.51,0,32,67.57,28.96,12.66,164.1,0,5.79,14.48,164.1,29.01,1649.1799999999998

6,01:15-01:30,0,0,0,0,51.13,0,30.89,0,0,0,0,0,0,48.26,43.87,37.3,32,14.62,4.83,135.14,4.83,144.8,43.87,0,0,0,4.83,0,0.68,96.53,14.62,96.53,62.74,48.26,24.13,28.96,10.62,0,123.08,14.48,13.51,0,32,67.57,28.96,12.66,164.1,0,5.79,14.48,164.1,29.01,1649.1799999999998

7,01:30-01:45,0,0,0,0,51.13,0,30.89,0,0,0,0,0,0,48.26,43.87,37.3,32,14.62,4.83,135.14,4.83,144.8,43.87,0,0,0,4.83,0,0.68,96.53,14.62,96.53,62.74,48.26,24.13,28.96,10.62,0,123.08,14.48,13.51,0,32,67.57,28.96,12.66,164.1,0,5.79,14.48,164.1,29.01,1649.1799999999998

8,01:45-02:00,0,0,0,0,51.13,0,30.89,0,0,0,0,0,0,48.26,43.87,37.3,32,14.62,4.83,135.14,4.83,144.8,43.87,0,0,0,4.83,0,0.68,96.53,14.62,96.53,62.74,48.26,24.13,28.96,10.62,0,123.08,14.48,13.51,0,32,67.57,28.96,12.66,164.1,0,5.79,14.48,164.1,29.01,1649.1799999999998

9,02:00-02:15,0,0,0,0,51.13,0,30.89,0,0,0,0,0,0,48.26,43.87,37.3,32,14.62,4.83,135.14,4.83,144.8,43.87,0,0,0,4.83,0,0.63,0,14.62,96.53,62.74,48.26,24.13,28.96,10.62,0,123.08,14.48,13.51,96.53,32,0,0,12.38,164.1,0,0,0,164.1,29.01,1532.05

10,02:15-02:30,0,0,0,0,51.13,0,30.89,0,0,0,0,0,0,48.26,43.87,37.3,32,14.62,4.83,135.14,4.83,144.8,43.87,0,0,0,4.83,0,0.63,0,14.62,96.53,62.74,48.26,24.13,28.96,10.62,0,123.08,14.48,13.51,96.53,32,0,0,12.38,164.1,0,0,0,164.1,29.01,1532.05

11,02:30-02:45,0,0,0,0,51.13,0,30.89,0,0,0,0,0,0,48.26,43.87,37.3,32,14.62,4.83,135.14,4.83,144.8,43.87,0,0,0,4.83,0,0.63,0,14.62,96.53,62.74,48.26,24.13,28.96,10.62,0,123.08,14.48,13.51,96.53,32,0,0,12.38,164.1,0,0,0,164.1,29.01,1532.05

12,02:45-03:00,0,0,0,0,51.13,0,30.89,0,0,0,0,0,0,48.26,43.87,37.3,32,14.62,4.83,135.14,4.83,144.8,43.87,0,0,0,4.83,0,0.63,0,14.62,96.53,62.74,48.26,24.13,28.96,10.62,0,123.08,14.48,13.51,96.53,32,0,0,12.38,164.1,0,0,0,164.1,29.01,1532.05

13,03:00-03:15,0,0,0,0,51.13,0,30.89,0,0,0,0,0,0,48.26,43.87,37.3,26.93,14.62,4.83,135.14,4.83,144.8,43.87,0,0,0,4.83,0,0.48,0,14.62,96.53,62.74,48.26,24.13,28.96,10.62,0,123.08,14.48,13.51,96.53,26.93,0,0,12.19,164.1,0,0,0,164.1,29.01,1521.57

14,03:15-03:30,0,0,0,0,51.13,0,30.89,0,0,0,0,0,0,48.26,43.87,37.3,26.93,14.62,4.83,135.14,4.83,144.8,43.87,0,0,0,4.83,0,0.48,0,14.62,96.53,62.74,48.26,24.13,28.96,10.62,0,123.08,14.48,13.51,96.53,26.93,0,0,12.19,164.1,0,0,0,164.1,29.01,1521.57

15,03:30-03:45,0,0,0,0,51.13,0,30.89,0,0,0,0,0,0,48.26,43.87,37.3,26.93,14.62,4.83,135.14,4.83,144.8,43.87,0,0,0,4.83,0,0.48,0,14.62,96.53,62.74,48.26,24.13,28.96,10.62,0,123.08,14.48,13.51,96.53,26.93,0,0,12.19,164.1,0,0,0,164.1,29.01,1521.57

16,03:45-04:00,0,0,0,0,51.13,0,30.89,0,0,0,0,0,0,48.26,43.87,37.3,26.93,14.62,4.83,135.14,4.83,144.8,43.87,0,0,0,4.83,0,0.48,0,14.62,96.53,62.74,48.26,24.13,28.96,10.62,0,123.08,14.48,13.51,96.53,26.93,0,0,12.19,164.1,0,0,0,164.1,29.01,1521.57

17,04:00-04:15,0,0,0,0,51.13,0,30.89,0,0,0,0,0,0,48.26,43.87,37.3,26.93,14.62,4.83,135.14,4.83,0,43.87,0,0,0,4.83,0,0.48,0,14.62,96.53,62.74,48.26,24.13,28.96,10.62,0,123.08,14.48,13.51,96.53,26.93,0,0,11.92,164.1,0,0,0,164.1,29.01,1376.4999999999998

18,04:15-04:30,0,0,0,0,51.13,0,30.89,0,0,0,0,0,0,48.26,43.87,37.3,26.93,14.62,4.83,135.14,4.83,0,43.87,0,0,0,4.83,0,0.48,0,14.62,96.53,62.74,48.26,24.13,28.96,10.62,0,123.08,14.48,13.51,96.53,26.93,0,0,11.92,164.1,0,0,0,164.1,29.01,1376.4999999999998

19,04:30-04:45,0,0,0,0,51.13,0,30.89,0,0,0,0,0,0,48.26,43.87,37.3,26.93,14.62,4.83,135.14,4.83,0,43.87,0,0,0,4.83,0,0.48,0,14.62,96.53,62.74,48.26,24.13,28.96,10.62,0,123.08,14.48,13.51,96.53,26.93,0,0,11.92,164.1,0,0,0,164.1,29.01,1376.4999999999998

20,04:45-05:00,0,0,0,0,51.13,0,30.89,0,0,0,0,0,0,48.26,43.87,37.3,26.93,14.62,4.83,135.14,4.83,0,43.87,0,0,0,4.83,0,0.48,0,14.62,96.53,62.74,48.26,24.13,28.96,10.62,0,123.08,14.48,13.51,96.53,26.93,0,0,11.92,164.1,0,0,0,164.1,29.01,1376.4999999999998

21,05:00-05:15,0,0,0,0,51.13,0,30.89,0,0,0,0,0,0,48.26,43.87,37.3,26.93,14.62,4.83,135.14,4.83,0,43.87,0,0,0,4.83,0,0.48,0,14.62,96.53,62.74,48.26,24.13,28.96,10.62,0,123.08,14.48,13.51,96.53,26.93,0,0,11.64,164.1,0,0,0,164.1,29.01,1376.2199999999998

22,05:15-05:30,0,0,0,0,51.13,0,30.89,0,0,0,0,0.02,0,48.26,43.87,37.3,26.93,14.62,4.83,135.14,4.83,0,43.87,0,0,0,4.83,0,0.48,0,14.62,96.53,62.74,48.26,24.13,28.96,10.62,0,123.08,14.48,13.51,96.53,26.93,0,0,11.64,164.1,0,0,0,164.1,29.01,1376.2399999999998

23,05:30-05:45,0,0,0,0,51.13,0,30.89,0,0,0,0,0.12,0,48.26,43.87,37.3,26.93,14.62,4.83,135.14,4.83,0,43.87,0,0,0,4.83,0,0.48,0,14.62,96.53,62.74,48.26,24.13,28.96,10.62,0,123.08,14.48,13.51,96.53,26.93,0,0,11.64,164.1,0,0,0,164.1,29.01,1376.34

24,05:45-06:00,0,0,0,0,51.13,0,30.89,0,0,0,0,0.14,0,48.26,43.87,37.3,26.93,14.62,4.83,135.14,4.83,0,43.87,0,0,0,4.83,0,0.48,0,14.62,96.53,62.74,48.26,24.13,28.96,10.62,0,123.08,14.48,13.51,96.53,26.93,0,0,11.64,164.1,0,0,0,164.1,29.01,1376.36

25,06:00-06:15,0,0,0,0,51.13,0,30.89,0,0,0,0,0.7,0,48.26,43.87,37.3,26.93,14.62,4.83,135.14,4.83,0,43.87,0,0,0,3.86,0,0.58,0,14.62,96.53,62.74,48.26,24.13,28.96,10.62,0,123.08,14.48,13.51,96.53,26.93,0,0,11.36,164.1,0,0,0,164.1,29.01,1375.77

26,06:15-06:30,0,0,0,0,51.13,0,30.89,0,0,0,0,1.48,0,48.26,43.87,37.3,26.93,14.62,4.83,135.14,4.83,0,43.87,0,0,0,3.86,0,0.58,0,14.62,96.53,62.74,48.26,24.13,28.96,10.62,0,123.08,14.48,13.51,96.53,26.93,0,0,11.36,164.1,0,0,0,164.1,29.01,1376.55

27,06:30-06:45,0,0,0,0,51.13,0,30.89,0,0,1,0,5.09,0,48.26,43.87,37.3,26.93,14.62,4.83,135.14,4.83,0,43.87,0,0,0,3.86,0,0.58,0,14.62,96.53,62.74,48.26,24.13,28.96,10.62,0,123.08,14.48,13.51,96.53,26.93,0,0,11.36,164.1,0,0,0,164.1,29.01,1381.1599999999999

28,06:45-07:00,0,0,0,0,51.13,0,30.89,0,0,4,0,8.08,0,48.26,43.87,37.3,26.93,14.62,4.83,135.14,4.83,0,43.87,0,0,0,3.86,0,0.58,0,14.62,96.53,62.74,48.26,24.13,28.96,10.62,0,123.08,14.48,13.51,96.53,26.93,0,0,11.36,164.1,0,0,0,164.1,29.01,1387.1499999999999

29,07:00-07:15,0,0,0,0,51.13,0,30.89,0,0,14,0,12.02,0,48.26,43.87,37.3,26.93,14.62,4.83,135.14,4.83,0,43.87,0,0,0,3.86,0,0.68,0,14.62,96.53,62.74,48.26,24.13,28.96,10.62,0,123.08,14.48,13.51,96.53,26.93,0,0,11.08,164.1,0,0,0,164.1,29.01,1400.9099999999999

30,07:15-07:30,0,0,0,0,51.13,0,30.89,0,0,28,0,16.47,0,48.26,43.87,37.3,26.93,14.62,4.83,135.14,4.83,0,43.87,0,0,0,3.86,0,0.68,0,14.62,96.53,62.74,48.26,24.13,28.96,10.62,0,123.08,14.48,13.51,96.53,26.93,0,0,11.08,164.1,0,0,0,164.1,29.01,1419.36

31,07:30-07:45,0,0,0,0,51.13,0,30.89,0,0,42,0,18.92,0,48.26,43.87,37.3,26.93,14.62,4.83,135.14,4.83,0,43.87,0,0,0,3.86,0,0.68,0,14.62,96.53,62.74,48.26,24.13,28.96,10.62,0,123.08,14.48,13.51,96.53,26.93,0,0,11.08,164.1,0,0,0,164.1,29.01,1435.81

32,07:45-08:00,0,0,0,0,51.13,0,30.89,0,0,56,0,24.01,0,48.26,43.87,37.3,26.93,14.62,4.83,135.14,4.83,0,43.87,0,0,0,3.86,0,0.68,0,14.62,96.53,62.74,48.26,24.13,28.96,10.62,0,123.08,14.48,13.51,96.53,26.93,0,0,11.08,164.1,0,0,0,164.1,29.01,1454.8999999999999

33,08:00-08:15,0,0,0,0,51.13,0,30.89,0,0,70,7.72,26.15,0,48.26,43.87,37.3,26.93,14.62,4.83,135.14,4.83,0,43.87,0,0,0,3.86,0,0.97,96.53,14.62,96.53,62.74,48.26,24.13,28.96,10.62,0,123.08,14.48,13.51,0,26.93,0,0,10.9,164.1,0,0,0,164.1,29.01,1478.87

34,08:15-08:30,0,0,0,0,51.13,0,30.89,0,0,88,7.72,30.8,0,48.26,43.87,37.3,26.93,14.62,4.83,135.14,4.83,0,43.87,0,0,0,3.86,0,0.97,96.53,14.62,96.53,62.74,48.26,24.13,28.96,10.62,0,123.08,14.48,13.51,0,26.93,0,0,10.9,164.1,0,0,0,164.1,29.01,1501.52

35,08:30-08:45,0,0,0,0,51.13,0,30.89,0,0,91,7.72,35.27,0,48.26,43.87,37.3,26.93,14.62,4.83,135.14,4.83,0,43.87,0,0,0,3.86,0,0.97,96.53,14.62,96.53,62.74,48.26,24.13,28.96,10.62,0,123.08,14.48,13.51,0,26.93,0,0,10.9,164.1,0,0,0,164.1,29.01,1508.99

36,08:45-09:00,0,0,0,0,51.13,0,30.89,0,0,112,7.72,40.19,0,48.26,43.87,37.3,26.93,14.62,4.83,135.14,4.83,0,43.87,0,0,0,3.86,0,0.97,96.53,14.62,96.53,62.74,48.26,24.13,28.96,10.62,0,123.08,14.48,13.51,0,26.93,0,0,10.9,164.1,0,0,0,164.1,29.01,1534.91

37,09:00-09:15,24.13,0,48.26,96.53,51.13,53.09,30.89,0,0,126,10.62,44.94,0,0,43.87,37.3,26.94,14.62,4.83,135.14,4.83,0,43.87,0,0,0,4.83,0,0.97,0,14.62,96.53,62.74,48.26,0,28.96,10.62,0,123.08,14.48,13.51,0,26.94,0,0,10.71,164.1,0,0,0,164.1,29.01,1610.4499999999998

38,09:15-09:30,24.13,0,48.26,96.53,51.13,53.09,30.89,0,0,140,10.62,48.93,0,0,43.87,37.3,26.94,14.62,4.83,135.14,4.83,0,43.87,0,0,0,4.83,0,0.97,0,14.62,96.53,62.74,48.26,0,28.96,10.62,0,123.08,14.48,13.51,0,26.94,0,0,10.71,164.1,0,0,0,164.1,29.01,1628.4399999999998

39,09:30-09:45,24.13,0,48.26,96.53,51.13,53.09,30.89,0,0,151,10.62,54,0,0,43.87,37.3,26.94,14.62,4.83,135.14,4.83,0,43.87,0,0,0,4.83,0,0.97,0,14.62,96.53,62.74,48.26,0,28.96,10.62,0,123.08,14.48,13.51,0,26.94,0,0,10.71,164.1,0,0,0,164.1,29.01,1644.51

40,09:45-10:00,24.13,0,48.26,96.53,51.13,53.09,30.89,0,0,161,10.62,57.33,0,0,43.87,37.3,26.94,14.62,4.83,135.14,4.83,0,43.87,0,0,0,4.83,0,0.97,0,14.62,96.53,62.74,48.26,0,28.96,10.62,0,123.08,14.48,13.51,0,26.94,0,0,10.71,164.1,0,0,0,164.1,29.01,1657.84

41,10:00-10:15,24.13,0,48.26,96.53,51.13,53.09,30.89,0,0,165,12.55,60.67,0,0,43.87,37.3,26.94,14.62,4.83,135.14,4.83,0,43.87,0,0,0,4.83,0,0.97,0,14.62,96.53,62.74,48.26,0,28.96,10.62,0,123.08,14.48,13.51,0,26.94,0,0,10.53,164.1,0,0,0,164.1,29.01,1666.9299999999998

42,10:15-10:30,24.13,0,48.26,96.53,51.13,53.09,30.89,0,0,175,12.55,63.33,0,0,43.87,37.3,26.94,14.62,4.83,135.14,4.83,0,43.87,0,0,0,4.83,0,0.97,0,14.62,96.53,62.74,48.26,0,28.96,10.62,0,123.08,14.48,13.51,0,26.94,0,0,10.53,164.1,0,0,0,164.1,29.01,1679.5899999999997

43,10:30-10:45,24.13,0,48.26,96.53,51.13,53.09,30.89,0,0,193,12.55,80.96,0,0,43.87,37.3,26.94,14.62,4.83,135.14,4.83,0,43.87,0,0,0,4.83,0,0.97,0,14.62,96.53,62.74,48.26,0,28.96,10.62,0,123.08,14.48,13.51,0,26.94,0,0,10.53,164.1,0,0,0,164.1,29.01,1715.2199999999998

44,10:45-11:00,24.13,0,48.26,96.53,51.13,53.09,30.89,0,0,200,12.55,83.72,0,0,43.87,37.3,26.94,14.62,4.83,135.14,4.83,0,43.87,0,0,0,4.83,0,0.97,0,14.62,96.53,62.74,48.26,0,28.96,10.62,0,123.08,14.48,13.51,0,26.94,0,0,10.53,164.1,0,0,0,164.1,29.01,1724.9799999999998

45,11:00-11:15,24.13,0,48.26,96.53,51.13,53.09,30.89,0,0,179,13.51,86,0,0,43.87,37.3,26.94,14.62,4.83,135.14,4.83,0,43.87,0,0,0,4.83,0,0.97,0,14.62,96.53,62.74,48.26,0,28.96,10.62,0,123.08,14.48,13.51,0,26.94,0,0,10.43,164.1,0,0,0,164.1,29.01,1707.12

46,11:15-11:30,24.13,0,48.26,96.53,51.13,53.09,30.89,0,0,179,13.51,87.79,0,0,43.87,37.3,26.94,14.62,4.83,135.14,4.83,0,43.87,0,0,0,4.83,0,0.97,0,14.62,96.53,62.74,48.26,0,28.96,10.62,0,123.08,14.48,13.51,0,26.94,0,0,10.43,164.1,0,0,0,164.1,29.01,1708.9099999999999

47,11:30-11:45,24.13,0,48.26,96.53,51.13,53.09,30.89,0,0,161,13.51,89.08,0,0,43.87,37.3,26.94,14.62,4.83,135.14,4.83,0,43.87,0,0,0,4.83,0,0.97,0,14.62,96.53,62.74,48.26,0,28.96,10.62,0,123.08,14.48,13.51,0,26.94,0,0,10.43,164.1,0,0,0,164.1,29.01,1692.1999999999998

48,11:45-12:00,24.13,0,48.26,96.53,51.13,53.09,30.89,0,0,161,13.51,89.84,0,0,43.87,37.3,26.94,14.62,4.83,135.14,4.83,0,43.87,0,0,0,4.83,0,0.97,0,14.62,96.53,62.74,48.26,0,28.96,10.62,0,123.08,14.48,13.51,0,26.94,0,0,10.43,164.1,0,0,0,164.1,29.01,1692.9599999999998

49,12:00-12:15,24.13,0,48.26,96.53,51.13,53.09,30.89,0,0,175,13.51,90.12,0,0,43.87,37.3,26.95,14.62,4.83,135.14,4.83,0,43.87,0,0,0,4.83,0,0.97,0,14.62,96.53,62.74,48.26,0,28.96,10.62,0,123.08,14.48,13.51,0,26.95,0,0,10.35,164.1,0,0,0,164.1,17.55,1695.7199999999996

50,12:15-12:30,24.13,0,48.26,96.53,51.13,53.09,30.89,0,0,175,13.51,89.95,0,0,43.87,37.3,26.95,14.62,4.83,135.14,4.83,0,43.87,0,0,0,4.83,0,0.97,0,14.62,96.53,62.74,48.26,0,28.96,10.62,0,123.08,14.48,13.51,0,26.95,0,0,10.35,164.1,0,0,0,164.1,17.55,1695.5499999999997

51,12:30-12:45,24.13,0,48.26,96.53,51.13,53.09,30.89,0,0,189,13.51,89.55,0,0,43.87,37.3,26.95,14.62,4.83,135.14,4.83,0,43.87,0,0,0,4.83,0,0.97,0,14.62,96.53,62.74,48.26,0,28.96,10.62,0,123.08,14.48,13.51,0,26.95,0,0,10.35,164.1,0,0,0,164.1,17.55,1709.1499999999996

52,12:45-13:00,24.13,0,48.26,96.53,51.13,53.09,30.89,0,0,189,13.51,88.96,0,0,43.87,37.3,26.95,14.62,4.83,135.14,4.83,0,43.87,0,0,0,4.83,0,0.97,0,14.62,96.53,62.74,48.26,0,28.96,10.62,0,123.08,14.48,13.51,0,26.95,0,0,10.35,164.1,0,0,0,164.1,17.55,1708.5599999999997

53,13:00-13:15,24.13,0,48.26,96.53,51.13,53.09,30.89,0,0,189,13.51,88.37,0,0,43.87,37.3,26.95,14.62,4.83,135.14,4.83,0,43.87,0,0,0,5.79,0,0.97,0,14.62,96.53,62.74,48.26,0,28.96,10.62,0,123.08,14.48,13.51,0,26.95,0,0,10.16,164.1,0,0,0,164.1,17.55,1708.7399999999998

54,13:15-13:30,24.13,0,48.26,96.53,51.13,53.09,30.89,0,0,189,13.51,87.76,0,0,43.87,37.3,26.95,14.62,4.83,135.14,4.83,0,43.87,0,0,0,5.79,0,0.97,0,14.62,96.53,62.74,48.26,0,28.96,10.62,0,123.08,14.48,13.51,0,26.95,0,0,10.16,164.1,0,0,0,164.1,17.55,1708.1299999999997

55,13:30-13:45,24.13,0,48.26,96.53,51.13,53.09,30.89,0,0,189,13.51,87.05,0,0,43.87,37.3,26.95,14.62,4.83,135.14,4.83,0,43.87,0,0,0,5.79,0,0.97,0,14.62,96.53,62.74,48.26,0,28.96,10.62,0,123.08,14.48,13.51,0,26.95,0,0,10.16,164.1,0,0,0,164.1,17.55,1707.4199999999996

56,13:45-14:00,24.13,0,48.26,96.53,51.13,53.09,30.89,0,0,189,13.51,85.92,0,0,43.87,37.3,26.95,14.62,4.83,135.14,4.83,0,43.87,0,0,0,5.79,0,0.97,0,14.62,96.53,62.74,48.26,0,28.96,10.62,0,123.08,14.48,13.51,0,26.95,0,0,10.16,164.1,0,0,0,164.1,17.55,1706.2899999999997

