Block,Time,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/30092023/26122029/SH-06,NR/01042024/30042024/PTC/OA/32001,NR/01102023/31102037/L_NR_2019_11,NR/01042024/31072024/LT_MEJA_DELHI,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/25122043/GNA_MEJA_DELHI,NR/01102023/31052040/LT-31,NR/01042024/30062024/NOC/HPSLDC/NR/2024/41758,NR/01102023/30042040/GNA_LT_35,NR/01102023/06022042/L_NR_2012_02,NR/01102023/05012040/L_NR_2020_02,NR/01102023/06022042/L_NR_2012_07,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/30042040/GNA_LT_36,NR/01102023/22052037/LT-59,NR/01102023/23072042/L_NR_2012_04,NR/01102023/19072037/LT-05,NR/30092023/31122025/SH-07,SR/01102023/07102043/L_NR_2018_61,NR/01102023/25072045/L_NR_2021_15,L_NR_2019_19,NR/22102023/11042047/L_NR_2021_17,NR/04042024/30042024/SJVN040424NR1694,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/26072023/31072042/L_NR_2023_07,WR/01102023/01102023/L_NR_2022_09,NR/01102023/13082046/L_NR_2021_12,WR/01102023/30052048/L_NR_2022_10,WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2020_06,NR/01102023/02122045/L_NR_2021_13,WR/01102023/31032046/L_NR_2020_05,WR/01102023/24112044/L_NR_2020_07,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/26072023/25122043/L_NR_2023_10,WR/01102023/29112042/L_NR_2019_05,NR/22102023/11042047/L_NR_2021_16,NR/01102023/08032047/L_NR_2021_14
10,02:15-02:30,231.430000,25.500000,40.980000,2.990000,16.080000,28.770000,0.000000,0.000000,7.730000,0.000000,205.930000,3.110000,57.490000,53.040000,0.000000,3.110000,0.000000,35.150000,25.500000,8.21,0,0,0,0,0,0,28.33,0,28.33,12.34,15.5,0,46.5,15.5,0,0,0,0,0

11,02:30-02:45,202.500000,25.500000,40.980000,2.990000,16.080000,28.770000,0.000000,0.000000,7.730000,0.000000,205.930000,3.110000,57.490000,53.040000,0.000000,3.110000,0.000000,35.150000,25.500000,8.01,0,0,0,0,0,0,31.67,0,31.67,13.16,13.34,0,40,13.33,0,0,0,0,0

12,02:45-03:00,192.860000,25.500000,40.980000,2.990000,16.080000,28.770000,0.000000,0.000000,7.730000,0.000000,205.930000,3.110000,57.490000,53.040000,0.000000,3.110000,0.000000,35.150000,25.500000,8.01,0,0,0,0,0,0,31.67,0,31.67,12.84,13,0,39,13,0,0,0,0,0

13,03:00-03:15,192.860000,25.500000,40.980000,2.990000,16.080000,29.780000,0.000000,0.000000,7.730000,0.000000,205.930000,3.110000,57.490000,53.040000,0.000000,3.110000,0.000000,35.150000,25.500000,8.01,0,0,0,0,0,0,31.33,0,31.33,16.84,12.66,0,38,12.67,0,0,0,0,0

14,03:15-03:30,192.860000,25.500000,40.980000,2.990000,16.080000,29.780000,0.000000,0.000000,7.730000,0.000000,205.930000,3.110000,57.490000,69.430000,0.000000,3.110000,0.000000,35.150000,25.500000,8.01,0,0,0,0,0,0,31,0,31,16.4,12.5,0,37.5,12.5,0,0,0,0,0

15,03:30-03:45,192.860000,25.500000,40.980000,2.990000,16.080000,29.780000,0.000000,0.000000,7.730000,0.000000,205.930000,3.110000,57.490000,72.320000,0.000000,3.110000,0.000000,35.150000,25.500000,8.01,0,0,0,0,0,0,30.33,0,30.33,18.34,16.5,0,49.5,16.5,0,0,0,0,0

16,03:45-04:00,173.570000,25.500000,40.980000,2.990000,16.080000,29.780000,0.000000,0.000000,7.730000,0.000000,205.930000,3.110000,57.490000,81.970000,0.000000,3.110000,0.000000,35.150000,25.500000,8.01,0,0,0,0,0,0,29.67,0,29.67,17.66,16.34,0,49,16.33,0,0,0,0,0

17,04:00-04:15,183.220000,25.500000,40.980000,2.910000,16.080000,29.780000,0.000000,0.000000,7.640000,0.000000,205.930000,3.110000,57.490000,81.970000,0.000000,2.950000,0.000000,35.150000,25.500000,8.01,0,0,0,0,0,0,36.67,0,36.67,16.66,16.16,0,48.5,16.17,0,0,0,0,0

18,04:15-04:30,183.220000,25.500000,40.980000,2.910000,16.080000,28.260000,0.000000,0.000000,7.640000,0.000000,205.930000,3.110000,57.490000,81.970000,0.000000,2.950000,0.000000,35.150000,25.500000,8.01,0,0,0,0,0,0,36.33,0,36.33,16,16,0,48,16,0,0,0,0,0

19,04:30-04:45,183.220000,25.500000,40.980000,3.070000,16.080000,28.260000,0.000000,0.000000,7.640000,0.000000,205.930000,3.110000,57.490000,81.970000,0.000000,2.950000,0.000000,35.150000,25.500000,8.01,0,0,0,0,0,0,29.33,0,29.33,15,15.66,0,47,15.67,0,0,0,0,0

20,04:45-05:00,192.860000,25.500000,40.980000,3.070000,16.080000,28.260000,0.000000,0.000000,7.640000,0.000000,205.930000,3.110000,57.490000,81.970000,0.000000,2.950000,0.000000,35.150000,25.500000,8.01,0,0,0,0,0,0,28.33,0,28.33,14.66,15,0,45,15,0,0,0,0,0

21,05:00-05:15,231.430000,25.500000,40.980000,2.990000,16.080000,28.260000,0.000000,0.000000,7.640000,0.000000,205.930000,3.020000,57.490000,81.970000,0.000000,2.950000,0.000000,35.150000,25.500000,8.01,0,0,0,0,0,0,18.33,0,18.33,14,10.84,0,32.5,10.83,0,0,0,0,0

22,05:15-05:30,231.430000,25.500000,40.980000,2.990000,16.080000,28.260000,0.000000,0.000000,7.640000,0.000000,205.930000,3.020000,57.490000,86.790000,0.000000,2.950000,0.000000,35.150000,25.500000,8.01,0,0,0,0,0,0,17.33,0,17.33,13.34,11,0,33,11,0,0,0,0,0

23,05:30-05:45,250.720000,25.500000,40.980000,2.990000,16.080000,28.260000,0.000000,0.000000,7.640000,0.000000,205.930000,3.020000,57.490000,81.970000,0.000000,2.950000,0.000000,35.150000,25.500000,7.01,0,0,0,0,0,0,16.67,0,16.67,10,10.84,0,32.5,10.83,0,0,0,0,0

24,05:45-06:00,250.720000,25.500000,40.980000,2.990000,16.080000,28.260000,0.000000,0.000000,7.640000,0.000000,205.930000,3.020000,57.490000,81.970000,0.000000,2.950000,0.000000,35.150000,25.500000,7.01,0,0,0,0,0,0,16,0,16,9.34,10.5,0,31.5,10.5,0,0,0,0,0

25,06:00-06:15,272.660000,25.500000,40.980000,2.990000,16.080000,28.260000,0.000000,0.000000,7.550000,0.000000,205.930000,3.020000,57.490000,81.970000,0.000000,2.800000,0.000000,35.150000,25.500000,7.01,0,1.821193,0,0,3.71,0,13.33,0,13.33,7.34,10,0,30,10,0,0,0,0,0

26,06:15-06:30,272.660000,25.500000,40.980000,2.990000,16.080000,28.260000,0.000000,0.000000,7.550000,0.000000,205.930000,3.020000,57.490000,100.460000,0.000000,2.800000,0.000000,35.150000,25.500000,7.01,0.2,5.901834,0,0,8.09,0,13.33,0.41,13.33,7.34,9.66,0.08,29,9.67,0.5,0,2.72,0,0

27,06:30-06:45,272.660000,25.500000,40.980000,2.990000,16.080000,27.750000,0.000000,0.070000,7.550000,0.070000,261.810000,3.020000,68.010000,100.460000,0.070000,2.800000,0.000000,35.150000,25.500000,9.01,0.5,10.508381,0,0,18.19,2,13.33,4.7,13.33,7.34,7.34,0.94,22,7.33,5,1,6.72,0,0

28,06:45-07:00,272.660000,25.500000,40.980000,2.990000,16.080000,27.750000,0.000000,0.280000,7.550000,0.280000,261.810000,3.020000,68.010000,100.460000,0.290000,2.800000,0.000000,35.150000,25.500000,9.01,1,16.157001,0,0,25.1,6,13.33,7.77,13.33,7.34,7.34,1.55,22,7.33,15,2,13.04,0,0.25

29,07:00-07:15,272.660000,25.500000,40.980000,2.990000,16.080000,27.750000,0.000000,0.630000,7.550000,0.630000,261.810000,3.020000,68.010000,100.460000,0.640000,2.800000,0.000000,35.150000,25.500000,12.01,3.5,23.285949,1,0,20.02,11,20.67,13.48,20.67,7.34,9.5,2.69,28.5,9.5,20.01,4,20.02,2,1.91

30,07:15-07:30,272.660000,25.500000,40.980000,2.910000,16.080000,27.250000,0.000000,1.120000,7.550000,1.120000,261.810000,3.020000,68.010000,100.460000,1.150000,2.800000,0.000000,35.150000,25.500000,12.01,6.5,32.04131,3,0,20.52,20,21.33,25.22,21.33,7.34,9.66,5.04,29,9.67,20.51,8,20.52,6,4.85

31,07:30-07:45,272.660000,25.500000,40.980000,2.910000,16.080000,26.240000,0.000000,1.750000,7.550000,1.750000,261.810000,3.020000,68.010000,100.460000,1.790000,2.800000,0.000000,35.150000,25.500000,12.01,8,41.897178,7,0,21.52,35,21.67,37.52,21.67,7.34,9.84,7.5,29.5,9.83,21.51,15,21.52,15,9.17

32,07:45:08:00,272.660000,25.500000,40.980000,2.910000,16.080000,26.240000,0.000000,2.950000,7.550000,2.950000,205.930000,3.020000,57.490000,100.460000,3.030000,2.800000,0.000000,35.150000,25.500000,11.81,11,52.512688,11,0,22.35,49,22,47.33,22,7.34,10.34,9.46,31,10.33,22.35,21,22.35,22,14.76

33,08:00-08:15,272.660000,25.500000,40.980000,3.140000,16.080000,26.750000,0.000000,3.700000,7.450000,3.700000,205.930000,3.020000,57.490000,100.460000,3.790000,3.030000,0.000000,35.150000,25.500000,11.81,14,62.592553,7,0,24.35,32,13.33,58.43,13.33,7.34,7.66,11.69,23,7.67,24.35,13,24.35,15,21

34,08:15-08:30,272.660000,25.500000,40.980000,3.140000,16.080000,26.750000,0.000000,5.010000,7.450000,5.010000,205.930000,3.020000,57.490000,93.540000,5.150000,3.030000,0.000000,35.150000,25.500000,11.61,17,71.951732,8,0,25.85,35,13.33,69.78,13.33,7.34,7.66,13.95,23,7.67,25.85,15,25.85,17,26.94

35,08:30-08:45,272.660000,25.500000,40.980000,3.140000,16.080000,26.240000,0.000000,6.330000,7.450000,6.330000,172.260000,3.020000,57.490000,80.040000,6.480000,3.030000,0.000000,35.150000,25.500000,11.21,20,80.843439,13,0,26.68,56,13.33,120.69,13.33,7.34,7.66,24.14,23,7.67,26.69,24,26.68,27,33.32

36,08:45:09:00,231.430000,25.500000,40.980000,3.140000,16.080000,26.240000,0.000000,7.530000,7.450000,7.530000,124.050000,3.020000,33.750000,74.250000,7.720000,3.030000,0.000000,35.150000,25.500000,10.81,23,89.355325,17,0,27.35,70,13.33,144.94,13.33,7.34,7.66,28.99,23,7.67,27.35,30,27.35,33,39.65

37,09:00:09:15,192.860000,25.500000,40.980000,3.070000,16.080000,26.240000,0.000000,8.630000,7.370000,8.630000,111.860000,3.020000,33.750000,54.000000,8.840000,2.950000,0.000000,35.150000,25.500000,8.81,29,86.462842,18,53.04,27.35,60,13.33,140.89,13.33,5,6.66,28.18,20,6.67,27.35,25,27.35,37,33.33

38,09:15-09:30,173.570000,25.500000,40.980000,3.070000,16.080000,26.240000,0.000000,9.650000,7.370000,9.650000,111.860000,3.020000,33.750000,54.000000,9.880000,2.950000,0.000000,35.150000,25.500000,8.61,32.21,93.533356,22,53.04,29.35,67,13.33,158.39,13.33,5,6.66,31.68,20,6.67,29.35,28,29.35,43,36.67

39,09:30-09:45,212.150000,25.500000,40.980000,3.070000,16.080000,26.240000,0.000000,10.610000,7.370000,10.610000,111.860000,3.020000,33.750000,54.000000,10.880000,2.950000,0.000000,35.150000,25.500000,8.61,34.84,100.243527,13,53.04,29.35,56,13.33,175.82,13.33,5,6.66,35.16,20,6.67,29.35,24,29.35,27,45

40,09:45-10:00,231.430000,25.500000,40.980000,3.070000,16.080000,26.750000,0.000000,11.320000,7.370000,11.320000,111.860000,3.020000,33.750000,54.000000,11.600000,2.950000,0.000000,35.150000,25.500000,8.81,37.04,105.970059,16,53.04,30.02,67,14.33,191.8,14.33,5,6.66,38.36,20,6.67,30.01,28,30.02,31,50

41,10:00-10:15,241.080000,25.500000,40.980000,2.990000,16.080000,26.750000,0.000000,12.190000,7.270000,12.190000,111.860000,0.000000,33.750000,54.000000,12.490000,2.950000,0.000000,35.150000,25.500000,9.01,38.96,111.053817,17,53.04,30.02,70,8.33,220.83,8.33,5,4.16,44.17,12.5,4.17,30.01,30,30.02,33,66.67

42,10:15-10:30,250.720000,25.500000,40.980000,2.990000,16.080000,26.750000,0.000000,12.860000,7.270000,12.860000,111.860000,0.000000,33.750000,54.000000,13.190000,2.950000,0.000000,35.150000,25.500000,8.81,39,114.53064,19,53.04,30.02,81,8.33,220.83,8.33,5,4.16,44.17,12.5,4.17,30.01,34,30.02,38,73.33

43,10:30-10:45,272.660000,25.500000,40.980000,2.990000,16.080000,26.750000,0.000000,13.490000,7.270000,13.490000,111.860000,0.000000,33.750000,54.000000,13.840000,2.950000,0.000000,35.150000,25.500000,12.8,40,99.230671,22,53.04,30.02,101,8.33,220.83,8.33,5,4.16,44.17,12.5,4.17,30.01,43,30.02,45,80

44,10:45-11:00,272.660000,25.500000,40.980000,2.990000,16.080000,26.750000,0.000000,10.940000,7.270000,10.940000,111.860000,0.000000,33.750000,54.000000,11.220000,2.950000,0.000000,35.150000,25.500000,13,41,102.989925,24,53.04,30.02,108,8.33,220.83,8.33,5,4.16,44.17,12.5,4.17,30.01,46,30.02,48,83.33

45,11:00-11:15,272.660000,25.500000,40.980000,2.990000,16.080000,25.240000,0.000000,11.420000,7.180000,11.420000,140.790000,0.000000,33.750000,54.000000,11.710000,2.870000,0.000000,35.150000,25.500000,14,42,105.599977,28,53.04,30.18,119,8.33,231.67,8.33,5,4.16,46.33,12.5,4.17,30.19,51,30.18,57,85

46,11:15-11:30,272.660000,25.500000,40.980000,2.990000,16.080000,25.240000,0.000000,11.830000,7.180000,11.830000,167.740000,0.000000,33.750000,54.000000,12.130000,2.870000,0.000000,35.150000,25.500000,14.8,42.5,107.635428,31,53.04,30.18,130,8.33,231.67,8.33,5,4.16,46.33,12.5,4.17,30.19,55,30.18,61,85.55

47,11:30-11:45,272.660000,25.500000,40.980000,2.990000,16.080000,24.720000,0.000000,15.000000,7.180000,15.000000,167.740000,0.000000,33.750000,54.000000,15.380000,2.870000,0.000000,35.150000,25.500000,17.4,42.5,107.723079,44,53.04,30.52,179,8.33,231.67,8.33,5,4.16,46.33,12.5,4.17,30.51,76,30.52,89,85.55

48,11:45-12:00,272.660000,25.500000,40.980000,2.990000,16.080000,24.720000,0.000000,15.000000,7.180000,15.000000,167.740000,0.000000,33.750000,54.000000,15.380000,2.870000,0.000000,35.150000,25.500000,17.8,42.5,100.204571,44,53.04,30.52,182,8.33,231.67,8.33,5,4.16,46.33,12.5,4.17,30.51,78,30.52,89,85.55

49,12:00-12:15,231.430000,25.500000,40.980000,2.990000,16.080000,26.240000,0.000000,15.000000,7.090000,15.000000,167.740000,2.970000,33.750000,54.000000,15.380000,2.870000,0.000000,35.150000,25.500000,18.2,43,110.021483,44,53.04,30.52,182,8.33,231.67,8.33,5,4.16,46.33,12.5,4.17,30.51,78,30.52,89,85.55

50,12:15-12:30,221.790000,25.500000,40.980000,2.990000,16.080000,26.240000,0.000000,15.000000,7.090000,15.000000,167.740000,2.970000,33.750000,54.000000,15.380000,2.870000,0.000000,35.150000,25.500000,18.4,44,113.576218,44,53.04,30.52,182,8.33,231.67,8.33,5,4.16,46.33,12.5,4.17,30.51,78,30.52,89,85.55

51,12:30-12:45,221.790000,25.500000,40.980000,2.990000,16.080000,26.240000,0.000000,15.000000,7.090000,15.000000,140.790000,2.970000,33.750000,54.000000,15.380000,2.870000,0.000000,35.150000,25.500000,18.6,44,116.420006,38,53.04,30.52,161,13.67,231.67,13.67,5,4.16,46.33,12.5,4.17,30.51,69,30.52,77,85.55

52,12:45-13:00,221.790000,25.500000,40.980000,2.990000,16.080000,26.240000,0.000000,15.000000,7.090000,15.000000,111.860000,2.970000,33.750000,54.000000,15.380000,2.870000,0.000000,35.150000,25.500000,18.8,44,117.364689,39,53.04,30.52,165,14.33,231.67,14.33,5,4.16,46.33,12.5,4.17,30.51,70,30.52,78,85.5

53,13:00-13:15,192.860000,25.500000,40.980000,2.990000,16.080000,26.240000,0.000000,15.000000,7.000000,15.000000,111.860000,2.970000,33.750000,54.000000,15.380000,2.800000,0.000000,35.150000,25.500000,16,44,115.358455,40,53.04,30.52,168,15.33,205,15.33,5,4.34,41,13,4.33,30.51,72,30.52,80,73.7

54,13:15-13:30,192.860000,25.500000,40.980000,2.990000,16.080000,26.240000,0.000000,15.000000,7.000000,15.000000,111.860000,2.970000,33.750000,54.000000,15.380000,2.800000,0.000000,35.150000,25.500000,16.8,43.5,112.933444,40,53.04,30.52,168,17.33,205,17.33,5,5,41,15,5,30.51,72,30.52,80,73.41

55,13:30-13:45,192.860000,25.500000,40.980000,2.990000,16.080000,26.240000,0.000000,15.000000,7.000000,15.000000,111.860000,2.970000,33.750000,54.000000,15.380000,2.800000,0.000000,35.150000,25.500000,18,43.5,118.952146,40,53.04,30.52,168,19,208.33,19,5,10.84,41.67,32.5,10.83,30.51,72,30.52,80,73.41

56,13:45-14:00,231.430000,25.500000,40.980000,2.990000,16.080000,26.240000,0.000000,15.000000,7.000000,15.000000,111.860000,2.970000,33.750000,54.000000,15.380000,2.800000,0.000000,35.150000,25.500000,18.6,43.5,113.761259,40,53.04,30.52,168,21,208.33,21,6.34,11.34,41.67,34,11.33,30.51,72,30.52,80,73.25

57,14:00-14:15,272.660000,26.030000,40.980000,3.070000,11.790000,27.250000,0.000000,15.000000,7.000000,15.000000,111.860000,3.110000,33.750000,54.000000,15.380000,2.870000,0.000000,35.150000,26.030000,19.2,43.28,109.865659,41,53.04,30.52,172,22.33,186.63,22.33,7.34,11.84,37.33,35.5,11.83,30.51,73,30.52,82,87.62

58,14:15-14:30,272.660000,26.030000,40.980000,3.070000,11.790000,27.250000,0.000000,15.000000,7.000000,15.000000,160.070000,3.110000,33.750000,54.000000,15.380000,2.870000,0.000000,35.150000,26.030000,19.4,42.4,106.34988,40,53.04,30.52,168,23.67,183.14,23.67,8.34,12.5,36.63,37.5,12.5,30.51,72,30.52,80,87.17

59,14:30-14:45,272.660000,26.030000,40.980000,3.070000,11.790000,27.250000,0.000000,15.000000,7.000000,15.000000,111.860000,3.110000,33.750000,54.000000,15.380000,3.260000,0.000000,35.150000,26.030000,22.41,39,103.905391,37,53.04,30.52,154,25,171.84,25,9.66,13.16,34.37,39.5,13.17,30.51,66,30.52,73,86.8

60,14:45-15:00,272.660000,26.030000,40.980000,3.070000,11.790000,27.250000,0.000000,13.160000,7.000000,13.160000,111.860000,3.110000,33.750000,54.000000,13.480000,3.260000,0.000000,35.150000,26.030000,23.01,37.48,101.178471,35,53.04,30.52,147,25.67,166.35,25.67,10.66,14.34,33.27,43,14.33,30.51,63,30.52,70,84.08

61,15:00-15:15,250.720000,26.030000,40.980000,3.070000,11.790000,27.250000,0.000000,12.590000,7.000000,12.590000,111.860000,3.250000,34.710000,54.000000,12.900000,3.260000,0.000000,35.150000,26.030000,22.41,34.06,103.730089,34,53.04,30.52,144,26.33,145.66,26.33,11.66,15.5,29.13,46.5,15.5,30.51,61,30.52,69,76.45

62,15:15-15:30,250.720000,26.030000,40.980000,3.070000,11.790000,27.250000,0.000000,11.680000,7.000000,11.680000,111.860000,3.250000,34.710000,54.000000,11.970000,3.260000,0.000000,35.150000,26.030000,21.81,31.44,93.582051,32,53.04,30.52,137,27,129.01,27,13,16.34,25.8,49,16.33,30.51,58,30.52,65,72.43

63,15:30-15:45,250.720000,26.030000,40.980000,3.070000,11.790000,28.260000,0.000000,8.060000,7.000000,8.060000,111.860000,3.250000,34.710000,54.000000,8.260000,3.260000,0.000000,35.150000,26.030000,25.01,28.1,82.090031,30,53.04,30.52,126,28,95.83,28,13.66,17.16,19.17,51.5,17.17,30.51,54,30.52,60,59.01

64,15:45-16:00,250.720000,26.030000,40.980000,3.070000,11.790000,28.260000,0.000000,7.000000,7.000000,7.000000,111.860000,3.250000,34.710000,54.000000,7.170000,3.260000,0.000000,35.150000,26.030000,24.01,25.42,70.549316,27,53.04,30.52,116,28,85,28,14.34,18.16,17,54.5,18.17,30.51,49,30.52,55,54.73

65,16:00-16:15,272.660000,26.030000,40.980000,3.220000,11.790000,28.260000,0.000000,5.890000,7.090000,5.890000,111.860000,3.340000,34.710000,54.000000,6.050000,3.410000,0.000000,35.150000,26.030000,23.81,22.36,61.930301,20,53.04,30.52,84,46,79.17,46,25,25,15.83,75,25,30.51,36,30.52,40,44.98

66,16:15-16:30,272.660000,26.030000,40.980000,3.220000,11.790000,28.260000,0.000000,5.050000,7.090000,5.050000,111.860000,3.340000,34.710000,54.000000,5.180000,3.410000,0.000000,35.150000,26.030000,22.21,19.17,55.405171,17,53.04,30.52,76,47.33,66.67,47.33,25,25,13.33,75,25,30.51,32,30.52,35,40.62

67,16:30-16:45,272.660000,26.030000,40.980000,3.220000,16.080000,28.260000,0.000000,4.130000,7.090000,4.130000,111.860000,3.340000,34.710000,54.000000,4.230000,3.410000,0.000000,35.150000,26.030000,21.21,17.15,47.127021,15,47.73,30.52,68,54.67,77.52,54.67,24.66,31.34,15.5,94,31.33,30.51,29,30.52,30,35.89

68,16:45-17:00,272.660000,26.030000,40.980000,3.220000,16.080000,28.260000,0.000000,3.710000,7.090000,3.710000,111.860000,3.340000,34.710000,54.000000,3.790000,3.410000,0.000000,35.150000,26.030000,20,13.74,39.423472,13,40.31,30.52,57,54.33,66.46,54.33,24.66,30.34,13.29,91,30.33,30.51,25,30.52,27,30.88

69,17:00-17:15,272.660000,26.030000,40.980000,3.220000,16.080000,28.260000,0.000000,3.320000,7.180000,3.320000,111.860000,3.430000,34.710000,54.000000,3.400000,3.490000,0.000000,57.830000,26.030000,24.41,10,30.814196,12,0,30.52,47,65,55.59,65,30,28.66,11.12,86,28.67,30.51,20,30.52,23,25.78

70,17:15-17:30,272.660000,26.030000,40.980000,3.220000,16.080000,28.260000,0.000000,2.950000,7.180000,2.950000,111.860000,3.430000,34.710000,54.000000,3.030000,3.490000,0.000000,57.830000,26.030000,23.61,9,22.360744,8,0,23.51,35,61.67,48.98,61.67,28.34,28.34,9.8,85,28.33,22,15,17.05,17,20.63

71,17:30-17:45,272.660000,26.030000,40.980000,3.220000,16.080000,28.260000,0.000000,2.570000,7.180000,2.570000,172.260000,3.430000,34.710000,54.000000,2.640000,3.490000,0.000000,57.830000,26.030000,23.21,9,14.920148,7,0,14.09,25,58.33,43.88,58.33,26.66,27.5,8.77,82.5,27.5,7,10,9.41,15,15.34

72,17:45-18:00,272.660000,26.030000,40.980000,3.220000,16.080000,29.270000,0.000000,1.900000,7.180000,1.900000,172.260000,3.430000,34.710000,54.000000,1.950000,3.490000,0.000000,57.830000,26.030000,22.61,6,9.15466,6,0,7.43,18,53.33,36.63,53.33,23.34,24.66,7.33,74,24.67,1,7,3.84,11,10.46

73,18:00-18:15,272.660000,26.030000,40.980000,3.300000,16.080000,30.280000,0.000000,1.210000,7.270000,1.210000,228.130000,3.520000,76.460000,54.000000,1.250000,3.570000,0.000000,57.830000,26.030000,22.01,4,5.122714,3,0,0,8,63,18.13,63,35,33.34,3.63,100,33.33,0,4,0,7,6.33

