Column1,Block,GNARE/NR/2024/12/20/3668,GNA/NR/2025/05/01/7791,GNA/NR/2025/05/01/6160,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/2025/26737/C,GNA/NR/2025/05/01/8954,GNA/NR/2025/05/01/4138,GNA/NR/2025/05/01/6957,NR/30092023/31122025/SH-07,GNA/NR/2025/05/01/9252,NR/2025/26736/C,GNA/NR/2025/05/01/2069,GNA/NR/2025/05/01/7902,NR/2025/26312/A/71056,NR/2025/26233/A/71469,NR/2025/26201/A/71479,NR/2025/26002/A/71430,NR/2025/26199/A/71485,NR/2025/26232/A/71470,NR/2025/26697/C,NR/2025/26198/A/71487,NR/2025/26698/C,NR/2025/26289/A/71466,NR/2025/26153/A/71058,NR/2025/26200/A/71482,NR/2025/25858/A/71432,NR/2025/25855/A/71431,NR/2025/26291/A/71464,NR/2025/26236/A/71057,NR/2025/26336/A/71148,NR/2025/26197/A/71490,NR/2025/26335/A/71150,NR/2025/26699/C,NR/2025/26101/A/71230,NR/2025/26700/C,NR/2025/26689/A/71214,NR/2025/26701/C,NR/2025/26265/A/71468,NR/2025/26085/A/71018,NR/2025/26702/C,NR/2025/26202/A/71608,SR/2025/17016/C,NR/2025/26191/A/71003,GNA/NR/2025/05/01/9395,GNA/NR/2025/05/01/3877,NR/30092023/26122029/SH-06,GNA/NR/2025/05/01/9154,GNA/NR/2025/05/01/5800,GNA/NR/2025/05/01/6363,GNA/NR/2025/05/01/8068,GNA/NR/2025/05/01/9320,GNA/NR/2025/05/01/2474,Total
3,00:30-00:45,0,0,14.44,12.26,51.01,5.78,0,163.71,30,13.48,35.63,0,28.89,0,4.82,26.26,0,26.26,4.82,0,26.26,0,48.15,28.89,8.75,0,144.45,24.08,0,134.82,8.75,0,0,0,0,6.74,0,96.3,0.77,0,96.3,0,48.15,0,28.89,23.51,122.78,67.41,14.44,10.59,163.71,28.94,1550.0400000000002

4,00:45-01:00,0,0,14.44,12.26,51.01,5.78,0,163.71,30,13.48,35.63,0,28.89,0,4.82,26.26,0,26.26,4.82,0,26.26,0,48.15,28.89,8.75,0,144.45,24.08,0,134.82,8.75,0,0,0,0,6.74,0,96.3,0.77,0,96.3,0,48.15,0,28.89,23.51,122.78,67.41,14.44,10.59,163.71,28.94,1550.0400000000002

5,01:00-01:15,0,0,14.44,12.26,51.01,5.78,0,163.71,30,13.48,35.63,0,28.89,0,4.82,26.26,0,26.26,4.82,0,26.26,0,48.15,28.89,8.75,0,144.45,24.08,0,134.82,8.75,0,0,0,0,6.74,0,96.3,0.67,0,96.3,0,48.15,0,28.89,23.51,122.78,67.41,14.44,10.59,163.71,28.94,1549.9400000000003

6,01:15-01:30,0,0,14.44,12.26,51.01,5.78,0,163.71,30,13.48,35.63,0,28.89,0,4.82,26.26,0,26.26,4.82,0,26.26,0,48.15,28.89,8.75,0,144.45,24.08,0,134.82,8.75,0,0,0,0,6.74,0,96.3,0.67,0,96.3,0,48.15,0,28.89,23.51,122.78,67.41,14.44,10.59,163.71,28.94,1549.9400000000003

7,01:30-01:45,0,0,14.44,12.26,51.01,5.78,0,163.71,30,13.48,35.63,0,28.89,0,4.82,26.26,0,26.26,4.82,0,26.26,0,48.15,28.89,8.75,0,144.45,24.08,0,134.82,8.75,0,0,0,0,6.74,0,96.3,0.67,0,96.3,0,48.15,0,28.89,23.51,122.78,67.41,14.44,10.59,163.71,28.94,1549.9400000000003

8,01:45-02:00,0,0,14.44,12.26,51.01,5.78,0,163.71,30,13.48,35.63,0,28.89,0,4.82,26.26,0,26.26,4.82,0,26.26,0,48.15,28.89,8.75,0,144.45,24.08,0,134.82,8.75,0,0,0,0,6.74,0,96.3,0.67,0,96.3,0,48.15,0,28.89,23.51,122.78,67.41,14.44,10.59,163.71,28.94,1549.9400000000003

9,02:00-02:15,0,0,14.44,12.08,51.01,0,0,163.71,30,13.48,35.63,96.3,0,0,4.82,26.26,0,26.26,4.82,0,26.26,0,48.15,28.89,8.75,0,144.45,24.08,0,134.82,8.75,0,0,0,0,6.74,0,0,0.63,0,96.3,0,48.15,0,28.89,23.51,122.78,0,0,10.59,163.71,28.94,1433.2

10,02:15-02:30,0,0,14.44,12.08,51.01,0,0,163.71,30,13.48,35.63,96.3,0,0,4.82,26.26,0,26.26,4.82,0,26.26,0,48.15,28.89,8.75,0,144.45,24.08,0,134.82,8.75,0,0,0,0,6.74,0,0,0.63,0,96.3,0,48.15,0,28.89,23.51,122.78,0,0,10.59,163.71,28.94,1433.2

11,02:30-02:45,0,0,14.44,12.08,51.01,0,0,163.71,30,13.48,35.63,96.3,0,0,4.82,26.26,0,26.26,4.82,0,26.26,0,48.15,28.89,8.75,0,144.45,24.08,0,134.82,8.75,0,0,0,0,6.74,0,0,0.63,0,96.3,0,48.15,0,28.89,23.51,122.78,0,0,10.59,163.71,28.94,1433.2

12,02:45-03:00,0,0,14.44,12.08,51.01,0,0,163.71,30,13.48,35.63,96.3,0,0,4.82,26.26,0,26.26,4.82,0,26.26,0,48.15,28.89,8.75,0,144.45,24.08,0,134.82,8.75,0,0,0,0,6.74,0,0,0.63,0,96.3,0,48.15,0,28.89,25.4,122.78,0,0,10.59,163.71,28.94,1435.0900000000001

13,03:00-03:15,0,0,14.44,11.8,51.01,0,0,163.71,30,13.48,35.63,96.3,0,0,4.82,26.26,0,26.26,4.82,0,26.26,0,48.15,28.89,8.75,0,144.45,24.08,0,134.82,8.75,0,0,0,0,6.74,0,0,0.48,0,96.3,0,48.15,0,28.89,25.4,122.78,0,0,10.59,163.71,28.94,1434.6600000000003

14,03:15-03:30,0,0,14.44,11.8,51.01,0,0,163.71,30,13.48,35.63,96.3,0,0,4.82,26.26,0,26.26,4.82,0,26.26,0,48.15,28.89,8.75,0,144.45,24.08,0,134.82,8.75,0,0,0,0,6.74,0,0,0.48,0,96.3,0,48.15,0,28.89,25.4,122.78,0,0,10.59,163.71,28.94,1434.6600000000003

15,03:30-03:45,0,0,14.44,11.8,51.01,0,0,163.71,30,13.48,35.63,96.3,0,0,4.82,26.26,0,26.26,4.82,0,26.26,0,48.15,28.89,8.75,0,144.45,24.08,0,134.82,8.75,0,0,0,0,6.74,0,0,0.48,0,96.3,0,48.15,0,28.89,25.4,122.78,0,0,10.59,163.71,28.94,1434.6600000000003

16,03:45-04:00,0,0,14.44,11.8,51.01,0,0,163.71,30,13.48,35.63,96.3,0,0,4.82,26.26,0,26.26,4.82,0,26.26,0,48.15,28.89,8.75,0,144.45,24.08,0,134.82,8.75,0,0,0,0,6.74,0,0,0.48,0,96.3,0,48.15,0,28.89,25.4,122.78,0,0,10.59,163.71,28.94,1434.6600000000003

17,04:00-04:15,0,0,14.44,11.61,51.01,0,0,163.71,30,13.48,35.63,96.3,0,0,4.82,26.26,0,26.26,4.82,0,26.26,0,48.15,28.89,8.75,0,0,24.08,0,134.82,8.75,0,0,0,0,6.74,0,0,0.48,0,96.3,0,48.15,0,28.89,30,122.78,0,0,10.59,163.71,28.94,1294.62

18,04:15-04:30,0,0,14.44,11.61,51.01,0,0,163.71,30,13.48,35.63,96.3,0,0,4.82,26.26,0,26.26,4.82,0,26.26,0,48.15,28.89,8.75,0,0,24.08,0,134.82,8.75,0,0,0,0,6.74,0,0,0.48,0,96.3,0,48.15,0,28.89,30,122.78,0,0,10.59,163.71,28.94,1294.62

19,04:30-04:45,0,0,14.44,11.61,51.01,0,0,163.71,30,13.48,35.63,96.3,0,0,4.82,26.26,0,26.26,4.82,0,26.26,0,48.15,28.89,8.75,0,0,24.08,0,134.82,8.75,0,0,0,0,6.74,0,0,0.48,0,96.3,0,48.15,0,28.89,30,122.78,0,0,10.59,163.71,28.94,1294.62

20,04:45-05:00,0,0,14.44,11.61,51.01,0,0,163.71,30,13.48,35.63,96.3,0,0,4.82,26.26,0,26.26,4.82,0,26.26,0,48.15,28.89,8.75,0,0,24.08,0,134.82,8.75,0,0,0,0,6.74,0,0,0.48,0,96.3,0,48.15,0,28.89,30,122.78,0,0,10.59,163.71,28.94,1294.62

21,05:00-05:15,0,0,14.44,11.33,51.01,0,0,163.71,30,13.48,35.63,96.3,0,0,4.82,26.26,0,26.26,4.82,0,26.26,0,48.15,28.89,8.75,0,0,24.08,0,134.82,8.75,0,0,0,0,6.74,0,0,0.48,0,96.3,0,48.15,0,28.89,30,122.78,0,0,10.59,163.71,28.94,1294.34

22,05:15-05:30,0.02,0,14.44,11.33,51.01,0,0,163.71,30,13.48,35.63,96.3,0,0,4.82,26.26,0,26.26,4.82,0,26.26,0,48.15,28.89,8.75,0,0,24.08,0,134.82,8.75,0,0,0,0,6.74,0,0,0.48,0,96.3,0,48.15,0,28.89,30,122.78,0,0,10.59,163.71,28.94,1294.36

23,05:30-05:45,0.12,0,14.44,11.33,51.01,0,0,163.71,30,13.48,35.63,96.3,0,0,4.82,26.26,0,26.26,4.82,0,26.26,0,48.15,28.89,8.75,0,0,24.08,0,134.82,8.75,0,0,0,0,5.78,0,0,0.48,0,96.3,0,48.15,0,28.89,30,122.78,0,0,10.59,163.71,28.94,1293.5

24,05:45-06:00,0.13,0,14.44,11.33,51.01,0,0,163.71,30,13.48,35.63,96.3,0,0,4.82,26.26,0,26.26,4.82,0,26.26,0,48.15,28.89,8.75,0,0,24.08,0,134.82,8.75,0,0,0,0,5.78,0,0,0.48,0,96.3,0,48.15,0,28.89,30,122.78,0,0,10.59,163.71,28.94,1293.51

25,06:00-06:15,0.67,0,14.44,11.15,51.01,0,0,163.71,30,13.48,35.63,96.3,0,0,4.82,26.26,0,26.26,4.82,0,26.26,0,48.15,28.89,8.75,0,0,24.08,0,134.82,8.75,0,0,0,0,4.82,0,0,0.58,0,96.3,0,48.15,0,28.89,30,122.78,0,0,10.59,163.71,28.94,1293.01

26,06:15-06:30,1.42,0,14.44,11.15,51.01,0,0,163.71,25.4,13.48,35.63,96.3,0,0,4.82,26.26,0,26.26,4.82,0,26.26,0,48.15,28.89,8.75,0,0,24.08,0,134.82,8.75,0,0,0,0,4.82,0,0,0.58,0,96.3,0,48.15,0,28.89,30,122.78,0,0,10.59,163.71,28.94,1289.16

27,06:30-06:45,5.13,0,14.44,11.15,51.01,0,0,163.71,25.4,13.48,35.63,96.3,0,0,4.82,26.26,0,26.26,4.82,0,26.26,0,48.15,28.89,8.75,0,0,24.08,0,0,8.75,0.96,0,0,0,4.82,0,0,0.58,0,96.3,0,48.15,0,28.89,30,122.78,0,0,10.59,163.71,28.94,1159.01

28,06:45-07:00,8.18,0,14.44,11.15,51.01,0,0,163.71,25.4,13.48,35.63,96.3,0,0,4.82,26.26,0,26.26,4.82,0,26.26,0,48.15,28.89,8.75,0,0,24.08,0,0,8.75,3.85,0,0,0,4.82,0,0,0.58,0,96.3,0,48.15,0,28.89,30,122.78,0,0,10.59,163.71,28.94,1164.95

29,07:00-07:15,12.17,0,14.44,10.97,51.01,0,0,163.71,26.5,13.48,35.63,96.3,0,0,4.82,26.26,0,26.26,4.82,0,26.26,0,48.15,28.89,8.75,0,0,24.08,0,0,8.75,13.48,0,0,0,4.82,0,0,0.67,0,96.3,0,48.15,0,28.89,26.5,122.78,0,0,10.59,163.71,28.94,1176.08

30,07:15-07:30,17.24,0,14.44,10.97,51.01,0,0,163.71,26.5,13.48,35.63,96.3,0,0,4.82,26.26,0,26.26,4.82,0,26.26,0,48.15,28.89,8.75,0,0,24.08,0,0,8.75,26.96,0,0,0,4.82,0,0,0.67,0,96.3,0,48.15,0,28.89,26.5,122.78,0,0,10.59,163.71,28.94,1194.63

31,07:30-07:45,23.34,0,14.44,10.97,51.01,0,0,163.71,26.5,13.48,35.63,96.3,0,0,4.82,26.26,0,26.26,4.82,0,26.26,0,48.15,28.89,8.75,0,0,24.08,0,0,8.75,40.45,0,0,0,4.82,0,0,0.67,0,96.3,0,48.15,0,28.89,26.5,122.78,0,0,10.59,163.71,28.94,1214.22

32,07:45-08:00,30.14,0,14.44,10.97,51.01,0,0,163.71,26.5,13.48,35.63,96.3,0,0,4.82,26.26,0,26.26,4.82,0,26.26,0,48.15,28.89,8.75,0,0,24.08,0,0,8.75,53.93,0,0,0,4.82,0,0,0.67,0,96.3,0,48.15,0,28.89,26.5,122.78,0,0,10.59,163.71,28.94,1234.5

33,08:00-08:15,37.28,0,14.44,10.79,51.01,0,0,163.71,26.5,13.48,35.63,0,0,0,4.82,26.26,0,26.26,4.82,0,26.26,0,48.15,28.89,8.75,0,0,24.08,7.7,0,8.75,67.41,0,0,0,4.82,0,96.3,0.96,0,96.3,0,48.15,0,28.89,26.5,122.78,0,0,10.59,163.71,28.94,1262.93

34,08:15-08:30,44.44,0,14.44,10.79,51.01,0,0,163.71,26.5,13.48,35.63,0,0,0,4.82,26.26,0,26.26,4.82,0,26.26,0,48.15,28.89,8.75,0,0,24.08,7.7,0,8.75,84.74,0,0,0,4.82,0,96.3,0.96,0,96.3,0,48.15,0,28.89,26.5,122.78,0,0,10.59,163.71,28.94,1287.42

35,08:30-08:45,51.78,0,14.44,10.79,51.01,0,0,163.71,26.5,13.48,35.63,0,0,0,4.82,26.26,0,26.26,4.82,0,26.26,0,48.15,28.89,8.75,0,0,24.08,7.7,0,8.75,101.12,0,0,0,4.82,0,96.3,0.96,0,96.3,0,48.15,0,28.89,26.5,122.78,0,0,10.59,163.71,28.94,1311.14

36,08:45-09:00,59.02,0,14.44,10.79,51.01,0,0,163.71,26.5,13.48,35.63,0,0,0,4.82,26.26,0,26.26,4.82,0,26.26,0,48.15,28.89,8.75,0,0,24.08,7.7,0,8.75,118.45,0,0,0,4.82,0,96.3,0.96,0,96.3,0,48.15,0,28.89,26.5,122.78,0,0,10.59,163.71,28.94,1335.71

37,09:00-09:15,65.52,0,14.44,10.6,51.01,0,0,163.71,26.61,13.48,35.63,0,0,0,4.82,26.26,0,26.26,4.82,0,26.26,52.96,0,28.89,8.75,0,0,0,10.59,0,8.75,131.93,0,0,24.08,5.78,48.15,0,0.96,96.3,96.3,0,48.15,0,28.89,26.61,122.78,0,0,10.59,163.71,28.94,1412.53

38,09:15-09:30,72.09,0,14.44,10.6,51.01,0,0,163.71,26.61,13.48,35.63,0,0,0,4.82,26.26,0,26.26,4.82,0,26.26,52.96,0,28.89,8.75,0,0,0,10.59,0,8.75,145.41,0,0,24.08,5.78,48.15,0,0.96,96.3,96.3,0,48.15,0,28.89,26.61,122.78,0,0,10.59,163.71,28.94,1432.58

39,09:30-09:45,78.18,0,14.44,10.6,51.01,0,0,163.71,26.61,13.48,35.63,0,0,0,4.82,26.26,0,26.26,4.82,0,26.26,52.96,0,28.89,8.75,0,0,0,10.59,0,8.75,158.9,0,0,24.08,5.78,48.15,0,0.96,96.3,96.3,0,48.15,0,28.89,26.61,122.78,0,0,10.59,163.71,28.94,1452.1599999999999

40,09:45-10:00,83.21,0,14.44,10.6,51.01,0,0,163.71,26.61,13.48,35.63,0,0,0,4.82,26.26,0,26.26,4.82,0,26.26,52.96,0,28.89,8.75,0,0,0,10.59,0,8.75,172.38,0,0,24.08,5.78,48.15,0,0.96,96.3,96.3,0,48.15,0,28.89,26.61,122.78,0,0,10.59,163.71,28.94,1470.67

41,10:00-10:15,87.72,0,14.44,10.41,51.01,0,0,163.71,26.61,13.48,35.63,0,0,0,4.82,26.26,0,26.26,4.82,0,26.26,52.96,0,28.89,8.75,0,0,0,12.52,0,8.75,182.01,0,0,24.08,5.78,48.15,0,0.96,96.3,96.3,0,48.15,0,28.89,26.61,122.78,0,0,10.59,163.71,28.94,1486.55

42,10:15-10:30,91.71,0,14.44,10.41,51.01,0,0,163.71,26.61,13.48,35.63,0,0,0,4.82,26.26,0,26.26,4.82,0,26.26,52.96,0,28.89,8.75,0,0,0,12.52,0,8.75,188.75,0,0,24.08,5.78,48.15,0,0.96,96.3,96.3,0,48.15,0,28.89,26.61,122.78,0,0,10.59,163.71,28.94,1497.28

43,10:30-10:45,95.46,0,14.44,10.41,51.01,0,0,163.71,26.61,13.48,35.63,0,0,0,4.82,26.26,0,26.26,4.82,0,26.26,52.96,0,28.89,8.75,0,0,0,12.52,0,8.75,192.6,0,0,24.08,5.78,48.15,0,0.96,96.3,96.3,0,48.15,0,28.89,26.61,122.78,0,0,10.59,163.71,28.94,1504.88

44,10:45-11:00,99.12,0,14.44,10.41,51.01,0,0,163.71,26.61,13.48,35.63,0,0,0,4.82,26.26,0,26.26,4.82,0,26.26,52.96,0,28.89,8.75,0,0,0,12.52,0,8.75,192.6,0,0,24.08,5.78,48.15,0,0.96,96.3,96.3,0,48.15,0,28.89,26.61,122.78,0,0,10.59,163.71,28.94,1508.54

45,11:00-11:15,100,0,14.44,10.32,51.01,0,0,163.71,26.61,13.48,35.63,0,0,0,4.82,26.26,0,26.26,4.82,0,26.26,52.96,0,28.89,8.75,0,0,0,13.48,0,8.75,192.6,0,0,24.08,6.74,48.15,0,0.96,96.3,96.3,0,48.15,0,28.89,26.61,122.78,0,0,10.59,163.71,28.94,1511.2500000000002

46,11:15-11:30,100,0,14.44,10.32,51.01,0,0,163.71,26.61,13.48,35.63,0,0,0,4.82,26.26,0,26.26,4.82,0,26.26,52.96,0,28.89,8.75,0,0,0,13.48,0,8.75,192.6,0,0,24.08,6.74,48.15,0,0.96,96.3,96.3,0,48.15,0,28.89,26.61,122.78,0,0,10.59,163.71,28.94,1511.2500000000002

47,11:30-11:45,100,0,14.44,10.32,51.01,0,0,163.71,26.61,13.48,35.63,0,0,0,4.82,26.26,0,26.26,4.82,0,26.26,52.96,0,28.89,8.75,0,0,0,13.48,0,8.75,192.6,0,0,24.08,6.74,48.15,0,0.96,96.3,96.3,0,48.15,0,28.89,26.61,122.78,0,0,10.59,163.71,28.94,1511.2500000000002

48,11:45-12:00,100,0,14.44,10.32,51.01,0,0,163.71,26.61,13.48,35.63,0,0,0,4.82,26.26,0,26.26,4.82,0,26.26,52.96,0,28.89,8.75,0,0,0,13.48,0,8.75,192.6,0,0,24.08,6.74,48.15,0,0.96,96.3,96.3,0,48.15,0,28.89,26.61,122.78,0,0,10.59,163.71,28.94,1511.2500000000002

49,12:00-12:15,100,0,14.44,10.23,51.01,0,0,163.71,26.7,13.48,35.63,0,0,0,4.82,26.26,0,26.26,4.82,0,26.26,52.96,0,28.89,8.75,0,0,0,13.48,0,8.75,192.6,0,0,24.08,6.74,48.15,0,0.96,96.3,96.3,0,48.15,0,28.89,26.7,122.78,0,0,10.59,163.71,28.94,1511.3400000000001

50,12:15-12:30,100,0,14.44,10.23,51.01,0,0,163.71,26.7,13.48,35.63,0,0,0,4.82,26.26,0,26.26,4.82,0,26.26,52.96,0,28.89,8.75,0,0,0,13.48,0,8.75,192.6,0,0,24.08,6.74,48.15,0,0.96,96.3,96.3,0,48.15,0,28.89,26.7,122.78,0,0,10.59,163.71,28.94,1511.3400000000001

51,12:30-12:45,100,0,14.44,10.23,51.01,0,0,163.71,26.7,13.48,35.63,0,0,0,4.82,26.26,0,26.26,4.82,0,26.26,52.96,0,28.89,8.75,0,0,0,13.48,0,8.75,192.6,0,0,24.08,6.74,48.15,0,0.96,96.3,96.3,0,48.15,0,28.89,26.7,122.78,0,0,10.59,163.71,28.94,1511.3400000000001

52,12:45-13:00,100,0,14.44,10.23,51.01,0,0,163.71,26.7,13.48,35.63,0,0,0,4.82,26.26,0,26.26,4.82,0,26.26,52.96,0,28.89,8.75,0,0,0,13.48,0,8.75,192.6,0,0,24.08,6.74,48.15,0,0.96,96.3,96.3,0,48.15,0,28.89,26.7,122.78,0,0,10.59,163.71,28.94,1511.3400000000001

53,13:00-13:15,100,0,14.44,10.04,51.01,0,0,163.71,26.7,13.48,35.63,0,0,0,4.82,26.26,0,26.26,4.82,0,26.26,52.96,0,28.89,8.75,0,0,0,13.48,0,8.75,192.6,0,0,24.08,6.74,48.15,0,0.96,96.3,96.3,0,48.15,0,28.89,26.7,122.78,0,0,10.59,163.71,28.94,1511.1500000000003

54,13:15-13:30,100,0,14.44,10.04,51.01,0,0,163.71,26.7,13.48,35.63,0,0,0,4.82,26.26,0,26.26,4.82,0,26.26,52.96,0,28.89,8.75,0,0,0,13.48,0,8.75,192.6,0,0,24.08,6.74,48.15,0,0.96,96.3,96.3,0,48.15,0,28.89,26.7,122.78,0,0,10.59,163.71,28.94,1511.1500000000003

55,13:30-13:45,100,0,14.44,10.04,51.01,0,0,163.71,26.7,13.48,35.63,0,0,0,4.82,26.26,0,26.26,4.82,0,26.26,52.96,0,28.89,8.75,0,0,0,13.48,0,8.75,192.6,0,0,24.08,6.74,48.15,0,0.96,96.3,96.3,0,48.15,0,28.89,26.7,122.78,0,0,10.59,163.71,28.94,1511.1500000000003

56,13:45-14:00,100,0,14.44,10.04,51.01,0,0,163.71,26.7,13.48,35.63,0,0,0,4.82,26.26,0,26.26,4.82,0,26.26,52.96,0,28.89,8.75,0,0,0,13.48,0,8.75,192.6,0,0,24.08,6.74,48.15,0,0.96,96.3,96.3,0,48.15,0,28.89,26.7,122.78,0,0,10.59,163.71,28.94,1511.1500000000003

57,14:00-14:15,100,0,14.44,9.96,51.01,0,0,163.71,26.7,13.48,35.63,0,0,0,0,26.26,0,26.26,0,4.82,26.26,52.96,0,28.89,8.75,110.74,0,0,11.56,0,8.75,192.6,4.82,33.7,24.08,7.7,48.15,0,0.96,96.3,96.3,0,48.15,0,28.89,26.7,122.78,0,0,10.59,163.71,28.94,1654.5500000000004

