,,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,DELHI,HIMACHAL PRADESH,MANIPUR,NA,HIMACHAL PRADESH,NA,NAGALAND,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,TELANGANA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,NA,HIMACHAL PRADESH,MEGHALAYA,MEGHALAYA,NA,MAHARASHTRA,HIMACHAL PRADESH,NA,ARUNACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,NA,HIMACHAL PRADESH,NA,NA,DELHI,DELHI,NA,NA,NA,NA,
,,HP,HP,Teesta_III,SHPPBPL,HP,BYPL,SHPPBPL,Manipur_Ben,MCCPL,SHPPBPL,ILFS,Nagaland_Ben,HP,GBHHPL,SHPPBPL,SIMHAPURI,NAVABHARAT,CHANJUII,SHPPBPL,JPL,JSPL_DCPP,HP,Meghalaya_Ben,Meghalaya_Ben,KAMENG,B_S_ISPAT_MH,SHPPBPL,APNRL,Arunachal_Ben,SHPPBPL,SHPPBPL,SOLAPUR_SOLAR,SKS Raigarh,SHPPBPL,SEIL,JPNIGRIE_JNSTPP,BRPL,BYPL,TS1PL_BKN,TS1PL_BKN,TS1PL_BKN,TS1PL_BKN,
,,DELHI,DELHI,DELHI,DELHI,DELHI,UTTAR PRADESH,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,ODISHA,ODISHA,DELHI,DELHI,DELHI,DELHI,
,,BRPL,BRPL,BRPL,UHL,BYPL,AMBASTL,MAX-HPTL,STT,BRPL,BAL224,BRPL,BYPL,BYPL,DIAPL,MHIL,BRPL,BRPL,TPDDL,BAL234,BRPL,BRPL,BRPL,BYPL,BYPL,TPDDL,NDMC,AISHER,TPDDL,BYPL,JHPL-DL,BAL184,MES (Delhi),NDMC,BMDRC,TPDDL,BRPL,VLSEZ,VLSEZ,BRPL,BRPL,BYPL,BYPL,
,,North-North,North-North,East-North,North-North,North-North,North-North,North-North,North East-East-North,West-North,North-North,South-West-North,North East-East-North,North-North,North-North,North-North,South-East-North,South-West-North,North-North,North-North,West-North,West-North,North-North,North East-East-North,North East-East-North,North East-East-North,West-North,North-North,East-North,North East-East-North,North-North,North-North,West-North,West-North,North-North,South-West-North,West-North,North-East,North-East,North-North,North-North,North-North,North-North,
10,02:15-02:30,13.000000,14.450000,0.000000,0.460000,27.740000,0.000000,0.710000,2.890000,0.000000,0.400000,274.170000,12.620000,33.720000,30.580000,0.460000,0.000000,115.600000,11.680000,0.780000,24.920000,48.160000,64.730000,36.350000,12.210000,66.850000,6.740000,0.640000,41.420000,9.920000,0.770000,0.360000,0,62.610000,0.710000,24.080000,49.850000,0.000000,0.000000,0,0,0,0,989.58

11,02:30-02:45,13.000000,14.450000,0.000000,0.460000,27.740000,0.000000,0.710000,2.890000,0.000000,0.400000,274.170000,12.620000,33.720000,30.580000,0.460000,0.000000,115.600000,11.680000,0.780000,24.920000,48.160000,64.730000,36.350000,12.210000,66.850000,6.740000,0.640000,41.420000,9.920000,0.770000,0.360000,0,62.610000,0.710000,24.080000,49.850000,0.000000,0.000000,0,0,0,0,989.58

12,02:45-03:00,13.000000,14.450000,0.000000,0.460000,27.740000,0.000000,0.710000,2.890000,0.000000,0.400000,274.170000,12.620000,33.720000,30.580000,0.460000,0.000000,115.600000,11.680000,0.780000,24.920000,48.160000,64.730000,36.350000,12.210000,66.850000,6.740000,0.640000,41.420000,9.920000,0.770000,0.360000,0,62.610000,0.710000,24.080000,49.850000,0.000000,0.000000,0,0,0,0,989.58

13,03:00-03:15,13.000000,14.450000,0.000000,0.460000,27.740000,0.000000,0.710000,2.890000,0.000000,0.400000,274.170000,12.620000,33.720000,30.580000,0.460000,0.000000,115.600000,11.590000,0.780000,24.920000,48.160000,64.730000,0.000000,12.210000,66.850000,6.740000,0.640000,41.420000,9.920000,0.770000,0.360000,0,62.610000,0.710000,24.080000,49.850000,0.000000,0.000000,0,0,0,0,953.14

14,03:15-03:30,13.000000,14.450000,0.000000,0.460000,27.740000,0.000000,0.710000,2.890000,0.000000,0.400000,274.170000,12.620000,33.720000,30.580000,0.460000,0.000000,115.600000,11.590000,0.780000,24.920000,48.160000,64.730000,0.000000,12.210000,66.850000,6.740000,0.640000,41.420000,9.920000,0.770000,0.360000,0,62.610000,0.710000,24.080000,49.850000,0.000000,0.000000,0,0,0,0,953.14

15,03:30-03:45,13.000000,14.450000,0.000000,0.460000,27.740000,0.000000,0.710000,2.890000,0.000000,0.400000,274.170000,12.620000,33.720000,30.580000,0.460000,0.000000,115.600000,11.590000,0.780000,24.920000,48.160000,64.730000,0.000000,12.210000,66.850000,6.740000,0.640000,41.420000,9.920000,0.770000,0.360000,0,62.610000,0.710000,24.080000,49.850000,0.000000,0.000000,0,0,0,0,953.14

16,03:45-04:00,13.000000,14.450000,0.000000,0.460000,27.740000,0.000000,0.710000,2.890000,0.000000,0.400000,274.170000,12.620000,33.720000,30.580000,0.460000,0.000000,115.600000,11.590000,0.780000,24.920000,48.160000,64.730000,0.000000,12.210000,66.850000,6.740000,0.640000,41.420000,9.920000,0.770000,0.360000,0,62.610000,0.710000,24.080000,49.850000,0.000000,0.000000,0,0,0,0,953.14

17,04:00-04:15,13.000000,14.450000,0.000000,0.460000,27.740000,0.000000,0.710000,2.890000,0.000000,0.400000,274.170000,12.620000,33.720000,29.550000,0.460000,0.000000,115.600000,11.490000,0.780000,24.920000,48.160000,64.730000,0.000000,12.210000,66.850000,6.740000,0.640000,41.420000,9.920000,0.770000,0.360000,0,62.610000,0.710000,24.080000,49.850000,0.000000,100.000000,0,0,0,0,1052.01

18,04:15-04:30,13.000000,14.450000,0.000000,0.460000,27.740000,0.000000,0.710000,2.890000,0.000000,0.400000,274.170000,12.620000,33.720000,29.550000,0.460000,0.000000,115.600000,11.490000,0.780000,24.920000,48.160000,64.730000,0.000000,12.210000,66.850000,6.740000,0.640000,41.420000,9.920000,0.770000,0.360000,0,62.610000,0.710000,24.080000,49.850000,0.000000,100.000000,0,0,0,0,1052.01

19,04:30-04:45,13.000000,14.450000,0.000000,0.460000,27.740000,0.000000,0.710000,2.890000,0.000000,0.400000,274.170000,12.620000,33.720000,29.550000,0.460000,0.000000,115.600000,11.490000,0.780000,24.920000,48.160000,64.730000,0.000000,12.210000,66.850000,6.740000,0.640000,41.420000,9.920000,0.770000,0.360000,0,62.610000,0.710000,24.080000,49.850000,0.000000,100.000000,0,0,0,0,1052.01

20,04:45-05:00,13.000000,14.450000,0.000000,0.460000,27.740000,0.000000,0.710000,2.890000,0.000000,0.400000,274.170000,12.620000,33.720000,29.550000,0.460000,0.000000,115.600000,11.490000,0.780000,24.920000,48.160000,64.730000,0.000000,12.210000,66.850000,6.740000,0.640000,41.420000,9.920000,0.770000,0.360000,0,62.610000,0.710000,24.080000,49.850000,0.000000,100.000000,0,0,0,0,1052.01

21,05:00-05:15,13.000000,14.450000,0.000000,0.460000,27.740000,0.000000,0.710000,2.890000,0.000000,0.400000,274.170000,0.000000,33.720000,29.550000,0.460000,0.000000,115.600000,11.490000,0.780000,24.920000,48.160000,64.730000,0.000000,12.210000,66.850000,6.740000,0.640000,41.420000,9.920000,0.770000,0.360000,0,62.610000,0.710000,24.080000,49.850000,0.000000,100.000000,0,0,0,0,1039.39

22,05:15-05:30,13.000000,14.450000,0.000000,0.460000,27.740000,0.000000,0.710000,2.890000,0.000000,0.400000,274.170000,0.000000,33.720000,29.550000,0.460000,0.000000,115.600000,11.490000,0.780000,24.920000,48.160000,64.730000,0.000000,12.210000,66.850000,6.740000,0.640000,41.420000,9.920000,0.770000,0.360000,0,62.610000,0.710000,24.080000,49.850000,0.000000,100.000000,0,0,0,0,1039.39

23,05:30-05:45,13.000000,14.450000,0.000000,0.460000,27.740000,0.000000,0.710000,2.890000,0.000000,0.400000,274.170000,0.000000,33.720000,29.550000,0.460000,0.000000,115.600000,11.490000,0.780000,24.920000,48.160000,64.730000,0.000000,12.210000,66.850000,6.740000,0.640000,41.420000,9.920000,0.770000,0.360000,0,62.610000,0.710000,24.080000,49.850000,0.000000,100.000000,0,0,0,0,1039.39

24,05:45-06:00,13.000000,14.450000,0.000000,0.460000,27.740000,0.000000,0.710000,2.890000,0.000000,0.400000,274.170000,0.000000,33.720000,29.550000,0.460000,0.000000,115.600000,11.490000,0.780000,24.920000,48.160000,64.730000,0.000000,12.210000,66.850000,6.740000,0.640000,41.420000,9.920000,0.770000,0.360000,0,62.610000,0.710000,24.080000,49.850000,0.000000,100.000000,0,0,0,0,1039.39

25,06:00-06:15,13.000000,14.450000,0.000000,0.460000,0.000000,0.000000,0.710000,2.890000,0.000000,0.400000,274.170000,0.000000,33.720000,29.550000,0.460000,0.000000,115.600000,11.410000,0.780000,24.920000,48.160000,0.000000,0.000000,12.210000,66.850000,6.740000,0.640000,41.420000,9.920000,0.770000,0.360000,0,62.610000,0.710000,24.080000,49.850000,0.000000,0.000000,0,0,0,0,846.84

26,06:15-06:30,13.000000,14.450000,0.000000,0.460000,0.000000,0.000000,0.710000,2.890000,0.000000,0.400000,274.170000,0.000000,33.720000,29.550000,0.460000,0.000000,115.600000,11.410000,0.780000,24.920000,48.160000,0.000000,0.000000,12.210000,66.850000,6.740000,0.640000,41.420000,9.920000,0.770000,0.360000,0,62.610000,0.710000,24.080000,49.850000,0.000000,0.000000,3.5,0,0,1.5,851.84

27,06:30-06:45,13.000000,14.450000,0.000000,0.460000,0.000000,0.000000,0.710000,2.890000,0.000000,0.400000,274.170000,0.000000,33.720000,29.550000,0.460000,0.000000,115.600000,11.410000,0.780000,24.920000,48.160000,0.000000,0.000000,12.210000,66.850000,6.740000,0.640000,41.420000,9.920000,0.770000,0.360000,0.45,62.610000,0.710000,24.080000,49.850000,0.000000,0.000000,7,0,0,3,857.29

28,06:45-07:00,13.000000,14.450000,0.000000,0.460000,0.000000,0.000000,0.710000,2.890000,0.000000,0.400000,274.170000,0.000000,33.720000,29.550000,0.460000,0.000000,115.600000,11.410000,0.780000,24.920000,48.160000,0.000000,0.000000,12.210000,66.850000,6.740000,0.640000,41.420000,9.920000,0.770000,0.360000,0.78,62.610000,0.710000,24.080000,49.850000,0.000000,0.000000,14,0,0,6,867.62

29,07:00-07:15,13.000000,14.450000,0.000000,0.460000,0.000000,0.000000,0.710000,2.890000,0.000000,0.400000,274.170000,0.000000,33.720000,29.550000,0.460000,0.000000,115.600000,11.310000,0.780000,24.920000,48.160000,0.000000,0.000000,12.210000,66.850000,6.740000,0.640000,41.420000,9.920000,0.770000,0.360000,1.2,62.610000,0.710000,24.080000,49.850000,100.000000,0.000000,24.5,0,0,10.5,982.94

30,07:15-07:30,13.000000,14.450000,0.000000,0.460000,0.000000,0.000000,0.710000,2.890000,0.000000,0.400000,274.170000,0.000000,33.720000,29.550000,0.460000,0.000000,115.600000,11.310000,0.780000,24.920000,48.160000,0.000000,0.000000,12.210000,66.850000,6.740000,0.640000,41.420000,9.920000,0.770000,0.360000,1.72,62.610000,0.710000,24.080000,49.850000,100.000000,0.000000,36.4,0,0,15.6,1000.46

31,07:30-07:45,13.000000,14.450000,0.000000,0.460000,0.000000,0.000000,0.710000,2.890000,0.000000,0.400000,274.170000,0.000000,33.720000,29.550000,0.460000,0.000000,115.600000,11.310000,0.780000,24.920000,48.160000,0.000000,0.000000,12.210000,66.850000,6.740000,0.640000,41.420000,9.920000,0.770000,0.360000,2.29,62.610000,0.710000,24.080000,49.850000,100.000000,0.000000,51.8,0,0,22.2,1023.03

32,07:45:08:00,13.000000,14.450000,0.000000,0.460000,0.000000,0.000000,0.710000,2.890000,0.000000,0.400000,274.170000,0.000000,33.720000,29.550000,0.460000,0.000000,115.600000,11.310000,0.780000,24.920000,48.160000,0.000000,0.000000,12.210000,66.850000,6.740000,0.640000,41.420000,9.920000,0.770000,0.360000,2.89,62.610000,0.710000,24.080000,49.850000,100.000000,0.000000,56,0,0,24,1029.63

33,08:00-08:15,13.000000,14.450000,0.000000,0.460000,0.000000,0.000000,0.730000,2.890000,0.000000,0.390000,274.170000,0.000000,33.720000,29.550000,0.460000,0.000000,115.600000,11.220000,0.770000,24.920000,48.160000,0.000000,0.000000,12.210000,66.850000,6.740000,0.620000,41.420000,9.920000,0.770000,0.360000,3.48,62.610000,0.730000,24.080000,49.850000,100.000000,0.000000,72.8,0,0,31.2,1054.13

34,08:15-08:30,13.000000,14.450000,0.000000,0.460000,0.000000,0.000000,0.730000,2.890000,0.000000,0.390000,274.170000,0.000000,33.720000,29.550000,0.460000,0.000000,115.600000,11.220000,0.770000,24.920000,48.160000,0.000000,0.000000,12.210000,66.850000,6.740000,0.620000,41.420000,9.920000,0.770000,0.360000,4.07,62.610000,0.730000,24.080000,49.850000,100.000000,0.000000,89.6,0,0,38.4,1078.72

35,08:30-08:45,13.000000,14.450000,0.000000,0.460000,0.000000,0.000000,0.730000,2.890000,0.000000,0.390000,274.170000,0.000000,33.720000,29.550000,0.460000,0.000000,115.600000,11.220000,0.770000,24.920000,48.160000,0.000000,0.000000,12.210000,66.850000,6.740000,0.620000,41.420000,9.920000,0.770000,0.360000,4.38,62.610000,0.730000,24.080000,49.850000,100.000000,0.000000,100.8,0,0,43.2,1095.03

36,08:45:09:00,13.000000,14.450000,0.000000,0.460000,0.000000,0.000000,0.730000,2.890000,0.000000,0.390000,274.170000,0.000000,33.720000,29.550000,0.460000,0.000000,115.600000,11.220000,0.770000,24.920000,48.160000,0.000000,0.000000,12.210000,66.850000,6.740000,0.620000,41.420000,9.920000,0.770000,0.360000,5.01,62.610000,0.730000,24.080000,49.850000,100.000000,0.000000,115.5,0,0,49.5,1116.66

37,09:00:09:15,13.000000,14.450000,0.000000,0.460000,0.000000,10.000000,0.730000,2.890000,0.000000,0.390000,274.170000,0.000000,33.720000,33.630000,0.460000,0.000000,115.600000,11.220000,0.770000,24.920000,48.160000,0.000000,0.000000,12.210000,66.850000,6.740000,0.620000,41.420000,9.920000,0.770000,0.360000,5.35,62.610000,0.730000,24.080000,49.850000,100.000000,0.000000,127.4,0,0,54.6,1148.08

38,09:15-09:30,13.000000,14.450000,0.000000,0.460000,0.000000,10.000000,0.730000,2.890000,0.000000,0.390000,274.170000,0.000000,33.720000,33.630000,0.460000,0.000000,115.600000,11.220000,0.770000,24.920000,48.160000,0.000000,0.000000,12.210000,66.850000,6.740000,0.620000,41.420000,9.920000,0.770000,0.360000,5.76,62.610000,0.730000,24.080000,49.850000,100.000000,0.000000,140.7,0,0,60.3,1167.49

39,09:30-09:45,13.000000,14.450000,0.000000,0.460000,0.000000,10.000000,0.730000,2.890000,0.000000,0.390000,274.170000,0.000000,33.720000,33.630000,0.460000,0.000000,115.600000,11.220000,0.770000,24.920000,48.160000,0.000000,0.000000,12.210000,66.850000,6.740000,0.620000,41.420000,9.920000,0.770000,0.360000,5.78,62.610000,0.730000,24.080000,49.850000,100.000000,0.000000,151.2,0,0,64.8,1182.51

40,09:45-10:00,13.000000,14.450000,0.000000,0.460000,0.000000,10.000000,0.730000,2.890000,0.000000,0.390000,274.170000,0.000000,33.720000,33.630000,0.460000,0.000000,115.600000,11.220000,0.770000,24.920000,48.160000,0.000000,0.000000,12.210000,66.850000,6.740000,0.620000,41.420000,9.920000,0.770000,0.360000,5.83,62.610000,0.730000,24.080000,49.850000,100.000000,0.000000,162.4,0,0,69.6,1198.56

41,10:00-10:15,13.000000,14.450000,0.000000,0.460000,0.000000,10.000000,0.730000,2.890000,0.000000,0.390000,274.170000,0.000000,33.720000,33.630000,0.460000,0.000000,115.600000,11.130000,0.770000,24.920000,48.160000,0.000000,0.000000,12.210000,66.850000,6.740000,0.620000,41.420000,9.920000,0.770000,0.360000,6.21,62.610000,0.730000,24.080000,49.850000,100.000000,0.000000,164.5,0,0,70.5,1201.85

42,10:15-10:30,13.000000,14.450000,0.000000,0.460000,0.000000,10.000000,0.730000,2.890000,0.000000,0.390000,274.170000,0.000000,33.720000,33.630000,0.460000,0.000000,115.600000,11.130000,0.770000,24.920000,48.160000,0.000000,0.000000,12.210000,66.850000,6.740000,0.620000,41.420000,9.920000,0.770000,0.360000,6.31,62.610000,0.730000,24.080000,49.850000,100.000000,0.000000,171.5,16.1,6.9,73.5,1234.95

43,10:30-10:45,13.000000,14.450000,0.000000,0.460000,0.000000,10.000000,0.730000,2.890000,0.000000,0.390000,274.170000,0.000000,33.720000,33.630000,0.460000,0.000000,115.600000,11.130000,0.770000,24.920000,48.160000,0.000000,0.000000,12.210000,66.850000,6.740000,0.620000,41.420000,9.920000,0.770000,0.360000,6.31,62.610000,0.730000,24.080000,49.850000,100.000000,0.000000,178.5,12.6,5.4,76.5,1239.95

