Column1,Time,NR/26072023/31072042/L_NR_2023_07,NR/01102023/13082046/L_NR_2021_12,NR/22102023/11042047/L_NR_2021_16,NR/01102023/02122045/L_NR_2021_13,NR/26072023/25122043/L_NR_2023_10,NR/01102023/08032047/L_NR_2021_14,NR/22102023/11042047/L_NR_2021_17,NR/01102023/25072045/L_NR_2021_15,GNARE/SR/2025/01/13/4532,WR/01102023/16072048/L_NR_2022_08,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/31032046/L_NR_2020_05,WR/01102023/01102023/L_NR_2020_06,WR/01102023/29112042/L_NR_2019_05,WR/01102023/30052048/L_NR_2022_10,WR/01102023/01102023/L_NR_2022_09,WR/01102023/24112044/L_NR_2020_07,GNARE/NR/2024/12/20/3668,NR/30092023/31122025/SH-07,GNA/NR/2025/06/07/5932,GNA/NR/2025/07/23/7329,GNA/NR/2025/07/01/1044,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/06022042/L_NR_2012_02,GNA/NR/2025/07/16/5917,GNA/NR/2025/07/01/1192,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2025/07/01/8139,NR/01102023/30042040/GNA_LT_35,NR/01102023/30042040/GNA_LT_36,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2025/07/01/8128,NR/01102023/05012040/L_NR_2020_02,NR/01102023/31052040/LT-31,L_NR_2019_19,GNA/NR/2025/07/01/8154,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2025/07/16/7255,GNA/NR/2025/07/01/2997,NR/30092023/26122029/SH-06,NR/01102023/19072037/LT-05,GNA/NR/2025/07/25/1179,NR/01102023/22052037/LT-59,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/07/01/2786,GNA/NR/2025/07/01/3109,NR/01102023/31102037/L_NR_2019_11,GNA/NR/2025/07/01/2952
15,03:30-03:45,0,0,0,0,0,0,0,0,37.02,7.33,0,0,25.01,8.33,0,25.34,25.33,8.33,0,26.7,-0,134.79,3.24,270.31,130.04,81.69,0,28.27,0,0,0,100.13,12.64,6.99,0,0,20.73,86.69,163.39,15.23,26.7,115.29,0,5.66,17.85,43.68,19.22,10.73,8.51

16,03:45-04:00,0,0,0,0,0,0,0,0,37.02,7,0,0,25.01,8.33,0,25.66,25.67,8.33,0,26.7,-0,134.79,3.24,270.31,130.04,81.69,0,28.27,0,0,0,100.13,12.64,6.99,0,0,20.73,86.69,163.39,15.23,26.7,115.29,0,5.66,17.85,43.68,19.22,10.73,8.51

17,04:00-04:15,0,0,0,0,0,0,0,0,42.02,7,0,0,24.49,8.17,0,25.66,25.67,8.17,0,26.7,-0,134.79,3.24,270.31,130.04,81.69,0,28.27,0,0,0,100.13,12.64,6.8,0,0,20.73,86.69,163.39,15.23,26.7,115.29,0,5.66,17.75,43.68,19.22,10.73,8.51

18,04:15-04:30,0,0,0,0,0,0,0,0,42.02,7,0,0,24,8,0,25.34,25.33,8,0,26.7,-0,134.79,3.24,270.31,130.04,81.69,0,28.27,0,0,0,100.13,12.64,6.8,0,0,20.73,86.69,163.39,15.23,26.7,115.29,0,5.66,17.75,43.68,19.22,10.73,8.51

19,04:30-04:45,0,0,0,0,0,0,0,0,43.02,6.67,0,0,23.51,7.83,0,24,24,7.83,0,26.7,-0,134.79,3.24,270.31,130.04,81.69,0,28.27,0,0,0,100.13,12.64,6.8,0,0,20.73,86.69,163.39,15.23,26.7,115.29,0,5.66,17.75,43.68,19.22,10.73,8.51

20,04:45-05:00,0,0,0,0,0,0,0,0,43.02,6.67,0,0,22.99,7.67,0,24.34,24.33,7.67,0,26.7,-0,134.79,3.24,270.31,130.04,81.69,0,27.26,0,0,0,100.13,12.64,6.8,0,0,20.73,86.69,163.39,15.23,26.7,115.29,0,5.66,17.75,43.68,19.22,10.73,8.51

21,05:00-05:15,0,0,0,0,0,0,0,0,43.02,6.67,0,0,22.5,7.5,0,23.66,23.67,7.5,0,26.7,-0,134.79,3.24,270.31,130.04,81.69,0,27.26,0,0,0,100.13,12.64,6.53,0,0,20.73,86.69,163.39,15.23,26.7,115.29,0,5.66,17.67,43.68,19.22,10.73,8.51

22,05:15-05:30,0,0,0,0,0,0,0,0,43.02,6.33,0,0,22.5,7.5,0,22.66,22.67,7.5,0,26.7,-0,134.79,3.24,270.31,130.04,81.69,0,26.25,0,0,0,100.13,12.64,6.53,0,0,20.73,86.69,163.39,15.23,26.7,115.29,0,5.66,17.67,43.68,19.22,10.73,8.51

23,05:30-05:45,0,0,0,0,0,0,0,0,43.02,6.33,0,0,22.5,7.5,0,18.34,18.33,7.5,0,26.7,-0,134.79,3.24,270.31,130.04,81.69,0,26.25,0,0,0,100.13,12.64,6.53,0,0,20.73,86.69,163.39,15.23,26.7,115.29,0,5.66,17.67,43.68,19.22,10.73,8.51

24,05:45-06:00,0,0,0,0,1,0,0,0,43.02,6.33,0,0,22.5,7.5,0,18,18,7.5,0.23,26.7,-0,134.79,3.24,270.31,130.04,81.69,0,26.25,0,0,0,100.13,12.64,6.53,0,0.18,20.73,86.69,163.39,15.23,26.7,115.29,0,5.66,17.67,43.68,19.22,10.73,8.51

25,06:00-06:15,0,1.17,1,0.23,1,1,0,1,38.02,6,2.95,0,22.5,7.5,8.72,17.34,17.33,7.5,0.6,26.7,-0,134.79,3.24,270.31,130.04,81.69,0,26.25,0,0,0,100.13,12.64,6.53,0,1.95,20.73,86.69,163.39,15.23,26.7,115.29,0,5.66,17.57,43.68,19.22,10.73,8.51

26,06:15-06:30,0,7.87,2,1.57,3,2,1,2,37.62,6,5.21,0,22.5,7.5,14.66,16.66,16.67,7.5,2.77,26.7,-0,134.79,3.24,270.31,130.04,81.69,0,26.25,0,0,0,100.13,12.64,6.53,0,4.57,20.73,86.69,163.39,15.23,26.7,115.29,0,5.66,17.57,43.68,19.22,10.73,8.51

27,06:30-06:45,0,14.67,3,2.93,4,3,2,3,37.02,6,16.32,3,22.5,7.5,21.51,16.34,16.33,7.5,4.14,26.7,-0,134.79,3.24,270.31,130.04,81.69,0,26.25,0,1.18,0.91,100.13,12.64,6.53,1.18,8.03,20.73,86.69,163.39,15.23,26.7,115.29,0,5.66,17.57,43.68,19.22,10.73,8.51

28,06:45-07:00,0,16.25,7,3.25,6,6,3,4,36.82,6,24.89,5,22.5,7.5,29.71,16,16,7.5,7.03,26.7,-0,134.79,3.24,270.31,130.04,81.69,0,26.25,0,1.72,1.33,100.13,12.64,6.53,1.72,12.29,20.73,86.69,163.39,15.23,26.7,115.29,0,5.66,17.57,43.68,19.22,10.73,8.51

29,07:00-07:15,0,25.18,10,5.04,9,11,5,5,36.42,6.33,33,8,22.5,7.5,33,15,15,7.5,10.86,26.7,-0,134.79,3.24,270.31,130.04,81.69,0,26.25,0,2.47,1.92,100.13,12.64,6.25,2.47,17.14,20.73,86.69,163.39,15.23,26.7,106.82,0,10.47,17.47,43.68,19.22,10.73,8.51

30,07:15-07:30,0,35.07,12,7.02,12,13,6,7,35.01,6.67,33,14,22.5,7.5,33,15,15,7.5,15.74,26.7,-0,134.79,3.24,270.31,130.04,81.69,0,26.25,0,3.27,2.52,100.13,12.64,6.25,3.27,22.4,20.73,86.69,163.39,15.23,26.7,98.34,0,10.47,17.47,43.68,19.22,10.73,8.51

31,07:30-07:45,0,46.7,20,9.34,18,21,10,9,34.41,6,33,20,22.5,7.5,33,15,15,7.5,21.06,26.7,-0,134.79,3.24,270.31,130.04,81.69,0,26.25,0,4.05,3.13,100.13,12.64,6.25,4.05,19.34,20.73,86.69,163.39,15.23,26.7,89.86,0,10.47,17.47,43.68,19.22,10.73,8.51

32,07:45-08:00,0,59.97,27,12,21,26,13,12,33.61,6,33,28,22.5,7.5,33,15.34,15.33,7.5,26.62,26.7,-0,134.79,3.24,231.87,102.32,81.69,0,27.26,0,4.74,3.66,100.13,12.64,6.25,4.74,22.58,20.73,66.83,163.39,15.23,26.7,70.08,0,10.47,17.47,43.68,19.22,10.73,8.51

33,08:00-08:15,0,76.49,32,15.3,27,32,16,18,36.01,6,33,33,22.5,7.5,33,16,16,7.5,28.63,26.7,-90.88,134.79,3.24,193.42,102.32,81.69,0,27.26,0,5.66,4.38,100.13,9.96,6.25,5.66,26.04,20.73,66.83,163.39,15.23,26.7,70.08,0,10.47,17.39,43.68,19.22,10.73,6.72

34,08:15-08:30,0,91.59,39,18.32,33,37,19,21,36.42,6,33,33,22.5,7.5,33,16.66,16.67,7.5,33.71,26.7,-90.88,134.79,3.24,154.98,102.32,81.69,0,28.27,0,6.43,4.97,100.13,9.96,6.25,6.43,29.72,20.73,66.83,163.39,15.23,26.7,70.08,0,10.47,17.39,43.68,19.22,10.73,6.72

35,08:30-08:45,0,106.47,45,21.3,39,43,22,25,28.81,6.33,33,33,22.99,7.67,33,17.66,17.67,7.67,39.09,26.7,-90.88,134.79,3.24,192.22,102.32,81.69,0,26.25,0,7.29,5.63,100.13,9.96,6.25,7.29,32.27,20.73,66.83,163.39,15.23,26.7,70.08,0,10.47,17.39,43.68,19.22,10.73,6.72

36,08:45-09:00,0,120.06,51,24.01,45,49,25,27,28.81,6.67,33,33,23.51,7.83,33,18.66,18.67,7.83,44.62,26.7,-90.88,134.79,3.24,230.66,102.32,81.69,0,26.25,0,8.23,6.36,100.13,9.96,6.25,8.23,61.3,20.73,66.83,163.39,15.23,26.7,70.08,0,10.47,17.39,43.68,19.22,10.73,6.72

37,09:00-09:15,0,133.93,57,26.79,51,56,29,30,29.01,7,33,33,24,8,33,18.66,18.67,8,49.8,26.75,-90.88,134.79,3.24,270.31,102.32,81.69,0,26.25,0,9.18,7.09,100.13,9.96,6.15,9.18,23.3,20.73,56.34,163.39,15.23,26.75,70.08,0,10.47,17.29,43.68,19.22,10.73,6.72

38,09:15-09:30,0,147.96,63,29.59,55,60,32,34,29.21,7.33,33,33,24.49,8.17,33,19.34,19.33,8.17,54.99,26.75,-90.88,134.79,3.24,270.31,102.32,81.69,0,26.25,0,9.82,7.6,100.13,9.96,6.15,9.82,23.41,20.73,56.34,163.39,15.23,26.75,70.08,0,10.47,17.29,43.68,19.22,10.73,6.72

39,09:30-09:45,0,167.78,69,33.56,60,67,34,36,38.02,7.67,33,33,25.01,8.33,33,20,20,8.33,60,26.75,-90.88,134.79,3.24,270.31,130.04,81.69,0,26.25,0,10.87,8.4,100.13,9.96,6.15,10.87,23.94,20.73,76.21,163.39,15.23,26.75,70.08,0,10.47,17.29,43.68,19.22,10.73,6.72

40,09:45-10:00,0,181.34,73,36.27,64,71,37,38,38.02,7.67,33,33,25.99,8.67,33,20,20,8.67,64.79,26.75,-90.88,134.79,3.24,270.31,130.04,81.69,0,26.25,0,11.94,9.23,100.13,9.96,6.15,11.94,25.68,20.73,76.21,163.39,15.23,26.75,115.29,0,10.47,17.29,43.68,19.22,10.73,6.72

41,10:00-10:15,0,195.29,78,39.06,69,78,39,40,42.02,7.67,33,33,27.49,9.17,33,20,20,9.17,69.57,26.75,-90.88,134.79,3.24,270.31,130.04,81.69,0,26.25,0,13.04,10.08,100.13,9.96,6.15,13.04,27.49,20.73,76.21,163.39,15.23,26.75,115.29,0,10.47,17.29,43.68,19.22,10.73,6.72

42,10:15-10:30,0,200.92,83,40.18,72,82,42,41,42.02,7.67,33,33,28.99,9.67,33,21,21,9.67,73.94,26.75,-90.88,134.79,3.24,270.31,130.04,81.69,0,26.25,0,13.84,10.7,100.13,9.96,6.15,13.84,29.34,20.73,76.21,163.39,15.23,26.75,115.29,0,10.47,17.29,43.68,19.22,10.73,6.72

43,10:30-10:45,0,204.7,87,40.94,75,86,43,42,42.02,7.67,33,33,27.49,9.17,33,21.34,21.33,9.17,83.68,26.75,-90.88,134.79,3.24,270.31,130.04,81.69,0,26.25,0,14.37,11.1,100.13,9.96,6.15,14.37,31.39,20.73,76.21,163.39,15.23,26.75,115.29,0,10.47,17.29,43.68,19.22,10.73,6.72

44,10:45-11:00,0,210.14,89,42.03,78,88,45,43,42.02,8,33,33,28.99,9.67,33,21.34,21.33,9.67,85.83,26.75,-90.88,134.79,3.24,270.31,130.04,81.69,0,26.25,0,14.87,11.5,100.13,9.96,6.15,14.87,33.37,20.73,76.21,163.39,15.23,26.75,115.29,0,10.47,17.29,43.68,19.22,10.73,6.72

45,11:00-11:15,0,230,92,46,81,89,46,43,42.02,8.67,33,33,30,10,33,22.66,22.67,10,90.32,26.75,-90.88,134.79,3.24,270.31,128.97,81.69,0,26.25,0,15.17,11.73,100.13,12.64,5.12,15.17,42.91,20.73,76.21,163.39,15.23,26.75,115.29,0,10.47,17.29,43.68,19.22,10.73,8.51

46,11:15-11:30,0,230,92,46,81,91,46,43,42.02,9,33,33,31.01,10.33,33,23.34,23.33,10.33,91.28,26.75,-90.88,134.79,3.24,270.31,128.97,81.69,0,26.25,0,15.3,11.82,100.13,12.64,5.12,15.3,44.86,20.73,76.21,163.39,15.23,26.75,115.29,0,10.47,17.29,43.68,19.22,10.73,8.51

47,11:30-11:45,0,230,92,46,81,91,46,43,42.02,9.67,33,33,25.01,8.33,33,25,25,8.33,94,26.75,-0,134.79,3.24,270.31,128.97,81.69,0,26.25,0,15.37,11.88,100.13,12.64,5.12,15.37,46.81,20.73,76.21,163.39,15.23,26.75,115.29,0,10.47,17.29,43.68,19.22,10.73,8.51

48,11:45-12:00,0,230,92,46,81,91,46,43,42.02,10,33,33,26.51,8.83,33,25,25,8.83,94,26.75,-0,134.79,3.24,270.31,128.97,81.69,0,26.25,0,15.46,11.95,100.13,12.64,5.12,15.46,47.79,20.73,76.21,163.39,15.23,26.75,115.29,0,10.47,17.29,43.68,19.22,10.73,8.51

49,12:00-12:15,0,232.05,92,46.41,81,91,46,43,42.02,10.67,33,33,28.5,9.5,33,26.66,26.67,9.5,94,26.8,-0,134.79,3.24,270.31,128.97,81.69,0,26.25,0,15.46,11.95,100.13,12.64,6.15,15.46,48.76,20.73,76.21,163.39,15.23,26.8,115.29,0,10.47,17.29,43.68,19.22,10.73,8.51

50,12:15-12:30,0,230.39,92,46.08,81,91,46,43,42.02,10.67,33,33,30.49,10.17,33,27.66,27.67,10.17,94,26.8,-0,134.79,3.24,270.31,128.97,81.69,0,26.25,0,15.5,11.98,100.13,12.64,6.15,15.5,63.39,20.73,76.21,163.39,15.23,26.8,115.29,0,10.47,17.29,43.68,19.22,10.73,8.51

51,12:30-12:45,0,233.33,90,46.67,76,91,45,43,42.02,11,33,33,31.99,10.67,33,28.66,28.67,10.67,94,26.8,-0,134.79,3.24,270.31,128.97,81.69,0,26.25,0,15.5,11.98,100.13,12.64,6.15,15.5,65.35,20.73,76.21,163.39,15.23,26.8,115.29,0,10.47,17.29,43.68,19.22,10.73,8.51

52,12:45-13:00,0,233.33,90,46.67,76,91,45,43,42.02,11.67,33,33,32.51,10.83,33,28.66,28.67,10.83,94,26.8,-0,134.79,3.24,270.31,128.97,81.69,0,26.25,0,15.49,11.98,100.13,12.64,6.15,15.49,65.54,20.73,76.21,163.39,15.23,26.8,115.29,0,10.47,17.29,43.68,19.22,10.73,8.51

53,13:00-13:15,0,232.62,88,46.52,73,88,44,43,42.02,11.67,33,33,33.49,11.17,33,30,30,11.17,94,26.8,-0,134.79,3.24,270.31,128.97,81.69,0,27.26,0,15.36,11.86,100.13,12.64,6.33,15.36,65.83,20.73,86.69,163.39,15.23,26.8,115.29,0,10.47,11.77,43.68,19.22,10.73,8.51

54,13:15-13:30,0,231.02,87,46.2,73,88,43,43,42.02,12,33,33,34.5,11.5,33,31.34,31.33,11.5,92.98,26.8,-0,134.79,3.24,270.31,128.97,81.69,0,27.26,0,15.24,11.77,100.13,12.64,6.33,15.24,70.22,20.73,86.69,163.39,15.23,26.8,115.29,0,10.47,11.77,43.68,19.22,10.73,8.51

55,13:30-13:45,0,238.33,77,47.67,69,88,38,42,42.02,12,33,33,36,12,33,35.46,35.47,12,100,26.8,-0,134.79,3.24,270.31,128.97,81.69,0,27.26,0,15.24,11.77,100.13,12.64,6.33,15.24,96.48,20.73,86.69,163.39,15.23,26.8,115.29,0,10.47,11.77,43.68,19.22,10.73,8.51

56,13:45-14:00,0,235.83,73,47.17,67,87,37,42,42.02,12.33,33,33,37.01,12.33,33,36.58,36.59,12.33,100,26.8,-0,134.79,3.24,270.31,128.97,81.69,0,27.26,0,14.82,11.45,100.13,12.64,6.33,14.82,97.49,20.73,86.69,163.39,15.23,26.8,115.29,0,10.47,11.77,43.68,19.22,10.73,8.51

57,14:00-14:15,0,217.87,70,43.57,78,82,35,37,42.02,13.93,33,33,28.5,9.5,33,38.08,38.08,9.5,100,26.8,-0,134.79,3.24,270.31,128.97,81.69,0,27.26,0,14.61,11.29,100.13,12.64,6.53,14.61,97.33,20.73,86.69,163.39,15.23,26.8,115.29,0,10.47,11.77,43.68,19.22,10.73,8.51

58,14:15-14:30,0,211,70,42.2,78,78,35,36,42.02,14.3,33,33,30,10,33,38.82,38.83,10,100,26.8,-0,134.79,3.24,270.31,128.97,81.69,0,27.76,0,14.4,11.12,100.13,12.64,6.53,14.4,96.57,20.73,86.69,163.39,15.23,26.8,115.29,0,10.47,11.77,43.68,19.22,10.73,8.51

59,14:30-14:45,0,197.82,73,39.57,75,73,37,34,42.02,14.67,33,33,31.5,10.5,33,43.34,43.33,10.5,80,26.8,-0,134.79,3.24,270.31,128.97,81.69,0,27.76,0,13.98,10.8,100.13,12.64,6.53,13.98,93.89,20.73,86.69,163.39,15.23,26.8,115.29,0,10.47,11.77,43.68,19.22,10.73,8.51

60,14:45-15:00,0,191.18,73,38.24,72,71,37,33,42.02,15.03,33,33,33,11,33,43.34,43.33,11,78.33,26.8,-0,134.79,3.24,270.31,128.97,81.69,0,28.77,0,13.56,10.47,100.13,12.64,6.53,13.56,90.61,20.73,86.69,163.39,15.23,26.8,115.29,0,10.47,11.77,43.68,19.22,10.73,8.51

61,15:00-15:15,0,173.84,60,34.77,63,68,30,32,42.02,15.4,33,33,35.51,11.83,33,43.34,43.33,11.83,72.06,26.8,-0,134.79,3.24,270.31,128.97,81.69,0,28.77,0,13.34,10.31,100.13,12.64,6.89,13.34,86.31,20.73,86.69,163.39,15.23,26.8,115.29,0,10.47,11.77,43.68,19.22,10.73,8.51

62,15:15-15:30,0,163.03,57,32.61,60,63,28,30,42.02,15.77,33,33,37.99,12.67,33,43.66,43.67,12.67,66.83,26.8,-0,134.79,3.24,270.31,128.97,81.69,0,28.77,0,12.92,9.98,100.13,12.64,6.89,12.92,81.37,20.73,86.69,163.39,15.23,26.8,115.29,0,10.47,11.77,43.68,19.22,10.73,8.51

63,15:30-15:45,0,150.15,53,30.03,55,60,27,27,42.02,16.13,33,33,37.5,12.5,33,49.34,49.33,12.5,57.83,26.8,-0,134.79,3.24,270.31,128.97,81.69,0,28.77,0,12.29,9.49,100.13,12.64,6.89,12.29,73.75,20.73,86.69,163.39,15.23,26.8,115.29,0,10.47,11.77,43.68,19.22,10.73,8.51

64,15:45-16:00,0,137.64,50,27.53,51,55,25,25,42.02,16.5,33,33,39.49,13.17,33,49.66,49.67,13.17,52.84,26.8,-0,134.79,3.24,270.31,128.97,81.69,0,28.77,0,11.64,8.99,100.13,12.64,6.89,11.64,63.11,20.73,86.69,163.39,15.23,26.8,115.29,0,10.47,11.77,43.68,19.22,10.73,8.51

65,16:00-16:15,0,127.19,50,25.44,45,51,25,23,42.02,16.87,33,24,45.49,15.17,33,50,50,15.17,48.55,26.8,-0,134.79,3.24,270.31,128.97,81.69,0,29.28,0,10.87,8.41,100.13,12.64,7.46,10.87,56.82,20.73,86.69,163.39,15.23,26.8,115.29,0,10.47,11.77,43.68,19.22,10.73,8.51

66,16:15-16:30,0,117.95,47,23.59,40,47,23,21,42.02,17.23,33,16,47.51,15.83,33,50.34,50.33,15.83,44.36,26.8,-0,134.79,3.24,270.31,128.97,81.69,0,29.28,0,10.03,7.75,100.13,12.64,7.46,10.03,39.2,20.73,86.69,163.39,15.23,26.8,115.29,0,10.47,11.77,43.68,19.22,10.73,8.51

67,16:30-16:45,0,120.83,47,24.17,37,41,23,18,42.02,21.67,33,8,49.99,16.67,33,45.12,45.13,16.67,42.38,26.8,-0,134.79,3.24,270.31,128.97,81.69,0,29.28,0,9.03,6.97,100.13,12.64,7.46,9.03,44.82,20.73,86.69,163.39,15.23,26.8,115.29,0,10.47,11.77,43.68,19.22,10.73,8.51

68,16:45-17:00,0,108.33,41,21.67,33,38,21,16,42.02,22,33,5,52.5,17.5,33,45.12,45.13,17.5,38.51,26.8,-0,134.79,3.24,270.31,128.97,81.69,0,29.28,0,8.06,6.23,100.13,12.64,7.46,8.06,39.55,20.73,86.69,163.39,15.23,26.8,115.29,0,10.47,11.77,43.68,19.22,10.73,8.51

69,17:00-17:15,0,95.83,37,19.17,28,33,18,12,42.02,22,33,2,55.01,18.33,33,45.72,45.73,18.33,37.97,26.8,-0,134.79,3.24,270.31,128.97,81.69,0,29.28,0,7.03,5.43,100.13,12.64,7.92,7.03,34.16,20.73,86.69,163.39,15.23,26.8,115.29,0,10.47,18.21,43.68,19.22,10.73,8.51

