Time,Block,NR/2023/13983/F,NR/2023/11203/A,NR/2023/13283/A,NR/2023/11458/A,NR/2023/15050/D,NR/2023/13859/A,NR/2023/15053/C,NR/2023/11654/A,NR/2023/15081/C,NR/2023/11470/A,NR/2023/12646/A,NR/2023/15054/C,NR/2023/13983/F/II,NR/2023/13284/A,NR/2023/11954/A,NR/2023/15065/C,NR/2023/15062/C,NR/2023/11739/A,NR/2023/11697/A,NR/2023/15077/C,NR/2023/13573/A,NR/2023/13858/A,NR/2023/11315/A,NR/2023/11325/A,NR/2023/15064/C,NR/2023/15080/C,NR/2023/14187/F,NR/2023/15070/C,NR/2023/15078/C,NR/2023/11328/A,NR/2023/15048/D,NR/2023/15049/D,NR/2023/15051/D,NR/2023/11469/A,Total

3,00:30-00:45,0.700000,62.990000,24.140000,98.470000,193.080000,188.250000,0.000000,152.530000,0.000000,21.230000,23.100000,0.000000,0.170000,81.770000,36.420000,43.440000,461.460000,42.470000,35.040000,0.000000,28.960000,84.470000,22.200000,24.140000,1.930000,0.000000,3.860000,8.210000,13.520000,48.270000,0,0,0,84.940000,1785.76

4,00:45-01:00,0.700000,62.990000,24.140000,98.470000,193.080000,188.250000,0.000000,152.530000,0.000000,21.230000,23.100000,0.000000,0.170000,81.770000,36.420000,43.440000,420.910000,42.470000,35.040000,0.000000,28.960000,84.470000,22.200000,24.140000,1.930000,0.000000,3.860000,8.210000,15.450000,48.270000,0,0,0,84.940000,1747.14

5,01:00-01:15,0.540000,62.990000,24.140000,98.470000,193.080000,188.250000,0.000000,152.530000,0.000000,21.230000,23.100000,0.000000,0.140000,81.770000,36.420000,43.440000,386.160000,42.470000,35.040000,0.000000,28.960000,84.470000,22.200000,24.140000,1.930000,0.000000,3.860000,0.000000,3.860000,48.270000,0,0,0,84.940000,1692.4

6,01:15-01:30,0.540000,62.990000,24.140000,98.470000,193.080000,188.250000,0.000000,152.530000,0.000000,21.230000,23.100000,0.000000,0.140000,81.770000,36.420000,43.440000,350.440000,42.470000,35.040000,0.000000,28.960000,84.470000,22.200000,24.140000,1.930000,0.000000,3.860000,0.000000,0.000000,48.270000,0,0,0,84.940000,1652.82

7,01:30-01:45,0.540000,62.990000,24.140000,98.470000,193.080000,188.250000,0.000000,152.530000,0.000000,21.230000,23.100000,0.000000,0.140000,81.770000,36.420000,43.440000,320.510000,42.470000,35.040000,0.000000,28.960000,84.470000,22.200000,24.140000,1.930000,0.000000,3.860000,0.000000,0.000000,48.270000,0,0,0,84.940000,1622.89

8,01:45-02:00,0.540000,62.990000,24.140000,98.470000,193.080000,188.250000,0.000000,152.530000,0.000000,21.230000,23.100000,0.000000,0.140000,81.770000,36.420000,43.440000,290.590000,42.470000,35.040000,0.000000,28.960000,84.470000,22.200000,24.140000,1.930000,0.000000,3.860000,0.000000,0.000000,48.270000,0,0,0,84.940000,1592.97

9,02:00-02:15,0.460000,62.990000,24.140000,98.470000,193.080000,188.250000,0.000000,152.530000,0.000000,21.230000,23.100000,0.000000,0.120000,81.770000,36.420000,61.790000,202.730000,42.470000,35.040000,0.000000,28.960000,84.470000,22.200000,24.140000,1.930000,0.000000,3.860000,0.000000,0.000000,48.270000,0,0,0,84.940000,1523.36

10,02:15-02:30,0.460000,62.990000,24.140000,98.470000,193.080000,188.250000,0.000000,152.530000,0.000000,21.230000,23.100000,0.000000,0.120000,81.770000,36.420000,61.790000,179.560000,42.470000,35.040000,0.000000,28.960000,84.470000,22.200000,24.140000,1.930000,0.000000,3.860000,0.000000,0.000000,48.270000,0,0,0,84.940000,1500.19

11,02:30-02:45,0.460000,62.990000,24.140000,98.470000,193.080000,188.250000,0.000000,152.530000,0.000000,21.230000,23.100000,0.000000,0.120000,81.770000,36.420000,47.300000,156.390000,42.470000,35.040000,0.000000,28.960000,84.470000,22.200000,24.140000,1.930000,0.000000,3.860000,0.000000,0.000000,48.270000,0,0,0,84.940000,1462.53

12,02:45-03:00,0.460000,62.990000,24.140000,98.470000,193.080000,188.250000,0.000000,152.530000,0.000000,21.230000,23.100000,0.000000,0.120000,81.770000,36.420000,45.370000,127.430000,42.470000,35.040000,0.000000,28.960000,84.470000,22.200000,24.140000,1.930000,0.000000,3.860000,0.000000,0.000000,48.270000,0,0,0,84.940000,1431.64

13,03:00-03:15,0.530000,62.990000,24.140000,98.470000,193.080000,188.250000,0.000000,152.530000,0.000000,21.230000,0.000000,0.000000,0.000000,81.770000,0.000000,43.440000,121.640000,42.470000,35.040000,0.000000,28.960000,84.470000,22.200000,24.140000,1.930000,0.000000,3.860000,0.000000,0.000000,48.270000,0,0,0,84.940000,1364.35

14,03:15-03:30,0.530000,62.990000,24.140000,98.470000,193.080000,188.250000,0.000000,152.530000,0.000000,21.230000,0.000000,0.000000,0.000000,81.770000,0.000000,37.650000,99.440000,42.470000,35.040000,0.000000,28.960000,84.470000,22.200000,24.140000,1.930000,0.000000,3.860000,0.000000,0.000000,48.270000,0,0,0,84.940000,1336.36

15,03:30-03:45,0.530000,62.990000,24.140000,98.470000,193.080000,188.250000,0.000000,152.530000,0.000000,21.230000,0.000000,0.000000,0.000000,81.770000,0.000000,102.330000,0.000000,42.470000,35.040000,6.760000,28.960000,84.470000,22.200000,24.140000,1.930000,0.000000,3.860000,0.000000,0.000000,48.270000,0,0,0,84.940000,1308.36

16,03:45-04:00,0.530000,62.990000,24.140000,98.470000,193.080000,188.250000,0.000000,152.530000,0.000000,21.230000,0.000000,0.000000,0.000000,81.770000,0.000000,81.090000,0.000000,42.470000,35.040000,6.760000,28.960000,84.470000,22.200000,24.140000,1.930000,0.000000,3.860000,0.000000,0.000000,48.270000,0,0,0,84.940000,1287.12

17,04:00-04:15,0.530000,62.990000,24.140000,98.470000,193.080000,188.250000,0.000000,152.530000,0.000000,21.230000,0.000000,0.000000,0.000000,81.770000,0.000000,70.470000,0.000000,42.470000,35.040000,6.760000,28.960000,84.470000,22.200000,24.140000,1.930000,0.000000,3.860000,0.000000,0.000000,48.270000,0,0,0,84.940000,1276.5

18,04:15-04:30,0.530000,62.990000,24.140000,98.470000,193.080000,188.250000,0.000000,152.530000,0.000000,21.230000,0.000000,0.000000,0.000000,81.770000,0.000000,54.060000,0.000000,42.470000,35.040000,6.760000,28.960000,84.470000,22.200000,24.140000,1.930000,0.000000,3.860000,0.000000,0.000000,48.270000,0,0,0,84.940000,1260.09

19,04:30-04:45,0.530000,62.990000,24.140000,98.470000,193.080000,188.250000,0.000000,152.530000,0.000000,21.230000,0.000000,0.000000,0.000000,81.770000,0.000000,28.000000,0.000000,42.470000,35.040000,6.760000,28.960000,84.470000,22.200000,24.140000,1.930000,0.000000,3.860000,0.000000,0.000000,48.270000,0,0,0,84.940000,1234.03

20,04:45-05:00,0.530000,62.990000,24.140000,98.470000,193.080000,188.250000,0.000000,152.530000,0.000000,21.230000,0.000000,0.000000,0.000000,81.770000,0.000000,16.410000,0.000000,42.470000,35.040000,6.760000,28.960000,84.470000,22.200000,24.140000,1.930000,0.000000,3.860000,0.000000,0.000000,48.270000,0,0,0,84.940000,1222.44

21,05:00-05:15,0.530000,62.990000,24.140000,0.000000,193.080000,188.250000,0.000000,152.530000,0.000000,21.230000,0.000000,0.000000,0.000000,81.770000,0.000000,0.000000,0.000000,42.470000,35.040000,6.760000,28.960000,84.470000,22.200000,24.140000,1.930000,0.000000,3.860000,0.000000,0.000000,48.270000,0,0,0,84.940000,1107.56

22,05:15-05:30,0.530000,62.990000,24.140000,0.000000,193.080000,188.250000,0.000000,152.530000,0.000000,21.230000,0.000000,0.000000,0.000000,81.770000,0.000000,0.000000,0.000000,42.470000,35.040000,6.760000,28.960000,84.470000,22.200000,24.140000,1.930000,0.000000,3.860000,0.000000,0.000000,48.270000,0,0,0,84.940000,1107.56

23,05:30-05:45,0.530000,62.990000,24.140000,0.000000,193.080000,188.250000,0.000000,152.530000,0.000000,21.230000,0.000000,0.000000,0.000000,81.770000,0.000000,0.000000,0.000000,42.470000,35.040000,6.760000,28.960000,84.470000,22.200000,24.140000,0.970000,0.000000,3.860000,0.000000,0.000000,48.270000,0,0,0,84.940000,1106.6

24,05:45-06:00,0.530000,62.990000,24.140000,0.000000,193.080000,188.250000,0.000000,152.530000,0.000000,21.230000,0.000000,0.000000,0.000000,81.770000,0.000000,0.000000,0.000000,42.470000,35.040000,6.760000,28.960000,84.470000,22.200000,24.140000,0.970000,0.000000,3.860000,0.000000,0.000000,48.270000,0,0,0,84.940000,1106.6

25,06:00-06:15,0.680000,62.990000,24.140000,0.000000,193.080000,188.250000,0.000000,152.530000,0.000000,21.230000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,42.470000,0.000000,6.760000,28.960000,84.470000,22.200000,24.140000,0.970000,0.000000,3.860000,0.000000,0.000000,48.270000,1.4,0.6,0,84.940000,991.94

26,06:15-06:30,0.680000,62.990000,24.140000,0.000000,193.080000,188.250000,0.000000,152.530000,0.000000,21.230000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,42.470000,0.000000,6.760000,28.960000,84.470000,22.200000,24.140000,0.970000,0.000000,3.860000,0.000000,0.000000,48.270000,6.3,2.7,0,84.940000,998.94

27,06:30-06:45,0.680000,62.990000,24.140000,0.000000,193.080000,188.250000,0.000000,152.530000,0.000000,21.230000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,42.470000,0.000000,6.760000,28.960000,84.470000,22.200000,24.140000,0.970000,0.000000,3.860000,0.000000,0.000000,48.270000,10.5,4.5,0,84.940000,1004.94

28,06:45-07:00,0.680000,62.990000,24.140000,0.000000,193.080000,188.250000,0.000000,152.530000,0.000000,21.230000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,42.470000,0.000000,6.760000,28.960000,84.470000,22.200000,24.140000,0.970000,0.000000,3.860000,0.000000,0.000000,48.270000,17.5,7.5,0,84.940000,1014.94

29,07:00-07:15,0.680000,62.990000,24.140000,0.000000,193.080000,188.250000,0.000000,152.530000,0.000000,21.230000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,42.470000,0.000000,6.760000,28.960000,84.470000,22.200000,24.140000,3.860000,0.000000,0.000000,0.000000,0.000000,48.270000,31.5,13.5,0.26,84.940000,1034.23

30,07:15-07:30,0.680000,62.990000,24.140000,0.000000,193.080000,188.250000,0.000000,152.530000,0.000000,21.230000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,42.470000,0.000000,6.760000,28.960000,84.470000,22.200000,24.140000,3.860000,0.000000,0.000000,0.000000,0.000000,48.270000,42,18,0.49,84.940000,1049.46

31,07:30-07:45,0.680000,62.990000,24.140000,0.000000,193.080000,188.250000,0.000000,152.530000,0.000000,21.230000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,42.470000,0.000000,6.760000,28.960000,84.470000,22.200000,24.140000,3.860000,0.000000,0.000000,0.000000,0.000000,48.270000,51.8,22.2,0.72,84.940000,1063.69

32,07:45:08:00,0.680000,62.990000,24.140000,0.000000,193.080000,188.250000,0.000000,152.530000,0.000000,21.230000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,42.470000,0.000000,6.760000,28.960000,84.470000,22.200000,24.140000,3.860000,0.000000,0.000000,0.000000,0.000000,48.270000,60.2,25.8,0.82,84.940000,1075.79

33,08:00-08:15,0.970000,62.990000,24.140000,0.000000,193.080000,188.250000,0.000000,152.530000,0.000000,21.230000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,42.470000,0.000000,6.760000,28.960000,84.470000,22.200000,24.140000,3.860000,0.000000,0.000000,0.000000,0.000000,48.270000,70,30,0.97,84.940000,1090.23

34,08:15-08:30,0.970000,62.990000,24.140000,0.000000,193.080000,188.250000,0.000000,152.530000,0.000000,21.230000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,42.470000,0.000000,6.760000,28.960000,84.470000,22.200000,24.140000,3.860000,0.000000,0.000000,0.000000,0.000000,48.270000,80.5,34.5,0.97,84.940000,1105.23

35,08:30-08:45,0.970000,62.990000,24.140000,0.000000,193.080000,188.250000,0.000000,152.530000,0.000000,21.230000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,42.470000,0.000000,6.760000,28.960000,84.470000,22.200000,24.140000,4.830000,0.000000,0.000000,0.000000,0.000000,48.270000,87.5,37.5,1.16,84.940000,1116.39

36,08:45:09:00,0.970000,62.990000,24.140000,0.000000,193.080000,188.250000,0.000000,152.530000,0.000000,21.230000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,42.470000,0.000000,6.760000,28.960000,84.470000,22.200000,24.140000,4.830000,0.000000,0.000000,0.000000,0.000000,48.270000,99.4,42.6,1.45,84.940000,1133.68

37,09:00:09:15,0.970000,62.990000,24.140000,0.000000,193.080000,188.250000,15.930000,152.530000,0.000000,21.230000,0.000000,8.210000,0.000000,0.000000,0.000000,0.000000,0.000000,42.470000,0.000000,6.760000,28.960000,84.470000,22.200000,24.140000,4.830000,0.000000,0.000000,0.000000,0.000000,48.270000,108.5,46.5,1.93,84.940000,1171.3

38,09:15-09:30,0.970000,62.990000,24.140000,0.000000,193.080000,188.250000,15.930000,152.530000,0.000000,21.230000,0.000000,8.210000,0.000000,0.000000,0.000000,0.000000,0.000000,42.470000,0.000000,6.760000,28.960000,84.470000,22.200000,24.140000,4.830000,0.000000,0.000000,0.000000,0.000000,48.270000,115.5,49.5,1.93,84.940000,1181.3

39,09:30-09:45,0.970000,62.990000,24.140000,0.000000,193.080000,188.250000,15.930000,152.530000,0.000000,21.230000,0.000000,8.210000,0.000000,0.000000,0.000000,0.000000,0.000000,42.470000,0.000000,6.760000,28.960000,84.470000,22.200000,24.140000,4.830000,0.000000,0.000000,0.000000,0.000000,48.270000,122.5,52.5,2.12,84.940000,1191.49

40,09:45-10:00,0.970000,62.990000,24.140000,0.000000,193.080000,188.250000,15.930000,152.530000,0.000000,21.230000,0.000000,8.210000,0.000000,0.000000,0.000000,0.000000,0.000000,42.470000,0.000000,6.760000,28.960000,84.470000,22.200000,24.140000,5.790000,0.000000,0.000000,0.000000,0.000000,48.270000,133,57,2.12,84.940000,1207.45

41,10:00-10:15,0.970000,62.990000,24.140000,90.750000,193.080000,188.250000,15.930000,152.530000,0.000000,21.230000,0.000000,8.210000,0.000000,0.000000,0.000000,0.000000,0.000000,42.470000,0.000000,6.760000,28.960000,84.470000,22.200000,24.140000,5.790000,0.000000,0.000000,0.000000,0.000000,48.270000,138.6,59.4,2.12,84.940000,1306.2

42,10:15-10:30,0.970000,62.990000,24.140000,90.750000,193.080000,188.250000,15.930000,152.530000,0.000000,21.230000,0.000000,8.210000,0.000000,0.000000,0.000000,0.000000,0.000000,42.470000,0.000000,6.760000,28.960000,84.470000,22.200000,24.140000,5.790000,0.000000,0.000000,0.000000,0.000000,48.270000,147,63,2.41,84.940000,1318.49

43,10:30-10:45,0.970000,62.990000,24.140000,90.750000,193.080000,188.250000,15.930000,152.530000,0.000000,21.230000,0.000000,8.210000,0.000000,0.000000,0.000000,0.000000,0.000000,42.470000,0.000000,6.760000,28.960000,84.470000,22.200000,24.140000,5.790000,0.000000,0.000000,0.000000,0.000000,48.270000,154,66,2.56,84.940000,1328.64

44,10:45-11:00,0.970000,62.990000,24.140000,90.750000,193.080000,188.250000,15.930000,152.530000,0.000000,21.230000,0.000000,8.210000,0.000000,0.000000,0.000000,0.000000,0.000000,42.470000,0.000000,6.760000,28.960000,84.470000,22.200000,24.140000,5.790000,0.000000,0.000000,0.000000,0.000000,48.270000,159.6,68.4,2.51,84.940000,1336.59

45,11:00-11:15,0.970000,62.990000,24.140000,90.750000,193.080000,188.250000,15.930000,152.530000,0.000000,21.230000,0.000000,8.210000,0.000000,0.000000,0.000000,0.000000,0.000000,42.470000,0.000000,6.760000,28.960000,84.470000,22.200000,24.140000,5.790000,0.000000,0.000000,0.000000,0.000000,48.270000,164.5,70.5,2.7,84.940000,1343.78

46,11:15-11:30,0.970000,62.990000,24.140000,90.750000,193.080000,188.250000,15.930000,152.530000,0.000000,21.230000,0.000000,8.210000,0.000000,0.000000,0.000000,0.000000,0.000000,42.470000,0.000000,6.760000,28.960000,84.470000,22.200000,24.140000,5.790000,0.000000,0.000000,0.000000,0.000000,48.270000,168,72,2.99,84.940000,1349.07

47,11:30-11:45,0.970000,62.990000,24.140000,90.750000,193.080000,188.250000,15.930000,152.530000,0.000000,21.230000,0.000000,8.210000,0.000000,0.000000,0.000000,0.000000,0.000000,42.470000,0.000000,6.760000,28.960000,84.470000,22.200000,24.140000,5.790000,0.000000,0.000000,0.000000,0.000000,48.270000,171.5,73.5,3.19,84.940000,1354.27

48,11:45-12:00,0.970000,62.990000,24.140000,90.750000,193.080000,188.250000,15.930000,152.530000,0.000000,21.230000,0.000000,8.210000,0.000000,0.000000,0.000000,0.000000,0.000000,42.470000,0.000000,6.760000,28.960000,84.470000,22.200000,24.140000,5.790000,0.000000,0.000000,0.000000,0.000000,48.270000,175,75,3.09,84.940000,1359.17

49,12:00-12:15,0.970000,62.990000,24.140000,90.750000,193.080000,188.250000,15.930000,152.530000,0.000000,21.230000,0.000000,8.210000,0.000000,0.000000,0.000000,0.000000,0.000000,42.470000,0.000000,6.760000,28.960000,84.470000,22.200000,24.140000,5.790000,0.000000,0.000000,0.000000,0.000000,48.270000,175,75,3.48,84.940000,1359.56

50,12:15-12:30,0.970000,62.990000,24.140000,90.750000,193.080000,188.250000,15.930000,152.530000,0.000000,21.230000,0.000000,8.210000,0.000000,0.000000,0.000000,0.000000,0.000000,42.470000,0.000000,6.760000,28.960000,84.470000,22.200000,24.140000,5.790000,0.000000,0.000000,0.000000,0.000000,48.270000,175,75,3.86,84.940000,1359.94

51,12:30-12:45,0.970000,62.990000,24.140000,90.750000,193.080000,188.250000,15.930000,152.530000,0.000000,21.230000,0.000000,8.210000,0.000000,0.000000,0.000000,0.000000,0.000000,42.470000,0.000000,6.760000,28.960000,84.470000,22.200000,24.140000,5.790000,0.000000,0.000000,0.000000,0.000000,48.270000,175,75,4.15,84.940000,1360.23

52,12:45-13:00,0.970000,62.990000,24.140000,90.750000,193.080000,188.250000,15.930000,152.530000,0.000000,21.230000,0.000000,8.210000,0.000000,0.000000,0.000000,0.000000,0.000000,42.470000,0.000000,6.760000,28.960000,84.470000,22.200000,24.140000,5.790000,0.000000,0.000000,0.000000,0.000000,48.270000,175,75,3.09,84.940000,1359.17

53,13:00-13:15,0.970000,62.990000,24.140000,90.750000,193.080000,188.250000,15.930000,152.530000,0.000000,21.230000,0.000000,8.210000,0.000000,0.000000,0.000000,0.000000,0.000000,42.470000,0.000000,6.760000,28.960000,84.470000,22.200000,24.140000,5.790000,0.000000,0.000000,0.000000,0.000000,48.270000,175,75,2.9,84.940000,1358.98

54,13:15-13:30,0.970000,62.990000,24.140000,90.750000,193.080000,188.250000,15.930000,152.530000,0.000000,21.230000,0.000000,8.210000,0.000000,0.000000,0.000000,0.000000,0.000000,42.470000,0.000000,6.760000,28.960000,84.470000,22.200000,24.140000,5.790000,0.000000,0.000000,0.000000,0.000000,48.270000,175,75,2.9,84.940000,1358.98

55,13:30-13:45,0.970000,62.990000,24.140000,90.750000,193.080000,188.250000,15.930000,152.530000,0.000000,21.230000,0.000000,8.210000,0.000000,0.000000,0.000000,0.000000,0.000000,42.470000,0.000000,6.760000,28.960000,84.470000,22.200000,24.140000,5.790000,0.000000,0.000000,0.000000,0.000000,48.270000,171.5,73.5,2.12,84.940000,1353.2

56,13:45-14:00,0.970000,62.990000,24.140000,90.750000,193.080000,188.250000,15.930000,152.530000,0.000000,21.230000,0.000000,8.210000,0.000000,0.000000,0.000000,0.000000,0.000000,42.470000,0.000000,6.760000,28.960000,84.470000,22.200000,24.140000,5.790000,0.000000,0.000000,0.000000,0.000000,48.270000,169.4,72.6,1.45,84.940000,1349.53

57,14:00-14:15,0.970000,62.990000,24.140000,106.190000,193.080000,188.250000,15.930000,152.530000,0.000000,21.230000,23.100000,8.210000,0.000000,0.000000,0.000000,0.000000,0.000000,42.470000,0.000000,6.760000,28.960000,84.470000,22.200000,24.140000,6.760000,0.000000,0.000000,0.000000,0.000000,48.270000,168,72,1.26,84.940000,1386.85

58,14:15-14:30,0.970000,62.990000,24.140000,106.190000,193.080000,188.250000,15.930000,152.530000,0.000000,21.230000,23.100000,8.210000,0.000000,0.000000,0.000000,0.000000,0.000000,42.470000,0.000000,6.760000,28.960000,84.470000,22.200000,24.140000,6.760000,0.000000,0.000000,0.000000,0.000000,48.270000,157.5,67.5,1.26,84.940000,1371.85

59,14:30-14:45,0.970000,62.990000,24.140000,106.190000,193.080000,188.250000,15.930000,152.530000,0.000000,21.230000,23.100000,8.210000,0.000000,0.000000,0.000000,27.030000,0.000000,42.470000,0.000000,6.760000,28.960000,84.470000,22.200000,24.140000,6.760000,0.000000,0.000000,0.000000,0.000000,48.270000,150.5,64.5,1.21,84.940000,1388.83

60,14:45-15:00,0.970000,62.990000,24.140000,106.190000,193.080000,188.250000,15.930000,152.530000,0.000000,21.230000,23.100000,8.210000,0.000000,0.000000,0.000000,77.230000,0.000000,42.470000,0.000000,6.760000,28.960000,84.470000,22.200000,24.140000,6.760000,0.000000,0.000000,0.000000,0.000000,48.270000,147,63,1.21,84.940000,1434.03

61,15:00-15:15,0.970000,62.990000,24.140000,106.190000,193.080000,188.250000,15.930000,152.530000,0.000000,21.230000,23.100000,8.210000,0.000000,0.000000,0.000000,102.330000,0.000000,42.470000,0.000000,6.760000,28.960000,84.470000,22.200000,24.140000,6.760000,0.000000,0.000000,0.000000,0.000000,48.270000,140,60,1.21,84.940000,1449.13

62,15:15-15:30,0.970000,62.990000,24.140000,106.190000,193.080000,188.250000,15.930000,152.530000,0.000000,21.230000,23.100000,8.210000,0.000000,0.000000,0.000000,102.330000,0.000000,42.470000,0.000000,6.760000,28.960000,84.470000,22.200000,24.140000,6.760000,0.000000,0.000000,0.000000,0.000000,48.270000,126,54,1.11,84.940000,1429.03

63,15:30-15:45,0.970000,62.990000,24.140000,106.190000,193.080000,188.250000,15.930000,152.530000,0.000000,21.230000,23.100000,8.210000,0.000000,0.000000,0.000000,102.330000,10.620000,42.470000,0.000000,6.760000,28.960000,84.470000,22.200000,24.140000,7.720000,0.000000,0.000000,0.000000,0.000000,48.270000,115.5,49.5,1.11,84.940000,1425.61

64,15:45-16:00,0.970000,62.990000,24.140000,106.190000,193.080000,188.250000,15.930000,152.530000,0.000000,21.230000,23.100000,8.210000,0.000000,0.000000,0.000000,102.330000,4.830000,42.470000,0.000000,6.760000,28.960000,84.470000,22.200000,24.140000,7.720000,0.000000,0.000000,0.000000,0.000000,48.270000,108.5,46.5,0.97,84.940000,1409.68

65,16:00-16:15,0.820000,62.990000,24.140000,106.190000,193.080000,188.250000,15.930000,152.530000,0.000000,21.230000,23.100000,8.210000,0.000000,0.000000,0.000000,82.060000,0.000000,42.470000,0.000000,6.760000,28.960000,84.470000,22.200000,24.140000,4.830000,0.000000,3.860000,0.000000,0.000000,48.270000,102.9,44.1,0.77,84.940000,1377.2

66,16:15-16:30,0.820000,62.990000,24.140000,106.190000,193.080000,188.250000,15.930000,152.530000,0.000000,21.230000,23.100000,8.210000,0.000000,0.000000,0.000000,65.650000,0.000000,42.470000,0.000000,6.760000,28.960000,84.470000,22.200000,24.140000,4.830000,0.000000,3.860000,0.000000,0.000000,48.270000,93.1,39.9,0.68,84.940000,1346.7

