Column1,Block,NR/30092023/31122025/SH-07,GNA/WR/2024/11/01/4200,GNA/WR/2024/10/15/7089,GNA/NR/2024/11/01/4503,GNA/NR/2024/11/01/5428,GNA/NR/2024/11/01/9042,GNA/NR/2024/11/01/5474,GNA/NR/2024/11/01/5444,GNA/NR/2024/11/01/3646,GNA/NR/2024/11/01/9061,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/11/01/1868,NR/2024/23769/A/44092,NR/2024/23809/A/44091,NR/30092023/26122029/SH-06,WR/2024/24788/A/44219,NR/2024/23420/A/44099,NR/2024/24103/C,NR/2024/23918/A/44090,NR/2024/24105/C,Total
12,02:45-03:00,0,0,0,8.64,25.93,17.29,142.69,25.93,47.56,25.93,2.2,8.64,5.76,4.8,0,0,0.48,0,0,0,315.85

13,03:00-03:15,0,0,0,8.64,25.93,17.29,142.69,25.93,47.56,25.93,2.2,8.64,5.76,4.8,0,0,0.43,0,0,0,315.8

14,03:15-03:30,0,0,0,8.64,25.93,17.29,142.69,25.93,47.56,25.93,2.2,8.64,5.76,4.8,0,0,0.43,0,0,0,315.8

15,03:30-03:45,0,0,0,8.64,25.93,17.29,142.69,25.93,47.56,25.93,2.2,8.64,5.76,4.8,0,0,0.43,0,0,0,315.8

16,03:45-04:00,0,0,0,8.64,25.93,17.29,142.69,25.93,47.56,25.93,2.2,8.64,5.76,4.8,0,0,0.43,0,0,0,315.8

17,04:00-04:15,0,0,0,8.64,25.93,17.29,142.69,25.93,47.56,25.93,2.2,8.64,5.76,4.8,0,0,0.43,0,0,0,315.8

18,04:15-04:30,0,0,0,8.64,25.93,17.29,142.69,25.93,47.56,25.93,2.2,8.64,5.76,4.8,0,0,0.43,0,0,0,315.8

19,04:30-04:45,0,0,0,8.64,25.93,17.29,142.69,25.93,47.56,25.93,2.2,8.64,5.76,4.8,0,0,0.43,0,0,0,315.8

20,04:45-05:00,0,0,0,8.64,25.93,17.29,142.69,25.93,47.56,25.93,2.2,8.64,5.76,4.8,0,0,0.43,0,0,0,315.8

21,05:00-05:15,0,0,0,8.64,25.93,17.29,142.69,25.93,47.56,25.93,2.2,8.64,5.76,4.8,0,0,0.43,0,0,0,315.8

22,05:15-05:30,0,0,0,8.64,25.93,17.29,142.69,25.93,47.56,25.93,2.2,8.64,5.76,4.8,0,0,0.43,0,0,0,315.8

23,05:30-05:45,0,0,0,8.64,25.93,17.29,142.69,25.93,47.56,25.93,2.2,8.64,5.76,4.8,0,0,0.43,0,0,0,315.8

24,05:45-06:00,0,0,0,8.64,25.93,17.29,142.69,25.93,47.56,25.93,2.2,8.64,5.76,4.8,0,0,0.43,0,0,0,315.8

25,06:00-06:15,0,0,0,8.64,25.93,17.29,0,25.93,0,25.93,2.2,8.64,5.76,4.8,0,0,0.43,0,0,0,125.55000000000001

26,06:15-06:30,0,0,0,8.64,25.93,17.29,0,25.93,0,25.93,2.2,8.64,5.76,4.8,0,0,0.43,0,0,0,125.55000000000001

27,06:30-06:45,0,0,0,8.64,25.93,17.29,0,25.93,0,25.93,2.2,8.64,5.76,4.8,0,0,0.43,0,0,0,125.55000000000001

28,06:45-07:00,0,0,0,8.64,25.93,17.29,0,25.93,0,25.93,2.2,8.64,5.76,4.8,0,0,0.43,0,0,0,125.55000000000001

29,07:00-07:15,0,0,0,8.64,25.93,17.29,0,25.93,0,25.93,2.2,8.64,5.76,4.8,0,0,0.58,0,0,0,125.7

30,07:15-07:30,0,0,0,8.64,25.93,17.29,0,25.93,0,25.93,2.2,8.64,5.76,4.8,0,0,0.58,0,0,0,125.7

31,07:30-07:45,0,0,0,8.64,25.93,17.29,0,25.93,0,25.93,2.2,8.64,5.76,4.8,0,0,0.58,0,0,0,125.7

32,07:45-08:00,0,0,0,8.64,25.93,17.29,0,25.93,0,25.93,2.2,8.64,5.76,4.8,0,0,0.58,0,0,0,125.7

33,08:00-08:15,0,0,0,8.64,25.93,17.29,0,25.93,0,25.93,2.2,8.64,5.76,4.8,0,0,0.96,0,0,0,126.08

34,08:15-08:30,0,0,0,8.64,25.93,17.29,0,25.93,0,25.93,2.2,8.64,5.76,4.8,0,0,0.96,0,0,0,126.08

35,08:30-08:45,0,0,0,8.64,25.93,17.29,0,25.93,0,25.93,2.2,8.64,5.76,4.8,0,0,0.96,0,0,0,126.08

36,08:45-09:00,0,0,0,8.64,25.93,17.29,0,25.93,0,25.93,2.2,8.64,5.76,4.8,0,0,0.96,0,0,0,126.08

37,09:00-09:15,0,0,0,8.64,25.93,17.29,0,25.93,0,25.93,2.11,8.64,5.76,4.8,0,0,0.86,25.74,3.84,27.08,182.55

38,09:15-09:30,0,0,0,8.64,25.93,17.29,0,25.93,0,25.93,2.11,8.64,5.76,4.8,0,0,0.86,22.09,3.84,30.73,182.54999999999998

39,09:30-09:45,0,0,0,8.64,25.93,17.29,0,25.93,0,25.93,2.11,8.64,5.76,4.8,0,0,0.86,22.09,3.84,30.73,182.54999999999998

40,09:45-10:00,0,0,0,8.64,25.93,17.29,0,25.93,0,25.93,2.11,8.64,5.76,4.8,0,0,0.86,22.09,3.84,30.73,182.54999999999998

41,10:00-10:15,0,0,0,8.64,25.93,17.29,0,25.93,0,25.93,2.11,8.64,5.76,4.8,0,0,0.86,22.09,4.8,30.73,183.51

42,10:15-10:30,0,0,0,8.64,25.93,17.29,0,25.93,0,25.93,2.11,8.64,5.76,4.8,0,0,0.86,22.09,4.8,30.73,183.51

43,10:30-10:45,0,0,0,8.64,25.93,17.29,0,25.93,0,25.93,2.11,8.64,5.76,4.8,0,0,0.86,22.09,4.8,30.73,183.51

44,10:45-11:00,0,0,0,8.64,25.93,17.29,0,25.93,0,25.93,2.11,8.64,5.76,4.8,0,0,0.86,22.09,4.8,30.73,183.51

45,11:00-11:15,0,0,0,8.64,25.93,17.29,0,25.93,0,25.93,2.11,8.64,5.76,4.8,0,0,0.86,22.09,6.72,27.47,182.17

46,11:15-11:30,0,0,0,8.64,25.93,17.29,0,25.93,0,25.93,2.11,8.64,5.76,4.8,0,0,0.86,22.09,6.72,27.47,182.17

47,11:30-11:45,0,0,0,8.64,25.93,17.29,0,25.93,0,25.93,2.11,8.64,5.76,4.8,0,0,0.86,22.09,6.72,27.56,182.26

48,11:45-12:00,0,0,0,8.64,25.93,17.29,0,25.93,0,25.93,2.11,8.64,5.76,4.8,0,0,0.86,22.09,6.72,27.66,182.35999999999999

49,12:00-12:15,0,0,0,8.64,25.93,17.29,0,25.93,0,25.93,2.11,8.64,5.76,4.8,0,0,0.86,22.09,6.72,27.85,182.54999999999998

50,12:15-12:30,0,0,0,8.64,25.93,17.29,0,25.93,0,25.93,2.11,8.64,5.76,4.8,0,0,0.86,22.09,6.72,27.95,182.64999999999998

51,12:30-12:45,0,0,0,8.64,25.93,17.29,0,25.93,0,25.93,2.11,8.64,5.76,4.8,0,0,0.86,22.09,6.72,27.95,182.64999999999998

52,12:45-13:00,0,0,0,8.64,25.93,17.29,0,25.93,0,25.93,2.11,8.64,5.76,4.8,0,0,0.86,22.09,6.72,28.04,182.73999999999998

53,13:00-13:15,0,0,0,8.64,25.93,17.29,0,25.93,0,25.93,2.11,8.64,5.76,4.8,0,0,0.77,22.09,5.76,28.14,181.78999999999996

54,13:15-13:30,0,0,0,8.64,25.93,17.29,0,25.93,0,25.93,2.11,8.64,5.76,4.8,0,0,0.77,22.09,5.76,28.14,181.78999999999996

55,13:30-13:45,0,0,0,8.64,25.93,17.29,0,25.93,0,25.93,2.11,8.64,5.76,4.8,0,0,0.77,22.09,5.76,28.14,181.78999999999996

56,13:45-14:00,0,0,0,8.64,25.93,17.29,0,25.93,0,25.93,2.11,8.64,5.76,4.8,0,0,0.77,22.09,5.76,28.24,181.89

57,14:00-14:15,0,0,0,8.64,25.93,17.29,0,25.93,0,25.93,2.11,8.64,5.76,4.8,0,0,0.96,22.09,4.8,28.43,181.31

58,14:15-14:30,0,0,0,8.64,25.93,17.29,0,25.93,0,25.93,2.11,8.64,5.76,4.8,0,0,0.96,22.09,4.8,28.62,181.5

59,14:30-14:45,0,0,0,8.64,25.93,17.29,0,25.93,0,25.93,2.11,8.64,5.76,4.8,0,0,0.96,22.09,4.8,29,181.88

60,14:45-15:00,0,0,0,8.64,25.93,17.29,0,25.93,0,25.93,2.11,8.64,5.76,4.8,0,0,0.96,22.09,4.8,29.29,182.17

61,15:00-15:15,0,0,0,8.64,25.93,17.29,0,25.93,0,25.93,2.2,8.64,5.76,4.8,0,0,0.86,22.09,4.8,29.68,182.55

62,15:15-15:30,0,0,0,8.64,25.93,17.29,0,25.93,0,25.93,2.2,8.64,5.76,4.8,0,0,0.86,22.09,4.8,30.25,183.12

63,15:30-15:45,0,0,0,8.64,25.93,17.29,0,25.93,0,25.93,2.2,8.64,5.76,4.8,0,0,0.86,24.68,4.8,28.14,183.60000000000002

64,15:45-16:00,0,0,0,8.64,25.93,17.29,0,25.93,0,25.93,2.2,8.64,5.76,4.8,0,0,0.86,28.81,4.8,24.01,183.6

65,16:00-16:15,0,0,0,8.64,25.93,17.29,0,25.93,0,25.93,2.2,8.64,5.76,4.8,0,0,0.77,22.67,2.88,19.69,171.13

66,16:15-16:30,0,0,0,8.64,25.93,17.29,0,25.93,0,25.93,2.2,8.64,5.76,4.8,0,0,0.77,14.79,2.88,15.37,158.93

67,16:30-16:45,0,0,0,8.64,25.93,17.29,0,25.93,0,25.93,2.2,8.64,5.76,4.8,0,0,0.77,8.07,2.88,11.24,148.08

68,16:45-17:00,0,0,0,8.64,25.93,17.29,0,25.93,0,25.93,2.2,8.64,5.76,4.8,0,0,0.77,1.92,2.88,7.49,138.18

69,17:00-17:15,0,0,0,8.64,31.69,19.21,0,31.69,0,31.69,2.2,8.64,5.76,4.8,0,0,0.58,0,0.96,0,145.86

70,17:15-17:30,0,0,0,8.64,31.69,19.21,0,31.69,0,31.69,2.2,8.64,5.76,4.8,0,0,0.58,0,0.96,0,145.86

71,17:30-17:45,0,0,0,8.64,31.69,19.21,0,31.69,0,31.69,2.2,8.64,5.76,4.8,0,0,0.58,0,0.96,0,145.86

72,17:45-18:00,0,0,0,8.64,31.69,19.21,0,31.69,0,31.69,2.2,8.64,5.76,4.8,0,0,0.58,0,0.96,0,145.86

73,18:00-18:15,0,50,150,8.64,31.69,19.21,0,31.69,0,31.69,2.2,8.64,5.76,4.8,0,38.42,0.62,0,0,0,383.35999999999996

74,18:15-18:30,0,50,150,8.64,31.69,19.21,0,31.69,0,31.69,2.2,8.64,5.76,4.8,0,38.42,0.62,0,0,0,383.35999999999996

75,18:30-18:45,0,50,150,8.64,31.69,19.21,0,31.69,0,31.69,2.2,8.64,5.76,4.8,0,38.42,0.62,0,0,0,383.35999999999996

76,18:45-19:00,0,50,150,8.64,31.69,19.21,0,31.69,0,31.69,2.2,8.64,5.76,4.8,0,38.42,0.62,0,0,0,383.35999999999996

77,19:00-19:15,0,50,150,8.64,31.69,19.21,0,31.69,0,31.69,2.2,8.64,5.76,4.8,0,38.42,0.62,0,0,0,383.35999999999996

78,19:15-19:30,0,50,150,8.64,31.69,19.21,0,31.69,0,31.69,2.2,8.64,5.76,4.8,0,38.42,0.62,0,0,0,383.35999999999996

79,19:30-19:45,0,50,150,8.64,31.69,19.21,0,31.69,0,31.69,2.2,8.64,5.76,4.8,0,38.42,0.62,0,0,0,383.35999999999996

80,19:45-20:00,0,50,150,8.64,31.69,19.21,0,31.69,0,31.69,2.2,8.64,5.76,4.8,0,38.42,0.62,0,0,0,383.35999999999996

81,20:00-20:15,0,50,200,8.64,31.69,19.21,0,31.69,0,31.69,2.2,8.64,5.76,4.8,0,38.42,0.62,0,0,0,433.35999999999996

82,20:15-20:30,0,50,200,8.64,31.69,19.21,0,31.69,0,31.69,2.2,8.64,5.76,4.8,0,38.42,0.62,0,0,0,433.35999999999996

83,20:30-20:45,0,50,200,8.64,31.69,19.21,0,31.69,0,31.69,2.2,8.64,5.76,4.8,0,38.42,0.62,0,0,0,433.35999999999996

84,20:45-21:00,0,50,200,8.64,31.69,19.21,0,31.69,0,31.69,2.2,8.64,5.76,4.8,0,38.42,0.62,0,0,0,433.35999999999996

85,21:00-21:15,0,50,200,8.64,25.93,17.29,0,25.93,0,25.93,2.2,8.64,5.76,4.8,0,38.42,0.62,0,0,0,414.16

86,21:15-21:30,0,50,200,8.64,25.93,17.29,0,25.93,0,25.93,2.2,8.64,5.76,4.8,0,38.42,0.62,0,0,0,414.16

87,21:30-21:45,0,50,200,8.64,25.93,17.29,0,25.93,0,25.93,2.2,8.64,5.76,4.8,0,38.42,0.62,0,0,0,414.16

88,21:45-22:00,0,50,200,8.64,25.93,17.29,0,25.93,0,25.93,2.2,8.64,5.76,4.8,0,38.42,0.62,0,0,0,414.16

89,22:00-22:15,0,50,200,8.64,25.93,17.29,142.69,25.93,47.56,25.93,2.2,8.64,5.76,4.8,0,38.42,0.62,0,0,0,604.4099999999999

90,22:15-22:30,0,50,200,8.64,25.93,17.29,142.69,25.93,47.56,25.93,2.2,8.64,5.76,4.8,0,38.42,0.62,0,0,0,604.4099999999999

91,22:30-22:45,0,50,200,8.64,25.93,17.29,142.69,25.93,47.56,25.93,2.2,8.64,5.76,4.8,0,38.42,0.62,0,0,0,604.4099999999999

92,22:45-23:00,0,50,200,8.64,25.93,17.29,142.69,25.93,47.56,25.93,2.2,8.64,5.76,4.8,0,38.42,0.62,0,0,0,604.4099999999999

93,23:00-23:15,0,50,200,8.64,25.93,17.29,142.69,25.93,47.56,25.93,2.11,8.64,5.76,4.8,0,38.42,0.62,0,0,0,604.3199999999998

94,23:15-23:30,0,50,200,8.64,25.93,17.29,142.69,25.93,47.56,25.93,2.11,8.64,5.76,4.8,0,38.42,0.62,0,0,0,604.3199999999998

95,23:30-23:45,0,50,200,8.64,25.93,17.29,142.69,25.93,47.56,25.93,2.11,8.64,5.76,4.8,0,38.42,0.62,0,0,0,604.3199999999998

96,23:45-24:00,0,50,200,8.64,25.93,17.29,142.69,25.93,47.56,25.93,2.11,8.64,5.76,4.8,0,38.42,0.62,0,0,0,604.3199999999998

