Block,Time Block,ANTA_RF,ANTA_LF,AURY_CRF,DADRI_RF,AURY_RF,DADRI_LF,AURY_LF,DADRI_GF,AURY_GF,DADRI_CRF,SALAL,RIHAND3,RAPPB,NLCIIST2,RIHAND2,NLCTS2EXP,NNTPP,RAMPUR,RIHAND1,NTPL,RSTPSU1TO6,PARBATI3,RAPPC,RSTPSU7,TEHRI,SEWA2,SINGRAULI,UNCHAHAR1,TANDA2,SASAN,TALST2,TelanganaSTPP,SIMHST1,SINGRAULI_HYDRO,TANAKPUR,UNCHAHAR2,SIMHST2,TALA,ANTA_CRF,VALLURNTECL,UNCHAHAR4,ANTA_GF,URI2,UNCHAHAR3,URI,KOLDAM,KISHANGANGA,MAPS,KHSTPP-I,KOTESHWR,KHSTPP-II,KKNP,KKNPPU2,KUDGI,NLCEXP,NLCIIST1,NJPC,NAPP,KGSU1AND2,BSIUL,CHAMERA3,KGSU3AND4,CHAMERA2,DHAULIGNGA,FSTPP I & II,BRBCL,DULHASTI,DADRT2,CHAMERA1,JHAJJAR,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
6,01:15-01:30,0,0,0,0,0,0,0,0,0,0,76.17,119.3,0,0,113.96,0,0,0,88.28,0,0,0,49.93,0,14.33,0,95.35,17.6,0,401.85,0,0,0,0,6.14,36.11,0,0,0,0,0,0,4.39,22.73,37.61,0,0,0,31.46,8.51,142.31,0,0,0,0,0,0,40.38,0,0,0,0,2.3,8.74,19.96,18.56,15.81,288.66,0,234.56,0,0,0,0,0

7,01:30-01:45,0,0,0,0,0,0,0,0,0,0,13.39,119.3,0,0,113.96,0,0,0,88.28,0,0,0,49.93,0,14.33,0,96.79,15.08,0,401.85,0,0,0,0,6.14,30.53,0,0,0,0,0,0,4.39,19.28,1.59,0,0,0,31.46,8.51,142.31,0,0,0,0,0,0,40.38,0,0,0,0,2.3,8.74,17.2,18.56,15.81,288.66,0,234.56,0,0,0,0,0

8,01:45-02:00,0,0,0,0,0,0,0,0,0,0,2.24,119.3,0,0,113.96,0,0,0,88.28,0,0,0,49.93,0,14.33,0,98.22,15.08,0,401.85,0,0,0,0,6.14,30.53,0,0,0,0,0,0,4.39,19.28,1.59,0,0,0,31.46,8.51,142.31,0,0,0,0,0,0,40.38,0,0,0,0,2.3,8.74,17.2,19.2,15.81,288.66,0,234.56,0,0,0,0,0

9,02:00-02:15,0,0,0,0,0,0,0,0,0,0,2.24,119.3,0,0,113.96,0,0,0,88.28,0,0,0,49.93,0,14.33,0,99.73,15.08,0,401.85,0,0,0,0,11.43,30.53,0,0,0,0,0,0,4.39,19.28,1.59,0,0,0,31.46,8.51,142.31,0,0,0,0,0,0,40.38,0,0,0,0,2.3,8.74,17.2,19.2,15.81,288.66,0,234.56,0,0,0,0,0

10,02:15-02:30,0,0,0,0,0,0,0,0,0,0,2.24,119.3,0,0,113.96,0,0,0,88.28,0,0,0,49.93,0,14.33,0,99.73,15.08,0,401.85,0,0,0,0,11.43,30.53,0,0,0,0,0,0,4.39,19.28,1.59,0,0,0,31.46,8.51,142.31,0,0,0,0,0,0,40.38,0,0,0,0,2.3,8.74,17.2,19.2,15.81,288.66,0,234.56,0,0,0,0,0

11,02:30-02:45,0,0,0,0,0,0,0,0,0,0,2.24,119.3,0,0,113.96,0,0,0,88.28,0,0,0,49.93,0,14.33,0,99.73,15.08,0,401.85,0,0,0,0,6.14,30.53,0,0,0,0,0,0,4.39,19.28,1.59,0,0,0,31.46,8.51,142.31,0,0,0,0,0,0,40.38,0,0,0,0,2.3,8.74,17.2,19.2,31.63,288.66,0,234.56,0,0,0,0,0

12,02:45-03:00,0,0,0,0,0,0,0,0,0,0,2.24,119.3,0,0,113.96,0,0,0,88.28,0,0,0,49.93,0,14.33,0,99.73,15.08,0,401.85,0,0,0,0,6.14,30.53,0,0,0,0,0,0,4.39,19.28,1.59,0,0,0,31.46,8.51,142.31,0,0,0,0,0,0,40.38,0,0,0,0,2.3,8.74,17.2,19.2,31.63,288.66,0,234.56,0,0,0,0,0

13,03:00-03:15,0,0,0,0,0,0,0,0,0,0,2.24,119.3,0,0,113.96,0,0,0,88.28,0,0,0,49.93,0,14.33,0,99.73,15.08,0,401.85,0,0,0,0,6.14,30.53,0,0,0,0,0,0,4.39,19.28,1.59,0,0,0,31.46,8.51,142.31,0,0,0,0,0,0,40.38,0,0,0,0,2.3,8.74,17.2,14.39,31.63,288.66,0,234.56,0,0,0,0,0

14,03:15-03:30,0,0,0,0,0,0,0,0,0,0,2.24,119.3,0,0,113.96,0,0,0,88.28,0,0,0,49.93,0,14.33,0,99.73,15.08,0,401.85,0,0,0,0,6.14,30.53,0,0,0,0,0,0,4.39,19.28,1.59,0,0,0,31.46,8.51,142.31,0,0,0,0,0,19.99,40.38,0,0,0,0,2.3,8.74,17.2,14.39,31.63,288.66,0,234.56,0,0,0,0,0

15,03:30-03:45,0,0,0,0,0,0,0,0,0,0,2.24,119.3,0,0,113.96,0,0,0,88.28,0,0,0,49.93,0,14.33,0,99.73,15.08,0,401.85,0,0,0,0,6.14,30.53,0,0,0,0,0,0,4.39,19.28,1.59,0,0,0,31.46,8.51,142.31,0,0,0,0,0,19.99,40.38,0,0,0,0,2.3,8.74,17.2,14.39,31.63,288.66,0,234.56,0,0,0,0,0

16,03:45-04:00,0,0,0,0,0,0,0,0,0,0,2.24,119.3,0,0,113.96,0,0,0,88.28,0,0,0,49.93,0,14.33,0,99.73,15.08,0,401.85,0,0,0,0,6.14,30.53,0,0,0,0,0,0,4.39,19.28,1.59,0,0,0,31.46,8.51,142.31,0,0,0,0,0,19.99,40.38,0,0,0,0,2.3,8.74,17.2,14.39,31.63,288.66,0,234.56,0,0,0,0,0

17,04:00-04:15,0,0,0,0,0,0,0,0,0,0,2.24,119.3,0,0,113.96,0,0,0,88.28,0,0,0,49.93,0,14.33,0,99.73,15.08,0,401.85,0,0,0,0,6.14,30.53,0,0,0,0,0,0,4.39,19.28,1.59,0,0,0,31.46,8.51,142.31,0,0,0,0,0,19.99,40.38,0,0,0,0,2.3,8.74,17.2,14.39,31.63,288.66,0,234.56,0,0,0,0,0

18,04:15-04:30,0,0,0,0,0,0,0,0,0,0,2.24,119.3,0,0,113.96,0,0,0,88.28,0,0,0,49.93,0,14.33,0,99.73,15.08,0,401.85,0,0,0,0,6.14,30.53,0,0,0,0,0,0,4.39,19.28,1.59,0,0,0,31.46,8.51,142.31,0,0,0,0,0,19.99,40.38,0,0,0,0,2.3,8.74,17.2,14.39,31.63,288.66,0,234.56,0,0,0,0,0

19,04:30-04:45,0,0,0,0,0,0,0,0,0,0,2.24,119.3,0,0,113.96,0,0,0,88.28,0,0,0,49.93,0,14.33,0,99.73,15.08,0,401.85,0,0,0,0,5.53,30.53,0,0,0,0,0,0,4.39,19.28,1.59,0,0,0,32.33,8.51,142.31,0,0,0,0,0,19.99,40.38,0,0,0,0,2.3,8.74,17.2,14.39,31.63,288.66,0,234.56,0,0,0,0,0

20,04:45-05:00,0,0,0,0,0,0,0,0,0,0,2.24,119.3,0,0,113.96,0,0,0,88.28,0,0,0,49.93,0,14.33,0,99.73,15.08,0,401.85,0,0,0,0,5.53,30.53,0,0,0,0,0,0,4.39,19.28,1.59,0,0,0,32.33,8.51,142.31,0,0,0,0,0,19.99,40.38,0,0,0,0,2.3,8.74,17.2,14.39,31.63,288.66,0,234.56,0,0,0,0,0

21,05:00-05:15,0,0,0,0,0,0,0,0,0,0,2.24,119.3,0,0,113.96,0,0,0,88.28,0,0,0,49.93,0,14.33,0,99.73,15.08,0,401.85,0,0,0,0,5.53,30.53,0,0,0,0,0,0,4.39,19.28,1.59,0,0,0,32.33,8.51,142.31,0,0,0,0,0,40.72,40.38,0,0,0,0,2.3,8.74,17.2,14.39,31.63,288.66,0,234.56,0,0,0,0,0

22,05:15-05:30,0,0,0,0,0,0,0,0,0,0,2.24,119.3,0,0,113.96,0,0,0,88.28,0,0,0,49.93,0,14.33,0,99.73,15.08,0,401.85,0,0,0,0,5.53,30.53,0,0,0,0,0,0,4.39,19.28,1.59,0,0,0,32.33,8.51,142.31,0,0,0,0,0,66.79,40.38,0,0,9.29,0,2.3,8.74,17.2,14.39,31.63,288.66,0,234.56,0,0,0,0,0

23,05:30-05:45,0,0,0,0,0,0,0,0,0,0,2.24,119.3,0,0,113.96,0,0,0,88.28,0,0,0,49.93,0,14.93,0,99.73,17.6,0,401.85,0,0,0,0,5.53,36.11,0,0,0,0,0,0,4.39,22.73,1.59,0,0,0,32.33,8.51,142.31,0,0,0,0,0,88.87,40.38,0,1.06,9.29,0,2.3,8.74,19.96,14.39,47.43,253.63,0,234.56,0,0,0,0,0

24,05:45-06:00,0,0,0,0,0,0,0,0,0,0,2.24,119.3,0,0,113.96,0,0,0,88.28,0,0,2.45,49.93,0,14.63,0,99.73,17.6,0,401.85,0,0,0,0,5.53,36.11,0,0,0,0,0,0,4.39,22.73,1.59,0,0,0,32.33,8.51,142.31,0,0,0,0,0,112.23,40.38,0,2.11,18.58,0,3.84,17.49,19.96,14.39,47.43,236.06,11.37,234.56,0,0,0,0,0

25,06:00-06:15,0,0,0,0,0,0,0,0,0,0,2.24,119.3,0,0,113.96,0,0,0,88.28,0,0,6.1,49.93,0,29.87,0,99.73,17.6,0,401.85,0,0,0,0,5.53,36.11,0,0,0,0,0,0,4.39,22.73,1.59,0,0,0,32.33,8.51,142.31,0,0,0,0,0,134.67,40.38,0,6.26,18.58,0,11.52,26.37,19.96,14.39,47.43,226.47,13.48,234.56,0,0,0,0,0

26,06:15-06:30,0,0,0,0,0,0,0,0,0,0,17.84,119.3,0,0,113.96,0,0,0,88.28,0,0,31.76,49.93,0,29.87,5.06,99.73,17.6,0,401.85,0,0,0,0,5.53,36.11,0,0,0,0,0,0,4.39,22.73,1.59,0,0,0,32.33,9.46,142.31,0,0,0,0,0,134.67,40.38,0,18.77,27.89,0,37.91,36.13,19.96,14.39,47.43,226.47,13.48,234.56,0,0,0,0,0

27,06:30-06:45,0,0,0,0,0,0,0,0,0,0,76.17,119.3,0,0,113.96,0,0,0,88.28,0,0,31.76,49.93,0,29.87,10.11,99.73,17.6,0,401.85,0,0,0,0,5.53,36.11,0,0,0,0,0,0,4.39,22.73,1.59,0,0,0,31.95,9.46,142.31,0,0,0,0,0,134.67,40.38,0,18.77,27.89,0,37.91,36.13,19.96,14.39,47.43,197.68,13.48,234.56,0,0,0,0,0

28,06:45-07:00,0,0,0,0,0,0,0,0,0,0,76.17,119.3,0,0,113.96,0,0,0,88.28,0,0,31.76,49.93,0,29.87,10.11,99.73,17.6,0,401.85,0,0,0,0,5.53,36.11,0,0,0,0,0,0,4.39,22.73,1.59,0,0,0,31.95,9.46,142.31,0,0,0,0,0,134.67,40.38,0,18.77,27.89,0,37.91,36.13,19.96,14.39,47.43,197.68,13.48,234.56,0,0,0,0,0

29,07:00-07:15,0,0,0,0,0,0,0,0,0,0,76.17,119.3,0,0,113.96,0,0,0,88.28,0,0,31.76,49.93,0,29.87,10.11,99.73,15.38,0,401.85,0,0,0,0,5.53,30.34,0,0,0,0,0,0,4.39,19.23,1.59,0,0,0,31.95,9.46,142.31,0,0,0,0,0,134.67,40.38,0,18.77,27.89,0,37.91,36.13,17.68,14.39,47.43,232.7,11.37,234.56,0,0,0,0,0

30,07:15-07:30,0,0,0,0,0,0,0,0,0,0,76.17,119.3,0,0,113.96,0,0,0,88.28,0,0,31.76,49.93,0,29.87,5.06,99.73,15.38,0,401.85,0,0,0,0,5.53,30.34,0,0,0,0,0,0,4.39,19.23,1.59,0,0,0,31.95,9.46,142.31,0,0,0,0,0,134.67,40.38,0,18.77,27.89,0,37.91,36.13,17.68,14.39,47.43,264.85,0,234.56,0,0,0,0,0

31,07:30-07:45,0,0,0,0,0,0,0,0,0,0,13.39,119.3,0,0,113.96,0,0,0,88.28,0,0,31.76,49.93,0,14.33,0,99.73,15.38,0,401.85,0,0,0,0,5.53,30.34,0,0,0,0,0,0,4.39,19.23,1.59,0,0,0,31.95,8.51,142.31,0,0,0,0,0,109.05,40.38,0,6.26,18.58,0,25.28,26.37,17.68,14.39,31.63,288.66,0,234.56,0,0,0,0,0

32,07:45-08:00,0,0,0,0,0,0,0,0,0,0,12.26,119.3,0,0,113.96,0,0,0,88.28,0,0,4.88,49.93,0,0,0,99.73,15.38,0,401.85,0,0,0,0,5.53,30.34,0,0,0,0,0,0,4.39,19.23,1.59,0,0,0,31.95,8.51,142.31,0,0,0,0,0,81.97,40.38,0,1.06,9.29,0,11.52,17.49,17.68,14.39,31.63,288.66,0,234.56,0,0,0,0,0

33,08:00-08:15,0,0,0,0,0,0,0,0,0,0,12.26,119.3,0,0,113.96,0,0,0,88.28,0,0,2.45,49.93,0,0,0,99.73,15.38,0,401.85,0,0,0,0,5.53,30.34,0,0,0,0,0,0,4.39,19.23,2.65,0,0,0,31.95,8.51,142.31,0,0,0,0,0,70.97,40.38,0,0,9.29,0,11.52,8.74,17.68,14.39,31.63,288.66,0,234.56,0,0,0,0,0

34,08:15-08:30,0,0,0,0,0,0,0,0,0,0,12.26,119.3,0,0,113.96,0,0,0,88.28,0,0,0,49.93,0,0,0,99.73,15.38,0,401.85,0,0,0,0,5.53,30.34,0,0,0,0,0,0,4.39,19.23,37.61,0,0,0,31.95,8.51,142.31,0,0,0,0,0,39.99,40.38,0,0,9.29,0,11.52,0,17.68,14.39,31.63,288.66,0,234.56,0,0,0,0,0

35,08:30-08:45,0,0,0,0,0,0,0,0,0,0,12.26,119.3,0,0,113.96,0,0,0,88.28,0,0,0,49.93,0,0,0,99.73,15.38,0,401.85,0,0,0,0,5.53,30.34,0,0,0,0,0,0,4.39,19.23,37.61,0,0,0,31.95,8.51,142.31,0,0,0,0,0,22.45,40.38,0,0,9.29,0,11.52,0,17.68,14.39,31.63,288.66,0,234.56,0,0,0,0,0

36,08:45-09:00,0,0,0,0,0,0,0,0,0,0,12.26,119.3,0,0,113.96,0,0,0,88.28,0,0,0,49.93,0,0,0,99.73,15.38,0,401.85,0,0,0,0,5.53,30.34,0,0,0,0,0,0,4.39,19.23,1.59,0,0,0,31.95,8.51,142.31,0,0,0,0,0,22.45,40.38,0,0,9.29,0,11.52,0,17.68,14.39,31.63,288.66,0,234.56,0,0,0,0,0

37,09:00-09:15,0,0,0,0,0,0,0,0,0,0,12.26,119.3,0,0,113.96,0,0,0,88.28,0,0,0,49.93,0,0,0,99.73,15.38,0,401.85,0,0,0,0,11.43,30.34,0,0,0,0,0,0,4.39,19.23,1.59,0,0,0,31.95,8.51,142.31,0,0,0,0,0,20.9,40.38,0,0,9.29,0,2.3,0,17.68,14.39,15.81,288.66,0,234.56,0,0,0,0,0

38,09:15-09:30,0,0,0,0,0,0,0,0,0,0,12.26,119.3,0,0,113.96,0,0,0,88.28,0,0,0,49.93,0,0,0,99.73,15.38,0,401.85,0,0,0,0,6.14,30.34,0,0,0,0,0,0,4.39,19.23,1.59,0,0,0,31.95,8.51,142.31,0,0,0,0,0,20.9,40.38,0,0,9.29,0,2.3,0,17.68,14.39,15.81,288.66,0,234.56,0,0,0,0,0

39,09:30-09:45,0,0,0,0,0,0,0,0,0,0,12.26,119.3,0,0,113.96,0,0,0,88.28,0,0,0,49.93,0,0,0,99.73,15.38,0,401.85,0,0,0,0,6.14,30.34,0,0,0,0,0,0,4.39,19.23,1.59,0,0,0,31.95,8.51,142.31,0,0,0,0,0,20.9,40.38,0,0,0,0,2.3,0,17.68,14.39,15.81,288.66,0,234.56,0,0,0,0,0

40,09:45-10:00,0,0,0,0,0,0,0,0,0,0,12.26,119.3,0,0,113.96,0,0,0,88.28,0,0,0,49.93,0,0,0,99.73,15.38,0,401.85,0,0,0,0,6.14,30.34,0,0,0,0,0,0,4.39,19.23,1.59,0,0,0,31.95,8.51,142.31,0,0,0,0,0,20.9,40.38,0,0,0,0,2.3,0,17.68,14.39,15.81,288.66,0,234.56,0,0,0,0,0

41,10:00-10:15,0,0,0,0,0,0,0,0,0,0,12.26,119.3,0,0,113.96,0,0,0,88.28,0,0,0,49.93,0,0,0,99.73,15.38,0,401.85,0,0,0,0,6.14,30.34,0,0,0,0,0,0,4.39,19.23,1.59,0,0,0,29.3,8.51,122.67,0,0,0,0,0,20.9,40.38,0,0,0,0,2.3,0,17.68,14.39,15.81,253.63,0,234.56,0,0,0,0,0

42,10:15-10:30,0,0,0,0,0,0,0,0,0,0,12.26,119.3,0,0,113.96,0,0,0,88.28,0,0,0,49.93,0,0,0,99.73,15.38,0,401.85,0,0,0,0,6.14,30.34,0,0,0,0,0,0,4.39,19.23,1.59,0,0,0,29.3,8.51,122.67,0,0,0,0,0,20.9,40.38,0,0,0,0,2.3,0,17.68,14.39,15.81,216.87,0,234.56,0,0,0,0,0

43,10:30-10:45,0,0,0,0,0,0,0,0,0,0,12.26,119.3,0,0,113.96,0,0,0,88.28,0,0,0,49.93,0,0,0,99.73,15.38,0,401.85,0,0,0,0,6.14,30.34,0,0,0,0,0,0,4.39,19.23,1.59,0,0,0,29.3,8.51,122.67,0,0,0,0,0,20.9,40.38,0,0,0,0,2.3,0,17.68,14.39,15.81,216.87,0,234.56,0,0,0,0,0

44,10:45-11:00,0,0,0,0,0,0,0,0,0,0,12.26,119.3,0,0,113.96,0,0,0,88.28,0,0,0,49.93,0,0,0,99.73,15.38,0,401.85,0,0,0,0,6.14,30.34,0,0,0,0,0,0,4.39,19.23,1.59,0,0,0,29.3,8.51,122.67,0,0,0,0,0,20.9,40.38,0,0,0,0,2.3,0,17.68,14.39,15.81,216.87,0,234.56,0,0,0,0,0

45,11:00-11:15,0,0,0,0,0,0,0,0,0,0,12.26,119.3,0,0,113.96,0,0,0,88.28,0,0,0,49.93,0,0,0,99.73,15.38,0,401.85,0,0,0,0,11.43,30.34,0,0,0,0,0,0,4.39,19.23,1.59,0,0,0,29.3,8.51,122.67,0,0,0,0,0,20.9,40.38,0,0,0,0,2.3,0,17.68,14.39,15.81,207.27,0,234.56,0,0,0,0,0

46,11:15-11:30,0,0,0,0,0,0,0,0,0,0,12.26,119.3,0,0,113.96,0,0,0,88.28,0,0,0,49.93,0,0,0,99.73,15.38,0,401.85,0,0,0,0,11.43,30.34,0,0,0,0,0,0,4.39,19.23,1.59,0,0,0,29.3,8.51,122.67,0,0,0,0,0,20.9,40.38,0,0,0,0,2.3,0,17.68,14.39,15.81,197.68,0,234.56,0,0,0,0,0

47,11:30-11:45,0,0,0,0,0,0,0,0,0,0,12.26,119.3,0,0,113.96,0,0,0,88.28,0,0,0,49.93,0,0,0,99.73,15.38,0,401.85,0,0,0,0,6.14,30.34,0,0,0,0,0,0,18.07,19.23,37.61,0,0,0,29.3,8.51,122.67,0,0,0,0,0,0,40.38,0,0,0,0,2.3,0,17.68,14.39,15.81,207.27,0,234.56,0,0,0,0,0

48,11:45-12:00,0,0,0,0,0,0,0,0,0,0,12.26,119.3,0,0,113.96,0,0,0,88.28,0,0,0,49.93,0,0,0,99.73,15.38,0,401.85,0,0,0,0,6.14,30.34,0,0,0,0,0,0,18.07,19.23,37.61,0,0,0,29.3,8.51,122.67,0,0,0,0,0,0,40.38,0,0,0,0,2.3,0,17.68,14.39,15.81,207.27,0,234.56,0,0,0,0,0

49,12:00-12:15,0,0,0,0,0,0,0,0,0,0,12.26,119.3,0,0,113.96,0,0,0,88.28,0,0,0,49.93,0,0,0,99.73,15.38,0,401.85,0,0,0,0,6.14,30.34,0,0,0,0,0,0,18.07,19.23,1.59,0,0,0,29.3,8.51,122.67,0,0,0,0,0,0,40.38,0,0,0,0,2.3,0,17.68,14.39,31.63,197.68,0,234.56,0,0,0,0,0

50,12:15-12:30,0,0,0,0,0,0,0,0,0,0,12.26,119.3,0,0,113.96,0,0,0,88.28,0,0,0,49.93,0,0,0,99.73,15.38,0,401.85,0,0,0,0,6.14,30.34,0,0,0,0,0,0,18.07,19.23,1.59,0,0,0,29.3,8.51,122.67,0,0,0,0,0,0,40.38,0,0,0,0,2.3,0,17.68,14.39,31.63,197.68,0,234.56,0,0,0,0,0

51,12:30-12:45,0,0,0,0,0,0,0,0,0,0,12.26,119.3,0,0,113.96,0,0,0,88.28,0,0,0,49.93,0,0,0,99.73,15.38,0,401.85,0,0,0,0,6.14,30.34,0,0,0,0,0,0,10.33,19.23,1.59,0,0,0,29.3,8.51,122.67,0,0,0,0,0,0,40.38,0,0,0,0,2.3,0,17.68,14.39,31.63,180.27,0,234.56,0,0,0,0,0

52,12:45-13:00,0,0,0,0,0,0,0,0,0,0,12.26,119.3,0,0,113.96,0,0,0,88.28,0,0,0,49.93,0,0,0,99.73,15.38,0,401.85,0,0,0,0,6.14,30.34,0,0,0,0,0,0,10.33,19.23,1.59,0,0,0,29.3,8.51,122.67,0,0,0,0,0,0,40.38,0,0,0,0,2.3,0,17.68,14.39,31.63,180.27,0,234.56,0,0,0,0,0

53,13:00-13:15,0,0,0,0,0,0,0,0,0,0,12.26,119.3,0,0,113.96,0,0,0,88.28,0,0,0,49.93,0,0,0,99.73,15.38,0,401.85,0,0,0,0,11.43,30.34,0,0,0,0,0,0,4.39,19.23,1.59,0,0,0,29.3,8.51,122.67,0,0,0,0,0,0,40.38,0,0,0,0,2.3,0,17.68,14.39,31.63,180.27,0,234.56,0,0,0,0,0

54,13:15-13:30,0,0,0,0,0,0,0,0,0,0,12.26,119.3,0,0,113.96,0,0,0,88.28,0,0,0,49.93,0,0,0,99.73,15.38,0,401.85,0,0,0,0,11.43,30.34,0,0,0,0,0,0,4.39,19.23,1.59,0,0,0,29.3,8.51,122.67,0,0,0,0,0,20.9,40.38,0,0,0,0,2.3,0,17.68,14.39,31.63,180.27,0,234.56,0,0,0,0,0

55,13:30-13:45,0,0,0,0,0,0,0,0,0,0,12.26,119.3,0,0,113.96,0,0,0,88.28,0,0,0,49.93,0,0,0,99.73,15.38,0,401.85,0,0,0,0,6.14,30.34,0,0,0,0,0,0,4.39,19.23,1.59,0,0,0,29.3,8.51,122.67,0,0,0,0,0,20.9,40.38,0,0,0,0,2.3,0,17.68,14.39,31.63,180.27,0,234.56,0,0,0,0,0

56,13:45-14:00,0,0,0,0,0,0,0,0,0,0,12.26,119.3,0,0,113.96,0,0,0,88.28,0,0,0,49.93,0,0,0,99.73,15.38,0,401.85,0,0,0,0,6.14,30.34,0,0,0,0,0,0,4.39,19.23,1.59,0,0,0,29.3,8.51,122.67,0,0,0,0,0,20.9,40.38,0,0,0,0,2.3,0,17.68,14.39,31.63,180.27,0,234.56,0,0,0,0,0

57,14:00-14:15,0,0,0,0,0,0,0,0,0,0,12.26,119.3,0,0,113.96,0,0,0,88.28,0,0,0,49.93,0,0,0,99.73,15.38,0,401.85,0,0,0,0,6.14,30.34,0,0,0,0,0,0,4.39,19.23,1.59,0,0,0,29.3,8.51,122.67,0,0,0,0,0,20.9,40.38,0,0,0,0,2.3,0,17.68,14.39,31.63,180.27,0,234.56,0,0,0,0,0

58,14:15-14:30,0,0,0,0,0,0,0,0,0,0,12.26,119.3,0,0,113.96,0,0,0,88.28,0,0,0,49.93,0,0,0,99.73,15.38,0,401.85,0,0,0,0,6.14,30.34,0,0,0,0,0,0,4.39,19.23,1.59,0,0,0,29.3,8.51,122.67,0,0,0,0,0,20.9,40.38,0,0,0,0,2.3,0,17.68,14.39,31.63,197.68,0,234.56,0,0,0,0,0

59,14:30-14:45,0,0,0,0,0,0,0,0,0,0,12.26,119.3,0,0,113.96,0,0,0,88.28,0,0,0,49.93,0,0,0,99.73,15.27,0,401.85,0,0,0,0,6.14,30.11,0,0,0,0,0,0,4.39,19.08,1.59,0,0,0,29.3,8.51,122.67,0,0,0,0,0,20.9,40.38,0,0,0,0,2.3,0,17.68,14.39,31.63,226.47,0,234.56,0,0,0,0,0

60,14:45-15:00,0,0,0,0,0,0,0,0,0,0,12.26,119.3,0,0,113.96,0,0,0,88.28,0,0,0,49.93,0,0,0,99.73,15.27,0,401.85,0,0,0,0,6.14,30.11,0,0,0,0,0,0,4.39,19.08,1.59,0,0,0,29.3,8.51,122.67,0,0,0,0,0,39.99,40.38,0,0,0,0,2.3,0,17.68,14.39,31.63,255.25,0,234.56,0,0,0,0,0

