Column1,Block,NR/2024/23639/A/41362,GNA/NR/2024/10/01/3642,NR/30092023/26122029/SH-06,NR/30092023/31122025/SH-07,GNA/NR/2024/10/01/9582,GNA/NR/2024/10/01/9072,GNA/NR/2024/10/01/6101,NR/2024/23703/C,NR/2024/23694/A/41368,GNA/NR/2024/10/01/8106,NR/2024/23383/A/41247,GNA/NR/2024/10/16/4393,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/2024/23384/A/41259,NR/2024/23382/A/41395,GNA/NR/2024/10/16/2350,GNA/WR/2024/10/15/7089,NR/2024/23706/C,NR/2024/23640/A/41364,Total
29,07:00-07:15,0,37.23,26.91,26.91,12.41,37.23,37.23,175.41,2.89,12.41,0.58,0,4.78,6.75,24.83,0,0,0.58,0,406.1499999999999

30,07:15-07:30,0,37.23,26.91,26.91,12.41,37.23,37.23,175.41,2.89,12.41,0.58,0,4.78,6.75,24.83,0,0,0.9,0,406.4699999999999

31,07:30-07:45,0,37.23,26.91,26.91,12.41,37.23,37.23,175.41,2.89,12.41,0.58,0,4.78,6.75,24.83,0,0,1.22,0,406.78999999999996

32,07:45-08:00,0,37.23,26.91,26.91,12.41,37.23,37.23,175.41,2.89,12.41,0.58,0,4.78,6.75,24.83,0,0,1.54,0,407.10999999999996

33,08:00-08:15,0,37.23,26.91,26.91,12.41,37.23,37.23,175.41,2.89,12.41,0.96,0,4.78,6.75,24.83,0,0,1.87,0,407.81999999999994

34,08:15-08:30,0,37.23,26.91,26.91,12.41,37.23,37.23,175.41,2.89,12.41,0.96,0,4.78,6.75,24.83,0,0,2.07,0,408.0199999999999

35,08:30-08:45,0,37.23,26.91,26.91,12.41,37.23,37.23,175.41,2.89,12.41,0.96,0,4.78,6.75,24.83,0,0,2.33,0,408.2799999999999

36,08:45-09:00,0,37.23,26.91,26.91,12.41,37.23,37.23,175.41,2.89,12.41,0.96,0,4.78,6.75,24.83,0,0,3.91,0,409.85999999999996

37,09:00-09:15,42.41,37.23,26.91,26.91,12.41,37.23,37.23,175.41,2.89,12.41,0.87,0,4.78,6.75,24.83,0,0,2.82,10.6,461.68999999999994

38,09:15-09:30,42.41,37.23,26.91,26.91,12.41,37.23,37.23,175.41,2.89,12.41,0.87,0,4.78,6.75,24.83,0,0,2.77,10.6,461.63999999999993

39,09:30-09:45,42.41,37.23,26.91,26.91,12.41,37.23,37.23,175.41,2.89,12.41,0.87,0,4.78,6.75,24.83,0,0,3.49,10.6,462.35999999999996

40,09:45-10:00,42.41,37.23,26.91,26.91,12.41,37.23,37.23,175.41,2.89,12.41,0.87,0,4.78,6.75,24.83,0,0,6.96,10.6,465.8299999999999

41,10:00-10:15,42.41,37.23,26.91,26.91,12.41,37.23,37.23,175.41,2.89,12.41,0.87,0,4.69,6.75,24.83,0,0,7.21,10.6,465.98999999999995

42,10:15-10:30,42.41,37.23,26.91,26.91,12.41,37.23,37.23,175.41,2.89,12.41,0.87,0,4.69,6.75,24.83,0,0,5.7,10.6,464.47999999999996

43,10:30-10:45,42.41,37.23,26.91,26.91,12.41,37.23,37.23,175.41,2.89,12.41,0.87,0,4.69,6.75,24.83,0,0,5.5,10.6,464.28

44,10:45-11:00,42.41,37.23,26.91,26.91,12.41,37.23,37.23,175.41,2.89,12.41,0.87,0,4.69,6.75,24.83,0,0,4.94,10.6,463.71999999999997

45,11:00-11:15,42.41,37.23,26.91,26.91,12.41,37.23,37.23,175.41,2.89,12.41,0.87,0,4.69,6.75,24.83,0,0,4.47,10.6,463.25

46,11:15-11:30,42.41,37.23,26.91,26.91,12.41,37.23,37.23,175.41,2.89,12.41,0.87,0,4.69,6.75,24.83,0,0,3.76,10.6,462.53999999999996

47,11:30-11:45,42.41,37.23,26.91,26.91,12.41,37.23,37.23,175.41,2.89,12.41,0.87,0,4.69,6.75,24.83,0,0,6.6,10.6,465.38

48,11:45-12:00,42.41,37.23,26.91,26.91,12.41,37.23,37.23,175.41,2.89,12.41,0.87,0,4.69,6.75,24.83,0,0,7.48,10.6,466.26

49,12:00-12:15,42.41,37.23,26.91,26.91,12.41,37.23,37.23,175.41,2.89,12.41,0.87,0,4.69,6.75,24.83,0,0,8.04,10.6,466.82

50,12:15-12:30,42.41,37.23,26.91,26.91,12.41,37.23,37.23,175.41,2.89,12.41,0.87,0,4.69,6.75,24.83,0,0,5.7,10.6,464.47999999999996

51,12:30-12:45,42.41,37.23,26.91,26.91,12.41,37.23,37.23,175.41,2.89,12.41,0.87,0,4.69,6.75,24.83,0,0,5.8,10.6,464.58

52,12:45-13:00,42.41,37.23,26.91,26.91,12.41,37.23,37.23,175.41,2.89,12.41,0.87,0,4.69,6.75,24.83,0,0,6.55,10.6,465.33

53,13:00-13:15,42.41,37.23,26.91,26.91,12.41,37.23,37.23,175.41,2.89,12.41,0.77,0,4.69,6.75,24.83,0,0,6.35,10.6,465.03

54,13:15-13:30,42.41,37.23,26.91,26.91,12.41,37.23,37.23,175.41,2.89,12.41,0.77,0,4.69,6.75,24.83,0,0,6.82,10.6,465.49999999999994

55,13:30-13:45,42.41,37.23,26.91,26.91,12.41,37.23,37.23,175.41,2.89,12.41,0.77,0,4.69,6.75,24.83,0,0,7.93,10.6,466.60999999999996

56,13:45-14:00,42.41,37.23,26.91,26.91,12.41,37.23,37.23,175.41,2.89,12.41,0.77,0,4.69,6.75,24.83,0,0,5.84,10.6,464.5199999999999

57,14:00-14:15,42.41,37.23,26.91,26.91,12.41,37.23,37.23,175.41,2.89,12.41,0.92,0,4.69,6.75,24.83,0,0,3.17,10.6,462

58,14:15-14:30,42.41,37.23,26.91,26.91,12.41,37.23,37.23,175.41,2.89,12.41,0.92,0,4.69,6.75,24.83,0,0,3.52,10.6,462.34999999999997

59,14:30-14:45,42.41,37.23,26.91,26.91,12.41,37.23,37.23,175.41,2.89,12.41,0.92,0,4.69,6.75,24.83,0,0,7.5,10.6,466.33

60,14:45-15:00,42.41,37.23,26.91,26.91,12.41,37.23,37.23,175.41,2.89,12.41,0.92,0,4.69,6.75,24.83,0,0,7.02,10.6,465.84999999999997

61,15:00-15:15,42.41,37.23,26.91,26.91,12.41,37.23,37.23,175.41,2.89,12.41,0.92,0,4.69,6.75,24.83,0,0,6.65,10.6,465.47999999999996

62,15:15-15:30,42.41,37.23,26.91,26.91,12.41,37.23,37.23,175.41,2.89,12.41,0.92,0,4.69,6.75,24.83,0,0,6.01,10.6,464.84

63,15:30-15:45,42.41,37.23,26.91,26.91,12.41,37.23,37.23,175.41,2.89,12.41,0.92,0,4.69,6.75,24.83,0,0,5.32,10.6,464.15

64,15:45-16:00,42.41,37.23,26.91,26.91,12.41,37.23,37.23,175.41,2.89,12.41,0.92,0,4.69,6.75,24.83,0,0,4.73,10.6,463.56

65,16:00-16:15,39.32,37.23,25.08,25.08,12.41,37.23,37.23,175.41,2.89,12.41,0.77,0,4.69,6.75,24.83,0,0,4.12,10.6,456.05

66,16:15-16:30,32.38,37.23,22.78,22.78,12.41,37.23,37.23,175.41,2.89,12.41,0.77,0,4.69,6.75,24.83,0,0,3.15,10.6,443.53999999999996

67,16:30-16:45,23.32,37.23,17.78,17.78,12.41,37.23,37.23,175.41,2.89,12.41,0.77,0,4.69,6.75,24.83,0,0,2.39,10.6,423.71999999999997

68,16:45-17:00,13.59,37.23,2.78,2.78,12.41,37.23,37.23,175.41,2.89,12.41,0.77,0,4.69,6.75,24.83,0,0,1.65,10.6,383.24999999999994

69,17:00-17:15,0,37.23,0,0,12.41,37.23,39.52,175.41,2.89,12.41,0.72,0,4.69,6.75,29.2,0,0,1.11,0,359.57000000000005

70,17:15-17:30,0,37.23,0,0,12.41,37.23,39.52,175.41,2.89,12.41,0.72,0,4.69,6.75,29.2,0,0,0.61,0,359.07000000000005

71,17:30-17:45,0,37.23,8.98,8.98,12.41,37.23,39.52,175.41,2.89,12.41,0.72,0,4.69,6.75,29.2,0,0,0.28,0,376.7

72,17:45-18:00,0,37.23,8.98,8.98,12.41,37.23,39.52,175.41,2.89,12.41,0.72,0,4.69,6.75,29.2,0,0,0.08,0,376.5

73,18:00-18:15,0,37.23,0,32,12.41,37.23,39.52,175.41,2.89,12.41,0.72,0,4.78,6.75,29.2,0,125,0,0,515.55

74,18:15-18:30,0,37.23,0,32,12.41,37.23,39.52,175.41,2.89,12.41,0.72,0,4.78,6.75,29.2,0,125,0,0,515.55

75,18:30-18:45,0,37.23,32,0,12.41,37.23,39.52,175.41,2.89,12.41,0.72,0,4.78,6.75,29.2,0,125,0,0,515.55

76,18:45-19:00,0,37.23,32,0,12.41,37.23,39.52,175.41,2.89,12.41,0.72,0,4.78,6.75,29.2,0,125,0,0,515.55

77,19:00-19:15,0,37.23,0,32,12.41,37.23,39.52,175.41,2.89,12.41,0.67,0,4.88,6.75,29.2,0,125,0,0,515.5999999999999

78,19:15-19:30,0,37.23,0,32,12.41,37.23,39.52,175.41,2.89,12.41,0.67,0,4.88,6.75,29.2,0,125,0,0,515.5999999999999

79,19:30-19:45,0,37.23,0,32,12.41,37.23,39.52,175.41,2.89,12.41,0.67,0,4.88,6.75,29.2,0,125,0,0,515.5999999999999

80,19:45-20:00,0,37.23,0,32,12.41,37.23,39.52,175.41,2.89,12.41,0.67,0,4.88,6.75,29.2,0,125,0,0,515.5999999999999

81,20:00-20:15,0,37.23,0,0,12.41,37.23,39.52,175.41,2.89,12.41,0.67,0,4.88,6.75,29.2,0,200,0,0,558.6

82,20:15-20:30,0,37.23,0,0,12.41,37.23,39.52,175.41,2.89,12.41,0.67,0,4.88,6.75,29.2,0,200,0,0,558.6

83,20:30-20:45,0,37.23,0,0,12.41,37.23,39.52,175.41,2.89,12.41,0.67,0,4.88,6.75,29.2,0,200,0,0,558.6

84,20:45-21:00,0,37.23,0,0,12.41,37.23,39.52,175.41,2.89,12.41,0.67,0,4.88,6.75,29.2,0,200,0,0,558.6

85,21:00-21:15,0,37.23,0,0,12.41,37.23,37.23,175.41,2.89,12.41,0.72,0,4.88,6.75,24.83,0,200,0,0,551.99

86,21:15-21:30,0,37.23,0,0,12.41,37.23,37.23,175.41,2.89,12.41,0.72,0,4.88,6.75,24.83,0,200,0,0,551.99

87,21:30-21:45,0,37.23,0,0,12.41,37.23,37.23,175.41,2.89,12.41,0.72,0,4.88,6.75,24.83,0,200,0,0,551.99

88,21:45-22:00,0,37.23,0,0,12.41,37.23,37.23,175.41,2.89,12.41,0.72,0,4.88,6.75,24.83,0,200,0,0,551.99

89,22:00-22:15,0,37.23,0,0,12.41,37.23,37.23,175.41,2.89,12.41,0.67,95.13,4.88,6.75,24.83,31.71,200,0,0,678.78

90,22:15-22:30,0,37.23,0,0,12.41,37.23,37.23,175.41,2.89,12.41,0.67,95.13,4.88,6.75,24.83,31.71,200,0,0,678.78

91,22:30-22:45,0,37.23,0,0,12.41,37.23,37.23,175.41,2.89,12.41,0.67,95.13,4.88,6.75,24.83,31.71,200,0,0,678.78

92,22:45-23:00,0,37.23,0,0,12.41,37.23,37.23,175.41,2.89,12.41,0.67,95.13,4.88,6.75,24.83,31.71,200,0,0,678.78

93,23:00-23:15,0,37.23,0,0,12.41,37.23,37.23,175.41,2.89,12.41,0.58,95.13,4.78,6.75,24.83,31.71,200,0,0,678.5899999999999

94,23:15-23:30,0,37.23,0,0,12.41,37.23,37.23,175.41,2.89,12.41,0.58,95.13,4.78,6.75,24.83,31.71,200,0,0,678.5899999999999

95,23:30-23:45,0,37.23,0,0,12.41,37.23,37.23,175.41,2.89,12.41,0.58,95.13,4.78,6.75,24.83,31.71,200,0,0,678.5899999999999

96,23:45-24:00,0,37.23,0,0,12.41,37.23,37.23,175.41,2.89,12.41,0.58,95.13,4.78,6.75,24.83,31.71,200,0,0,678.5899999999999

