Time,Block,NR/01072024/31072024/	NR/01072024/31072024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/2024/21148/A/28829,NR/01072024/31072024/APPCPL/180/F25/TGNA/3250,NR/16072024/31072024/NR/16072024/31072024/717758,NR/2024/21103/A/29085,NR/2024/21930/C,NR/2024/21160/A/28828,NR/2024/21144/A/28796,NR/2024/20573/A/28866,NR/2024/21142/A/28979,NR/01072024/31072024/R2,NR/2024/21141/A/28987,NR/2024/21023/A/28795,NR/2024/21199/A/28794,NR/2024/21906/C,NR/30092023/31122025/SH-07,NR/01072024/31072024/Chanju/TPDDL/Jul01072024,NR/2024/21075/A/29112,NR/2024/21183/A/29110,NR/2024/21173/A/28846,NR/01072024/31072024/IIPL/JPL(SH)-BRPL/BRPL T-249/24-25/1,NR/30092023/26122029/SH-06,NR/01072024/31072024/IIPL/JPL(TM)-BRPL/BRPLT-169/24-25/02,NR/2024/21186/A/29072,NR/2024/21156/A/28833,NR/2024/21153/A/28832,NR/2024/19779/A/28769,NR/2024/21922/C,NR/2024/21062/A/28876,NR/2024/21916/C,NR/01102023/23072042/L_NR_2012_04,NR/05072024/31072024/1000011449-JITPL-BRPL(DISCOM),NR/2024/21072/A/29063,NR/2024/21238/A/29113,NR/2024/21076/A/29109,NR/2024/21924/C,NR/2024/20688/A/28848,NR/2024/21087/A/28847,NR/2024/21682/A/29142,NR/2024/21159/A/28835,NR/2024/21099/A/28981,NR/2024/21865/C,NR/2024/20711/A/29143,NR/2024/20574/A/28868,NR/2024/21152/A/28737,NR/2024/21089/A/29062,NR/2024/21210/A/28977,NR/2024/21096/A/29090,NR/01072024/31072024/NDMC/D-54/EE(POWER)2024,NR/01072024/31072024/NDMC/D-55/EE(POWER)2024,NR/2024/21146/A/28831,NR/2024/21715/A/28797,NR/01102023/25122043/GNA_MEJA_DELHI,NR/2024/21904/C,NR/2024/21339/A/28973,NR/2024/21227/A/29083,NR/2024/21150/A/28830,NR/2024/21113/A/29061,NR/2024/21567/A/29060,NR/2024/20931/A/29032,NR/2024/21158/A/28834,NR/2024/21108/A/29080,NR/2024/20966/A/29117,NR/01102023/14082046/L_NR_2021_16,NR/01102023/02012046/L_NR_2021_17,SR/2024/13611/C,NR/2024/21903/C,Total

3,00:30-00:45,0.000000,0.520000,38.580000,48.230000,84.090000,0.000000,0.970000,0.480000,36.170000,48.230000,24.120000,47.710000,0.000000,0.000000,27.970000,32.000000,13.170000,11.720000,21.220000,24.120000,72.340000,32.000000,96.460000,24.730000,0.610000,1.590000,0.630000,192.920000,0.000000,144.690000,0.000000,96.460000,37.260000,2.890000,90.670000,144.690000,66.740000,24.120000,241.150000,0.880000,24.120000,7.030000,96.460000,12.060000,1.930000,37.260000,48.230000,67.520000,12.420000,15.140000,0.360000,9.650000,0.000000,164.220000,0.000000,12.200000,0.880000,37.260000,12.420000,0.000000,0.680000,24.040000,4.820000,0,0,35.00,0,2353.83

4,00:45-01:00,0.000000,0.520000,38.580000,48.230000,84.090000,0.000000,0.970000,0.480000,36.170000,48.230000,24.120000,47.710000,0.000000,0.000000,27.970000,32.000000,13.170000,11.720000,21.220000,24.120000,72.340000,32.000000,96.460000,24.730000,0.610000,1.590000,0.630000,192.920000,0.000000,144.690000,0.000000,96.460000,37.260000,2.890000,90.670000,144.690000,66.740000,24.120000,241.150000,0.880000,24.120000,7.150000,96.460000,12.060000,1.930000,37.260000,48.230000,67.520000,12.420000,15.140000,0.360000,9.650000,0.000000,164.220000,0.000000,12.200000,0.880000,37.260000,12.420000,0.000000,0.680000,24.040000,4.820000,0,0,55.00,0,2373.95

5,01:00-01:15,0.000000,0.520000,38.580000,48.230000,84.090000,0.000000,0.970000,0.480000,36.170000,48.230000,24.120000,47.710000,0.000000,0.000000,27.970000,32.000000,13.170000,11.720000,21.220000,24.120000,72.340000,32.000000,96.460000,24.730000,0.610000,1.590000,0.580000,96.460000,0.000000,144.690000,0.000000,96.460000,37.260000,2.890000,90.670000,144.690000,66.740000,24.120000,241.150000,0.880000,24.120000,8.080000,96.460000,12.060000,1.930000,37.260000,48.230000,67.520000,12.420000,15.140000,0.360000,9.650000,0.000000,164.220000,0.000000,12.200000,0.880000,37.260000,12.420000,0.000000,0.680000,24.040000,4.820000,0,0,80.00,0,2303.37

6,01:15-01:30,0.000000,0.520000,38.580000,48.230000,84.090000,0.000000,0.970000,0.480000,36.170000,48.230000,24.120000,47.710000,0.000000,0.000000,27.970000,32.000000,13.170000,11.720000,21.220000,24.120000,72.340000,32.000000,96.460000,24.730000,0.610000,1.590000,0.580000,96.460000,0.000000,144.690000,0.000000,96.460000,37.260000,2.890000,90.670000,144.690000,66.740000,24.120000,241.150000,0.880000,24.120000,8.190000,96.460000,12.060000,1.930000,37.260000,48.230000,67.520000,12.420000,15.140000,0.360000,9.650000,0.000000,164.220000,0.000000,12.200000,0.880000,37.260000,12.420000,0.000000,0.680000,24.040000,4.820000,0,0,100.00,0,2323.48

7,01:30-01:45,0.000000,0.520000,38.580000,48.230000,84.090000,0.000000,0.970000,0.480000,36.170000,48.230000,24.120000,47.710000,0.000000,0.000000,27.970000,32.000000,13.170000,11.720000,21.220000,24.120000,72.340000,32.000000,96.460000,24.730000,0.610000,1.590000,0.580000,96.460000,0.000000,144.690000,0.000000,96.460000,37.260000,2.890000,90.670000,144.690000,66.740000,24.120000,241.150000,0.880000,24.120000,8.460000,96.460000,12.060000,1.930000,37.260000,48.230000,67.520000,12.420000,15.140000,0.360000,9.650000,0.000000,164.220000,0.000000,12.200000,0.880000,37.260000,12.420000,0.000000,0.680000,24.040000,4.820000,0,0,110.00,0,2333.75

8,01:45-02:00,0.000000,0.520000,38.580000,48.230000,84.090000,0.000000,0.970000,0.480000,36.170000,48.230000,24.120000,47.710000,0.000000,0.000000,27.970000,32.000000,13.170000,11.720000,21.220000,24.120000,72.340000,32.000000,96.460000,24.730000,0.610000,1.590000,0.580000,96.460000,0.000000,144.690000,0.000000,96.460000,37.260000,2.890000,90.670000,144.690000,66.740000,24.120000,241.150000,0.880000,24.120000,8.580000,96.460000,12.060000,1.930000,37.260000,48.230000,67.520000,12.420000,15.140000,0.360000,9.650000,0.000000,164.220000,0.000000,12.200000,0.880000,37.260000,12.420000,0.000000,0.680000,24.040000,4.820000,0,0,95.00,0,2318.87

9,02:00-02:15,0.000000,0.520000,38.580000,48.230000,84.090000,0.000000,0.970000,0.480000,36.170000,48.230000,24.120000,47.710000,0.000000,0.000000,27.970000,20.800000,13.170000,11.720000,21.220000,24.120000,72.340000,20.800000,96.460000,24.730000,0.610000,1.590000,0.580000,0.000000,0.000000,0.000000,0.000000,96.460000,37.260000,2.890000,90.670000,0.000000,66.740000,24.120000,241.150000,0.880000,24.120000,4.770000,96.460000,12.060000,1.930000,37.260000,48.230000,67.520000,12.420000,15.140000,0.360000,9.650000,0.000000,164.220000,0.000000,0.000000,0.880000,37.260000,12.420000,0.000000,0.680000,24.040000,4.820000,0,0,5.00,0,1804.62

10,02:15-02:30,0.000000,0.520000,38.580000,48.230000,84.090000,0.000000,0.970000,0.480000,36.170000,48.230000,24.120000,47.710000,0.000000,0.000000,27.970000,20.800000,13.170000,11.720000,21.220000,24.120000,72.340000,20.800000,96.460000,24.730000,0.610000,1.590000,0.580000,0.000000,0.000000,0.000000,0.000000,96.460000,37.260000,2.890000,90.670000,0.000000,66.740000,24.120000,241.150000,0.880000,24.120000,3.770000,96.460000,12.060000,1.930000,37.260000,48.230000,67.520000,12.420000,15.140000,0.360000,9.650000,0.000000,164.220000,0.000000,0.000000,0.880000,37.260000,12.420000,0.000000,0.680000,24.040000,4.820000,0,0,25.00,0,1823.62

11,02:30-02:45,0.000000,0.520000,38.580000,48.230000,84.090000,0.000000,0.970000,0.480000,36.170000,48.230000,24.120000,47.710000,0.000000,0.000000,27.970000,20.800000,13.170000,11.720000,21.220000,24.120000,72.340000,20.800000,96.460000,24.730000,0.610000,1.590000,0.580000,0.000000,0.000000,0.000000,0.000000,96.460000,37.260000,2.890000,90.670000,0.000000,66.740000,24.120000,241.150000,0.880000,24.120000,3.510000,96.460000,12.060000,1.930000,37.260000,48.230000,67.520000,12.420000,15.140000,0.360000,9.650000,0.000000,164.220000,0.000000,0.000000,0.880000,37.260000,12.420000,0.000000,0.680000,24.040000,4.820000,0,0,10.00,0,1808.36

12,02:45-03:00,0.000000,0.520000,38.580000,48.230000,84.090000,0.000000,0.970000,0.480000,36.170000,48.230000,24.120000,47.710000,0.000000,0.000000,27.970000,20.800000,13.170000,11.720000,21.220000,24.120000,72.340000,20.800000,96.460000,24.730000,0.610000,1.590000,0.580000,0.000000,0.000000,0.000000,0.000000,96.460000,37.260000,2.890000,90.670000,0.000000,66.740000,24.120000,241.150000,0.880000,24.120000,3.460000,96.460000,12.060000,1.930000,37.260000,48.230000,67.520000,12.420000,15.140000,0.360000,9.650000,0.000000,164.220000,0.000000,0.000000,0.880000,37.260000,12.420000,0.000000,0.680000,24.040000,4.820000,0,0,25.00,0,1823.31

13,03:00-03:15,0.000000,0.520000,0.000000,48.230000,84.090000,0.000000,0.970000,0.480000,36.170000,48.230000,24.120000,0.000000,0.000000,0.000000,27.970000,22.970000,12.980000,11.720000,21.220000,24.120000,72.340000,22.970000,96.460000,24.730000,0.610000,1.590000,0.530000,0.000000,0.000000,0.000000,0.000000,96.460000,37.260000,2.890000,90.670000,0.000000,66.740000,24.120000,241.150000,0.880000,24.120000,4.030000,96.460000,12.060000,1.930000,37.260000,48.230000,67.520000,12.420000,15.140000,0.360000,8.680000,0.000000,164.220000,0.000000,0.000000,0.880000,37.260000,12.420000,0.000000,0.680000,24.040000,4.820000,0,0,30.00,0,1745.72

14,03:15-03:30,0.000000,0.520000,0.000000,48.230000,84.090000,0.000000,0.970000,0.480000,36.170000,48.230000,24.120000,0.000000,0.000000,0.000000,27.970000,22.970000,12.980000,11.720000,21.220000,24.120000,72.340000,22.970000,96.460000,24.730000,0.610000,1.590000,0.530000,0.000000,0.000000,0.000000,0.000000,96.460000,37.260000,2.890000,90.670000,0.000000,66.740000,24.120000,241.150000,0.880000,24.120000,4.030000,96.460000,12.060000,1.930000,37.260000,48.230000,67.520000,12.420000,15.140000,0.360000,8.680000,0.000000,164.220000,0.000000,0.000000,0.880000,37.260000,12.420000,0.000000,0.680000,24.040000,4.820000,0,0,50.00,0,1765.72

15,03:30-03:45,0.000000,0.520000,0.000000,48.230000,84.090000,0.000000,0.970000,0.480000,36.170000,48.230000,24.120000,0.000000,0.000000,0.000000,27.970000,22.970000,12.980000,11.720000,21.220000,24.120000,72.340000,22.970000,96.460000,24.730000,0.610000,1.590000,0.530000,0.000000,0.000000,0.000000,0.000000,96.460000,37.260000,2.890000,90.670000,0.000000,66.740000,24.120000,241.150000,0.880000,24.120000,3.920000,96.460000,12.060000,1.930000,37.260000,48.230000,67.520000,12.420000,15.140000,0.360000,8.680000,0.000000,164.220000,0.000000,0.000000,0.880000,37.260000,12.420000,0.000000,0.680000,24.040000,4.820000,0,0,30.00,0,1745.61

16,03:45-04:00,0.000000,0.520000,0.000000,48.230000,84.090000,0.000000,0.970000,0.480000,36.170000,48.230000,24.120000,0.000000,0.000000,0.000000,27.970000,22.970000,12.980000,11.720000,21.220000,24.120000,72.340000,22.970000,96.460000,24.730000,0.610000,1.590000,0.530000,0.000000,0.000000,0.000000,0.000000,96.460000,37.260000,2.890000,90.670000,0.000000,66.740000,24.120000,241.150000,0.880000,24.120000,3.750000,96.460000,12.060000,1.930000,37.260000,48.230000,67.520000,12.420000,15.140000,0.360000,8.680000,0.000000,164.220000,0.000000,0.000000,0.880000,37.260000,12.420000,0.000000,0.680000,24.040000,4.820000,0,0,45.00,0,1760.44

17,04:00-04:15,0.000000,0.520000,0.000000,48.230000,84.090000,0.000000,0.970000,0.480000,36.170000,48.230000,24.120000,0.000000,0.000000,0.000000,27.970000,22.970000,12.900000,11.720000,21.220000,24.120000,72.340000,22.970000,96.460000,24.730000,0.610000,1.590000,0.530000,0.000000,0.000000,0.000000,0.000000,96.460000,37.260000,2.890000,90.670000,0.000000,66.740000,24.120000,241.150000,0.880000,24.120000,2.420000,96.460000,12.060000,1.930000,37.260000,48.230000,67.520000,12.420000,15.140000,0.360000,8.680000,0.000000,164.220000,0.000000,0.000000,0.880000,37.260000,12.420000,0.000000,0.680000,24.040000,4.820000,0,0,60.00,0,1774.03

18,04:15-04:30,0.000000,0.520000,0.000000,48.230000,84.090000,0.000000,0.970000,0.480000,36.170000,48.230000,24.120000,0.000000,0.000000,0.000000,27.970000,22.970000,12.900000,11.720000,21.220000,24.120000,72.340000,22.970000,96.460000,24.730000,0.610000,1.590000,0.530000,0.000000,0.000000,0.000000,0.000000,96.460000,37.260000,2.890000,90.670000,0.000000,66.740000,24.120000,241.150000,0.880000,24.120000,0.920000,96.460000,12.060000,1.930000,37.260000,48.230000,67.520000,12.420000,15.140000,0.360000,8.680000,0.000000,164.220000,0.000000,0.000000,0.880000,37.260000,12.420000,0.000000,0.680000,24.040000,4.820000,0,0,65.00,0,1777.53

19,04:30-04:45,0.000000,0.520000,0.000000,48.230000,84.090000,0.000000,0.970000,0.480000,36.170000,48.230000,24.120000,0.000000,0.000000,0.000000,27.970000,22.970000,12.900000,11.720000,21.220000,24.120000,72.340000,22.970000,96.460000,24.730000,0.610000,1.590000,0.530000,0.000000,0.000000,0.000000,0.000000,96.460000,37.260000,2.890000,90.670000,0.000000,66.740000,24.120000,241.150000,0.880000,24.120000,0.540000,96.460000,12.060000,1.930000,37.260000,48.230000,67.520000,12.420000,15.140000,0.360000,7.720000,0.000000,164.220000,0.000000,0.000000,0.880000,37.260000,12.420000,0.000000,0.680000,24.040000,4.820000,0,0,75.00,0,1786.19

20,04:45-05:00,0.000000,0.520000,0.000000,48.230000,84.090000,0.000000,0.970000,0.480000,36.170000,48.230000,24.120000,0.000000,0.000000,0.000000,27.970000,22.970000,12.900000,11.720000,21.220000,24.120000,72.340000,22.970000,96.460000,24.730000,0.610000,1.590000,0.530000,0.000000,0.000000,0.000000,0.000000,96.460000,37.260000,2.890000,90.670000,0.000000,66.740000,24.120000,241.150000,0.880000,24.120000,0.000000,96.460000,12.060000,1.930000,37.260000,48.230000,67.520000,12.420000,15.140000,0.360000,7.720000,0.000000,164.220000,0.000000,0.000000,0.880000,37.260000,12.420000,0.000000,0.680000,24.040000,4.820000,0,0,110.00,0,1820.65

21,05:00-05:15,0.000000,0.520000,0.000000,48.230000,84.090000,0.000000,0.970000,0.480000,36.170000,48.230000,24.120000,0.000000,0.000000,0.000000,27.970000,22.970000,12.800000,11.720000,21.220000,24.120000,72.340000,22.970000,96.460000,24.730000,0.610000,1.590000,0.530000,0.000000,0.000000,0.000000,0.000000,96.460000,37.260000,2.890000,90.670000,0.000000,66.740000,24.120000,241.150000,0.880000,24.120000,0.000000,96.460000,12.060000,1.930000,37.260000,48.230000,24.120000,12.420000,15.140000,0.360000,7.720000,0.000000,164.220000,0.000000,0.000000,0.880000,37.260000,12.420000,0.000000,0.680000,24.040000,4.820000,0,0,30.00,0,1697.15

22,05:15-05:30,0.000000,0.520000,0.000000,48.230000,84.090000,0.000000,0.970000,0.480000,36.170000,48.230000,24.120000,0.000000,0.000000,0.000000,27.970000,22.970000,12.800000,11.720000,21.220000,24.120000,72.340000,22.970000,96.460000,24.730000,0.610000,1.590000,0.530000,0.000000,0.000000,0.000000,0.000000,96.460000,37.260000,2.890000,90.670000,0.000000,66.740000,24.120000,241.150000,0.880000,24.120000,0.000000,96.460000,12.060000,1.930000,37.260000,48.230000,24.120000,12.420000,15.140000,0.360000,7.720000,0.000000,164.220000,0.000000,0.000000,0.880000,37.260000,12.420000,0.000000,0.680000,24.040000,4.820000,0,0,40.00,0,1707.15

23,05:30-05:45,0.000000,0.520000,0.000000,48.230000,84.090000,0.000000,0.970000,0.480000,36.170000,48.230000,24.120000,0.000000,0.000000,0.000000,27.970000,22.970000,12.800000,11.720000,21.220000,24.120000,72.340000,22.970000,96.460000,24.730000,0.610000,1.590000,0.530000,0.000000,0.000000,0.000000,0.000000,96.460000,37.260000,2.890000,90.670000,0.000000,66.740000,24.120000,241.150000,0.880000,24.120000,0.000000,96.460000,12.060000,1.930000,37.260000,48.230000,24.120000,12.420000,15.140000,0.360000,7.720000,0.000000,164.220000,0.000000,0.000000,0.880000,37.260000,12.420000,0.000000,0.680000,24.040000,4.820000,0,0,80.00,0,1747.15

24,05:45-06:00,0.000000,0.520000,0.000000,48.230000,84.090000,0.000000,0.970000,0.480000,36.170000,48.230000,24.120000,0.000000,0.000000,0.000000,27.970000,22.970000,12.800000,11.720000,21.220000,24.120000,72.340000,22.970000,96.460000,24.730000,0.610000,1.590000,0.530000,0.000000,0.000000,0.000000,0.000000,96.460000,37.260000,2.890000,90.670000,0.000000,66.740000,24.120000,241.150000,0.880000,24.120000,0.000000,96.460000,12.060000,1.930000,37.260000,48.230000,24.120000,12.420000,15.140000,0.360000,7.720000,0.000000,164.220000,0.000000,0.000000,0.880000,37.260000,12.420000,0.000000,0.680000,24.040000,4.820000,0,0,100.00,0,1767.15

25,06:00-06:15,0.000000,0.520000,0.000000,48.230000,84.090000,0.000000,0.970000,0.480000,0.000000,48.230000,24.120000,0.000000,0.000000,0.000000,27.970000,22.970000,12.700000,11.720000,21.220000,24.120000,72.340000,22.970000,96.460000,24.730000,0.610000,1.590000,0.680000,0.000000,0.000000,0.000000,0.000000,96.460000,37.260000,2.890000,90.670000,0.000000,66.740000,24.120000,241.150000,0.880000,24.120000,13.910000,96.460000,0.000000,1.930000,37.260000,48.230000,24.120000,12.420000,15.140000,0.360000,7.720000,0.000000,164.220000,0.000000,0.000000,0.880000,37.260000,12.420000,0.000000,0.680000,24.040000,4.820000,0,0,185.00,0,1817.88

26,06:15-06:30,0.000000,0.520000,0.000000,48.230000,84.090000,0.000000,0.970000,0.480000,0.000000,48.230000,24.120000,0.000000,0.000000,0.000000,27.970000,22.970000,12.700000,11.720000,21.220000,24.120000,72.340000,22.970000,96.460000,24.730000,0.610000,1.590000,0.680000,0.000000,0.000000,0.000000,0.000000,96.460000,37.260000,2.890000,90.670000,0.000000,66.740000,24.120000,241.150000,0.880000,24.120000,9.090000,96.460000,0.000000,1.930000,37.260000,48.230000,24.120000,12.420000,15.140000,0.360000,7.720000,0.000000,164.220000,0.000000,0.000000,0.880000,37.260000,12.420000,0.000000,0.680000,24.040000,4.820000,0,0,180.00,0,1808.06

27,06:30-06:45,0.000000,0.520000,0.000000,48.230000,84.090000,0.000000,0.970000,0.480000,0.000000,48.230000,24.120000,0.000000,0.000000,0.000000,27.970000,22.970000,12.700000,11.720000,21.220000,24.120000,72.340000,22.970000,96.460000,24.730000,0.610000,1.590000,0.680000,0.000000,0.000000,0.000000,0.000000,96.460000,37.260000,2.890000,90.670000,0.000000,66.740000,24.120000,241.150000,0.880000,24.120000,1.550000,96.460000,0.000000,1.930000,37.260000,48.230000,24.120000,12.420000,15.140000,0.360000,8.680000,0.000000,164.220000,0.000000,0.000000,0.880000,37.260000,12.420000,0.000000,0.680000,24.040000,4.820000,0,0,195.00,0,1816.48

