Column1,Block,NR/2024/22052/A/31703,NR/2024/22516/C,NR/01082024/15082024/APL-Raigarh,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01082024/15082024/IIPL/JPL-T-BRPL/04/Aug24,NR/01082024/31082024/SKS-Raigarh,GNA/SR/2024/08/13/6665,NR/01082024/31082024/jitpl,NR/01082024/31082024/1000011628-SIEL-BRPL(DISCOM),NR/30092023/31122025/SH-07,NR/30092023/26122029/SH-06,NR/01082024/30082024/NR/01082024/30082024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/01082024/31082024/APPCPL/180/F25/GNA/12763,NR/2024/21909/A/31959,NR/2024/22042/A/31728,NR/2024/22010/A/32043,NR/2024/21943/A/31988,NR/2024/22398/A/32060,NR/2024/22432/A/31769,NR/2024/22058/A/31701,NR/2024/21971/A/32027,NR/2024/22014/A/31729,NR/2024/21860/A/32061,NR/2024/21961/A/31826,NR/2024/21966/A/31759,NR/2024/21968/A/32025,NR/2024/21918/A/32041,NR/2024/22511/C,NR/2024/21970/A/32026,NR/2024/21954/A/31989,NR/2024/22512/C,NR/2024/21940/A/31993,NR/2024/21938/A/31832,NR/2024/21658/A/31736,NR/2024/22279/A/31725,NR/2024/21983/A/31743,NR/2024/21956/A/31998,NR/2024/21974/A/32028,SR/2024/13834/C,NR/2024/21814/A/32030,NR/2024/22510/C,NR/01102023/14082046/L_NR_2021_16,NR/01102023/02012046/L_NR_2021_17,Total
3,00:30-00:45,0,0,192.34,17.26,48.08,12.39,0,11.93,48.08,32,32,0,38.47,0,3.85,11.68,38.47,240.42,8.66,0,37.15,1.92,48.08,113.61,0,37.15,90.4,163.73,12.39,23.97,27.89,83.84,37.87,0.63,4.81,0,67.32,37.15,148.1,48.08,0,0,0,1719.7199999999998

4,00:45-01:00,0,0,192.34,17.26,48.08,12.39,0,11.93,48.08,32,32,0,38.47,0,3.85,11.68,38.47,240.42,8.66,0,37.15,1.92,48.08,113.61,0,37.15,90.4,163.73,12.39,23.97,27.89,83.84,37.87,0.63,4.81,0,67.32,37.15,182.72,48.08,0,0,0,1754.34

5,01:00-01:15,0,0,192.34,17.26,48.08,12.39,0,11.93,48.08,32,32,0,38.47,0,3.85,11.68,38.47,240.42,8.66,0,37.15,1.92,48.08,113.61,0,37.15,90.4,163.73,12.39,23.97,27.89,83.84,37.87,0.58,4.81,0,67.32,37.15,100.98,48.08,0,0,0,1672.5499999999997

6,01:15-01:30,0,0,192.34,17.26,48.08,12.39,0,11.93,48.08,32,32,0,38.47,0,3.85,11.68,38.47,240.42,8.66,0,37.15,1.92,48.08,113.61,0,37.15,90.4,163.73,12.39,23.97,27.89,83.84,37.87,0.58,4.81,0,67.32,37.15,115.4,48.08,0,0,0,1686.9699999999998

7,01:30-01:45,0,0,192.34,17.26,48.08,12.39,0,11.93,48.08,32,32,0,38.47,0,3.85,11.68,38.47,240.42,8.66,0,37.15,1.92,48.08,113.61,0,37.15,90.4,163.73,12.39,23.97,27.89,83.84,37.87,0.58,4.81,0,67.32,37.15,111.56,48.08,0,0,0,1683.1299999999997

8,01:45-02:00,0,0,192.34,17.26,48.08,12.39,0,11.93,48.08,32,32,0,38.47,0,3.85,11.68,38.47,240.42,8.66,0,37.15,1.92,48.08,113.61,0,37.15,90.4,163.73,12.39,23.97,27.89,83.84,37.87,0.58,4.81,0,67.32,37.15,111.56,48.08,0,0,0,1683.1299999999997

9,02:00-02:15,0,0,192.34,16.98,48.08,12.39,0,11.93,48.08,26.8708,26.8708,0,38.47,0,3.85,11.68,38.47,240.42,8.66,0,37.15,1.92,48.08,113.61,0,37.15,90.4,163.73,12.39,23.97,27.89,83.84,37.87,0.58,4.81,0,67.32,37.15,216.38,48.08,0,0,0,1777.4116

10,02:15-02:30,0,0,192.34,16.98,48.08,12.39,0,11.93,48.08,26.8708,26.8708,0,38.47,0,3.85,11.68,38.47,240.42,8.66,0,37.15,1.92,48.08,113.61,0,37.15,90.4,163.73,12.39,23.97,27.89,83.84,37.87,0.58,4.81,0,67.32,37.15,230.81,48.08,0,0,0,1791.8415999999997

11,02:30-02:45,0,0,192.34,16.98,48.08,12.39,0,11.93,48.08,26.8708,26.8708,0,38.47,0,3.85,11.68,38.47,240.42,8.66,0,37.15,1.92,48.08,113.61,0,37.15,90.4,163.73,12.39,23.97,27.89,83.84,37.87,0.58,4.81,0,67.32,37.15,231.77,48.08,0,0,0,1792.8015999999998

12,02:45-03:00,0,0,192.34,16.98,48.08,12.39,0,11.93,48.08,26.8708,26.8708,0,38.47,0,3.85,11.68,38.47,240.42,8.66,0,37.15,1.92,48.08,113.61,0,37.15,90.4,163.73,12.39,23.97,27.89,83.84,37.87,0.58,4.81,0,67.32,37.15,231.77,48.08,0,0,0,1792.8015999999998

13,03:00-03:15,0,0,192.34,16.98,48.08,12.39,0,11.93,48.08,26.8708,26.8708,0,0,0,3.85,11.68,38.47,240.42,8.66,0,37.15,1.92,48.08,113.61,0,37.15,90.4,163.73,12.39,23.97,27.89,83.84,37.87,0.58,4.81,0,67.32,37.15,0,48.08,0,0,0,1522.5615999999995

14,03:15-03:30,0,0,192.34,16.98,48.08,12.39,0,11.93,48.08,26.8708,26.8708,0,0,0,3.85,11.68,38.47,240.42,8.66,0,37.15,1.92,48.08,113.61,0,37.15,90.4,163.73,12.39,23.97,27.89,83.84,37.87,0.58,4.81,0,67.32,37.15,0,48.08,0,0,0,1522.5615999999995

15,03:30-03:45,0,0,192.34,16.98,48.08,12.39,0,11.93,48.08,26.8708,26.8708,0,0,0,3.85,11.68,38.47,240.42,8.66,0,37.15,1.92,48.08,113.61,0,37.15,90.4,163.73,12.39,23.97,27.89,83.84,37.87,0.58,4.81,0,67.32,37.15,0,48.08,0,0,0,1522.5615999999995

16,03:45-04:00,0,0,192.34,16.98,48.08,12.39,0,11.93,48.08,26.8708,26.8708,0,0,0,3.85,11.68,38.47,240.42,8.66,0,37.15,1.92,48.08,113.61,0,37.15,90.4,163.73,12.39,23.97,27.89,83.84,37.87,0.58,4.81,0,67.32,37.15,183.68,48.08,0,0,0,1706.2415999999996

17,04:00-04:15,0,0,192.34,16.8,48.08,12.39,0,11.93,48.08,26.8708,26.8708,0,0,0,3.85,11.68,38.47,240.42,8.66,0,37.15,1.92,48.08,113.61,0,37.15,90.4,163.73,12.39,23.97,27.89,83.84,37.87,0.53,4.81,0,67.32,37.15,87.51,48.08,0,0,0,1609.8415999999997

18,04:15-04:30,0,0,192.34,16.8,48.08,12.39,0,11.93,48.08,26.8708,26.8708,0,0,0,3.85,11.68,38.47,240.42,8.66,0,37.15,1.92,48.08,113.61,0,37.15,90.4,163.73,12.39,23.97,27.89,83.84,37.87,0.53,4.81,0,67.32,37.15,87.51,48.08,0,0,0,1609.8415999999997

19,04:30-04:45,0,0,192.34,16.8,48.08,12.39,0,11.93,48.08,26.8708,26.8708,0,0,0,3.85,11.68,38.47,240.42,8.66,0,37.15,1.92,48.08,113.61,0,37.15,90.4,163.73,12.39,23.97,27.89,83.84,37.87,0.53,4.81,0,67.32,37.15,87.51,48.08,0,0,0,1609.8415999999997

20,04:45-05:00,0,0,192.34,16.8,48.08,12.39,0,11.93,48.08,26.8708,26.8708,0,0,0,3.85,11.68,38.47,240.42,8.66,0,37.15,1.92,48.08,113.61,0,37.15,90.4,163.73,12.39,23.97,27.89,83.84,37.87,0.53,4.81,0,67.32,37.15,341.4,48.08,0,0,0,1863.7315999999996

21,05:00-05:15,0,0,192.34,16.8,48.08,12.39,0,11.93,48.08,26.8708,26.8708,0,0,0,3.85,11.68,38.47,240.42,8.66,0,37.15,1.92,48.08,113.61,0,37.15,90.4,163.73,12.39,23.97,27.89,83.84,37.87,0.53,4.81,0,24.04,37.15,68.28,48.08,0,0,0,1547.3315999999998

22,05:15-05:30,0,0,192.34,16.8,48.08,12.39,0,11.93,48.08,26.8708,26.8708,0,0,0,3.85,11.68,38.47,240.42,8.66,0,37.15,1.92,48.08,113.61,0,37.15,90.4,163.73,12.39,23.97,27.89,83.84,37.87,0.53,4.81,0,24.04,37.15,307.74,48.08,0,0,0,1786.7915999999998

23,05:30-05:45,0,0,192.34,16.8,48.08,12.39,0,11.93,48.08,26.8708,26.8708,0,0,0,3.85,11.68,38.47,240.42,8.66,0,37.15,1.92,48.08,113.61,0,37.15,90.4,163.73,12.39,23.97,27.89,83.84,37.87,0.53,4.81,0,24.04,37.15,312.55,48.08,0,0,0,1791.6015999999997

24,05:45-06:00,0,0,192.34,16.8,48.08,12.39,0,11.93,48.08,26.8708,26.8708,0,0,0,3.85,11.68,38.47,240.42,7.69,0,37.15,1.92,48.08,113.61,0,37.15,90.4,163.73,12.39,23.97,27.89,83.84,37.87,0.53,4.81,0,24.04,37.15,312.55,48.08,0,0,0,1790.6315999999997

25,06:00-06:15,0,0,192.34,16.8,48.08,12.39,0,11.93,48.08,26.8708,26.8708,0,0,0,3.85,11.68,38.47,240.42,7.69,0,37.15,1.92,48.08,0,0,37.15,90.4,163.73,12.39,23.97,27.89,83.84,0,0.63,4.81,0,24.04,37.15,278.89,48.08,0,0,0,1605.5916000000002

26,06:15-06:30,0,0,192.34,16.8,48.08,12.39,0,11.93,48.08,26.8708,26.8708,0,0,0,3.85,11.68,38.47,240.42,7.69,0,37.15,1.92,48.08,0,0,37.15,90.4,163.73,12.39,23.97,27.89,83.84,0,0.63,4.81,0,24.04,37.15,235.62,48.08,0,0,0,1562.3216000000002

27,06:30-06:45,0,0,192.34,16.8,48.08,12.39,0,11.93,48.08,26.8708,26.8708,0,0,0,3.85,11.68,38.47,240.42,7.69,0,37.15,1.92,48.08,0,0,37.15,90.4,163.73,12.39,23.97,27.89,83.84,0,0.63,4.81,0,24.04,37.15,230.81,48.08,0.27,0,0,1557.7816

28,06:45-07:00,0,0,192.34,16.8,48.08,12.39,0,11.93,48.08,26.8708,26.8708,0,0,0,3.85,11.68,38.47,240.42,7.69,0,37.15,1.92,48.08,0,0,37.15,90.4,163.73,12.39,23.97,27.89,83.84,0,0.63,4.81,0,24.04,37.15,245.23,48.08,0.68,0,0,1572.6116000000002

29,07:00-07:15,0,0,192.34,16.52,48.08,12.39,0,11.93,48.08,26.8708,26.8708,0,0,0,3.85,11.68,38.47,240.42,7.69,0,37.15,1.92,48.08,0,0,37.15,90.4,163.73,12.39,23.97,27.89,83.84,0,0.72,4.81,0,24.04,37.15,278.89,48.08,1.03,0,0,1606.4316000000001

30,07:15-07:30,0,0,192.34,16.52,48.08,12.39,0,11.93,48.08,26.8708,26.8708,0,0,0,3.85,11.68,38.47,240.42,7.69,0,37.15,1.92,48.08,0,0,37.15,90.4,163.73,12.39,23.97,27.89,83.84,0,0.72,4.81,0,24.04,37.15,250.04,48.08,1.38,0,0,1577.9316000000001

31,07:30-07:45,0,0,192.34,16.52,48.08,12.39,0,11.93,48.08,26.8708,26.8708,0,0,0,3.85,11.68,38.47,240.42,7.69,0,37.15,1.92,48.08,0,0,37.15,90.4,163.73,12.39,23.97,27.89,83.84,0,0.72,4.81,0,24.04,37.15,0,48.08,1.79,0,0,1328.3016

32,07:45-08:00,0,0,192.34,16.52,48.08,12.39,0,11.93,48.08,26.8708,26.8708,0,0,0,3.85,11.68,38.47,240.42,7.69,0,37.15,1.92,48.08,0,0,37.15,90.4,163.73,12.39,23.97,27.89,83.84,0,0.72,4.81,0,24.04,37.15,0,48.08,2.43,0,0,1328.9416

33,08:00-08:15,0,0,192.34,16.52,48.08,12.39,0,11.93,48.08,26.8708,26.8708,0,0,0,3.85,11.68,38.47,240.42,8.66,0,37.15,1.92,48.08,0,0,37.15,90.4,163.73,12.39,23.97,27.89,83.84,0,0.96,4.81,0,24.04,37.15,0,48.08,3.24,0,0,1330.9615999999999

34,08:15-08:30,0,0,192.34,16.52,48.08,12.39,0,11.93,48.08,26.8708,26.8708,0,0,0,3.85,11.68,38.47,240.42,8.66,0,37.15,1.92,48.08,0,0,37.15,90.4,163.73,12.39,23.97,27.89,83.84,0,0.96,4.81,0,24.04,37.15,0,48.08,2.95,0,0,1330.6716

35,08:30-08:45,0,0,192.34,16.52,48.08,12.39,0,11.93,48.08,26.8708,26.8708,0,0,0,3.85,11.68,38.47,240.42,8.66,0,37.15,1.92,48.08,0,0,37.15,90.4,163.73,12.39,23.97,27.89,83.84,0,0.96,4.81,0,24.04,37.15,0,48.08,2.95,0,0,1330.6716

36,08:45-09:00,0,0,192.34,16.52,48.08,12.39,0,11.93,48.08,26.8708,26.8708,0,0,0,3.85,11.68,38.47,240.42,9.62,0,37.15,1.92,48.08,0,0,37.15,90.4,163.73,12.39,23.97,27.89,83.84,0,0.96,4.81,0,24.04,37.15,0,48.08,3.43,0,0,1332.1116

37,09:00-09:15,42.31,0,0,16.52,0,12.39,0,11.93,0,26.8708,26.8708,0,0,192.34,3.85,11.68,38.47,240.42,9.62,10.58,37.15,1.92,48.08,0,48.08,37.15,90.4,109.15,12.39,23.97,27.89,83.84,0,0.96,4.81,48.08,24.04,37.15,0,48.08,3.64,0,0,1330.6316000000002

38,09:15-09:30,42.31,0,0,16.52,0,12.39,0,11.93,0,26.8708,26.8708,0,0,192.34,3.85,11.68,38.47,240.42,11.54,10.58,37.15,1.92,48.08,0,48.08,37.15,90.4,109.15,12.39,23.97,27.89,83.84,0,0.96,4.81,48.08,24.04,37.15,0,48.08,4.4,0,0,1333.3116

39,09:30-09:45,42.31,0,0,16.52,0,12.39,0,11.93,0,26.8708,26.8708,0,0,192.34,3.85,11.68,38.47,240.42,11.54,10.58,37.15,1.92,48.08,0,48.08,37.15,90.4,109.15,12.39,23.97,27.89,83.84,0,0.96,4.81,48.08,24.04,37.15,0,48.08,5.47,0,0,1334.3816

40,09:45-10:00,42.31,0,0,16.52,0,12.39,0,11.93,0,26.8708,26.8708,0,0,192.34,3.85,11.68,38.47,240.42,11.54,10.58,37.15,1.92,48.08,0,48.08,37.15,90.4,109.15,12.39,23.97,27.89,83.84,0,0.96,4.81,48.08,24.04,37.15,0,48.08,7.14,0,0,1336.0516

41,10:00-10:15,42.31,0,0,16.52,0,12.39,0,11.93,0,26.8708,26.8708,0,0,192.34,3.85,11.68,38.47,240.42,11.54,10.58,37.15,1.92,48.08,0,48.08,37.15,90.4,109.15,12.39,23.97,27.89,83.84,0,0.96,4.81,48.08,24.04,37.15,0,48.08,7.8,0,0,1336.7115999999999

42,10:15-10:30,42.31,0,0,16.52,0,12.39,0,11.93,0,26.8708,26.8708,0,0,192.34,3.85,11.68,38.47,240.42,12.5,10.58,37.15,1.92,48.08,0,48.08,37.15,90.4,109.15,12.39,23.97,27.89,83.84,0,0.96,4.81,48.08,24.04,37.15,0,48.08,8.52,0,0,1338.3916

43,10:30-10:45,42.31,0,0,16.52,0,12.39,0,11.93,0,26.8708,26.8708,0,0,192.34,3.85,11.68,38.47,240.42,12.5,10.58,37.15,1.92,48.08,0,48.08,37.15,90.4,109.15,12.39,23.97,27.89,83.84,0,0.96,4.81,48.08,24.04,37.15,0,48.08,8.69,0,0,1338.5616

44,10:45-11:00,42.31,0,0,16.52,0,12.39,0,11.93,0,26.8708,26.8708,0,0,192.34,3.85,11.68,38.47,240.42,12.5,10.58,37.15,1.92,48.08,0,48.08,37.15,90.4,109.15,12.39,23.97,27.89,83.84,0,0.96,4.81,48.08,24.04,37.15,0,48.08,8.55,0,0,1338.4216

45,11:00-11:15,42.31,0,0,16.52,0,12.39,0,11.93,0,26.8708,26.8708,0,0,192.34,3.85,11.68,38.47,240.42,12.5,10.58,37.15,1.92,48.08,0,48.08,37.15,90.4,109.15,12.39,23.97,27.89,83.84,0,0.96,4.81,48.08,24.04,37.15,0,48.08,8.19,0,0,1338.0616

46,11:15-11:30,42.31,0,0,16.52,0,12.39,0,11.93,0,26.8708,26.8708,0,0,192.34,3.85,11.68,38.47,240.42,12.5,10.58,37.15,1.92,48.08,0,48.08,37.15,90.4,109.15,12.39,23.97,27.89,83.84,0,0.96,4.81,48.08,24.04,37.15,0,48.08,8.31,0,0,1338.1816

47,11:30-11:45,42.31,0,0,16.52,0,12.39,0,11.93,0,26.8708,26.8708,0,0,192.34,3.85,11.68,38.47,240.42,12.5,10.58,37.15,1.92,48.08,0,48.08,37.15,90.4,109.15,12.39,23.97,27.89,83.84,0,0.96,4.81,48.08,24.04,37.15,0,48.08,8.32,0,0,1338.1915999999999

48,11:45-12:00,42.31,0,0,16.52,0,12.39,0,11.93,0,26.8708,26.8708,0,0,192.34,3.85,11.68,38.47,240.42,12.5,10.58,37.15,1.92,48.08,0,48.08,37.15,90.4,109.15,12.39,23.97,27.89,83.84,0,0.96,4.81,48.08,24.04,37.15,0,48.08,8.58,0,0,1338.4515999999999

49,12:00-12:15,42.31,0,0,16.52,0,12.39,0,11.93,0,26.8708,26.8708,0,0,192.34,3.85,11.68,38.47,240.42,12.5,10.58,37.15,1.92,48.08,0,48.08,37.15,90.4,163.73,12.39,23.97,27.89,83.84,0,0.96,4.81,48.08,24.04,37.15,0,48.08,8.79,0,0,1393.2416

50,12:15-12:30,42.31,0,0,16.52,0,12.39,0,11.93,0,26.8708,26.8708,0,0,192.34,3.85,11.68,38.47,240.42,12.5,10.58,37.15,1.92,48.08,0,48.08,37.15,90.4,163.73,12.39,23.97,27.89,83.84,0,0.96,4.81,48.08,24.04,37.15,0,48.08,7.95,0,0,1392.4016000000001

51,12:30-12:45,42.31,0,0,16.52,0,12.39,0,11.93,0,26.8708,26.8708,0,0,192.34,3.85,11.68,38.47,240.42,12.5,10.58,37.15,1.92,48.08,0,48.08,37.15,90.4,163.73,12.39,23.97,27.89,83.84,0,0.96,4.81,48.08,24.04,37.15,0,48.08,8.25,0,0,1392.7016

52,12:45-13:00,42.31,0,0,16.52,0,12.39,0,11.93,0,26.8708,26.8708,0,0,192.34,3.85,11.68,38.47,240.42,12.5,10.58,37.15,1.92,48.08,0,48.08,37.15,90.4,163.73,12.39,23.97,27.89,83.84,0,0.96,4.81,48.08,24.04,37.15,0,48.08,6.19,0,0,1390.6416000000002

53,13:00-13:15,42.31,0,0,16.52,0,12.39,0,11.93,0,26.8708,26.8708,0,0,192.34,3.85,11.68,38.47,240.42,12.5,10.58,37.15,1.92,48.08,0,48.08,37.15,90.4,163.73,12.39,23.97,27.89,83.84,0,0.96,4.81,48.08,24.04,37.15,0,48.08,9.06,0,0,1393.5116

54,13:15-13:30,42.31,0,0,16.52,0,12.39,0,11.93,0,26.8708,26.8708,0,0,192.34,3.85,11.68,38.47,240.42,12.5,10.58,37.15,1.92,48.08,0,48.08,37.15,90.4,163.73,12.39,23.97,27.89,83.84,0,0.96,4.81,48.08,24.04,37.15,0,48.08,8.6,0,0,1393.0516

55,13:30-13:45,42.31,0,0,16.52,0,12.39,0,11.93,0,26.8708,26.8708,0,0,192.34,3.85,11.68,38.47,240.42,12.5,10.58,37.15,1.92,48.08,0,48.08,37.15,90.4,163.73,12.39,23.97,27.89,83.84,0,0.96,4.81,48.08,24.04,37.15,0,48.08,6.7,0,0,1391.1516000000001

56,13:45-14:00,42.31,0,0,16.52,0,12.39,0,11.93,0,26.8708,26.8708,0,0,192.34,3.85,11.68,38.47,240.42,12.5,10.58,37.15,1.92,48.08,0,48.08,37.15,90.4,163.73,12.39,23.97,27.89,83.84,0,0.96,4.81,48.08,24.04,37.15,0,48.08,6.98,0,0,1391.4316000000001

57,14:00-14:15,37.7,4.62,0,16.8,0,12.39,0,11.93,0,26.8708,26.8708,0,0,192.34,3.85,11.68,38.47,240.42,12.5,10.58,37.15,1.92,48.08,0,48.08,37.15,90.4,163.73,12.39,23.97,27.89,83.84,0,0.96,4.81,48.08,24.04,37.15,0,48.08,6.6,0,0,1391.3416

58,14:15-14:30,34.53,7.79,0,16.8,0,12.39,0,11.93,0,26.8708,26.8708,0,0,192.34,3.85,11.68,38.47,240.42,12.5,10.58,37.15,1.92,48.08,0,48.08,37.15,90.4,163.73,12.39,23.97,27.89,83.84,0,0.96,4.81,48.08,24.04,37.15,0,48.08,6.46,0,0,1391.2016

59,14:30-14:45,32.51,9.81,0,16.8,0,12.39,0,11.93,0,26.8708,26.8708,0,0,192.34,3.85,11.68,38.47,240.42,12.5,10.58,37.15,1.92,48.08,0,48.08,37.15,90.4,163.73,12.39,23.97,27.89,83.84,0,0.96,4.81,48.08,24.04,37.15,0,48.08,6.96,0,0,1391.7016

60,14:45-15:00,30.01,12.31,0,16.8,0,12.39,0,11.93,0,26.8708,26.8708,0,0,192.34,3.85,11.68,38.47,240.42,12.5,10.58,37.15,1.92,48.08,0,48.08,37.15,90.4,163.73,12.39,23.97,27.89,83.84,0,0.96,4.81,48.08,24.04,37.15,0,48.08,7.02,0,0,1391.7616

61,15:00-15:15,28.95,13.37,0,16.8,0,12.39,0,11.93,0,26.8708,26.8708,0,0,192.34,3.85,11.68,38.47,240.42,12.5,10.58,37.15,1.92,48.08,0,48.08,37.15,90.4,163.73,12.39,23.97,27.89,83.84,0,0.96,4.81,48.08,24.04,37.15,0,48.08,5.7,0,0,1390.4416

62,15:15-15:30,25.49,16.83,0,16.8,0,12.39,0,11.93,0,26.8708,26.8708,0,0,192.34,3.85,11.68,38.47,240.42,12.5,10.58,37.15,1.92,48.08,0,48.08,37.15,90.4,163.73,12.39,23.97,27.89,83.84,0,0.96,4.81,48.08,24.04,37.15,0,48.08,5.06,0,0,1389.8016

63,15:30-15:45,23.85,18.46,0,16.8,0,12.39,0,11.93,0,26.8708,26.8708,0,0,192.34,3.85,11.68,38.47,240.42,12.5,10.58,37.15,1.92,48.08,0,48.08,37.15,90.4,163.73,12.39,23.97,27.89,83.84,0,0.96,4.81,48.08,24.04,37.15,0,48.08,5.24,0,0,1389.9716

64,15:45-16:00,19.71,22.6,0,16.8,0,12.39,0,11.93,0,26.8708,26.8708,0,0,192.34,3.85,11.68,38.47,240.42,12.5,10.58,37.15,1.92,48.08,0,48.08,37.15,90.4,163.73,12.39,23.97,27.89,83.84,0,0.96,4.81,48.08,24.04,37.15,0,48.08,4.08,0,0,1388.8116

