Time,Block,NR/2024/18977/A/16417,NR/2024/19723/C,NR/2024/19694/C,NR/2024/19609/A/16976,NR/2024/19024/A/16522,NR/2024/19121/A/16530,NR/2024/19043/A/16699,NR/2024/19143/A/16472,NR/2024/19749/C,NR/2024/18986/A/16380,NR/2024/18976/A/16416,NR/2024/19115/A/16474,NR/2024/19712/C,NR/2024/19484/A/17023,NR/2024/19485/A/17020,NR/2024/19483/A/17025,NR/2024/18919/A/17008,NR/2024/18855/A/16531,NR/2024/19693/C,NR/2024/19075/A/16476,NR/2024/19030/A/16693,NR/2024/19688/C,NR/2024/19622/A/16943,NR/2024/18936/A/16405,NR/2024/19245/A/16520,NR/2024/18978/A/16418,NR/2024/18934/A/16403,NR/2024/19721/C,NR/2024/19337/A/16518,NR/2024/19172/A/17122,NR/2024/19691/C,NR/2024/19290/A/17123,NR/2024/19572/A/16731,NR/2024/19469/A/16515,NR/2024/19689/C,NR/2024/19655/C,NR/2024/18935/A/16404,NR/2024/19716/C,NR/2024/18996/A/17113,Total

3,00:30-00:45,0.000000,193.060000,48.260000,96.530000,4.830000,0.000000,0.000000,2.000000,0.000000,0.530000,0.000000,0.000000,96.530000,37.290000,37.290000,12.430000,9.650000,66.790000,52.510000,0.000000,0.000000,96.530000,96.530000,0.000000,0.000000,0.000000,0.000000,15.440000,1.930000,115.840000,0,67.570000,193.060000,0.000000,96.530000,0.000000,0.000000,193.060000,0.000000,1534.19

4,00:45-01:00,0.000000,193.060000,48.260000,96.530000,4.830000,0.000000,0.000000,2.000000,0.000000,0.530000,0.000000,0.000000,96.530000,37.290000,37.290000,12.430000,9.650000,66.790000,52.510000,0.000000,0.000000,96.530000,96.530000,0.000000,0.000000,0.000000,0.000000,15.440000,1.930000,115.840000,0,67.570000,193.060000,0.000000,96.530000,0.000000,0.000000,193.060000,0.000000,1534.19

5,01:00-01:15,0.000000,193.060000,48.260000,96.530000,4.830000,0.000000,0.000000,2.000000,0.000000,0.480000,0.000000,0.000000,96.530000,37.290000,37.290000,12.430000,9.650000,66.790000,52.510000,0.000000,0.000000,96.530000,96.530000,0.000000,0.000000,0.000000,0.000000,0.000000,1.930000,115.840000,0,67.570000,193.060000,0.000000,96.530000,0.000000,0.000000,193.060000,0.000000,1518.7

6,01:15-01:30,0.000000,193.060000,48.260000,96.530000,4.830000,0.000000,0.000000,2.000000,0.000000,0.480000,0.000000,0.000000,96.530000,37.290000,37.290000,12.430000,9.650000,66.790000,52.510000,0.000000,0.000000,96.530000,96.530000,0.000000,0.000000,0.000000,0.000000,0.000000,1.930000,115.840000,0,67.570000,193.060000,0.000000,96.530000,0.000000,0.000000,193.060000,0.000000,1518.7

7,01:30-01:45,0.000000,193.060000,48.260000,96.530000,4.830000,0.000000,0.000000,2.000000,0.000000,0.480000,0.000000,0.000000,96.530000,37.290000,37.290000,12.430000,9.650000,66.790000,52.510000,0.000000,0.000000,96.530000,96.530000,0.000000,0.000000,0.000000,0.000000,0.000000,1.930000,115.840000,0,67.570000,193.060000,0.000000,96.530000,0.000000,0.000000,193.060000,0.000000,1518.7

8,01:45-02:00,0.000000,193.060000,48.260000,96.530000,4.830000,0.000000,0.000000,2.000000,0.000000,0.480000,0.000000,0.000000,96.530000,37.290000,37.290000,12.430000,9.650000,66.790000,52.510000,0.000000,0.000000,96.530000,96.530000,0.000000,0.000000,0.000000,0.000000,0.000000,1.930000,115.840000,0,67.570000,193.060000,0.000000,96.530000,0.000000,0.000000,193.060000,0.000000,1518.7

9,02:00-02:15,0.000000,96.530000,48.260000,0.000000,4.830000,0.000000,0.000000,2.000000,0.000000,0.480000,0.000000,0.000000,0.000000,37.290000,37.290000,12.430000,9.650000,66.790000,52.510000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.930000,115.840000,0,67.570000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,553.4

10,02:15-02:30,0.000000,96.530000,48.260000,0.000000,4.830000,0.000000,0.000000,2.000000,0.000000,0.480000,0.000000,0.000000,0.000000,37.290000,37.290000,12.430000,9.650000,66.790000,52.510000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.930000,115.840000,0,67.570000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,553.4

11,02:30-02:45,0.000000,96.530000,48.260000,0.000000,4.830000,0.000000,0.000000,2.000000,0.000000,0.480000,0.000000,0.000000,0.000000,37.290000,37.290000,12.430000,9.650000,66.790000,52.510000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.930000,115.840000,0,67.570000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,553.4

12,02:45-03:00,0.000000,96.530000,48.260000,0.000000,4.830000,0.000000,0.000000,2.000000,0.000000,0.480000,0.000000,0.000000,0.000000,37.290000,37.290000,12.430000,9.650000,66.790000,52.510000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.930000,115.840000,0,67.570000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,553.4

13,03:00-03:15,0.000000,96.530000,48.260000,0.000000,4.830000,0.000000,0.000000,2.000000,0.000000,0.480000,0.000000,0.000000,0.000000,37.290000,37.290000,12.430000,9.650000,66.790000,52.510000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.930000,115.840000,0,67.570000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,553.4

14,03:15-03:30,0.000000,96.530000,48.260000,0.000000,4.830000,0.000000,0.000000,2.000000,0.000000,0.480000,0.000000,0.000000,0.000000,37.290000,37.290000,12.430000,9.650000,66.790000,52.510000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.930000,115.840000,0,67.570000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,553.4

15,03:30-03:45,0.000000,96.530000,48.260000,0.000000,4.830000,0.000000,0.000000,2.000000,0.000000,0.480000,0.000000,0.000000,0.000000,37.290000,37.290000,12.430000,9.650000,66.790000,52.510000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.930000,115.840000,0,67.570000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,553.4

16,03:45-04:00,0.000000,96.530000,48.260000,0.000000,4.830000,0.000000,0.000000,2.000000,0.000000,0.480000,0.000000,0.000000,0.000000,37.290000,37.290000,12.430000,9.650000,66.790000,52.510000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.930000,115.840000,0,67.570000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,553.4

17,04:00-04:15,0.000000,96.530000,48.260000,0.000000,4.830000,0.000000,0.000000,2.000000,0.000000,0.480000,0.000000,0.000000,0.000000,37.290000,37.290000,12.430000,9.650000,66.790000,52.510000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.930000,115.840000,0,67.570000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,553.4

18,04:15-04:30,0.000000,96.530000,48.260000,0.000000,4.830000,0.000000,0.000000,2.000000,0.000000,0.480000,0.000000,0.000000,0.000000,37.290000,37.290000,12.430000,9.650000,66.790000,52.510000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.930000,115.840000,0,67.570000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,553.4

19,04:30-04:45,0.000000,96.530000,48.260000,0.000000,4.830000,0.000000,0.000000,2.000000,0.000000,0.480000,0.000000,0.000000,0.000000,37.290000,37.290000,12.430000,9.650000,66.790000,52.510000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.930000,115.840000,0,67.570000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,553.4

20,04:45-05:00,0.000000,96.530000,48.260000,0.000000,4.830000,0.000000,0.000000,2.000000,0.000000,0.480000,0.000000,0.000000,0.000000,37.290000,37.290000,12.430000,9.650000,66.790000,52.510000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.930000,115.840000,0,67.570000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,553.4

21,05:00-05:15,0.000000,96.530000,48.260000,0.000000,4.830000,66.790000,0.000000,0.000000,0.000000,0.480000,0.000000,0.000000,0.000000,37.290000,37.290000,12.430000,9.650000,0.000000,52.510000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.930000,115.840000,0,67.570000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,551.4

22,05:15-05:30,0.000000,96.530000,48.260000,0.000000,4.830000,66.790000,0.000000,0.000000,0.000000,0.480000,0.000000,0.000000,0.000000,37.290000,37.290000,12.430000,9.650000,0.000000,52.510000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.930000,115.840000,0,67.570000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,551.4

23,05:30-05:45,0.000000,96.530000,48.260000,0.000000,4.830000,66.790000,0.000000,0.000000,0.000000,0.480000,0.000000,0.000000,0.000000,37.290000,37.290000,12.430000,9.650000,0.000000,52.510000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.930000,115.840000,0,67.570000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,551.4

24,05:45-06:00,0.000000,96.530000,48.260000,0.000000,4.830000,66.790000,0.000000,0.000000,0.000000,0.480000,0.000000,0.000000,0.000000,37.290000,37.290000,12.430000,9.650000,0.000000,52.510000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.930000,115.840000,0,67.570000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,551.4

25,06:00-06:15,0.000000,96.530000,48.260000,0.000000,4.830000,66.790000,0.000000,0.000000,0.000000,0.530000,0.000000,0.000000,0.000000,37.290000,37.290000,12.430000,0.000000,0.000000,52.510000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.930000,115.840000,0,67.570000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,541.8

26,06:15-06:30,0.000000,96.530000,48.260000,0.000000,4.830000,66.790000,0.000000,0.000000,0.000000,0.530000,0.000000,0.000000,0.000000,37.290000,37.290000,12.430000,0.000000,0.000000,52.510000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.930000,115.840000,0.13,67.570000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,541.93

27,06:30-06:45,0.000000,96.530000,48.260000,0.000000,4.830000,66.790000,0.000000,0.000000,0.000000,0.530000,0.000000,0.000000,0.000000,37.290000,37.290000,12.430000,0.000000,0.000000,52.510000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.930000,115.840000,0.6,67.570000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,542.4

28,06:45-07:00,0.000000,96.530000,48.260000,0.000000,4.830000,66.790000,0.000000,0.000000,0.000000,0.530000,0.000000,0.000000,0.000000,37.290000,37.290000,12.430000,0.000000,0.000000,52.510000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.930000,115.840000,0.92,67.570000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,542.72

29,07:00-07:15,0.000000,96.530000,48.260000,0.000000,4.830000,66.790000,0.000000,0.000000,0.000000,0.630000,0.000000,0.000000,0.000000,37.290000,37.290000,12.430000,0.000000,0.000000,52.510000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.930000,115.840000,1.33,67.570000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,543.23

30,07:15-07:30,0.000000,96.530000,48.260000,0.000000,4.830000,66.790000,0.000000,0.000000,0.000000,0.630000,0.000000,0.000000,0.000000,37.290000,37.290000,12.430000,0.000000,0.000000,52.510000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.930000,115.840000,1.8,67.570000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,543.7

31,07:30-07:45,0.000000,96.530000,48.260000,0.000000,4.830000,66.790000,0.000000,0.000000,0.000000,0.630000,0.000000,0.000000,0.000000,37.290000,37.290000,12.430000,0.000000,0.000000,52.510000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.930000,115.840000,2.34,67.570000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,544.24

32,07:45:08:00,0.000000,96.530000,48.260000,0.000000,4.830000,66.790000,0.000000,0.000000,0.000000,0.630000,0.000000,0.000000,0.000000,37.290000,37.290000,12.430000,0.000000,0.000000,52.510000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.930000,115.840000,2.92,67.570000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,544.82

33,08:00-08:15,0.000000,96.530000,48.260000,0.000000,4.830000,66.790000,0.000000,0.000000,0.000000,0.970000,0.000000,0.000000,0.000000,37.290000,37.290000,12.430000,0.000000,0.000000,52.510000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.930000,115.840000,3.54,67.570000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,545.78

34,08:15-08:30,0.000000,96.530000,48.260000,0.000000,4.830000,66.790000,0.000000,0.000000,0.000000,0.970000,0.000000,0.000000,0.000000,37.290000,37.290000,12.430000,0.000000,0.000000,52.510000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.930000,115.840000,4.21,67.570000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,546.45

35,08:30-08:45,0.000000,96.530000,48.260000,0.000000,4.830000,66.790000,0.000000,0.000000,0.000000,0.970000,0.000000,0.000000,0.000000,37.290000,37.290000,12.430000,0.000000,0.000000,52.510000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.930000,115.840000,4.7,67.570000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,546.94

36,08:45:09:00,0.000000,96.530000,48.260000,0.000000,4.830000,66.790000,0.000000,0.000000,0.000000,0.970000,0.000000,0.000000,0.000000,37.290000,37.290000,12.430000,0.000000,0.000000,52.510000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.930000,115.840000,4.97,67.570000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,547.21

37,09:00:09:15,0.000000,96.530000,48.260000,0.000000,4.830000,66.790000,0.000000,0.000000,0.000000,0.970000,0.000000,0.000000,0.000000,37.290000,37.290000,12.430000,0.000000,0.000000,52.510000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.930000,115.840000,5.59,67.570000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,547.83

38,09:15-09:30,0.000000,96.530000,48.260000,0.000000,4.830000,66.790000,0.000000,0.000000,0.000000,0.970000,0.000000,0.000000,0.000000,37.290000,37.290000,12.430000,0.000000,0.000000,52.510000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.930000,115.840000,5.97,67.570000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,548.21

39,09:30-09:45,0.000000,96.530000,48.260000,0.000000,4.830000,66.790000,0.000000,0.000000,0.000000,0.970000,0.000000,0.000000,0.000000,37.290000,37.290000,12.430000,0.000000,0.000000,52.510000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.930000,115.840000,6.11,67.570000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,548.35

40,09:45-10:00,0.000000,96.530000,48.260000,0.000000,4.830000,66.790000,0.000000,0.000000,0.000000,0.970000,0.000000,0.000000,0.000000,37.290000,37.290000,12.430000,0.000000,0.000000,52.510000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.930000,115.840000,6.54,67.570000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,548.78

41,10:00-10:15,57.920000,96.530000,48.260000,0.000000,4.830000,66.790000,46.330000,0.000000,0.000000,0.970000,0.000000,48.260000,0.000000,37.290000,37.290000,12.430000,0.000000,0.000000,52.510000,0.000000,0.000000,0.000000,0.000000,6.760000,0.000000,0.000000,4.830000,0.000000,1.930000,115.840000,6.03,67.570000,0.000000,3.860000,0.000000,0.000000,5.790000,0.000000,48.260000,770.28

42,10:15-10:30,57.920000,96.530000,48.260000,0.000000,4.830000,66.790000,46.330000,0.000000,0.000000,0.970000,0.000000,48.260000,0.000000,37.290000,37.290000,12.430000,0.000000,0.000000,52.510000,0.000000,0.000000,0.000000,0.000000,6.760000,0.000000,0.000000,4.830000,0.000000,1.930000,115.840000,4.47,67.570000,0.000000,3.860000,0.000000,0.000000,5.790000,0.000000,48.260000,768.72

43,10:30-10:45,57.920000,96.530000,48.260000,0.000000,4.830000,66.790000,46.330000,0.000000,0.000000,0.970000,0.000000,48.260000,0.000000,37.290000,37.290000,12.430000,0.000000,0.000000,52.510000,0.000000,0.000000,0.000000,0.000000,6.760000,0.000000,0.000000,4.830000,0.000000,1.930000,115.840000,6.44,67.570000,0.000000,3.860000,0.000000,0.000000,5.790000,0.000000,48.260000,770.69

44,10:45-11:00,57.920000,96.530000,48.260000,0.000000,4.830000,66.790000,46.330000,0.000000,0.000000,0.970000,0.000000,48.260000,0.000000,37.290000,37.290000,12.430000,0.000000,0.000000,52.510000,0.000000,0.000000,0.000000,0.000000,6.760000,0.000000,0.000000,4.830000,0.000000,1.930000,115.840000,6.93,67.570000,0.000000,3.860000,0.000000,0.000000,5.790000,0.000000,48.260000,771.18

45,11:00-11:15,57.920000,96.530000,48.260000,0.000000,4.830000,0.000000,46.330000,0.000000,0.000000,0.970000,0.000000,48.260000,0.000000,37.290000,37.290000,12.430000,0.000000,66.790000,52.510000,0.000000,0.000000,0.000000,0.000000,6.760000,0.000000,0.000000,4.830000,0.000000,1.930000,115.840000,7.11,67.570000,0.000000,3.860000,0.000000,0.000000,5.790000,0.000000,48.260000,771.36

46,11:15-11:30,57.920000,96.530000,48.260000,0.000000,4.830000,0.000000,46.330000,0.000000,0.000000,0.970000,0.000000,48.260000,0.000000,37.290000,37.290000,12.430000,0.000000,66.790000,52.510000,0.000000,0.000000,0.000000,0.000000,6.760000,0.000000,0.000000,4.830000,0.000000,1.930000,115.840000,8.2,67.570000,0.000000,3.860000,0.000000,0.000000,5.790000,0.000000,48.260000,772.45

47,11:30-11:45,57.920000,96.530000,48.260000,0.000000,4.830000,0.000000,46.330000,0.000000,0.000000,0.970000,0.000000,48.260000,0.000000,37.290000,37.290000,12.430000,0.000000,66.790000,52.510000,0.000000,0.000000,0.000000,0.000000,6.760000,0.000000,0.000000,4.830000,0.000000,1.930000,115.840000,8.12,67.570000,0.000000,3.860000,0.000000,0.000000,5.790000,0.000000,48.260000,772.37

48,11:45-12:00,57.920000,96.530000,48.260000,0.000000,4.830000,0.000000,46.330000,0.000000,0.000000,0.970000,0.000000,48.260000,0.000000,37.290000,37.290000,12.430000,0.000000,66.790000,52.510000,0.000000,0.000000,0.000000,0.000000,6.760000,0.000000,0.000000,4.830000,0.000000,1.930000,115.840000,6.42,67.570000,0.000000,3.860000,0.000000,0.000000,5.790000,0.000000,48.260000,770.67

49,12:00-12:15,57.920000,96.530000,48.260000,0.000000,4.830000,0.000000,46.330000,0.000000,0.000000,0.970000,39.580000,48.260000,0.000000,37.290000,37.290000,12.430000,0.000000,66.790000,52.510000,19.310000,19.310000,0.000000,0.000000,6.760000,1.930000,14.480000,4.830000,0.000000,1.930000,115.840000,6.77,67.570000,0.000000,1.930000,0.000000,1.930000,5.790000,0.000000,48.260000,865.63

50,12:15-12:30,57.920000,96.530000,48.260000,0.000000,4.830000,0.000000,46.330000,0.000000,0.000000,0.970000,39.580000,48.260000,0.000000,37.290000,37.290000,12.430000,0.000000,66.790000,52.510000,19.310000,19.310000,0.000000,0.000000,6.760000,1.930000,14.480000,4.830000,0.000000,1.930000,115.840000,7.27,67.570000,0.000000,1.930000,0.000000,1.930000,5.790000,0.000000,48.260000,866.13

51,12:30-12:45,57.920000,96.530000,48.260000,0.000000,4.830000,0.000000,46.330000,0.000000,0.000000,0.970000,39.580000,48.260000,0.000000,37.290000,37.290000,12.430000,0.000000,66.790000,52.510000,19.310000,19.310000,0.000000,0.000000,6.760000,1.930000,14.480000,4.830000,0.000000,1.930000,115.840000,5.97,67.570000,0.000000,1.930000,0.000000,1.930000,5.790000,0.000000,48.260000,864.83

52,12:45-13:00,57.920000,96.530000,48.260000,0.000000,4.830000,0.000000,46.330000,0.000000,0.000000,0.970000,39.580000,48.260000,0.000000,37.290000,37.290000,12.430000,0.000000,66.790000,52.510000,19.310000,19.310000,0.000000,0.000000,6.760000,1.930000,14.480000,4.830000,0.000000,1.930000,115.840000,5.46,67.570000,0.000000,1.930000,0.000000,1.930000,5.790000,0.000000,48.260000,864.32

53,13:00-13:15,57.920000,96.530000,48.260000,0.000000,4.830000,0.000000,46.330000,0.000000,0.000000,0.970000,39.580000,48.260000,0.000000,37.290000,37.290000,12.430000,0.000000,66.790000,52.510000,19.310000,19.310000,0.000000,0.000000,6.760000,1.930000,14.480000,4.830000,0.000000,1.930000,115.840000,3.76,67.570000,0.000000,1.930000,0.000000,1.930000,5.790000,0.000000,48.260000,862.62

54,13:15-13:30,57.920000,96.530000,48.260000,0.000000,4.830000,0.000000,46.330000,0.000000,0.000000,0.970000,39.580000,48.260000,0.000000,37.290000,37.290000,12.430000,0.000000,66.790000,52.510000,19.310000,19.310000,0.000000,0.000000,6.760000,1.930000,14.480000,4.830000,0.000000,1.930000,115.840000,4.56,67.570000,0.000000,1.930000,0.000000,1.930000,5.790000,0.000000,48.260000,863.42

55,13:30-13:45,57.920000,96.530000,48.260000,0.000000,4.830000,0.000000,46.330000,0.000000,0.000000,0.970000,39.580000,48.260000,0.000000,37.290000,37.290000,12.430000,0.000000,66.790000,52.510000,19.310000,19.310000,0.000000,0.000000,6.760000,1.930000,14.480000,4.830000,0.000000,1.930000,115.840000,3.05,67.570000,0.000000,1.930000,0.000000,1.930000,5.790000,0.000000,48.260000,861.91

