Column1,Block,GNA/WR/2024/10/15/7089,GNA/NR/2024/10/16/2350,NR/30092023/26122029/SH-06,GNA/NR/2024/10/01/8106,NR/30092023/31122025/SH-07,GNA/NR/2024/10/01/6101,GNA/NR/2024/10/16/4393,GNA/NR/2024/10/01/9072,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/10/01/9582,GNA/NR/2024/10/01/3642,NR/2024/23685/C,NR/2024/23383/A/41032,NR/2024/23384/A/41034,NR/2024/23382/A/41182,NR/2024/23648/A/41046,NR/2024/23640/A/41065,NR/2024/23639/A/41066,NR/2024/23686/C,Total
6,01:15-01:30,192.8,30.57,2.78,8.76,2.78,26.29,91.71,26.29,5.16,8.76,26.29,175.45,0.53,6.75,24.83,2.89,0,0,0,632.6400000000001

7,01:30-01:45,192.8,30.57,2.78,8.76,2.78,26.29,91.71,26.29,5.16,8.76,26.29,175.45,0.53,6.75,24.83,2.89,0,0,0,632.6400000000001

8,01:45-02:00,192.8,30.57,2.78,8.76,2.78,26.29,91.71,26.29,5.16,8.76,26.29,175.45,0.53,6.75,24.83,2.89,0,0,0,632.6400000000001

9,02:00-02:15,0,30.57,2.78,8.76,2.78,26.29,91.71,26.29,5.16,8.76,26.29,175.45,0.48,6.75,24.83,2.89,0,0,0,439.7899999999999

10,02:15-02:30,0,30.57,2.78,8.76,2.78,26.29,91.71,26.29,5.16,8.76,26.29,175.45,0.48,6.75,24.83,2.89,0,0,0,439.7899999999999

11,02:30-02:45,0,30.57,2.78,8.76,2.78,26.29,91.71,26.29,5.16,8.76,26.29,175.45,0.48,6.75,24.83,2.89,0,0,0,439.7899999999999

12,02:45-03:00,0,30.57,2.78,8.76,2.78,26.29,91.71,26.29,5.16,8.76,26.29,175.45,0.48,6.75,24.83,2.89,0,0,0,439.7899999999999

13,03:00-03:15,0,30.57,16.78,8.76,16.78,26.29,91.71,26.29,5.06,8.76,26.29,175.45,0.43,6.75,24.83,2.89,0,0,0,467.63999999999993

14,03:15-03:30,0,30.57,25.28,8.76,25.28,26.29,91.71,26.29,5.06,8.76,26.29,175.45,0.43,6.75,24.83,2.89,0,0,0,484.63999999999993

15,03:30-03:45,0,30.57,25.28,8.76,25.28,26.29,91.71,26.29,5.06,8.76,26.29,175.45,0.43,6.75,24.83,2.89,0,0,0,484.63999999999993

16,03:45-04:00,0,30.57,25.28,8.76,25.28,26.29,91.71,26.29,5.06,8.76,26.29,175.45,0.43,6.75,24.83,2.89,0,0,0,484.63999999999993

17,04:00-04:15,0,30.57,25.28,8.76,25.28,26.29,91.71,26.29,5.06,8.76,26.29,175.45,0.43,6.75,24.83,2.89,0,0,0,484.63999999999993

18,04:15-04:30,0,30.57,26.91,8.76,26.91,26.29,91.71,26.29,5.06,8.76,26.29,175.45,0.43,6.75,24.83,2.89,0,0,0,487.8999999999999

19,04:30-04:45,0,30.57,25.28,8.76,25.28,26.29,91.71,26.29,5.06,8.76,26.29,175.45,0.43,6.75,24.83,2.89,0,0,0,484.63999999999993

20,04:45-05:00,0,30.57,25.28,8.76,25.28,26.29,91.71,26.29,5.06,8.76,26.29,175.45,0.43,6.75,24.83,2.89,0,0,0,484.63999999999993

21,05:00-05:15,0,30.57,25.28,8.76,25.28,26.29,91.71,26.29,5.06,8.76,26.29,175.45,0.48,6.75,24.83,2.89,0,0,0,484.68999999999994

22,05:15-05:30,0,30.57,25.28,8.76,25.28,26.29,91.71,26.29,5.06,8.76,26.29,175.45,0.48,6.75,24.83,2.89,0,0,0,484.68999999999994

23,05:30-05:45,0,30.57,25.28,8.76,25.28,26.29,91.71,26.29,5.06,8.76,26.29,175.45,0.48,6.75,24.83,2.89,0,0,0,484.68999999999994

24,05:45-06:00,0,30.57,25.28,8.76,25.28,26.29,91.71,26.29,5.06,8.76,26.29,175.45,0.48,6.75,24.83,2.89,0,0,0,484.68999999999994

25,06:00-06:15,0,0,18.98,8.76,18.98,26.29,0,26.29,5.06,8.76,26.29,175.45,0.53,6.75,24.83,2.89,0,0,0,349.85999999999996

26,06:15-06:30,0,0,18.98,8.76,18.98,26.29,0,26.29,5.06,8.76,26.29,175.45,0.53,6.75,24.83,2.89,0,0,0,349.85999999999996

27,06:30-06:45,0,0,18.98,8.76,18.98,26.29,0,26.29,5.06,8.76,26.29,175.45,0.53,6.75,24.83,2.89,0,0,0,349.85999999999996

28,06:45-07:00,0,0,18.98,8.76,18.98,26.29,0,26.29,5.06,8.76,26.29,175.45,0.53,6.75,24.83,2.89,0,0,0.4,350.25999999999993

29,07:00-07:15,0,0,18.98,8.76,18.98,26.29,0,26.29,5.06,8.76,26.29,175.45,0.58,6.75,24.83,2.89,0,0,0.49,350.4

30,07:15-07:30,0,0,18.98,8.76,18.98,26.29,0,26.29,5.06,8.76,26.29,175.45,0.58,6.75,24.83,2.89,0,0,0.85,350.76

31,07:30-07:45,0,0,18.98,8.76,18.98,26.29,0,26.29,5.06,8.76,26.29,175.45,0.58,6.75,24.83,2.89,0,0,0.96,350.86999999999995

32,07:45-08:00,0,0,18.98,8.76,18.98,26.29,0,26.29,5.06,8.76,26.29,175.45,0.58,6.75,24.83,2.89,0,0,0.99,350.9

33,08:00-08:15,0,0,25.28,8.76,25.28,26.29,0,26.29,5.06,8.76,26.29,175.45,0.96,6.75,24.83,2.89,0,0,1.47,364.36

34,08:15-08:30,0,0,25.28,8.76,25.28,26.29,0,26.29,5.06,8.76,26.29,175.45,0.96,6.75,24.83,2.89,0,0,1.52,364.40999999999997

35,08:30-08:45,0,0,25.28,8.76,25.28,26.29,0,26.29,5.06,8.76,26.29,175.45,0.96,6.75,24.83,2.89,0,0,1.71,364.59999999999997

36,08:45-09:00,0,0,25.28,8.76,25.28,26.29,0,26.29,5.06,8.76,26.29,175.45,0.96,6.75,24.83,2.89,0,0,2.41,365.3

37,09:00-09:15,0,0,25.28,8.76,25.28,26.29,0,26.29,5.06,8.76,26.29,175.45,0.87,6.75,24.83,2.89,10.6,42.42,2.7,418.52000000000004

38,09:15-09:30,0,0,25.28,8.76,25.28,26.29,0,26.29,5.06,8.76,26.29,175.45,0.87,6.75,24.83,2.89,10.6,42.42,3.08,418.90000000000003

39,09:30-09:45,0,0,25.28,8.76,25.28,26.29,0,26.29,5.06,8.76,26.29,175.45,0.87,6.75,24.83,2.89,10.6,42.42,3.47,419.2900000000001

40,09:45-10:00,0,0,25.28,8.76,25.28,26.29,0,26.29,5.06,8.76,26.29,175.45,0.87,6.75,24.83,2.89,10.6,42.42,3.76,419.58000000000004

41,10:00-10:15,0,0,25.28,8.76,25.28,26.29,0,26.29,5.06,8.76,26.29,175.45,0.87,6.75,24.83,2.89,10.6,42.42,4.24,420.06000000000006

42,10:15-10:30,0,0,25.28,8.76,25.28,26.29,0,26.29,5.06,8.76,26.29,175.45,0.87,6.75,24.83,2.89,10.6,42.42,4.63,420.45000000000005

43,10:30-10:45,0,0,15.28,8.76,15.28,26.29,0,26.29,5.06,8.76,26.29,175.45,0.87,6.75,24.83,2.89,10.6,42.42,5.01,400.83000000000004

44,10:45-11:00,0,0,12.78,8.76,12.78,26.29,0,26.29,5.06,8.76,26.29,175.45,0.87,6.75,24.83,2.89,10.6,42.42,5.59,396.41

45,11:00-11:15,0,0,7.78,8.76,7.78,26.29,0,26.29,5.06,8.76,26.29,175.45,0.87,6.75,24.83,2.89,10.6,42.42,6.12,386.94000000000005

46,11:15-11:30,0,0,2.78,8.76,2.78,26.29,0,26.29,5.06,8.76,26.29,175.45,0.87,6.75,24.83,2.89,10.6,42.42,6.41,377.2300000000001

47,11:30-11:45,0,0,2.78,8.76,2.78,26.29,0,26.29,5.06,8.76,26.29,175.45,0.87,6.75,24.83,2.89,10.6,42.42,6.89,377.71000000000004

48,11:45-12:00,0,0,2.78,8.76,2.78,26.29,0,26.29,5.06,8.76,26.29,175.45,0.87,6.75,24.83,2.89,10.6,42.42,7.23,378.05000000000007

49,12:00-12:15,0,0,2.78,8.76,2.78,26.29,0,26.29,4.97,8.76,26.29,175.45,0.87,6.75,24.83,2.89,10.6,42.42,7.42,378.15000000000003

50,12:15-12:30,0,0,2.78,8.76,2.78,26.29,0,26.29,4.97,8.76,26.29,175.45,0.87,6.75,24.83,2.89,10.6,42.42,7.76,378.49

51,12:30-12:45,0,0,2.78,8.76,2.78,26.29,0,26.29,4.97,8.76,26.29,175.45,0.87,6.75,24.83,2.89,10.6,42.42,8.05,378.78000000000003

52,12:45-13:00,0,0,2.78,8.76,2.78,26.29,0,26.29,4.97,8.76,26.29,175.45,0.87,6.75,24.83,2.89,10.6,42.42,8.37,379.1

53,13:00-13:15,0,0,2.78,8.76,2.78,26.29,0,26.29,4.97,8.76,26.29,175.45,0.77,6.75,24.83,2.89,10.6,42.42,7.9,378.53

54,13:15-13:30,0,0,2.78,8.76,2.78,26.29,0,26.29,4.97,8.76,26.29,175.45,0.77,6.75,24.83,2.89,10.6,42.42,7.42,378.05

55,13:30-13:45,0,0,2.78,8.76,2.78,26.29,0,26.29,4.97,8.76,26.29,175.45,0.77,6.75,24.83,2.89,10.6,42.42,7.13,377.76

56,13:45-14:00,0,0,2.78,8.76,2.78,26.29,0,26.29,4.97,8.76,26.29,175.45,0.77,6.75,24.83,2.89,10.6,42.42,6.94,377.57

57,14:00-14:15,0,0,2.78,8.76,2.78,26.29,0,26.29,4.97,8.76,26.29,175.45,0.92,6.75,24.83,2.89,10.6,42.42,6.46,377.24

58,14:15-14:30,0,0,2.78,8.76,2.78,26.29,0,26.29,4.97,8.76,26.29,175.45,0.92,6.75,24.83,2.89,10.6,42.42,5.98,376.76000000000005

59,14:30-14:45,0,0,2.78,8.76,2.78,26.29,0,26.29,4.97,8.76,26.29,175.45,0.92,6.75,24.83,2.89,10.6,42.42,5.49,376.27000000000004

60,14:45-15:00,0,0,2.78,8.76,2.78,26.29,0,26.29,4.97,8.76,26.29,175.45,0.92,6.75,24.83,2.89,10.6,42.42,5.01,375.79

61,15:00-15:15,0,0,2.78,8.76,2.78,26.29,0,26.29,4.97,8.76,26.29,175.45,0.92,6.75,24.83,2.89,10.6,42.42,4.63,375.41

62,15:15-15:30,0,0,2.78,8.76,2.78,26.29,0,26.29,4.97,8.76,26.29,175.45,0.92,6.75,24.83,2.89,10.6,42.42,4.34,375.12

63,15:30-15:45,0,0,2.78,8.76,2.78,26.29,0,26.29,4.97,8.76,26.29,175.45,0.92,6.75,24.83,2.89,10.6,42.42,3.66,374.44000000000005

64,15:45-16:00,0,0,2.78,8.76,2.78,26.29,0,26.29,4.97,8.76,26.29,175.45,0.92,6.75,24.83,2.89,10.6,42.42,2.89,373.67

65,16:00-16:15,0,0,2.78,12.42,2.78,37.24,0,37.24,5.06,12.42,37.24,175.45,0.77,6.75,24.83,2.89,10.6,42.42,2.31,413.2

66,16:15-16:30,0,0,2.78,12.42,2.78,37.24,0,37.24,5.06,12.42,37.24,175.45,0.77,6.75,24.83,2.89,10.6,42.03,1.74,412.24

67,16:30-16:45,0,0,2.78,12.42,2.78,37.24,0,37.24,5.06,12.42,37.24,175.45,0.77,6.75,24.83,2.89,10.6,32.97,1.5,402.93999999999994

68,16:45-17:00,0,0,2.78,12.42,2.78,37.24,0,37.24,5.06,12.42,37.24,175.45,0.77,6.75,24.83,2.89,10.6,25.35,1.29,395.11

69,17:00-17:15,0,0,18.98,12.42,18.98,37.24,0,37.24,5.06,12.42,37.24,175.45,0.72,6.75,29.21,2.89,0,0,0.72,395.32

70,17:15-17:30,0,0,18.98,12.42,18.98,37.24,0,37.24,5.06,12.42,37.24,175.45,0.72,6.75,29.21,2.89,0,0,0.6,395.2

71,17:30-17:45,0,0,18.98,12.42,18.98,37.24,0,37.24,5.06,12.42,37.24,175.45,0.72,6.75,29.21,2.89,0,0,0.52,395.11999999999995

72,17:45-18:00,0,0,32,12.42,5.95,37.24,0,37.24,5.06,12.42,37.24,175.45,0.72,6.75,29.21,2.89,0,0,0.14,394.72999999999996

73,18:00-18:15,120.5,0,31.93,12.42,31.93,37.24,0,37.24,5.24,12.42,37.24,175.45,0.72,6.75,29.21,2.89,0,0,0,541.1800000000001

74,18:15-18:30,120.5,0,31.93,12.42,31.93,37.24,0,37.24,5.24,12.42,37.24,175.45,0.72,6.75,29.21,2.89,0,0,0,541.1800000000001

75,18:30-18:45,120.5,0,31.93,12.42,31.93,37.24,0,37.24,5.24,12.42,37.24,175.45,0.72,6.75,29.21,2.89,0,0,0,541.1800000000001

76,18:45-19:00,120.5,0,31.93,12.42,31.93,37.24,0,37.24,5.24,12.42,37.24,175.45,0.72,6.75,29.21,2.89,0,0,0,541.1800000000001

77,19:00-19:15,120.5,0,31.93,12.42,31.93,37.24,0,37.24,5.24,12.42,37.24,175.45,0.67,6.75,29.21,2.89,0,0,0,541.13

78,19:15-19:30,120.5,0,31.93,12.42,31.93,37.24,0,37.24,5.24,12.42,37.24,175.45,0.67,6.75,29.21,2.89,0,0,0,541.13

79,19:30-19:45,120.5,0,31.93,12.42,31.93,37.24,0,37.24,5.24,12.42,37.24,175.45,0.67,6.75,29.21,2.89,0,0,0,541.13

80,19:45-20:00,120.5,0,32,12.42,32,37.24,0,37.24,5.24,12.42,37.24,175.45,0.67,6.75,29.21,2.89,0,0,0,541.27

81,20:00-20:15,192.8,0,32,12.42,0,37.24,0,37.24,5.24,12.42,37.24,175.45,0.67,6.75,29.21,2.89,0,0,0,581.5699999999999

82,20:15-20:30,192.8,0,32,12.42,0,37.24,0,37.24,5.24,12.42,37.24,175.45,0.67,6.75,29.21,2.89,0,0,0,581.5699999999999

83,20:30-20:45,192.8,0,32,12.42,0,37.24,0,37.24,5.24,12.42,37.24,175.45,0.67,6.75,29.21,2.89,0,0,0,581.5699999999999

84,20:45-21:00,192.8,0,32,12.42,0,37.24,0,37.24,5.24,12.42,37.24,175.45,0.67,6.75,29.21,2.89,0,0,0,581.5699999999999

85,21:00-21:15,192.8,0,0,12.42,0,37.24,0,37.24,5.16,12.42,37.24,175.45,0.72,6.75,24.83,2.89,0,0,0,545.1600000000001

86,21:15-21:30,192.8,0,0,12.42,0,37.24,0,37.24,5.16,12.42,37.24,175.45,0.72,6.75,24.83,2.89,0,0,0,545.1600000000001

87,21:30-21:45,192.8,0,0,12.42,0,37.24,0,37.24,5.16,12.42,37.24,175.45,0.72,6.75,24.83,2.89,0,0,0,545.1600000000001

88,21:45-22:00,192.8,0,0,12.42,0,37.24,0,37.24,5.16,12.42,37.24,175.45,0.72,6.75,24.83,2.89,0,0,0,545.1600000000001

89,22:00-22:15,192.8,30.57,0,12.42,0,37.24,91.71,37.24,5.06,12.42,37.24,175.45,0.67,6.75,24.83,2.89,0,0,0,667.29

90,22:15-22:30,192.8,30.57,0,12.42,0,37.24,91.71,37.24,5.06,12.42,37.24,175.45,0.67,6.75,24.83,2.89,0,0,0,667.29

91,22:30-22:45,192.8,30.57,0,12.42,0,37.24,91.71,37.24,5.06,12.42,37.24,175.45,0.67,6.75,24.83,2.89,0,0,0,667.29

92,22:45-23:00,192.8,30.57,0,12.42,0,37.24,91.71,37.24,5.06,12.42,37.24,175.45,0.67,6.75,24.83,2.89,0,0,0,667.29

93,23:00-23:15,192.8,30.57,0,12.42,0,37.24,91.71,37.24,5.06,12.42,37.24,175.45,0.58,6.75,24.83,2.89,0,0,0,667.2

94,23:15-23:30,192.8,30.57,0,12.42,0,37.24,91.71,37.24,5.06,12.42,37.24,175.45,0.58,6.75,24.83,2.89,0,0,0,667.2

95,23:30-23:45,192.8,30.57,0,12.42,0,37.24,91.71,37.24,5.06,12.42,37.24,175.45,0.58,6.75,24.83,2.89,0,0,0,667.2

96,23:45-24:00,192.8,30.57,0,12.42,0,37.24,91.71,37.24,5.06,12.42,37.24,175.45,0.58,6.75,24.83,2.89,0,0,0,667.2

