Time,Block,NR/2023/11099/F,NR/2023/10181/A,NR/2023/11367/F,NR/2023/11100/F,NR/2023/11343/F,NR/2023/11154/F,NR/2023/11104/F,NR/2023/11097/F,NR/2023/11741/D,NR/2023/11760/C,NR/2023/11166/F,NR/2023/10182/A,NR/2023/11341/F,NR/2023/11096/F,NR/2023/10197/A,NR/2023/11369/F,NR/2023/10433/A,NR/2023/11758/C,NR/2023/11368/F,NR/2023/10486/A,NR/2023/11221/F,NR/2023/11695/D,NR/2023/11095/F,NR/2023/11102/F,NR/2023/11766/C,NR/2023/11767/C,NR/2023/11746/D,NR/2023/11748/D,NR/2023/11749/D,Total
10,02:15-02:30,0.360000,99.660000,0.310000,0.530000,48.140000,9.630000,0.450000,0.360000,0.000000,0.000000,14.440000,49.830000,115.550000,0.530000,49.830000,0.610000,24.070000,12.680000,0.310000,20.560000,17.330000,19.260000,2.890000,0.600000,0.000000,29.550000,0,0,0,517.48

11,02:30-02:45,0.360000,99.660000,0.310000,0.530000,48.140000,9.630000,0.450000,0.360000,0.000000,0.000000,14.440000,49.830000,115.550000,0.530000,49.830000,0.610000,24.070000,12.680000,0.310000,20.560000,17.330000,19.260000,2.890000,0.600000,0.000000,29.550000,0,0,0,517.48

12,02:45-03:00,0.360000,99.660000,0.310000,0.530000,48.140000,9.630000,0.450000,0.360000,0.000000,0.000000,14.440000,49.830000,115.550000,0.530000,49.830000,0.610000,24.070000,12.680000,0.310000,20.560000,17.330000,19.260000,2.890000,0.600000,0.000000,29.550000,0,0,0,517.48

13,03:00-03:15,0.360000,99.660000,0.310000,0.530000,48.140000,9.630000,0.450000,0.360000,0.000000,0.000000,14.440000,49.830000,115.550000,0.530000,49.830000,0.610000,24.070000,12.590000,0.310000,20.560000,17.330000,19.260000,2.890000,0.600000,0.000000,29.550000,0,0,0,517.39

14,03:15-03:30,0.360000,99.660000,0.310000,0.530000,48.140000,9.630000,0.450000,0.360000,0.000000,0.000000,14.440000,49.830000,115.550000,0.530000,49.830000,0.610000,24.070000,12.590000,0.310000,20.560000,17.330000,19.260000,2.890000,0.600000,0.000000,29.550000,0,0,0,517.39

15,03:30-03:45,0.360000,99.660000,0.310000,0.530000,48.140000,9.630000,0.450000,0.360000,0.000000,0.000000,14.440000,49.830000,115.550000,0.530000,49.830000,0.610000,24.070000,12.590000,0.310000,20.560000,17.330000,19.260000,2.890000,0.600000,0.000000,29.550000,0,0,0,517.39

16,03:45-04:00,0.360000,99.660000,0.310000,0.530000,48.140000,9.630000,0.450000,0.360000,0.000000,0.000000,14.440000,49.830000,115.550000,0.530000,49.830000,0.610000,24.070000,12.590000,0.310000,20.560000,17.330000,19.260000,2.890000,0.600000,0.000000,29.550000,0,0,0,517.39

17,04:00-04:15,0.360000,99.660000,0.310000,0.530000,48.140000,9.630000,0.450000,0.360000,0.000000,0.000000,14.440000,49.830000,115.550000,0.530000,49.830000,0.610000,24.070000,12.500000,0.310000,20.560000,17.330000,19.260000,2.890000,0.600000,0.000000,29.550000,0,0,0,517.3

18,04:15-04:30,0.360000,99.660000,0.310000,0.530000,48.140000,9.630000,0.450000,0.360000,0.000000,0.000000,14.440000,49.830000,115.550000,0.530000,49.830000,0.610000,24.070000,12.500000,0.310000,20.560000,17.330000,19.260000,2.890000,0.600000,0.000000,29.550000,0,0,0,517.3

19,04:30-04:45,0.360000,99.660000,0.310000,0.530000,48.140000,9.630000,0.450000,0.360000,0.000000,0.000000,14.440000,49.830000,115.550000,0.530000,49.830000,0.610000,24.070000,12.500000,0.310000,20.560000,17.330000,19.260000,2.890000,0.600000,0.000000,29.550000,0,0,0,517.3

20,04:45-05:00,0.360000,99.660000,0.310000,0.530000,48.140000,9.630000,0.450000,0.360000,0.000000,0.000000,14.440000,49.830000,115.550000,0.530000,49.830000,0.610000,24.070000,12.500000,0.310000,20.560000,17.330000,19.260000,2.890000,0.600000,0.000000,29.550000,0,0,0,517.3

21,05:00-05:15,0.360000,99.660000,0.310000,0.530000,48.140000,9.630000,0.450000,0.360000,0.000000,0.000000,14.440000,49.830000,115.550000,0.530000,49.830000,0.610000,24.070000,12.410000,0.310000,20.560000,17.330000,19.260000,2.890000,0.600000,0.000000,29.550000,0,0,0,517.21

22,05:15-05:30,0.360000,99.660000,0.310000,0.530000,48.140000,9.630000,0.450000,0.360000,0.000000,0.000000,14.440000,49.830000,115.550000,0.530000,49.830000,0.610000,24.070000,12.410000,0.310000,20.560000,17.330000,19.260000,2.890000,0.600000,0.000000,29.550000,0,0,0,517.21

23,05:30-05:45,0.360000,99.660000,0.310000,0.530000,48.140000,9.630000,0.450000,0.360000,0.000000,0.000000,14.440000,49.830000,115.550000,0.530000,49.830000,0.610000,24.070000,12.410000,0.310000,20.560000,17.330000,19.260000,2.890000,0.600000,0.000000,29.550000,0,0,0,517.21

24,05:45-06:00,0.360000,99.660000,0.310000,0.530000,48.140000,9.630000,0.450000,0.360000,0.000000,0.000000,14.440000,49.830000,115.550000,0.530000,49.830000,0.610000,24.070000,12.410000,0.310000,20.560000,17.330000,19.260000,2.890000,0.600000,0.000000,29.550000,0,0,0,517.21

25,06:00-06:15,0.360000,99.660000,0.310000,0.530000,48.140000,9.630000,0.450000,0.360000,0.000000,0.000000,14.440000,49.830000,115.550000,0.530000,49.830000,0.610000,24.070000,12.320000,0.310000,20.560000,17.330000,19.260000,2.890000,0.600000,0.000000,29.550000,0,0,0,517.12

26,06:15-06:30,0.360000,99.660000,0.310000,0.530000,48.140000,9.630000,0.450000,0.360000,0.000000,0.000000,14.440000,49.830000,115.550000,0.530000,49.830000,0.610000,24.070000,12.320000,0.310000,20.560000,17.330000,19.260000,2.890000,0.600000,0.000000,29.550000,0,0,0,517.12

27,06:30-06:45,0.360000,99.660000,0.310000,0.530000,48.140000,9.630000,0.450000,0.360000,0.000000,0.000000,14.440000,49.830000,115.550000,0.530000,49.830000,0.610000,24.070000,12.320000,0.310000,20.560000,17.330000,19.260000,2.890000,0.600000,0.000000,29.550000,0,0,0,517.12

28,06:45-07:00,0.360000,99.660000,0.310000,0.530000,48.140000,9.630000,0.450000,0.360000,0.000000,0.000000,14.440000,49.830000,115.550000,0.530000,49.830000,0.610000,24.070000,12.320000,0.310000,20.560000,17.330000,19.260000,2.890000,0.600000,0.000000,29.550000,0,1.5,3.5,522.12

29,07:00-07:15,0.360000,99.660000,0.310000,0.530000,48.140000,9.630000,0.450000,0.360000,0.000000,0.000000,14.440000,49.830000,115.550000,0.530000,49.830000,0.610000,24.070000,12.230000,0.310000,20.560000,17.330000,19.260000,2.890000,0.600000,0.000000,27.520000,0,4.8,11.2,531

30,07:15-07:30,0.360000,99.660000,0.310000,0.530000,48.140000,9.630000,0.450000,0.360000,0.000000,0.000000,14.440000,49.830000,115.550000,0.530000,49.830000,0.610000,24.070000,12.230000,0.310000,20.560000,17.330000,19.260000,2.890000,0.600000,0.000000,27.520000,0.1,10.2,23.8,549.1

31,07:30-07:45,0.360000,99.660000,0.310000,0.530000,48.140000,9.630000,0.450000,0.360000,0.000000,0.000000,14.440000,49.830000,115.550000,0.530000,49.830000,0.610000,24.070000,12.230000,0.310000,20.560000,17.330000,19.260000,2.890000,0.600000,0.000000,27.520000,0.42,16.2,37.8,569.42

32,07:45:08:00,0.360000,99.660000,0.310000,0.530000,48.140000,9.630000,0.450000,0.360000,0.000000,0.000000,14.440000,49.830000,115.550000,0.530000,49.830000,0.610000,24.070000,12.230000,0.310000,20.560000,17.330000,19.260000,2.890000,0.600000,0.000000,27.520000,0.86,21,49,585.86

33,08:00-08:15,0.350000,99.660000,0.310000,0.560000,48.140000,9.630000,0.440000,0.350000,0.000000,0.000000,14.440000,49.830000,115.550000,0.560000,49.830000,0.610000,24.070000,12.230000,0.300000,20.560000,17.330000,19.260000,2.890000,0.590000,0.000000,27.520000,1.16,26.4,61.6,604.17

34,08:15-08:30,0.350000,99.660000,0.310000,0.560000,48.140000,9.630000,0.440000,0.350000,0.000000,0.000000,14.440000,49.830000,115.550000,0.560000,49.830000,0.610000,24.070000,12.230000,0.300000,20.560000,17.330000,19.260000,2.890000,0.590000,0.000000,27.520000,1.4,33.6,78.4,628.41

35,08:30-08:45,0.350000,99.660000,0.310000,0.560000,48.140000,9.630000,0.440000,0.350000,0.000000,0.000000,14.440000,49.830000,115.550000,0.560000,49.830000,0.610000,24.070000,12.230000,0.300000,20.560000,17.330000,19.260000,2.890000,0.590000,0.000000,27.520000,1.83,40.5,94.5,651.84

36,08:45:09:00,0.350000,99.660000,0.310000,0.560000,48.140000,9.630000,0.440000,0.350000,0.000000,0.000000,14.440000,49.830000,115.550000,0.560000,49.830000,0.610000,24.070000,12.230000,0.300000,20.560000,17.330000,19.260000,2.890000,0.590000,0.000000,27.520000,2.35,46.5,108.5,672.36

37,09:00:09:15,0.350000,99.660000,0.310000,0.560000,48.140000,9.630000,0.440000,0.350000,24.070000,0.000000,14.440000,49.830000,115.550000,0.560000,49.830000,0.610000,24.070000,12.230000,0.300000,20.560000,17.330000,19.260000,2.890000,0.590000,0.000000,27.520000,3.65,51,119,712.73

38,09:15-09:30,0.350000,99.660000,0.310000,0.560000,48.140000,9.630000,0.440000,0.350000,24.070000,0.000000,14.440000,49.830000,115.550000,0.560000,49.830000,0.610000,24.070000,11.770000,0.300000,20.560000,17.330000,19.260000,2.890000,0.590000,0.000000,27.520000,4.32,57,133,732.94

39,09:30-09:45,0.350000,99.660000,0.310000,0.560000,48.140000,9.630000,0.440000,0.350000,24.070000,0.000000,14.440000,49.830000,115.550000,0.560000,49.830000,0.610000,24.070000,11.770000,0.300000,20.560000,17.330000,19.260000,2.890000,0.590000,0.000000,27.520000,4.42,61.5,143.5,748.04

40,09:45-10:00,0.350000,99.660000,0.310000,0.560000,48.140000,9.630000,0.440000,0.350000,24.070000,0.000000,14.440000,49.830000,115.550000,0.560000,49.830000,0.610000,24.070000,11.770000,0.300000,20.560000,17.330000,19.260000,2.890000,0.590000,0.000000,27.520000,4.52,66,154,763.14

41,10:00-10:15,0.350000,99.660000,0.310000,0.560000,48.140000,9.630000,0.440000,0.350000,24.070000,0.000000,14.440000,49.830000,115.550000,0.560000,49.830000,0.610000,24.070000,12.130000,0.300000,20.560000,17.330000,19.260000,2.890000,0.590000,0.000000,29.550000,4.71,69.6,162.4,777.72

42,10:15-10:30,0.350000,99.660000,0.310000,0.560000,48.140000,9.630000,0.440000,0.350000,24.070000,0.000000,14.440000,49.830000,115.550000,0.560000,49.830000,0.610000,24.070000,12.130000,0.300000,20.560000,17.330000,19.260000,2.890000,0.590000,0.000000,29.550000,5,73.5,171.5,791.01

43,10:30-10:45,0.350000,99.660000,0.310000,0.560000,48.140000,9.630000,0.440000,0.350000,24.070000,0.000000,14.440000,49.830000,115.550000,0.560000,49.830000,0.610000,24.070000,12.130000,0.300000,20.560000,17.330000,19.260000,2.890000,0.590000,0.000000,29.550000,5.19,75,175,796.2

44,10:45-11:00,0.350000,99.660000,0.310000,0.560000,48.140000,9.630000,0.440000,0.350000,24.070000,0.000000,14.440000,49.830000,115.550000,0.560000,49.830000,0.610000,24.070000,12.130000,0.300000,20.560000,17.330000,19.260000,2.890000,0.590000,0.000000,29.550000,5.57,77.1,179.9,803.58

45,11:00-11:15,0.350000,99.660000,0.310000,0.560000,48.140000,9.630000,0.440000,0.350000,24.070000,0.000000,14.440000,49.830000,115.550000,0.560000,49.830000,0.610000,24.070000,12.050000,0.300000,20.560000,17.330000,19.260000,2.890000,0.590000,0.000000,29.550000,5.76,78.6,183.4,808.69

46,11:15-11:30,0.350000,99.660000,0.310000,0.560000,48.140000,9.630000,0.440000,0.350000,24.070000,0.000000,14.440000,49.830000,115.550000,0.560000,49.830000,0.610000,24.070000,12.050000,0.300000,20.560000,17.330000,19.260000,2.890000,0.590000,0.000000,29.550000,5.96,79.2,184.8,810.89

47,11:30-11:45,0.350000,99.660000,0.310000,0.560000,48.140000,9.630000,0.440000,0.350000,24.070000,0.000000,14.440000,49.830000,115.550000,0.560000,49.830000,0.610000,24.070000,12.050000,0.300000,20.560000,17.330000,19.260000,2.890000,0.590000,0.000000,29.550000,6.34,79.2,184.8,811.27

48,11:45-12:00,0.350000,99.660000,0.310000,0.560000,48.140000,9.630000,0.440000,0.350000,24.070000,0.000000,14.440000,49.830000,115.550000,0.560000,49.830000,0.610000,24.070000,12.050000,0.300000,20.560000,17.330000,19.260000,2.890000,0.590000,0.000000,29.550000,6.53,79.2,184.8,811.46

49,12:00-12:15,0.350000,99.660000,0.310000,0.560000,48.140000,9.630000,0.440000,0.350000,24.070000,0.000000,14.440000,49.830000,115.550000,0.560000,49.830000,0.610000,24.070000,11.950000,0.300000,20.560000,17.330000,19.260000,2.890000,0.590000,0.000000,30.570000,7.21,79.2,184.8,813.06

50,12:15-12:30,0.350000,99.660000,0.310000,0.560000,48.140000,9.630000,0.440000,0.350000,24.070000,0.000000,14.440000,49.830000,115.550000,0.560000,49.830000,0.610000,24.070000,11.950000,0.300000,20.560000,17.330000,19.260000,2.890000,0.590000,0.000000,30.570000,7.65,79.2,184.8,813.5

51,12:30-12:45,0.350000,99.660000,0.310000,0.560000,48.140000,9.630000,0.440000,0.350000,24.070000,0.000000,14.440000,49.830000,115.550000,0.560000,49.830000,0.610000,24.070000,11.950000,0.300000,20.560000,17.330000,19.260000,2.890000,0.590000,0.000000,30.570000,7.69,79.2,184.8,813.54

52,12:45-13:00,0.350000,99.660000,0.310000,0.560000,48.140000,9.630000,0.440000,0.350000,24.070000,0.000000,14.440000,49.830000,115.550000,0.560000,49.830000,0.610000,24.070000,11.950000,0.300000,20.560000,17.330000,19.260000,2.890000,0.590000,0.000000,30.570000,8.17,79.2,184.8,814.02

53,13:00-13:15,0.350000,99.660000,0.310000,0.560000,48.140000,9.630000,0.440000,0.350000,24.070000,0.000000,14.440000,49.830000,115.550000,0.560000,49.830000,0.610000,24.070000,11.860000,0.300000,20.560000,17.330000,19.260000,2.890000,0.590000,0.000000,30.570000,8.45,79.2,184.8,814.21

54,13:15-13:30,0.350000,99.660000,0.310000,0.560000,48.140000,9.630000,0.440000,0.350000,24.070000,0.000000,14.440000,49.830000,115.550000,0.560000,49.830000,0.610000,24.070000,11.860000,0.300000,20.560000,17.330000,19.260000,2.890000,0.590000,0.000000,30.570000,8.55,79.2,184.8,814.31

55,13:30-13:45,0.350000,99.660000,0.310000,0.560000,48.140000,9.630000,0.440000,0.350000,24.070000,0.000000,14.440000,49.830000,115.550000,0.560000,49.830000,0.610000,24.070000,11.860000,0.300000,20.560000,17.330000,19.260000,2.890000,0.590000,0.000000,30.570000,8.66,79.2,184.8,814.42

56,13:45-14:00,0.350000,99.660000,0.310000,0.560000,48.140000,9.630000,0.440000,0.350000,24.070000,0.000000,14.440000,49.830000,115.550000,0.560000,49.830000,0.610000,24.070000,11.860000,0.300000,20.560000,17.330000,19.260000,2.890000,0.590000,0.000000,30.570000,8.64,79.2,184.8,814.4

57,14:00-14:15,0.350000,99.660000,0.310000,0.560000,48.140000,9.630000,0.440000,0.350000,24.070000,0.000000,14.440000,49.830000,115.550000,0.560000,49.830000,0.610000,24.070000,11.770000,0.300000,20.560000,17.330000,19.260000,2.890000,0.590000,0.000000,30.570000,8.45,78,182,810.12

58,14:15-14:30,0.350000,99.660000,0.310000,0.560000,48.140000,9.630000,0.440000,0.350000,24.070000,0.000000,14.440000,49.830000,115.550000,0.560000,49.830000,0.610000,24.070000,11.770000,0.300000,20.560000,17.330000,19.260000,2.890000,0.590000,0.000000,30.570000,8.17,78,182,809.84

59,14:30-14:45,0.350000,99.660000,0.310000,0.560000,48.140000,9.630000,0.440000,0.350000,24.070000,0.000000,14.440000,49.830000,115.550000,0.560000,49.830000,0.610000,24.070000,11.770000,0.300000,20.560000,17.330000,19.260000,2.890000,0.590000,0.000000,30.570000,7.69,75.9,177.1,802.36

60,14:45-15:00,0.350000,99.660000,0.310000,0.560000,48.140000,9.630000,0.440000,0.350000,24.070000,0.000000,14.440000,49.830000,115.550000,0.560000,49.830000,0.610000,24.070000,11.770000,0.300000,20.560000,17.330000,19.260000,2.890000,0.590000,0.000000,30.570000,7.01,73.5,171.5,793.68

61,15:00-15:15,0.350000,99.660000,0.310000,0.560000,48.140000,9.630000,0.440000,0.350000,24.070000,0.000000,14.440000,49.830000,115.550000,0.560000,49.830000,0.610000,24.070000,11.670000,0.300000,20.560000,17.330000,19.260000,2.890000,0.590000,0.000000,30.570000,6.24,69.6,162.4,779.81

62,15:15-15:30,0.350000,99.660000,0.310000,0.560000,48.140000,9.630000,0.440000,0.350000,24.070000,0.000000,14.440000,49.830000,115.550000,0.560000,49.830000,0.610000,24.070000,11.670000,0.300000,20.560000,17.330000,19.260000,2.890000,0.590000,0.000000,30.570000,5.57,66.6,155.4,769.14

63,15:30-15:45,0.350000,99.660000,0.310000,0.560000,48.140000,9.630000,0.440000,0.350000,24.070000,0.000000,14.440000,49.830000,115.550000,0.560000,49.830000,0.610000,24.070000,11.670000,0.300000,20.560000,17.330000,19.260000,2.890000,0.590000,0.000000,30.570000,4.71,61.2,142.8,750.28

64,15:45-16:00,0.350000,99.660000,0.310000,0.560000,48.140000,9.630000,0.440000,0.350000,24.070000,0.000000,14.440000,49.830000,115.550000,0.560000,49.830000,0.610000,24.070000,11.670000,0.300000,20.560000,17.330000,19.260000,2.890000,0.590000,0.000000,30.570000,3.84,57,133,735.41

65,16:00-16:15,0.350000,99.660000,0.310000,0.560000,48.140000,9.630000,0.440000,0.350000,24.070000,0.000000,14.440000,49.830000,115.550000,0.560000,49.830000,0.610000,24.070000,11.580000,0.300000,20.560000,17.330000,19.260000,2.890000,0.590000,0.000000,32.610000,3.82,50.1,116.9,714.34

66,16:15-16:30,0.350000,99.660000,0.310000,0.560000,48.140000,9.630000,0.440000,0.350000,24.070000,0.000000,14.440000,49.830000,115.550000,0.560000,49.830000,0.610000,24.070000,11.580000,0.300000,20.560000,17.330000,19.260000,2.890000,0.590000,0.000000,32.610000,3.36,43.2,100.8,690.88

67,16:30-16:45,0.350000,99.660000,0.310000,0.560000,48.140000,9.630000,0.440000,0.350000,24.070000,0.000000,14.440000,49.830000,115.550000,0.560000,49.830000,0.610000,24.070000,11.580000,0.300000,20.560000,17.330000,19.260000,2.890000,0.590000,0.000000,32.610000,2.4,39,91,675.92

68,16:45-17:00,0.350000,99.660000,0.310000,0.560000,48.140000,9.630000,0.440000,0.350000,24.070000,0.000000,14.440000,49.830000,115.550000,0.560000,49.830000,0.610000,24.070000,11.580000,0.300000,20.560000,17.330000,19.260000,2.890000,0.590000,0.000000,32.610000,1.17,34.2,79.8,658.69

69,17:00-17:15,0.350000,99.660000,0.310000,0.560000,48.140000,9.630000,0.440000,0.350000,0.000000,0.000000,14.440000,49.830000,115.550000,0.560000,49.830000,0.610000,24.070000,11.580000,0.300000,20.560000,17.330000,19.260000,2.890000,0.590000,0.000000,33.630000,0.88,28.2,65.8,615.35

70,17:15-17:30,0.350000,99.660000,0.310000,0.560000,48.140000,9.630000,0.440000,0.350000,0.000000,0.000000,14.440000,49.830000,115.550000,0.560000,49.830000,0.610000,24.070000,11.580000,0.300000,20.560000,17.330000,19.260000,2.890000,0.590000,0.000000,33.630000,0.6,23.1,53.9,598.07

71,17:30-17:45,0.350000,99.660000,0.310000,0.560000,48.140000,9.630000,0.440000,0.350000,0.000000,0.000000,14.440000,49.830000,115.550000,0.560000,49.830000,0.610000,24.070000,11.580000,0.300000,20.560000,17.330000,19.260000,2.890000,0.590000,0.000000,33.630000,0.31,15,35,570.78

72,17:45-18:00,0.350000,99.660000,0.310000,0.560000,48.140000,9.630000,0.440000,0.350000,0.000000,0.000000,14.440000,49.830000,115.550000,0.560000,49.830000,0.610000,24.070000,11.580000,0.300000,20.560000,17.330000,19.260000,2.890000,0.590000,0.000000,33.630000,0.21,10.5,24.5,555.68

73,18:00-18:15,0.350000,99.660000,0.310000,0.560000,48.140000,9.630000,0.440000,0.350000,0.000000,0.000000,14.440000,49.830000,115.550000,0.560000,49.830000,0.610000,24.070000,11.580000,0.300000,20.560000,17.330000,19.260000,2.890000,0.590000,0.000000,33.630000,0,9,21,550.47

74,18:15-18:30,0.350000,99.660000,0.310000,0.560000,48.140000,9.630000,0.440000,0.350000,0.000000,0.000000,14.440000,49.830000,115.550000,0.560000,49.830000,0.610000,24.070000,11.580000,0.300000,20.560000,17.330000,19.260000,2.890000,0.590000,0.000000,33.630000,0,3,7,530.47

75,18:30-18:45,0.350000,99.660000,0.310000,0.560000,48.140000,9.630000,0.440000,0.350000,0.000000,0.000000,14.440000,49.830000,115.550000,0.560000,49.830000,0.610000,24.070000,11.580000,0.300000,20.560000,17.330000,19.260000,2.890000,0.590000,0.000000,33.630000,0,1.5,3.5,525.47

76,18:45-19:00,0.350000,99.660000,0.310000,0.560000,48.140000,9.630000,0.440000,0.350000,0.000000,0.000000,14.440000,49.830000,115.550000,0.560000,49.830000,0.610000,24.070000,11.580000,0.300000,20.560000,17.330000,19.260000,2.890000,0.590000,0.000000,33.630000,0,0,0,520.47

77,19:00-19:15,0.410000,99.660000,0.340000,0.660000,48.140000,9.630000,0.520000,0.410000,0.000000,0.000000,14.440000,49.830000,115.550000,0.660000,49.830000,0.720000,24.070000,11.580000,0.360000,20.560000,17.330000,19.260000,2.890000,0.690000,0.000000,33.630000,0,0,0,521.17

78,19:15-19:30,0.410000,99.660000,0.340000,0.660000,48.140000,9.630000,0.520000,0.410000,0.000000,0.000000,14.440000,49.830000,115.550000,0.660000,49.830000,0.720000,24.070000,11.580000,0.360000,20.560000,17.330000,19.260000,2.890000,0.690000,0.000000,33.630000,0,0,0,521.17

79,19:30-19:45,0.410000,99.660000,0.340000,0.660000,48.140000,9.630000,0.520000,0.410000,0.000000,0.000000,14.440000,49.830000,115.550000,0.660000,49.830000,0.720000,24.070000,11.580000,0.360000,20.560000,17.330000,19.260000,2.890000,0.690000,0.000000,33.630000,0,0,0,521.17

